Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144),S(42),S(346)
0.0,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4204581716897557e-22,2.4793482338035994e-22,4.4204581696392121e-22,4.302432023963756e-22,4.3024320546460525e-22,1.220606941424848e-22,1.2206069280037809e-22,1.0715409126234879e-22,9.014730894035099e-23,4.5073654441636261e-23,5.2374965118825214e-29,8.0973415601859763e-30,4.40623602088252e-29,2.2031180012946237e-29,9.0681598640200841e-30,6.1279754310511579e-30,6.0996019601808869e-30,4.9836883154213754e-30,2.4359359363538634e-36,3.4427573381852727e-31,5.9367427487073279e-30,1.6842635332485901e-30,3.9981897109977776e-39,6.1958393956929981e-32,1.954242195635234e-45,1.9160451938537624e-39,1.5636789850158362e-39,7.6429776198318092e-46,3.3022876816002751e-46,1.6140979788194756e-52,8.304682564994505e-38,2.5152025122445633e-26,4.0591773360317843e-44,1.440512386596875e-54,2.0496667985002836e-47,3.3520456342096902e-60,1.337889914312329e-47,6.5570356138808596e-32,1.0519478001543968e-39,4.1825130263582985e-40,5.5848020434811842e-24,2.4592486999722714e-55,3.8307811449426497e-53,4.860674994429626e-53,7.7062304850292485e-32,7.1194393928752709e-40,7.1177204810544728e-48,1.1059933471687929e-38,7.0748103952273504e-40,5.2939198487550615e-55
3.0000000000000002e-15,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.452436236572149e-21,8.1464299176859462e-22,1.4524362352246469e-21,1.4136562066848188e-21,1.4136562268474708e-21,4.0105654446284268e-22,4.0105653564328433e-22,3.5207755610996412e-22,2.9619815602772598e-22,1.4809907782632312e-22,3.4417826758347038e-28,5.321110015064115e-29,2.8955259025598678e-28,1.4477629426559804e-28,5.9590764262583265e-29,4.0269552589310111e-29,4.0083098340942254e-29,3.2749943987353128e-29,2.2967392093295096e-35,2.2623833756720369e-30,3.9012880669649192e-29,1.1068017239692963e-29,3.7697211051690555e-38,4.0715512746038518e-31,2.4009258165208373e-44,1.8065568142898732e-38,1.4743256647112214e-38,9.3899427577086439e-45,4.0570953001711171e-45,2.4442050204716719e-51,7.8301266660233645e-37,8.264209998783915e-26,4.9869880098010117e-43,2.1813460330189162e-53,2.518163748325718e-46,6.0336791275399114e-59,1.6436931218489918e-46,4.3089087307725759e-31,9.9183649102060515e-39,3.9435122126974149e-39,1.835006376008101e-23,3.7240071918715372e-54,5.188794531838386e-52,7.9725504305687645e-52,5.0640943068683187e-31,6.7126142585548837e-39,8.7446269116636775e-47,1.0427935216787483e-37,6.6705354880953126e-39,8.0165062881920419e-54
7e-15,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2206193534273992e-21,1.8063822903534343e-21,3.2206193461040216e-21,3.1346287885384705e-21,3.1346288981180832e-21,8.8929915264426813e-22,8.8929910471190066e-22,7.806926025126186e-22,6.5678628393783267e-22,3.2839314094969187e-22,1.8705314237952e-27,2.8919070755895095e-28,1.5736531699171205e-27,7.8682657102963128e-28,3.2386282951513147e-28,2.1885625546756421e-28,2.1784291676440612e-28,1.7798855018056788e-28,3.7095760724847377e-34,1.2295561187993438e-29,2.1202651652210424e-28,6.015225825250229e-29,6.0886615410331961e-37,2.2127984447950784e-30,1.2144198996733006e-42,2.9178617503775743e-37,2.3812558454404049e-37,4.7495569331177389e-43,2.0521293754961964e-43,4.0366155536366115e-49,1.2646802314675775e-35,1.8324814764155013e-25,2.5224802957138703e-41,3.6024815979333116e-51,1.2737345612194955e-44,3.3591968521846462e-56,8.3140169305027509e-45,2.3417968548952864e-30,1.6019661152100893e-37,6.3693686994171378e-38,4.0689271191193214e-23,6.1502923320826732e-52,3.5645939354469817e-50,1.8171422160165703e-49,2.7522251248145143e-30,1.0841888669702151e-37,4.4231475824998383e-45,1.6842664918908771e-36,1.0773925061352225e-37,1.3239313278921616e-51
1.5e-14,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.7569852006853716e-21,3.7898609004115972e-21,6.7569851682867641e-21,6.5765733725648196e-21,6.5765738573449319e-21,1.8657839403820524e-21,1.8657837283293689e-21,1.637919338778948e-21,1.3779597197865982e-21,6.8897985538428927e-22,8.275211623625784e-27,1.2793792924418552e-27,6.9618253683369401e-27,3.48091255462729e-27,1.4327690127191056e-27,9.6822001095158668e-28,9.6373699761263354e-28,7.8741931886082048e-28,3.4499669677356919e-33,5.4395558019400685e-29,9.3800524400748004e-28,2.6611352176221479e-28,5.6625560224983213e-36,9.7894117877881928e-30,2.3356451018097571e-41,2.7136643838400214e-36,2.2146075263825032e-36,9.1346330392270421e-42,3.9467698990291461e-42,1.583653356287295e-47,1.1761707054768221e-34,3.844550177185326e-25,4.8513739108554286e-40,1.413320965311331e-49,2.4497655488726805e-43,2.6646093290603277e-54,1.599001725084557e-43,1.0360099230010601e-29,1.4898584029389735e-36,5.9236308937680912e-37,8.5367684162589865e-23,2.4129417994191701e-50,7.4845041864748218e-49,7.7790665042670574e-48,1.2175843643796743e-29,1.0083159264580391e-36,8.5068627441726153e-44,1.5663949945137293e-35,1.0019951806725151e-36,5.1940845446796134e-50
3.1e-14,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3829715349391498e-20,7.7568181720807319e-21,1.3829715214348588e-20,1.3460460221894498e-20,1.3460462242541417e-20,3.8187518013589408e-21,3.8187509174874343e-21,3.3523593852629288e-21,2.8202953116879587e-21,1.4101476370498533e-21,3.4492360590713745e-26,5.332671748236194e-27,2.9017964258553297e-26,1.4508981035957865e-26,5.9720287898020667e-27,4.035708572018049e-27,4.017022570417154e-27,3.2820838999103816e-27,2.9117526631161173e-32,2.2673009071514206e-28,3.9097681630873183e-27,1.1092067955141649e-27,4.7791658541119434e-35,4.080389824547314e-29,3.9711144770974774e-40,2.2903253957891471e-35,1.8691167452664814e-35,1.5530903364267072e-40,6.7103560806722423e-41,5.4062040091771046e-46,9.9267683079973046e-34,7.8684785806816916e-25,8.2483731804222253e-39,4.8246492282523667e-48,4.1652904005813814e-42,1.8229451915983036e-52,2.7186580414852389e-42,4.3182610158006336e-29,1.257437855771689e-35,4.9995324322865793e-36,1.7472450254186115e-22,8.2375089872514965e-49,1.3300877405990694e-47,2.7780751141973706e-46,5.0751027503590032e-29,8.5101691338266939e-36,1.4463553753356228e-42,1.3220274816536987e-34,8.4568220966823822e-36,1.7731396716817964e-48
6.300000000000001e-14,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.7975169463566766e-20,1.569073292162125e-20,2.7975168913260505e-20,2.7228224645668133e-20,2.7228232879907878e-20,7.7246806653306798e-21,7.7246770635135986e-21,6.7811857748940818e-21,5.7049213770229551e-21,2.8524606119258859e-21,1.4055695695065491e-25,2.1730900250083479e-26,1.1824870271978495e-25,5.9124342411780223e-26,2.43363315857087e-26,1.6445727104052557e-26,1.636958044128273e-26,1.3374535786327063e-26,2.3830878829868664e-31,9.2393710588544386e-28,1.593251298558243e-26,4.5200732963229714e-27,3.9114498959315567e-34,1.6627753376047415e-28,6.5150146470865066e-39,1.8745014336996502e-34,1.5297562259801097e-34,2.5480023449246751e-39,1.1008926489183166e-39,1.7759695103603135e-44,8.1243652249859969e-33,1.5915499484886072e-24,1.353216534523952e-37,1.5848716884351586e-46,6.8340591307854528e-41,1.1983789094966379e-50,4.4602353008701114e-41,1.7597081298665636e-28,1.0291438443099804e-34,4.0918402453370436e-35,3.5343810904462773e-22,2.7062788065491927e-47,2.2318684301758414e-46,9.3398857948399412e-45,2.0681316890111773e-28,6.9651070872116066e-35,2.3728925476146648e-41,1.0819952796007167e-33,6.9214453772964197e-35,5.8249107360128585e-47
1.2700000000000001e-13,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.6266052958987854e-20,3.1558563245439337e-20,5.6266050738260688e-20,5.4763716393723364e-20,5.4763749622553401e-20,1.5536510961447454e-20,1.5536496426546175e-20,1.3638623747672212e-20,1.1473993039557534e-20,5.7369962107329207e-21,5.6720049684080473e-25,8.7693791184565845e-26,4.7717828420617584e-25,2.3858906976126972e-25,9.820801893688446e-26,6.6365907483807969e-26,6.6058619730655983e-26,5.3971214876139829e-26,1.9266369390542217e-30,3.7285012845207464e-27,6.4294855591127709e-26,1.8240501842248401e-26,3.1622614931746782e-33,6.7100044338138218e-28,1.054369177089729e-37,1.5154849240289405e-33,1.2367516584591576e-33,4.1236078805005067e-38,1.7816201282230205e-38,5.7508634626630361e-43,6.5681221165436932e-32,3.2006198397066786e-24,2.1899621670430346e-36,5.1317116022054143e-45,1.1061575137501839e-39,7.762332495396436e-49,7.218308987518477e-40,7.101163927363902e-28,8.3203931252392827e-34,3.3081553438347187e-34,7.1086520101355279e-22,8.7647036737198108e-46,3.6533335346625642e-45,3.0601323838980472e-43,8.3458443752101912e-28,5.631131601512638e-34,3.8402147823031386e-40,8.7474970091563091e-33,5.595831961469897e-34,1.886224272689566e-45
2.55e-13,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1284772101825987e-19,6.3294227191448507e-20,1.128477120971526e-19,1.0983455149227221e-19,1.0983468497964418e-19,3.1160061827185803e-20,3.1160003437653179e-20,2.7352640522192732e-20,2.3011414537966016e-20,1.1505706027568156e-20,2.2784901965394777e-24,3.5228418534426868e-25,1.916863963078662e-24,9.5843139988894428e-25,3.9452331101707258e-25,2.6660666291497221e-25,2.6537220567324496e-25,2.1680595005283003e-25,1.5490879910243809e-29,1.49782170284461e-26,2.5828676883047594e-25,7.3275946961471985e-26,2.5425783939007826e-32,2.6955247239608494e-27,1.6961752501458492e-36,1.2185402015016216e-32,9.9439653291468307e-33,6.6337002911744595e-37,2.8660172472476506e-37,1.8506033454483748e-41,5.2808196678200737e-31,6.4174230353473203e-24,3.5228865451250075e-35,1.6511392606002115e-43,1.7799870889159809e-38,4.9956015234576599e-47,1.161219378238613e-38,2.8526558519640972e-27,6.6901511849855625e-33,2.6599709875755992e-33,1.425718900696946e-21,2.8213165288279682e-44,5.9107468550719336e-44,9.9057996756076183e-42,3.3527140467740746e-27,4.5278078621672698e-33,6.1777995202633557e-39,7.0332690661061035e-32,4.4994243650030098e-33,6.0699710856157512e-44
5.11e-13,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2601066141170424e-19,1.2676556827236117e-19,2.2601062565199258e-19,2.1997562810237726e-19,2.1997616318221894e-19,6.240672465917459e-20,6.2406490609001435e-20,5.4777237826242235e-20,4.6083370595141363e-20,2.3041680322110257e-20,9.1326419814960018e-24,1.4121144355202805e-24,7.6831742122586962e-24,3.841582441766089e-24,1.5814382874309202e-24,1.0686883237394549e-24,1.063739912405534e-24,8.6899514017045704e-25,1.2422631769755628e-28,6.0039892411372139e-26,1.0353380369157934e-24,2.9372363613351692e-25,2.0389783443205469e-31,1.080469440921928e-26,2.7209463427364827e-35,9.7724050314209904e-32,7.9744165455989504e-32,1.0641577980929473e-35,4.5972634702175942e-36,5.9375160832029614e-40,4.2345444191803531e-30,1.2845687649102642e-23,5.6508784187782322e-34,5.2961167387411295e-42,2.8569964722122827e-37,3.2048911899201108e-45,1.8627951630870261e-37,1.1434500824102756e-26,5.3654384493236034e-32,2.1332611457259964e-32,2.8554243621818307e-21,9.0575706925603798e-43,9.5084363095279785e-43,3.1876341162030058e-40,1.3439314579992041e-26,3.6312631909025626e-32,9.9102273257974651e-38,5.6401312096122406e-31,3.6084995213356468e-32,1.9476193949616455e-42
