Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414)
5.15e-13,0.2924893376778147,89.099999999999994,0.0,0.0,0.0,0.99999999999993217,11.0,2.868276316538759e-14,2.8102534125307651e-16,2.868249286010815e-14,2.7633826076654359e-14,2.7633774256431629e-14,1.1177420192846456e-14,1.117847041981677e-14,1.2990130765143848e-16,1.0609227392573721e-16,5.3046136963279347e-17,1.2602165920784532e-20,2.6145305326658288e-19,1.0292685377964285e-20,5.146262147415824e-21,1.4389585194786253e-19,9.6090657566342796e-20,9.5597231379552742e-20,1.1081543404327179e-18,9.2036538652627082e-23,4.5129594364001721e-19,9.2101660601357822e-20,3.7254321157425033e-20,3.1861897542193298e-25,8.1789652364310551e-21,2.4683089771366957e-29,2.5039979510776384e-25,9.9974420958898746e-26,7.7448576501586434e-30,2.4905023582676823e-28,1.8665589058692938e-32,8.0545805671591593e-26,8.0577543066885692e-18,6.2398582076188276e-30,5.4691895359340636e-35
1e-12,0.2924893376778149,89.099999999999994,0.0,0.0,0.0,0.99999999999986822,11.0,5.5722612608279251e-14,5.4598393875801634e-16,5.5721577882887945e-14,5.3684520790022524e-14,5.3684322389239631e-14,2.1712323726064183e-14,2.1716343567543659e-14,2.5233686566776311e-16,2.0608806631357979e-16,1.0304403315983438e-16,4.8229163476896139e-20,1.0008272623807527e-18,3.939201843206843e-20,1.9695397489991133e-20,5.508313800005544e-19,3.678365162506861e-19,3.6594462290677819e-19,4.2412384444370342e-18,6.9910831784886293e-22,1.7275444894396314e-18,3.525633289109507e-19,1.4259715309705085e-19,2.4207279266381792e-24,3.1325285798036101e-20,3.7358649460444731e-28,1.902391182990777e-24,7.5958583792381633e-25,1.1722370016399848e-28,3.7688653991247939e-27,5.6377481797023864e-31,6.1179019605804798e-25,1.5651049520335852e-17,9.4418057010024578e-29,1.6521683831411618e-33
1.027e-12,0.2924893376778149,89.099999999999994,0.0,0.0,0.0,0.99999999999986466,11.0,5.7227923814378373e-14,5.6073421119643563e-16,5.7226846533640635e-14,5.5134765650354356e-14,5.513455908941657e-14,2.2298802891830943e-14,2.2302988052056289e-14,2.5915286580475439e-16,2.1165484238465556e-16,1.0582742119551888e-16,5.0212522103731216e-20,1.0419883008262837e-18,4.1011981303121649e-20,2.050534935442316e-20,5.7348552279936401e-19,3.8296463621868044e-19,3.809948900639639e-19,4.415657559505316e-18,7.3290406638143685e-22,1.7985933775563109e-18,3.6706325683746411e-19,1.484615994112156e-19,2.5377525486646506e-24,3.2613843849919267e-20,3.9300998312092807e-28,1.9943577138626147e-24,7.9630647350743023e-25,1.2331839861322254e-28,3.9648138721331374e-27,5.9412110494057211e-31,6.4136462603832488e-25,1.6073769047693535e-17,9.9326946427890466e-29,1.7411000639042736e-33
2.051e-12,0.2924893376778153,89.099999999999994,0.0,0.0,0.0,0.99999999999972977,11.0,1.1431845790686544e-13,1.1202489369457012e-15,1.1431415667640307e-13,1.101359037469537e-13,1.1013507873350814e-13,4.4534426436791266e-14,4.4551132919827184e-14,5.1757752885505899e-16,4.2271875195876083e-16,2.1135937600349471e-16,2.0038300120323913e-19,4.1602188664347049e-18,1.6367788159336354e-19,8.1833825910797543e-20,2.2897386449326312e-18,1.5290749426896815e-18,1.5211845616816236e-18,1.7623850246102213e-17,5.8468099331255765e-21,7.1811036988497724e-18,1.4655576457872142e-18,5.9265805799850227e-19,2.025361962731133e-23,1.3035381324320561e-19,6.2702995694382005e-27,1.5916197325621101e-23,6.3556656353749244e-24,1.9675842457911157e-27,6.3236981776622795e-26,1.8944926933599272e-29,5.1159622333704176e-24,3.2096658339480832e-17,1.5839026055805598e-27,5.5536256456842268e-32
4.099e-12,0.2924893376778161,89.099999999999994,0.0,0.0,0.0,0.99999999999945999,10.999999999999998,2.2850037716588161e-13,2.2396661480520514e-15,2.2848318845670004e-13,2.2013521654831383e-13,2.2013191734408635e-13,8.8977126888804789e-14,8.9043861925012842e-14,1.0341135887399267e-15,8.4460204134121153e-16,4.2230102084149725e-16,7.9998485094634539e-19,1.6624391954461306e-17,6.5353916699034e-19,3.2672878124793331e-19,9.1503086300735439e-18,6.1107129677129716e-18,6.0789747649753589e-18,7.0377647932308411e-17,4.6661350417908264e-20,2.8696606271980399e-17,5.8566571918215678e-18,2.3675942334381609e-18,1.6177220680979379e-22,5.2202080407457596e-19,1.000975606664495e-25,1.2711776306788515e-22,5.0771162377121463e-23,3.1413045132115009e-26,1.0088666573841616e-24,6.0410946191431291e-28,4.0819417016796159e-23,6.4106070953208772e-17,2.5259068890279385e-26,1.7720214729916617e-30
8.195e-12,0.29248933767781765,89.099999999999994,0.0,0.0,0.0,0.99999999999892031,10.999999999999996,4.5686761914798554e-13,4.4800501546509684e-15,4.5679890049194952e-13,4.4012199505863728e-13,4.401087871443876e-13,1.7774850716908997e-13,1.7801508386314234e-13,2.0659370025966358e-15,1.6873935285241911e-15,8.4369676528141664e-16,3.1919419905087236e-18,6.645616229903517e-17,2.6083510908732063e-18,1.3038504714600853e-18,3.6581853782351808e-17,2.4431402767008145e-17,2.4302866346937228e-17,2.8095311301297923e-16,3.7207886710771236e-19,1.1472010988229261e-16,2.3413907420772055e-17,9.4589715937556929e-18,1.2921322049740313e-21,2.0957376096224461e-18,1.5970359867344371e-24,1.015173421542543e-21,4.0562959049943485e-22,5.0128442937693273e-25,1.6076096184682631e-23,1.9229942776404149e-26,3.2534750873683747e-22,1.2798097394586919e-16,4.0217684001341272e-25,5.6476797126782066e-29
1e-11,0.29248933767781915,89.099999999999994,0.0,0.0,0.0,0.9999999999986825,10.999999999999996,5.5750458534133267e-13,5.4680109791106091e-15,5.5740181070297371e-13,5.3705919302444464e-13,5.3703942779651688e-13,2.1681755824385513e-13,2.1721610238022206e-13,2.5200862183722721e-15,2.0583613121576785e-15,1.0291806576831297e-15,4.7697462863602857e-18,9.9386736444839345e-17,3.8981514158333289e-18,1.9484851764110888e-18,5.4711219938767848e-17,3.6540171069457205e-17,3.6346865756827309e-17,4.1992508410308546e-16,6.7615577853654187e-19,1.715699344939129e-16,3.50172501683288e-17,1.4142550477408491e-17,2.349672152810204e-21,3.1400108765529214e-18,3.4804691003610892e-24,1.8459203809050371e-21,7.3768928920376586e-22,1.092539061871562e-24,3.501942907164566e-23,4.9367671087227899e-26,5.9112730486126576e-22,1.5606622129567377e-16,8.7583316913186624e-25,1.4504616128944953e-28
1.2291000000000001e-11,0.29248933767781915,89.099999999999994,0.0,0.0,0.0,0.99999999999838063,10.999999999999995,6.8523826376180821e-13,6.721982308106199e-15,6.8509226349713256e-13,6.600969329356163e-13,6.600688448236795e-13,2.6640603248888947e-13,2.669720765755848e-13,3.0965160540188014e-15,2.5292129422431751e-15,1.2646064734683517e-15,6.7723776668566482e-18,1.411839360947216e-16,5.5352331579295315e-18,2.7666891149389283e-18,7.7721955597687073e-17,5.1909250394061551e-17,5.1633737029989751e-17,5.9631554713213464e-16,1.0621060301063201e-18,2.4372669249126595e-16,4.9744817057332975e-17,2.0087192705911857e-17,3.6919569287064229e-21,4.4654568901472263e-18,5.8710204927814028e-24,2.9003476850044699e-21,1.1591567516589588e-21,1.8429902325337211e-24,5.9063293694378254e-23,8.762004535874995e-26,9.284688632662883e-22,1.9171347984326515e-16,1.4770224489160095e-24,2.5746301076128968e-28
1.6387e-11,0.29248933767782076,89.099999999999994,0.0,0.0,0.0,0.99999999999784095,10.999999999999993,9.1361231017474067e-13,8.9654611872261648e-15,9.1336327996723789e-13,8.8006003662244751e-13,8.8001208569207136e-13,3.5494986824732884e-13,3.5591484690626708e-13,4.1258550710683879e-15,3.3700632912818374e-15,1.6850316495089293e-15,1.1537032145488336e-17,2.4080029556428121e-16,9.4311755054884396e-18,4.7136352702523692e-18,1.3256876681699765e-16,8.8543999904959763e-17,8.8070254930364176e-17,1.0161849254763282e-15,2.2369462634182268e-18,4.1570694441073492e-16,8.4847994578461838e-17,3.4247603067564697e-17,7.7825574645164896e-21,7.6367833786825224e-18,1.4874447471133718e-23,6.1133533724869328e-21,2.4437955613286196e-21,4.6696720528575352e-24,1.4955752122280816e-22,2.6070095843537355e-25,1.9550266337949349e-21,2.5530509745665278e-16,3.7387523309970937e-24,7.6639577328442263e-28
2.4579000000000002e-11,0.2924893376778238,89.099999999999994,0.0,0.0,0.0,0.99999999999676159,10.999999999999988,1.3703683842310588e-12,1.3456044670502256e-14,1.3698528746962013e-12,1.3199584898015371e-12,1.3198590848951774e-12,5.3177122936652324e-13,5.3376702972824491e-13,6.1816361860919017e-15,5.0494989508161791e-15,2.5247494810762342e-15,2.3832475440407489e-17,4.9842200255651553e-16,1.9488085120917126e-17,9.7387267326259357e-18,2.7442547169121003e-16,1.8330339298512214e-16,1.8230955644997114e-16,2.1003298511746502e-15,6.0949204311590792e-18,8.6049486808115887e-16,1.7563800951424183e-16,7.0843843665434993e-17,2.1235587300298094e-20,1.587808727070664e-17,5.1926339768670006e-23,1.6678644685381646e-20,6.6696287106624831e-21,1.6304000508919327e-23,5.2162210428433435e-22,1.1376630638301351e-24,5.3246996555015152e-21,3.8216229374712343e-16,1.3032258827735288e-23,3.3470806663307138e-27
