Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237)
0.0,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8728252006375569e-19,1.9800774961297301e-20,2.8728251887045007e-19,2.7810122452333744e-19,2.7810122606452224e-19,9.5665722685515909e-20,9.566572832806309e-20,8.8272179909664576e-21,7.3156987940395221e-21,3.6578493970196775e-21,3.8378816823052818e-27,7.6518801766109308e-27,3.1807061822436431e-27,1.5903530911217848e-27,5.9223190283354401e-27,3.9661299355636878e-27,3.950949122111061e-27,1.1326511254515714e-26,4.9245198236211589e-33,2.0312569770764476e-27,3.8246803075322054e-27,1.3156749145631588e-27,1.2313228704523442e-35,8.5063513699879595e-29,5.3535230346290399e-42,7.7366212664702509e-36,4.2670659429739535e-36,1.8552271195416535e-42,6.8823082967999861e-42
3.0000000000000002e-15,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.0941192861529411e-19,4.8895791617968086e-20,7.0941192262441323e-19,6.867397437754838e-19,6.8673975151286056e-19,2.3623573138232943e-19,2.3623575971021476e-19,2.1797814180493836e-20,1.8065288907975147e-20,9.0326444539873733e-21,1.9267725571806778e-26,3.8415559620051181e-26,1.5968437711933036e-26,7.9842188559663387e-27,2.9732458308201671e-26,1.9911590924620476e-26,1.9835376978341138e-26,5.6863686809001763e-26,4.1607153282851604e-32,1.019773890919123e-26,1.9201455980708911e-26,6.6052244698537043e-27,1.0403418984465866e-34,4.2705361007645775e-28,6.7956948741799901e-41,6.5366545296738246e-35,3.6052344346604581e-35,2.3550020494515637e-41,8.7363153838224068e-41
7e-15,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8585419343877531e-18,1.2809889478215024e-19,1.8585418975170499e-18,1.7991445154472079e-18,1.7991445630666597e-18,6.1889834082939737e-19,6.1889851517245684e-19,5.7106601773680791e-20,4.7328014498230199e-20,2.3664007249114558e-20,1.1858250637923185e-25,2.36427419928737e-25,9.8277165469091829e-26,4.9138582734544789e-26,1.8298755724030943e-25,1.2254531554278879e-25,1.2207625742670022e-25,3.499654111791716e-25,6.5023624933226345e-31,6.2761689262978533e-26,1.181748084481079e-25,4.0651651772197468e-26,1.6258460549015083e-33,2.6282904936117782e-27,2.8954856221445919e-39,1.0215488348204036e-33,5.6342603037686064e-34,1.0034110922572804e-39,3.7223375155565813e-39
1.5e-14,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.156801728043406e-18,2.8650511081980694e-19,4.1568015530415321e-18,4.0239536889603168e-18,4.0239539149796389e-18,1.384222736831801e-18,1.3842235643271054e-18,1.2772393014551109e-19,1.0585326211494512e-19,5.2926631057471364e-20,5.628347468115889e-25,1.1221709481403827e-24,4.6645841610764956e-25,2.3322920805381941e-25,8.685260504434006e-25,5.8164503528382357e-25,5.7941870004796666e-25,1.6610598591079624e-24,6.4277724865363135e-30,2.9788998616421784e-25,5.6090098842122546e-25,1.9294754718002034e-25,1.6071965966959004e-32,1.2474842086365027e-26,5.8797366701973895e-38,1.0098320770258033e-32,5.5696332481815456e-33,2.0375837390235052e-38,7.5587861827142372e-38
3.1e-14,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.7533204437978262e-18,6.0331758173228644e-19,8.7533196870476474e-18,8.4735705566658316e-18,8.4735715340272703e-18,2.914868237277445e-18,2.9148718155595132e-18,2.6895759963934029e-19,2.2290294309984892e-19,1.1145147154992203e-19,2.4338216333451909e-24,4.852534746534402e-24,2.0170694432645815e-24,1.0085347216322685e-24,3.7557156362656845e-24,2.5151733412019516e-24,2.5055460171645665e-24,7.1827855681192968e-24,5.6394386371166471e-29,1.2881479255541355e-24,2.4254709413651721e-24,8.3435077076509243e-25,1.4100837371445608e-31,5.3944318100673376e-26,1.0397137160022849e-36,8.8598413448892167e-32,4.88655411385279e-32,3.6030606396083269e-37,1.3366190771078217e-36
6.300000000000001e-14,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7946354389080533e-17,1.2369426789058826e-18,1.7946351246891054e-17,1.7372798374799201e-17,1.7372802433010379e-17,5.9761460719941926e-18,5.9761609297363822e-18,5.5142098969441662e-19,4.5699904812878724e-19,2.2849952406438967e-19,1.0105658553402536e-23,2.014874940400712e-23,8.3752323650307106e-24,4.1876161825152782e-24,1.5594540550065694e-23,1.0443543694121268e-23,1.0403568018702456e-23,2.9824166773810529e-23,4.7133370444185788e-28,5.3486672731909794e-24,1.0071078762001319e-23,3.4643971054955723e-24,1.1785243633441497e-30,2.239892536429479e-25,1.7436356769540012e-35,7.4049370525576467e-31,4.084104087230598e-31,6.0424624596285099e-36,2.2415530662958849e-35
1.2700000000000001e-13,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6332408334752643e-17,2.5041934946474041e-18,3.6332395533923029e-17,3.5171230341996619e-17,3.5171246874537275e-17,1.209864907722646e-17,1.2098709605095206e-17,1.1163319746081683e-18,9.2517823084905407e-19,4.6258911542452732e-19,4.1168253193973167e-23,8.208296770494903e-23,3.4118895803758013e-23,1.7059447901878939e-23,6.3529936102315682e-23,4.2545525567013905e-23,4.2382662609487098e-23,1.2149690867795701e-22,3.8520599542800405e-27,2.1789704536030865e-23,4.1028146404357127e-23,1.4113402577499716e-23,9.631749652937889e-30,9.1250699620780367e-25,2.8544585395287177e-34,6.0518969036944567e-30,3.3378305027675845e-30,9.8919698926093489e-35,3.6695753483377808e-34
2.55e-13,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,7.3104460446613693e-17,5.0386976117060257e-18,7.3104408777531445e-17,7.0767999600444631e-17,7.0768066331908061e-17,2.4343444434861376e-17,2.4343688745088216e-17,2.2460907679211994e-18,1.8614844903458616e-18,9.3074224517299899e-19,1.6616487166454048e-22,3.313172862103776e-22,1.3771216628781795e-22,6.885608314391269e-23,2.5643141215524028e-22,1.7173034360296858e-22,1.7107290309017675e-22,4.9038839418053794e-22,3.1142590677658197e-26,8.7951650870363179e-23,1.6560553243062623e-22,5.6966690757148078e-23,7.7870156027919724e-29,3.683285464073474e-24,4.6189906335032525e-33,4.8928785683000756e-29,2.6985585822789304e-29,1.6006920665802469e-33,5.9379527312352481e-33
5.11e-13,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.4664834155312314e-16,1.0107715788111641e-17,1.4664813394423668e-16,1.4196115941619713e-16,1.419614275445122e-16,4.8832192570613734e-17,4.8833174192215552e-17,4.5053556826538178e-18,3.7338886128147246e-18,1.8669443064080437e-18,6.6760979786580582e-22,1.331239258727836e-21,5.5329523105229093e-22,2.7664761552622502e-22,1.0303547204789696e-21,6.9002251381404804e-22,6.8738038084014246e-22,1.9702440575307133e-21,2.5043109725572235e-25,3.5339405110125795e-22,6.654120493551729e-22,2.2889138437558056e-22,6.2619973904820451e-28,1.4800066263821842e-23,7.4315274368467715e-32,3.9347793944999575e-28,2.1700868352917563e-28,2.5753847805797829e-32,9.5535088073414853e-32
1e-12,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.8712779332600481e-16,1.979037052167846e-17,2.8712698909119688e-16,2.779497718589918e-16,2.779508105188713e-16,9.5606309202690124e-17,9.5610111585756957e-17,8.8199396553102174e-18,7.3096771181796938e-18,3.6548385590953319e-18,2.58581206825718e-21,5.1568770390748341e-21,2.1430555070146098e-21,1.0715277535085983e-21,3.9913920016397639e-21,2.6730201014799448e-21,2.6627811459023204e-21,7.6310989137194657e-21,1.9293686638170855e-24,1.3689773243428698e-21,2.5776789730266088e-21,8.8665170690466123e-22,4.8245452925524998e-27,5.7335876299338057e-23,1.1419741343982614e-30,3.0317399745765074e-27,1.6719659382483579e-27,3.9575548511857403e-31,1.4680182473399488e-30
1.023e-12,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.9373521130305242e-16,2.0245791909964835e-17,2.9373437900608461e-16,2.8434596426427663e-16,2.8434703916592703e-16,9.7806318778431955e-17,9.7810253835350926e-17,9.0228750977868987e-18,7.4778634895976774e-18,3.7389317448045502e-18,2.6760342609340749e-21,5.3368150123835883e-21,2.2178295077244938e-21,1.1089147538635975e-21,4.1306636938007008e-21,2.7662899266666842e-21,2.7556936563244677e-21,7.8973558905954189e-21,2.008337097418131e-24,1.416745044761187e-21,2.6676219980663695e-21,9.1758930898680616e-22,5.0220134883205951e-27,5.9336538121049457e-23,1.1921912177943458e-30,3.155830008948511e-27,1.7403995105562133e-27,4.1315842511488046e-31,1.5325726699639371e-30
2.047e-12,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999867,11.0,5.8790538099663756e-16,4.0522103228946976e-17,5.8790204812740146e-16,5.6910951499590451e-16,5.6911381923164336e-16,1.9574109297400332e-16,1.9575684875961345e-16,1.8053874455475529e-17,1.4962481513186906e-17,7.4812407566396108e-18,1.0712845635791474e-20,2.1370241542209961e-20,8.8786279768021708e-21,4.4393139884229831e-21,1.6540978528110976e-20,1.1077500529817901e-20,1.1035036151362308e-20,3.1614063514858617e-20,1.6081783225063491e-23,5.6732491137185978e-21,1.0682349039974653e-20,3.674187883287181e-21,4.0216914590468161e-26,2.3763723067911147e-22,1.9095466153905736e-29,2.5275566127980666e-26,1.3937777159875594e-26,6.6178095719752812e-30,2.454630295065157e-29
4.095e-12,0.1907639301111915,89.099999999999994,0.0,0.0,0.0,0.99999999999999722,11.0,1.1762314415273873e-15,8.1075362160877534e-17,1.1762181030314597e-15,1.1386123819540889e-15,1.1386296069592422e-15,3.9155674475614139e-16,3.9161978629897646e-16,3.6099732739661326e-17,2.991840456703146e-17,1.4959202283884442e-17,4.2848929041397648e-20,8.5520977880440764e-20,3.5513217763893888e-20,1.7756608882297099e-20,6.6199175539881825e-20,4.4334172759434773e-20,4.4163966254624466e-20,1.2644053457389955e-19,1.286430185863267e-22,2.2704964132934415e-20,4.2752387614736769e-20,1.4702664998715093e-20,3.2175651153459898e-25,9.5127830425761783e-22,3.0553771635313263e-28,2.0227034728107935e-25,1.1151658786874536e-25,1.0589499226021161e-28,3.9271905228569233e-28
