Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210)
0.0,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.8618261110781271e-22,4.0794883436132136e-22,9.861826106507711e-22,9.5921881569106768e-22,9.5921882235207168e-22,2.7860864660100718e-22,2.7860864508149453e-22,1.8052480838758663e-22,1.5161588880931037e-22,7.5807944404653423e-23,8.5187957819669361e-29,1.8505324953006458e-29,7.1546110927852019e-29,3.577305546392518e-29,1.9845412320047401e-29,1.3392388210245308e-29,1.3332525847909575e-29,1.2956088227914215e-29,6.1138560801875147e-36,9.9529482827625622e-31,1.2967993552269553e-29,3.766601584006072e-30,1.0583791536877778e-38,1.4500951281982291e-31,4.994391601776591e-45,5.2443273823090456e-39,4.0780122506960037e-39
3.0000000000000002e-15,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2403142503087621e-21,1.3404033135542546e-21,3.240314247305345e-21,3.1517189007879192e-21,3.1517189445602263e-21,9.154283550246666e-22,9.1542834503929667e-22,5.9315266176439943e-22,4.9816625672203973e-22,2.4908312836101385e-22,5.5980646203500799e-28,1.2160641761969666e-28,4.7016005895090305e-28,2.3508002947544588e-28,1.3041270833390581e-28,8.8007122006513559e-29,8.7613740742443132e-29,8.5139988472806448e-29,5.7644919157668886e-35,6.5405088182492203e-30,8.5218242800775766e-29,2.4751952615535579e-29,9.9790018467147215e-38,9.5291958928681053e-31,6.1359660512064723e-44,4.9446512869852705e-38,3.844982943623919e-38
7e-15,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.1850443631621982e-21,2.9721986559946449e-21,7.1850443468392844e-21,6.9885936657464696e-21,6.9885939036394127e-21,2.0298625187549535e-21,2.0298624644866558e-21,1.315249752093629e-21,1.104628013089558e-21,5.5231400654476593e-22,3.0424222537442206e-27,6.6090431980495493e-28,2.5552142255698905e-27,1.2776071127849151e-27,7.0876467684434018e-28,4.7829955780474593e-28,4.7616161523749668e-28,4.6271662552445311e-28,9.3105136415897315e-34,3.5546241693166494e-29,4.6314260472420783e-28,1.3452145859084569e-28,1.6117576230040033e-36,5.1789084635786585e-30,3.1036525479792271e-42,7.9863573922739511e-37,6.2102295000179563e-37
1.5e-14,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.5074503744852911e-20,6.2357893535902334e-21,1.5074503672640364e-20,1.4662341928521997e-20,1.4662342980960173e-20,4.2587297703193999e-21,4.2587295302365623e-21,2.7594384773059583e-21,2.3175469469050395e-21,1.1587734734524925e-21,1.3459645402483719e-26,2.9238398011493649e-27,1.1304242114332935e-26,5.6521210571663347e-27,3.135574619041323e-27,2.1159971091111472e-27,2.1065388444715146e-27,2.0470531839838685e-27,8.6589316326102126e-33,1.5725655940293805e-28,2.0489427422491875e-27,5.9512276366516235e-28,1.4989613672142092e-35,2.2911473789096066e-29,5.9691308091356241e-41,7.4274569219429509e-36,5.7756291804907533e-36
3.1e-14,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.0853419132170455e-20,1.2762970799640635e-20,3.085341883117609e-20,3.000983338550847e-20,3.0009837772251881e-20,8.7164599698681822e-21,8.7164589691621271e-21,5.6477941061152536e-21,4.7433664989990948e-21,2.3716832494994921e-21,5.6101888909492067e-26,1.2187064454057567e-26,4.7117834798860943e-26,2.3558917399429923e-26,1.3069616806925546e-26,8.819842188022881e-27,8.7804184442955049e-27,8.5324309358212871e-27,7.3080899452996697e-32,6.5547252627942362e-28,8.5403478939830598e-27,2.4805736133377301e-27,1.2651152357474016e-34,9.5498859577686055e-29,1.0148846725808513e-39,6.2687528833259997e-35,4.8746204319467982e-35
6.300000000000001e-14,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.2411236402555844e-20,2.5817333895178244e-20,6.2411235175988131e-20,6.0704796025236831e-20,6.0704813901441036e-20,1.76319031546805e-20,1.7631899076756293e-20,1.142441807862562e-20,9.5949323421700799e-21,4.7974661710849279e-21,2.2861621236855378e-25,4.966288837942759e-26,1.9200603729258282e-25,9.6003018646289185e-26,5.3259376658951491e-26,3.5941326310718103e-26,3.5780671972412666e-26,3.4769776962733718e-26,5.98121643869716e-31,2.6710851747982893e-27,3.4802371479960941e-26,1.0108460807027052e-26,1.0354183697207204e-33,3.8916189035445827e-28,1.6650212091627192e-38,5.1306176104514423e-34,3.9896085640784793e-34
1.2700000000000001e-13,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.255268169263746e-19,5.1926060899999972e-20,1.2552681197662438e-19,1.2209464020782487e-19,1.2209471234628239e-19,3.5462720667445711e-20,3.5462704211236972e-20,2.2977316894038955e-20,1.9297770993487285e-20,9.6488854967434271e-21,9.2255338625773746e-25,2.0041171357916037e-25,7.7481746703106637e-25,3.8740873351552442e-25,2.1492548836656632e-25,1.4503942289304513e-25,1.4439110644693231e-25,1.4030900703578001e-25,4.8355898464841543e-30,1.0779028442413677e-26,1.4044322198819844e-25,4.079211746201413e-26,8.3709759646708228e-33,1.5704348980742796e-27,2.694618260625766e-37,4.1479671599834243e-33,3.2255064859589593e-33
2.55e-13,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5175776190657732e-19,1.0414351816462378e-19,2.5175774202234538e-19,2.4487400418640458e-19,2.4487429398213786e-19,7.1124080267790951e-20,7.1124014159929059e-20,4.6081718093034639e-20,3.8702276228368104e-20,1.9351138114183679e-20,3.7059752968144155e-24,8.0509550436273219e-25,3.1125080799967051e-24,1.556254039998321e-24,8.6340320058689225e-25,5.8265574922569802e-25,5.8005128590511383e-25,5.6363102759311092e-25,3.8879967258164015e-29,4.3301747752213087e-26,5.6419173800045639e-25,1.6387048216818183e-25,6.7305895905951833e-32,6.3087199758891128e-27,4.334865390424424e-36,3.3352100256846733e-32,2.5935208141241779e-32
5.11e-13,0.17576107946077882,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.0421878760023217e-19,2.0857844571374695e-19,5.0421870789477864e-19,4.9043143460420406e-19,4.9043259624110355e-19,1.4244569778576039e-19,1.424454327967275e-19,9.2284935456404962e-20,7.750659900580762e-20,3.8753299502903545e-20,1.4854317094055371e-23,3.2271870957219453e-24,1.2475581627197959e-23,6.2377908135989157e-24,3.460933546615974e-24,2.3355658931355391e-24,2.3251256935577634e-24,2.2591325918126401e-24,3.1179121430030171e-28,1.7357420461047652e-25,2.2615528432249704e-24,6.5686759583386512e-25,5.3974950736501909e-31,2.5287856646963789e-26,6.9538539589992344e-35,2.6747553088316507e-31,2.0799767859109475e-31
