Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59)
0.0,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4599935518077445e-18,5.5156636096415415e-20,1.4599935518800133e-18,1.4113501948083129e-18,1.4113502221626335e-18,5.1011236658896522e-19,5.1011240685630195e-19,2.4647100933528908e-20,2.0339675980343473e-20,1.0169837990171571e-20,9.4699522633175498e-27,3.9089903463667047e-26,7.8149461299389402e-27,3.9074730649694062e-27,2.7354320701945494e-26,1.8293561500903881e-26,1.8221292675138344e-26,7.9357240251590442e-26
3.0000000000000002e-15,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6052901526947347e-18,1.3620312178910752e-19,3.6052901530575529e-18,3.4851708194391004e-18,3.4851709567689541e-18,1.2596650293390238e-18,1.2596652314974527e-18,6.0863225085996658e-20,5.0226526872530103e-20,2.5113263436264633e-20,4.7543007897920267e-26,1.9624725915206349e-25,3.9234205458653536e-26,1.9617102729326447e-26,1.3732985282513575e-25,9.1841144569340713e-26,9.1478325579972719e-26,3.9840568883627738e-25
7e-15,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.4452639597074139e-18,3.5682966617476913e-19,9.4452639619403725e-18,9.1305710002268638e-18,9.1305718454194866e-18,3.3001127595541777e-18,3.300114003731626e-18,1.5945142164125436e-19,1.3158505982241709e-19,6.5792529911207474e-20,2.9260167486225254e-25,1.2077979084177922e-24,2.4146547686272493e-25,1.2073273843136051e-25,8.4519262178491636e-25,5.6523368929165458e-25,5.6300073045981926e-25,2.451975356081406e-24
1.5e-14,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1125210402945069e-17,7.9808275494609245e-19,2.1125210413543508e-17,2.0421369611126407e-17,2.0421373622720553e-17,7.3810031411331643e-18,7.3810090464489911e-18,3.566272086792879e-19,2.9430162556913047e-19,1.4715081278456285e-19,1.3887914906632203e-24,5.7326501879399018e-24,1.1460810802704594e-24,5.7304054013522043e-25,4.0115941497176727e-24,2.6828064822244773e-24,2.6722080422416646e-24,1.163796601395679e-23
3.1e-14,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4485098606270669e-17,1.680588932488739e-18,4.4485098652100868e-17,4.3002959830224073e-17,4.3002977177322686e-17,1.5542763588943111e-17,1.5542789124893291e-17,7.5097635848663328e-19,6.1973275646690573e-19,3.0986637823344781e-19,6.0054398440650579e-24,2.4789345173415841e-23,4.9559079387094621e-24,2.4779539693546907e-24,1.7347098623997879e-23,1.1601101776984993e-23,1.1555271584910192e-23,5.0325295354780576e-23
6.300000000000001e-14,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,9.1204856280331883e-17,3.4456012875740321e-18,9.1204856470628614e-17,8.8166112257634044e-17,8.8166184286526964e-17,3.1866203223629048e-17,3.1866309253928173e-17,1.5396649611960791e-18,1.2705870160125737e-18,6.3529350800627653e-19,2.4935641795521665e-23,1.0293058887013881e-22,2.0577811538084274e-23,1.0288905769041969e-23,7.2028892913127076e-23,4.8170282361626398e-23,4.7979985634800476e-23,2.0896088799156308e-22
1.2700000000000001e-13,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.8464429669816504e-16,6.9756259977446171e-18,1.8464429747340592e-16,1.7849230506947527e-16,1.784925985049355e-16,6.4512757452930231e-17,6.451318940144685e-17,3.1170033803510852e-18,2.5722635271661354e-18,1.2861317635830471e-18,1.0158230958415654e-22,4.1932362733168336e-22,8.3829556510062684e-23,4.1914778255030678e-23,2.9343546018917712e-22,1.9623893278778452e-22,1.9546369189793016e-22,8.5127214396573929e-22
2.55e-13,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.7152287781323995e-16,1.4035675418085786e-17,3.7152288094240533e-16,3.5914424252254419e-16,3.5914542694175239e-16,1.2980456578057003e-16,1.298063092611905e-16,6.2715250844615354e-18,5.1754885262156561e-18,2.5877442631077864e-18,4.1000984472087232e-22,1.6925449979218485e-21,3.3835630405635412e-22,1.6917815202817436e-22,1.1844192082203537e-21,7.9209682487982066e-22,7.8896765951971619e-22,3.4360256184183293e-21
5.11e-13,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999833,11.0,7.4527884116555083e-16,2.8155774258768107e-17,7.4527885373864392e-16,7.2044632475663836e-16,7.2045108381538612e-16,2.6038298214655127e-16,2.6038998729478669e-16,1.2579948042719901e-17,1.03814264992232e-17,5.1907132496115127e-18,1.6473148775177455e-21,6.8006736301210142e-21,1.3594348906482191e-21,6.7971744532409825e-22,4.7590587477627502e-21,3.1826904477376116e-21,3.1701173546990993e-21,1.3805821865533946e-20
1e-12,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999667,11.0,1.4592065504843274e-15,5.5127369309915143e-17,1.4592065991895956e-15,1.410582906786231e-15,1.4106013424529116e-15,5.0978829534488344e-16,5.0981543002040054e-16,2.4627651934626495e-17,2.0323625878576627e-17,1.0161812939288088e-17,6.3804102730579089e-21,2.6344015709849749e-20,5.2654314339191865e-21,2.6327157169595387e-21,1.843566668050839e-20,1.2329151207321326e-20,1.2280445939043495e-20,5.3478691227009102e-20
1.023e-12,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999656,11.0,1.4927859723950266e-15,5.6395971940132695e-17,1.4927860227997631e-15,1.4430433186199337e-15,1.4430623975626519e-15,5.2151901559756571e-16,5.2154709706066462e-16,2.5194312853877726e-17,2.0791254888239466e-17,1.0395627444119502e-17,6.6030303018869962e-21,2.7263232208487297e-20,5.4491490627437924e-21,2.7245745313718398e-21,1.9078942718244891e-20,1.2759352838140192e-20,1.2708948101497321e-20,5.5344695307405684e-20
2.047e-12,0.21586489165271547,89.099999999999994,0.0,0.0,0.0,0.99999999999999301,11.0,2.9877810532430695e-15,1.1287636730286167e-16,2.9877812550820332e-15,2.8882086245931985e-15,2.8882850250571786e-15,1.0437079003830564e-15,1.043820334924858e-15,5.0413123607578412e-17,4.1602725782908774e-17,2.0801362891453013e-17,2.6433329763784612e-20,1.0917001692562004e-19,2.1814460771799113e-20,1.0907230385898959e-20,7.6400463980092035e-20,5.1094288522004957e-20,5.0892449558686375e-20,2.2160455872762635e-19
4.095e-12,0.2158648916527155,89.099999999999994,0.0,0.0,0.0,0.99999999999998601,11.0,5.9776944908128576e-15,2.2583715802831884e-16,5.9776952985703278e-15,5.7784245148561336e-15,5.7787302800462114e-15,2.0877530615026123e-15,2.0882029122796749e-15,1.0081111401339282e-16,8.3192958759006091e-17,4.1596479379485697e-17,1.0572503024668941e-19,4.3688195992307003e-19,8.7253897458372269e-20,4.3626948729171889e-20,3.0576519007727184e-19,2.0448828616645733e-19,2.0368052869835308e-19,8.8673273698607504e-19
8.191e-12,0.21586489165271552,89.099999999999994,0.0,0.0,0.0,0.99999999999997191,11.0,1.1957214487984811e-14,4.5175873947923002e-16,1.1957217719509869e-14,1.1558397451281351e-14,1.1559620790024196e-14,4.1745139093614693e-15,4.1763126997903142e-15,2.0144892460835738e-16,1.6624286663165635e-16,8.3121433315560811e-17,4.2247864743665967e-19,1.7476730448821041e-18,3.4869085081277608e-19,1.7434542540595333e-19,1.2233387428465387e-18,8.1815424899792767e-19,8.149227239379586e-19,3.546463473728568e-18
1e-11,0.21586489165271555,89.099999999999994,0.0,0.0,0.0,0.99999999999996569,11.0,1.4597800797681781e-14,5.5153709417763993e-16,1.4597806169687757e-14,1.4110719534405697e-14,1.411275334191626e-14,5.0949600196802686e-15,5.0979487162511202e-15,2.4575656401497823e-16,2.0280705641662142e-16,1.0140352820716749e-16,7.0146195894678616e-19,2.905071300711702e-18,5.7898905328618205e-19,2.8949452663971694e-19,2.0338075105629536e-18,1.3602128651403653e-18,1.3548408591646976e-18,5.8937678715626552e-18
1.6383e-11,0.21586489165271555,89.099999999999994,0.0,0.0,0.0,0.99999999999994371,11.0,2.3915027118740801e-14,9.0360190238103956e-16,2.3915040043366837e-14,2.311650828873554e-14,2.3121401809979842e-14,8.3427253718996692e-15,8.3499126151285728e-15,4.0209468581291114e-16,3.3182265807357657e-16,1.6591132903255462e-16,1.6858458602011457e-18,6.9889148977046888e-18,1.3915890678731081e-18,6.9579453392280857e-19,4.8935212443019662e-18,3.2728497622311204e-18,3.2599251361974643e-18,1.4176158126606859e-17
3.2767e-11,0.21586489165271566,89.099999999999994,0.0,0.0,0.0,0.99999999999988742,10.999999999999998,4.7825744111875388e-14,1.8072882281846068e-15,4.7825795787721395e-14,4.6225392549096471e-14,4.6244963849889826e-14,1.6657968502506544e-14,1.6686648260014474e-14,8.008891349472783e-16,6.6091965916325392e-16,3.3045982951474171e-16,6.7096534497861016e-18,2.7935584393489424e-17,5.5399674066535994e-18,2.7699837028929585e-18,1.9571300793354485e-17,1.3090509164742812e-17,1.303883331874478e-17,5.6615341901419503e-17
6.5535e-11,0.21586489165271594,89.099999999999994,0.0,0.0,0.0,0.99999999999977485,10.999999999999996,9.5627554507846074e-14,3.6146608797915349e-15,9.5627761008357582e-14,9.2413833211724251e-14,9.2492087929704575e-14,3.3204221884302028e-14,3.3318378111641323e-14,1.5886655237591751e-15,1.3110011180501463e-15,6.5550055798058935e-16,2.6569776349764551e-17,1.1157036152813965e-16,2.1949269110256419e-17,1.0974634541603551e-17,7.8254717980349463e-17,5.2349418262877303e-17,5.2142917751368925e-17,2.2572658886742347e-16
9.8303e-11,0.21586489165271613,89.099999999999994,0.0,0.0,0.0,0.99999999999966227,10.999999999999995,1.4340975079214872e-13,5.4220335313982595e-15,1.434101893018194e-13,1.3857296780016107e-13,1.387392120095141e-13,4.9666725893726376e-14,4.9908481512503759e-14,2.3668020925145022e-15,1.9531055171089233e-15,9.765527547546374e-16,5.6069715667424095e-17,2.3683158942531498e-16,4.633563427591204e-17,2.3167817076859335e-17,1.6624420935305187e-16,1.1122243902365456e-16,1.107839293529629e-16,4.7858720820269576e-16
9.999999999999999e-11,0.21586489165271638,89.099999999999994,0.0,0.0,0.0,0.9999999999996565,10.999999999999995,1.4588329565373398e-13,5.515634342853833e-15,1.4588375016890067e-13,1.4096195571301812e-13,1.4113427333652302e-13,5.0514979141428457e-14,5.0765505437685522e-14,2.4066100416712293e-15,1.9859528123806613e-15,9.9297640209342392e-16,5.8087912256466095e-17,2.4546848501386689e-16,4.8004783012883667e-17,2.4002391439168284e-17,1.7231762350488207e-16,1.152866658991479e-16,1.1483215073247985e-16,4.9599478127093156e-16
1.31071e-10,0.21586489165271638,89.099999999999994,0.0,0.0,0.0,0.99999999999954969,10.999999999999993,1.9117234243883537e-13,7.2294061830047767e-15,1.9117309000454154e-13,1.8470281808212968e-13,1.8498633608931845e-13,6.6045961262436979e-14,6.6457073133220424e-14,3.1354684908454604e-15,2.5873660777832373e-15,1.2936830293553204e-15,9.5039819279520893e-17,4.0360459746636987e-16,7.8565843947736561e-17,3.9282921793500356e-17,2.8351800718874614e-16,1.8970009739499553e-16,1.8895253168885676e-16,8.1471646824981012e-16
1.96607e-10,0.21586489165271686,89.099999999999994,0.0,0.0,0.0,0.99999999999932443,10.999999999999988,2.8665154421897483e-13,1.084415148621733e-14,2.8665309029460679e-13,2.7689385763272292e-13,2.7748058424891476e-13,9.8610486047763934e-14,9.9457185244068662e-14,4.6510899790897512e-15,3.8378827638660316e-15,1.9189413491693118e-15,1.9469131060092332e-16,8.3422174412912335e-16,1.6103072284526836e-16,8.0515360646041777e-17,5.8672661619182919e-16,3.9263692735883114e-16,3.9109085172690197e-16,1.680920940433844e-15
2.62143e-10,0.21586489165271733,89.099999999999994,0.0,0.0,0.0,0.99999999999909917,10.999999999999982,3.8205873138999675e-13,1.4458896789429124e-14,3.8206135816285503e-13,3.6897738893622876e-13,3.6997483240849194e-13,1.3087275595092059e-13,1.3230559174135066e-13,6.1332526946363465e-15,5.0606295918763692e-15,2.5303147152595082e-15,3.2780152331998822e-16,1.4165445043511115e-15,2.7126551104722191e-16,1.3563275328968689e-16,9.9744347226310375e-16,6.6758836642033939e-16,6.649615935620934e-16,2.8493802947811665e-15
3.93215e-10,0.21586489165271827,89.099999999999994,0.0,0.0,0.0,0.99999999999864875,10.99999999999997,5.726370261610658e-13,2.168838739585022e-14,5.7264273525973069e-13,5.5279232978228871e-13,5.5496332872758249e-13,1.9442413641826799e-13,1.9750893872523831e-13,8.9941455127893235e-15,7.4200122467639593e-15,3.7100057679552927e-15,6.9745418330643422e-16,3.0746560354485349e-15,5.7784646647646191e-16,2.889232185587517e-16,2.1709989452937313e-15,1.4535708154523819e-15,1.4478617167875581e-15,6.1594583424188239e-15
5.24287e-10,0.2158648916527192,89.099999999999994,0.0,0.0,0.0,0.99999999999819833,10.999999999999956,7.6290451561701091e-13,2.8917878002268046e-14,7.6291451528822168e-13,7.3614400934403932e-13,7.3995182504658943e-13,2.567118944344436e-13,2.6206649342965407e-13,1.1724824923134361e-14,9.6707351029347771e-15,4.8353665595533021e-15,1.197319475757863e-15,5.378559845987431e-15,9.9308799494290747e-16,4.9654394594483198e-16,3.8078157025501487e-15,2.5503585795217339e-15,2.5403589083109584e-15,1.0733158841197926e-14
7.864310000000001e-10,0.21586489165272105,89.099999999999994,0.0,0.0,0.0,0.9999999999972975,10.999999999999922,1.1425058700265495e-12,4.3376859215093791e-14,1.1425280476519607e-12,1.1014582499257626e-12,1.1099288176843491e-12,3.7762503275387629e-13,3.8927153867930545e-13,1.6837736822454788e-14,1.3879661842882914e-14,6.939826363964372e-15,2.5454918963769961e-15,1.1896431626153295e-14,2.1160951032220833e-15,1.0580471861926439e-15,8.4705677585863166e-15,5.6775586097489302e-15,5.6553809843378576e-15,2.3542937551582543e-14
9.999999999999999e-10,0.21586489165272288,89.099999999999994,0.0,0.0,0.0,0.99999999999656364,10.999999999999885,1.4508496646198224e-12,5.515660682953251e-14,1.4508852746291464e-12,1.3977164115188159e-12,1.4113494732804623e-12,4.7263118894952604e-13,4.9105035070185771e-13,2.068974231719388e-14,1.7044313904488781e-14,8.522146139796431e-15,3.9573311445422774e-15,1.9061824571546418e-14,3.2953829305217125e-15,1.6476903929894256e-15,1.3633061761646596e-14,9.1431307884709136e-15,9.1075207791469195e-15,3.74809863238783e-14
