Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704)
0.0,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4243409112305536e-22,1.6672536904324215e-22,3.4243409097687135e-22,3.3336076066760008e-22,3.3336076255076629e-22,9.3871707196789781e-23,9.3871707029280425e-23,7.2063217816190025e-23,6.0657987518818798e-23,3.0328993741806389e-23,2.8273854567369898e-29,4.9414606232377835e-30,2.3799036064731264e-29,1.1899517983093676e-29,5.6099857893057059e-30,3.7927694754038186e-30,3.7750093831375408e-30,3.677662156006905e-30,1.4429231455344961e-36,2.386249606686041e-31,3.6749845859245154e-30,1.0348460766780115e-30,2.3283838827210928e-39,3.7456158490793677e-32,9.1353660393888475e-46,1.1040383020797314e-39,9.14952004771001e-40,3.5897952736309737e-46,1.7866825984779319e-46,7.0100122470756199e-53,4.2365436512610776e-38,1.8651442197687113e-26,1.662199141946881e-44,6.3902982361000799e-55,7.5256650781794893e-48,1.4291399246323912e-60,7.5256466387391104e-48,3.9661960009500463e-32,5.032680043194048e-40,2.4189100780268284e-40,3.6937572919270972e-24,7.1735929945657407e-56,1.4750198600555072e-53,1.8511176309452368e-53,4.0720152598671914e-32
3.0000000000000002e-15,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1251405728740086e-21,5.4781192724865532e-22,1.1251405719133713e-21,1.0953281952291559e-21,1.0953282076042478e-21,3.0843559380906321e-22,3.0843559270828742e-22,2.3677905120446224e-22,1.9930473793644468e-22,9.9652368852546384e-23,1.8579958330076558e-28,3.2472454783315527e-29,1.5639363840643129e-28,7.8196818738651863e-29,3.6865620625047969e-29,2.4923913576394162e-29,2.4807204392096161e-29,2.4167489474593273e-29,1.3604702066616967e-35,1.5681068739958785e-30,2.4149898582211352e-29,6.8004169259657773e-30,2.195333080699563e-38,2.4614045448216989e-31,1.1223448528106232e-44,1.0409503539646289e-38,8.6266892146815879e-39,4.4103194592102153e-45,2.1950667559052803e-45,1.0615159673089611e-51,3.9944543493557107e-37,6.128315214435196e-26,2.042129940475547e-43,9.6767319425455486e-54,9.2458237919479312e-47,2.5724506597109795e-59,9.2457935239356769e-47,2.6063571811204986e-31,4.7450983025354425e-39,2.2806866076579857e-39,1.2136631069121679e-23,1.086287577441657e-54,1.9990574627169414e-52,3.0376641009393235e-52,2.6758957389377849e-31
7e-15,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.4948768436684081e-21,1.2147134064234717e-21,2.4948768384475532e-21,2.4287710971534473e-21,2.4287711644093762e-21,6.839223035910338e-22,6.8392229760855701e-22,5.2503121044517709e-22,4.4193608963694823e-22,2.2096804418980511e-22,1.0097791972160838e-27,1.7648070631881735e-28,8.4996446554018823e-28,4.2498222526670504e-28,2.0035662406731208e-28,1.3545604783303423e-28,1.3482175855635891e-28,1.3134488550763833e-28,2.1973627367507672e-34,8.5223195996482664e-30,1.3124944438536614e-28,3.6958782359434804e-29,3.5457911924584244e-37,1.3377193096127976e-30,5.6769697222191031e-43,1.6812918731259645e-37,1.3933393633403458e-37,2.2307983990844985e-43,1.1102927434079563e-43,1.7530993672513866e-49,6.4516328090258223e-36,1.358877124102506e-25,1.0329351839140686e-41,1.5981081208855279e-51,4.676715036569967e-45,1.4321896829412538e-56,4.6766458015611996e-45,1.4164977927646357e-30,7.664052345384704e-38,3.683653877150298e-38,2.6911659984883669e-23,1.794032861438156e-52,1.3767301056455285e-50,6.9414412052997555e-50,1.4542911509347071e-30
1.5e-14,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.2343491467536811e-21,2.5485163724140899e-21,5.2343491236566277e-21,5.0956565427392682e-21,5.0956568402794519e-21,1.4348954202328349e-21,1.4348953937663622e-21,1.1015337165088755e-21,9.271972699081132e-22,4.6359863217284026e-22,4.467254740543066e-27,7.8075045221523829e-28,3.7602357362048305e-27,1.8801177983196795e-27,8.8637763311420368e-28,5.9925752465483284e-28,5.9645142719294725e-28,5.8106855365903184e-28,2.0435845166254548e-33,3.7702739206446475e-29,5.8064750939721665e-28,1.6350561434279012e-28,3.2976459734179975e-36,5.9180661712412289e-30,1.0918292972214199e-41,1.5636320108014883e-36,1.2958293384277893e-36,4.290407223300806e-42,2.1353788298385605e-42,6.8778012899838992e-48,6.000115938487952e-35,2.8509375677704359e-25,1.9865998374994963e-40,6.2696823616540599e-50,8.9947068668292195e-44,1.1360540034387775e-54,8.9944101617973234e-44,6.2665812728626175e-30,7.1277119370265123e-37,3.4258664108229817e-37,5.6461717175072872e-23,7.0385303397933885e-51,2.8931525003483939e-49,2.9740888492943613e-48,6.4337839669881958e-30
3.1e-14,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.071329279891027e-20,5.2161223349587418e-21,1.0713292702637799e-20,1.0429426000860251e-20,1.042942724105902e-20,2.9368404418289097e-21,2.9368403315120954e-21,2.2545314790119662e-21,1.8977135379700128e-21,9.4885675739250983e-22,1.8620224601428925e-26,3.2543018532740183e-27,1.5673257804417694e-26,7.8366283132465848e-27,3.694575264035245e-27,2.4978091407669164e-27,2.4861128255453446e-27,2.4219846658508434e-27,1.7247753111654443e-32,1.5715154013573176e-28,2.4202393534236685e-27,6.8151946867183079e-28,2.7831973337989039e-35,2.4667494135780543e-29,1.8563534461506894e-40,1.3197012768597804e-35,1.0936738731227222e-35,7.2946505212104767e-41,3.6306083837096108e-41,2.3479164263263671e-46,5.0640490118610633e-34,5.8349354137546265e-25,3.377650105399094e-39,2.1402828773041822e-48,1.5293567637431798e-42,7.7721242286086987e-53,1.5292507431422442e-42,2.6120158184472507e-29,6.0157764845979528e-36,2.8914243844391651e-36,1.1556182899000302e-22,2.4028798489529725e-49,5.1438546786752282e-48,1.0626088892107146e-46,2.6817127779498982e-29
6.300000000000001e-14,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1671176287168747e-20,1.0551334382297486e-20,2.167117589485367e-20,2.1096959184902733e-20,2.109696423877698e-20,5.9407256382792195e-21,5.940725188732527e-21,4.560498005893866e-21,3.8387217044836032e-21,1.9193608050024738e-21,7.5877867522883178e-26,1.326144379618384e-26,6.3868908542720215e-26,3.1934449451072056e-26,1.505558981061069e-26,1.0178705656740729e-26,1.0131042425343312e-26,9.8696381668788106e-27,1.4116234357731513e-31,6.40400869606864e-28,9.8626044605328368e-27,2.7772262259554469e-27,2.2778778250725399e-34,1.0052110811863264e-28,3.0455406408382815e-39,1.0801007936385399e-34,8.9510581959621688e-35,1.19676346014839e-39,5.9563503943559683e-40,7.7130672652217341e-45,4.1445836688896813e-33,1.1802438982300794e-24,5.5413434722665717e-38,7.0307382668082091e-47,2.5092522334409315e-41,5.1093029985045728e-51,2.5088956843340834e-41,1.0644073284199981e-28,4.9235831144367845e-35,2.3664707897178069e-35,2.337620423571968e-22,7.8942472005301096e-48,8.6334285657799008e-47,3.5733853156839798e-45,1.0928124438596592e-28
1.2700000000000001e-13,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3586927999475955e-20,2.1221758965938932e-20,4.3586926416311111e-20,4.2432002624214889e-20,4.2432023018857432e-20,1.1948476644278628e-20,1.1948474830157045e-20,9.1723150701440021e-21,7.7206405615619724e-21,3.860320090154677e-21,3.0619699106308466e-25,5.3515816275230122e-26,2.5773614444528101e-25,1.2886803325243012e-25,6.0756070710119767e-26,4.1075660894699067e-26,4.0883317307530915e-26,3.9827799671509605e-26,1.1412484351339316e-30,2.5843054849991836e-27,3.9800048855347023e-26,1.1207342232481267e-26,1.8415857686344151e-33,4.056459370427185e-28,4.9288225874557073e-38,8.7323321942614001e-34,7.2366261396496142e-34,1.9368112868837845e-38,9.6394716180191304e-39,2.4976264678301707e-43,3.3507004665444366e-32,2.3735477961522605e-24,8.9678269804158222e-37,2.2765219624896524e-45,4.0615021878363259e-40,3.30950087832434e-49,4.0603337989282792e-40,4.2953381376686305e-28,3.980605175708533e-34,1.9132355074263606e-34,4.7016242803393074e-22,2.5566983297559468e-46,1.413385903143093e-45,1.1709456063769455e-43,4.4099916359839213e-28
2.55e-13,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.7418370367324042e-20,4.2562610088807517e-20,8.7418364007421377e-20,8.5101997787949264e-20,8.510207971767021e-20,2.3963901109201768e-20,2.3963893821483009e-20,1.8395485264456158e-20,1.5484088391858642e-20,7.7420434301859112e-21,1.2300267893454723e-24,2.1498437185036265e-25,1.0353544191211029e-24,5.1767689622559959e-25,2.4407063707445051e-25,1.6501013276285973e-25,1.6423743756416283e-25,1.5999209603970688e-25,9.1761271111612885e-30,1.0381730909604252e-26,1.598857024024654e-25,4.5022274593766859e-26,1.4807152611896942e-32,1.6295545492169113e-27,7.9291050114124337e-37,7.0213194115502225e-33,5.8185692011997606e-33,3.115793668163928e-37,1.5506815566256636e-37,8.0373597958745366e-42,2.6940245741779284e-31,4.7593685974114234e-24,1.4426299121220614e-35,7.3248521943458187e-44,6.5357409584229751e-39,2.1299213316780045e-47,6.5319584851847255e-39,1.7255136889302396e-27,3.200673078560081e-33,1.5383655814159012e-33,9.4296303510088376e-22,8.2300446802782475e-45,2.2868979144304571e-44,3.7907032829303895e-42,1.7715935065320247e-27
5.11e-13,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7508101087653564e-19,8.5244320154727391e-20,1.75080985383164e-19,1.7044162125746793e-19,1.7044194967049363e-19,4.7994439854978681e-20,4.7994410642381146e-20,3.6839970107240477e-20,3.1009424676476865e-20,1.5504709269129261e-20,4.9302622136076143e-24,8.6175637548061566e-25,4.1499667175975298e-24,2.0749808460668678e-24,9.7835256679111383e-25,6.6144062261543279e-25,6.5834322214378673e-25,6.4128502789113256e-25,7.3587320258373507e-29,4.1614985478605749e-26,6.408993328097555e-25,1.8047006376443783e-25,1.1874514787211607e-31,6.5319160035474642e-27,1.2719772709659114e-35,5.6309388015547554e-32,4.6661796319572568e-32,4.9983270656625535e-36,2.4874515017564284e-36,2.5787909467619845e-40,2.1603223750499851e-30,9.5278643686274335e-24,2.3141077289902687e-34,2.349545309810232e-42,1.0490693501874349e-37,1.3664699612663266e-45,1.0478520929232353e-37,6.9165361986063866e-27,2.5669112764500201e-32,1.2337492828560104e-32,1.8885635916415889e-21,2.6422771326686773e-43,3.6790747285696482e-43,1.2198995413323402e-40,7.1014142932590417e-27
1e-12,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4252941851965503e-19,1.6677308525689257e-19,3.425293198810214e-19,3.3345223490070274e-19,3.3345350560435601e-19,9.3895338663358063e-20,9.389522563343529e-20,7.2064730801139e-20,6.0659286728526354e-20,3.0329631491883442e-20,1.9074254326624176e-23,3.3343092124869671e-24,1.6055447389497912e-23,8.0277043622994948e-24,3.78548197267161e-24,2.5592778629146212e-24,2.5472927667819679e-24,2.4809783184483328e-24,5.6618212150024148e-28,1.6101850461540117e-25,2.4797978422465933e-24,6.9827546906683746e-25,9.1363038343276743e-31,2.5272618728020681e-26,1.9517939813418188e-34,4.3328212336592087e-31,3.5901943828866562e-31,7.6697443362035139e-35,3.8164802783669415e-35,7.9020254544169885e-39,1.6619537373219822e-29,1.8624434692817105e-23,3.5504653134950636e-33,7.1956669700269083e-41,1.6116293836411758e-36,8.3639435229304096e-44,1.6078938577151023e-36,2.6760575939266478e-26,1.9752208512934047e-31,9.4935223645383952e-32,3.6948058890940604e-21,8.1067396691947851e-42,5.6528970706176489e-42,3.7436326657429745e-39,2.7477198685524603e-26
1.023e-12,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5040531499366678e-19,1.7060777155004145e-19,3.5040521291466298e-19,3.4111940077758289e-19,3.4112071580165423e-19,9.6054276644120281e-20,9.6054159671869335e-20,7.3721519136434843e-20,6.2053861017273055e-20,3.1026918222197034e-20,1.9739513669363198e-23,3.4506051536958544e-24,1.6615418873043329e-23,8.3076893129607438e-24,3.9175146441138419e-24,2.648542191190452e-24,2.6361390643825366e-24,2.5675078597219842e-24,5.8935120213124954e-28,1.6663462105741814e-25,2.5662900011771605e-24,7.2263032453095853e-25,9.5101762355116211e-31,2.6154083273343552e-26,2.0376134370629645e-34,4.5101294731900595e-31,3.7371110652034073e-31,8.0069794435279652e-35,3.9842878610835055e-35,8.261566080744265e-39,1.7299623150229854e-29,1.9052289738740137e-23,3.7065762632572495e-33,7.5230624426200685e-41,1.6824977196704519e-36,8.7509124802238384e-44,1.6785922195018587e-36,2.7693935681669717e-26,2.0560514926920001e-31,9.8820188489529039e-32,3.779762070773829e-21,8.4756103746883275e-42,5.9014753134571086e-42,3.9139757789679727e-39,2.8435568912563679e-26
2.047e-12,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.0105001565993332e-19,3.413347992568877e-19,7.0104960714511622e-19,6.8246909024514555e-19,6.8247435300381238e-19,1.9216898768365616e-19,1.9216851955925453e-19,1.4745494678018618e-19,1.2411779898461441e-19,6.2058850344221298e-20,7.898096239249422e-23,1.3809243417265174e-23,6.6481034085878498e-23,3.3240356005004178e-23,1.5678127911790213e-23,1.0599662919485539e-23,1.0550020616256904e-23,1.0272739028668709e-23,4.7165292517772893e-27,6.6688249056050267e-25,1.0270477883101932e-23,2.891953455890213e-24,7.6109687611541567e-30,1.046623370227176e-25,3.2615483625467517e-33,3.6100347891008453e-30,2.9908256484047879e-30,1.2816632590916861e-33,6.3761720829887589e-34,2.6443109281343158e-37,1.3841361437789569e-28,3.8051012639143114e-23,5.9315586776529282e-32,2.4053292523066372e-39,2.6994174413660619e-35,5.5959426687402753e-42,2.686907914723108e-35,1.1082298275286784e-25,1.6458347121769791e-30,7.9102312414876069e-31,7.5621484646431959e-21,2.7196422393802282e-40,9.4508974781326921e-41,1.2536723065347389e-37,1.1380180715104259e-25
4.095e-12,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4023237870179045e-18,6.8278935323996673e-19,1.402322152655039e-18,1.365144991713742e-18,1.3651660474697667e-18,3.8437856177462003e-19,3.8437668886854995e-19,2.9480321801567612e-19,2.4814601759167521e-19,1.2407281233963367e-19,3.1585831025941033e-22,5.5248056000159057e-23,2.6586958016087253e-22,1.3293350217130372e-22,6.2727680862637349e-23,4.2409216632807135e-23,4.2210565399285353e-23,4.1080256270946212e-23,3.7725023176062993e-26,2.6681813650313561e-24,4.1092103156720139e-23,1.1570161247922233e-23,6.087696095419162e-29,4.1868769122274496e-25,5.2177016724834298e-32,2.8884599765525385e-29,2.3922774684959017e-29,2.050386534498818e-32,1.0196006117356245e-32,8.4570664662207975e-36,1.1065562500534483e-27,7.5849035930130853e-23,9.4844479500746183e-31,7.676147867406516e-38,4.3385441479216442e-34,3.5717816668652782e-40,4.2985234451938248e-34,4.4332075671571456e-25,1.3170458219938063e-29,6.3297475477560304e-30,1.5126878766213756e-20,8.7416211573294625e-39,1.5117313738365403e-39,4.0108118939392072e-36,4.5532500899851755e-25
8.191e-12,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8048088122155759e-18,1.3657004468138982e-18,2.804802274904368e-18,2.7304028913773876e-18,2.7304871190671175e-18,7.6871833533388562e-19,7.6871084338851147e-19,5.8902620384753664e-19,4.9580447666495508e-19,2.4790145390315806e-19,1.262413424764446e-21,2.2099401505598225e-22,1.0626247766617629e-21,5.3130209608033067e-22,2.5093345263856153e-22,1.6965470833284256e-22,1.6885975950496743e-22,1.6417100226221858e-22,3.0154656177545343e-25,1.0673741615294114e-23,1.6438533852195487e-22,4.6281232453145482e-23,4.8661999687822899e-28,1.6743997162342517e-24,8.3417408769363791e-31,2.3103989135083561e-28,1.9123323728165011e-28,3.2781282796278266e-31,1.6286846374638392e-31,2.70186610127323e-34,8.8363744850194238e-27,1.5065600915780892e-22,1.5148353286531581e-29,2.4418500386018844e-36,7.0004323988862398e-33,2.2725456686564233e-38,6.8725660700220658e-33,1.7728172483106858e-24,1.0537579883009101e-28,5.0639740478406182e-29,3.0256167599171143e-20,2.820649240093614e-37,2.4149446650854347e-38,1.2814839378818295e-34,1.8215263067167595e-24
1e-11,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.424161653873755e-18,1.6673101369512485e-18,3.4241507871321632e-18,3.3332866428772945e-18,3.3334266629915445e-18,9.3839206538901016e-19,9.3837961095129524e-19,7.1855298018992927e-19,6.0483254405879866e-19,3.0241497052584086e-19,2.0967160208288348e-21,3.6736199651625565e-22,1.764899805818538e-21,8.8242374411340629e-22,4.1716736867424996e-22,2.8204890389238771e-22,2.8072685129764291e-22,2.7263753025023477e-22,7.6665443063695595e-25,1.7744778690265604e-23,2.7328800119387173e-22,7.6934431270194222e-23,1.2372348446131777e-27,2.7827403314848848e-24,3.5919130824514708e-30,5.8795210732854359e-28,4.8623486851833033e-28,1.4116138244762902e-30,7.0032537013800257e-31,2.1130994612320514e-33,2.2435309082545773e-26,1.8301244583964363e-22,6.5123987826513155e-29,1.8951429035709005e-35,3.0595294485146126e-32,3.350725077882572e-37,2.9595406524287404e-32,2.946137942597132e-24,2.6826342353972647e-28,1.2890317276547424e-28,3.6937868983673225e-20,2.245243209155271e-36,1.0382816238170947e-37,1.0021332040678571e-33,3.0283264589260612e-24
1.6383e-11,0.2113940008063275,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.6095288115874951e-18,2.7315305085082999e-18,5.6095026685860131e-18,5.4605431303421378e-18,5.4608800122837573e-18,1.5370805225155208e-18,1.5370505580785737e-18,1.175584165039842e-18,9.8953467461430063e-19,4.9476421132328928e-19,5.0405266734982606e-21,8.838168476278777e-22,4.2428553122351727e-21,2.1213455127121455e-21,1.0037185494679475e-21,6.7862831254721156e-22,6.7544639077395421e-22,6.5535828655068059e-22,2.4077730193284816e-24,4.2694712161544202e-23,6.5754764510478649e-22,1.8509328591321353e-22,3.8857558910986257e-27,6.6934855758988101e-24,1.332250899375011e-29,1.8473057140647011e-27,1.527138910632055e-27,5.2357717906154373e-30,2.596725278096929e-30,8.6157598971643204e-33,7.0418725078129306e-26,2.9718112209179994e-22,2.4146145342557454e-28,7.7204962887856407e-35,1.1384902842466891e-31,1.4371793221509467e-36,1.0977223937092955e-31,7.0861633663839683e-24,8.4300731990324375e-28,4.0505324921011491e-28,6.0514043631145183e-20,9.172256472884586e-36,3.8497202225459404e-37,4.0859613102122215e-33,7.2864831043389755e-24
