Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262)
0.0,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3439483621525599e-21,3.2023011294051692e-22,1.3439483612141592e-21,1.3068688769985503e-21,1.3068688825688486e-21,3.8305451692571653e-22,3.8305452301689861e-22,1.4178903134858886e-22,1.1900396311521246e-22,5.9501981505788309e-23,4.2373182012749132e-29,1.6341991721305191e-29,3.5563939978209605e-29,1.778196988764367e-29,1.7232077245963258e-29,1.162282951019665e-29,1.1571568541136083e-29,1.8732253813900964e-29,5.5980719565539369e-36,1.4497743425582337e-30,1.1252309445662873e-29,3.2981487436869972e-30,9.8912628572364992e-39,1.3456952040389688e-31,2.9559711167387971e-45,4.9647790619597589e-39,3.7892938702557736e-39,1.1324179094579595e-45,1.1272439392513066e-45,3.3687311460506791e-52,8.5975489675786116e-38,6.4959126002069694e-26,2.56934900941355e-44,2.7376023800930697e-54,3.8500603395493205e-47,7.5738844146276214e-60,3.8500603395493205e-47,1.4306278675709877e-31,1.3792936662072118e-39,1.066513959817332e-39
3.0000000000000002e-15,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4158302959941577e-21,1.0521846581291301e-21,4.4158302898275271e-21,4.293997682477886e-21,4.2939977190827034e-21,1.2586076256413535e-21,1.2586076656691171e-21,4.6587810647864374e-22,3.9101290481135566e-22,1.9550645206516317e-22,2.7845230105752983e-28,1.0739022933068083e-28,2.3370585974779296e-28,1.1685292891726389e-28,1.1323936408411062e-28,7.6378593641335983e-29,7.6041735812585501e-29,1.2309764855015806e-28,5.2781815291815253e-35,9.5270884788365745e-30,7.394374746562848e-29,2.1673548340391896e-29,9.326046837094913e-38,8.8431396615188488e-31,3.6316213472432881e-44,4.6810771725354133e-38,3.572762428928838e-38,1.3912561750225784e-44,1.3848994761668876e-44,5.1012207771061683e-51,8.1062586422248227e-37,2.1343672005384482e-25,3.1566282310737126e-43,4.1455094969756208e-53,4.7300737625980779e-46,1.3632984535698935e-58,4.7300737625980779e-46,9.4012683818223363e-31,1.3004768803720031e-38,1.0055702871476973e-38
7e-15,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.7916234630593281e-21,2.333105120027046e-21,9.7916234295450235e-21,9.5214727601778406e-21,9.5214729591170646e-21,2.7908251360452509e-21,2.7908253535873794e-21,1.0330331653065241e-21,8.6702786309439869e-22,4.3351392969658878e-22,1.513326383385777e-27,5.836424806604611e-28,1.2701394267752436e-27,6.350696979365958e-28,6.1543130266985215e-28,4.1510104239680905e-28,4.1327029219346221e-28,6.6900827449664172e-28,8.5250539921991547e-34,5.1777652725998945e-29,4.0186818142559159e-28,1.1779100425513513e-28,1.5062963878502794e-36,4.8060532771320419e-30,1.8369228660266309e-42,7.5606455012885865e-37,5.7705472758129804e-37,7.0371609555325966e-43,7.005001395344233e-43,8.4246976440858794e-49,1.3092809088233004e-35,4.732701001727629e-25,1.5966632538971573e-41,6.8462819612677533e-51,2.3925350704387385e-44,7.5900361352122748e-56,2.3925350704387385e-44,5.1093833554870911e-30,2.1004671232778931e-37,1.6241481090122179e-37
1.5e-14,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0543209080529548e-20,4.894946069623056e-21,2.0543208932262274e-20,1.9976421820283463e-20,1.9976422700390478e-20,5.8552587382747085e-21,5.8552597006805794e-21,2.1673405680740978e-21,1.8190555035784184e-21,9.0952774360214723e-22,6.6949460742065071e-27,2.5820338196427411e-27,5.6190886274366565e-27,2.8095441700212324e-27,2.7226679075585231e-27,1.836406938060068e-27,1.8283076908262668e-27,2.9596875721733733e-27,7.9284471679308216e-33,2.2906432059215949e-28,1.7778647514180027e-27,5.2110726073857671e-28,1.4008817417070241e-35,2.1261973181368295e-29,3.5328828597580584e-41,7.0315372254543392e-36,5.3667093894631108e-36,1.3534301005361311e-41,1.3472430957810238e-41,3.3051997219897145e-47,1.2176518931283994e-34,9.9292890885507791e-25,3.070795881892229e-40,2.6859215163326335e-49,4.6014709927759455e-43,6.0206231624108026e-54,4.6014709927759455e-43,2.2603899951692302e-29,1.9534737163081858e-36,1.5104878281731017e-36
3.1e-14,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2046377448829831e-20,1.0018628072014709e-20,4.2046376830826284e-20,4.08863155593185e-20,4.0886319227756402e-20,1.1984120268425908e-20,1.1984124279896513e-20,4.4359445141108638e-21,3.7231016802634084e-21,1.861550806006826e-21,2.7905617251370156e-26,1.0762361003293809e-26,2.3421270083315265e-26,1.1710633828861586e-26,1.1348551060415365e-26,7.6544623165546734e-27,7.6207031801639399e-27,1.233645058243484e-26,6.6915750781584855e-32,9.5477973069940189e-28,7.4104482407171508e-27,2.1720643685820499e-27,1.18233834844906e-34,8.862354217351651e-29,6.0066933713807145e-40,5.9345978774435236e-35,4.5294810610597039e-35,2.3011350833514667e-40,2.2906094658237508e-40,1.1283174364266946e-45,1.0276897394008625e-33,2.0322147210651409e-24,5.2210252545489055e-39,9.1689009355258429e-48,7.8235349975083081e-42,4.1188932871187297e-52,7.8235349975083081e-42,9.4216881127839491e-29,1.6487284704043418e-35,1.2748486508697579e-35
6.300000000000001e-14,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.5052702718872351e-20,2.0265992489587947e-20,8.5052700200475932e-20,8.2706085512691496e-20,8.2706100461767428e-20,2.4241820631542478e-20,2.4241836978469104e-20,8.9731089686258228e-21,7.5311576168628925e-21,3.7655786693723025e-21,1.1371625231905863e-25,4.3857170676538215e-26,9.5442403521925863e-26,4.7721191834970849e-26,4.6245949396137242e-26,3.1192344178687675e-26,3.1054773315831553e-26,5.027137211908632e-26,5.4766536502009297e-31,3.8907781835148294e-27,3.0197972944769246e-26,8.8512706938739534e-27,9.6767353110696277e-34,3.6114530933137564e-28,9.8546179633278685e-39,4.8571309298455091e-34,3.7071116896595377e-34,3.7752573245677901e-39,3.7579682214753664e-39,3.7066104624344369e-44,8.410973342201476e-33,4.1106591334065608e-24,8.5655916595497443e-38,3.0119217543700399e-46,1.2835346319481198e-40,2.7076912590680954e-50,1.2835346319481198e-40,3.8393810531899337e-28,1.3493939086922973e-34,1.0433929657248389e-34
1.2700000000000001e-13,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7106530739274621e-19,4.0760722975825303e-20,1.7106529722989101e-19,1.663455553207112e-19,1.6634561564692795e-19,4.8757130569392537e-20,4.8757196536358004e-20,1.8047264130900996e-20,1.5147123825873479e-20,7.5735613517826665e-21,4.5889121762766533e-25,1.7698322951286504e-25,3.8514885903308132e-25,1.9257434926840536e-25,1.8662321224920221e-25,1.2587516637531228e-25,1.2532000132478604e-25,2.028650201458818e-25,4.4276959291117791e-30,1.5701040300369676e-26,1.2186242388028308e-25,3.5718801623865309e-26,7.8233309470158171e-33,1.4573810598887672e-27,1.5948497594479193e-37,3.9268607849287057e-33,2.9970830998063008e-33,6.1097969026177252e-38,6.0817495818382292e-38,1.2002719096182767e-42,6.7999136834079246e-32,8.2670391780818746e-24,1.3862189744586788e-36,9.7523191027015676e-45,2.0772465155872091e-39,1.7538536149029408e-48,2.0772465155872091e-39,1.5493573603692268e-27,1.0909544729117775e-33,8.4355833790115425e-34
2.55e-13,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4309033327581644e-19,8.175019055211294e-20,3.4309029244941759e-19,3.3362421454234066e-19,3.3362445688597774e-19,9.7787387294442416e-20,9.7787652296557205e-20,3.6194879496267588e-20,3.0378473610289032e-20,1.5189234550960041e-20,1.8434281246097275e-24,7.1097965128140685e-25,1.5471953777229131e-24,7.7359704363289899e-25,7.4970710717559601e-25,5.0566883707245332e-25,5.0343857717066192e-25,8.1493331971734312e-25,3.5600767986690337e-29,6.3074582825699488e-26,4.8954869686606468e-25,1.4348993533256425e-25,6.2903373710483086e-32,5.854603022934297e-27,2.5656839439928245e-36,3.1574279436007323e-32,2.4098031498809601e-32,9.8290289452479705e-37,9.7836927545150571e-37,3.8625153260037401e-41,5.4673168476530026e-31,1.6577764693714049e-23,2.2299965668990505e-35,3.137773114375176e-43,3.3417375968386473e-38,1.128706752444144e-46,3.3417375968386473e-38,6.2240691729402563e-27,8.7720065040968883e-33,6.7827547236265577e-33
5.11e-13,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.8713965118458568e-19,1.6372915211553728e-19,6.8713948753312485e-19,6.6818041141192368e-19,6.6818138284039126e-19,1.9584644816499681e-19,1.9584751040621305e-19,7.2487330612929746e-20,6.0838842829866088e-20,3.0419412379846027e-20,7.3890274272256219e-24,2.8499380804220814e-24,6.201637685539647e-24,3.1008136684178036e-24,3.0051884098768276e-24,2.0269666230010049e-24,2.0180263591988283e-24,3.2664802120353549e-24,2.8550100329409416e-28,2.5283340061923165e-25,1.9623488473433221e-24,5.751732800444576e-25,5.0445627209421806e-31,2.3467901581814907e-26,4.1158840210610425e-35,2.5321792685068929e-31,1.9325567167695103e-31,1.5767814709532133e-35,1.5694394456051243e-35,1.2393165354654211e-39,4.3843079035553196e-30,3.3191081798250909e-23,3.5771909225220899e-34,1.0064211138650346e-41,5.3608563483778881e-37,7.2408758762057982e-45,5.3608563483778881e-37,2.494871463513707e-26,7.035074393522553e-32,5.4396781739206864e-32
