Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144)
1e-12,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0288521019194615e-17,1.7499539493162493e-18,1.0288511225747555e-17,9.9877069210741037e-18,9.9877444705061951e-18,3.1089736550268157e-18,3.1090185598559752e-18,7.552657746161459e-19,6.3102449721852886e-19,3.15511852517272e-19,1.9630831638559774e-22,1.2674804178565329e-22,1.640159495406276e-22,8.2007550290788658e-23,1.1931909968685697e-22,8.0228631632833537e-23,7.9902218707912597e-23,1.4300237151123902e-22,3.2047298769695916e-26,1.5350182689122167e-23,7.7566365936919112e-23,2.4144945598343503e-23,6.4708050990782385e-29,1.1877812111654653e-24,1.3574900373458454e-32,3.5363036831098367e-29,2.3867108652201837e-29,5.0069942261615626e-33,7.2832288558059975e-33,1.4808612816376408e-36,3.6397728780353743e-28,1.0085484282560193e-21,7.6358098485115784e-32,1.0062321173481185e-38,3.0482333921394802e-34,1.9876820384341887e-41,1.8093578125649527e-34,1.2677815249910731e-24,1.0191623988140863e-29,7.3787852254249374e-30,4.8714195008386786e-20,1.7381866717962837e-39,2.604482926558426e-40,1.9992329478807644e-37,3.7832191083712616e-25,6.8614354003640048e-30,1.2368937284933651e-34,5.6673284394198805e-29
1.023e-12,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0525088509470978e-17,1.7901914472867676e-18,1.0525078374441983e-17,1.0217357160462949e-17,1.0217396019567255e-17,3.1804576198850854e-18,3.1805040909139649e-18,7.7262958438919063e-19,6.4553196595781421e-19,3.2276557307283355e-19,2.0315501985658421e-22,1.3116882900662915e-22,1.6973638567727695e-22,8.4867750988858705e-23,1.2348079354631603e-22,8.3026903231148203e-23,8.2689104954956763e-23,1.4798987815301163e-22,3.3358723125688574e-26,1.5885576911691452e-23,8.0271780469903356e-23,2.4987084402214027e-23,6.7356007753231969e-29,1.2292093755190037e-24,1.4171781896603158e-32,3.6810163657342144e-29,2.484378991000157e-29,5.2271493306649153e-33,7.6034663080225704e-33,1.5482401419543228e-36,3.7887152053139915e-28,1.0317172797128537e-21,7.9715494734703122e-32,1.0520139778095563e-38,3.1822658233010058e-34,2.079644131149758e-41,1.8889144440607607e-34,1.3119996247015068e-24,1.0608688972507345e-29,7.6807416218692141e-30,4.98343012572878e-20,1.8172749736832414e-39,2.7190096770022487e-40,2.0902015366438548e-37,3.9151730718118935e-25,7.1422213960189499e-30,1.2912793504533383e-34,5.8992429888524986e-29
2.047e-12,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1057366641996752e-17,3.5816418272338209e-18,2.1057326081501805e-17,2.0441601511884099e-17,2.0441757026291174e-17,6.3627859846432514e-18,6.3629719492300505e-18,1.5453906309265473e-18,1.2911749850416272e-18,6.4558585280367166e-19,8.1284940336633566e-22,5.2493234548494483e-22,6.7913930488684808e-22,3.3956611670789257e-22,4.9417708317131973e-22,3.3227974883716077e-22,3.3092751909631955e-22,5.9210619956370348e-22,2.6696022126189313e-25,6.3574947017673652e-23,3.2125309197448317e-22,9.9996089680629794e-23,5.3904327852840773e-28,4.9193044261819766e-24,2.2683911259588798e-31,2.9462882625225151e-28,1.9882524055913507e-28,8.3668830105110384e-32,1.2167731674235458e-31,4.9553325384772722e-35,3.031250795907009e-27,2.0604804920535567e-21,1.2756205475504003e-30,3.3606669647412393e-37,5.0970988506382871e-33,1.3287277412877991e-39,3.0235592780964671e-33,5.2503801435361302e-24,8.4920704759523844e-29,6.1481142693372808e-29,9.9703351891478807e-20,5.8216219050071133e-38,4.3537417635242909e-39,6.6941024334787686e-36,1.5668906837858077e-24,5.7172462720034907e-29,2.0669036863273904e-33,4.7206712992641289e-28
4.095e-12,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2121451090896923e-17,7.1645704911777981e-18,4.2121288813650472e-17,4.0889355451870629e-17,4.0889977643544891e-17,1.2726394617593989e-17,1.2727138533872639e-17,3.08968991576809e-18,2.5814429976321044e-18,1.2907149443678083e-18,3.2506716457416745e-21,2.1001320327436513e-21,2.7159679461238895e-21,1.3579556982083119e-21,1.9771829645467283e-21,1.329449421396323e-21,1.3240364668482895e-21,2.3677331141397385e-21,2.1351632974992157e-24,2.5436064425886202e-22,1.2853281981593351e-21,4.0005137341463894e-22,4.3115012370177472e-27,1.9681457379121937e-23,3.6287435552074479e-30,2.3572216917326777e-27,1.5903368851186128e-27,1.3384823429233213e-30,1.9456156357615059e-30,1.5847060791062084e-33,2.4232156403030789e-26,4.107053320579423e-21,2.0395318624087785e-29,1.0706468391632199e-35,8.1648196081794515e-32,8.4665311035853545e-38,4.8370687241322039e-32,2.1004035122374358e-23,6.7955958349846081e-28,4.9195988105131188e-28,1.9944133822853588e-19,1.8650762308697127e-36,6.9631905028684388e-38,2.1413343068876823e-34,6.2691986912562501e-24,4.5751389558361917e-28,3.3065240486014568e-32,3.7751046591611683e-27
8.191e-12,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,8.4247732796504282e-17,1.4330538928192057e-17,8.424708366050862e-17,8.1781924510048136e-17,8.1784413370877111e-17,2.5449420985478846e-17,2.5452395944636248e-17,6.173405572115843e-18,5.1579137307068912e-18,2.5789306931418994e-18,1.2991780317045948e-20,8.4004472582506522e-21,1.0854897373209284e-20,5.4272227676280823e-21,7.9094202545621427e-21,5.318350866647443e-21,5.2966752686688957e-21,9.4616870933929898e-21,1.7065189075459529e-23,1.0175295060089759e-21,5.14181857044515e-21,1.6001126129431776e-21,3.4462696572596854e-26,7.8728805605454473e-23,5.8009564137701838e-29,1.8852177794250684e-26,1.2712627172007098e-26,2.1398196299065928e-29,3.1075544037795341e-29,5.0620944386673175e-32,1.9348343414592809e-25,8.1568890861265153e-21,3.2569828763036374e-28,3.3942255077633243e-34,1.308748394776069e-30,5.3686328417172839e-36,7.73350578624258e-31,8.4003255150555557e-23,5.4370847909014667e-27,3.9356445465570347e-27,3.9891681428234467e-19,5.9789813176314737e-35,1.1121454284854329e-36,6.8404838231467338e-33,2.5080023766352008e-23,3.660578520918924e-27,5.2861712214184011e-31,3.0164103986181261e-26
1e-11,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.0285115473702612e-16,1.7495488954887305e-17,1.0285007562905479e-16,9.9839548150197025e-17,9.9843685555359397e-17,3.1064851353970285e-17,3.106979538960404e-17,7.531031362659879e-18,6.2922341514546508e-18,3.1460736497746849e-18,2.1577053398651499e-20,1.3963939051746104e-20,1.802831048191907e-20,9.0135811781162532e-21,1.3149062354029039e-20,8.8416832704268213e-21,8.8056098706480366e-21,1.5711898409523842e-20,4.3380467330352226e-23,1.6915950557634514e-21,8.5481495212125394e-21,2.6597067439247674e-21,8.761713130815074e-26,1.3087633503454316e-22,2.4975429230607582e-28,4.7966054484116554e-26,3.2322896839375705e-26,9.2135109084910275e-29,1.336003845492449e-28,3.9579826243468033e-31,4.911726861709238e-25,9.9081159121561795e-21,1.3998430591970927e-27,2.618495294708678e-33,5.6593597669196631e-30,7.8661322668731162e-35,3.3302200718367266e-30,1.3961612695723493e-22,1.3841549301836642e-26,1.0017555997004401e-26,4.8701473259575783e-19,4.7048530963572317e-34,4.7802809840335229e-36,5.3477757020167951e-32,4.1696274174328074e-23,9.3191834978252411e-27,2.276132423372405e-30,7.6649479465090556e-26
1.6383e-11,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.6849274801859097e-16,2.8662916274066826e-17,1.6849015176793272e-16,1.6355530917566431e-16,1.6356526341801857e-16,5.087872202399838e-17,5.0890613884479337e-17,1.2321371562241185e-17,1.0294648328145055e-17,5.1472198588333172e-18,5.1869921325621195e-20,3.3594546082084095e-20,4.3339474590760721e-20,2.166793481777683e-20,3.1636975853695801e-20,2.1273651613889373e-20,2.1186776020141038e-20,3.7765573827358676e-20,1.3623310475488509e-22,4.0700142951679942e-21,2.0567281891996524e-20,6.3984515410809218e-21,2.7517089411469585e-25,3.1487726391562266e-22,9.2631957693776747e-28,1.5069345907859624e-25,1.0151712087852094e-25,3.4172809654319894e-28,4.9535608216371795e-28,1.6137456483387313e-30,1.5415599142944982e-24,1.6087265072215523e-20,5.1899293372017517e-27,1.0660132290021085e-32,2.1010356112078617e-29,3.3727228959290441e-34,1.2352054220634502e-29,3.3584440818555681e-22,4.3496439834340346e-26,3.1477390595238505e-26,7.9786548582655682e-19,1.9196115417531366e-33,1.7723182725914922e-35,2.1803591888671645e-31,1.0032619476808768e-22,2.9285394425184555e-26,8.4421855840991542e-30,2.4067167497746083e-25
3.2767e-11,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.3695259034885772e-16,5.7329402541244787e-17,3.3694220870383458e-16,3.2705507938629716e-16,3.2709488285747514e-16,1.0167041229277679e-16,1.0171791140722472e-16,2.4539969306733413e-17,2.0503721554754648e-17,1.0251446639913999e-17,2.0668600325686307e-19,1.3430710649991251e-19,1.7270343842656168e-19,8.6337378444348474e-20,1.2652984816092517e-19,8.5088241118097409e-20,8.4739387814739768e-20,1.5040176513433474e-19,1.0851511827766617e-21,1.6277631041050132e-20,8.2261116251186937e-20,2.5575323263143054e-20,2.1926754635880965e-24,1.2590830070479457e-21,1.4760973535647379e-26,1.2034311513586312e-24,8.0911847306184513e-25,5.4465181935960187e-27,7.8659253313080566e-27,5.1244558867676071e-29,1.2231076446954907e-23,3.1300981755823247e-20,8.2355138795297375e-26,3.2882161025531734e-31,3.3834119861832553e-28,2.0813020975135274e-32,1.9692275381858099e-28,1.341904477168767e-21,3.4792786626798621e-25,2.5166614733269165e-25,1.5957513711324379e-18,6.1819054417102017e-32,2.8124710237827201e-34,6.9209069625052323e-30,4.0131365655496579e-22,2.3426858714040982e-25,1.3455935689165642e-28,1.9149577201715822e-24
6.5535e-11,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999845,11.0,6.7375155978050228e-16,1.1466907944926787e-16,6.7371006196574814e-16,6.5386674063810249e-16,6.5402583901133696e-16,2.0298690261774159e-16,2.031763455941614e-16,4.8671987595219588e-17,4.0667690541178623e-17,2.033221305248668e-17,8.2042255905127379e-19,5.3663438350552416e-19,6.8559984062118059e-19,3.4268644687162845e-19,5.0595022528893038e-19,3.4028535978935817e-19,3.3887921846076121e-19,5.9635240328186899e-19,8.6061185885261955e-21,6.5087945698566361e-20,3.2896426552464786e-19,1.0214875338127721e-19,1.7402974440428099e-23,5.0326964660440617e-21,2.3425903199162518e-25,9.593197023586864e-24,6.4248219947234264e-24,8.6470254295548516e-26,1.2396523137049298e-25,1.6148326655403568e-27,9.6250054199808623e-23,5.9360882110873566e-20,1.2961181256798618e-24,9.806480600706391e-30,5.480511962819536e-27,1.2421137263259849e-30,3.1280976802072344e-27,5.3556908813368524e-21,2.782565674311421e-24,2.0107703111946412e-24,3.1914588967381167e-18,2.0023430851007371e-30,4.4263981838031194e-33,2.1790673375217646e-28,1.6052384041801434e-21,1.8738084005604217e-24,2.136509891945225e-27,1.51541627760157e-23
9.999999999999999e-11,0.2152649378226709,89.099999999999994,0.0,0.0,0.0,0.99999999999999756,11.0,1.0277390089918415e-15,1.7499159781562977e-16,1.0276321628616808e-15,9.9720870618502263e-16,9.976183194833558e-16,3.089921422063713e-16,3.0947814824154867e-16,7.34288354716061e-17,6.1355193238435945e-17,3.0673488326401232e-17,2.0887162042907703e-18,1.3807541666090883e-18,1.745746455333635e-18,8.723522782204503e-19,1.3034421432153318e-18,8.7684578252831064e-19,8.7317622791749289e-19,1.5155559501267298e-18,3.9668192363005329e-20,1.6767792382060722e-19,8.4761134659747579e-19,2.6266293263887843e-19,8.032794461667644e-23,1.2957303824340102e-20,2.0506149586640421e-24,4.4621619748694736e-23,2.967944050381953e-23,7.5746511753275069e-25,1.0710309101505156e-24,2.7125720499277914e-26,4.3758826099706415e-22,8.4675942742334479e-20,1.1170079645311331e-23,1.4952936063765089e-28,4.9768178111682108e-26,3.7328884432092378e-29,2.7429826014997237e-26,1.3755817589226926e-20,1.3018371903928391e-23,9.391232881439745e-24,4.8695950503120879e-18,3.5405864420501974e-29,3.8147510441999647e-32,3.654476524242997e-27,4.1375742590265369e-21,8.7686952302261272e-24,1.8719281436862369e-26,6.9579580287388246e-23
