Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139)
0.0,0.002099465160857631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.54892830036602e-20,0.002099465160857631,6.8121951097879375e-36,1.3683342674125147e-31,1.2412494613115345e-22,6.3980572373325141e-36,3.24350139616328e-22,8.6039410051210914e-38,1.4709136466957735e-58,5.3792742648710778e-48,1.2759397477048486e-51,1.4618079853797076e-51,5.7061135392764462e-38,3.0215566973733106e-27,2.1347369696723285e-43,7.6008501293898037e-63,1.7184582086943493e-58,1.1800716579756847e-44,4.7775204913867605e-60,9.1207117940367416e-87,2.4316118390154046e-58,6.7416719471338647e-75,1.0759451793938575e-45,6.2242157490008933e-69,1.4497484790732688e-38,3.0899292396406178e-56,9.5218481838802886e-52,1.8210264057725952e-47,1.1522280319158277e-76,1.3583450186729172e-90,5.507329482436348e-57,1.0019029893133844e-72,1.7731043948423813e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991581,0.108803,0.0001,3.0155219092158068e-17,3.490910282626213e-16,3.4909064920015781e-16,8.5667513782779963e-26,8.5705113420184333e-26,1.1341002210773438e-16,5.3703776667596227e-26,1.4042279744492427e-36,1.7557475419442998e-36,4.2333120718188413e-41,8.106213501873102e-30,3.807025439764891e-24,1.9119972702539189e-28,2.821042045304506e-41,4.9432688393044464e-44,1.9937368531992619e-45,5.5251879424980142e-52,5.3431976823484999e-24,1.1808600937365022e-62,6.4093653263279487e-73,3.5752036135091294e-74,6.3549687026012404e-85,5.4267652651072018e-79,5.5361710794669396e-29,1.4497485864153007e-38,2.2302765587830294e-48,2.9458170245627084e-49,6.9355944874837242e-23,1.5682902173926643e-54,2.4122907947032645e-62,1.6291738802539333e-38,6.7092932565897954e-76,2.9123232444261627e-29,4.2072626428650808e-34,7.9234316008217294e-44,1.2189317762944188e-53,9.7263915912539906e-54,8.0500099467853529e-55,5.6110952869590331e-64,1.8153652053130005e-37,4.4568962590504532e-47,1.2679249236200005e-57,7.7058167078605636e-48,7.3004044234686289e-58,5.034733303367392e-46,1.2801721457933832e-51,3.9853362964553484e-40,4.8920574798888737e-50,7.3114002123749623e-64,2.3986873098487987e-74,4.8921283048283278e-50,2.2373665417079277e-50,6.8998141029993198e-48,1.6939594433249776e-57,2.9286713945778717e-58,1.0614592163148494e-57,6.0730393580999456e-59,2.0366391537175039e-78,6.9896610883445935e-86,8.469764198666844e-83,5.5966900233767922e-51,1.3740366659305579e-60,8.6098850422056073e-61,2.3756021735017847e-61,1.3272820787547987e-77
1.2736999241024857e-19,0.002099465160857631,3.9803851088395663e-35,8.2647371194016702e-31,3.4754984881505988e-22,3.8644265680717693e-35,9.081804432688566e-22,5.1967806599313233e-37,8.8843184257334614e-58,3.248229482803164e-47,7.7068062130060495e-51,1.7351132598194997e-50,1.597711790823458e-37,8.4603587533994779e-27,1.2893811297780988e-42,9.0238688155545374e-62,2.0401535854541576e-57,7.1276328147023612e-44,5.6718723614700352e-59,3.763687028484282e-85,5.4394180412090394e-57,2.1191512024335256e-73,1.277362024006365e-44,1.9573689009343502e-67,1.7211413935773166e-37,6.9120481082812754e-55,5.7511963025663691e-51,2.0677812665285665e-46,1.3679251193284627e-75,7.8214198010172708e-89,1.2319674902452875e-55,4.1343804598664248e-71,2.0167755041261754e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976437,0.108803,0.0001,8.4434613458026808e-17,9.7745487868377813e-16,9.7745381748235953e-16,5.1721213277380998e-25,5.1765888453186852e-25,3.1754803166921771e-16,3.2437079773606115e-25,1.6653606914571419e-35,2.0780157618521504e-35,5.025790103356196e-40,4.8961529506604075e-29,2.2994431829425872e-23,1.1548463507880383e-27,3.3491117981623948e-40,5.8686487599846916e-43,2.3669638102227126e-44,1.23596215169544e-50,3.2272911437517848e-23,4.8728511239072527e-61,4.8248091475956584e-71,2.6913234343480632e-72,8.6744990136212093e-83,4.0851327457727437e-77,3.3438473303465075e-28,1.7211415207487184e-37,4.9890381559204676e-47,6.5896744904453988e-48,1.9419655103713743e-22,3.508202493182522e-53,5.3951726995123798e-61,1.9341550898518479e-37,5.0505873573481571e-74,1.7590425095193212e-28,2.5426632400676006e-33,9.4117035252679755e-43,2.7280873176822176e-52,2.1768605464184214e-52,1.8016704061379346e-53,2.3110829125695184e-62,1.0964805833269419e-36,5.2912272328276334e-46,2.8328586625483714e-56,9.1483445168981918e-47,1.6310753853618609e-56,5.977222601810175e-45,2.5628593474198217e-50,4.7313910715137006e-39,1.094308224110256e-48,2.7078036248053966e-62,1.6230368734164e-72,1.0943374492423423e-48,5.0048992772383712e-49,8.1958181731198835e-47,3.7912243785538667e-56,6.5543773461649329e-57,2.3756477288145973e-56,1.3592051790115709e-57,1.3781442081727573e-76,9.5408175619974704e-84,5.7309518516002306e-81,6.6443878817036345e-50,3.0736552785618864e-59,1.9259959235457614e-59,5.3139983514344808e-60,5.4760664448707683e-76
2.911314112234253e-19,0.002099465160857631,1.8870598200118522e-34,3.9791147450053754e-30,7.9439965277419327e-22,1.86055503970073e-34,2.075841259946466e-21,2.5020264823205008e-36,4.2774168841082387e-57,1.5630152642627882e-46,3.7106282169254431e-50,1.7028064028354869e-49,3.651912663921909e-37,1.9337962868468655e-26,6.2078151092481826e-42,8.8599839739979272e-61,2.0030348883400218e-56,3.4316483821871086e-43,5.5686779867064478e-58,1.4888769559230836e-83,1.0747371793715014e-55,4.7251674100137551e-72,1.2541214128944551e-43,4.3707581426426005e-66,1.6898268247945346e-36,1.36570422679027e-53,2.7689534511273026e-50,1.98137644632591e-45,1.3430369934931502e-74,3.5055938098988861e-87,2.4341597860483007e-54,1.6355195516565178e-69,1.8257784676488508e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946132,0.108803,0.0001,1.929934021897012e-16,2.2341825777216004e-15,2.2341801529344319e-15,2.4879193226320157e-24,2.4923046903685629e-24,7.2582392986246596e-16,1.5617056254523988e-24,1.6313897599472078e-34,2.026762918540854e-34,4.9343514380282993e-39,2.357286879638364e-28,1.1070827238705638e-22,5.5600880552219663e-27,3.2881157238034221e-39,5.7618741403770545e-42,2.3238978722143211e-43,2.4420516790544541e-49,1.5538015014469416e-22,1.9276504692126266e-59,3.8148295932261724e-69,2.1279474425375285e-70,1.3703575551997949e-80,3.2299903666520528e-75,1.6099185474316814e-27,1.6898269490907254e-36,9.857493071407657e-46,1.3020084777747265e-46,4.4387738491268514e-22,6.9316169772812193e-52,1.0655477304714243e-59,1.898964638388625e-36,3.9933455468363132e-72,8.4690250430889363e-28,1.225686880381483e-32,9.2510690007016249e-42,5.3962327711852449e-51,4.3058906293393973e-51,3.563755372593989e-52,9.1046535153390594e-61,5.279082006821829e-36,5.1949582612108792e-45,5.5824386410207441e-55,8.9818966107991162e-46,3.2141327497932192e-55,5.868445533119601e-44,4.7255749523474097e-49,4.645307430275747e-38,2.1620585333154736e-47,9.9868213929261985e-61,1.1957375758389667e-70,2.1621741364851247e-47,9.8888367876043833e-48,8.0559358047658874e-46,7.4990572851901991e-55,1.2963560553479203e-55,4.69909417023207e-55,2.6885465116886784e-56,1.0153473923677389e-74,1.5072028518406965e-81,4.2221706789807765e-79,6.5234940977013543e-49,6.0729825780686991e-58,3.8054394049257342e-58,1.0499008836444226e-58,2.1653840066559278e-74
6.186542488497788e-19,0.002099465160857631,8.1818551830199115e-34,1.737783861707508e-29,1.6880992550577406e-21,8.1255326406188949e-34,4.4111637307918952e-21,1.0927009597105918e-35,1.8680603307961642e-56,6.8184872056810475e-46,1.6206458901599391e-49,1.5047998106308363e-48,7.7603144073669945e-37,4.1093171110674381e-26,2.7111159529747192e-41,7.8370839113772363e-60,1.7716616754358808e-55,1.4986910064493879e-42,4.925432736850621e-57,5.3136946375581067e-82,1.9124368030345844e-54,8.8401637594870113e-71,1.1092558369133243e-42,8.20172101710805e-65,1.4946326869174978e-35,2.4301976974123995e-52,1.2092747185859775e-49,1.7314863787016184e-44,1.1879010107120612e-73,1.3174908651540073e-85,4.3314559583899709e-53,5.8370513653583766e-68,1.3837774627966546e-86,0.88129999999999997,0.0,0.0,0.0,0.009889999999988552,0.108803,0.0001,4.1011097965279761e-16,4.7476379685932728e-15,4.7476328193892549e-15,1.0845814433690417e-23,1.0884549322834986e-23,1.5423752425303762e-15,6.8203775697321911e-24,1.4364574943666611e-33,1.7691845508310308e-33,4.3643783828593938e-38,1.0294891078092334e-27,4.8349194770339549e-22,2.4282365263306549e-26,2.9081906572063074e-38,5.0963124032706772e-41,2.0554591580422281e-42,4.3454959968413284e-48,6.7858570825904969e-22,6.8796406073694761e-58,2.72667792714769e-67,1.5209663195976349e-68,1.9602498339768183e-78,2.3086602500808523e-73,7.0309372453241087e-27,1.4946327958573082e-35,1.7540862216521231e-44,2.3168539623444953e-45,9.4323753887216834e-22,1.2334442174674498e-50,1.8944849475299465e-58,1.6796121870726198e-35,2.8542735404439989e-70,3.6986392036804771e-27,5.3661108582747036e-32,8.2013269573044381e-41,9.6237298695652878e-50,7.6791950528764355e-50,6.3556635466138702e-51,3.2227590219273722e-59,2.3055138001849657e-35,4.5948817287393131e-44,9.8811067293191077e-54,7.9443817710058064e-45,5.68888233275852e-54,5.1905254759790895e-43,8.1098984944863897e-48,4.1087211387838434e-37,3.8468740399146727e-46,3.4347473475850019e-59,8.2328260698391416e-69,3.8472865582165618e-46,1.7596653893049999e-46,7.141808523471503e-45,1.3373618253218553e-53,2.3115197390713524e-54,8.3804297647323314e-54,4.7948006392609172e-55,6.9909481702136293e-73,2.1559687542333298e-79,2.9070461487942632e-77,5.76994718007856e-48,1.0806396804215316e-56,6.7715618613187216e-57,1.8680436292976397e-57,7.7216859167123879e-73
1.2736999241024857e-18,0.002099465160857631,3.4038456780279409e-33,7.2549053227129677e-29,3.4754984370859411e-21,3.3922499015210255e-33,9.0818120224435806e-21,4.5618135870053851e-35,7.7987841501929291e-56,2.8402402295417436e-45,6.7668626186942157e-49,1.262670805876645e-47,1.5977117883417015e-36,8.4603587643355278e-26,1.1318375426652403e-40,6.588436124444669e-59,1.4891883894123894e-54,6.2567399379694519e-42,4.1401231980104398e-56,1.7953763341070709e-80,3.2256022228353866e-53,1.5236250636687312e-69,9.3239577927208976e-42,1.4221495414476392e-63,1.2563288267946336e-34,4.0988836056960356e-51,5.0484839002556992e-49,1.4467452323503008e-43,9.98502374862122e-73,4.5523690075740685e-84,7.3056291037930621e-52,1.972206554638187e-66,9.6219302454994542e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999764315,0.108803,0.0001,8.4434613457798082e-16,9.7745487216319596e-15,9.7745381345016119e-15,4.5116303669468052e-23,4.544085040172695e-23,3.1754759329941417e-15,2.8473723786407382e-23,1.1966553890556123e-32,1.4490977366322535e-32,3.6685232577095579e-37,4.2979143363614568e-27,2.0184823398442445e-21,1.0137409464987721e-25,2.4443236691050911e-37,4.2837576125643199e-40,1.7277335844565312e-41,7.3292990047888749e-47,2.8329598345905462e-21,2.3244703454838343e-56,1.8440498775089825e-65,1.0286281822565143e-66,2.6524975378179837e-76,1.5613456019777303e-71,2.9352778832943224e-26,1.2563289166849225e-34,2.9585160391174385e-43,3.9077109635128634e-44,1.9419517916614743e-21,2.08038399669623e-49,3.1899369561636236e-57,1.4118143550287796e-34,1.930342682233771e-68,1.5441035991610928e-26,2.2512891568490763e-31,6.9254390197057773e-40,1.6304120725055934e-48,1.3009768471827285e-48,1.0767512536445615e-49,1.0714438513654995e-57,9.625066223627988e-35,3.8622749179875348e-43,1.6491347126002171e-52,6.6777247259028278e-44,9.4938214812334055e-53,4.3628684323049479e-42,1.3428322638990878e-46,3.4536265475647786e-36,6.4869874261650708e-45,1.1387221580237125e-57,5.4618256264026807e-67,6.4883808187541974e-45,2.9679319282424161e-45,6.0307508303285369e-44,2.2655929158844264e-52,3.9146475567597679e-53,1.4197733984523492e-52,8.1231601549970048e-54,4.6380325426732497e-71,2.9172421615807676e-77,1.9286213573958396e-75,4.849972333946555e-47,1.822605740940061e-55,1.1421180788819385e-55,3.150057596367757e-56,2.6046536557142866e-71
2.5837912746078997e-18,0.002099465160857631,1.3881970259764434e-32,2.9638654704815965e-28,7.0502967109866357e-21,1.3858447511341145e-32,1.8423122005590202e-20,1.8636514790832076e-34,3.1860577914204355e-55,1.1551738956951635e-44,2.7653001878008879e-48,1.0316170650063059e-46,3.241072479349336e-36,1.7162442090179486e-25,4.6239256772305961e-40,5.4030849527962028e-58,1.220926615571731e-53,2.5560824202920429e-41,3.3943234664275824e-55,5.9027980817238241e-79,5.2980548547431436e-52,2.5206373691640663e-68,7.6443342637687137e-41,2.3813059596805934e-62,1.0300142683043148e-33,6.7324285776959281e-50,2.0624703983529357e-48,1.1826087468720231e-42,8.186325721735055e-72,1.5081908982029293e-82,1.1999503058944103e-50,6.4841759136912758e-65,6.4159346827267571e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999521888,0.108803,0.0001,1.7128164444243088e-15,1.9828370113769405e-14,1.9828348693537178e-14,1.8299742097594813e-22,1.8564069766271303e-22,6.4416695744517934e-15,1.1632437092149537e-22,9.6387272030961303e-32,1.1301425370261649e-31,3.0076772543153676e-36,1.7558382166311778e-26,8.2461478078072285e-21,4.14146251506762e-25,2.0036995788230662e-36,3.512083241863784e-39,1.4164943288962742e-40,1.2038345869716237e-45,1.1573549626111759e-20,7.6423188411181505e-55,1.2130727018066694e-63,6.7666324397417196e-65,3.4905235871297203e-74,1.0271020732559696e-69,1.1991567809904482e-25,1.0300143392464625e-33,4.8593492821898148e-42,6.418420807342048e-43,3.9393560770157387e-21,3.4170370927664432e-48,5.221863209569613e-56,1.1574892429753693e-33,1.2698387669226705e-66,6.3081224076309146e-26,9.2874986864673581e-31,5.7299265078255122e-39,2.7017065194283513e-47,2.1558084866781517e-47,1.7842562754148499e-48,3.4145783607116149e-56,3.9321535691358476e-34,3.1665262654146964e-42,2.6530927891688807e-51,5.474790968695551e-43,1.5270971964128356e-51,3.5768103354895715e-41,2.1850989512691543e-45,2.8314898360135432e-35,1.0650536463089293e-43,3.7080187502723404e-56,3.5579667306130888e-65,1.0655114915722472e-43,4.8748339871940132e-44,4.9896849657738285e-43,3.753882464393523e-51,6.4821022400391463e-52,2.3526503927590888e-51,1.3460674147621065e-52,3.0214232183096408e-69,3.8386717899539054e-75,1.2563867109077316e-73,3.9762742084523553e-46,2.9934677707507063e-54,1.8759165912120249e-54,5.1717759623049411e-55,8.5351944106074451e-70
5.2039739756187274e-18,0.002099465160857631,5.6065435782670735e-32,1.1980417701919189e-27,1.4199892898164188e-20,5.6018058997230671e-32,3.7105795571255792e-20,7.5331916450568077e-34,1.2878554984020628e-54,4.6281445350135102e-44,1.1184560756798179e-47,8.296620737206058e-46,6.5277938456246114e-36,3.4566608819098515e-25,1.8690646938232973e-39,4.3780296760467924e-57,9.8873802950284808e-53,1.0332093851387382e-40,2.7488116862067989e-54,1.9145541923048574e-77,8.588354212358136e-51,4.0741398835661278e-67,6.1905644260953032e-40,3.9424318592539733e-61,8.3413224628870478e-33,1.0913556673374348e-48,8.3368350894373951e-48,9.5628899782917319e-42,6.6294987867635735e-71,4.8790781930178915e-81,1.9451663953197845e-49,2.1031218909230779e-63,4.1908295049540382e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999999903705,0.108803,0.0001,3.4497570641008114e-15,3.9936012449140553e-14,3.9935969526851728e-14,7.2926469514422171e-22,7.5038935539244773e-22,1.2974025899634287e-14,4.7020104722122689e-22,7.5405776666694276e-31,8.3358534006289442e-31,2.4356953496227952e-35,7.0973785861456484e-26,3.3332157619930817e-20,1.674045343388899e-24,1.6221546549626787e-35,2.8441759648990757e-38,1.1471040354237989e-39,1.9514516115347306e-44,4.6782011352561831e-20,2.4787476289961716e-53,7.8707659870767904e-62,4.3903865541264598e-63,4.5299899181233775e-72,6.6641469819776977e-68,4.8471833558291224e-25,8.3413229927674942e-33,7.8771426289079086e-41,1.0404516666828165e-41,7.9340677691811917e-21,5.5391648028220798e-47,8.4083003183113146e-55,9.3736242847525325e-33,8.2390806777338408e-65,2.5498078595592151e-25,3.8271161594114706e-30,4.7245190932695143e-38,4.4565805687267509e-46,3.5560954660917793e-46,2.9432214604441769e-47,1.044964218894523e-54,1.5894393091550166e-33,2.5643349689414802e-41,4.1309775515096103e-50,4.4336095095639619e-42,2.3770255512564904e-50,2.8963786717041362e-40,3.5253708209952309e-44,2.2930108571646744e-34,1.7250860369322426e-42,1.1968170771526052e-54,2.2969629517872864e-63,1.7265692867589776e-42,7.9023058600978339e-43,4.1141647697957108e-42,6.1909930359561251e-50,1.0676901459144959e-50,3.8807541707662277e-50,2.2204061422430367e-51,1.9506940078072601e-67,4.9811941362137707e-73,8.1114792443416803e-72,3.2200476178381193e-45,4.8519968508800693e-53,3.0408904638655278e-53,8.3765378112411117e-54,2.7501640691211694e-68
1.0444339377640384e-17,0.002099465160857631,2.253412267485273e-31,4.8172729752693268e-27,2.8499083830015777e-20,2.2524613845103442e-31,7.4471357100071581e-20,3.029074804201512e-33,5.1784103051537102e-54,1.8284707486117907e-43,4.5029978177066702e-47,6.5867982290864073e-45,1.3101236523770668e-35,6.9374942585860958e-25,7.5154269697152212e-39,3.5280003340518599e-56,7.9582238690796938e-52,4.1544895164725048e-40,2.2124836544412117e-53,6.1679641928032494e-76,1.383121200428376e-49,6.4685815569292416e-66,4.9826796185785338e-39,6.5639723534895709e-60,6.7138217857842128e-32,1.7575946025271909e-47,3.3522047096527971e-47,7.6913526336914452e-41,5.3359973332471537e-70,1.5502195991351637e-79,3.1326151822315634e-48,6.775454948597852e-62,2.7095531801713471e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998067357,0.108803,0.0001,6.9236383033892038e-15,8.015129537646971e-14,8.0151210054454628e-14,2.8516210416582389e-21,3.0172823862683047e-21,2.6038614720241744e-14,1.8906524351931641e-21,5.6821187682281297e-30,5.6871497619938953e-30,1.9604600227073484e-34,2.8538245381458212e-25,1.3402641388528714e-19,6.7312625297875072e-24,1.3048579225634447e-34,2.2892400918763273e-37,9.2327335258945777e-39,3.1427007058472895e-43,1.8810739128926088e-19,7.9854857235858933e-52,5.0718090368917251e-60,2.8291023414963172e-61,5.8384365264959625e-70,4.2942966465371694e-66,1.9490310430629951e-24,6.7138221404393623e-32,1.2685663588374637e-39,1.6756088757616773e-40,1.5923103658173347e-20,8.9206555219439294e-46,1.3362612901621059e-53,7.5446701528960503e-32,5.3091458435478088e-63,1.0252375148854693e-24,1.5975391338055081e-29,3.9383649134526336e-37,7.4251787123355933e-45,5.9248566287670875e-45,4.9037951921537118e-46,3.0396581062218133e-53,6.3910652927385875e-33,2.0639997181445215e-40,6.1651310187873527e-49,3.5685254165453199e-41,3.5455648748622309e-49,2.3309113771634662e-39,5.6634062129462523e-43,1.845609759999905e-33,2.7736614290924086e-41,3.8458492100195542e-53,1.4761470059932637e-61,2.7784286050411583e-41,1.2726387439877157e-41,3.4295727661968968e-41,1.0310927819342135e-48,1.7737220875673727e-49,6.4656409143979961e-49,3.6994879415702612e-50,1.2537609745268834e-65,6.4183659218454594e-71,5.2134464339022755e-70,2.5917063242959954e-44,7.8122415978389044e-52,4.8970955398908817e-52,1.3467234806145935e-52,8.7449481231976575e-67
2.0925070181683694e-17,0.002099465160857631,9.0352820421812256e-31,1.9319416954831874e-26,5.7097459923639674e-20,9.033376546852313e-31,1.4920333774760393e-19,1.2148037601053259e-32,2.0767741338783591e-53,7.0830014090482946e-43,1.810963136122009e-46,5.1449446577076186e-44,2.6248121730881846e-35,1.3899161135508295e-24,3.0140223846220809e-38,2.8383590933488757e-55,6.3859735036193284e-51,1.6661361270579921e-39,1.7753801886369094e-52,1.9803865031364199e-74,2.2201941104740133e-48,1.0054949828943398e-64,3.9982461558683881e-38,1.1197696555630611e-58,5.3874188227345744e-31,2.8213284086645177e-46,1.3443840190365011e-46,6.1695443575203987e-40,4.2818017423812997e-69,4.8227583007530251e-78,5.0284919175311661e-47,2.1754357031205105e-60,1.7429438562771858e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996127971,0.108803,0.0001,1.3871400781707537e-14,1.6058185463665439e-13,1.6058168655355672e-13,1.0836469925719603e-20,1.2100650213206654e-20,5.2167297051815869e-14,7.582319429079007e-21,4.0410226073813061e-29,3.4883484301819351e-29,1.5731465025468871e-33,1.1445111403788157e-24,5.3750004214360506e-19,2.6995372080658236e-23,1.0457954453120359e-33,1.8369707436669374e-36,7.4084341081643893e-38,5.044563848049173e-42,7.5438660048112347e-19,2.5638885536964079e-50,3.2569739194037517e-58,1.8167704478927339e-59,7.4987651769943908e-68,2.7576972940736824e-64,7.8164856817181931e-24,5.3874189920364701e-31,2.0362555443699924e-38,2.6897026038681878e-39,3.1899625605456573e-20,1.4319632138013873e-44,2.089777741385596e-52,6.0540614124350012e-31,3.409385091402488e-61,4.1114283069485447e-24,6.8774165673166728e-29,3.3779920745281089e-36,1.2715140705711758e-43,1.0145902359662992e-43,8.3975973181132738e-45,8.2953503195005096e-52,2.5631028242195866e-32,1.6562295403561535e-39,8.627573073563427e-48,2.8634700018715969e-40,4.9573025446376752e-48,1.8698542500061658e-38,9.077760753860096e-42,1.480977796147207e-32,4.4378467311970051e-40,1.2329783873941871e-51,9.4632357170508855e-60,4.4530808978217153e-40,2.0428565922247566e-40,2.9415936938151925e-40,1.7643194454634517e-47,3.0198429424819072e-48,1.1071500090283364e-47,6.3352537734455637e-49,8.0394112647222304e-64,8.2395045881218714e-69,3.3429772158056386e-68,2.079571763203698e-43,1.2534763771360874e-50,7.8603938243923159e-51,2.154466999030262e-51,2.7366747245354901e-65
