Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202)
0.0,0.0035525145076237266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0777344505196894e-20,0.0035525145076237266,6.9460432751662135e-36,1.2730333716294585e-31,2.0664485926328259e-22,6.3937610211365371e-36,2.6316809081185208e-22,4.0936307205767338e-38,2.2867721878003319e-58,6.6121014499950808e-48,9.3933203135038187e-52,9.134373619989114e-52,1.3237792175821252e-37,2.4732115597220118e-27,1.0867470836744324e-43,2.9997019184548639e-63,1.0792140522352378e-58,6.5095906511462575e-45,8.0438367298706169e-61,1.9734959950449876e-104,4.9353031594656037e-76,5.5688023569215034e-75,8.8128743232535277e-94,1.9877967274356983e-69,1.5810715291078998e-71,2.9130890556656057e-66,1.1701549074221361e-51,1.0980840587103849e-47,1.2022471659444997e-76,6.7207329912860646e-91,4.4947998134545056e-86,3.7090064750936941e-82,5.1355202040456548e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993229,0.108803,0.0001,3.4084756779421456e-17,2.3917745304520089e-16,2.3917698325417447e-16,3.148290529350134e-26,3.1496331121503118e-26,1.6409369835007495e-16,1.9457440803521583e-26,5.1057959971857297e-37,6.2932215408023061e-37,8.1384955893807587e-42,3.3110320827679161e-30,5.0085181558841187e-24,7.8141124141633875e-29,6.6555320182503459e-42,2.2822188717129081e-44,1.0881543995909638e-45,3.0126230074701204e-52,7.2865552950413362e-24,6.0871912269870683e-63
1.141765646145513e-19,0.0035525145076237266,4.0164706537369301e-35,7.6891172715250381e-31,5.7860560557002678e-22,3.8618316547163905e-35,7.3687067563568469e-22,2.4725530276787658e-37,1.381210401465927e-57,3.9931766723858102e-47,5.6735654697188185e-51,1.0843193850831667e-50,3.7065818090155435e-37,6.9249923676191068e-27,6.5639523857079992e-43,3.5612461177841452e-62,1.281242922854194e-57,3.9317927534803267e-44,9.5496430336658947e-60,1.1358879892077918e-102,1.5515379104316097e-74,1.7506944746303596e-73,4.4506456874194187e-92,6.2491439354301549e-68,1.8790427506401538e-70,4.4022599494154735e-65,7.0677356404971873e-51,1.1879441411698298e-46,1.4273078353779214e-75,3.8703070603910876e-89,2.5884470511816235e-84,4.4028176987009403e-81,1.6148960942160417e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981052,0.108803,0.0001,9.5437318982364076e-17,6.696968683614782e-16,6.6969555300952371e-16,1.9007814816606872e-25,1.9023783979542894e-25,4.5946231477226971e-16,1.175229378195483e-25,6.0549430896665331e-36,7.4472925900477838e-36,9.6620278906963908e-41,1.9998633778257353e-29,3.0251447430533319e-23,4.719723897183388e-28,7.9013829618314068e-41,2.7094502437858605e-43,1.2918565859092515e-44,6.7391155815076167e-51,4.4010790736308934e-23,2.5118959288372001e-61
2.6097500483326012e-19,0.0035525145076237266,1.894651744165681e-34,3.7019780362588788e-30,1.3225270967148566e-21,1.8593057018713858e-34,1.6842759307333454e-21,1.190427921858291e-36,6.6499335226081209e-57,1.9220003801002151e-46,2.7315775477069462e-50,1.0643488540501451e-49,8.4721869910247515e-37,1.5828553985003193e-26,3.16026051979689e-42,3.4964525567497529e-61,1.257931899411e-56,1.8929889616353056e-43,9.3758962955090332e-59,5.0945356348610868e-101,3.4604491074237948e-73,3.9046349367113113e-72,1.8390215374820068e-90,1.3937683641585306e-66,1.8457294485884475e-69,4.7357502880955822e-64,3.4028104702845531e-50,1.1063748935531214e-45,1.401339296521032e-74,1.7351402873853411e-87,1.1604554448759047e-82,4.3216746308996498e-80,3.6029064287634581e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999956696,0.108803,0.0001,2.1814244338818521e-16,1.5307356983343226e-15,1.530732692111563e-15,9.1434485713169189e-25,9.1591330633666771e-25,1.0501993851849436e-15,5.6582230906114463e-25,5.9307237987769976e-35,7.2614167240554174e-35,9.4862389125359487e-40,9.6284812941965575e-29,1.4564767450801364e-22,2.2723438885825165e-27,7.7574877081800579e-40,2.6601543146619719e-42,1.2683517845799277e-43,1.3315349913229903e-49,2.1189297929369814e-22,9.936805466834875e-60
5.545718852706778e-19,0.0035525145076237266,8.1951867469155245e-34,1.6167508744918591e-29,2.8103700731298839e-21,8.1200764650671654e-34,3.5790867827286499e-21,5.1989121326981882e-36,2.9042006789918698e-56,8.389119172478914e-46,1.1929516803712797e-49,9.4097314764497352e-49,1.8003397351612652e-36,3.3635677226130971e-26,1.3801687967538916e-41,3.0925726911033799e-60,1.112626519556211e-55,8.2671801298694469e-43,8.292874335604708e-58,1.9160032395116932e-99,6.4774794077958776e-72,7.3089334941051157e-71,6.6285812664887251e-89,2.6089405154683508e-65,1.6328741219648521e-68,4.3529703855333454e-63,1.4860967319103449e-49,9.5274378925232803e-45,1.2394687379774821e-73,6.5245032438072866e-86,4.3635637613668859e-81,3.8208202809778223e-79,6.7484064152387738e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999907985,0.108803,0.0001,4.6355269219957112e-16,3.2528133556461799e-15,3.2528069686810047e-15,3.9861759718004407e-24,4.000034024774429e-24,2.2316728762837848e-15,2.471094263837777e-24,5.2208264869430613e-34,6.3347968077083428e-34,8.3904720014303701e-39,4.2050107425393168e-28,6.3608145999138719e-22,9.9239227509554254e-27,6.8611664381573864e-39,2.3528763633471174e-41,1.1218415942800451e-42,2.369392928842629e-48,9.2539201938065607e-22,3.546371687733871e-58
1.141765646145513e-18,0.0035525145076237266,3.4054359260871976e-33,6.749616231552916e-29,5.786056002461406e-21,3.3899720648079797e-33,7.3687098539191861e-21,2.1704440131368824e-35,1.2124466144020115e-55,3.4983182930906461e-45,4.9803384352189127e-49,7.9021974967611897e-48,3.7065818059066399e-36,6.9249923733824902e-26,5.7619330420281028e-41,2.599493689572212e-59,9.3522963072077139e-55,3.4513849658600602e-42,6.9706609669498337e-57,6.6278975706379529e-98,1.1175948972027855e-70,1.2610502103173189e-69,2.2439079229091713e-87,4.5013475514624379e-64,1.3726670793437048e-67,3.7240578026182127e-62,6.2041613145097611e-49,7.9017881523118377e-44,1.0418481576394918e-72,2.2567868757594271e-84,1.5093306885543e-79,3.2095056937395896e-78,1.1658128347448549e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999810563,0.108803,0.0001,9.5437318982131747e-16,6.6969686597743778e-15,6.6969555152813377e-15,1.6583217025475036e-23,1.6699354511751388e-23,4.5946172595783012e-15,1.0316328650344833e-23,4.3472150858122418e-33,5.1827251156262839e-33,7.0526978299481842e-38,1.7555092079655477e-27,2.6555132139985221e-21,4.1430423884878591e-26,5.7668140662365673e-38,1.9777343503173429e-40,9.4297344477729633e-42,3.9963192424073597e-47,3.8633270896272293e-21,1.198236406858395e-56
2.3161531678951838e-18,0.0035525145076237266,1.3880511374495832e-32,2.7574383640194156e-28,1.1737427767130326e-20,1.3849141880087672e-32,1.4947961465099964e-20,8.8669763927513978e-35,4.9532400332786329e-55,1.4259386328519559e-44,2.0346307574157419e-48,6.4668415321814299e-47,7.519065941908567e-36,1.4047841685096633e-25,2.3539376568358702e-40,2.1312219834999901e-58,7.667577558803949e-54,1.4100033756211049e-41,5.7149696738356598e-56,2.2004743794216611e-96,1.8528284934111843e-69,2.0906589345288409e-68,7.3689225489308357e-86,7.4626548698199323e-63,1.1254507748551764e-66,3.0791230081675974e-61,2.5346023317418704e-48,6.4350971169342338e-43,8.541700650785741e-72,7.4922681958678726e-83,5.0108006034048749e-78,2.6300063625500585e-77,1.9376581160152698e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999615719,0.108803,0.0001,1.9360141850607077e-15,1.3585279226363346e-14,1.3585252582327816e-14,6.7276200538909369e-23,6.8222310955961843e-23,9.3204956305775336e-15,4.2145540355474673e-23,3.4983487858185583e-32,4.0333461193744398e-32,5.7822281813012777e-37,7.171827912942164e-27,1.0848624316008339e-20,1.6925679939718793e-25,4.7273107859917161e-37,1.6214661026691122e-39,7.7310330384864796e-41,6.5639392534722171e-46,1.5782931895911758e-20,3.9395231389812686e-55
4.664928211394525e-18,0.0035525145076237266,5.6043625591659563e-32,1.1146006390117451e-27,2.3640170920491679e-20,5.598044475358563e-32,3.0106486562660291e-20,3.584177186418105e-34,2.002178818447193e-54,5.7378328557165129e-44,8.2243028486266491e-48,5.2179084149395961e-46,1.5144034191957133e-35,2.8293540349226329e-25,9.5149923867180188e-40,1.7259188211322459e-57,6.2094031093141838e-53,5.6994590936928856e-41,4.6281316871316342e-55,7.148322165205008e-95,3.0073719827187572e-68,3.3934004709290419e-67,2.3807251380028954e-84,1.2112820615618401e-61,9.114420424885898e-66,2.503891699988288e-60,1.0245267856501761e-47,5.1938784683046949e-42,6.9172906395763971e-71,2.4338396799914521e-81,1.6277423787057687e-76,2.1345746965152658e-76,3.1609670170258998e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999226031,0.108803,0.0001,3.8992961755230818e-15,2.7361900195328033e-14,2.7361846611804015e-14,2.6820147528251175e-22,2.757654798903112e-22,1.877221079039975e-14,1.7035878371765786e-22,2.7320575922816894e-31,2.9639071060967272e-31,4.6825987364125525e-36,2.8989675018835934e-26,4.385176379100376e-20,6.8416304030791327e-25,3.8272111747176358e-36,1.3131052773125434e-38,6.2607375747268273e-40,1.0640340521129659e-44,6.3796973816120235e-20,1.2777645026680455e-53
9.362478298393208e-18,0.0035525145076237266,2.2522170361038987e-31,4.4817599552289839e-27,4.7445655723308548e-20,2.2509489809817549e-31,6.0423624258575525e-20,1.4411847439738148e-33,8.0506729820268103e-54,2.2864445338871031e-43,3.3069560178548636e-47,4.1693794074526779e-45,3.0393970604233105e-35,5.6784937840291421e-25,3.8259366027371735e-39,1.3891696239988641e-56,4.9978678392194656e-52,2.2917274419120251e-40,3.7251247501173459e-54,2.2899041973676644e-93,4.8147143891987681e-67,5.4327346433173224e-66,7.6054925363836611e-83,1.9392270742337166e-60,7.336181518055068e-65,2.0194793783510137e-59,4.1195771315486362e-47,4.173488609338334e-41,5.5676372877943409e-70,7.7965016625308008e-80,5.2142670695078741e-75,1.7476338317858326e-75,5.1117377317372518e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999998446671,0.108803,0.0001,7.8258601563822008e-15,5.4915141495131783e-14,5.4915034252289436e-14,1.0494830716382285e-21,1.1088407953472465e-21,3.7675474782802641e-14,6.850033364120647e-22,2.0521961558518939e-30,2.0104238085359314e-30,3.7689634716151375e-35,1.1656620758181471e-25,1.7632512698999226e-19,2.7509894576446693e-24,3.0787230502027758e-35,1.0569013454950209e-37,5.0391002793100835e-39,1.7135657375607283e-43,2.5652353605037265e-19,4.116421643509514e-52
1.8757578472390572e-17,0.0035525145076237266,9.0298522840960103e-31,1.797386057765184e-26,9.5056619313319755e-20,9.0273115218445526e-31,1.2105824965358056e-19,5.7798183575915155e-33,3.2286799506269377e-53,9.0070980767806161e-43,1.3262372817885274e-46,3.2977784221594556e-44,6.0893843077500434e-35,1.1376773347364472e-24,1.5343717069163948e-38,1.114721144782e-55,4.0104742038758167e-51,9.1908521021330108e-40,2.9891807881656203e-53,7.2387830294931431e-92,7.6067119431996844e-66,8.5831149155067484e-65,2.4009071238813888e-81,3.0637625731740657e-59,5.8868838217002926e-64,1.6221556817606835e-58,1.6521346717333429e-46,3.3461580568035244e-40,4.467678270453293e-69,2.464584165467535e-78,1.6483018016466705e-73,1.5184399947935167e-74,8.2387263196680985e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999996887936,0.108803,0.0001,1.5678988117837917e-14,1.1002162167859725e-13,1.1002140785939271e-13,3.9934197028368572e-21,4.4469469649108878e-21,7.548133747035e-14,2.7471549993059298e-21,1.4517770572809219e-29,1.2237840058881084e-29,3.0243568084057385e-34,4.6748262267548009e-25,7.0713551178704889e-19,1.1032697852410748e-23,2.4676782938117335e-34,8.4809673757043109e-37,4.0434226230237662e-38,2.750561652609872e-42,1.0287637675202204e-18,1.3216536979703038e-50
3.75477788203853e-17,0.0035525145076237266,3.6161415164481837e-30,7.1989182950435775e-26,1.9027852243085868e-19,3.6156327059993006e-30,2.4232890045625904e-19,2.3149604631633638e-32,1.2931560585284386e-52,3.4827706290930051e-42,5.3118668354498858e-46,2.5684977790331343e-43,1.218935866188966e-34,2.2773332734524563e-24,6.1454901482724162e-38,8.9313342651607441e-55,3.2132597125034017e-50,3.6811348118493202e-39,2.3949865950052181e-52,2.2466318135934902e-90,1.1790708765165834e-64,1.3304172059974563e-63,7.4425368010862474e-80,4.7489549355428177e-58,4.7167252397720643e-63,1.3003585956338317e-57,6.6171560906470017e-46,2.6798756305198924e-39,3.5795792815172636e-68,7.6451840028220133e-77,5.1130517970820363e-72,1.6120664281420582e-73,1.3282459630668759e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999993770464,0.108803,0.0001,3.1385244039699283e-14,2.2023457329200628e-13,2.2023414837813198e-13,1.4495818027423281e-20,1.7810978495796216e-20,1.5109040175006941e-13,1.1002830949719433e-20,9.38755365127864e-29,6.5820700178868301e-29,2.4231673330942252e-33,1.8723688255518519e-24,2.8321734875194675e-18,4.4188335563719185e-23,1.9726685236707136e-33,6.7950938437896959e-36,3.2394374031801469e-37,4.4077794239972367e-41,4.1203382077897121e-18,4.2361382321587005e-49
