Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200)
0.0,0.001934269013069784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.863240764137335e-19,0.001934269013069784,4.5717801613723001e-37,2.3157231821393481e-32,1.956400587726285e-24,4.5695297819256418e-37,5.1610350941279592e-23,6.6544261082078838e-38,1.2041963274537424e-62,3.7300722038897352e-50,8.6003516080116842e-54,2.9302513784914012e-52,2.1248586070070851e-41,4.2953153375661051e-28,9.2875494456149667e-44,8.4078779376551406e-64,3.6138142996274202e-59,2.0721849187945586e-45,5.6955291262553851e-60,1.5775425976145936e-89,5.7849215065715589e-59,2.9963556221542866e-76,1.6777888554363305e-47,3.6977603063010806e-68,5.7206777616994321e-38,6.1263287323252957e-56,6.6750942258831174e-54,1.6974461826272325e-47,1.3356971178543437e-80,2.9842613930673767e-91,1.5414496222141023e-57,1.3409081574084541e-72,9.7010017716376619e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992397,0.108803,0.0001,3.7956956782099306e-17,3.5600862037347007e-16,3.5600857929241578e-16,1.42312351269592e-24,1.4272635152489929e-24,8.6614200614744006e-18,1.048679852941647e-24,1.3275434424087948e-34,1.9372553383009098e-34,3.3707781893472001e-39,4.1066497154172561e-29,4.2799690131656114e-24,1.003949005917988e-27,1.016074275889595e-39,3.1521926293334961e-43,1.9365618545095509e-45,2.6809952412332353e-51,4.0279187136060636e-24,5.4934449176820561e-61,5.2438044575113033e-70,3.32336786215521e-72,1.1083459302072222e-81,9.1019118267231374e-77,4.6048652437465283e-29,5.7206777445241375e-38,1.6851119555322347e-46,2.0019609108187828e-47,1.1440612728696168e-23,2.2339519213258957e-53,9.0725315717498984e-62,1.5458800456261865e-38,5.8529510466934428e-73,7.917434243863688e-29,5.0806056837948345e-35,5.3514886684304653e-44,1.5763643542077793e-52,1.0727236365025525e-52,9.3638171014215064e-54,3.0987408512122984e-62,1.7306309563273151e-38,6.9382216781885769e-47,1.3113526501510592e-56,8.8537501304315497e-49,6.4492722050547583e-57,4.8640925101948617e-46,1.3238667600529765e-50,2.456632913649993e-38,4.9225953715552338e-47,1.2451898567197466e-61,2.323761788074715e-71,4.9236385481637309e-47,7.6923040880675771e-48,1.1500451303694047e-48,4.6103749794153153e-57,5.8801415053564357e-59,3.387624605797561e-57,2.0197415381543136e-59,2.0001394775679895e-75,5.373649008721421e-83,9.9606847170956986e-82,1.0932180119629712e-52,4.3826754406924727e-61,3.2202440308630205e-61,5.5909232051963574e-63
2.201707413958454e-18,0.001934269013069784,2.76062579191109e-36,1.3986967881412628e-31,5.4779215837622668e-24,2.7599959622979907e-36,1.4450924871941779e-22,4.019279675397825e-37,7.2733457979141852e-62,2.2359877936446109e-49,5.1946319157139222e-53,3.4674806702430928e-51,5.9496040875300184e-41,1.2026882946853946e-27,5.6096798658014637e-43,9.9818670803032648e-63,4.2903203352735051e-58,1.2515996910949014e-44,6.7617322925575495e-59,6.5097685326071125e-88,1.2940627271751877e-57,9.3516643922955077e-75,1.9918691984165809e-46,1.1542116361664865e-66,6.791588607049075e-37,1.3704352258054196e-54,4.0317569067389485e-53,2.0145503539108528e-46,1.5857396118590398e-79,1.7063481529766577e-89,3.4481582846976426e-56,5.5332905886233014e-71,1.1034189442294225e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999978762,0.108803,0.0001,1.0627947898982295e-16,9.968241290607855e-16,9.9682401739397173e-16,8.571646264073172e-24,8.620671577665479e-24,2.4251948608577242e-17,6.3340243233801083e-24,1.5716138410747643e-33,2.2794735568622176e-33,4.0017879777644249e-38,2.4804164121314474e-28,2.5850988322979162e-23,6.0638519552122757e-27,1.2061695200158599e-38,3.7422830622250533e-42,2.2990834147665604e-44,5.9972720892326115e-50,2.4328605957435382e-23,2.2668828339094569e-59,3.9474006525243439e-68,2.5017455508051881e-70,1.5128850371593154e-79,6.851686355517302e-75,2.7813385930734335e-28,6.7915885668674462e-37,3.7695186819095095e-45,4.4783045806986828e-46,3.203345893434794e-23,4.9972611341037841e-52,2.0231837578507598e-60,1.8352671960148054e-37,4.4059504854924791e-71,4.7820981047975466e-28,3.2648069833629805e-34,6.7251272749737435e-43,3.7234162501144358e-51,2.5338033590103433e-51,2.2117618291282342e-52,1.345867154013867e-60,1.0453010883728663e-37,8.237056750562231e-46,2.9225876242394381e-55,1.0511164451891549e-47,1.4380046329746915e-55,5.7744749531862456e-45,2.9606951956000527e-49,2.9165137453334274e-37,1.1008224268154384e-45,5.1370549346884284e-60,1.7488160645601795e-69,1.1012527105596983e-45,1.720737176210275e-46,1.4452426866593387e-47,1.0889373297675149e-55,1.3882335444879434e-57,8.001638264862623e-56,4.7706879012219341e-58,1.5052947308416275e-73,7.3345958889053728e-81,7.4963456923818576e-80,1.2978604389533127e-51,9.803599051840458e-60,7.2035071384284477e-60,1.2503038372914676e-61
5.032474089047895e-18,0.001934269013069784,1.3289630612618719e-35,6.7341228111051883e-31,1.2520963328348527e-23,1.3288192217355e-35,3.3030810861101451e-22,1.9351165675951317e-36,3.5018028903443518e-61,1.0594369433911558e-48,2.5010148933122816e-52,3.3789913417952084e-50,1.359909500072663e-40,2.7490018172105036e-27,2.7008193797601487e-42,9.800340857717981e-62,4.2122619437887417e-57,6.0259137459993063e-44,6.6387090899614093e-58,2.5751951675158823e-86,2.5568452358461131e-56,2.0541823359095404e-73,1.9556253245583422e-45,2.5363171700211807e-65,6.6680219009511983e-36,2.7077490408783068e-53,1.9411173924792939e-52,1.9775566114343803e-45,1.556888540539727e-78,7.5358444020303375e-88,6.8129673295474984e-55,2.1889108221681792e-69,9.9892096693120215e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999951457,0.108803,0.0001,2.4292452340504965e-16,2.2784551146858752e-15,2.2784548750979123e-15,4.1026127107628814e-23,4.1504822206934452e-23,5.5432895448968436e-17,3.0495580300081865e-23,1.5336840855964219e-32,2.1958750986154499e-32,3.9289792990392054e-37,1.1942137133415788e-27,1.2446113115543245e-22,2.9194836486040401e-26,1.1839832788479272e-37,3.6741956442510911e-41,2.2572477590299934e-43,1.1849568641807454e-48,1.1713153010113829e-22,8.9675403842929934e-58,3.1210831582639266e-66,1.978050012266399e-68,2.3899815833389912e-77,5.4174120357288106e-73,1.3390947916572558e-27,6.6680218195795168e-36,7.4478932313783394e-44,8.8483669837499055e-45,7.3218124547263648e-23,9.8737460566499924e-51,3.9686034486241797e-59,1.8018728393178315e-36,3.4836438168000058e-69,2.3023416110136431e-27,1.7716179204264658e-33,7.3903840247004671e-42,8.2093438498375785e-50,5.5865015663731115e-50,4.8764772698232145e-51,5.9077788864198223e-59,5.0326746826003897e-37,8.0871911086610232e-45,5.7281419426460276e-54,1.0319907273514698e-46,2.8212582489374157e-54,5.6690416668457944e-44,5.8487256034753054e-48,2.8634486901335265e-36,2.1735601745632525e-44,2.031780243448618e-58,1.382415262570319e-67,2.1752607096016848e-44,3.3998846198214217e-45,1.5882076261557455e-46,2.4006543842290114e-54,3.0575263920970023e-56,1.7641797096310817e-54,1.051836972810673e-56,1.1899642712850594e-71,1.1585421941376839e-78,5.9259984514779071e-78,1.2742301620313074e-50,1.9369089634960921e-58,1.4232700227622001e-58,2.4688200413197129e-60
1.0694007439226776e-17,0.0019342690130697841,5.8036076388688818e-35,2.9409682345789867e-30,2.6607045827575262e-23,5.8033024242808107e-35,7.0191008573533665e-22,8.4512188450756813e-36,1.5293293049813406e-60,4.4801068696516983e-48,1.0922852677748557e-51,2.9431198094076197e-49,2.8898076639802906e-40,5.8416288649308972e-27,1.1795187806015131e-41,8.6684835452541576e-61,3.7256979822441799e-56,2.6316748490852733e-43,5.8718634126483658e-57,9.1906562117224834e-85,4.5497528796588217e-55,3.7291734902145946e-72,1.7297219312314493e-44,4.6083121876610638e-64,5.897789739221633e-35,4.8182946464666778e-52,8.4773695852181313e-52,1.7489795121444041e-44,1.3770502585585705e-77,2.7495270804584645e-86,1.2123267099532093e-53,7.8120392543990363e-68,7.5709318351034159e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999896831,0.108803,0.0001,5.162146122346209e-16,4.8417169604281336e-15,4.8417165165091114e-15,1.7707471174285525e-22,1.8126245800081853e-22,1.1779434811761165e-16,1.3318203319538811e-22,1.3402083015028203e-31,1.8712588352765962e-31,3.475137894512128e-36,5.2154448930190145e-27,5.4355226462965479e-22,1.2750151752828826e-25,1.0467911447520714e-36,3.2497843364872834e-40,1.9964994586024431e-42,2.1085565667366288e-47,5.1154210037268897e-22,3.2004352276849959e-56,2.2308084999624987e-64,1.4138203187135918e-66,3.4187735818657057e-75,3.872124764980558e-71,5.848178640240867e-27,5.8977895926763377e-35,1.3252983397274845e-42,1.5745166933498692e-43,1.5558334878447405e-22,1.7569804141653539e-49,6.9577698498035459e-58,1.5937301139621429e-35,2.4899504002369396e-67,1.0054642742926673e-26,9.4921249756023121e-33,7.9377545463431654e-41,1.7655756608877416e-48,1.2014843914776867e-48,1.0487840440282319e-49,2.5211922062339412e-57,2.1979011722002858e-36,7.1530288565629353e-44,1.003092668871545e-52,9.1278120922740491e-46,4.9502574904343354e-53,5.013541354577061e-43,1.040551333171727e-46,2.5326847381019869e-35,3.862455642478019e-43,7.249902680979186e-57,9.878247893591084e-66,3.8685131216678401e-43,6.0499056221897613e-44,1.7058385832986224e-45,5.1621095742361194e-53,6.561903879397243e-55,3.7941526972176567e-53,2.2621827682513139e-55,8.5037575744014074e-70,1.6568438189137636e-76,4.2348506427013277e-76,1.1270120622587134e-49,3.4462077677129592e-57,2.5325557466072541e-57,4.3875319904939531e-59
2.2017074139584537e-17,0.0019342690130697841,2.4228270494348932e-34,1.2277962462070397e-29,5.4779206866221688e-23,2.4227643362937807e-34,1.4451310693472937e-21,3.5282646340146391e-35,6.3846486505128991e-60,1.7535039665532655e-47,4.5603957690024532e-51,2.3973868464727402e-48,5.9496039201324832e-40,1.2026882971052455e-26,4.9242587251513103e-41,7.2868511540114833e-60,3.1316736363331194e-55,1.0986724459394304e-42,4.9356556827046974e-56,3.1052930989226368e-83,7.6737671972810097e-54,6.0519351088660354e-71,1.4539245357845583e-43,7.4924814531016239e-63,4.9574474437378512e-34,8.1267578496898775e-51,3.5391349016856083e-51,1.4700619590950367e-43,1.157493674912285e-76,8.9545711969405074e-85,2.0447512612471979e-52,2.639492584010526e-66,5.264356381255392e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999787595,0.108803,0.0001,1.0627947898902341e-15,9.9682401613236159e-15,9.9682395033448118e-15,7.2228874655304081e-22,7.5673503988761003e-22,2.4251548943129121e-16,5.5600728569799932e-22,1.1000127073787184e-30,1.4653802267469383e-30,2.9210631143435349e-35,2.1773454606000216e-26,2.2692053706569874e-21,5.3229370761288307e-25,8.791707670764903e-36,2.7316393798255389e-39,1.678160224703659e-41,3.5563521899749371e-46,2.1355703158991923e-21,1.0813437541654581e-54,1.5086816674333247e-62,9.5615773411188026e-65,4.6260510209845302e-73,2.6186997827801915e-69,2.441499354848861e-26,4.9574471951092647e-34,2.2352605389497696e-41,2.6556426354433642e-42,3.2029737094368991e-22,2.9634044716082968e-48,1.1384460536201281e-56,1.3396160851630526e-34,1.6839377036318325e-65,4.1973747878837885e-26,5.4293708401870412e-32,9.0289173320507387e-40,4.0063248686281798e-47,2.7263311406061077e-47,2.3798514568787981e-48,1.1239156047674663e-55,9.175804061241919e-36,6.0125516029316047e-43,1.6396820555696322e-51,7.6724272402346733e-45,8.1225067594516302e-52,4.2130706260852939e-42,1.7545388078705504e-45,2.1288687459160967e-34,6.4968536529669522e-42,2.4488838272804924e-55,6.6776921150329275e-64,6.5172423862296359e-42,1.0204025130280045e-42,1.9403315183781606e-44,1.1709192708866715e-51,1.4827377555899966e-53,8.6092012812671263e-52,5.1332304404200134e-54,5.7494750578203234e-68,2.2408334333713205e-74,2.863221178321227e-74,9.472709371479245e-49,5.8111220533505101e-56,4.2712648744524378e-56,7.3813803021738257e-58
4.4663207540300066e-17,0.001934269013069784,9.8979084977477214e-34,5.015947479962e-29,1.1112351310409568e-22,9.8977813723033228e-34,2.931641154015084e-21,1.4414497413816971e-34,2.6083371786891912e-59,6.300629803654795e-47,1.8634945164721409e-50,1.8426919769427294e-47,1.2069196171889123e-39,2.4397391226019232e-26,2.0117203678288686e-40,5.9754402736340935e-59,2.5675352418837181e-54,4.4884354383930546e-42,4.0465498401361677e-55,1.0209380200256728e-81,1.2604001563877561e-52,8.8840570369797789e-70,1.1919971858016385e-42,1.1047146766415337e-61,4.0644146018210771e-33,1.3348223092646141e-49,1.4458521134767363e-50,1.2052208480762011e-42,9.4898318060098848e-76,2.637831063507685e-83,3.3584610310602752e-51,8.6779497235557646e-65,3.5102898903663002e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999569107,0.108803,0.0001,2.1559551451873447e-15,2.0221284685223313e-14,2.0221284293069627e-14,2.8207275183955783e-21,3.091509222364767e-21,4.9195071616381646e-16,2.2714590491561974e-21,8.612240055575982e-30,1.0561201913647704e-29,2.3948645463238257e-34,8.8951657391750564e-26,9.2702945246006639e-21,2.1745932472642623e-24,7.1961893943503835e-35,2.2395627317195087e-38,1.375827840844265e-40,5.8411987420473569e-45,8.7243605459335762e-21,3.5551495073541359e-53,9.9244119286199623e-61,6.2897982181986836e-63,6.0875008746229003e-71,1.7226417781609249e-67,9.9743206413670602e-26,4.0644141922681634e-33,3.6712617706273902e-40,4.3618684662995804e-41,6.4965972311291753e-22,4.8674013917115313e-47,1.756962940885797e-55,1.0982816317503216e-33,1.1077281563566256e-63,1.7145679425842917e-25,3.4164013924422948e-31,1.1266725321723019e-38,9.9583930996536109e-46,6.7767737462661311e-46,5.9156276744661655e-47,5.3981924331857502e-54,3.7486148208567149e-35,4.9294528329164102e-42,2.5364911313400852e-50,6.2902393705432847e-44,1.2652858616886477e-50,3.452305840822729e-41,2.8803178535623016e-44,1.7453663998853757e-33,1.0613279910133257e-40,8.0472162857022196e-54,4.3891156030034883e-62,1.0679804493219386e-40,1.6760059938951449e-41,2.4212406460406887e-43,2.9083784039024454e-50,3.6550140275357226e-52,2.1398458220810299e-50,1.2759720416573233e-52,3.7802487240191679e-66,2.9458752273922687e-72,1.8825484084001628e-72,7.7654696489719197e-48,9.5401525508459466e-55,7.0147095230381949e-55,1.206251986713828e-56
8.995547434173111e-17,0.001934269013069784,4.0008662079918086e-33,2.0275255180673783e-28,2.2381206222064324e-22,4.0008403962744027e-33,5.9049337930546029e-21,5.8268816938398264e-34,1.054331494378069e-58,1.9832609150605799e-46,7.5386010984862789e-50,1.3088458200314754e-46,2.4308379841963664e-39,4.9138407906852236e-26,8.1316954057312888e-40,4.8426001676658138e-58,2.0792565857752936e-53,1.8142973751720746e-41,3.2770027749488544e-54,3.311294515035916e-80,2.0431032826344632e-51,1.1385625056620989e-68,9.6528108700598493e-42,1.4329383177837765e-60,3.2914677888804541e-32,2.1638041350243727e-48,5.8443670655074971e-50,9.7600893291633728e-42,7.685110758818006e-75,6.7954539971183664e-82,5.444051019709569e-50,2.8145914929859056e-63,2.2928887340329751e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999999913213,0.108803,0.0001,4.3422758557251012e-15,4.0727366800206083e-14,4.0727369136734719e-14,1.0470964344390759e-20,1.2496371885520373e-20,9.9079294764618907e-16,9.1815026902619763e-21,6.3957146405553049e-29,6.8738922072502431e-29,1.9394242447489358e-33,3.5955675138720074e-25,3.7470801330076745e-20,8.7900518383578218e-24,5.8086648685281328e-34,1.8136555459853056e-37,1.1141336000953146e-39,9.4684445199661735e-44,3.5264120237078702e-20,1.1530574059117189e-51,6.4390375634589743e-59,4.0808712536229528e-61,7.9000848694696941e-69,1.1176744967960367e-65,4.0317791797371895e-25,3.2914671240635798e-32,5.9507536406548633e-39,7.0706712633618151e-40,1.3081217637056308e-21,7.8902695091832672e-46,2.5098775812242541e-54,8.8939010144572327e-33,7.1870287325665174e-62,6.9289687046404802e-25,2.3494560649137167e-30,1.5381067747805029e-37,2.7090908289746104e-44,1.8435708850699505e-44,1.609351344859035e-45,2.7557158414131684e-52,1.5152496315887926e-34,3.9919983772251572e-41,3.6821989023166181e-49,5.093869370900615e-43,1.8588196877070508e-49,2.7928162554067802e-40,4.664314148639716e-43,1.4134286992747137e-32,1.7020084170050736e-39,2.6074507866586513e-52,2.843092510202996e-60,1.7232610865002481e-39,2.7168513998382912e-40,3.3054204540361444e-42,7.9003925176525134e-49,9.7810639898699384e-51,5.8206287833564589e-49,3.4712908013415152e-51,2.4502887051073596e-64,3.8155804071036395e-70,1.220228720596456e-70,6.2873350345419829e-47,1.5449995932856431e-53,1.1368372484713734e-53,1.9357626110561364e-55
1.805400079445932e-16,0.001934269013069784,1.6087249339656718e-32,8.1525856954644162e-28,4.4918890700474977e-22,1.6087196176321707e-32,1.1852608949417844e-20,2.3432139064458918e-33,4.239419801588879e-58,5.0416223484076785e-46,3.0403376689221409e-49,8.2029727156371934e-46,4.8786745517035593e-39,9.8620441952154322e-26,3.2697189846886581e-39,3.9083446501902395e-57,1.67356655774456e-52,7.2952100066904821e-41,2.6376198244846177e-53,1.0667174092485818e-78,3.2901626249710376e-50,1.1849822174223607e-67,7.7689529355831989e-41,1.5532208349220969e-59,2.6492587701236949e-31,3.4847387267561825e-47,2.3500001592326657e-49,7.8557259469237705e-41,6.1856440106410787e-74,1.4275529453704699e-80,8.7669641289979975e-49,9.0670614949619819e-62,1.4824516652584916e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998258176,0.108803,0.0001,8.7149172765747594e-15,8.1739506766821041e-14,8.1739519880940731e-14,3.61174772728281e-20,5.0247340230603712e-20,1.9883645354520384e-15,3.6917632327896805e-20,4.4106413538591892e-28,3.958066926797149e-28,1.5610187177106547e-32,1.4457613739758806e-24,1.5065870349868239e-19,3.5344399185210824e-23,4.6450265506207347e-33,1.4597871425210878e-36,8.9667526492430933e-39,1.5247380855799526e-42,1.4178630950910266e-19,3.7144264242266994e-50,4.1489563549585446e-57,2.6294856725999045e-59,1.0181299440406787e-66,7.2018094571685917e-64,1.6211601134924236e-24,2.6492576988497639e-31,9.5818311632603449e-38,1.1386758342736339e-38,2.6239960280475908e-21,1.270704257411386e-44,3.1768060812102263e-53,7.1581532794802636e-32,4.6309203159347517e-60,2.7848307412060702e-24,1.7230657337776024e-29,2.2446139553697805e-36,7.8866246942144668e-43,5.3670118401152152e-43,4.685435165426266e-44,1.430573386065711e-50,6.0927490455451498e-34,3.213107171662978e-40,4.9016049905438596e-48,4.0997808371328979e-42,2.5194243759266786e-48,2.2431639825343996e-39,7.4963826107723171e-42,1.1376274743720647e-31,2.6834474616344079e-38,8.3833533765099387e-51,1.8260436511249404e-58,2.7498978894220983e-38,4.3753201305106291e-39,4.8237171709842261e-41,2.2932265731096377e-47,2.757577007288726e-49,1.6941187148785327e-47,1.0106260963696625e-49,1.5758057225518587e-62,4.8982851050977625e-68,7.8473514486767932e-69,5.0584326235464069e-46,2.4833535018483777e-52,1.8299484309376344e-52,3.0560798308683711e-54
3.6170907515031743e-16,0.001934269013069784,6.4516914386760075e-32,3.2695472948415168e-27,8.9994158267970712e-22,6.4516821288851198e-32,2.375231877142147e-20,9.3993442807454054e-33,1.7001963606056465e-57,9.6320802428911145e-46,1.2333813370123669e-48,4.3599876551786091e-45,9.7743483534887382e-39,1.9758451277761167e-25,1.3113035764814687e-38,3.1689483082266291e-56,1.3429317109316849e-51,2.9257055445050853e-40,2.1165284492259714e-52,3.4246192040477094e-77,5.2808226484176217e-49,9.3848391044065567e-67,6.2333428589152234e-40,1.4511314798458043e-58,2.1258619422058931e-30,5.5937737936248381e-46,9.4247432690788975e-49,6.3037064596537942e-40,4.9635870617423722e-73,2.2963225726219708e-79,1.4071274886074969e-47,2.910909479374264e-60,9.5359949257075869e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996510286,0.108803,0.0001,1.7460200117370639e-14,1.6376370625824795e-13,1.6376374559696871e-13,1.1218719371381803e-19,2.0151413596125479e-19,3.9830563125795645e-15,1.4804992807621068e-19,2.7445368045293951e-27,2.0136926353040795e-27,1.2526213957179289e-31,5.7981461979561208e-24,6.0413067023486049e-19,1.4174676227067344e-22,3.6796271681183825e-32,1.1713863447786452e-35,7.1940287473032956e-38,2.4471388089470785e-41,5.6855300228057928e-19,1.192430798898498e-48,2.6640004392771961e-55,1.6883646472634906e-57,1.307496883747696e-64,4.624383126417543e-62,6.5015726267690733e-24,2.1258602224983251e-30,1.5375589156620468e-36,1.8277178274910407e-37,5.2515519837848867e-21,2.0397639264937881e-43,3.4279022831585641e-52,5.7432740027779759e-31,2.9734646028149914e-58,1.1158186373977224e-23,1.314540933430002e-28,3.414641210104493e-35,2.3956119654859194e-41,1.630301983577195e-41,1.4234366890272831e-42,7.1494700329985197e-49,2.4434626587091658e-33,2.5783156989501608e-39,5.8329036836478168e-47,3.2894818547791699e-41,3.0671458948510017e-47,1.7924336142923481e-38,1.1984386484142812e-40,9.1283774986331677e-31,4.1336658841978703e-37,2.6809388313452054e-49,1.164982321184893e-56,4.3349297651917018e-37,7.02308479616416e-38,7.3381259363450634e-40,6.9254132346885415e-46,7.8789133481735386e-48,5.1437747828496981e-46,3.0702955544963742e-48,1.0079504505890763e-60,6.2420174993707209e-66,5.0194082328387791e-67,4.0556088067644124e-45,3.9709291801609582e-51,2.9346094496333156e-51,4.7193738715693988e-53
