Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504)
0.0,0.00333177106019828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.624513683207089e-20,0.00333177106019828,2.2143256498406563e-35,2.4291956690435992e-31,7.6162694389373457e-22,1.5669022810603676e-35,5.2083435810161106e-22,5.5615369808794912e-38,5.2398907951351126e-57,3.4186795410033837e-47,5.4613386164254566e-51,1.7291987818481621e-51,1.6111325638009622e-36,5.04785512837166e-27,1.6775518666289084e-43,7.7307591572847371e-63,2.1025313737704118e-58,1.3411026022174671e-44,1.9229076302393435e-60,9.7939912770794621e-86,4.7299568700376892e-58,1.6970400883529325e-74,8.4369011037174229e-45,1.4258206471607462e-69,8.0129512346007081e-39,1.6683074699789048e-56,6.0498054906823477e-51,2.0720763660425104e-47,2.7612910171266202e-75,1.3663385399710839e-90,9.9149420549137526e-57,7.3008085639464319e-73,3.4773990463385539e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999990922,0.108803,0.0001,3.1259449239820477e-17,2.5558779370290829e-16,2.5558661717148474e-16,1.4948938102021747e-26,1.4952288785865194e-26,3.6520295509715212e-16,8.7750767082978809e-27,1.3787737400743529e-37,1.6156692330494116e-37,2.9888329775837816e-42,2.3367345607672401e-30,4.6736344509865272e-24,5.4659247021696097e-29,2.6799038533349561e-42,1.4771493504771654e-44,1.2668731618845118e-45,2.0608859611294374e-52,7.7433904235800627e-24,2.0121316245432148e-63,2.5233833651468244e-74,5.3078481621420036e-75,2.1231414496804499e-86,4.2229751557395289e-80,5.0271706504034603e-29,8.0129596711886232e-39,2.7510831605627133e-49,3.8080569833772801e-50,1.0591608865935517e-22,3.9306997724404129e-55,6.4214344452789515e-63,2.4474632950747344e-38,2.5828773886875728e-77,1.6209930156091942e-29,8.5607449906897005e-34,9.1732147370319754e-44,3.1494327939870285e-54,2.6832496599393704e-54,2.1797267732262678e-55,9.1673114082258371e-65,4.0102916216798478e-37,2.3460946080202032e-47,3.5191454031159003e-58,1.78455270197323e-47,2.1629194350936466e-58,4.8634540302489286e-46,1.6903201684582511e-51,4.6429489149350062e-41,1.3580906733663221e-51,2.2781743834067789e-64,4.2051784246388594e-75,1.3580981031208999e-51,1.4744555826506901e-51,1.4216543834622402e-47,8.3169133266544582e-58,6.3261356745672882e-58,4.8809543050460438e-58,1.0814102709874678e-58,2.418335278558134e-79,5.0422630503552911e-87,8.9443992828563066e-83,2.6015128060547835e-50,1.521930515127265e-60,8.9317541865278993e-61,1.1576421763904204e-60,1.4339131057340625e-78,4.5433903261328832e-39,1.4431160009226435e-86,1.4894482258253204e-68
4.5486383129798496e-20,0.00333177106019828,1.1276875159067692e-34,1.4672289636824037e-30,2.1325554422924239e-21,9.46408977533952e-35,1.4583362174679649e-21,3.3591683762181351e-37,3.1648940404408164e-56,2.064781604626815e-46,3.2988344964961639e-50,2.0528309518203655e-50,4.5111711785320863e-36,1.4133994360208975e-26,1.013241327489967e-42,9.1784311243044561e-62,2.4961252470313784e-57,8.1002597177633501e-44,2.2828759450437556e-59,4.0415178285363033e-84,1.0580724010563877e-56,5.3355132776873255e-73,1.0016288683691442e-43,4.4890506105741863e-68,9.5129757038607632e-38,3.7319370768250305e-55,3.6540825162988171e-50,1.8618068108618506e-46,3.2782046956462148e-74,7.8690449363716966e-89,2.2179328130508286e-55,3.0126989780351164e-71,3.9541630664391259e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999974581,0.108803,0.0001,8.75264578714834e-17,7.1564582229113889e-16,7.1564252803138959e-16,9.0271651686745028e-26,9.031182421167031e-26,1.0225682333159219e-15,5.300146224457544e-26,1.6356068743353196e-36,1.9138551058488108e-36,3.5483479389186235e-41,1.411387672058799e-29,2.8228751140524036e-23,3.3014185198135687e-28,3.1815697904817935e-41,1.7536717057042435e-43,1.5040316006465708e-44,4.6101188237413124e-51,4.6770076595318917e-23,8.3031163707753179e-62,1.8995397610554247e-72,3.9956150818420355e-73,2.8980772337805604e-84,3.1789499342191462e-78,3.0364110721963736e-28,9.5129857194488569e-38,6.1540622673787454e-48,8.5184709195800046e-49,2.9656499543259266e-22,8.7928181705581465e-54,1.4363998410489127e-61,2.9056283349073307e-37,1.9443253713944253e-75,9.7907963096498484e-29,5.1711807379824688e-33,1.0891387109783973e-42,7.0457396604521251e-53,6.0028199843378407e-53,4.8763664544869579e-54,3.7723687879672568e-63,2.4222161390123665e-36,2.7852835167514071e-46,7.8654254772836174e-57,2.1186208323383299e-46,4.8339192686030696e-57,5.7738878256883855e-45,2.4030286699735619e-50,5.5121088488416531e-40,3.0379666304449533e-50,6.057560956206483e-63,2.0546980882817946e-73,3.0379972891248983e-50,3.2982981011254195e-50,1.6879347828869861e-46,1.8606095845121888e-56,1.4152240260288223e-56,1.091940383200308e-56,2.4192723723305849e-57,1.1818913520964367e-77,6.8826544228622939e-85,4.3703383396103354e-81,3.0885155716106888e-49,3.4044925296285896e-59,1.9979973110029718e-59,2.5895733026371308e-59,5.9169589323197347e-77,2.7442077571078829e-38,1.5284003651779254e-84,6.1462496465216058e-67
1.039688757252537e-19,0.00333177106019828,4.9709027523415195e-34,7.0640644598359427e-30,4.874412436649673e-21,4.5565518299259027e-34,3.3333399953344893e-21,1.6172950133657913e-36,1.5237602434880873e-55,9.9400076665947332e-46,1.5884362805558199e-49,2.0153242081039353e-49,1.0311248407553111e-35,3.2306272826956913e-26,4.8783208288498907e-42,9.0124420855700172e-61,2.4507105695493376e-56,3.899926367803156e-43,2.2413411530160977e-58,1.5987841768772158e-82,2.0905726302331322e-55,1.1902044425739541e-71,9.8340509759032576e-43,1.0059138782884081e-66,9.339895953293215e-37,7.3736787745967592e-54,1.7592834365805679e-49,1.5179688214056415e-45,3.2185608099021172e-73,3.5284616867083002e-87,4.3822612044558154e-54,1.1917936769896298e-69,3.5793949611804175e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999941899,0.108803,0.0001,2.000604751347533e-16,1.6357618791597415e-15,1.6357543495561281e-15,4.3441623448307919e-25,4.3481255706864804e-25,2.3372986259290673e-15,2.5517921457423389e-25,1.6031578527920255e-35,1.8700566605805885e-35,3.4837914340406882e-40,6.7952240630405837e-29,1.3590927568317035e-22,1.5894909029457445e-27,3.123658532732517e-40,1.7217652730509117e-42,1.4766666843504156e-43,9.1088151746544622e-50,2.2517777007114007e-22,3.2846292876174902e-60,1.501908527095609e-70,3.1592117666185278e-71,4.5782503973612692e-82,2.5134994847420327e-76,1.4619012241663413e-27,9.3399057859599418e-37,1.2159386881029331e-46,1.6831062057601442e-47,6.7786259772477775e-22,1.7373127018351869e-52,2.8378692842302088e-60,2.8527629408224091e-36,1.5373191526507859e-73,4.7138454324476787e-28,2.4902007884762839e-32,1.0695233475952515e-41,1.3923721638436915e-51,1.1862713405181889e-51,9.6366290229777308e-53,1.4831724283461471e-61,1.1661928028611973e-35,2.7346078692493403e-45,1.5511594245683297e-55,2.080074209542902e-45,9.5318445828577009e-56,5.6688271407087773e-44,3.1987047966734367e-49,5.4118209360454553e-39,6.0023895565410078e-49,1.6125861025147896e-61,1.0921203608079293e-71,6.0025108356419374e-49,6.5168809817566148e-49,1.657535115634797e-45,3.6768967691774931e-55,2.7966453645635358e-55,2.1578812192283156e-55,4.7809430453342418e-56,6.2826746435252625e-76,1.0872872564766341e-82,2.3229410798432584e-79,3.0323219883514439e-48,6.7266812393761117e-58,3.947704380094394e-58,5.1164482990238774e-58,2.3405285618683137e-75,1.3212179070248751e-37,1.4276644435715594e-82,2.4313950964123408e-65
2.209338609161641e-19,0.00333177106019828,2.0780154553838769e-33,3.085060224010617e-29,1.0358126415603645e-20,1.9899658934357728e-33,7.0833477876028062e-21,7.063152577239036e-36,6.6546613125098188e-55,4.3401604393364426e-45,6.9387842433435741e-49,1.7822512813931439e-48,2.1911402863839976e-35,6.865082977274599e-26,2.1304908713377979e-41,7.9731899322722927e-60,2.1676257456956806e-55,1.70320030538943e-42,1.9824408902407447e-57,5.7059465574662209e-81,3.7200618182606988e-54,2.2286728107673733e-70,8.6981055656502521e-42,1.9012144241548535e-65,8.2610321927334166e-36,1.3121067393282727e-52,7.6832529720346014e-49,1.209076338991936e-44,2.8467805877174384e-72,1.327232663809385e-85,7.7979986672295755e-53,4.2534264415990154e-68,2.7128080151171282e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999876552,0.108803,0.0001,4.251285096610698e-16,3.4759939916667873e-15,3.4759779918253229e-15,1.8954293636040916e-24,1.8989406672874102e-24,4.9667587558579427e-15,1.1144345755572564e-24,1.4132117823379615e-34,1.6382938746761523e-34,3.0813750319050636e-39,2.9676528511805655e-28,5.9355142904295695e-22,6.9417243671578247e-27,2.7627951405827132e-39,1.5228818736504248e-41,1.3060941413790117e-42,1.6208640091012958e-48,9.8341034151349605e-22,1.1722601619372495e-58,1.0735007779421621e-68,2.2580711342203511e-69,6.5490340615434714e-80,1.7965434153509727e-74,6.3845067159788407e-27,8.261040888375782e-36,2.1636968158562715e-45,2.9949972096310822e-46,1.4404569572929283e-21,3.0914551392540818e-51,5.049068467945574e-59,2.5232361792652499e-35,1.0988107982889678e-71,2.0586587976497414e-27,1.0879752967088628e-31,9.4633796564246094e-41,2.4785554419985517e-50,2.1116760784782878e-50,1.715412525753144e-51,5.2290982697344643e-60,5.0930703520611422e-35,2.4187296847828723e-44,2.749837556751433e-54,1.8398015718852651e-44,1.6893295100401636e-54,5.0139953255257403e-43,4.3224254442616623e-48,4.786693943022565e-38,1.068050050222743e-47,4.355737357406492e-60,5.8980229573538334e-70,1.0680933313028575e-47,1.1596440598700517e-47,1.4666238117780503e-44,6.545150015482415e-54,4.977915092160729e-54,3.8412323153987092e-54,8.5105377775278409e-55,3.3931557786473221e-74,1.5553190657982707e-80,1.2545138062431941e-77,2.6820528319212717e-47,1.1969690160103112e-56,7.0247232451306637e-57,9.1040453923970217e-57,8.3519509755763284e-74,5.7701057161048956e-37,1.097675246863036e-80,8.6774753816900425e-64
4.548638312979849e-19,0.00333177106019828,8.4889943393507379e-33,1.2879514477308591e-28,2.132555433446948e-20,8.3077158625841133e-33,1.4583364318280505e-20,2.9487274569834985e-35,2.7781901019896316e-54,1.8111780682985013e-44,2.8981994730178646e-48,1.4976184859699268e-47,4.5111711769470676e-35,1.4133994371349702e-25,8.8943800033914826e-41,6.7049560226992193e-59,1.8220200490839359e-54,7.1105260021162057e-42,1.6663610575448291e-56,1.92790997050091e-79,6.2744263777695986e-53,3.847928809299595e-69,7.3112798843182321e-41,3.343827480381173e-64,6.943895310749498e-35,2.2130597936348997e-51,3.2076068701471279e-48,9.6119186095165253e-44,2.392890616047142e-71,4.5939652212821224e-84,1.3152461147576771e-51,1.4371363009915339e-66,1.8863090873612536e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999745858,0.108803,0.0001,8.7526457871280897e-16,7.1564582117703915e-15,7.1564252732425807e-15,7.8982036306664595e-24,7.9277034376159474e-24,1.0225676394527341e-14,4.6525441732020581e-24,1.1799543676835383e-33,1.3513087983268855e-33,2.5900817845779567e-38,1.2389366272234132e-27,2.4779596698224191e-21,2.8980332729570795e-26,2.3222193185352859e-38,1.280073955145529e-40,1.0978494474529098e-41,2.7338207443732445e-47,4.1055434220521829e-21,3.9607974124639026e-57,7.2600823460340498e-67,1.5271327916142652e-67,8.861784268737967e-78,1.2150019406876784e-72,2.6654058698136981e-26,6.9439026178748401e-35,3.6493871788781429e-44,5.0514993523104782e-45,2.9656422963718676e-21,5.2141909846678651e-50,8.5134001484368472e-58,2.1209314808568177e-34,7.4312539448188901e-70,8.5944839792194521e-27,4.545753131710803e-31,7.9605410817795911e-40,4.1834953572367445e-49,3.5642476021111094e-49,2.8954061477029453e-50,1.7249492170271717e-58,2.1262566110929571e-34,2.03308802748611e-43,4.6033995175315203e-53,1.5464632189596169e-43,2.8265850814879128e-53,4.2145347666836909e-42,6.1452169384925963e-47,4.023504026375109e-37,1.80127708165097e-46,1.2362202511175162e-58,3.344854139391899e-68,1.8014233012727524e-46,1.9559088960974189e-46,1.2337155986524029e-43,1.1047143089439885e-52,8.4008200003589663e-53,6.4835175833298886e-53,1.4364744764574094e-53,1.9243705907575602e-72,2.1045458923652465e-78,7.1145717076440319e-76,2.2544242742804879e-46,2.0188363017172406e-55,1.1848203021473453e-55,1.5353950172966891e-55,2.8210938552767524e-72,2.4089055526401739e-36,7.6843624848604303e-79,2.9319221254280886e-62
9.227237720616266e-19,0.00333177106019828,3.4307466139684489e-32,5.2617009629349463e-28,4.3260410016032605e-20,3.3939729901152107e-32,2.9583401164200198e-20,1.2046516213689236e-34,1.1349813078269563e-53,7.3931023707166393e-44,1.1851505241461552e-47,1.2270663941972989e-46,9.1512329553581313e-35,2.8671817179169043e-25,3.6336444508075634e-40,5.5020740949203919e-58,1.4938021190011568e-53,2.9048818848752285e-41,1.3661835350195913e-55,6.3385434823077732e-78,1.0305758862765965e-51,6.3882477652176233e-68,5.9942257904504614e-40,5.7552960814997487e-63,5.6930248889297764e-34,3.6349573441930073e-50,1.3104120676570369e-47,7.6567504733142041e-43,1.9618363005027066e-70,1.5272311630606459e-82,2.1602945811564334e-50,4.7249873561354906e-65,1.2577955498370735e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999484452,0.108803,0.0001,1.7755367168127127e-15,1.4517386632416303e-14,1.4517319823592574e-14,3.2146092762061831e-23,3.2387254952890998e-23,2.0743501187123177e-14,1.900715447460537e-23,9.5463399737072838e-33,1.0678341682910707e-32,2.1235057301100075e-37,5.061460215610645e-27,1.0123268023320049e-20,1.1839411506969344e-25,1.9037703110114714e-37,1.0494819341537241e-39,9.0008104904162876e-41,4.4902978832906743e-46,1.6772474931280798e-20,1.3022204213056745e-55,4.7759133292291275e-65,1.0045965769575774e-65,1.1661582309083916e-75,7.9926722610515163e-71,1.0889052639144002e-25,5.6930308763317319e-34,5.9941170682154095e-43,8.2970989134994295e-44,6.0159994543604241e-21,8.5643244669241106e-49,1.3974779783597604e-56,1.7388668440501797e-33,4.8885154724297661e-68,3.5111179404280496e-26,1.8600879903240646e-30,6.5363724166401489e-39,6.8814213762404961e-48,5.8628198823582734e-48,4.7626523018993908e-49,5.4151503714227423e-57,8.6864520073692998e-34,1.6668483793290774e-42,7.4498859760242682e-52,1.2678825723024896e-42,4.5697771091589463e-52,3.4552803474549643e-41,9.157525245949669e-46,3.2987106204183024e-36,2.9581253339931277e-45,3.6782045621686169e-57,1.9887586640075815e-66,2.958605957955224e-45,3.2125852232341241e-45,1.0129995582457896e-42,1.8170558735682861e-51,1.381426072772622e-51,1.0664696123888997e-51,2.3628561772827193e-52,1.1442078618505954e-70,2.7693935115677917e-76,4.2301799298096919e-74,1.8483087386087105e-45,3.3158563300100713e-54,1.9460645023133993e-54,2.5214465307875404e-54,9.2695932396694349e-71,9.8411651966177924e-36,5.1408327104960757e-77,9.6395139753848491e-61
1.85844365358891e-18,0.00333177106019828,1.379304653717942e-31,2.1268634536696334e-27,8.7130120754483815e-20,1.3718981363717588e-31,5.9583489994296683e-20,4.8693964057823153e-34,4.5877759226865684e-53,2.9834478097773882e-43,4.7998379203054436e-47,9.9246302794854111e-46,1.8431356501817102e-34,5.7747462873484255e-25,1.4687771864900884e-39,4.4637682918818811e-57,1.209719686937054e-52,1.1741997047594135e-40,1.1063709489891411e-54,2.0558896340359463e-76,1.6706062026769914e-50,1.0397720118547491e-66,4.8542742929244257e-39,1.0033192815445014e-61,4.6103591254224655e-33,5.89242245632761e-49,5.2968950909724814e-47,6.1105242570368495e-42,1.5887459019897709e-69,4.9747205582396232e-81,3.5019270049716306e-49,1.5325367827240403e-63,8.2158023553766911e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999998961659,0.108803,0.0001,3.5760809929982214e-15,2.9239243396099759e-14,2.9239108874354482e-14,1.2897441254569501e-22,1.3091446008355658e-22,4.177910883342662e-14,7.6829904333777114e-23,7.5318675501806195e-32,8.0626954030363948e-32,1.719670133106445e-36,2.0459230142220631e-26,4.091982130372499e-20,4.7856794125370171e-25,1.5415195039220422e-36,8.4989762634063765e-39,7.2890531367775042e-40,7.2789310348891308e-45,6.7796948122727827e-20,4.2237005424576644e-54,3.0987608138548497e-63,6.5181344539142038e-64,1.5134413034330741e-73,5.1858972798742557e-69,4.4015291457282724e-25,4.6103639686350684e-33,9.7166820914923396e-42,1.3449942106622786e-42,1.2116659690141277e-20,1.3883139403200483e-47,2.2626205016423374e-55,1.4081779548804774e-32,3.1718205995443501e-66,1.4192425747353948e-25,7.5430228412343458e-30,5.3092613033133041e-38,1.1187558889260271e-46,9.5315467923075716e-47,7.742961635636772e-48,1.6113359641902199e-55,3.511202762103058e-33,1.3498570018492303e-41,1.1731249146065463e-50,1.0267618986711302e-41,7.1820968416243306e-51,2.7980948130076236e-40,1.4087722258196218e-44,2.6713796519278804e-35,4.7937006723783418e-44,1.1304393417433976e-55,1.2217271593494066e-64,4.7952588245083835e-44,5.2077358064111096e-44,8.2282327245514667e-42,2.9538222170568878e-50,2.2444977844587511e-50,1.7338180927798983e-50,3.8414527549455579e-51,7.0292773094201046e-69,3.5939554857817411e-74,2.5987310783007552e-72,1.4968010680055545e-44,5.3748595543898923e-53,3.1546336647022061e-53,4.0859334343556853e-53,3.002977590893785e-69,3.9779563252754266e-35,3.3633916233841858e-75,3.1265503284684783e-59
3.729883416643476e-18,0.0033317710601982807,5.5312068237650318e-31,8.5520238939031258e-27,1.7486953973267933e-19,5.5163419780743838e-31,1.1958372820751812e-19,1.9579644425282398e-33,1.8447245276764653e-52,1.1956573095317491e-42,1.9375155813203173e-46,7.968219396749161e-45,3.6991603557259487e-34,1.1589875457682054e-24,5.9058884896130288e-39,3.6058940080064808e-56,9.7368764975156395e-52,4.7214053843548039e-40,8.9050375544431113e-54,6.6233110310257332e-75,2.6904542490655636e-49,1.6738511869634809e-65,3.9071339520126537e-38,1.8305422691156318e-60,3.7108180659801201e-32,9.4895645853925621e-48,2.1298582170278226e-46,4.8821103560945054e-41,1.2787609226276086e-68,1.6022623385863081e-79,5.6397338732534749e-48,4.9372614633096843e-62,5.3118725137929972e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999997916054,0.108803,0.0001,7.1771695453120417e-15,5.8682956617997312e-14,5.8682686776125918e-14,5.1099745454319162e-22,5.2640126437610599e-22,8.3850156371149502e-14,3.0892923979554428e-22,5.7647929915987604e-31,5.7122144478035059e-31,1.3841402801607705e-35,8.2265654057936626e-26,1.6453642684439856e-19,1.9243006320996767e-24,1.2404222601173487e-35,6.8407146280998381e-38,5.8668052449719369e-39,1.1722380227829931e-43,2.7260792544229368e-19,1.3607083898016542e-52,1.9968104666638196e-61,4.2002206730538104e-62,1.9505980844540249e-71,3.3417447344551546e-67,1.769835485145397e-24,3.7108219552996958e-32,1.5648288187394519e-40,2.1660675965580239e-41,2.4317763844766036e-20,2.2358369241143364e-46,3.6350571345038312e-54,1.1334217143901263e-31,2.0438894873734541e-64,5.7066521833044498e-25,3.0525176616894785e-29,4.2990108655438791e-37,1.8121827369500658e-45,1.543936161153616e-45,1.2542261755741463e-46,4.4595548105074955e-54,1.4118391688655256e-32,1.0864822991712701e-40,1.7869497556242982e-49,8.2642363136130496e-41,1.0901314783828488e-49,2.2520200787450784e-39,2.2078145249102077e-43,2.1501559588608022e-34,7.7151259675733596e-43,3.5409826977774543e-54,7.6510805499665163e-63,7.7201409983322008e-43,8.3868874073873636e-43,6.662558065085432e-41,4.7837536597687059e-49,3.6312410775353506e-49,2.8084449278602259e-49,6.2224899555632972e-50,4.402321280010216e-67,4.6316395519410187e-72,1.6275359724530197e-70,1.2047440166777727e-43,8.6551231188720049e-52,5.0803734148115143e-52,6.5756362703655762e-52,9.6514399198286802e-68,1.5995187476181772e-34,2.1763272640706827e-73,1.0072579521421457e-57
7.47276294275261e-18,0.00333177106019828,2.2152779586653846e-30,3.4297438941410472e-26,3.5034836769418804e-19,2.2122997854460276e-30,2.3958444684607532e-19,7.8523256814104181e-33,7.398170485765152e-52,4.7635130276397499e-42,7.8317099736848431e-46,6.3622046344682902e-44,7.4112097550057339e-34,2.322013392423151e-24,2.3685254521426213e-38,2.9148317927538494e-55,7.8132302218421498e-51,1.8934947409311403e-39,7.14573444334489e-53,2.1265990245340674e-73,4.3187571347811941e-48,2.6735022730209905e-64,3.1352155953412451e-37,3.6183826319123082e-59,2.9776977180025551e-31,1.5232852372648136e-46,8.5416840373138427e-46,3.9030922589790373e-40,1.0261251116879243e-67,5.1196343617293115e-78,9.0529846066289808e-47,1.585244738963479e-60,3.416908645414716e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999995824862,0.108803,0.0001,1.4379346649710905e-14,1.1757038187763928e-13,1.1756984178065955e-13,1.9907871136798274e-21,2.1111043343663197e-21,1.679915804324105e-13,1.2389410041741455e-21,4.2107536217635004e-30,3.6909122829685501e-30,1.110685615579086e-34,3.2992198261608323e-25,6.5986165535077834e-19,7.71730610926549e-24,9.9483675761022385e-35,5.4892412904938997e-37,4.7076472824912338e-38,1.8816651023127986e-42,1.0932747258119556e-18,4.368865782778445e-51,1.2823129378738113e-59,2.6973002740665663e-60,2.5053404549227588e-69,2.1460092931219668e-65,7.097831667375117e-24,2.9777008246225584e-31,2.5118554707344635e-39,3.4770049904420954e-40,4.8719106917051562e-20,3.5890138198710394e-45,5.806993349442266e-53,9.0949567379487295e-31,1.3125462045701177e-62,2.2885748067762728e-24,1.239837513943075e-28,3.4908581637728174e-36,2.9425372376625872e-44,2.5069629674064772e-44,2.036573265342962e-45,1.120570362104844e-52,5.662106377370259e-32,8.7183353981474494e-40,2.5874835903346907e-48,6.6314702664949265e-40,1.5689745376146515e-48,1.8068955930729547e-38,3.4948389533410003e-42,1.7253602688680774e-33,1.2368524378309402e-41,1.1206544214947953e-52,4.8415642126947688e-61,1.238459606579233e-41,1.346277780070862e-41,5.4100921622006378e-40,7.7646963719623796e-48,5.8818742368129039e-48,4.560131292460653e-48,1.0103882614693889e-48,2.7860394965864211e-65,5.9477597947376293e-70,1.0299945709908564e-68,9.6671242216334397e-43,1.3890428661047623e-50,8.1549098513333789e-51,1.054050717471006e-50,3.0841999006447459e-66,6.4147856195962825e-34,1.4004993386213687e-71,3.2340819478141262e-56
