Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332)
0.0,0.001598924086487788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2455080411662885e-18,0.001598924086487788,3.9913144773199372e-38,3.7293957942092979e-33,8.6616409570067171e-26,3.9911906942522743e-38,1.2240392634227717e-23,3.4128400660346127e-38,1.442710392101798e-65,6.9591868418797725e-52,1.9326216242000343e-55,3.6644487761425725e-53,8.2925743773245042e-44,9.2736113533104257e-29,3.0891491602193372e-44,8.6492728456974517e-65,5.0196785815416981e-60,3.8267896316938161e-46,8.6541435271669662e-61,2.0108326601636438e-108,2.3463027929949695e-76,9.1476433963288749e-78,8.7815160529732796e-95,3.1663172924049555e-68,1.77659419923241e-76,1.3656111776108182e-67,1.3062143292607257e-55,6.4302279092176127e-48,1.6829504853373611e-83,2.0105525128522181e-92,7.0465473036049716e-85,1.1485639909234621e-88,-1.6529130451827706e-102,0.88129999999999997,0.0,0.0,0.0,0.009889999999999427,0.108803,0.0001,2.8667914855858767e-17,2.7081085604536785e-16,2.7081084772313355e-16,4.9286796944993215e-24,4.95991402409088e-24,1.0526689176909225e-18,4.0357842601948577e-24,9.2917099007715744e-34,1.4983932096375673e-33,2.2254656553370386e-38,6.6026337152377617e-29,1.934529470113134e-24,1.7254887516011073e-27,4.4108354749802826e-39,3.8277803934551032e-43,7.0217849174213222e-46,1.7563585680726738e-51,1.4122602896126773e-24,1.0237009588723493e-60,4.6792800055624314e-69,6.4179325382733192e-72
9.087422515265608e-18,0.001598924086487788,2.4107128267508504e-37,2.2525549781396471e-32,2.4252593627567237e-25,2.410679091694974e-37,3.4273527223230529e-23,2.0613769900415284e-37,8.713970638420771e-65,3.9889962877559395e-51,1.167303459655953e-54,4.35685233055176e-52,2.3219208018985705e-43,2.5966111778287225e-28,1.8658460921141289e-43,1.0268416711443264e-63,5.9593623989057808e-59,2.3113809367152694e-45,1.0274199985769607e-59,1.0954814383938721e-106,6.9710004226363223e-75,2.7178174020355018e-76,4.7840831690250509e-93,9.4073106205448577e-67,2.1374236906750792e-75,2.0637116088738247e-66,7.8895345092294964e-55,7.6338381521792554e-47,1.9979987738106239e-82,1.0953298877932565e-90,3.8388909649458368e-83,7.6453985706430818e-87,1.6358667148273335e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984001,0.108803,0.0001,8.0270161596335382e-17,7.5827036806197615e-16,7.5827035755433795e-16,2.9589119298629086e-23,2.995788007681061e-23,2.9474618374255346e-18,2.437611837716834e-23,1.0993168326336699e-32,1.7587616260551926e-32,2.6420728829836826e-37,3.987990639984541e-28,1.1684521175267463e-23,1.0421951728621858e-26,5.2350485633991393e-38,4.5443407384796198e-42,8.3362446416418303e-45,3.9288955706331441e-50,8.5300252665593598e-24,4.2243219552348595e-59,3.5224380200470442e-67,4.8312495876632191e-70
2.0771251463464247e-17,0.0015989240864877881,1.1606454306722077e-36,1.0845081746334191e-31,5.5434494760482519e-25,1.1606381224384739e-36,7.83415077906554e-23,9.9248627307790779e-37,4.1954016253439384e-64,1.708805731867624e-50,5.6200636627039503e-54,4.2148791551607679e-51,5.3072474352216508e-43,5.9351112584313378e-28,8.9832457480426087e-43,1.0081592394850782e-62,5.8509373140333021e-58,1.1128304236548518e-44,1.0087272056944005e-58,4.3946880798671676e-105,1.3888987580019487e-73,5.4149661570601771e-75,1.9192047105818552e-91,1.8743080253712011e-65,2.1552933975129116e-74,2.2200467700582008e-65,3.7984712094368509e-54,7.4948806117877615e-46,1.9616469542930358e-81,4.3940773009958571e-89,1.5400274685357974e-81,3.3893031608562467e-85,9.0158336128961173e-100,0.88129999999999997,0.0,0.0,0.0,0.0098899999999963427,0.108803,0.0001,1.8347465507701205e-16,1.7331892780438352e-15,1.7331893129350071e-15,1.4065655344035802e-22,1.4423429039068719e-22,6.7370031489817781e-18,1.1736032804940093e-22,1.0713617628683331e-31,1.6855721484141411e-31,2.5940029248349448e-36,1.9200456995506281e-27,5.6255564631113464e-23,5.0177207963143813e-26,5.1366371370871936e-37,4.4616603807370009e-41,8.1845354218477507e-44,7.7627997171568175e-49,4.1068125983945495e-23,1.671092135583111e-57,2.7850732054988732e-65,3.8199064733956098e-68
4.4138909359861525e-17,0.001598924086487788,5.0688249190627367e-36,4.7363313947456659e-31,1.1779828019349483e-24,5.068810823383078e-36,1.6648431448198041e-22,4.3346414809347841e-36,1.8322419965490579e-63,5.817907579811624e-50,2.4544294415559272e-53,3.4856441186080049e-50,1.1277900321831195e-42,1.2612111402065961e-27,3.923219423274273e-42,8.9170542613151077e-62,5.1750877451416852e-57,4.8600228194201781e-44,8.9220806988074491e-58,1.3075123424897232e-103,2.0477319342385212e-72,7.9835903012168414e-74,5.7100348775435808e-90,2.7633982506209198e-64,2.0060702372667856e-73,2.0406054505858532e-64,1.658892135734817e-53,6.6291074510963297e-45,1.7350543563571031e-80,1.3073303233644855e-87,4.5819039830265472e-80,1.1970644151392463e-83,3.5473809118733052e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999922297,0.108803,0.0001,3.8988364203725895e-16,3.683026652581205e-15,3.6830269665694269e-15,5.9899974495535412e-22,6.2990898362961329e-22,1.4315907664627938e-17,5.1254172750536618e-22,9.3375753486291389e-31,1.4224699975494998e-30,2.2943663848805859e-35,8.385342932110991e-27,2.4567953505821417e-22,2.1913702112000634e-25,4.5376779259394192e-36,3.9462875481908555e-40,7.2390595161175343e-43,1.3813359147775038e-47,1.7935289004045818e-22,5.9639545559299016e-56,1.9906357902251591e-63,2.7302846287957596e-66
9.087422515265609e-17,0.001598924086487788,2.1161306294413745e-35,1.9773245126229777e-30,2.4252578372828362e-24,2.1161280836074474e-35,3.4279731008118646e-22,1.80978893374799e-35,7.6492486859888073e-63,1.4787996730948828e-49,1.0246759660801507e-52,2.4052497377713023e-49,2.3219204574904013e-42,2.5966111619055632e-27,1.6378668755646358e-41,7.4953213295953092e-61,4.3499729891765887e-56,2.0289638511763939e-43,7.4995511260586292e-57,2.8490299527913276e-102,2.2026175001768736e-71,8.5874492713373979e-73,1.2441985733381247e-88,2.9724151120587101e-63,1.8535296128680471e-72,1.7457809054603396e-63,6.9255478103128683e-53,5.5721508271612074e-44,1.4584174626028132e-79,2.8486333247005303e-86,9.9838248794636476e-79,3.424026790737892e-82,1.2532156273548255e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999840019,0.108803,0.0001,8.0270161595332727e-16,7.5826996989726988e-15,7.5827012453309158e-15,2.3815067346507358e-21,2.6297455389127627e-21,2.9473004299538203e-17,2.1397469793964256e-21,7.6254311326782566e-30,1.0947289927789078e-29,1.9285534834239924e-34,3.5007147382526457e-26,1.0256361575262069e-21,9.1485369396250295e-25,3.8047720884543682e-35,3.3170915983075124e-39,6.0847490008145258e-42,2.3297816627535026e-46,7.4874290582946386e-22,2.0150485632487256e-54,1.3462434876819685e-61,1.8464592770572655e-64
1.843448567382452e-16,0.0015989240864877881,8.6450739671303827e-35,8.0780108357204087e-30,4.9198052147322068e-24,8.6450683410123122e-35,6.9553283007467597e-22,7.3948976440946957e-35,3.1249668826947893e-62,2.6235937003247112e-49,4.1861355813866737e-52,1.3244013169005132e-48,4.7101807000466122e-42,5.2674111771939784e-27,6.6912205692499324e-41,6.145117159701638e-60,3.5663705346426247e-55,8.288979316067859e-43,6.1485928276289609e-56,4.3779546987916838e-101,1.6582958026132076e-70,6.4652751763021426e-72,1.9118931448696609e-87,2.2378572328401121e-62,1.7938153343593418e-71,1.4434453802423049e-62,2.8293120080591839e-52,4.568378468818399e-43,1.1956983089313398e-78,4.3773469417695316e-85,1.5341608535021482e-77,7.7239222062440862e-81,4.2100302726402399e-95,0.88129999999999997,0.0,0.0,0.0,0.009889999999967548,0.108803,0.0001,1.6283375637677612e-15,1.5382039515638286e-14,1.5382045688827032e-14,8.875263041245132e-21,1.0743364753615544e-20,5.978434825167118e-17,8.7414517934890754e-21,5.9142351130412153e-29,7.6704904118395084e-29,1.5811451408680827e-33,1.4301555295780726e-25,4.189833323510567e-21,3.7374740740850802e-24,3.1040447569311481e-34,2.7195507565894771e-38,4.9884534758243554e-41,3.8265312737893363e-45,3.0586947959723922e-21,6.6247962486261691e-53,8.8557175073227317e-60,1.2146184611828341e-62
3.7128611990942346e-16,0.001598924086487788,3.4944733718558592e-34,3.2652571071552664e-29,9.9088891966698571e-24,3.4944705159738944e-34,1.4014419847151882e-21,2.9902024941025679e-34,1.2631609356887828e-61,3.471399935316549e-49,1.6921028649905864e-51,6.0667985381812113e-48,9.4866987529268605e-42,1.0609011095351295e-26,2.7046983049804108e-40,4.9764750134002176e-59,2.8881391027843569e-54,3.3505379280365797e-42,4.9793023731410722e-55,5.0399647326121353e-100,9.3228150442148698e-70,3.634727948373462e-71,2.2009975796143779e-86,1.2581066082570978e-61,1.8966898160316813e-70,1.1737857582492743e-61,1.143652950347699e-51,3.6995851178042456e-42,9.6830677721484956e-78,5.0392730546176238e-84,1.7661471139494732e-76,1.4392822200486012e-79,1.3800659131722031e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999346386,0.108803,0.0001,3.2796094593258199e-15,3.0980697177869598e-14,3.0980718119732255e-14,3.0444976387847449e-20,4.3426367057399572e-20,1.2039564102750961e-16,3.5333437430005365e-20,4.3206450987613148e-28,4.80037224449433e-28,1.2804531020455509e-32,5.7809124708048429e-25,1.6934157123191255e-20,1.510745490861383e-23,2.4892450516236045e-33,2.202360721667321e-37,4.0394690199237293e-40,6.2025114290708544e-44,1.2362405438956317e-20,2.1485794528636876e-51,5.7454741103096999e-58,7.8802864667600032e-61
7.4516864625178e-16,0.001598924086487788,1.4051102413100636e-33,1.3129422816223535e-28,1.9887014068900182e-23,1.4051077428983761e-33,2.8150127487882471e-21,1.2032050590833946e-33,5.0791094018940313e-61,3.951165469685683e-49,6.8038706557993846e-51,2.5395033186852916e-47,1.9039725129768566e-41,2.1292210482137071e-26,1.0875472665893986e-39,4.0054997359863247e-58,2.3246252572887413e-53,1.3472365317832678e-41,4.0077958426078903e-54,4.8816525181227355e-99,4.4340007848270106e-69,1.7287026713721831e-70,2.1318596246494089e-85,5.9836494255773446e-61,2.2413534078229958e-69,9.4670065213253091e-61,4.5985766043080806e-51,2.9777402967287006e-41,7.7937638582194111e-77,4.8810008889197285e-83,1.7106689187160188e-75,2.4324523558599159e-78,4.4695088000506316e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998688197,0.108803,0.0001,6.5821532501587e-15,6.2177939109017553e-14,6.2177997157358042e-14,9.3426905075143702e-20,1.7461526311751895e-19,2.4157266319761638e-16,1.4206692857620722e-19,2.9043227741376284e-27,2.6448636343921428e-27,1.0306212997889566e-31,2.3244761297591767e-24,6.8076876488549e-20,6.0746323003588716e-23,1.9652291350590962e-32,1.7726486884142255e-36,3.2508172761732184e-39,9.9874700199087529e-43,4.9698012251035018e-20,6.9209214195450638e-50,3.7018231497309712e-56,5.0772882527753649e-59
1.492933698936493e-15,0.001598924086487788,5.6351051745026805e-33,5.2654597891944626e-28,3.9843091448396196e-23,5.6350825675863213e-33,5.6491640680772876e-21,4.832270733745641e-33,2.0369458963992648e-60,4.2131975139216573e-49,2.7286560085880063e-50,1.0300859523864513e-46,3.8145738967856101e-41,4.2658607458791488e-26,4.3615507468086196e-39,3.2141608023543166e-57,1.8653647994128075e-52,5.4030207951358929e-41,3.2160360245229361e-53,4.3180395515370583e-98,1.9395800884161971e-68,7.5619130977344408e-70,1.8857214294950032e-84,2.6174481794471737e-60,2.9455897944644209e-68,7.6044131074437077e-60,1.8442336038419924e-50,2.3894376922734446e-40,6.2539862180109718e-76,4.3174940411719909e-82,1.5131604574135047e-74,3.9628435984836289e-77,1.4388288852098627e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997371819,0.108803,0.0001,1.3187240830691508e-14,1.2457217654383733e-13,1.2457229193717826e-13,2.5165309059630869e-19,7.0028331114994449e-19,4.8374459096567807e-16,5.6969388721518741e-19,1.7474191381576285e-26,1.2945698703337963e-26,8.2701069087050633e-31,9.322166128179277e-24,2.7290149143284158e-19,2.4361932313787642e-22,1.5187471346426185e-31,1.4224349877476058e-35,2.6077759646272771e-38,1.6027340984282667e-41,1.9922567491533101e-19,2.2215121947665982e-48,2.3765934037176117e-54,3.2596508231078244e-57
