Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272)
0.0,0.0016293591593174405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0327671552275307e-18,0.0016293591593174405,7.9537769617474209e-38,6.1565052104471823e-33,2.1224273917759513e-25,7.9531798104237598e-38,1.875331095821543e-23,4.1490097823207834e-38,1.0580501304152278e-64,2.2264538231571085e-51,6.0078619564542436e-55,6.54501405155357e-53,4.2210907676793963e-43,1.4645382920012908e-28,4.271635702524553e-44,1.6963540811838124e-64,8.6442235982268138e-60,6.3167024393920499e-46,3.4775901152381284e-60,2.1029108766795932e-91,8.7121362980863341e-60,2.4064936729609053e-77,8.9433725334714067e-49,3.1704333266713296e-68,4.4147514812916876e-38,2.8122969473386195e-56,4.0808662095047915e-55,8.2050187689800913e-48,1.1982926696133729e-82,4.1420931270870674e-92,2.4762914103067605e-58,3.6650556607664946e-73,4.7075599812475916e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993819,0.108803,0.0001,2.9933042655874774e-17,2.9291669611682686e-16,2.9291668388628932e-16,3.3702630243093089e-24,3.3864910963823661e-24,1.90600476292817e-18,2.672422475465189e-24,4.9305602961678846e-34,7.719227691167427e-34,1.3602630326461362e-38,5.6853853320118345e-29,2.2637573870654125e-24,1.4510804920659796e-27,2.8047842056432648e-39,3.4414738358592213e-43,9.0734546792433047e-46,1.8261491799056226e-51,1.7832015942214291e-24,7.4514641391601114e-61,2.1199536266294773e-69,4.4303972608338546e-72,4.5344612465234523e-81,1.8591624552938951e-76,2.4517917789813081e-29,4.4147514365261967e-38,4.0277730507922236e-46,4.5771914389889734e-47,4.0785860529098854e-24,2.5804305059171187e-53,6.2189963529576269e-62,5.3970322926709143e-39
5.691748034637086e-18,0.0016293591593174405,4.8038864147327775e-37,3.7185290601446539e-32,5.9427965306744623e-25,4.8037204928510048e-37,5.2509639088988936e-23,2.5060166995919371e-37,6.3906227300312279e-64,1.3068620662914811e-50,3.6287486195443055e-54,7.7448389930929294e-52,1.1819054075191101e-42,4.1007072170875897e-28,2.5800679640541085e-43,2.0139115640851543e-63,1.0262422242810338e-58,3.815288272978412e-45,4.1285950714966073e-59,8.6777051824804853e-90,1.9488664535351854e-58,7.348395059082638e-76,1.0617551410461432e-47,9.6815500774228046e-67,5.2411928965472983e-37,6.2909957059719211e-55,2.4648431821861418e-54,9.7405970859474328e-47,1.422613038927066e-81,2.318091741772541e-90,5.539354635393169e-57,1.5123927691970492e-71,5.354509719567959e-90,0.88129999999999997,0.0,0.0,0.0,0.00988999999999827,0.108803,0.0001,8.3812519436390255e-17,8.2016672964235075e-16,8.2016670390899696e-16,2.0262558507526765e-23,2.0454405934589872e-23,5.3367998852260562e-18,1.6141422712783401e-23,5.8353363381194893e-33,9.0715526002743073e-33,1.6149043032918301e-37,3.4339726744040993e-28,1.3673065861635083e-23,8.7645259983316414e-27,3.3291855013579523e-38,4.0857176557924237e-42,1.0771986239859046e-44,4.0850157285942614e-50,1.0770514977300319e-23,3.0748624359801747e-59,1.5958455606225877e-67,3.3350870084722929e-70,6.1895071841764837e-79,1.3995295008309395e-74,1.480882215362505e-28,5.2411927963152481e-37,9.0099232781070852e-45,1.0238986345642614e-45,1.1420040848149744e-23,5.7723198670539076e-52,1.3868200579988316e-60,6.4073443964499054e-38
1.3009709793456197e-17,0.0016293591593174405,2.3128218839603599e-36,1.7903115848593e-31,1.3583534143278737e-24,2.3127845199038226e-36,1.2002376897439726e-22,1.2065542278810672e-36,3.07680969268462e-63,5.9139533745692682e-50,1.7470862536921414e-53,7.5091511261794509e-51,2.7014980392969684e-42,9.3730450651961144e-28,1.2421916618881088e-42,1.9772703136155924e-62,1.0075706985778966e-57,1.8368970687535988e-44,4.053479297357579e-58,3.4328003672212421e-88,3.8506161859314829e-57,1.543871976597921e-74,1.0424331595315938e-46,2.0343538433244725e-65,5.1458341342626908e-36,1.2429947074437073e-53,1.186715882292632e-53,9.5631677472745707e-46,1.3967298785242875e-80,9.798221306285395e-89,1.0944787201666843e-55,5.9828516806240039e-70,4.8474171758464553e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999960461,0.108803,0.0001,1.9157147299718482e-16,1.8746667194922642e-15,1.8746667000639624e-15,9.6612586618479316e-23,9.8479156769692852e-23,1.2198336326352439e-17,7.7713910026938367e-23,5.6909313579501151e-32,8.7161033919209734e-32,1.5855226731041625e-36,1.6533099558404048e-27,6.5829633474065966e-23,4.2197418116235939e-26,3.2672289525739138e-37,4.0113816495078941e-41,1.0575959392826177e-43,8.0712726822912551e-49,5.1855162584423462e-23,1.2163805373382592e-57,1.261782497584356e-65,2.6369433964763088e-68,9.7778688249021664e-77,1.106562978001491e-72,7.1298102061444143e-28,5.1458339361174434e-36,1.7801900156858808e-43,2.0230477805823854e-44,2.6102950038637804e-23,1.1405131473502415e-50,2.7073209599539695e-59,6.2907425821241458e-37
2.764563331109442e-17,0.0016293591593174405,1.0100613984821124e-35,7.8187602709450284e-31,2.8865006707716791e-24,1.0100536613241861e-35,2.550579232400135e-22,5.269471633816155e-36,1.3437235761567838e-62,2.2699189571201941e-49,7.6299846511044981e-53,6.4082120822045573e-50,5.74068318395476e-42,1.9917720753157113e-27,5.4249773380115875e-42,1.7488731963580703e-61,8.9118486761680063e-57,8.0222120916045464e-44,3.5852568413370147e-57,1.2251323940591451e-86,6.851910300643658e-56,2.5529623550939564e-73,9.2201261458193419e-46,3.3652298113146895e-64,4.5514317832575092e-35,2.2118425555782561e-52,5.1827000145677562e-53,8.4584232574698621e-45,1.235391690573302e-79,3.2618063662035288e-87,1.9475506397568835e-54,2.1352202855989589e-68,3.6739106566794676e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999915982,0.108803,0.0001,4.0708938011782815e-16,3.98366639609315e-15,3.9836665168121107e-15,4.1386937041735444e-22,4.3008432467763317e-22,2.5921193998102707e-17,3.3939625412021565e-22,4.9668514333867291e-31,7.3908727699795277e-31,1.402376936867669e-35,7.2204383615266299e-27,2.8749273099602602e-22,1.8428719596252722e-25,2.8873660445975871e-36,3.548021337689777e-40,9.354244136430246e-43,1.4362291191110488e-47,2.2646309148161855e-22,4.3411437673036566e-56,9.0186277623566954e-64,1.8847630984214344e-66,1.3986820688136905e-74,7.9092076313619651e-71,3.1137752626018684e-27,4.5514314305822457e-35,3.1676851141948677e-42,3.5998933519113611e-43,5.5468766819647831e-23,2.0294822551184512e-49,4.6548183673303846e-58,5.5640440708548556e-36
5.691748034637086e-17,0.0016293591593174405,4.2167897616368193e-35,3.2641778511075717e-30,5.9427941193514861e-24,4.2167743640903981e-35,5.2514980974539338e-22,2.2000112690425926e-35,5.609780986131361e-62,7.2655282738086066e-49,3.1853683790526512e-52,4.8865253410670947e-49,1.1819052997678668e-41,4.1007072096056814e-27,2.264821245705296e-41,1.4700332920531734e-60,7.4909457090487268e-56,3.3491156275847489e-43,3.0136249189088551e-56,4.1393800805745743e-85,1.1556561042775851e-54,3.4165493515855822e-72,7.7499418822633067e-45,4.5081501823447224e-63,3.8257522648828052e-34,3.7305953771141599e-51,2.1636753636708537e-52,7.1097761366093501e-44,1.0384210369070593e-78,8.7942786553569252e-86,3.2847756120033558e-53,7.2143119735687575e-67,2.5546094204963671e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999827043,0.108803,0.0001,8.3812519435533217e-16,8.2016645795845551e-15,8.2016654480614286e-15,1.6639290757211368e-21,1.7955171783367259e-21,5.3366048526592904e-17,1.4169058029546516e-21,4.066924566283273e-30,5.7364648370915011e-30,1.1787824615655316e-34,3.0143904107908253e-26,1.2002040528415675e-21,7.6936264265398014e-25,2.4228753294196956e-35,2.9823252194823855e-39,7.8626844126893124e-42,2.4223741225015167e-46,9.4542188692424873e-22,1.4667527552565179e-54,6.0992131339941543e-62,1.2746475541214526e-64,1.8925925111569503e-72,5.348944346599898e-69,1.2999397341819392e-26,3.8257516699897345e-34,5.3425347996364066e-41,6.071705533924268e-42,1.1420039398180835e-22,3.4230186159100571e-48,7.1515741156679845e-57,4.6768360720595649e-35
1.1546117441692376e-16,0.0016293591593174405,1.7226923832902298e-34,1.3335226289820058e-29,1.2055376759283068e-23,1.72268922920886e-34,1.0654278946139272e-21,8.9886676464746315e-35,2.2917782225994516e-61,1.7816563062248507e-48,1.3013269055868395e-51,3.1833242244067605e-48,2.3975790722760116e-41,8.3185774649782242e-27,9.2525337651820485e-41,1.2052220970192424e-59,6.1415297409691705e-55,1.3682230102878303e-42,2.4707526297912633e-55,1.3608946122885417e-83,1.8981071330331332e-53,3.4867678947215245e-71,6.3536579044861169e-44,4.6179550025896112e-62,3.1365822040177967e-33,6.1275128523560013e-50,8.8393257393520112e-52,5.8290068622965707e-43,8.5136011301855003e-78,1.8163725015230175e-84,5.3950790342320066e-52,2.3718324586590481e-65,1.7034216227328821e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999649147,0.108803,0.0001,1.7001968228152086e-15,1.6637656567625232e-14,1.6637660501573311e-14,6.3263705327432164e-21,7.3352717811592862e-21,1.0825231453951594e-16,5.7884674883582511e-21,3.1698721532601789e-29,4.0744541029919511e-29,9.6643732100838254e-34,1.2314764749098616e-25,4.903049432032843e-21,3.1430964752752316e-24,1.9796803538412496e-34,2.4450896159152485e-38,6.4461046174776444e-41,3.9786378161332737e-45,3.8622184575535895e-21,4.8222200634381797e-53,4.0121487805575135e-60,8.3848120976150326e-63,2.4904727712236582e-70,3.5186397804305564e-67,5.3106768040576903e-26,3.136581226916996e-33,8.7743767560240436e-40,9.9726606175103717e-41,2.316636227067298e-22,5.6223188718039458e-47,9.4264596284114286e-56,3.8342244930629178e-34
2.3254856255802956e-16,0.0016293591593174405,6.9633881939505353e-34,5.3903073878054709e-29,2.4280525010259863e-23,6.9633797326591011e-34,2.1463613114915342e-21,3.6340938423187669e-34,9.2637311466411562e-61,3.1276949592015912e-48,5.2601713094169005e-51,1.6949168028450314e-47,4.828925856345989e-41,1.675431792290597e-26,3.7400220698752223e-40,9.760200830818313e-59,4.9735697951919608e-54,5.5305761471504283e-42,2.0008809079299763e-54,4.413750179738164e-82,3.0767141231548844e-52,2.5727253799654539e-70,5.1450124545505264e-43,3.4696894210100045e-61,2.5400845455813511e-32,9.9329583113253413e-49,3.5730172092132619e-51,4.7204713219981292e-42,6.8945318187630887e-77,2.7323005658997122e-83,8.7450890248275449e-51,7.6924921442416894e-64,1.1126588923122766e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999293373,0.108803,0.0001,3.4243400796744359e-15,3.3509624906258174e-14,3.3509639372659383e-14,2.2422515262347694e-20,2.965032717507462e-20,2.180110761167873e-16,2.3397467400745173e-20,2.3356337816501709e-28,2.5977746176854955e-28,7.826463880151951e-33,4.9778221099609274e-25,1.9817489076957079e-20,1.2704891435382788e-23,1.5923876610600654e-33,1.9800957868575173e-37,5.2199001848947675e-40,6.4491577240057275e-44,1.5610585444098887e-20,1.563983354108636e-51,2.6030667677708157e-58,5.4400339381984716e-61,3.2319649579106262e-68,2.2829169135491212e-65,2.1466595287425766e-25,2.5400829618556159e-32,1.422120311699668e-38,1.6165678333349061e-39,4.6658997775929262e-22,9.1140228482955947e-46,1.0219069890248478e-54,3.1048466475284791e-33
4.667233388402412e-16,0.0016293591593174405,2.7999440268365442e-33,2.1674154428297611e-28,4.8730753396877171e-23,2.7999398881992697e-33,4.3097371316899912e-21,1.4618407511568371e-33,3.7249032563919655e-60,4.1686360770245767e-48,2.1150916622427046e-50,7.6682193100178063e-47,9.6916163807026009e-41,3.3625798627590593e-26,1.5038464144529348e-39,7.8558584480693304e-58,4.003161309501522e-53,2.2238203279547554e-41,1.610485232361624e-53,1.4217687627422261e-80,4.9543113222707493e-51,1.4471150222873276e-69,4.1405992535064831e-42,2.1661066108981193e-60,2.0444793430403076e-31,1.5996710019659464e-47,1.4367613294347892e-50,3.7994378979343186e-41,5.5493140177157046e-76,3.1426545474175363e-82,1.4081871704491213e-49,2.4779234211151419e-62,7.1938169945716056e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998581806,0.108803,0.0001,6.8726265931507874e-15,6.7253508699786433e-14,6.7253552171155372e-14,7.2036135796553287e-20,1.1922254771602648e-19,4.3747353129480231e-16,9.4076633451723482e-20,1.5908886410620398e-27,1.4608658064171607e-27,6.2994252865213376e-32,2.0015584840122039e-24,7.9673829359885303e-20,5.1085760354667824e-23,1.2646279480869189e-32,1.5937516601633485e-36,4.2009107973532022e-39,1.0384927847631125e-42,6.276047969806604e-20,5.0379869763986247e-50,1.6772099166070331e-56,3.5051266523858934e-59,4.1650704345046656e-66,1.4709782694073538e-63,8.6316159448627706e-25,2.0444767932567912e-31,2.2894954968237318e-37,2.603292792187667e-38,9.3644227827793199e-22,1.4677858226259711e-44,9.4156703842137464e-54,2.498716320509334e-32
9.350728914046642e-16,0.0016293591593174405,1.122900619703919e-32,8.6922776509967744e-28,9.7630937710464028e-23,1.1228975352052104e-32,8.6425247024678856e-21,5.8673483662905684e-33,1.4938509659607192e-59,4.7911921173303819e-48,8.4824628726948774e-50,3.2142479196487964e-46,1.9416985254297697e-40,6.736875919306841e-26,6.0310966494972068e-39,6.3038311807282968e-57,3.2122842749552039e-52,8.9185140111471489e-41,1.2923165128268236e-52,4.563848130715953e-79,7.9507068148513939e-50,6.9267870768968358e-69,3.3216807759836908e-41,1.7465240230671563e-59,1.6405632172191936e-30,2.5678220182462914e-46,5.7642094131721716e-50,3.0487995633478897e-40,4.4529669901190996e-75,3.0612592495468506e-81,2.2598667293918221e-48,7.9540678932863539e-61,4.6274785630775037e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999997158691,0.108803,0.0001,1.3769199619135082e-14,1.3474110142052222e-13,1.3474119799403991e-13,2.0429871004578835e-19,4.7813482913306597e-19,8.761782802314426e-16,3.7726099139238201e-19,9.7371125431768162e-27,7.2766162094491427e-27,5.0549021470006303e-31,8.0271318874083281e-24,3.1943610770756339e-19,2.0487641459919664e-22,9.8842901405199077e-32,1.2788829636338322e-35,3.3701337431581309e-38,1.6666123683312423e-41,2.5162545234335825e-19,1.6172108323422802e-48,1.0768402234204957e-54,2.2504405655631617e-57,5.3484546491840507e-64,9.4449177122053879e-62,3.4616579511047027e-24,1.6405591267826195e-30,3.6726283046867357e-36,4.1784125113081073e-37,1.876145240991023e-21,2.3561230466554486e-43,7.9783080183679912e-53,2.0045260583166825e-31
