Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411)
0.0,0.0029867153344066495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.800973387000935e-20,0.0029867153344066495,5.3416689041658662e-36,1.0757697483797851e-31,1.3150409414878663e-22,5.0326709423373227e-36,2.4126113355686363e-22,4.646874853580417e-38,1.03556231943016e-58,4.2370054285219304e-48,7.0644427359096012e-52,8.5319807765432559e-52,6.0577331227013411e-38,2.2476657392104685e-27,1.1792626011800716e-43,3.1223150413200266e-63,1.0038037687311824e-58,6.5221346043634415e-45,9.9896024175677988e-61,1.5596171458858963e-104,5.5691761564220813e-76,4.1666706722862398e-75,8.7573210836966204e-94,2.6931877184072108e-69,1.0023655744014647e-71,3.0959834305947527e-66,7.4993868267053651e-52,1.0918261572263384e-47,6.026920258160194e-77,6.230804089270474e-91,6.5467591785893767e-86,1.6155404503329611e-82,2.1101969821091055e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993299,0.108803,0.0001,3.1871631742838875e-17,2.593962469848527e-16,2.5939587425146412e-16,4.7227914516274424e-26,4.7249788936263456e-26,1.2004817363535813e-16,2.9604657462225042e-26,8.1749801502843765e-37,1.0219196951035667e-36,1.5096701689177347e-41,4.4684239386208872e-30,4.2535174557283455e-24,1.054786361705253e-28,1.1551853017508183e-41,2.879999235791439e-44,1.1636825497261746e-45,3.4058438930544293e-52,5.9711756202660585e-24,7.6849095656517206e-63,3.094608902175e-73,2.4585474152052425e-74,3.2420989937314991e-85
1.344272548360262e-19,0.0029867153344066504,3.1262526413125851e-35,6.4976473129461341e-31,3.6821146330681624e-22,3.0397332470321529e-35,6.7553120283499923e-22,2.8067125292681237e-37,6.2547964093169672e-58,2.5586538451313866e-47,4.2669234127790073e-51,1.0127651617554912e-50,1.6961652742189751e-37,6.2934640701993445e-27,7.1227461115149269e-43,3.7068124172730866e-62,1.1917158342767231e-57,3.9393693012492597e-44,1.1859656093461102e-59,8.9777969128186055e-103,1.7507085349178618e-74,1.3098213636396734e-73,4.6882638746315749e-92,8.466219405386184e-68,1.191175332500173e-70,4.6786500278402607e-65,4.5296296430340647e-51,1.2220704838227357e-46,7.1551597299885899e-76,3.5879605748334403e-89,3.7699018551814656e-84,1.9176555357337533e-81,6.6376126343040972e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981208,0.108803,0.0001,8.9240568879933544e-17,7.263094913086494e-16,7.2630844775088138e-16,2.8512874271286513e-25,2.8538872489000153e-25,3.3613485239658996e-16,1.7881212333100131e-25,9.6946436756498104e-36,1.209284479206163e-35,1.7922812471408815e-40,2.6989280584965337e-29,2.5691243278052639e-23,6.3709096228770125e-28,1.3714233165426183e-40,3.4191350915370414e-43,1.3815235643600251e-44,7.6187346652826419e-51,3.606589772181042e-23,3.1711986823875327e-61,2.329543783191197e-71,1.850732686724547e-72,4.4254480998696073e-83
3.0726229676805983e-19,0.0029867153344066495,1.4832765524046194e-34,3.1283370475512127e-30,8.4162620038373081e-22,1.4635007068223101e-34,1.5440714568943957e-21,1.3513113834768018e-36,3.0114152248264989e-57,1.2313752736737758e-46,2.0543399480340938e-50,9.9401468187329778e-50,3.8769491975670566e-37,1.4385060733817231e-26,3.429295644812594e-42,3.639370412833785e-61,1.1700336729541595e-56,1.8966367432694967e-43,1.1643880886793174e-58,4.0255422683853792e-101,3.9041777439565943e-73,2.9209747442100429e-72,2.0123753419239268e-90,1.8880141793284256e-66,1.1700144846456242e-69,5.033078156311215e-64,2.1808216887616678e-50,1.1614142690093063e-45,7.0249782513322487e-75,1.6083600208162528e-87,1.6899181042079707e-82,1.882162601818859e-80,1.4810359991201474e-95,0.88129999999999997,0.0,0.0,0.0,0.009889999999995706,0.108803,0.0001,2.0397844315406153e-16,1.6601359789615133e-15,1.6601335941368455e-15,1.3714715476574726e-24,1.3740238579912671e-24,7.6830807478944524e-16,8.6090332288998801e-25,9.4956858798206352e-35,1.1790227325895597e-34,1.7596727258922969e-39,1.2994176807051885e-28,1.2369225529438715e-22,3.0673187371063241e-27,1.3464447000243544e-39,3.3569271055352804e-42,1.3563872680694287e-43,1.5053327660524263e-49,1.7364174166839597e-22,1.2544939911317881e-59,1.8418992420793555e-69,1.4633179075828477e-70,6.991119670336231e-81
6.529323806321271e-19,0.0029867153344066495,6.4335156720136201e-34,1.36622688642396e-29,1.7884556695809805e-21,6.3914920636047757e-34,3.2811524270256894e-21,5.9015328809425459e-36,1.3151641455905331e-56,5.3732942749453314e-46,8.9718422790516614e-50,8.7861781545384222e-49,8.2385170420648184e-37,3.0568254067613552e-26,1.4976635040990025e-41,3.2189819164042849e-60,1.0348815336653914e-55,8.2831109508544807e-43,1.0298881147802598e-57,1.5134985098264648e-99,7.3062422056320822e-72,5.4662851808554052e-71,7.4013547780512947e-89,3.5332123142174544e-65,1.0350679380595066e-68,4.6262659341900301e-63,9.5242212653238512e-50,1.0107035144107044e-44,6.2135137060047896e-74,6.0462869049430344e-86,6.3528870382728687e-81,1.6639093689406356e-79,2.7745824944520426e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999908766,0.108803,0.0001,4.3345419170207228e-16,3.5277889502964641e-15,3.5277838844572897e-15,5.9781795509893114e-24,6.0007231507311254e-24,1.6326539790570601e-15,3.7597902979050301e-24,8.3589478763757175e-34,1.0284325708389873e-33,1.5564107606970709e-38,5.6748983953784165e-28,5.4019638292294922e-22,1.3395786765451261e-26,1.1908673377270099e-38,2.9691640043560708e-41,1.1997078264969266e-42,2.6786563061609916e-48,7.5833883496155531e-22,4.4771951396374736e-58,1.3165111574852099e-67,1.0459173389822142e-68,1.0000558138975932e-78
1.3442725483602617e-18,0.0029867153344066495,2.6769740008965789e-33,5.7037281000732086e-29,3.6821145881491646e-21,2.6683221037799887e-33,6.7553162153382777e-21,2.4637746815688598e-35,5.4905514168175584e-56,2.2395370190404053e-45,3.7455675425754274e-49,7.3756223692507182e-48,1.6961652722266732e-36,6.2934640761448326e-26,6.2524503168595423e-41,2.7057482603125233e-59,8.6988028558349573e-55,3.4580357702150972e-42,8.6568307741314268e-57,5.2328059724874135e-98,1.2599530433552509e-70,9.42654575029032e-70,2.5308869113520306e-87,6.0929838935354642e-64,8.7011801140387139e-68,3.957867903645531e-62,3.9761748913858347e-49,8.4272605094081951e-44,5.2228326588952561e-73,2.0903414668946397e-84,2.1963400986290374e-79,1.397975895249151e-78,4.7950406058370869e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999812176,0.108803,0.0001,8.9240568879711257e-16,7.2630948771479651e-15,7.2630844552922427e-15,2.4862980420772445e-23,2.5051837696499965e-23,3.361343625522609e-15,1.5696378588670191e-23,6.9600294329905044e-33,8.4118246301901355e-33,1.3082571153678846e-37,2.3691583662601812e-27,2.2552119494382183e-21,5.5924772644315644e-26,1.0009154308051409e-37,2.4957612436482919e-40,1.0084244423828946e-41,4.5179355219478723e-47,3.1659130945577727e-21,1.5127397987100331e-56,8.9035523407660685e-66,7.0735289518260207e-67,1.3532179620792004e-76
2.7269528838165312e-18,0.0029867153344066495,1.0918517247768717e-32,2.3301589741749949e-28,7.469432345980265e-21,1.0900966315233538e-32,1.3703651184163423e-20,1.006533063992595e-34,2.2430694056881203e-55,9.1190598048483207e-45,1.5301865577500366e-48,6.031147427761113e-47,3.4407924047496128e-36,1.2766741425408656e-25,2.5543299692344564e-40,2.2183359004659717e-58,7.1318041448058766e-54,1.4127204463679536e-41,7.0973939010561194e-56,1.7355653906419702e-96,2.086747982257533e-69,1.561234792185473e-68,8.347946852518819e-86,1.0091266426805915e-62,7.13408225841944e-67,3.2724417239437546e-61,1.6243971807118786e-48,6.8814507267446328e-43,4.2819937586261054e-72,6.9328493499964893e-83,7.2844045401020337e-78,1.1476316746133844e-77,7.9757998615164333e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999619015,0.108803,0.0001,1.8103086829832687e-15,1.4733706668088206e-14,1.4733685557738408e-14,1.0080731879985151e-22,1.0234492946296832e-22,6.818714270196618e-15,6.4124780834164127e-23,5.6006557283357691e-32,6.5432162717039788e-32,1.0725883026889689e-36,9.6787849373536403e-27,9.2132635025199896e-21,2.2847094295547511e-25,8.2047925298280426e-37,2.0461758426971762e-39,8.267635558172239e-41,7.4206902724234018e-46,1.2933769517100344e-20,4.9735361236422506e-55,5.8570291302081508e-64,4.6531837722853966e-65,1.7807511918917966e-74
5.4923135547290696e-18,0.0029867153344066495,4.4098796782544234e-32,9.4188748387672299e-28,1.5044067544421434e-20,4.4063447703498462e-32,2.7600350690613433e-20,4.068573360614159e-34,9.0668451707963306e-55,3.6618614346116383e-44,6.1852587363427287e-48,4.8587193381879913e-46,6.9300466557257184e-36,2.5713296165923771e-25,1.0325010157008019e-39,1.7964659300649216e-57,5.7755199075495811e-53,5.7104419293465273e-41,5.7476552271990332e-55,5.626954714987751e-95,3.3803035385014842e-68,2.5290296253397076e-67,2.699050307329735e-84,1.6346748098248998e-61,5.777506696029286e-66,2.661095271393062e-60,6.5660731085584867e-48,5.5616073602646871e-42,3.4676695551818458e-71,2.2476982294374671e-81,2.361675206690947e-76,9.3993290690477901e-77,1.3031153663877175e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999232692,0.108803,0.0001,3.6461146713398845e-15,2.9674930002897818e-14,2.9674887605735781e-14,4.0141502728504232e-22,4.1369455437560738e-22,1.3733420966689348e-14,2.5920223444409671e-22,4.3734049825939088e-31,4.804322082395e-31,8.6860991513142427e-36,3.9123196011293967e-26,3.7241377689390934e-20,9.2351607200260111e-25,6.6423217349815998e-36,1.6570462280958049e-38,6.6952852389396552e-40,1.2029153703542869e-44,5.2280214866566253e-20,1.6131406597090055e-53,3.8002079129954052e-62,3.019118655801537e-63,2.3110519419576759e-72
1.1023034896554146e-17,0.0029867153344066495,1.772481242010555e-31,3.7872879517024015e-27,3.0193336672419731e-20,1.7717717673265785e-31,5.5393867978710799e-20,1.6359601064775427e-33,3.6457385633807845e-54,1.4532518543600641e-43,2.4870653454950506e-47,3.8703212935238886e-45,1.3908555101398833e-35,5.1606405814903909e-25,4.1516411884789212e-39,1.4459520753610545e-56,4.6486408910592111e-52,2.2961435928475446e-40,4.6262155915226957e-54,1.7955454394943961e-93,5.3904240019787443e-67,4.0329342353406048e-66,8.6006683229889292e-83,2.606745290754697e-60,4.650313792116378e-65,2.1462697565906423e-59,2.6401891065368552e-47,4.4719816441340528e-41,2.791082124373658e-70,7.1722782569404803e-80,7.5359679441494997e-75,7.9927611190640209e-76,2.1137682357554791e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999998460029,0.108803,0.0001,7.3177266479903261e-15,5.9557375714457324e-14,5.9557291074150782e-14,1.5672847999521281e-21,1.663447495296424e-21,2.7562695989638125e-14,1.0422377105674449e-21,3.2844717461938518e-30,3.2546164781420297e-30,6.9913297546899543e-35,1.5731264879328967e-25,1.4974508559563305e-19,3.7134174389005543e-24,5.3428895635015271e-35,1.3337349320884898e-37,5.3888508268244429e-39,1.9372242988751381e-43,2.1021524271879588e-19,5.1968582114623078e-52,2.4487974137920669e-60,1.9454751497751588e-61,2.9785757073313726e-70
2.2084477580204303e-17,0.0029867153344066495,7.1070182191260641e-31,1.5188717110218679e-26,6.0491869852881065e-20,7.1055965493108791e-31,1.1098137565568347e-19,6.5609690446057107e-33,1.4621042216631673e-53,5.6791392737750428e-43,9.9742444937789335e-47,3.0426778414853988e-44,2.7865571767628693e-35,1.0339262578466431e-24,1.6649938156151134e-38,1.1602854869860499e-55,3.7302415708888262e-51,9.2085628507652903e-40,3.7122508840786693e-53,5.632865882956235e-92,8.450468230106579e-66,6.322356455761934e-65,2.6962638917249942e-81,4.0865464860308368e-59,3.7316408205427287e-64,1.7240006128856004e-58,1.0588339076199037e-46,3.5866867359674815e-40,2.2396676060109194e-69,2.2500215913527005e-78,2.3641122206356705e-73,7.8972096085426482e-75,3.427505550179753e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999996914702,0.108803,0.0001,1.4660950601040053e-14,1.1932226352374961e-13,1.1932209550066242e-13,5.939245830369072e-21,6.6711675478349662e-21,5.5220692566464487e-14,4.1798147264831125e-21,2.3227807038383591e-29,1.9778539524640392e-29,5.6101041700649572e-34,6.30894068408357e-25,6.0053790130589847e-19,1.4892464269209615e-23,4.2818397321411505e-34,1.0702382363694438e-36,4.3240574097787522e-38,3.1095654553046027e-42,8.4304750424957009e-19,1.6685448403766881e-50,1.5725463673264254e-58,1.2493275054373334e-59,3.825613154102824e-68
