Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107)
0.0,0.0026841236396237525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0
6.953807909173025e-19,0.0026841236396237525,2.5203560990442794e-37,1.2795492201114469e-32,1.6986360880204936e-24,2.5189606211256944e-37,3.2484876355831703e-23,2.6232696465404145e-38,5.7826249939208266e-63,2.0495421243994797e-50,3.3949759367087999e-54,1.0256097083328914e-52,1.8268531763232709e-41,2.7026746128372651e-28,3.7065330458805462e-44,2.114412468921589e-64,1.2635371475551821e-59,8.2501293968878378e-46,5.3618828822487335e-61,3.7631815536072919e-107,2.2102514947231508e-76,9.1833643992477123e-77,1.1572586210183997e-94,8.2683651933185831e-69,9.0113792382108361e-75,2.7510404439923515e-67,3.6574013124258976e-54,5.9455789759393235e-48,4.0610655281472539e-81,5.8085807746307602e-92,1.6022066541887386e-85,3.5551903010842243e-87,-7.1229964159555798e-103,0.88129999999999997,0.0,0.0,0.0,0.0098899999999995155,0.108803,0.0001,3.3336971769586853e-17,2.251540158490992e-16,2.2515398166585704e-16
1.947066214568447e-18,0.002684123639623753,1.5218428204648634e-36,7.7284772271052756e-32,4.7561810048259215e-24,1.5214522040128099e-36,9.095770723206032e-23,1.5844556598044452e-37,3.4927054895262726e-62,1.2319672248963536e-49,2.0505654654036552e-53,1.2150899523966163e-51,5.1151888870266861e-41,7.5674889153805898e-28,2.238745959572739e-43,2.5102304826873225e-63,1.5000713011135981e-58,4.9830781554055716e-45,6.3656274482404233e-60,2.1573966226518519e-105,6.9168207510853611e-75,2.8738668674679605e-75,6.6341869641374029e-93,2.5875245456563485e-67,1.0706365119001916e-73,4.1573723173680842e-66,2.2090703905760091e-53,7.0549875018957844e-47,4.8212969816075378e-80,3.3300413075392701e-90,9.1854006685787348e-84,4.8384145858074125e-86,2.7949537251676721e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999986447,0.108803,0.0001,9.3343520954802516e-17,6.3043124437740636e-16,6.3043114866427464e-16
4.450437061870736e-18,0.0026841236396237525,7.3260296036140045e-36,3.7209290432675146e-31,1.0871270671910942e-23,7.3251373190268831e-36,2.0790358272744386e-22,7.6284800268156503e-37,1.6815873380230631e-61,5.8711596959199195e-49,9.872590018410929e-53,1.187335118226247e-50,1.169186028171963e-40,1.7297117518212228e-27,1.0778598095333972e-42,2.4645591724817046e-62,1.4727788977521752e-57,2.3991376281429401e-44,6.2498109577941702e-59,9.5808590514196428e-104,1.5279114771514267e-73,6.3483127831877578e-74,2.9460852927517115e-91,5.7157885002282274e-66,1.0516529434516981e-72,4.4723114248638808e-65,1.0635722984516753e-52,6.9247609901973385e-46,4.7335779380249825e-79,1.4788369356793451e-88,4.0791414187785309e-82,7.4838528723589104e-85,1.0189332223852892e-99,0.88129999999999997,0.0,0.0,0.0,0.009889999999996903,0.108803,0.0001,2.1335661932507117e-16,1.4409857014337353e-15,1.4409854826606111e-15
9.457178756475314e-18,0.002684123639623753,3.1992691906812627e-35,1.6250274199741847e-30,2.3101449339977681e-23,3.1990798160494484e-35,4.4179618868991614e-22,3.331564740062708e-36,7.3439336367560987e-61,2.5119388270731523e-48,4.3116194338919987e-52,1.0400489320287359e-49,2.4845202964249975e-40,3.6756374714855459e-27,4.7072969661120808e-42,2.1798746762411242e-61,1.3026562546233729e-56,1.0477664329169669e-43,5.5278873356194352e-58,3.5347315582333796e-102,2.8052762950772393e-72,1.1655630276764792e-72,1.08689888293828e-89,1.0494302992774893e-64,9.3062014693082729e-72,4.1108247067296063e-64,4.6448996336588834e-52,6.1240678845266308e-45,4.1867960295574961e-78,5.4559524396797832e-87,1.5049394454174337e-80,1.6678350117114426e-83,3.2779416713922504e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999934214,0.108803,0.0001,4.5338281606495785e-16,3.0620946155452528e-15,3.0620941506512872e-15
1.947066214568447e-17,0.0026841236396237525,1.3355916577111009e-34,6.7841691683951987e-30,4.756180401169823e-23,1.3355527658186871e-34,9.0958482050168108e-22,1.3908686257105508e-35,3.0659476767933027e-60,1.0063902168853414e-47,1.8000162364853722e-51,8.5714781238363957e-49,5.1151887901888486e-40,7.5674889072061727e-27,1.9652038189852741e-41,1.8323160100346907e-60,1.0949610699975929e-55,4.3742186018397906e-43,4.6465229239525274e-57,1.1769712732796262e-100,4.6563474046995066e-71,1.9346637380320815e-71,3.6190490222630001e-88,1.7419004534522049e-63,7.8282949379408198e-71,3.5168970773785741e-63,1.9391541460225515e-51,5.1473157346588544e-44,3.5192542511678524e-77,1.8166829262015583e-85,5.011036162078983e-79,4.7889734531854432e-82,1.0381047985132633e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999864565,0.108803,0.0001,9.3343520954212828e-16,6.3043124437637244e-15,6.3043114866246541e-15
3.949762892410278e-17,0.0026841236396237525,5.4562466501370618e-34,2.7715541221598374e-29,9.648250269748992e-23,5.4561681471983381e-34,1.8451757636724942e-21,5.6822006151344105e-35,1.2525396237586803e-59,3.7866932759123462e-47,7.353653634271361e-51,6.7491190367257684e-48,1.0376525606747687e-39,1.5351191764215352e-26,8.0284988222687563e-41,1.5022433645555223e-59,8.9771523512280566e-55,1.7870110241664884e-42,3.8095011064806827e-56,3.621554089913577e-99,7.1455883786941112e-70,2.9689173154105816e-70,1.1135797272122082e-86,2.6731045936280007e-62,6.4271199353102073e-70,2.9078385022236677e-62,7.9220772861775559e-51,4.2199451715921629e-43,2.885297120000072e-76,5.5899466576242702e-84,1.541899157093989e-77,1.4653213264077632e-80,3.292605297880306e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999725267,0.108803,0.0001,1.8935399964860589e-15,1.278874810018241e-14,1.2788746158539438e-14
7.95515624809394e-17,0.0026841236396237525,2.2054855054142665e-33,1.1203062105630989e-28,1.9432385743849437e-22,2.2054698509084705e-33,3.7164123682032494e-21,2.2968755091046712e-34,5.0629650865996631e-59,1.3004506034779055e-46,2.9724643555015373e-50,5.030014780685373e-47,2.0899198555989949e-39,3.0918597420505409e-26,3.2452475817393395e-40,1.2165556178806658e-58,7.2699306443051398e-54,7.2233842626109166e-42,3.0850341930489959e-55,1.0125554247824014e-97,9.9554714602719446e-69,4.1363942030204798e-69,3.1134618421369384e-85,3.7242582530409973e-61,5.2192010526664554e-69,2.3646059592013557e-61,3.2022301964900625e-50,3.4173659228707496e-42,2.3365881882178804e-75,1.5628988442001256e-82,4.3110095834368323e-76,4.3596430095955179e-79,1.0479207620702293e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999446687,0.108803,0.0001,3.8137495703322771e-15,2.5757619412946761e-14,2.5757615502241235e-14
1.5965942959461263e-16,0.002684123639623753,8.8681236407543004e-33,4.5046997566196694e-28,3.9000639639833612e-22,8.8680928407938405e-33,7.4591044500212731e-21,9.2359504058014935e-34,2.0357957229883394e-58,3.8244856603117622e-46,1.1952148292757116e-49,3.4271153022904149e-46,4.1944541718973165e-39,6.2053408502172315e-26,1.3048997739720344e-39,9.791897879236369e-58,5.8514725264661661e-53,2.9044910298918462e-41,2.483106210883809e-54,2.4361629303047012e-96,1.1904169144299171e-67,4.9460572580317515e-68,7.4908200386225711e-84,4.4532496886934077e-60,4.2238760763294654e-68,1.9071403397557176e-60,1.2876025930837068e-49,2.7505703241908278e-41,1.8806890887427954e-74,3.7602562751097181e-81,1.0372064002559028e-74,1.1931359552246479e-77,3.343363215990975e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998889529,0.108803,0.0001,7.6541687178581414e-15,5.1695362038183391e-14,5.1695354189133713e-14
3.198751638219591e-16,0.0026841236396237525,3.5565042424650219e-32,1.806584280804389e-27,7.8137079223054058e-22,3.5564983113495925e-32,1.494536410468334e-20,3.7042818631334111e-33,8.1644492105844429e-58,8.8212386907550229e-46,4.7933459203998961e-49,2.0260920206999119e-45,8.4035217102937227e-39,1.2432302974185323e-25,5.2332316799770752e-39,7.8573811950079227e-57,4.695437987820196e-52,1.1648307994921694e-40,1.9925400455284966e-53,4.665588900370003e-95,1.1272316527035979e-66,4.6835282422200048e-67,1.4345877859814283e-82,4.2168789317745974e-59,3.4262830791535694e-67,1.5319187873208715e-59,5.1638616107839281e-49,2.2071486702499781e-40,1.5091339683360982e-73,7.2013865433252048e-80,1.98638363004051e-73,2.8410507899659073e-76,1.0682104000941598e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997775212,0.108803,0.0001,1.5335007012243579e-14,1.0357084728748835e-13,1.0357083156087419e-13
