Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540)
0.0,0.002765466158132724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5869707754754665e-20,0.002765466158132724,1.4269172214161865e-35,1.6977878166982608e-31,4.7135433907075748e-22,1.0411723218033868e-35,4.4662962231130781e-22,5.1050878427220885e-38,2.3319892255107017e-57,1.9482101312885866e-47,3.7064003486270097e-51,1.1966902464744492e-51,7.8011931486282068e-37,4.3016546697277549e-27,1.4946181674302069e-43,6.1211146098868928e-63,1.4434773966615254e-58,1.1261181546379462e-44,1.7634766103668434e-60,3.257420281097097e-86,2.2346546076640178e-58,8.6074185668041232e-75,3.4435032246145503e-45,1.1861472854410957e-69,5.5957625058368304e-39,1.0834961748547757e-56,3.4474716035185641e-51,1.3844701746007814e-47,1.2115219371404964e-75,7.4271197466382775e-91,4.7470287635445114e-57,3.738550933110826e-73,2.2864672494813725e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992241,0.108803,0.0001,2.5733025641172747e-17,2.4900350266861533e-16,2.490026764020181e-16,1.6983594316092908e-26,1.6987113895725549e-26,2.5066457674575878e-16,1.0075064585345466e-26,1.4224760809128985e-37,1.6849154219440567e-37,3.631849643416032e-42,2.4370741522820304e-30,3.1010041014369499e-24,5.7307429185957134e-29,3.1089070261594569e-42,1.2682162111965842e-44,9.679824588163218e-46,1.4205023782023072e-52,5.0019468580462057e-24,1.3019312001743672e-63,1.9134832720994403e-74,2.905083423451674e-75,1.3676387748768995e-86,2.8656421667930899e-80,3.9162993804657454e-29,5.5957659490825419e-39,2.2641326927822688e-49,3.109993034418117e-50,9.1703011880438627e-23,2.8828653387072056e-55,5.2302354807288511e-63,1.3014684201270264e-38,1.9637056498539722e-77,1.3664950375862124e-29,5.8592315174643784e-34,5.6894930388939235e-44,2.3020562309934912e-54,1.9407031678528692e-54
4.443518171331306e-20,0.002765466158132724,7.3687664970047626e-35,1.0254613134213882e-30,1.3197921489698603e-21,6.2886808219850614e-35,1.2505629580170694e-21,3.0834731001501382e-37,1.4085214922639155e-56,1.1766491354330004e-46,2.2386658107064586e-50,1.4206460283700607e-50,2.1843340815527296e-36,1.2044633075866605e-26,9.027493731672498e-43,7.2669872652345691e-62,1.7136963653742414e-57,6.8017536543092525e-44,2.0935994379986328e-59,1.344183569079692e-84,4.9988328321221982e-57,2.7061547239319797e-73,4.0881269092318711e-44,3.7323939506663305e-68,6.6432892456745934e-38,2.4237376024471699e-55,2.0822728484762206e-50,1.3027633186203923e-46,1.4383188437940381e-74,4.2773994323458613e-89,1.0618913167537923e-55,1.5427234561455052e-71,2.6003252494603003e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999978311,0.108803,0.0001,7.2052471795273717e-17,6.9720980738434025e-16,6.9720749387035138e-16,1.0256006258173467e-25,1.0260216787383623e-25,7.0186078815419484e-16,6.085338895106516e-26,1.6876220536758523e-36,1.9964433313332627e-36,4.3117372111878987e-41,1.4719927862082054e-29,1.8730064177366891e-23,3.4613687224677539e-28,3.6908811691437436e-41,1.5056262841375978e-43,1.1491886254460569e-44,3.1776066045920469e-51,3.0211758062355414e-23,5.3724548992862944e-62,1.4404222739282115e-72,2.1868740282622732e-73,1.8668199659042894e-84,2.1571836862484773e-78,2.3654448253133886e-28,6.6432933332254563e-38,5.0647737109082106e-48,6.9569298439913662e-49,2.5676838877363904e-22,6.4488544542970953e-54,1.1699319095772304e-61,1.5451032633667103e-37,1.4782284220425183e-75,8.2536287959393748e-29,3.5393479649226663e-33,6.7552165617919585e-43,5.1500810790588921e-53,4.3416743412790306e-53
1.0156612963042985e-19,0.002765466158132724,3.2746058147233491e-34,4.9371492736857988e-30,3.0166677670550251e-21,3.0277291092431543e-34,2.8584296916102223e-21,1.484559609063659e-36,6.7814246685942736e-56,5.6643484150514479e-46,1.0778212215830275e-49,1.3946609023573483e-49,4.9927636146798732e-36,2.7530589890659874e-26,4.3463496314788102e-42,7.1347711904445345e-61,1.682517253727474e-56,3.2747515941312267e-43,2.0555083554967474e-58,5.3174562524842523e-83,9.876850699672029e-56,6.0365480331650354e-72,4.0137469896161244e-43,8.3487305112943427e-67,6.5224207729132018e-37,4.7888970650157022e-54,1.0025247422296757e-49,1.1024189173895143e-45,1.412149969990997e-73,1.9179354953744595e-87,2.0981181701953101e-54,6.1028601959925408e-70,2.3539691080200351e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999950434,0.108803,0.0001,1.6469136410343574e-16,1.5936224164648264e-15,1.5936171285858211e-15,4.9357034271982143e-25,4.9398527124252624e-25,1.6042531040353604e-15,2.929828609756112e-25,1.6545043359223518e-35,1.9519328567027404e-35,4.2332915017141421e-40,7.0870116082828766e-29,9.017719034010281e-23,1.6665000401816975e-27,3.6237009478312398e-40,1.478232810206063e-42,1.12827989004836e-43,6.2784134685988785e-50,1.4545660022832959e-22,2.1252891606905737e-60,1.1388982757268749e-70,1.7290950756418539e-71,2.9491172277200067e-82,1.7056198976779891e-76,1.1388598591075476e-27,6.5224247855220193e-37,1.0007136954501154e-46,1.3745720275163412e-47,5.8689896459377907e-22,1.2741849701318403e-52,2.3113670352925251e-60,1.5169914509749757e-36,1.168790452660089e-73,3.973765722679213e-28,1.704422717674253e-32,6.6336894062083574e-42,1.0177739290853614e-51,8.5801421318682985e-52
2.1582802546466344e-19,0.002765466158132724,1.3747501377104767e-33,2.1561816763482048e-29,6.4104189963731868e-21,1.322288846043836e-33,6.074163407523044e-21,6.4834622242362185e-36,2.9616263172241567e-55,2.473145561437367e-45,4.7071284448404885e-49,1.2333165075225027e-48,1.0609622679923468e-35,5.8502503530308703e-26,1.8981650732492928e-41,6.3106243206379381e-60,1.4881674572376412e-55,1.4301700568490692e-42,1.8180738844271282e-57,1.897762170799461e-81,1.7575325952501536e-54,1.1303024838797493e-70,3.5501133095600585e-42,1.5721812665993559e-65,5.7690073048480659e-36,8.5215864496940887e-53,4.378288935708697e-49,8.9896986428121391e-45,1.2490306564359297e-72,7.2140179711455032e-86,3.7334887252266319e-53,2.17806719366655e-68,1.7840812886985819e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999989468,0.108803,0.0001,3.4996914871960016e-16,3.3864476332232735e-15,3.3864363971319724e-15,2.1536890924420882e-24,2.1573634560240708e-24,3.4090373080549664e-15,1.2795330249562211e-24,1.4591159887750128e-34,1.712074340286783e-34,3.7442993406896609e-39,3.0950841459592258e-28,3.9382742860910609e-22,7.2780435009781186e-27,3.2050725170823782e-39,1.3074801734091815e-41,9.9795022145127983e-43,1.1172095201107184e-48,6.3524710213412793e-22,7.5850019688308887e-59,8.1403643030007818e-69,1.2358841994826597e-69,4.21861379702267e-80,1.2191052419272883e-74,4.9737002056285875e-27,5.7690108529360615e-36,1.7807156912016217e-45,2.4459772104348816e-46,1.2471594043697859e-21,2.2673440836068983e-51,4.1121625232382013e-59,1.3417615894115131e-35,8.3540209760392128e-72,1.7354467895600472e-27,7.4469920118440892e-32,5.8698740130992369e-41,1.8118061356705913e-50,1.5274072546693406e-50
4.443518171331306e-19,0.002765466158132724,5.6283041372930633e-33,9.0016317877922456e-29,1.3197921427600837e-20,5.5202956263833648e-33,1.2505631834254763e-20,2.7067181711546757e-35,1.2364206881042572e-54,1.0319682499113721e-44,1.9651334667151595e-48,1.0362644359811019e-47,2.1843340806367885e-35,1.2044633084985541e-25,7.9244655292571601e-41,5.3044599874941841e-59,1.2508944169897472e-54,5.9706784600202688e-42,1.5282006837958614e-56,6.4121081380143644e-80,2.9643348828628908e-53,1.9513624036334643e-69,2.9840833925304782e-41,2.7452957197816204e-64,4.8491982405363138e-35,1.437290106459448e-51,1.827849443501658e-48,7.2423254240067133e-44,1.0498855265915382e-71,2.4967841226587832e-84,6.297072892320126e-52,7.3591950216655959e-67,1.2405364550905318e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999783172,0.108803,0.0001,7.2052471795129042e-16,6.9720980611406899e-15,6.9720749306851261e-15,8.9757020611474684e-24,9.0065677089227197e-24,7.0186040051240872e-15,5.3417976467376658e-24,1.2193449338130568e-33,1.4154737274863441e-33,3.1473096137933518e-38,1.2921366908445615e-27,1.6441515441216011e-21,3.038439890369996e-26,2.6939725715426299e-38,1.0990158559614944e-40,8.3883634345295449e-42,1.884335087817509e-47,2.6520308845967741e-21,2.5627979744779281e-57,5.5053264282834758e-67,8.3582818899007908e-68,5.708391398548067e-78,8.2448073154878603e-73,2.0764219247163052e-26,4.8492012212037195e-35,3.0034343793002636e-44,4.1254971676845192e-45,2.5676774364708661e-21,3.8242072283074981e-50,6.9330928469503737e-58,1.1278311777969742e-34,5.6498223927737377e-70,7.2451395157319417e-27,3.1117557305949165e-31,4.9381058018525933e-40,3.0583455423478445e-49,2.5782771549204873e-49
9.013994004700649e-19,0.002765466158132724,2.2771311638259667e-32,3.6774598350841968e-28,2.6772926180421357e-20,2.2552208757529311e-32,2.536857266734246e-20,1.1057829522334578e-34,5.0511819482589855e-54,4.2116720097014689e-44,8.0282114269881697e-48,8.4891674115830981e-47,4.4310777043085631e-35,2.4433398564994521e-25,3.2374027401166594e-40,4.3489167835885654e-58,1.0255588195051614e-53,2.4392169711685985e-41,1.2529113108502649e-55,2.1081599981919192e-78,4.8689265633704091e-52,3.2390510264753827e-68,2.4465306185614809e-40,4.6603199136712379e-63,3.9756656807638684e-34,2.3607533080332234e-50,7.4673613862974446e-48,5.81022491906941e-43,8.6075958629879047e-71,8.2989737761030146e-83,1.0342956072167034e-50,2.4195411581272034e-65,8.2719328454928928e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999560138,0.108803,0.0001,1.4616358564121164e-15,1.4143398894662017e-14,1.4143351983634824e-14,3.6542403524142944e-23,3.6794767517405234e-23,1.4237730555388451e-14,2.1822979378662463e-23,9.8819535645000997e-33,1.1235354650937881e-32,2.5803547864002975e-37,5.2787998877190857e-27,6.7168918926497579e-21,1.2413018348560059e-25,2.2085437382624302e-37,9.0103957979729838e-40,6.8772715896026239e-41,3.0950192638800653e-46,1.0834405630975188e-20,8.4259008761618922e-56,3.621579856776099e-65,5.4983452461486039e-66,7.5119061269001868e-76,5.4236999817206502e-71,8.4828610524344677e-26,3.9756681216837271e-34,4.933140430748005e-43,6.7761384988948702e-44,5.2087021109185675e-21,6.2812719521972296e-49,1.1378864115504638e-56,9.2466367237432341e-34,3.7166339352049943e-68,2.9598683709743496e-26,1.273528172270079e-30,4.0553188327072891e-39,5.0314551386710369e-48,4.2416663576639054e-48
1.8154945671439334e-18,0.002765466158132725,9.1600924274407585e-32,1.4864879592736666e-27,5.3922935247522746e-20,9.1159632742207543e-32,5.1094470252014928e-20,4.4697536047021131e-34,2.0417685075376313e-53,1.6989938812823442e-43,3.2451314254715882e-47,6.8638356602722876e-46,8.9245649451836736e-35,4.9210929589411001e-25,1.3086099512249885e-39,3.5218655708963161e-57,8.3052412241436677e-53,9.8597050093319383e-41,1.0146401610728427e-54,6.8377607840885158e-77,7.8927320492954238e-51,5.2701708566360178e-67,1.9812619213636448e-39,7.9203183424246348e-62,3.2195971232467507e-33,3.8268828191410591e-49,3.0184268627648427e-47,4.653918583507314e-42,6.9706542998722866e-70,2.7023476482956957e-81,1.6766361088302367e-49,7.8477162552973569e-64,5.4031496589968639e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999114089,0.108803,0.0001,2.9438581333235515e-15,2.8486000473118048e-14,2.8485906032907799e-14,1.4669919089558984e-22,1.4873033050095562e-22,2.8675956280473588e-14,8.8211915305424056e-23,7.8225292555946874e-32,8.5523605478256157e-32,2.0896383726527389e-36,2.1337752278861637e-26,2.7150721552597459e-20,5.0175404657960449e-25,1.7883129255532358e-36,7.2968518252261363e-39,5.5693676402809126e-40,5.0171376311642318e-45,4.3794352384395562e-20,2.7329089738208187e-54,2.3497945185607864e-63,3.567498740222213e-64,9.7489636977812386e-74,3.5190690719110031e-69,3.4289080425630414e-25,3.2195990954134198e-33,7.9968022400803275e-42,1.0984402825724796e-42,1.0490705901190307e-20,1.0182212825188407e-47,1.8417294094671689e-55,7.4881585760439394e-33,2.411468596959353e-66,1.1964200367046856e-25,5.166192236220238e-30,3.295053550540828e-38,8.1825100283152246e-47,6.8980946424858271e-47
3.643684900491671e-18,0.002765466158132724,3.6743453709962346e-31,5.9771024160032819e-27,1.0822295162756244e-19,3.6654886712524858e-31,1.0254632909534807e-19,1.7972699644538606e-33,8.2098613894791915e-53,6.8041251278609667e-43,1.304853078904061e-46,5.5071357249912103e-45,1.7911539401060149e-34,9.8765991895837946e-25,5.2618630765153042e-39,2.8347038169252176e-56,6.6847806924806201e-52,3.9645440314586367e-40,8.166708304868026e-54,2.202872087328935e-75,1.2710976760347634e-49,8.4782372205927575e-66,1.5946887339890265e-38,1.3834344718720229e-60,2.591411829394738e-32,6.1630767237656034e-48,1.2136961640776582e-46,3.7252653719324853e-41,5.6105890186334568e-69,8.6978726927486287e-80,2.7001654789607796e-48,2.5282414989742727e-62,3.4933707074511555e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998221973,0.108803,0.0001,5.9083026871055515e-15,5.7171203280896041e-14,5.7171013904948071e-14,5.818941861300812e-22,5.9803809519733344e-22,5.7552298229284689e-14,3.5469577715234128e-22,6.024465057272096e-31,6.1421251768491972e-31,1.6819229543108885e-35,8.5798156409564376e-26,1.0917162066767976e-19,2.0175309392216196e-24,1.439030883279335e-35,5.8731406741146536e-38,4.4826710378316234e-39,8.0798747253318203e-44,1.7609478321365349e-19,8.8043544083303458e-53,1.514185487040429e-61,2.2988626544698003e-62,1.2564958722930277e-71,2.2676582778633186e-67,1.3787488236397713e-24,2.5914134094359516e-32,1.287850369094565e-40,1.769001092700069e-41,2.1054531250392505e-20,1.6398140860706873e-46,2.9569678640299807e-54,6.0271092780306987e-32,1.553927700014868e-64,4.8107034278686615e-25,2.0920903626865909e-29,2.6697746004924471e-37,1.326240361265168e-45,1.1180577803976893e-45
7.300065567187145e-18,0.002765466158132725,1.4717992890900396e-30,2.3970852767712944e-26,2.1682297737095401e-19,1.4700248457390013e-30,2.0545030147796605e-19,7.2078700311620457e-33,3.2925216289794115e-52,2.7069592032930349e-42,5.2330444989478682e-46,4.3913677807270564e-44,3.5885488209318103e-34,1.9787611753906672e-24,2.1102424516304282e-38,2.274671305872789e-55,5.3641155380225859e-51,1.5899594846166102e-39,6.5532716154903444e-53,7.0729369649692263e-74,2.0403852863454853e-48,1.3523149722947351e-64,1.2796321013910011e-37,2.5593005447421861e-59,2.0794447370852049e-31,9.8931027997448661e-47,4.8674644422310871e-46,2.9810310937432408e-40,4.5021443527216515e-68,2.7754690434641293e-78,4.3343466182640646e-47,8.1176222258044007e-61,2.2471414108444064e-78,0.88129999999999997,0.0,0.0,0.0,0.009889999999643774,0.108803,0.0001,1.1837191794506069e-14,1.1454160753968578e-13,1.1454122874300604e-13,2.272042115417658e-21,2.3984000618307529e-21,1.153045441247922e-13,1.4224850627707344e-21,4.4486689161610375e-30,4.0486140223528916e-30,1.3496375362570609e-34,3.4408892493189766e-25,4.3782512963703163e-19,8.0912013182960941e-24,1.1541560199738438e-34,4.7128247325285449e-37,3.5969961024275578e-38,1.2969761192780243e-42,7.0621578041521452e-19,2.8268448249252598e-51,9.7238234854328969e-60,1.476287763219562e-60,1.6138413083724322e-69,1.4562530499920002e-65,5.5293992877582261e-24,2.0794459932051235e-31,2.0672530222420377e-39,2.8396285139599716e-40,4.2181453048657769e-20,2.6322650951118393e-45,4.7177277280176712e-53,4.8363560436987322e-31,9.9790409579950273e-63,1.9292680019268127e-24,8.5088214070637241e-29,2.1706173041016615e-36,2.1561083921195143e-44,1.8176548023323711e-44
