Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920),S(5903),S(5631)
0.0,0.002802730808345183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1371421712786895e-20,0.002802730808345183,3.0036476111487349e-35,2.5883366660165819e-31,9.2715808933325667e-22,1.7739663582730707e-35,6.3658641050069121e-22,6.3508188966534315e-38,1.0870094057324007e-56,4.66404933847305e-47,8.9857344122166144e-51,1.8889390255348334e-51,2.6414748773360183e-36,6.2165377094953561e-27,1.9845640482233493e-43,1.0697109233152988e-62,2.3226547678066033e-58,1.7047290020148745e-44,2.2292639852880887e-60,1.2038684283593047e-85,3.746784681991652e-58,1.8393719496554524e-74,7.8749782087568967e-45,1.2607031989717598e-69,5.8136053970238555e-39,1.3398315857661261e-56,8.2543607808458645e-51,2.4132192479634402e-47,5.9123736730096206e-75,1.3815828915375629e-90,7.7322741035777577e-57,5.324624251126784e-73,2.8607928748106737e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999990454,0.108803,0.0001,2.6928986384620754e-17,2.673872864292246e-16,2.673858505477431e-16,1.3160944866608194e-26,1.3163138103198564e-26,3.9215260799080371e-16,7.6266542900514975e-27,9.2863711700806371e-38,1.0746825472445496e-37,2.4605806882507965e-42,2.2659253107313423e-30,3.5578901753665795e-24,5.3065324037053859e-29,2.3320737294827461e-42,1.2339549410746642e-44,1.2278662415908608e-45,1.5398800000471387e-52,6.0900343281239091e-24,1.1046656188938424e-63,1.1587189853437209e-74,2.4299966167361135e-75,8.0881884848288779e-87,2.2207240600879846e-80,4.6939722161650584e-29,5.8136132718130723e-39,1.6582095356760112e-49,2.3170307819492543e-50,1.2784920645715831e-22,2.7265453945232225e-55,5.8370071840538015e-63,1.6582249898895736e-38,1.1808087565932858e-77,1.3751990966400026e-29,9.3509014908513934e-34,7.6840092670514032e-44,2.1917002966106693e-54,1.8913803112952869e-54,1.6181816690950414e-55,5.2784394196758154e-65,4.4541293927955485e-37,2.1927233698633881e-47,2.484455719654355e-58,1.7103544651816824e-47,1.5466672088430642e-58,3.9305186498664771e-46,1.6559078818586312e-51,3.2318224818869085e-41,7.9549079609256897e-52,1.8735751040476583e-64,2.6454281216851877e-75,7.9549387334873629e-52,7.8574536918872368e-52,1.3332024847277613e-47,6.563206596142264e-58,5.1193279568693454e-58,3.8026762174187322e-58,8.4359682121976427e-59,1.840590238037564e-79,1.7168425155070623e-87,7.9840484145376013e-83,2.8512571168844486e-50,1.4036436677036169e-60,8.1326049351788309e-61,1.0948535774951386e-60,1.2191933087929714e-78,4.8024577357991361e-39,9.0434030597096662e-87,9.8341498207451126e-69,6.2329902225225347e-79,7.0745957919667722e-89,1.5342193803852798e-89,8.7292921867073795e-100,1.0922945230303695e-100,1.7951533785703412e-113,1.5292927857461819e-124,1.0580066930681101e-46,2.9900612142145854e-56,3.8716459845921412e-56,7.6625680207166905e-114,8.0375118860460594e-125,3.8703172507577398e-125
3.1839980795803307e-20,0.002802730808345183,1.4157864252125045e-34,1.5633467875703867e-30,2.5960426494867488e-21,1.0714756801737388e-34,1.7824419636957266e-21,3.8358946513254018e-37,6.5655368109476003e-56,2.8169756451585444e-46,5.4276374539140011e-50,2.2424821649951973e-50,7.396129656389886e-36,1.7406305587470168e-26,1.1986766851777668e-42,1.2700152076491798e-61,2.7574557404353672e-57,1.0296563172608589e-43,2.6465822104419841e-59,4.9677966956955292e-84,8.3814072849135073e-57,5.7830607587258241e-73,9.349173922386954e-44,3.9681908572910929e-68,6.9019123262761844e-38,2.997149662948595e-55,4.9856339115477852e-50,2.048918988593019e-46,7.0191700248156118e-74,7.9569141878310269e-89,1.7296787512803971e-55,2.1972209895085706e-71,3.2518477364317836e-91,0.88129999999999997,0.0,0.0,0.0,0.009889999999997328,0.108803,0.0001,7.5401161876926561e-17,7.4868440193431688e-16,7.4868038149070572e-16,7.9478907838912011e-26,7.9505354104457593e-26,1.0980272705621755e-15,4.6064991216081663e-26,1.1017860927128677e-36,1.2735857756859976e-36,2.9212071995520084e-41,1.3686188855986606e-29,2.1489656139694242e-23,3.205145571596419e-28,2.7686302987421493e-41,1.4649513038933181e-43,1.4577226397441929e-44,3.4446495985694954e-51,3.6783806452607555e-23,4.5584331339168921e-62,8.7225464110784545e-73,1.8292406130170271e-73,1.1040336300540843e-84,1.6717055028638876e-78,2.8351592180834924e-28,6.9019216750273393e-38,3.7093480854838897e-48,5.1831050736280111e-49,3.5797773322994626e-22,6.0991729906749034e-54,1.3056783117806837e-61,1.9686446643720513e-37,8.8888326796677052e-76,8.3062016427218737e-29,5.6482666231494957e-33,9.1229322633228212e-43,4.9029902580545103e-53,4.2311529000183461e-53,3.6199882694978243e-54,2.1727258873479106e-63,2.6902941528015607e-36,2.6032011832818832e-46,5.553815407458291e-57,2.0305327224605076e-46,3.4572643824201445e-57,4.6663089794465849e-45,2.19440728164337e-50,3.8368195970000968e-40,1.7794694410120129e-50,4.6565048662659554e-63,1.2099241543342999e-73,1.7794821392741606e-50,1.7576809375475672e-50,1.5828606575078168e-46,1.468233301794675e-56,1.1452158856385389e-56,8.5068577032123938e-57,1.8871864961221534e-57,8.4206471367243123e-78,2.3434792021110626e-85,3.6516198109682265e-81,3.3850121152727085e-49,3.1398912192767909e-59,1.8192309508629501e-59,2.4491259890652205e-59,5.0309821047710768e-77,2.9006844725446841e-38,9.564855573350403e-85,4.0580893792089282e-67,4.6920393723488524e-77,9.6567882032865808e-87,2.0942018459250983e-87,2.1535085127807784e-97,2.6946808466613979e-98,7.9894808078623133e-111,1.2266535585775408e-121,1.256131149292362e-45,6.6889755990701876e-55,5.3317657241332698e-55,3.4102902222747256e-111,6.4469293577246247e-122,3.1044012456570281e-122
7.277709896183613e-20,0.002802730808345183,5.9456901285631583e-34,7.5268231112506748e-30,5.9338117672082576e-21,5.1586941665101488e-34,4.0741531272609644e-21,1.8468181914218063e-36,3.1610233523454412e-55,1.3561403264857872e-45,2.6134324136542902e-49,2.2015411806918877e-49,1.6905439213895095e-35,3.9785841346952495e-26,5.771112252997556e-42,1.2470237091379366e-60,2.70728639765101e-56,4.9573519385173614e-43,2.5984301225071543e-58,1.9652108964791806e-82,1.656024764032604e-55,1.2900655738592623e-71,9.1790739582744502e-43,8.8846268557553824e-67,6.7763384474523026e-37,5.9218626678091965e-54,2.4003681149454026e-49,1.5887659836817437e-45,6.8914627539153919e-73,3.5679322551957069e-87,3.4175535784950318e-54,8.6919872500844785e-70,2.9433386782069019e-89,0.88129999999999997,0.0,0.0,0.0,0.009889999999993895,0.108803,0.0001,1.7234551286149206e-16,1.7112786326745597e-15,1.7112694432047315e-15,3.8252235473996101e-25,3.8278405545809951e-25,2.5097764684566336e-15,2.2178309631730431e-25,1.0802773814659858e-35,1.2456165928452064e-35,2.8680611016544657e-40,6.5893107723595524e-29,1.0346343850686214e-22,1.5431396226351656e-27,2.7182414772326756e-40,1.438297872649782e-42,1.4312003881537834e-43,6.8060455495725474e-50,1.7709818492293106e-22,1.8032704021693437e-60,6.8966535940021364e-71,1.4463252193437884e-71,1.7441021542122475e-82,1.321767022328998e-76,1.365007119740487e-27,6.7763476256909455e-37,7.3290453656310709e-47,1.024094174630757e-47,8.1823460737520431e-22,1.2050938050532663e-52,2.5796401119829679e-60,1.9328269129782562e-36,7.028131118735596e-74,3.9990776215537978e-28,2.7197253374482085e-32,8.9579582319526695e-42,9.6885391897383281e-52,8.3609566495197113e-52,7.1532677579616337e-53,8.5479341558295851e-62,1.295260826754584e-35,2.5558383555112954e-45,1.0956952385269667e-55,1.9935888589460129e-45,6.81989203097791e-56,4.5814039771013729e-44,2.6385170231667261e-49,3.7670121190503799e-39,3.5158813727373577e-49,1.1212900074984145e-61,5.8205955399397671e-72,3.5159316047364502e-49,3.4728812363507448e-49,1.5542370858260707e-45,2.9012853093617371e-55,2.2629382348896589e-55,1.6809946899115483e-55,3.729169622563346e-56,4.0514634961616557e-76,3.7021144116215053e-83,1.75669068305939e-79,3.3234242603739523e-48,6.2038807129457083e-58,3.5944927427224047e-58,4.8389838365451658e-58,1.9900995128146826e-75,1.3965547097533975e-37,8.9398729112309296e-83,1.6053397323106651e-65,3.7098542845572563e-75,1.5255357934481673e-84,3.3083254853881731e-85,6.7979852118522403e-95,8.5063058943111947e-96,5.0407388339273101e-108,1.5471422419774482e-118,1.233415971677392e-44,1.3217708066523679e-53,5.7332699446551113e-54,2.1516269672789968e-108,8.1313233637206737e-119,3.9154904585190599e-119
1.5465133529390178e-19,0.002802730808345183,2.4201739026221668e-33,3.2871576064781407e-29,1.2609349992309359e-20,2.2529372715472644e-33,8.657575683092103e-21,8.0655405786475794e-36,1.3805019457669506e-54,5.9216356179059645e-45,1.1415819010610084e-48,1.9469870854389831e-48,3.5924058326506064e-35,8.4544912880047919e-26,2.5203963420354491e-41,1.1031834307617474e-59,2.3945641600387192e-55,2.1650058332389274e-42,2.2982820422779701e-57,7.0136975728130294e-81,2.9468073124127354e-54,2.4157608756036168e-70,8.1187861862097001e-42,1.676374647725159e-65,5.9935946131464042e-36,1.0537638205097339e-52,1.0483038190389852e-48,1.2230473894896445e-44,6.0954207632808645e-72,1.3421324934236225e-85,6.0813534280277006e-53,3.1021082209640275e-68,2.2306867666449003e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999870272,0.108803,0.0001,3.6623421483043851e-16,3.6364670930761192e-15,3.6364475659451845e-15,1.6693961535291242e-24,1.6717185330829944e-24,5.3332743552524954e-15,9.6858498698444627e-25,9.5290125242521998e-35,1.0932942085886885e-34,2.5367685885810603e-39,2.8777251123393604e-28,4.5185197174598438e-22,6.7392961489630711e-27,2.404225042832425e-39,1.2721581720496761e-41,1.2658799240376619e-42,1.2110988746487757e-48,7.7343422183632309e-22,6.4357410152266782e-59,4.9294373591780882e-69,1.0337723181513413e-69,2.4948801325834256e-80,9.4474343813308561e-75,5.9613447070863669e-27,5.9936027304461934e-36,1.304163973126385e-45,1.822320705276587e-46,1.7387476380650103e-21,2.1444000450926954e-51,4.5897586138640264e-59,1.7095633515788153e-35,5.0234119565224384e-72,1.7465014562088796e-27,1.1880637791615645e-31,7.9250079562461313e-41,1.7244015545641548e-50,1.4881134470592199e-50,1.273164980523711e-51,3.0174840294542053e-60,5.6567443219245826e-35,2.2606100761525897e-44,1.9438757238761299e-54,1.7633063975177179e-44,1.20962113756819e-54,4.0521895288206248e-43,3.1947917603517573e-48,3.3318793576714563e-38,6.2561429549620391e-48,2.7147443432340294e-60,2.8180506331411778e-70,6.2563222217848197e-48,6.1798062412641577e-48,1.3750165996474757e-44,5.1637680302863063e-54,4.0274377042792545e-54,2.9918943431903605e-54,6.6373136182361867e-55,1.9616556359790825e-74,5.2957299818733763e-81,8.5050643756830815e-78,2.9395298635843204e-47,1.1039419845489595e-56,6.3962040303906705e-57,8.6104400462668072e-57,7.1016757048254906e-74,6.0991213263559892e-37,6.8753878073652503e-81,5.7293429756917987e-64,2.6516484882375459e-73,2.1822290237749197e-82,4.7324512624958048e-83,1.9454956679721989e-92,2.4343954367287405e-93,2.88565712098269e-105,1.7715187562919893e-115,1.0911896577283263e-43,2.3525280058864115e-52,5.3181327360534343e-53,1.2317356415594994e-105,9.3105801525712011e-116,4.4833400594660954e-116
3.1839980795803307e-19,0.002802730808345183,9.7498802708052637e-33,1.3723228303011417e-28,2.5960426401143907e-20,9.4055696004280299e-33,1.782442170955704e-20,3.3672047002233966e-35,5.7633238735561907e-54,2.4713430589858598e-44,4.7677806681133269e-48,1.636137580539054e-47,7.3961296542215289e-35,1.7406305600276188e-25,1.052215859084724e-40,9.2763737669234135e-59,2.0127754604312621e-54,9.0384731748031642e-42,1.9318445807657811e-56,2.369769536422707e-79,4.9702203217063123e-53,4.171281386834623e-69,6.8243276705997074e-41,2.9385574177724407e-64,5.0379774067301706e-35,1.7773267021577587e-51,4.3764620848540609e-48,9.5286057016303614e-44,5.1235684294920869e-71,4.6459048393327518e-84,1.0257089516509924e-51,1.0481320659965356e-66,1.5510637698909212e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999732917,0.108803,0.0001,7.5401161876759298e-16,7.4868440095702665e-15,7.4868038086756992e-15,6.9595626079689951e-24,6.9790957681109319e-24,1.0980268092872735e-14,4.0436511339336128e-24,7.9664488357849878e-34,9.0509343622400947e-34,2.1323072746164132e-38,1.2013935706887106e-27,1.8863926462493588e-21,2.8135234770789295e-26,2.020847632261712e-38,1.069325583254597e-40,1.0640473225066598e-41,2.0426933587807812e-47,3.2289349602528163e-21,2.1744894314823742e-57,3.3337778231539955e-67,6.9914008046194186e-68,3.3759322794368266e-78,6.3892995586838851e-73,2.4887440623117663e-26,5.0379842285508167e-35,2.1996615051318169e-44,3.0736096809681886e-45,3.5797708290462751e-21,3.616844131461975e-50,7.7393651290939927e-58,1.4369907293855211e-34,3.3973328350570913e-70,7.2912930416804831e-27,4.9623415749818154e-31,6.6644669649817316e-40,2.9097301532159724e-49,2.5110206144785999e-49,2.1483210722643158e-50,9.9781627070389428e-59,2.3615793978293622e-34,1.9001789719872387e-43,3.2590441374362209e-53,1.4821646492559429e-43,2.0270256452973436e-53,3.4060919557786052e-42,4.1339320634690817e-47,2.8006450218208192e-37,1.0551291783753005e-46,7.0068336183257237e-59,1.4528220295747176e-68,1.0551897434371085e-46,1.0423145258700178e-46,1.1563083280811469e-43,8.7131138796597961e-53,6.7950894078029655e-53,5.0484745673857864e-53,1.1199711592706447e-53,1.0113553771579632e-72,7.1658272844634863e-79,4.3847324892920984e-76,2.4708498537795331e-46,1.8619411502614927e-55,1.0788120323062015e-55,1.4521843951397829e-55,2.398909987660103e-72,2.54626309322268e-36,4.8137807414237863e-79,1.9358151634784269e-62,1.7933108437841709e-71,2.9528724532759252e-80,6.4036929304585028e-81,5.2661315450472915e-90,6.5895038079731629e-91,1.562355603578462e-102,1.9183714139922817e-112,9.1762651207798745e-43,3.9695949318286769e-51,4.5807381386105929e-52,6.6688764537803378e-103,1.0082394412472582e-112,4.8549931453812794e-113
6.4589675328629565e-19,0.002802730808345183,3.9123279299925087e-32,5.606384998625894e-28,5.2662579053342278e-20,3.8424820643122399e-32,3.6158117421697559e-20,1.3756132173031428e-34,2.3545058568821359e-53,1.0089520875305467e-43,1.9493495628131193e-47,1.340712378900994e-46,1.5003577293626411e-34,3.530993424742824e-25,4.298645117151008e-40,7.6110006078563353e-58,1.6501949302241044e-53,3.6925112127061402e-41,1.5838429738787467e-55,7.7912814201913301e-78,8.1635987639134938e-52,6.9261808646470678e-68,5.5949939805264218e-40,5.0256517802767894e-63,4.130438248682862e-34,2.9192644373820144e-50,1.7879275616099538e-47,7.5069651761517644e-43,4.2006109536021289e-70,1.5447417853203354e-82,1.6847294058951936e-50,3.4460276648206424e-65,1.0342515303407149e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999458206,0.108803,0.0001,1.5295664266389492e-15,1.5187597825376235e-14,1.5187516283135156e-14,2.8352006206899992e-23,2.8511883198184681e-23,2.2274247424233162e-14,1.651963004051957e-23,6.4615342792113119e-33,7.2024981388410955e-33,1.7481945306200483e-37,4.908084613999759e-27,7.7065262994060392e-21,1.1494161419273334e-25,1.6567336472031035e-37,8.7669769672457431e-40,8.7236859515824154e-41,3.3551236967638277e-46,1.3191247453037092e-20,7.1492323322603387e-56,2.1930663911910873e-65,4.599168563805466e-66,4.4425289801506534e-76,4.2030882278495369e-71,1.016733152238434e-25,4.1304438395590506e-34,3.612945186501899e-43,5.0484113417408644e-44,7.2618057294513432e-21,5.9406774232059099e-49,1.2705583497287773e-56,1.1781313657790846e-33,2.234874930060688e-68,2.9787256098004902e-26,2.0292472451274833e-30,5.4688856184412888e-39,4.7834287925605336e-48,4.127971906184502e-48,3.5317192868224539e-49,3.1466138451670977e-57,9.6478223772560731e-34,1.5578815104757048e-42,5.2897660382790308e-52,1.2151671030727099e-42,3.2869209599425492e-52,2.792491264928758e-41,5.7646532641290344e-46,2.2961374406772704e-36,1.7328532256901146e-45,1.948522539145758e-57,8.0687521644107128e-67,1.7330523165302251e-45,1.7120043356496876e-45,9.4887078180748267e-43,1.4323353239599372e-51,1.1168268723649198e-51,8.2993865730738814e-52,1.84116970636608e-52,5.617073172168723e-71,9.429654980314586e-77,2.435234592515223e-74,2.0257485216827232e-45,3.0581836078903012e-54,1.7719478424529559e-54,2.3849144813982477e-54,7.8832225771737219e-71,1.0402315568460443e-35,3.220613624965249e-77,6.3645345010511418e-61,1.1796993599737757e-69,3.8858127616567306e-78,8.4268964168608297e-79,1.3861309533761598e-87,1.7344651465957071e-88,8.2251833181057281e-100,2.0199462048362757e-109,7.5300762048533777e-42,6.5256977318274045e-50,3.8044911142941663e-51,3.5108992660242117e-100,1.061624155533024e-109,5.1120575132035896e-110
1.300890643942821e-18,0.0028027308083451836,1.5672602203436285e-31,2.2661901344845635e-27,1.0606688369585544e-19,1.5531926753688852e-31,7.2825523482821099e-20,5.560450409850673e-34,9.5172891420829203e-53,4.0729205139260643e-43,7.8921931329822469e-47,1.0846247236348804e-45,3.0218472558033175e-34,7.1117191632169327e-25,1.7375810884561425e-39,6.1727916717489272e-57,1.3363706402939309e-52,1.4925720725185963e-40,1.2826372166043819e-54,2.5270819343604649e-76,1.3233535536426467e-50,1.1276886989134626e-66,4.5309676993195605e-39,8.6601165080741872e-62,3.3449359646014122e-33,4.7322534273011674e-49,7.2270890651782892e-47,5.9563995934955441e-42,3.4017636618996353e-69,5.0333441191956274e-81,2.731016933404653e-49,1.1177100020074721e-63,6.7556312029398805e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999998908784,0.108803,0.0001,3.0806760423698483e-15,3.0589105388683193e-14,3.0588941188047767e-14,1.1396102248598384e-22,1.1524958862631692e-22,4.4862173511480773e-14,6.6774951508905339e-23,5.1230392810020048e-32,5.5082253525140125e-32,1.4157333826141731e-36,1.9839261715490503e-26,3.1150985798738981e-20,4.6461238096751783e-25,1.3415373789499223e-36,7.0997248851484914e-39,7.0646397386377024e-40,5.4387797378263707e-45,5.3321087363192425e-20,2.3188278278691963e-54,1.4229310938184932e-63,2.9840865775449542e-64,5.7655247303563256e-74,2.7270987036856184e-69,4.109797939263871e-25,3.3449404888940124e-33,5.8567221998459259e-42,8.1836865365151479e-43,1.4625829604319137e-20,9.6300943524485539e-48,2.0575756864489279e-55,9.5408059060672195e-33,1.4500578084920754e-66,1.2040440652141135e-25,8.2184587176819144e-30,4.4368675722691036e-38,7.7677230405547555e-47,6.703334079685473e-47,5.73510503998968e-48,9.4364314268235042e-56,3.8998040383058883e-33,1.2616128141578071e-41,8.3769475848617208e-51,9.8407216522932812e-42,5.1955940646261366e-51,2.2613853299584887e-40,8.5156740569827465e-45,1.8594707302862813e-35,2.8083827844477166e-44,5.744640934588811e-56,4.7526060169485046e-65,2.8090283114318094e-44,2.7752314970119615e-44,7.6981203980254809e-42,2.3257795695800194e-50,1.8127942024009957e-50,1.3477174689931921e-50,2.9898472795123374e-51,3.3086261899357257e-69,1.2237429953076686e-74,1.4344113856168292e-72,1.6404980521692814e-44,4.9572518517279043e-53,2.8723903235908659e-53,3.8650679613245502e-53,2.554395906668827e-69,4.2047822775169145e-35,2.10715161817445e-75,2.0643200660134564e-59,7.6542866138184698e-68,5.0430319189515334e-76,1.0936477226656312e-76,3.5980461278519124e-85,4.502240117599135e-86,4.27022021767946e-97,2.0973953079661113e-106,6.1090966136646237e-41,1.0596677030425645e-48,3.1052207649548631e-50,1.8227329995341598e-97,1.1023291195263317e-106,5.3080648700332411e-107
2.6108784252558712e-18,0.002802730808345183,6.2735528224948863e-31,9.1122501223547239e-27,2.128754903333422e-19,6.2453193470722425e-31,1.4616039415243831e-19,2.2358341368889243e-33,3.8268601179930703e-52,1.6333553880558988e-42,3.1836124235888554e-46,8.7120556101341729e-45,6.0648263033593595e-34,1.4273170676339923e-24,6.9867371580511211e-39,4.98329716568077e-56,1.0756273555115267e-51,6.001566675326844e-40,1.0323781998655612e-53,8.1413212894807575e-75,2.1312169277575523e-49,1.8165408598436397e-65,3.6469113778011126e-38,1.5494845421059198e-60,2.6922954381465843e-32,7.6211481760025409e-48,2.9059807243156985e-46,4.7448813797697541e-41,2.7380353474990497e-68,1.6221625193072085e-79,4.3982120290005187e-48,3.6008464322539377e-62,4.3678081281788798e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999997809941,0.108803,0.0001,6.1828952737843957e-15,6.1392120245406008e-14,6.1391790821847834e-14,4.5314702235104969e-22,4.634135115877491e-22,9.0037895384458841e-14,2.6849886673842397e-22,3.95724953759126e-31,3.9875301413599877e-31,1.1395055194339615e-35,7.9772790515133096e-26,1.2525653738123472e-19,1.8681859400586176e-24,1.0795792225094165e-35,5.7144756666109199e-38,5.6861926899101423e-39,8.7589215325097035e-44,2.1440139376877555e-19,7.4703576891054692e-53,9.1692455312815415e-62,1.9229197293034324e-62,7.4309098001549297e-72,1.7573210447270907e-67,1.6525316567473624e-24,2.6922990743079801e-32,9.4320137336300865e-41,1.3179556198983189e-41,2.9353693652585266e-20,1.5508970874986669e-46,3.3070691902650545e-54,7.6792588004149272e-32,9.3440478423416903e-65,4.8413724279472393e-25,3.3174063226167037e-29,3.5840909036735229e-37,1.2553414542249837e-45,1.083324155441878e-45,9.2685346260551923e-47,2.6429353943553212e-54,1.5680940342355743e-32,1.0154557124233776e-40,1.2894714746764368e-49,7.9206421844969159e-41,7.9700594898860519e-50,1.8200848040459347e-39,1.3047116281859498e-43,1.4966623645613329e-34,4.5207314603185813e-43,1.7580455095652715e-54,2.9069415441504396e-63,4.5228096990472477e-43,4.4694205632927504e-43,6.2185230301968082e-41,3.7581625465427649e-49,2.9270718227541286e-49,2.1780301421579259e-49,4.8319082025640981e-50,2.0238099643407042e-67,1.577121177581666e-72,8.7739099126538494e-71,1.3204065027584772e-43,7.982871453966626e-52,4.6258526234161917e-52,6.2214147858583665e-52,8.2132153465335667e-68,1.690724465333494e-34,1.3634814086581869e-73,6.6504727709494449e-58,4.9323856473001293e-66,6.4997615010703431e-74,1.4095583492092098e-74,9.2749784192848712e-83,1.16058260427927e-83,2.2015751799237783e-94,2.1627008929438846e-103,4.9349133886899654e-40,1.7124365537717549e-47,2.5159681251064359e-49,9.3973695607466635e-95,1.1366518078666549e-103,5.4733395708819568e-104
5.2308539878819715e-18,0.002802730808345183,2.5103088699962099e-30,3.6544196290982043e-26,4.2649269301811454e-19,2.5046523157754898e-30,2.9283036968115344e-19,8.9667067838784108e-33,1.5347420779898079e-51,6.5158469003065727e-42,1.2850373990367253e-45,6.9622773604713504e-44,1.2150784380657225e-33,2.8596073847284881e-24,2.8019941104939122e-38,4.0229399131588586e-55,8.6312321630178495e-51,2.4068966774200472e-39,8.2841877900829305e-53,2.6140012445971803e-73,3.4210649735637896e-48,2.9050927481351173e-64,2.926407699877445e-37,2.9758747773345741e-59,2.1603974877001446e-31,1.2233630390965377e-46,1.1654282416687282e-45,3.7876950373611819e-40,2.1971009401621353e-67,5.1896970938738248e-78,7.060083336261786e-47,1.1561529179485502e-60,2.8096308843901965e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999995612255,0.108803,0.0001,1.2387333736424488e-14,1.2299814890490193e-13,1.2299748938534747e-13,1.7777776328576484e-21,1.8584953247335454e-21,1.8038881792735298e-13,1.0767983281889708e-21,2.9377247393559451e-30,2.660078442295001e-30,9.1438158923211738e-35,3.1992450278452099e-25,5.0233308138184332e-19,7.4922611121217344e-24,8.6596267832039648e-35,4.5855059013829466e-37,4.5627409468267805e-38,1.4059798374612486e-42,8.5984264802719277e-19,2.398539843502137e-51,5.8883371555488412e-60,1.234867125516184e-60,9.5442723948328531e-70,1.1285250857088583e-65,6.6273909033450349e-24,2.1604003968519285e-31,1.5140288515286229e-39,2.1156046562879077e-40,5.8808686961638325e-20,2.4895335540477969e-45,5.2875604234635635e-53,6.1621025883068973e-31,6.0005924188969787e-63,1.9415781629887886e-24,1.3406950399723706e-28,2.8967319984860834e-36,2.0291418384164093e-44,1.7510873532384235e-44,1.498182565571442e-45,6.7390067214845462e-53,6.288758284472816e-32,8.1483919701405302e-40,1.9015159075166442e-48,6.3557736401192178e-40,1.1682034637907551e-48,1.4603833247885103e-38,2.040723749268634e-42,1.2009749654266411e-33,7.2500987018183299e-42,5.4956819720927235e-53,1.8166610625393632e-61,7.2567624346772295e-42,7.1743963284099602e-42,5.0259312558408014e-40,6.0730084158205628e-48,4.7230060605412045e-48,3.5205312354174113e-48,7.8103819765639431e-49,1.2648493410275821e-65,2.0253929474677201e-70,5.4835360329250037e-69,1.0595285387580682e-42,1.2812255023957219e-50,7.4253784677468581e-51,9.9766249171331147e-51,2.6268163648070778e-66,6.7805613398740004e-34,8.7742802182579353e-72,2.1353213612563887e-56,3.1675336459179037e-64,8.3484022173014128e-72,1.8104594596149023e-72,2.3826062466545495e-80,2.9813836782593176e-81,1.1311189050073248e-91,2.2222998676004835e-100,3.9884928601079253e-39,2.7676957315225286e-46,2.0365247958880265e-48,4.8281532960358021e-92,1.1679752688218964e-100,5.6241720973400155e-101
