Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711)
0.0,0.0019100873448154789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.723053906456013e-19,0.0019100873448154789,2.6702583546270495e-37,1.2207509625627718e-32,2.0293186777974465e-24,2.6667735556518175e-37,4.2046448178877905e-23,2.9652324033658334e-38,1.503708261268777e-62,2.8341927144219666e-50,6.6576706855706016e-54,1.0167846448897327e-52,3.3530319320910813e-41,3.5499128705271275e-28,4.5095567861222527e-44,3.1678887585553882e-64,1.2369473374958288e-59,1.1138280504869949e-45,6.3131104498513145e-61,6.1729910123535018e-107,1.9612535791371606e-76,8.0199380367408128e-77,1.1823892950196223e-94,5.8269156517769091e-69,1.7626303403979959e-74,3.9865078947306778e-67,5.0474832442376801e-54,4.8692274999073416e-48,1.0578595607046791e-80,4.4252446568651994e-92,1.1963699061999433e-85,9.2101054082586883e-87,-7.8380995846040701e-103,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994947,0.108803,0.0001,2.4102626633735364e-17,2.3649766242090109e-16,2.3649761867804058e-16,4.6097049086143482e-25,4.6167883552842025e-25,7.5362339948843976e-18,3.332596849563821e-25
1.0424550938076837e-18,0.0019100873448154789,1.6117068194443837e-36,7.3733357599986656e-32,5.6820922581062324e-24,1.6107312181884362e-36,1.1773010406232378e-22,1.7910010126439017e-37,9.0823978847976315e-62,1.7059429904939528e-49,4.0212330935664539e-53,1.2050786864044394e-51,9.3884894006328065e-41,9.939756037021339e-28,2.7237722987139509e-43,3.760917533709086e-63,1.4685038787423008e-58,6.7275214246793894e-45,7.4949248226758911e-60,3.5435610554146697e-105,6.145809152045957e-75,2.5131379787618755e-75,6.786624625793179e-93,1.8259296973033552e-67,2.0939885579541523e-73,6.0244107283842253e-66,3.0486798773779334e-53,5.7757703777154287e-47,1.2558908678404243e-79,2.5403130876617379e-90,6.8677650663589558e-84,1.1522849065941364e-85,4.7533876357490805e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999985857,0.108803,0.0001,6.7487354574439231e-17,6.6219345220925978e-16,6.6219333080254686e-16,2.7801415854765295e-24,2.7885401575579591e-24,2.1101454914127271e-17,2.0128881689847877e-24
2.3827545001318484e-18,0.0019100873448154789,7.7572066328260605e-36,3.5499437270029018e-31,1.2987639259817335e-23,7.7549773584565606e-36,2.6909761247507671e-22,8.622905439309121e-37,4.3727836038606184e-61,8.1535378785196821e-49,1.9360506345850463e-52,1.1786261137270667e-50,2.145940430082736e-40,2.2719442368191294e-27,1.3113791132485163e-42,3.6924911355810685e-62,1.441785815553609e-57,3.2390119704230609e-44,7.3585618290664284e-59,1.578032279164891e-103,1.3614103494314169e-73,5.5670652349635485e-74,3.0219846756636178e-91,4.0447718530527741e-66,2.0566629858543307e-72,6.4807861494127222e-65,1.4678081242016709e-52,5.6681067580374939e-46,1.2330410958074084e-78,1.1312503179145454e-88,3.0583479152737801e-82,1.3960407169089585e-84,1.6273154964539937e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999967694,0.108803,0.0001,1.5425681045576774e-16,1.5135850215417061e-15,1.5135847490676924e-15,1.3343400542581599e-23,1.3425620401660972e-23,4.8231895666416868e-17,9.6911867164230585e-24
5.063353312780178e-18,0.0019100873448154782,3.3872757039847389e-35,1.5503536519765961e-30,2.7598732627613691e-23,3.3868022695862571e-35,5.7183341588401798e-22,3.7658550806802253e-36,1.909709471233915e-60,3.5088969640721688e-48,8.4552417626187311e-52,1.034409264097143e-49,4.5601233953660862e-40,4.8278815023257354e-27,5.7271371167649686e-42,3.265966591596431e-61,1.275243224898477e-56,1.4145616237122458e-43,6.5085649469645042e-58,5.8544303880400255e-102,2.5137523299831649e-72,1.0279210200449493e-72,1.1210957846428601e-89,7.4683982489982787e-65,1.8196834736633098e-71,5.9569590082449479e-64,6.4103036868335328e-52,5.0122650374871653e-45,1.0906108755865318e-77,4.1968696492869279e-87,1.1346283585756763e-80,2.2178298698806555e-83,5.0113107814799485e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999931369,0.108803,0.0001,3.2779572221810805e-16,3.2163681194889071e-15,3.2163675616625171e-15,5.7910214892188847e-23,5.8633210711886014e-23,1.0249277282621183e-16,4.23239291311125e-23
1.0424550938076838e-17,0.001910087344815479,1.4140205616359976e-34,6.4724209865868709e-30,5.6820916820703204e-23,1.4139232077242036e-34,1.1773081690355642e-21,1.5721751548616467e-35,7.9726610160295376e-60,1.4224801255355296e-47,3.5298969902359901e-51,8.5599824196455063e-49,9.3884892669105577e-40,9.939756030429396e-27,2.3909670065527529e-41,2.7452417066375744e-60,1.0719187675863278e-55,5.905516320025844e-43,5.4708415833580946e-57,1.9713143719492084e-100,4.220233274629195e-71,1.7257334411186721e-71,3.7748949745987841e-88,1.2538380341875622e-63,1.5302527992206925e-70,5.0963038401038029e-63,2.6761755860609128e-51,4.2126520882785498e-44,9.1672413849519798e-77,1.413174330244968e-85,3.8205320730790367e-79,5.2007667213193386e-82,1.5421544936830659e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999858702,0.108803,0.0001,6.7487354574152177e-16,6.6219341545427478e-15,6.6219330911103006e-15,2.3877498963129509e-22,2.4478210599515822e-22,2.1101450976666757e-16,1.7669382729963598e-22
2.1146946188670154e-17,0.0019100873448154789,5.7765340915937308e-34,2.6441948998077335e-29,1.1526527503687128e-22,5.7763370792665956e-34,2.388270260672695e-21,6.4228876372487949e-35,3.2570920854125985e-59,5.4809247034974867e-47,1.4420780950346786e-50,6.8007387947040767e-48,1.9045220773910566e-39,2.0163505074998527e-26,9.7678803687417958e-41,2.2507150069492896e-59,8.7882376481229766e-55,2.4125961073812406e-42,4.4853274070500537e-56,6.2037529209715999e-99,6.6263333883943224e-70,2.70963337710036e-70,1.1879517157349373e-86,1.9686942140196605e-62,1.2556290164716186e-69,4.2137225563648506e-62,1.0933050351977136e-50,3.4536002840801347e-43,7.515858075400822e-76,4.4472726000452953e-84,1.2023247113958988e-77,1.4958795498662844e-80,4.8099731026732123e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999713366,0.108803,0.0001,1.369029192783281e-15,1.3433065596841503e-14,1.3433063767038438e-14,9.5187714551463406e-22,1.0000147182109643e-21,4.2805791413106466e-16,7.2184993411001194e-22
4.2591736689856787e-17,0.001910087344815479,2.3349268262195394e-33,1.0688256429445691e-28,2.3215395078917762e-22,2.3348873373928646e-33,4.8102447852781693e-21,2.5962655205530622e-34,1.3165686317318428e-58,1.9733546095656374e-46,5.8291102028762861e-50,5.1701945398682721e-47,3.8358682843554927e-39,4.0611003117583975e-26,3.9483334148823279e-40,1.8226873587962722e-58,7.1169426418710327e-54,9.7520991940138824e-42,3.6323359509783564e-55,1.8134939652634485e-97,9.6607677470305114e-69,3.9504710015259995e-69,3.4726236047619091e-85,2.8702294997528601e-61,1.0184742872500467e-68,3.4265291844481404e-61,4.4193136502504907e-50,2.7967395613422762e-42,6.0865362884480202e-75,1.3000343865375625e-82,3.5146548929072237e-76,4.4527716748639891e-79,1.5169518979160595e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999422696,0.108803,0.0001,2.7573404868465276e-15,2.7055326084512072e-14,2.7055323587025305e-14,3.6692738589908706e-21,4.0422189332234657e-21,8.6214444479397934e-16,2.9178166559384791e-21
8.548131769223006e-17,0.001910087344815479,9.3885540412204301e-33,4.2976991921544084e-28,4.6593113957378443e-22,9.3884755461837571e-33,9.6543951997744751e-21,1.0439723954433395e-33,5.293864035735224e-58,6.3415702494517968e-46,2.3438595545472637e-49,3.6721137699275982e-46,7.6985603205421364e-39,8.1505999016543341e-26,1.587607496594576e-39,1.4670573444242917e-57,5.728334508003533e-53,3.9212761842073037e-41,2.9236224371932793e-54,4.7402528662203677e-96,1.2573077272159357e-67,5.1413692143907337e-68,9.0769731200127626e-84,3.7354813027480579e-60,8.2236883821424206e-68,2.7636198917210885e-60,1.7769864963074962e-49,2.2510283787432534e-41,4.8989732088305417e-74,3.3981261788013874e-81,9.1868579583680185e-75,1.2632870773933223e-77,4.816807482127395e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998841356,0.108803,0.0001,5.5339630748919331e-15,5.4299838249080152e-14,5.42998370995238e-14,1.3491987908602921e-20,1.6253580957443685e-20,1.7303163938577159e-15,1.1732282390698676e-20
1.712604796969766e-16,0.001910087344815479,3.7652110287620506e-32,1.7235682242486079e-27,9.3348486626388211e-22,3.7651955997047665e-32,1.9343501489592487e-20,4.1870003536451101e-33,2.1230758289492305e-57,1.6854358156140098e-45,9.3999249647399699e-49,2.3304989003137808e-45,1.5423942881946804e-38,1.6329599006961406e-25,6.3670161030386879e-39,1.1772211073930693e-56,4.5966275400215533e-52,1.5726071248770621e-40,2.3460268269257764e-53,1.0349815263996068e-94,1.3618243638616322e-66,5.5687567426398773e-67,1.981845653867915e-82,4.0460018965255338e-59,6.6408449171348776e-67,2.2198897408063485e-59,7.1265099401526829e-49,1.8062951058729581e-40,3.9311163295627906e-73,7.4194108941847854e-80,2.0058397636717641e-73,3.2209411087666905e-76,1.535237565767459e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997678675,0.108803,0.0001,1.108720825065839e-14,1.0878883192547084e-13,1.0878883961463875e-13,4.6099436247676391e-20,6.5184100437652908e-20,3.4666558429482175e-15,4.7050658607242114e-20
