Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471)
0.0,0.0021757325365166953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.458938167225569e-19,0.0021757325365166953,6.2741021737189398e-37,3.080518872656445e-32,2.673597578610641e-24,6.2710242861542489e-37,5.8018535694095905e-23,7.4803299530152833e-38,1.993059980853435e-62,5.5434213312994533e-50,1.1392790272823355e-53,4.1052199804953587e-52,3.3004336566937542e-41,4.8500841263503939e-28,1.0671108280758753e-43,1.0700751092524659e-63,5.0430746010526672e-59,2.4559023804878921e-45,6.6716825028954458e-60,3.6539811302527259e-89,1.0717172003520963e-58,5.2385818789898539e-76,3.2290481431590871e-47,4.8717642207429067e-68,8.1111301787139428e-38,9.4022860785187795e-56,9.9139133605238055e-54,2.2460082782382064e-47,2.3019546036501262e-80,5.2143333149086836e-91,2.8412266815137434e-57,2.4729953154461821e-72,1.6044506179756726e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991911,0.108803,0.0001,4.4658413318214756e-17,3.7608495922665573e-16,3.7608491245816744e-16,1.4441020701294983e-24,1.4487750706115818e-24,1.121895460270855e-17,1.0587479525237358e-24,1.504891253616149e-34,2.1820628039586638e-34,3.4235992178791735e-39,4.3414496026697109e-29,5.9965875480727464e-24,1.0586228072981794e-27,1.0615275364839226e-39,3.9207735170126452e-43,2.5679261240979292e-45,3.9926787824391127e-51,5.7201229721277336e-24,8.9771507554902278e-61,8.2134361801992703e-70,6.2858652936132927e-72,2.0048765213038685e-81,1.5022220468012479e-76,5.8090389451189491e-29,8.1111301563866322e-38,2.2834249611928435e-46,2.7221066599677826e-47,1.2868960323889797e-23,3.1999711034071681e-53,1.2155859961780606e-61,2.5829283708695279e-38,9.1473519559158412e-73,9.5957694731062575e-29,6.8677155492487846e-35,8.0852135507519643e-44,2.2761330993831477e-52,1.5573134430673339e-52,1.4297794547060073e-53,5.3176043043286064e-62,2.3497190198077367e-38,9.0517174419553431e-47,1.9000587567886191e-56,1.4168877006714215e-48,9.3952978897197224e-57,7.2425799970606037e-46,2.1365608359034649e-50,2.8278469897994752e-38,5.4446187387846523e-47,1.9310265291545599e-61,4.0263062770718911e-71,5.4458676815732506e-47,9.9011267522686856e-48,1.8220755468182282e-48,7.0187005869261503e-57,1.098027942104893e-58,5.1294497733601728e-57,3.7050864056241238e-59,3.0812945302408286e-75,1.1208201708791938e-82,2.0066835794369425e-81,1.8613598463173449e-52,7.1702291285115993e-61,5.2400630732708609e-61,1.1219944915318767e-62,3.1524554121103738e-76,2.1189797438749564e-38,7.3741739249280071e-83,2.8285807787086334e-67,4.5596755629609911e-76,4.5071985402292599e-84,8.7825166605277529e-85,5.3401150753234263e-94,1.0861241892358085e-95,1.3292151524182112e-106,3.6783731339187798e-116,6.2070504544427962e-46
2.3685026868231595e-18,0.0021757325365166953,3.7885601281930973e-36,1.8606333809637028e-31,7.4860731378940139e-24,3.7876986341571706e-36,1.6245218123327919e-22,4.518125968005447e-37,1.2038082252790839e-61,3.3244413524988171e-49,6.8812819073135708e-53,4.8581158714975714e-51,9.2412142208048885e-41,1.3580235555170976e-27,6.4453494021294841e-43,1.2703993545694293e-62,5.9871381645653149e-58,1.4833650379395003e-44,7.9206216035454479e-59,1.5078242427807182e-87,2.3973863421963343e-57,1.6356716593009964e-74,3.8335223294446519e-46,1.5213876098436397e-66,9.6295337033129104e-37,2.1032537769615551e-54,5.9880036614508622e-53,2.6654839511986239e-46,2.7328804947915393e-79,2.9827245251655485e-89,6.3557046943837325e-56,1.0204875440139663e-70,1.8249467926912544e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977374,0.108803,0.0001,1.2504355729092911e-16,1.053037877752161e-15,1.0530377501883094e-15,8.6952802661577502e-24,8.7506013695496423e-24,3.1413034019782902e-17,6.3948354168229448e-24,1.7808323165544517e-33,2.5642820792686779e-33,4.064497111579335e-38,2.6222355438035475e-28,3.6219351395296623e-23,6.3940817151285224e-27,1.2601154359056043e-38,4.6547422858296759e-42,3.0486376959961304e-44,8.931450977059119e-50,3.4549507080637702e-23,3.7044416362324258e-59,6.1828619072632947e-68,4.7318364979492447e-70,2.7366431268377369e-79,1.1308341662562728e-74,3.508659505004497e-28,9.6295336499780209e-37,5.1079163791945823e-45,6.0892408641800074e-46,3.6032777775739584e-23,7.1582074235918788e-52,2.7109018671331315e-60,3.0664496621445758e-37,6.8858895059694152e-71,5.7958027289501796e-28,4.4150804477149215e-34,1.0164523669405313e-42,5.3783002852977443e-51,3.6797939503408314e-51,3.3784457148786084e-52,2.3095551126924456e-60,1.4192302755694249e-37,1.0746198897681253e-45,4.2324114183233298e-55,1.6821277067722566e-47,2.0938882602794191e-55,8.5981077925903606e-45,4.7781401204559191e-49,3.3572188680016102e-37,1.2175282884649456e-45,7.9663835802348073e-60,3.0300725324865677e-69,1.2180434262156328e-45,2.2148417702199931e-46,2.2906667680303074e-47,1.6583790535881653e-55,2.5931734808275615e-57,1.2120392750222946e-55,8.7547959540685798e-58,2.318937194141756e-73,1.529821944788507e-80,1.510197390880439e-79,2.2097917594689615e-51,1.6039028543306698e-59,1.1721723623442491e-59,2.5090625982835312e-61,1.2969880129349484e-74,1.2798637654094413e-37,7.9620584809343359e-81,1.1672212437620798e-65,3.4324083701235132e-74,6.1523009742408486e-82,1.1988086050147002e-82,1.3173978794339364e-91,2.6794575165346083e-93,5.9157810327074829e-104,2.9504405949219772e-113,7.8033450906921421e-45
5.413720427024364e-18,0.0021757325365166958,1.8238105870158142e-35,8.958148618427639e-31,1.7111023927597082e-23,1.8236138105599175e-35,3.7132059747086885e-22,2.1752899606744015e-36,5.7958183769195703e-61,1.5766170452513533e-48,3.313084555511485e-52,4.7349123570998642e-50,2.1122775278145059e-40,3.1040538418371666e-27,3.103158288871964e-42,1.2473008406446365e-61,5.878207749393234e-57,7.1417641243308951e-44,7.7765135322343164e-58,5.9647913528659475e-86,4.7368220505948582e-56,3.5961324515120022e-73,3.7637672747357345e-45,3.346673000449257e-65,9.4543331972543084e-36,4.155674992959944e-53,2.882965992999123e-52,2.6164815980953928e-45,2.683158252939203e-78,1.3184427373622087e-87,1.2557776614219261e-54,4.036939392554747e-69,1.6521173795395139e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999948283,0.108803,0.0001,2.8581384523606904e-16,2.4069436826875629e-15,2.4069434068703582e-15,4.1590540881033216e-23,4.213037819931134e-23,7.1801037383325871e-17,3.0788357215681384e-23,1.7363208347530427e-32,2.4636967526850268e-32,3.9905475036187134e-37,1.2624935202191359e-27,1.7438020497316547e-22,3.0784750624115544e-26,1.2369134119964942e-37,4.5700535076177618e-41,2.9931616748398828e-43,1.7646991234612263e-48,1.6634064096536579e-22,1.4654361106522565e-57,4.8885892001956487e-66,3.7413102807575618e-68,4.3232132625045944e-77,8.9411458902437329e-73,1.6892684984695315e-27,9.4543330880635443e-36,1.00923218072236e-43,1.2031301499337214e-44,8.2359168188287354e-23,1.4143411849580662e-50,5.3184434234125463e-59,3.010652319873024e-36,5.4444504230091431e-69,2.790386714474283e-27,2.3975962879316336e-33,1.1177950651568443e-41,1.1866245046446087e-49,8.1188017063732226e-50,7.4539470925548363e-51,1.0136550816122507e-58,6.8329827241665064e-37,1.0550681697883872e-44,8.2859627168547643e-54,1.6515200524734758e-46,4.1038238313690344e-54,8.4410734378209838e-44,9.4389011574958695e-48,3.2961351088849594e-36,2.4038547569388647e-44,3.1507847516585771e-58,2.3951944973880273e-67,2.4058904771923004e-44,4.3761511661565456e-45,2.5190516384273043e-46,3.6585390154526545e-54,5.7147762446738992e-56,2.6741251123871265e-54,1.9315902916844943e-56,1.8331432217477468e-71,2.4164187821033708e-78,1.1938248557260882e-77,2.1695556222542922e-50,3.168831099307336e-58,2.3159770648238575e-58,4.9540539864792948e-60,5.0950547016053188e-73,6.161993096822892e-37,7.373684596497544e-79,4.6174064898991142e-64,2.7138993014759204e-72,9.7191177253783772e-80,1.8938216959983541e-80,4.1586067387335893e-89,8.4582420816430057e-91,3.7323924602890936e-101,3.7213007285118306e-110,8.5813570604495604e-44
1.1504155907426774e-17,0.0021757325365166953,7.9646179772295136e-35,3.9122587002329013e-30,3.6360924191544132e-23,7.964200311029846e-35,7.8906193058278907e-22,9.5001224607133293e-36,2.5311861267087702e-60,6.6797297228033155e-48,1.446960505235422e-51,4.1257545570861796e-49,4.4885897116243827e-40,6.5961144167011195e-27,1.3552307525123313e-41,1.1032582551344863e-60,5.1992081789543058e-56,3.1189960251540868e-43,6.8782386353859288e-57,2.1287834972256409e-84,8.4288882619551643e-55,6.5403522549864029e-72,3.328995867811047e-44,6.0937537733860842e-64,8.3622504770319638e-35,7.3948014639247435e-52,1.2590669849377946e-51,2.3140301155550079e-44,2.3732230487251399e-77,4.8191026391439619e-86,2.2345803741041474e-53,1.4407493739555949e-67,1.2521579261119051e-85,0.88129999999999997,0.0,0.0,0.0,0.00988999999998901,0.108803,0.0001,6.0735442112519372e-16,5.1147551657712318e-15,5.1147546451215142e-15,1.7927752024560385e-22,1.839944251440922e-22,1.5257642223277671e-16,1.344606465045777e-22,1.5146411535556884e-31,2.0889308823374948e-31,3.5295942785783108e-36,5.5136407465064807e-27,7.615608224062081e-22,1.344450902457631e-25,1.0935463176522415e-36,4.0421604481293365e-40,2.6474017847236928e-42,3.1401696347994234e-47,7.2645008848713397e-22,5.2300075851784148e-56,3.4941393818761646e-64,2.6741170255737837e-66,6.1841807770317256e-75,6.3907287754773604e-71,7.3774791836666298e-27,8.3622502793665966e-35,1.7958532204009037e-42,2.1409014130284141e-43,1.7500697131640622e-22,2.5167446559234731e-49,9.3278426827583241e-58,2.6628769559604124e-35,3.8914435060076264e-67,1.2185975750374686e-26,1.2860013609952843e-32,1.2018462900151742e-40,2.554697717563455e-48,1.7479076227224617e-48,1.6047770531755771e-49,4.3232303662711382e-57,2.9841429645195467e-36,9.3319582967013536e-44,1.4477974948477415e-52,1.4607456163454564e-45,7.1861182405685899e-53,7.464967093749329e-43,1.6792593392123559e-46,2.9153901146132351e-35,4.2711956174960363e-43,1.1242639617621633e-56,1.7114849465279139e-65,4.2784458589821497e-43,7.7871166782804008e-44,2.7084686087490051e-45,7.8748996457277414e-53,1.2275084792219165e-54,5.7570691685431138e-53,4.1585590399095535e-55,1.3099885410674077e-69,3.4556775536269905e-76,8.5312227776910945e-76,1.9188921791244861e-49,5.6380126166428264e-57,4.1210216123145163e-57,8.803233072122031e-59,1.7926655315463115e-71,2.6911042764102021e-36,5.6474349519489509e-77,1.6479162306294527e-62,1.9397777487711575e-70,1.3902852488792143e-77,2.7090442119505843e-78,1.1901246236373679e-86,2.4206354428636293e-88,2.1366676770939258e-98,4.2609792877646806e-107,9.226621778314629e-43
2.3685026868231596e-17,0.0021757325365166953,3.3249824714460847e-34,1.6332908667558537e-29,7.4860719457566849e-23,3.3248966035561645e-34,1.6245625993523954e-21,3.9661640109788651e-35,1.0567203578333281e-59,2.6245282132061791e-47,6.0413758974183469e-51,3.3640034943687754e-48,9.2412139741683756e-40,1.3580235575324371e-26,5.657821618181339e-41,9.2743955960146853e-60,4.3702477387662532e-55,1.3021194438756855e-42,5.7815748284215263e-56,7.1926230962569842e-83,1.4216439027604404e-53,1.065361783249402e-70,2.798198628656712e-43,9.9514780131076537e-63,7.0289751049919405e-34,1.2472413012398395e-50,5.2563567822277935e-51,1.9449915881712166e-43,1.9948369023441267e-76,1.575212132468778e-84,3.7689164517116695e-52,4.8679285181575464e-66,8.706729516418996e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999773735,0.108803,0.0001,1.2504355728988219e-15,1.0530377637595748e-14,1.053037682117209e-14,7.2943272444816769e-22,7.6814046305800466e-22,3.1412470445943918e-16,5.6134507413454348e-22,1.2390090258016212e-30,1.6210916237910451e-30,2.9668369919704241e-35,2.3018363580712647e-26,3.1793385526252783e-21,5.6128175666576162e-25,9.1836901776774502e-36,3.3976792074621812e-39,2.225274104604908e-41,5.2962937547634515e-46,3.0327594394729638e-21,1.7670812147822872e-54,2.3630614146133308e-62,1.8084861791413288e-64,8.3680009173030237e-73,4.3220144851771754e-69,3.0799521997310188e-26,7.0289747687911804e-34,3.0288963140620726e-41,3.6109282854127416e-42,3.6028266892555134e-22,4.2448580045835503e-48,1.5276715175558016e-56,2.2382901508502472e-34,2.6317553623666953e-65,5.0870906758417477e-26,7.3652612549287817e-32,1.3688032665868971e-39,5.8042953416592421e-47,3.9712673597757161e-47,3.6461040713860152e-48,1.9235706346521449e-55,1.2458208544313734e-35,7.8440729422764498e-43,2.3566374634105371e-51,1.2278360157174065e-44,1.1745502464144016e-51,6.2729606658329196e-42,2.8314402779970729e-45,2.4505542270016882e-34,7.1827080978570708e-42,3.7974720575079522e-55,1.1569203059865209e-63,7.2071034612066742e-42,1.3134075030389648e-42,3.0847211152183811e-44,1.7884543231557307e-51,2.7761651182506357e-53,1.3079721712434113e-51,9.4483638368923844e-54,8.8567662578753086e-68,4.6735168505104823e-74,5.7679087265372038e-74,1.6128516458232332e-48,9.5067919359378286e-56,6.950246926664682e-56,1.4806793404798028e-57,5.8842701633990669e-70,1.1234830617226159e-35,3.9463660570955304e-75,5.5679138665150185e-61,1.3118672285020012e-68,1.8812502405406025e-75,3.6657142895725597e-76,3.221387330461933e-84,6.5522320850540708e-86,1.1568323850687522e-95,4.6141812600938931e-104,1.0508357423642038e-41
4.8046768789841237e-17,0.0021757325365166953,1.3583459793211893e-33,6.6725250779945956e-29,1.5186028894184659e-22,1.3583285545088516e-33,3.2956359470653611e-21,1.620348184851816e-34,4.3170472695206797e-59,9.50475134297609e-47,2.4688964723038346e-50,2.5921127667632503e-47,1.8746462123398618e-39,2.7548477928152854e-26,2.311404744617025e-40,7.6059487262473397e-59,3.5829931167297309e-54,5.3195828069725564e-42,4.7400856810670842e-55,2.3647408034170026e-81,2.3350172509828205e-52,1.5757725578052939e-69,2.2940946028497863e-42,1.480764196531345e-61,5.7627779975641026e-33,2.0485974171385715e-49,2.1473932985823827e-50,1.5945848626187462e-42,1.6354877051230565e-75,4.6747471071183704e-83,6.1903581584904244e-51,1.6004434113751946e-64,5.8056754474481864e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999541022,0.108803,0.0001,2.5365978764275947e-15,2.1361620697586232e-14,2.136161997146653e-14,2.8351644427953132e-21,3.1381040823622822e-21,6.3721131933020908e-16,2.2932642645674751e-21,9.6398210621771172e-30,1.1511381606213971e-29,2.43239274526899e-34,9.4037516672277742e-26,1.2988406833142139e-20,2.2930188855057265e-24,7.5158898202720161e-35,2.7856223617342786e-38,1.8243705144498986e-40,8.6989769826770618e-45,1.2389593865177366e-20,5.8096439607391383e-53,1.5544655453386903e-60,1.1896556958107249e-62,1.1011570530372524e-70,2.843114861587892e-67,1.2582608608730577e-25,5.7627774430757399e-33,4.9747327033291256e-40,5.9309117063072235e-41,7.3075444667830281e-22,6.972192962447395e-47,2.3632931807905949e-55,1.8350553549344542e-33,1.7312174206228731e-63,2.0779857082299733e-25,4.6401961842060734e-31,1.7101673549714988e-38,1.4445417520281434e-45,9.8835065277157057e-46,9.0744096110440163e-47,9.1950755597438808e-54,5.08958397434563e-35,6.4310444513586229e-42,3.6176707099025431e-50,1.006639899318445e-43,1.8166431346591404e-50,5.1400122380719826e-41,4.6480006940740046e-44,2.0091012204549614e-33,1.1728291213514317e-40,1.2478250480994385e-53,7.6036638660760565e-62,1.1807836442019599e-40,2.1572641353373336e-41,3.8540156465082856e-43,4.4473909381802436e-50,6.8467559150039518e-52,3.2550174363656513e-50,2.3515025122413058e-52,5.8230313466424162e-66,6.1434712596165988e-72,3.7922004062160805e-72,1.3221609787995381e-47,1.5606593969165993e-54,1.141429587319165e-54,2.4186107676746886e-56,1.8239604295711065e-68,4.5897948972933288e-35,2.6377844626020269e-73,1.8305933802969665e-59,8.6298297301991991e-67,2.4755992128771869e-73,4.8238313096596941e-74,8.4787854465083134e-82,1.7246410869601153e-83,6.0902163925792086e-93,4.8584567067681161e-101,1.3129023915268837e-40
9.677025263306052e-17,0.0021757325365166953,5.4906151866501682e-33,2.6971404783861642e-28,3.0585934371710317e-22,5.4905797361693377e-33,6.6380706831155057e-21,6.550036074366957e-34,1.7450193767464414e-58,3.0382292429486099e-46,9.9910737850834925e-50,1.8523345124499108e-46,3.7756957273836726e-39,5.5484962776142681e-26,9.3430675675961882e-40,6.1658825064898967e-58,2.9016006909158337e-53,2.1502604295569079e-41,3.8386464315046436e-54,7.6697446107758932e-80,3.7850432176950572e-51,2.0493942148996426e-68,1.8577562397717321e-41,1.9570664960199594e-60,4.6668462772802544e-32,3.320864157060774e-48,8.6801095398088964e-50,1.2913211231335789e-41,1.3244601688287489e-74,1.2217383249847309e-81,1.0034518225179315e-49,5.1908377949233885e-63,3.792213245523112e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999075578,0.108803,0.0001,5.1089224834112071e-15,4.3024099914859293e-14,4.3024101464830415e-14,1.0436459189956928e-20,1.2684715638034552e-20,1.2833447531925881e-15,9.2696316110928878e-21,7.0806336125917698e-29,7.3369289610860129e-29,1.9698155669282646e-33,3.8011460737742094e-25,5.2499369459287011e-20,9.2687472079883466e-24,6.0648831439152007e-34,2.2558686980394926e-37,1.4773518616589191e-39,1.4100763594897844e-43,5.007895688320863e-20,1.8842581731838517e-51,1.0085446320798634e-58,7.7185427745871143e-61,1.4290250443681057e-68,1.8446442358187554e-65,5.0860906963584968e-25,4.6668453766485814e-32,8.063482664981292e-39,9.6141050969993449e-40,1.4713796692454085e-21,1.1302228302942645e-45,3.3956314184757298e-54,1.4860265842020176e-32,1.1232221174115377e-61,8.3974748877016518e-25,3.1939885212818254e-30,2.3368992753183367e-37,3.9335242237400856e-44,2.6913206333054482e-44,2.471084119035147e-45,4.6479282562176924e-52,2.0572906663394796e-34,5.2080258451345805e-41,5.1844456403297519e-49,8.1518002140006953e-43,2.6364240105954221e-49,4.1577600541488562e-40,7.5262177474637722e-43,1.6270041567522593e-32,1.8791146602676012e-39,4.0428528966834401e-52,4.9246474080497166e-60,1.9044941493448837e-39,3.4969804642240671e-40,5.2664120023818463e-42,1.2090736710354423e-48,1.8313495914730055e-50,8.8624455026497742e-49,6.4034572718658345e-51,3.7740712001719203e-64,7.9559269492417553e-70,2.4578208378924518e-70,1.0704737326828489e-46,2.5271956493814344e-53,1.8498185868959111e-53,3.8778835852805283e-55,5.2547188667947852e-67,1.8552684873773834e-34,1.7250039287694558e-71,5.9373892233633835e-58,5.5992357422343e-65,3.2127975059647877e-71,6.2602920532506296e-72,2.200657190412403e-79,4.4766690486721416e-81,3.1617722893026976e-90,5.0446609144024219e-98,1.7940472196684625e-39
1.9421722031949908e-16,0.0021757325365166953,2.2077443398710181e-32,1.0845076462513896e-27,6.1385711647650489e-22,2.207737001369934e-32,1.3324092317188741e-20,2.6340057939510668e-33,7.0166449593760247e-58,7.9290154715030707e-46,4.0344956988030013e-49,1.1748893525454142e-45,7.5777945823433718e-39,1.113579330414935e-25,3.7568063998291755e-39,4.9820068587710622e-57,2.3354606206969247e-52,8.6461026649576692e-41,3.0896800669082429e-53,2.4707586655939896e-78,6.0953077502356377e-50,2.1867113116231524e-67,1.4951855782040099e-40,2.2005450778787155e-59,3.7562826746076174e-31,5.3481476214162425e-47,3.4902426600242062e-49,1.0393612454353311e-40,1.0660404869523667e-73,2.6296213069916695e-80,1.6159254513255848e-48,1.6721931389234016e-61,2.4518297594506888e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998144708,0.108803,0.0001,1.0253571697082694e-14,8.6349034421301961e-14,8.6349045222672873e-14,3.5516223420406803e-20,5.1004661209258302e-20,2.5754524570067695e-15,3.7271904447761995e-20,4.7994504241557346e-28,4.1244226785826597e-28,1.5854803200145667e-32,1.5284236081384273e-24,2.110827984576344e-19,3.7269212352787922e-23,4.8470042451333554e-33,1.8157186191569963e-36,1.1889875410782028e-38,2.2706742232994683e-42,2.0135111091087757e-19,6.0698351758048286e-50,6.4984341276027469e-57,4.9733488615311957e-59,1.8416496057118526e-66,1.1885969219336061e-63,2.045093990349395e-24,3.7562812229255438e-31,1.2983499797829351e-37,1.5482709830627048e-38,2.9513578770746601e-21,1.8201900106020367e-44,4.3472954108107082e-53,1.1960048954680104e-31,7.2373448656765019e-60,3.3749196832479086e-24,2.3437678783646074e-29,3.4123640890322722e-36,1.1458101479334139e-42,7.839738682031983e-43,7.1986853871886725e-44,2.3714643177176631e-50,8.2722711959778129e-34,4.1918713378674468e-40,6.7718834488611569e-48,6.5609069384953429e-42,3.5079635388795529e-48,3.3388935736740501e-39,1.2093933290811191e-41,1.309525414053102e-31,2.9574850036867502e-38,1.2996235975292424e-50,3.1620762644114603e-58,3.0366387086236863e-38,5.6316581769817157e-39,7.6900675471938139e-41,3.5105855158334716e-47,5.1520725744087696e-49,2.5809617683541748e-47,1.8654377857107767e-49,2.426744582478449e-62,1.0210251378900224e-67,1.5803751648192286e-68,8.61213830682776e-46,4.0612954067544472e-52,2.9775051697500251e-52,6.1116566162807412e-54,1.3513285105034026e-65,7.4599530333783111e-34,1.1159183028788822e-69,1.9127468363866254e-56,3.6080068777936859e-63,4.1407155873446102e-69,8.0683656136782548e-70,5.6716726256220699e-77,1.1539547036622418e-78,1.6300472534732073e-87,5.2015700955015357e-95,2.6196865778397273e-38
3.8911115569237623e-16,0.0021757325365166953,8.8540217608679668e-32,4.3493552835580814e-27,1.2298513146879546e-21,8.854008484026559e-32,2.670074422942628e-20,1.0565667650801766e-32,2.8139875312584051e-57,1.5665706683501361e-45,1.6445038131302835e-48,6.3462815242034675e-45,1.5181993860472221e-38,2.2310387585000083e-25,1.5066474132740333e-38,4.0569837817049511e-56,1.8740599874494437e-51,3.467473914828555e-40,2.4792792319409977e-52,7.932113771802305e-77,9.7830745009493537e-49,1.7875895208122618e-66,1.1996345904034143e-39,2.2008808883977154e-58,3.0141783327512748e-30,8.5849558240025883e-46,1.3997720633315452e-48,8.3401917603354483e-40,8.5542991244463389e-73,4.3625577687226777e-79,2.5935883340465409e-47,5.3683911799777703e-60,1.5771600942739349e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996282968,0.108803,0.0001,2.0542870123242724e-14,1.7299882460163052e-13,1.729988558229342e-13,1.0830920381853707e-19,2.0455132412574744e-19,5.1590313658027223e-15,1.4946999254065624e-19,2.9188644468632964e-27,2.0537595658974633e-27,1.2722503270876934e-31,6.1296587281850781e-24,8.4641728663459686e-19,1.4946612551400041e-22,3.8351020441015101e-32,1.4569987336048654e-35,9.5390509802377404e-38,3.6442600967269883e-41,8.0739435995439231e-19,1.9485414307152835e-48,4.1724921802029355e-55,3.1932708428970472e-57,2.3650257829982117e-64,7.631996769751498e-62,8.2017359033882333e-24,3.0141760020950443e-30,2.0833401648860837e-36,2.4851540881745742e-37,5.9062340840647041e-21,2.9218112419060147e-43,4.7643623183911641e-52,9.5959251831109315e-31,4.6469299157479088e-58,1.3521576616129277e-23,1.7885796390595065e-28,5.1926626165639902e-35,3.4815063798108555e-41,2.3821369968452204e-41,2.1876477456557366e-42,1.1553179365173808e-48,3.317547795520025e-33,3.363711516098645e-39,7.8758298415790905e-47,5.2641197089684982e-41,4.1722000498606834e-47,2.6670689695320929e-38,1.9327961043243083e-40,1.0507651359158989e-30,4.5408108006505052e-37,4.1547361115184896e-49,2.0162098462647585e-56,4.7794033924077819e-37,9.0396710173062982e-38,1.1702127008104078e-39,1.0598408637713985e-45,1.4651473273598502e-47,7.8384571986592974e-46,5.6690024717136266e-48,1.5517381448503145e-60,1.3003041457700941e-65,1.0105238540760957e-66,6.9043428279179968e-45,6.4915729192766756e-51,4.7745195739592186e-51,9.4072897222995715e-53,2.9819052369766064e-64,2.9917748556785325e-33,7.1799578938789013e-68,6.1410296251653703e-55,2.3168833433814027e-61,5.3180697882861106e-67,1.0362440681133725e-67,1.4563834032961452e-74,2.9641714149234917e-76,8.3742833464062846e-85,5.3445762071619372e-92,3.9864311777451059e-37
