Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683)
0.0,0.003204215493641445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6196610467645257e-19,0.003204215493641445,3.2015914336837307e-36,8.9561230414467347e-32,4.2385474999458232e-23,3.1723242724770122e-36,1.5163519000931489e-22,5.900240176212171e-38,6.3685820345391143e-60,1.2209167624073728e-48,1.8123982213596521e-52,8.979626985699428e-52,5.553951323046205e-39,1.3647104561577523e-27,1.2254871874915484e-43,2.4083150328712309e-63,1.0530278376581206e-58,4.9992139933762345e-45,3.3131000897783415e-60,2.1311978111468593e-87,3.3943178450561489e-58,3.4135986464137645e-75,6.9284437993816171e-46,1.0296121131593872e-68,3.7588301049980471e-38,5.5637793475789457e-56,2.1635521557523663e-52,1.7745227215485263e-47,4.801560870301445e-78,1.0147766089896032e-90,8.1456478409979288e-57,2.1626972005607108e-72,3.3869232967393664e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992744,0.108803,0.0001,4.4643224513938159e-17,3.0714312046789951e-16,3.0714295980770313e-16,1.6768662427254601e-25,1.6787784322530738e-25,6.5827697729366581e-17,1.1098677339049059e-25,6.7358149524837085e-36,8.8653343961958879e-36,1.2102776971921785e-40,1.0653973089562417e-29,7.4557074308093451e-24,2.5202941337039859e-28,6.2360754804538759e-41,9.6183561643664366e-44,2.0606835070495789e-45,1.3467086484072815e-51,9.1419106490650719e-24,8.3922494856884988e-62,1.0398548296010707e-71,4.3712001379101797e-73,1.8126557324185586e-83,5.1096214709030151e-78,6.2333830534319236e-29,3.7588301727513123e-38,1.3582596447149233e-47,1.7291258072154888e-48,3.324830066267808e-23,5.4024537141985507e-54,3.4570019778898781e-62,4.1266366992623966e-38,1.112026513526377e-74,4.8904583592368273e-29,2.4394623131814082e-34,1.1181731453715329e-43,4.0405393655937948e-53,3.0558474569874867e-53,2.5718937342073391e-54,4.1372182766897981e-63,9.8590200465539278e-38
4.535050930940673e-19,0.003204215493641445,1.9242786263501169e-35,5.4094981281849387e-31,1.1867932976447658e-22,1.9160838574134901e-35,4.2457860094958795e-22,3.5637455903444786e-37,3.8466235481465465e-59,7.3691056518779989e-48,1.0946885258164593e-51,1.0655417153334337e-50,1.5551063700567966e-38,3.8211892776642308e-27,7.401942613133335e-43,2.8591516072904974e-62,1.2501546489083167e-57,3.0195252522769802e-44,3.9333124562168578e-59,8.7944456777586517e-86,7.5929515947915351e-57,1.0725525363001133e-73,8.2254466053931158e-45,3.2370303075729208e-67,4.4624830960822906e-37,1.2445951836677597e-54,1.3067855018092036e-51,2.0853365298547724e-46,5.7004130631090796e-77,5.8406477382650158e-89,1.8221484430207764e-55,8.9244286666496756e-71,3.8523807022920629e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979699,0.108803,0.0001,1.2500102863899063e-16,8.6000073640815067e-16,8.6000028691726216e-16,1.0117137935226586e-24,1.0139821709529287e-24,1.843174987263579e-16,6.7036003677942029e-25,7.980732860179464e-35,1.0461417496654781e-34,1.4368418759035975e-39,6.4349997361405512e-29,4.5032461686405983e-23,1.5222576554248283e-27,7.4032717529220897e-40,1.1418912416320739e-42,2.4464420420291893e-44,3.0125317104609188e-50,5.5217126592624715e-23,3.4630833775596484e-60,7.8277634332643798e-70,3.290528604247131e-71,2.4742648323452827e-81,3.8463937925090049e-76,3.7649633600612831e-28,4.4624831749115876e-37,3.0383701865569567e-46,3.8679846908843189e-47,9.3095083145479767e-23,1.2085072900711152e-52,7.7295744744562692e-61,4.8991419735866791e-37,8.3710535696362621e-73,2.9538325880977095e-28,1.4792162214113155e-33,1.3322648373324688e-42,9.0695450192956691e-52,6.8592687971807938e-52,5.7729705473922956e-53,1.7077166891495364e-61,5.9548481035888699e-37
1.0365830699292965e-18,0.0032042154936414457,9.2438496763818789e-35,2.6044404411378067e-30,2.7126703835848695e-22,9.2251189369237472e-35,9.7046569852415862e-22,1.7157906279345389e-36,1.8519836545561931e-58,3.5425871712072073e-47,5.2704540294291013e-51,1.0450378189568784e-49,3.5545288439765849e-38,8.7341469223672827e-27,3.5637167422533398e-42,2.8071320031323127e-61,1.2274092477001445e-56,1.4537714296904011e-43,3.8617495532448994e-58,3.47899370284655e-84,1.5002385686504962e-55,2.3893270394218343e-72,8.075788285540504e-44,7.2255488948366167e-66,4.3812923562143637e-36,2.4591103452634868e-53,6.2916096649476806e-51,2.0363184092386392e-45,5.5966993438318217e-76,2.6154382837804019e-87,3.6002565509530459e-54,3.5304135798329503e-69,3.4875455640824291e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999953608,0.108803,0.0001,2.8571663688895066e-16,1.9657159646896509e-15,1.9657149389591537e-15,4.8596622112751316e-24,4.8818876490755618e-24,4.2129688105707009e-16,3.2274942527300207e-24,7.8017916708020984e-34,1.0139026441980993e-33,1.410699969827401e-38,3.0981753595167819e-28,2.1681180415278201e-22,7.329015320851749e-27,7.2681587359292402e-39,1.1211155876954174e-41,2.4019283014492285e-43,5.9522477935445393e-49,2.6584655575898941e-22,1.369959709050006e-58,6.1891698249449663e-68,2.6017189372912882e-69,3.9087274001515895e-79,3.0412248413212727e-74,1.8126677856205826e-27,4.3812924302046989e-36,6.0032974980823494e-45,7.6424834523833257e-46,2.1278801327437943e-22,2.3878067699297511e-51,1.5256534689891767e-59,4.8100042777512284e-36,6.6187324960246463e-71,1.4221388995621751e-27,7.1806709215679729e-33,1.3181285825106118e-41,1.8054027964518257e-50,1.3654204884059636e-50,1.1491806589775471e-51,6.7597307943991307e-60,2.8670030227535755e-36
2.202739023599755e-18,0.003204215493641445,4.0328319987867035e-34,1.1374275494855976e-29,5.7644245180239888e-22,4.0288517770250648e-34,2.0622409964493953e-21,7.4933131267840449e-36,8.0880991725534955e-58,1.542481942596361e-46,2.3017457428930042e-50,9.2233764192924555e-49,7.5533737854779032e-38,1.8560062218533765e-26,1.5563687291792322e-41,2.4828764679997181e-60,1.0856295797762705e-55,6.3490017758925566e-43,3.4156738519773118e-57,1.2416270307846277e-82,2.6695918217494372e-54,4.4619005451099581e-71,7.1429362246828542e-43,1.3549333788359799e-64,3.8752034552888809e-35,4.3758554502834478e-52,2.7477112336977339e-50,1.7963278161478304e-44,4.9502171809619671e-75,9.8116993740395505e-86,6.4064580430286291e-53,1.2599783477665009e-67,2.643249161070647e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999901428,0.108803,0.0001,6.0714785338829121e-16,4.1771464069270431e-15,4.1771442343340348e-15,2.1124746329454632e-23,2.1320485759863391e-23,8.9525476706704201e-16,1.4095308673888832e-23,6.8413243362342014e-33,8.7415326801684255e-33,1.2477482045762454e-37,1.3530545669604585e-27,9.4687310838458098e-22,3.2007735292331468e-26,6.4278617478468546e-38,9.9161403280058238e-41,2.1244730402826111e-42,1.0591681139918606e-47,1.161020524636532e-21,4.8892771754539516e-57,4.4237492705349663e-66,1.8595954859856914e-67,5.5912938612379828e-77,2.1737359459126997e-72,7.9163964125784271e-27,3.8752035146757894e-35,1.0682511458249538e-43,1.3599382080713624e-44,4.5217133421233901e-22,4.2489746224332484e-50,2.7091710961209151e-58,4.2543901077695681e-35,4.7307819847890172e-69,6.2108160731314287e-27,3.1877216219951579e-32,1.1838421383275534e-40,3.2605725029571846e-49,2.4659605950286494e-49,2.0754332718407158e-50,2.4154295253313638e-58,1.2520955389229523e-35
4.535050930940672e-18,0.003204215493641445,1.6827857245770863e-33,4.7485360334885575e-29,1.1867932637137573e-21,1.6819662851485985e-33,4.2457960034042191e-21,3.1283146317705523e-35,3.3766221845022457e-57,6.4008765978700912e-46,9.6093353855186796e-50,7.7195648697519402e-48,1.5551063643127512e-37,3.8211892837908239e-26,6.4975330777149882e-41,2.087007277544446e-59,9.1253707614855181e-55,2.6505832631623235e-42,2.8710798588866847e-56,4.1951696106463469e-81,4.5026481849247299e-53,7.6620194702364336e-70,6.004056416765556e-42,2.3462665209593633e-63,3.2573419737166152e-34,7.3805197401657821e-51,1.1471153493057207e-49,1.5079522631518107e-43,4.1609558000026748e-74,3.3780416628184461e-84,1.0805407195227217e-51,4.2571740774835547e-66,1.8379515647198277e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999797067,0.108803,0.0001,1.2500102863846539e-15,8.6000072346534349e-15,8.6000027902481855e-15,8.7377652931449273e-23,8.9008829511213665e-23,1.8431670244942065e-15,5.8845083338914681e-23,5.6532818754211006e-32,6.9937035981748308e-32,1.0488076023446356e-36,5.6487363935737176e-27,3.9530004618921491e-21,1.3362599312717018e-25,5.4017566968723625e-37,8.3351132988025911e-40,1.7857386138788369e-41,1.7864331349984439e-46,4.8470218760195835e-21,1.6519683346095901e-55,2.9917695322690047e-64,1.2576393448159201e-65,7.5657972170518741e-75,1.4700927128831013e-70,3.3049396361774603e-26,3.2573420134459447e-34,1.8017496536942943e-42,2.293731561687038e-43,9.3092781902468976e-22,7.1665169305519942e-49,4.5504527222362467e-57,3.5760641589880691e-34,3.1994149297207203e-67,2.5928615839515626e-26,1.37404602835495e-31,1.0253245415287213e-39,5.661264479176248e-48,4.2815956235229457e-48,3.6035436644180553e-49,8.1802251586381168e-57,5.2272523661525398e-35
9.199674745622506e-18,0.003204215493641445,6.8730431679430421e-33,1.9399318529950394e-28,2.4074948276303728e-21,6.8713808936168766e-33,8.6129236617310347e-21,1.2780217946471334e-34,1.3794603343519738e-56,2.5837662655679625e-45,3.9257270568193838e-49,6.275073933617372e-47,3.1546443257014618e-37,7.7515554184823221e-26,2.6544542758365059e-40,1.7110546605239254e-58,7.4815302861646253e-54,1.08284975110145e-41,2.3538850210486327e-55,1.3792750482031755e-79,7.3955848517677385e-52,1.2583558112041179e-68,4.9224687276133026e-41,3.9187949244047769e-62,2.6705657028442422e-33,1.2122525621365984e-49,4.6863404811172815e-49,1.2355109583136415e-42,3.4114029369683627e-73,1.1111239239251128e-82,1.7747845820314237e-50,1.3996604409946201e-64,1.2255521340854145e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999588345,0.108803,0.0001,2.5357351523681069e-15,1.7445728667404043e-14,1.7445719762734045e-14,3.5048332509823193e-22,3.6363009843516214e-22,3.7389774810816651e-15,2.4040091096023068e-22,4.4829922389540234e-31,5.2277494591234474e-31,8.5987591112729577e-36,2.3076930701732762e-26,1.6149228292205467e-20,5.4590577510078497e-25,4.4266405864517201e-36,6.8336292412130312e-39,1.4640416701267144e-40,2.9341932058834899e-45,1.9801582005304208e-20,5.4312583768281078e-54,1.9680671895253132e-62,8.2730929609948984e-64,9.956069391359578e-73,9.670682478683966e-69,1.3501756531620694e-25,2.6705657187080701e-33,2.9593396545880915e-41,3.7674511254495459e-42,1.888400162121375e-21,1.1771026191141082e-47,7.412536484193459e-56,2.9318618554839473e-33,2.1046619836222375e-65,1.0592425193133498e-25,5.9667356008948719e-31,8.9020229513017372e-39,9.8302771425358878e-47,7.4346038252569159e-47,6.2572710292904954e-48,2.701072637417886e-55,2.1355031258394646e-34
1.8528922374986173e-17,0.003204215493641445,2.7778566991297272e-32,7.8415142720023266e-28,4.8488977158372783e-21,2.777521864851255e-32,1.7347249556051489e-20,5.1659942475876713e-34,5.5759991919121158e-56,1.0198218248374851e-44,1.5868416489541459e-48,4.9963917135657312e-46,6.3537202079140394e-37,1.5612287731131733e-25,1.072972862953408e-39,1.3856564305964536e-57,6.0587372043421711e-53,4.3770518404547018e-41,1.9062375873417695e-54,4.4736135449726661e-78,1.198846995010561e-50,2.0047157548917391e-67,3.9863112599140517e-40,6.4589564421581698e-61,2.1626932682848153e-32,1.965113573302633e-48,1.894293740466942e-48,1.0002267206974901e-41,2.7626425089354261e-72,3.5437961149063629e-81,2.8769802599118951e-49,4.5397310064202416e-63,8.0051936424454161e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999170884,0.108803,0.0001,5.1071848842979219e-15,3.5137170674311013e-14,3.513715315033606e-14,1.3668821149383951e-21,1.4698508925170092e-21,7.5305421620230755e-15,9.7173524039378857e-22,3.4064629951541935e-30,3.5942462182266485e-30,6.9634991775098515e-35,9.3280638744536262e-26,6.5277209596443928e-20,2.2066383636777191e-24,3.5814989951403289e-35,5.5340497671416377e-38,1.1855950364743538e-39,4.7563609640961197e-44,8.0040482152671973e-20,1.761581853759588e-52,1.276924828139272e-60,5.3677628447103018e-62,1.2920812789778893e-70,6.2745669991327499e-67,5.457625656485781e-25,2.1626932540698526e-32,4.7970888468887864e-40,6.1071686827714165e-41,3.8031823560115681e-21,1.9081342691167983e-46,1.1820757031625896e-54,2.3742789580486852e-32,1.3655505250311481e-63,4.2814171059426355e-25,2.6974679001349507e-30,8.012066607526141e-38,1.7658778768868013e-45,1.3355263651179698e-45,1.1240498755821038e-46,8.8259555657455371e-54,8.6320448629934967e-34
3.718741763371351e-17,0.003204215493641445,1.1168964527032856e-31,3.1530380455499653e-27,9.7317025337304442e-21,1.1168292001924619e-31,3.4816183655345382e-20,2.0772443268809492e-33,2.2420847217636233e-55,3.9128832443074414e-44,6.3806205237474879e-48,3.8902037942647327e-45,1.2751871810079824e-36,3.1333752529496213e-25,4.3143767214412273e-39,1.1152968518505905e-56,4.8765988112809982e-52,1.7599933051095651e-40,1.5343066037211079e-53,1.4412135685633022e-76,1.9306765620155276e-49,3.0941316894419978e-66,3.2084793329206071e-39,1.0680776083254558e-59,1.7407235684727321e-31,3.1647546051028467e-47,7.6168718071285674e-48,8.0494013148421711e-41,2.2236149776760644e-71,1.0950582868567333e-79,4.6332170660814072e-48,1.4625128548440443e-61,5.1757049646724991e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998335961,0.108803,0.0001,1.0250084348009186e-14,7.052005148152925e-14,7.0520017696061835e-14,5.132667650238482e-21,5.9102049516785142e-21,1.5113446601643455e-14,3.90727509696234e-21,2.4391889157260903e-29,2.2160002599302277e-29,5.604831714825598e-34,3.7507730747634357e-25,2.6247234006976957e-19,8.8727953361938773e-24,2.8773888980101711e-34,4.4542841210543161e-37,9.5423161352859616e-39,7.6596742506549755e-43,3.2183380357113278e-19,5.6749529423158278e-51,8.2281406050101812e-59,3.4588338734757231e-60,1.665250925327486e-68,4.0431754476677117e-65,2.1944871056021616e-24,1.7407235134706847e-31,7.7251506163348666e-39,9.835304007924067e-40,7.632096885031572e-21,3.0729920560332891e-45,1.8435136940492651e-53,1.9109960220738075e-31,8.799219678924838e-62,1.7213697147633806e-24,1.3143018877389204e-29,7.741255376384138e-37,3.3989193338964997e-44,2.5705859079314294e-44,2.1636009909946138e-45,2.8757466407399469e-52,3.4709071165092829e-33
7.450440815116819e-17,0.003204215493641445,4.4791188344222187e-31,1.2645089953681247e-26,1.9497308335311458e-20,4.4789835987521506e-31,6.9755181096436768e-20,8.330845341835899e-33,8.9917622972117162e-55,1.4329522783855191e-43,2.5589142464524073e-47,2.9285271100674659e-44,2.5548174365373936e-36,6.2776682818487832e-25,1.7302580577776966e-38,8.9495549613275524e-56,3.9131634462454893e-51,7.0583604182540896e-40,1.2311856331172877e-52,4.6273020733570647e-75,3.0990685496957347e-48,4.5555920264680944e-65,2.5745211253979723e-38,1.8101215488458657e-58,1.396820837906272e-30,5.0801313106790533e-46,3.0547064922749733e-47,6.4586182957313521e-40,1.7843108881404749e-70,3.2297408994865582e-78,7.4371117225963258e-47,4.6956810445863414e-60,3.3293173763229227e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996666117,0.108803,0.0001,2.0535883274838256e-14,1.4128580171257704e-13,1.4128573786960472e-13,1.8153352282440772e-20,2.3702558540021945e-20,3.0278355845204006e-14,1.5669683751115116e-20,1.6007279862091255e-28,1.2058645229752766e-28,4.4975272996647127e-33,1.5042274612171778e-24,1.0525957961917228e-18,3.5583874310231378e-23,2.3004418718990973e-33,3.574281567544456e-36,7.6564912898774139e-38,1.2294515492443201e-41,1.290653745158877e-18,1.8219686256166599e-49,5.283650156335619e-57,2.221069121485065e-58,2.1387199489267103e-66,2.5963297121602542e-63,8.8008734594238601e-24,1.3968207238714075e-30,1.2399251622485382e-37,1.5787510836677229e-38,1.5287327391348499e-20,4.9328348701222707e-44,2.7819560316421544e-52,1.5334054266149171e-30,5.6503654453508045e-60,6.9021051014829106e-24,7.1125289401690615e-29,8.2855342510121431e-36,7.2372927037683782e-43,5.4735152777968098e-43,4.607180100767944e-44,9.3679790296181079e-51,1.3919888809139257e-32
