Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400)
0.0,0.0024741677962419007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.148424522281587e-20,0.0024741677962419007,5.9720111350408424e-36,1.382874429625296e-31,8.9196666184975554e-23,5.8108000627325644e-36,2.6321810392391083e-22,8.8442600179388457e-38,5.1605213653198729e-59,3.6017375368584191e-48,7.114536896900283e-52,1.5774742315773588e-51,2.5139513621059699e-38,2.4200071227262317e-27,2.0511803370301247e-43,6.3304479548030581e-63,1.8481277655006273e-58,1.0072671288887455e-44,5.3889578164409726e-60,8.0506690915610405e-87,3.9426365650363576e-58,7.3639231236809664e-75,1.1816913789892127e-45,1.0780587295140586e-68,2.7378420012062059e-38,5.5327383681034134e-56,6.377710226835312e-52,2.3094839199678238e-47,4.3430219923806616e-77,1.8836918979122877e-90,9.1373927757029177e-57,2.1015296750191064e-72,3.875969335594854e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991339,0.108803,0.0001,3.8371866343865941e-17,3.6296195882508785e-16,3.6296166342987929e-16,1.3290418735569503e-25,1.3299671806487288e-25,1.0022496759603258e-16,8.5099333417148949e-26,3.3730213578542112e-36,4.3022776324416038e-36,8.3053893432382332e-41,1.0766272599301863e-29,5.9015881320288619e-24,2.5397735140175354e-28,5.0129660744570985e-41,8.3543371700394885e-44,2.632803038429884e-45,1.1135147854295803e-51,7.856962483537785e-24,3.9424947313410232e-62,3.2252088167247358e-72,1.6093468155257723e-73,4.3481684283684947e-84,2.2052093800788422e-78,6.9192984656141258e-29,2.7378421186498724e-38,6.4190869274137711e-48,8.3561743648414483e-49,5.6932140190734463e-23,3.6098928721164661e-54,3.9568144149078013e-62,3.0483954931105047e-38,3.4042480341976741e-75,4.2549545449991311e-29,4.0588155903631891e-34,1.1802098561762862e-43,2.7670958098985328e-53,2.1622667873616078e-53,1.8010608096999716e-54,1.898723153289931e-63,1.7071407027002659e-37,6.2553193261963718e-47,2.8121996523248245e-57,9.1798405986036864e-48,1.5858629107123876e-57,7.9353083322744503e-46,2.9958026157147413e-51,9.0610766066949645e-40,1.6600044771583132e-49,2.5594489147506966e-63,1.3003995925172284e-73,1.6600466893276692e-49,7.86150709336447e-50,8.5505784897682581e-48,3.1330763546974751e-57,4.597533120148492e-58,2.0047498268943201e-57,1.0159750642309179e-58,9.2090852685147653e-78,5.1111954866457472e-85,2.5810759386149091e-82,5.3160436626489233e-51,1.9478986803813409e-60,1.2463887432126333e-60,2.8584691599887223e-61,2.7485861359925161e-77,1.2016565385247789e-38,9.9448375496778124e-85,8.4085488933379276e-68,2.4106533957119218e-77,2.1347338495956533e-86,4.4165681742732224e-87,7.9183949082067608e-97
2.2815588662388444e-19,0.0024741677962419007,3.5548622731367415e-35,8.3525607304202316e-31,2.4975066495976424e-22,3.5097232336778682e-35,7.3701076056977987e-22,5.3419335267116168e-37,3.1169549043831029e-58,2.1745300841266793e-47,4.2972667343458396e-51,1.8721964563630377e-50,7.0390638127332663e-38,6.7760199443174359e-27,1.2389129236707093e-42,7.5156462700137176e-62,2.1940972832966001e-57,6.0838934590011648e-44,6.39777076563828e-59,3.3221307882360333e-85,8.819519246679131e-57,2.3143876960357761e-73,1.4029038313226498e-44,3.3900737090206007e-67,3.250366021624214e-37,1.2376514411181343e-54,3.8521369765022229e-51,2.6787757756754991e-46,5.1560357082679478e-76,1.0844738507121436e-88,2.0439979724322245e-55,8.6720200515121679e-71,4.4086341727075789e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999975795,0.108803,0.0001,1.074412257627994e-16,1.0162934840042145e-15,1.0162926571722884e-15,8.0220169693118849e-25,8.0330017592896797e-25,2.8062986378555299e-16,5.1399993982295555e-25,3.9985637008494811e-35,5.0853503124412483e-35,9.8601608064456906e-40,6.5028286420720419e-29,3.5645587496668398e-23,1.5340232015771289e-27,5.9513055742973522e-40,9.9182690741778676e-43,3.1256625947615522e-44,2.490887141753379e-50,4.745604698251071e-23,1.6268809208599175e-60,2.4278558574035653e-70,1.2114756952729481e-71,5.9352264431384225e-82,1.6600261278862887e-76,4.1792562701310906e-28,3.2503661602917487e-37,1.4359234505114791e-46,1.8692426157517856e-47,1.5940985437134678e-22,8.0751859835952529e-53,8.8486125892817134e-61,3.6190546810027279e-37,2.5626320657756191e-73,2.5699906532023869e-28,2.4548012474486021e-33,1.4028601241951368e-42,6.1971188631593901e-52,4.8425587174620125e-52,4.0336118350325626e-53,7.8216174504195058e-62,1.0311129834684487e-36,7.4263150917964726e-46,6.2798533753015471e-56,1.0898304747712946e-46,3.5414170857457388e-56,9.4207629255682828e-45,6.4132204868300059e-50,1.0757309490527214e-38,3.7132137929782435e-48,1.0118329759848724e-61,9.3836351115697451e-72,3.7133879726222419e-48,1.7585875880262771e-48,1.0163671771461665e-46,7.0166974278339685e-56,1.0295791300292384e-56,4.4897854022670443e-56,2.2753529295532335e-57,6.6455067555096768e-76,6.9767112528782923e-83,1.8624998290480614e-80,6.3112027993118839e-50,4.3573487727242029e-59,2.7881194379130023e-59,6.3940166417748872e-60,1.1338857414554474e-75,7.2580054932987576e-38,1.0621542617239441e-82,3.4698109451533233e-66,1.814679550187469e-75,2.9139009348651489e-84,6.028593214854046e-85,1.953460319514827e-94
5.214991694260216e-19,0.0024741677962419007,1.7000981192386592e-34,4.021398256191746e-30,5.7085866107667216e-22,1.689780651923858e-34,1.6845963521928353e-21,2.5719115254590789e-36,1.5006796126206883e-57,1.0460071514556638e-46,2.0690373463185331e-50,1.8368891877110752e-49,1.6089288709358858e-37,1.5488045590235792e-26,5.9648324216527706e-42,7.3792004573292027e-61,2.1541777237597086e-56,2.9291328115781623e-43,6.2813693682597855e-58,1.31420159048133e-83,1.7425879301574376e-55,5.1587986044258794e-72,1.3773789325286024e-43,7.5700759257216889e-66,3.1912286297617589e-36,2.4453906818837992e-53,1.8546381332059306e-50,2.5973691459123207e-45,5.0622264309225512e-75,4.8590831614124975e-87,4.0385945043001952e-54,3.430564021775388e-69,3.9911194286060493e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999944675,0.108803,0.0001,2.4557994460056536e-16,2.3229565315426483e-15,2.3229546429316106e-15,3.8567706529167605e-24,3.8675445435844763e-24,6.4143947423133267e-16,2.4746881055285386e-24,3.9133994171448641e-34,4.9461917593800757e-34,9.6807655512196773e-39,3.1308320600188693e-28,1.7161811056762997e-22,7.385661365431962e-27,5.8428412419708855e-39,9.7378153617133558e-42,3.0687915869639378e-43,4.9215693817096071e-49,2.2848037275044207e-22,6.4357741601094322e-59,1.9196311474166509e-68,9.5787666849432679e-70,9.3761959499413431e-80,1.3125319292940825e-74,2.0121319891508e-27,3.1912287642931803e-36,2.8371400886081202e-45,3.6933077010647644e-46,3.6436473008322542e-22,1.5955206814092398e-51,1.7471900270855932e-59,3.5532083966739696e-36,2.0261945623243587e-71,1.2373379437242047e-27,1.1852185127812124e-32,1.3809690479398113e-41,1.2275753119180462e-50,9.5925305144620172e-51,7.9901077152382607e-52,3.0824423348118037e-60,4.9643651490219927e-36,7.2912001686113656e-45,1.2360949313227929e-54,1.0700015967806004e-45,6.9710306762093841e-55,9.2492865006522081e-44,1.2347309357411512e-48,1.0561588856274743e-37,7.3360369505779243e-47,3.8987735164368373e-60,7.2249445107689998e-70,7.336725900020663e-47,3.4746722823686468e-47,1.0005071697087093e-45,1.3898970198041474e-54,2.0391573050298882e-55,8.8937188962512544e-55,4.5072047643023401e-56,5.1168313423878624e-74,1.1021333609813196e-80,1.4340432607941477e-78,6.1963673585487953e-49,8.609288917456365e-58,5.5088441168877497e-58,1.2632355673321162e-58,4.4826436301929005e-74,3.494417214943694e-37,9.8842728299307929e-81,1.3726224419215217e-64,1.4348122796078752e-73,4.6032484340306703e-82,9.523697704934457e-83,6.1664886245668625e-92
1.1081857350302958e-18,0.0024741677962419007,7.401640526029081e-34,1.7562502250477898e-29,1.2130746475798066e-21,7.3797160143790933e-34,3.5797686487642135e-21,1.1232217575283624e-35,6.5538621296380366e-57,4.5599857860815031e-46,9.0368124696412471e-50,1.6224945547861056e-48,3.4189738484292464e-37,3.2912096893016306e-26,2.6049990296527476e-41,6.5273469230459654e-60,1.9053458017340862e-55,1.2792292544840442e-42,5.55580023491705e-57,4.6902898925594437e-82,3.1008405018703149e-54,9.6450656157501431e-71,1.2182754125587382e-42,1.4206056624418373e-64,2.8226055751907037e-35,4.3514420488280389e-52,8.0996919802988971e-50,2.283268041856382e-44,4.4774819461076376e-74,1.8249810443416239e-85,7.1864593991491448e-53,1.2243433083708737e-67,3.0249132857007871e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999882433,0.108803,0.0001,5.2185738227569326e-16,4.936282615374515e-15,4.9362786075482724e-15,1.6795528710015507e-23,1.6890583010923756e-23,1.3630579673905817e-15,1.0807610071622409e-23,3.4394760787937922e-33,4.2941094362989596e-33,8.5625281018329206e-38,1.367316607862362e-27,7.4950094554645115e-22,3.2255123490492279e-26,5.1675963091589452e-38,8.6129873571109774e-41,2.7143069877915843e-42,8.7576559562841587e-48,9.9783324061118826e-22,2.296878520624234e-57,1.3720699630634175e-66,6.8464913605430634e-68,1.3412322039155162e-77,9.3814177308985286e-73,8.7875090032820077e-27,2.8226056913125085e-35,5.0485296335234559e-44,6.57204117108702e-45,7.7427227092154084e-22,2.8391438381338336e-50,3.1049317403002702e-58,3.1427708983778939e-35,1.4482369209559973e-69,5.4037629466308068e-27,5.205483355026924e-32,1.2279136447689157e-40,2.1955914091739307e-49,1.7156808959564008e-49,1.4290796576986985e-50,1.0918692752274641e-58,2.1680686775329653e-35,6.4489839327907897e-44,2.1829548730811199e-53,9.4640353723601113e-45,1.2311894612838765e-53,8.1807568092596652e-43,2.1684605038891179e-47,9.3416032619288343e-37,1.3051770514523062e-45,1.3728693379616503e-58,5.0943211491656745e-68,1.3054228696748745e-45,6.1829920873749179e-46,8.8961907300330237e-45,2.4858163264562347e-53,3.6460187530541062e-54,1.5906907746737552e-53,8.0614110684971963e-55,3.6079582528074913e-72,1.5765199201996081e-78,1.0111586065181572e-76,5.4806007917890257e-48,1.5319419349933581e-56,9.8026578249137316e-57,2.2474514077569512e-57,1.5977478077982258e-72,1.5261038048705603e-36,7.5868185397125911e-79,4.8987901206233713e-63,1.0255434287542563e-71,6.5847942765260755e-80,1.3623333214847136e-80,1.7647671989692484e-89
2.2815588662388446e-18,0.0024741677962419016,3.0853999694944564e-33,7.3319988239186518e-29,2.4975065976633237e-21,3.0808861345035427e-33,7.3701176952080231e-21,4.6892332756180968e-35,2.7361084240011655e-56,1.8968778169748404e-45,3.7733558005974761e-49,1.360094549361626e-47,7.0390637962476686e-37,6.7760199542352502e-26,1.0875358161608389e-40,5.4875296074972092e-59,1.6015579526517566e-54,5.3405303245261217e-42,4.6699851332874415e-56,1.5847414378966563e-80,5.2300152888310933e-53,1.6601635985797871e-69,1.0240327890643312e-41,2.4636026684525027e-63,2.3725700466967966e-34,7.3393429923105355e-51,3.3814619553643427e-49,1.9134160448848956e-43,3.763593357251341e-73,6.2977468090992604e-84,1.212100155012712e-51,4.1367751092677845e-66,2.1033371277993674e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999757949,0.108803,0.0001,1.0744122576243328e-15,1.0162934738329738e-14,1.0162926509173666e-14,6.9720045521405339e-23,7.0514858268498517e-23,2.8062920427857078e-15,4.511961912913788e-23,2.8549443996069865e-32,3.4806676624518633e-32,7.197321248090792e-37,5.7082776219945925e-27,3.1290153026180074e-21,1.3465879047942577e-25,4.3431200099049662e-37,7.2397347558657254e-40,2.281531140394901e-41,1.4771020244590365e-46,4.1657525555983672e-21,7.7606093148250034e-56,9.2792872059793424e-65,4.6302711624994857e-66,1.8148764997500351e-75,6.3446415524312655e-71,3.6686120032254179e-26,2.3725701394765502e-34,8.515050851559906e-43,1.1084699418167256e-43,1.5940785103519436e-21,4.788631175307688e-49,5.2231338496024206e-57,2.6416854637455756e-34,9.7944031517914702e-68,2.2559505069443931e-26,2.1976925579027209e-31,1.0430064404102542e-39,3.7409379933863277e-48,2.9232462423274223e-48,2.4349288560925635e-49,3.6355488326467399e-57,9.051259871917731e-35,5.4207594985148941e-43,3.6270496526853853e-52,7.9550792344156162e-44,2.0459832962210249e-52,6.8761963760385482e-42,3.6333609216066841e-46,7.8521762517400492e-36,2.2005909231174635e-44,4.6072537873566469e-57,3.4216053012610125e-66,2.2014210621599463e-44,1.0428514521527582e-44,7.5565445904599202e-44,4.2351040877022691e-52,6.2083692192981925e-53,2.7102710245710163e-52,1.3735385672433611e-53,2.4233563523055328e-70,2.1331362671607343e-76,6.7916191855993681e-75,4.6067483388164992e-47,2.5837257804571028e-55,1.6533493904519078e-55,3.7892764527774156e-56,5.3844422447056648e-71,6.3711829757551939e-36,5.3070250025887064e-77,1.6551891952946633e-61,6.9357498480713149e-70,8.9101766587058083e-78,1.8434333631123602e-78,4.7769173802536066e-87
4.628305128655942e-18,0.0024741677962419016,1.2595581436269289e-32,2.9953606812265544e-28,5.0663704061391345e-21,1.2586424870485651e-32,1.4950833601299691e-20,1.9157076955705386e-34,1.1177895665349183e-55,7.6940383481947527e-45,1.5420987973051414e-48,1.1090497216031922e-46,1.4279243664481147e-36,1.3745640501612559e-25,4.4429386697371882e-40,4.5005305388093327e-58,1.3130539726195024e-53,2.1817808979185955e-41,3.8287364097280763e-55,5.2102731911516157e-79,8.5902979255364889e-52,2.7393276081129122e-68,8.3956214309383752e-41,4.12637534304858e-62,1.945176245975577e-33,1.2054892761882413e-49,1.3814375403274987e-48,1.5663765517719789e-42,3.0856212096083867e-72,2.0810525503517421e-82,1.9908739978728656e-50,1.3600783774087035e-64,1.4025121049074684e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999508964,0.108803,0.0001,2.1795220083151481e-15,2.0616238807535392e-14,2.0616222201992732e-14,2.8162798380609047e-22,2.8807619723703009e-22,5.6927485499294438e-15,1.8432815846421981e-22,2.2834877817548245e-31,2.6629741412446471e-31,5.900799319851237e-36,2.3320176169797037e-26,1.2783019019427009e-20,5.5012509185073592e-25,3.5598406342563967e-36,5.9355718131793718e-39,1.8705248853321252e-40,2.4261292109850295e-45,1.7018419214470767e-20,2.5515027124110565e-54,6.1041874362574585e-63,3.0459282652784677e-64,2.3882607787659233e-73,4.1736963408625542e-69,1.4987476882332925e-25,1.9451763141252304e-33,1.3985890533777056e-41,1.8206623805033332e-42,3.2336556209921398e-21,7.8653414602607915e-48,8.5340545924185973e-56,2.1658086856659043e-33,6.4430458593835813e-66,9.2161782860662632e-26,9.1785512892217369e-31,8.7294693910845377e-39,6.2685234907717699e-47,4.8983514678551988e-47,4.0801180501708543e-48,1.1624598988260103e-55,3.6977349348410369e-34,4.4442660189692261e-42,5.7850312119957958e-51,6.5220336787607593e-43,3.2642654533600374e-51,5.6371561345554599e-41,5.9478597006114233e-45,6.4376816725466417e-35,3.6119143070636551e-43,1.5095514635775854e-55,2.2428806152606447e-64,3.6146408300847291e-43,1.7128848813701263e-43,6.3244695251391484e-43,7.0954672909496359e-51,1.0390161353533199e-51,4.5414382894681719e-51,2.3015860582769538e-52,1.5886031817036857e-68,2.8067603777886217e-74,4.4521570943775831e-73,3.7768465727127419e-46,4.2433890653118909e-54,2.7155914881809961e-54,6.2193729350490077e-55,1.761156796562091e-69,2.6028361359001839e-35,3.5490385662134482e-75,5.4418916002496154e-60,4.5625609034199113e-68,1.172527350809894e-75,2.4258504935460897e-76,1.2573553428878939e-84
9.321797653490136e-18,0.0024741677962419007,5.0894782028642449e-32,1.2107726267577014e-27,1.0204097656324173e-20,5.0876339643132132e-32,3.0112336666297996e-20,7.7436202182871818e-34,4.5182841337518068e-55,3.0660554176466327e-44,6.2382076965982112e-48,8.8850480012187103e-46,2.8759603301492848e-36,2.7684881666407467e-25,1.7959068521730479e-39,3.6472553787152296e-57,1.063345151837319e-52,8.8191072514945891e-41,3.1006107382404913e-54,1.6899331751232725e-77,1.3925185113391818e-50,4.4046517784634808e-67,6.7989626409807677e-40,6.8363475394166537e-61,1.5752541189173922e-32,1.9541500188505851e-48,5.5839913914505533e-48,1.2675425686645283e-41,2.4988160373573882e-71,6.6979625373688388e-81,3.2272790999106443e-49,4.4113636388478526e-63,9.1610799734984071e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999010994,0.108803,0.0001,4.3897415096709235e-15,4.1522846255503958e-14,4.1522813145904047e-14,1.1133041525193644e-21,1.1644499903335496e-21,1.1465614990006595e-14,7.4508220813067515e-22,1.7629132668626985e-30,1.9009804556108486e-30,4.7786210302115762e-35,9.4263876781207506e-26,5.1670768498664846e-20,2.2236935363327087e-24,2.8813759052735775e-35,4.8067797086941488e-38,1.5147798086419397e-39,3.932810397679406e-44,6.87908543441867e-20,8.2756351473834802e-53,3.9605562551474578e-61,1.9762778383010407e-62,3.0994637993161911e-71,2.7080096120051422e-67,6.0581776318033678e-25,1.575254161284256e-32,2.2671387398872376e-40,2.9513630095235893e-41,6.5126683755042273e-21,1.2750058664898887e-46,1.3690468363636537e-54,1.7539204760128915e-32,4.1804164996840257e-64,3.7252331351421418e-25,3.8720144879067432e-30,7.3580870330711504e-38,1.0563622492708684e-45,8.2546212249100258e-46,6.8758081576320579e-47,3.5844177458187927e-54,1.4946835358652536e-33,3.5990816445321097e-41,8.8640465663524229e-50,5.281678113427687e-42,5.0044151351216174e-50,4.5645239417928613e-40,9.6247063520095491e-44,5.2133904717095273e-34,5.8467768615197829e-42,4.8872991759554095e-54,1.4524362202637396e-62,5.8556022015801213e-42,2.7766545003850311e-42,5.3309078464660533e-42,1.1953445216991581e-49,1.7465973232916066e-50,7.6530215040295389e-50,3.8786274802801185e-51,1.0288425190852792e-66,3.6417850680606488e-72,2.883388770279441e-71,3.0585169415615751e-45,6.8774579598048674e-53,4.4019616297839416e-53,1.0067231815687219e-53,5.6539131714226011e-68,1.0521079849099157e-34,2.321519835792334e-73,1.7650590861265911e-58,2.9603360920881876e-66,1.5217096673594701e-73,3.1482752212395594e-74,3.2637432231372964e-82
1.8708782703158526e-17,0.0024741677962419007,2.0460852686343263e-31,4.8684630774490032e-27,2.0479550689614315e-20,2.04571507375129e-31,6.0435627807544872e-20,3.1136944643753604e-33,1.8167821677842679e-54,1.198600975015776e-43,2.5126513415837433e-47,7.0009875056446509e-45,5.7720322258953793e-36,5.5563364276158335e-25,7.2212625109175282e-39,2.9402905396790517e-56,8.5587268969069639e-52,3.5461242583732637e-40,2.4956424393883119e-53,5.4443033039289907e-76,2.2425894506889987e-49,6.9222727113284321e-66,5.4723495201740382e-39,1.1402962708254571e-59,1.2679014990745902e-31,3.1470982144100776e-47,2.2452983717640064e-47,1.01984722863399e-40,2.0112645099407323e-70,2.1068506913794174e-79,5.197390199537189e-48,1.4211679752110014e-61,5.92303575756856e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998015072,0.108803,0.0001,8.8101805122790474e-15,8.3336058510944203e-14,8.3335993266819652e-14,4.2868324796866102e-21,4.6822017286237577e-21,2.3011161576325575e-14,2.9959292851521695e-21,1.2973228281367695e-29,1.234636034812972e-29,3.8462511140880067e-34,3.7903087178349696e-25,2.0776397193966049e-19,8.9413735793545563e-24,2.3168105481186621e-34,3.8689141129445223e-37,1.2191947969388599e-38,6.3335101440968542e-43,2.7660244944968156e-19,2.6660399032946605e-51,2.5521041275492847e-59,1.2734743791372715e-60,3.9946820947441537e-69,1.7449960961265965e-65,2.4359664577324774e-24,1.267901512534553e-31,3.6510463014736759e-39,4.7530496154194712e-40,1.3070128066364079e-20,2.0533580338070123e-45,2.1599014528268149e-53,1.4116956329853305e-31,2.6937777835169595e-62,1.4978246865033917e-24,1.6871084151594107e-29,6.3871998089019451e-37,1.8307335785479011e-44,1.4305683367571861e-44,1.1916338575451574e-45,1.0609179580469766e-52,6.0100563933474915e-33,2.8968536987630339e-40,1.2862588418801858e-48,4.2510995486574553e-41,7.2688096481301294e-49,3.6729744955288166e-39,1.5483686501952015e-42,4.1961724183750855e-33,9.389457402441689e-41,1.572785789004561e-52,9.3472812682368936e-61,9.4177735208407392e-41,4.4716981043150765e-41,4.6275034452699019e-41,2.070307528099977e-48,3.0120476979269679e-49,1.3262611139543644e-48,6.7219745687511232e-50,6.6224950579069292e-65,4.6915714267731894e-70,1.8559875142219054e-69,2.46164569441879e-44,1.1071882171529221e-51,7.0888073979751135e-52,1.6166011215559396e-52,1.7849690374434763e-66,4.2304799581365158e-34,1.5020250749863137e-71,5.6863381033615264e-57,1.9076173461401125e-64,1.9612612410330221e-71,4.0576634345995875e-72,8.4130435496721064e-80
3.74827528024953e-17,0.0024741677962419007,8.2049733524954567e-31,1.9524711216067829e-26,4.103045088776617e-20,8.2042310767763021e-31,1.210833501349656e-19,1.2487458488308066e-32,7.2861089939013267e-54,4.5492748769648614e-43,1.0118319731771203e-46,5.390169542407532e-44,1.1564175955758014e-35,1.1132033061630394e-24,2.8960492849543092e-38,2.3683630241355715e-55,6.867839365974019e-51,1.4221544482463248e-39,2.0025977655822812e-52,1.7480249464636695e-74,3.5997927481491683e-48,1.0550018596618438e-64,4.3911402501107033e-38,1.954934931286459e-58,1.0174110073223637e-30,5.0517891365611049e-46,9.0046508609102226e-47,8.1821029173796638e-40,1.6139130591958459e-69,6.4285049244305464e-78,8.3428233116324592e-47,4.562997943997234e-60,3.810044604884596e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996023211,0.108803,0.0001,1.7651058517081601e-14,1.6696247329578957e-13,1.6696234644102527e-13,1.5838711957695847e-20,1.8777719353265561e-20,4.6101509597669099e-14,1.201490815649337e-20,8.8772077522655303e-29,7.1209331008586771e-29,3.0863761699240458e-33,1.5200830776031773e-24,8.332110874782945e-19,3.5858904713205231e-23,1.8552999077757402e-33,3.1045593217966561e-36,9.7827605026395391e-38,1.0166173585849242e-41,1.1092790802646794e-18,8.5596699657832848e-50,1.6388620525729203e-57,8.1777576652931938e-59,5.1305989556537353e-67,1.1205792551562115e-63,9.7693140200991269e-24,1.0174109850003078e-30,5.8603823828767075e-38,7.6296024846982656e-39,2.6182784566629914e-20,3.2960956531798908e-44,3.3310637148002645e-52,1.1327773352209747e-30,1.7298394466104377e-60,6.0063440389817372e-24,7.8101423553741398e-29,5.8711242759419335e-36,3.3543930296399706e-43,2.6211735686262392e-43,2.1834599470868739e-44,3.0067440138671545e-51,2.4103011380374824e-32,2.3245421526340033e-39,1.7224514021185577e-47,3.4111522267952645e-40,9.7478530854184943e-48,2.9458046922955543e-38,2.483209131664548e-41,3.3671355723835403e-32,1.4987479283735556e-39,5.0452542565441062e-51,5.9949083776110703e-59,1.5077659229675819e-39,7.1780068569937388e-40,4.2536084460782324e-40,3.7886495103982187e-47,5.4651872058097599e-48,2.4298841676405753e-47,1.2316827249927908e-48,4.2490077422138481e-63,6.0203420216145738e-68,1.19080172445203e-67,1.9751313855253434e-43,1.7759827208818512e-50,1.1377770125381545e-50,2.5800543221639953e-51,5.5097721279353971e-65,1.6966116954672486e-33,9.6652404247748343e-70,1.8257415275520062e-55,1.2250430472169137e-62,2.5190528155924461e-69,5.2116736990303807e-70,2.1610979520291971e-77
