Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85)
0.0,0.0026575918347170485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.239803586698374e-20,0.0026575918347170485,6.1675292500907996e-36,1.4165036918930444e-31,9.6499694526580503e-23,5.9996758754675107e-36,2.5955512248720967e-22,8.3211777723011694e-38,5.5599152263756954e-59,3.8035790713454466e-48,7.0040343663361934e-52,1.5615638231710286e-51,2.8199491120334285e-38,2.3886791103101802e-27,1.9396714824066017e-43,5.8746399072527576e-63,1.8296888245320204e-58,9.6088485136668453e-45,4.8895889692584824e-60,9.0158595251608677e-87,4.3471853369180516e-58,7.6889445260174919e-75,1.3810204015645871e-45,1.0008209350318891e-68,2.8271075262834672e-38,5.5695257745754649e-56,6.7348188410612626e-52,2.2601639670512957e-47,4.5191557966056453e-77,1.8763058257599654e-90,1.0057695243993671e-56,2.2074144218854085e-72,3.6191709418501713e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991512,0.108803,0.0001,3.9795801261157308e-17,3.5143515787340695e-16,3.5143485799496115e-16,1.2130717692878169e-25,1.2139336009214975e-25,1.0678558484259876e-16,7.7554851200592508e-26,3.1467802523562611e-36,4.0071380706228937e-36,7.2341097610521508e-41,9.9429453641786022e-30,6.3682796850306123e-24,2.3448785422408849e-28,4.3986889748149599e-41,8.0017690095681735e-44,2.5674979772705627e-45,1.1111715336243439e-51,8.5113856925863829e-24,4.001318659353096e-62,3.0835111258201468e-72,1.6866881894958417e-73,4.2901808375008092e-84,2.1417470754512605e-78,6.9774234927811208e-29,2.8271076636803178e-38,6.238869701429247e-48,8.1302425075564661e-49,5.6096521651579522e-23,3.5667690889798971e-54,3.6874592367527906e-62,3.424847456601885e-38,3.252793385092319e-75,4.241519294119963e-29,4.1722707854547974e-34,1.2403375896973516e-43,2.7371813840904731e-53,2.1421992958083042e-53,1.7834917476472947e-54,1.9248640393794208e-63,1.7580482665107833e-37,6.0726869138648072e-47,2.7861135760963468e-57,9.8077682749251357e-48,1.5735678037298697e-57,8.3045563481123471e-46,3.1843567084242754e-51,8.4885150501944034e-40,1.4659893878340461e-49,2.5642328327746603e-63,1.3316873329167974e-73,1.4660271400934408e-49,7.5290679204695398e-50,9.1091164623731995e-48,3.14645537000779e-57,5.0813446751925226e-58,2.0102017622161422e-57,1.117596193879214e-58,8.7901345829070886e-78,5.456094174587008e-85,2.7581814986677677e-82,5.7758705754003024e-51,1.9951022658791469e-60,1.2746212213043474e-60,3.2220753747744633e-61,2.4446167427993751e-77,1.1205690236209695e-38
2.307145004275545e-19,0.0026575918347170485,3.6708031121762365e-35,8.5556813756806217e-31,2.7019914430773154e-22,3.6238042246663331e-35,7.2675440720708202e-22,5.0259917946618006e-37,3.3581887964910632e-58,2.2964516093405835e-47,4.230533211240145e-51,1.8533495899627125e-50,7.8958575124651292e-38,6.6883015095265256e-27,1.1715615754699397e-42,6.9745181193994358e-62,2.1722065725778368e-57,5.8037445027320305e-44,5.8049200642776312e-59,3.7204192752428036e-85,9.7244785430845215e-57,2.4165997319860744e-73,1.6395472145632318e-44,3.1475005603035783e-67,3.3563420529576092e-37,1.2458806368074653e-54,4.0678305794957222e-51,2.6166919870256287e-46,5.3651417607164979e-76,1.0802487615400204e-88,2.2498659250254964e-55,9.1089563580144214e-71,4.1165443853871473e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976212,0.108803,0.0001,1.114282435312141e-16,9.8401844140150197e-16,9.8401760199212287e-16,7.3219276657740055e-25,7.3321589386890781e-25,2.9899958837172764e-16,4.6843126967597166e-25,3.7302049069832356e-35,4.7359042563749433e-35,8.5883374234761847e-40,6.0055389922618191e-29,3.8464404017544797e-23,1.4163066387398166e-27,5.2220453360729343e-40,9.4997001540232036e-43,3.0481324286294304e-44,2.4856453623459405e-50,5.1408762526299401e-23,1.6511547575421836e-60,2.3211893906610946e-70,1.2696963208724941e-71,5.8560736478353298e-82,1.6122532834342668e-76,4.2143637865600585e-28,3.3563422153348499e-37,1.395609585179797e-46,1.8187025644710509e-47,1.5707012289358713e-22,7.978719804085191e-53,8.2464078760453732e-61,4.0659783891239675e-37,2.4486208059327069e-73,2.5618757451417225e-28,2.5233950101946196e-33,1.4743178896308367e-42,6.1300705911239571e-52,4.7975748376894204e-52,3.9942302914905043e-53,7.9283040039963063e-62,1.0618611520230137e-36,7.2094938920409686e-46,6.2212990115398166e-56,1.1643780302246163e-46,3.5137831971836905e-56,9.8591320507729747e-45,6.8102956822791964e-50,1.0077564440984574e-38,3.279225501849718e-48,1.0127720282254648e-61,9.6005049088449998e-72,3.2793812784867863e-48,1.6842222773702936e-48,1.0827482346799784e-46,7.0465987401588816e-56,1.1379136974337859e-56,4.5019566945578091e-56,2.5029196359345098e-57,6.3373138286657102e-76,7.447492582547593e-83,1.9884553179294758e-80,6.8571088891316748e-50,4.4629403364230399e-59,2.8512742782502719e-59,7.2073511491473869e-60,1.0085063546278832e-75,6.7682369032241108e-38
5.273474295486961e-19,0.0026575918347170485,1.7554483154262387e-34,4.1191920819257626e-30,6.1759804240325782e-22,1.7447057384120133e-34,1.6611532336184066e-21,2.4197991250597146e-36,1.6168233474600895e-57,1.1047164604544967e-46,2.0369182554378692e-50,1.8184752192858815e-49,1.8047674308441601e-37,1.5287546310591303e-26,5.6405646722852839e-42,6.8479328522404413e-61,2.1326852941641165e-56,2.7942531484901811e-43,5.6993050220881379e-58,1.4717605128454241e-83,1.9213925834906964e-55,5.3869226260031535e-72,1.60971674092369e-43,7.0304451263421068e-66,3.2952765256729914e-36,2.4616501858675377e-53,1.9584853182244836e-50,2.534585098300958e-45,5.2675279933503537e-75,4.8404110083870087e-87,4.4453547643021959e-54,3.603411621573209e-69,3.7266916169463514e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999945629,0.108803,0.0001,2.5469312807122235e-16,2.249185005885553e-15,2.2491830884113736e-15,3.5200842434560583e-24,3.5301188951654689e-24,6.8342739867989119e-16,2.255294599285731e-24,3.6504195182571167e-34,4.6050926015758331e-34,8.4320816836939561e-39,2.8914085003510398e-28,1.8518949404011032e-22,6.8189067892410106e-27,5.1268694106918842e-39,9.3268619137335097e-42,2.9926720153530105e-43,4.9112124274090275e-49,2.4751099008660574e-22,6.5317988524201587e-59,1.8352932115495596e-68,1.0039099132292252e-69,9.2511538637799063e-80,1.2747593694303887e-74,2.0290347470811177e-27,3.2952766835278329e-36,2.757486715539591e-45,3.5934490828024196e-46,3.5901677445576613e-22,1.5764605893040811e-51,1.6283497685276435e-59,3.9920006102188284e-36,1.9360493220426786e-71,1.2334309479741577e-27,1.2183115206452338e-32,1.4512837063307436e-41,1.2142711007271972e-50,9.5032447572837146e-51,7.9119493878338267e-52,3.1236248728879095e-60,5.1124043447781016e-36,7.0783238293072368e-45,1.2244399269781391e-54,1.1431927900660582e-45,6.9158749387549992e-55,9.6796754184530981e-44,1.3104076536447151e-48,9.8942112000539726e-38,6.4786171157577766e-47,3.9000617904795732e-60,7.3874717792484592e-70,6.479233272922197e-47,3.3277389712255391e-47,1.0658317866336544e-45,1.3957933341241997e-54,2.2536744258125368e-55,8.9176615099152529e-55,4.9578946379324881e-56,4.876596750169561e-74,1.1765039738051423e-80,1.5301015106895394e-78,6.7323403029580886e-49,8.8179158639567502e-58,5.6336270762922908e-58,1.4239203086622665e-58,3.9871376779430827e-74,3.2586147215199611e-37
1.1206132877909792e-18,0.0026575918347170485,7.6424161742630542e-34,1.7989593539027039e-29,1.3123958327272036e-21,7.6195882980489682e-34,3.5299519143273729e-21,1.0567902262597449e-35,7.0610923336332025e-57,4.8164656658449691e-46,8.8966304850439646e-50,1.6063674838387999e-48,3.8351307881062418e-37,3.2486035923249208e-26,2.4633827841548124e-41,6.0574739977402113e-60,1.8863359911476644e-55,1.2203237619754048e-42,5.0409708911787111e-57,5.2526061921370379e-82,3.419013636753045e-54,1.0072669763584117e-70,1.4237754510037511e-42,1.3201246928130737e-64,2.9146347606748298e-35,4.3803749675503845e-52,8.5532199203840011e-50,2.2269478764123372e-44,4.6590688533781732e-74,1.8181628004440396e-85,7.9102671103754793e-53,1.2860313475367978e-67,2.8245005296539096e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999884462,0.108803,0.0001,5.4122289715081715e-16,4.7795181245970202e-15,4.779514054949581e-15,1.5328428764571151e-23,1.5416956563140891e-23,1.4522822322966455e-15,9.8494612084587872e-24,3.2077538368812774e-33,3.9959132071541201e-33,7.458081288038401e-38,1.2627540493170711e-27,8.0877070159334237e-22,2.9779957366837807e-26,4.5343632549053405e-38,8.2495036861049832e-41,2.646980098059487e-42,8.7392260180799911e-48,1.080944889136403e-21,2.3311489139750894e-57,1.3117887788656993e-66,7.1755169822311194e-68,1.3233453214113265e-77,9.111435149811554e-73,8.8613277880957064e-27,2.9146348975061467e-35,4.9067908241261544e-44,6.3943481179858568e-45,7.629078739048236e-22,2.8052274203824566e-50,2.8939808065428739e-58,3.5308774049477465e-35,1.3838049221681373e-69,5.3866999218073622e-27,5.3506072316348737e-32,1.2903854527747314e-40,2.1717149149144453e-49,1.6996481112961795e-49,1.4150477318581612e-50,1.105855705059594e-58,2.2327212837738095e-35,6.2606972220413572e-44,2.1619178720069783e-53,1.0111402499545282e-44,1.2211813219046231e-53,8.5614229480300915e-43,2.3006650925705874e-47,8.7513153971081788e-37,1.1526280408642149e-45,1.3728956190549438e-58,5.2072798034306289e-68,1.1528478859016525e-45,5.9215321504456246e-46,9.4766710697858693e-45,2.4962667291539004e-53,4.0294065833487908e-54,1.5949134060061596e-53,8.8671664091248043e-55,3.4374842346068049e-72,1.6829009352081642e-78,1.0785508584786213e-76,5.9546612050710929e-48,1.5690644876361998e-56,1.0024701137706062e-56,2.5333225207301414e-57,1.4212508037889909e-72,1.4231226608564858e-36
2.3071450042755454e-18,0.0026575918347170485,3.1857279160165603e-33,7.5103010230653598e-29,2.7019913899066417e-21,3.18102809176225e-33,7.2675533872905558e-21,4.4118942946453556e-35,2.9478670495408207e-56,2.0040187613494137e-45,3.7149093406335967e-49,1.3468060486400548e-47,7.89585749507001e-37,6.6883015190678413e-26,1.0284138213265305e-40,5.092619546703888e-59,1.5855790614215729e-54,5.0946114886035652e-42,4.2372400134293631e-56,1.7747352018415754e-80,5.7666601372511048e-53,1.7341417559693491e-69,1.196767748549933e-41,2.2920708188843003e-63,2.4499261220276364e-34,7.3881425890660348e-51,3.5708009426445193e-49,1.8657502240183379e-43,3.9162280946974963e-73,6.2755588436917315e-84,1.3341807569811274e-51,4.3452047712160764e-66,1.9639825228399606e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999762147,0.108803,0.0001,1.1142824353083209e-15,9.8401843212462019e-15,9.8401759628248293e-15,6.3622596157688747e-23,6.4362758004123777e-23,2.9899887515383093e-15,4.1119538062750574e-23,2.6616405639666453e-32,3.235780710228655e-32,6.26896708595771e-37,5.2717495247545537e-27,3.376454523361363e-21,1.2432545923656143e-25,3.8109098942112573e-37,6.9342048285567861e-40,2.2249388485239676e-41,1.4739934476650711e-46,4.5127268498214387e-21,7.8764003006571325e-56,8.8716058858765746e-65,4.8527903170241882e-66,1.7906728950905307e-75,6.162052043471635e-71,3.6994298929098162e-26,2.4499262323499191e-34,8.2759880108933721e-43,1.0784994188459501e-43,1.5706812581980976e-21,4.7314261719338411e-49,4.8690770895376668e-57,2.9679119687434461e-34,9.3586499036502708e-68,2.2488269063451818e-26,2.2587786945690269e-31,1.0959875947202578e-39,3.699983875936005e-48,2.8957157355617561e-48,2.4108432592598375e-49,3.6782576294163533e-57,9.3211717770519134e-35,5.2624931740367109e-43,3.5906197137242671e-52,8.4992291528917384e-44,2.0284842475540947e-52,7.1961557701929636e-42,3.8542815088062699e-46,7.3560039261015816e-36,1.9433765801711486e-44,4.6066118046218649e-57,3.4969111605028755e-66,1.9441190012933741e-44,9.9875242558440071e-45,8.0490010882997611e-44,4.2525891618718524e-52,6.8606253121278278e-53,2.717265440972528e-52,1.5107155488588536e-53,2.3084836516341165e-70,2.27707516644782e-76,7.2431074132327525e-75,5.0052220118165541e-47,2.6463333371636203e-55,1.6907998031284599e-55,4.2712415534388738e-56,4.790424318617483e-71,5.9412569709590738e-36
4.680208437244678e-18,0.0026575918347170485,1.3005071313728687e-32,3.068202947546372e-28,5.4811824103914806e-21,1.2995537447300076e-32,1.4742772779397806e-20,1.8024053333636095e-34,1.2042998747613305e-55,8.1322488025870876e-45,1.5182860474230084e-48,1.0985876189209116e-46,1.6017310880135646e-36,1.356769738939904e-25,4.2014060293215115e-40,4.1768375276427442e-58,1.2999535121763887e-53,2.0813150290908799e-41,3.4739457566588328e-55,5.8349297727626986e-79,9.4717365693161584e-52,2.8626304329173955e-68,9.8118036268674902e-41,3.8480613776046066e-62,2.008597429790566e-33,1.2135046247408389e-49,1.4587886946188115e-48,1.5271651882738049e-42,3.2107603899142067e-72,2.0746023337177566e-82,2.1913912672229585e-50,1.4286053058330119e-64,1.3095899965206953e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999517499,0.108803,0.0001,2.2604015116165842e-15,1.9961516553431233e-14,1.9961499677770659e-14,2.5693929445650031e-22,2.6294286085762236e-22,6.0653891981058163e-15,1.6798653702778258e-22,2.1273912336526988e-31,2.4712232567531075e-31,5.1396784005238859e-36,2.1536816469056851e-26,1.3793886166665414e-20,5.0791006273742863e-25,3.1236016807252718e-36,5.6850799189080639e-39,1.824127131040962e-40,2.421023041211059e-45,1.843591851660126e-20,2.5895716451012827e-54,5.8360018633219634e-63,3.1923074387472477e-64,2.3564100551480487e-73,4.0535826544876905e-69,1.5113378018552295e-25,2.008597512543929e-33,1.3593230343132034e-41,1.7714357316633161e-42,3.18619276913614e-21,7.7713820457808523e-48,7.9581819326944181e-56,2.433268230005145e-33,6.1563937018285047e-66,9.1870750430349553e-26,9.4321921930650042e-31,9.1715456263468335e-39,6.1990126956096789e-47,4.8515264768163481e-47,4.0391818583775568e-48,1.1738161838831464e-55,3.8080027558859036e-34,4.3145097257853174e-42,5.7224205286436866e-51,6.9681587579096019e-43,3.2336966090754184e-51,5.899456151336541e-41,6.3090165673814989e-45,6.0308899377341013e-35,3.1897076580950375e-43,1.5092196520071339e-55,2.292055177916149e-64,3.1921460439327193e-43,1.6404521417340739e-43,6.7356401502866685e-43,7.1237226379086159e-51,1.1479905136373434e-51,4.5525071862169403e-51,2.5310868212795945e-52,1.5131762638430457e-68,2.9961493719028971e-74,4.7477366207743654e-73,4.1035349883402299e-46,4.3462055636864634e-54,2.7771024662752327e-54,7.0103513193984977e-55,1.567371560917229e-69,2.4271973344608193e-35
9.426335303182943e-18,0.0026575918347170485,5.2549240457193461e-32,1.240216636613653e-27,1.1039564075863237e-20,5.2530038137716818e-32,2.9693277348334815e-20,7.2856312130231647e-34,4.8679726328861582e-55,3.2435454587136247e-44,6.1425037343422688e-48,8.8071492826886153e-46,3.2260217545856188e-36,2.7326489197442832e-25,1.6982754967611391e-39,3.3852532286155526e-57,1.0527360593040787e-52,8.4130081448093794e-41,2.8132919741488647e-54,1.8925381668661097e-77,1.5354028229171171e-50,4.6068499186016408e-67,7.9458182516435036e-40,6.404173025575783e-61,1.6266142372306358e-32,1.9671432446855984e-48,5.8966571245129977e-48,1.235734998404423e-41,2.6001569912338494e-71,6.6828197516362481e-81,3.5523246588424827e-49,4.6336278933453238e-63,8.5541213167787563e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999999902822,0.108803,0.0001,4.5526396642061328e-15,4.0204180388577483e-14,4.0204146704443688e-14,1.0152576779165017e-21,1.0628570309112325e-21,1.2216139723989987e-14,6.790268820155934e-22,1.6402643316294392e-30,1.7589035528175275e-30,4.1622454416632518e-35,8.7055251830653037e-26,5.575683243873655e-20,2.0530536445965479e-24,2.5282586239285229e-35,4.6039248772993889e-38,1.4772057459853769e-39,3.9245320290982511e-44,7.4520581594237323e-20,8.3991068605041136e-53,3.7865493645263185e-61,2.0712518772589217e-62,3.058127338295061e-71,2.6300754832731158e-67,6.1090688850426595e-25,1.6266142917823692e-32,2.2034872338999344e-40,2.8715645719259802e-41,6.4170747665847928e-21,1.2597746325084271e-46,1.2774949632056044e-54,1.9705150897275923e-32,3.9944279461940331e-64,3.7134683223367308e-25,3.9778418601424981e-30,7.7285705509900476e-38,1.0443668752667342e-45,8.1735089000945379e-46,6.8049892390648184e-47,3.6070313991489034e-54,1.5392555527944332e-33,3.4940016367930665e-41,8.7554324922193867e-50,5.6429586914876587e-42,4.9500838835817013e-50,4.7769056282432317e-40,1.0208710573901436e-43,4.8839604884101736e-34,5.1632311827516999e-42,4.8860215709003537e-54,1.4842156449566945e-62,5.1711236408617962e-42,2.6592380504258913e-42,5.675910241195794e-42,1.1997740739243394e-49,1.9291926816132933e-50,7.6696045263354329e-50,4.2642328974922151e-51,9.7995170860708214e-67,3.8875066835372497e-72,3.0746876219202251e-71,3.3230706025824876e-45,7.0440741289663085e-53,4.501668916652259e-53,1.1347337053144212e-53,5.0350178850712397e-68,9.8111197287038238e-35
1.891858903505947e-17,0.0026575918347170485,2.1125950130349525e-31,4.9868561575584925e-27,2.2156325904800875e-20,2.11220956671862e-31,5.9594549625090913e-20,2.9295368947701423e-33,1.9573903765228517e-54,1.2701820508173562e-43,2.474659305936848e-47,6.9487201777835867e-45,6.4746030547941409e-36,5.4844073083055959e-25,6.8286911219068582e-39,2.729642604990372e-56,8.4733356902716687e-52,3.382833592237926e-40,2.2643831494878062e-53,6.0970166468348128e-76,2.4726980041062233e-49,7.2521673267632823e-66,6.3954299188704487e-39,1.0772964983484749e-59,1.3092405894835009e-31,3.1680234054310692e-47,2.3710198877181988e-47,9.9422438196826967e-41,2.0928325280546129e-70,2.1055504536781309e-79,5.720860976874078e-48,1.4927725953661108e-61,5.5306106497423196e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998049645,0.108803,0.0001,9.1371159692773178e-15,8.0689505654583831e-14,8.0689439144915491e-14,3.9060334925145323e-21,4.2737009447466131e-21,2.4517439310054483e-14,2.7303246927435702e-21,1.2043098701436225e-29,1.1375142880272221e-29,3.3501382034652278e-34,3.5004530861493151e-25,2.2419367283852707e-19,8.2552381228936432e-24,2.0328488089099597e-34,3.7056388947180683e-37,1.188951989618444e-38,6.3201747135922396e-43,2.9964117685561096e-19,2.7058154106140847e-51,2.4399761292640919e-59,1.3346730083098609e-60,3.9414041725733062e-69,1.6947752976620567e-65,2.4564296076310607e-24,1.3092406133278548e-31,3.5485388114267907e-39,4.6245369542024336e-40,1.2878274713100854e-20,2.028828575279169e-45,2.0180236286015009e-53,1.5860281156289691e-31,2.5739289607824618e-62,1.4930934503751116e-24,1.732316030729338e-29,6.705483444688598e-37,1.8090726159879228e-44,1.4158283187413975e-44,1.1787923095335686e-45,1.0618403399270322e-52,6.1892785180568537e-33,2.8122761708140037e-40,1.2673615655593451e-48,4.5418846345438701e-41,7.171384446563941e-49,3.84386035901484e-39,1.64228267634225e-42,3.9310193289524021e-33,8.2914184406986339e-41,1.5723380286704854e-52,9.5515471604199997e-61,8.3167399621511721e-41,4.2826029893554079e-41,4.9245486448860037e-41,2.0769533679844121e-48,3.3250890645675534e-49,1.3284935273856327e-48,7.3867005537330401e-50,6.3076440879528245e-65,5.0080954715510855e-70,1.9790765580700787e-69,2.6745700873089165e-44,1.1340039192775442e-51,7.2493679037211041e-52,1.8220833641367289e-52,1.5915679246679317e-66,3.9450081140327319e-34
3.790309649881253e-17,0.0026575918347170485,8.4716765856963346e-31,1.9999520516177929e-26,4.4389843554539192e-20,8.4709037645150922e-31,1.1939814673407021e-19,1.1748886582380061e-32,7.8500108098917633e-54,4.8369924868677428e-43,9.9706397622887355e-47,5.3633413625867017e-44,1.2971765594085929e-35,1.0987924193238359e-24,2.7386105977587581e-38,2.1997724461358757e-55,6.7993183000371332e-51,1.3566675866287445e-39,1.8170265050688671e-52,1.9575938994807299e-74,3.9691607930921607e-48,1.1088323073544541e-64,5.1318400605916293e-38,1.8745493293660161e-58,1.0505830222632376e-30,5.0853787067862136e-46,9.5088503620683424e-47,7.9764102449016803e-40,1.6793662599797497e-69,6.4448447005598776e-78,9.1830935488741138e-47,4.7929004172604484e-60,3.5576137231544666e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996092513,0.108803,0.0001,1.830606857898805e-14,1.6166014734348344e-13,1.6166001757436428e-13,1.441017595598589e-20,1.7139448805606571e-20,4.9119232645763407e-14,1.0949722707596447e-20,8.2111106685700066e-29,6.5280185836719671e-29,2.6882764618062928e-33,1.4038380101878078e-24,8.9910007273374516e-19,3.3107194977989399e-23,1.6278511185404176e-33,2.9735412376670393e-36,9.5400820990881038e-38,1.0144756439219575e-41,1.2016726453258563e-18,8.6873644066919871e-50,1.5668560145402957e-57,8.5707416667578509e-59,5.0621652931829892e-67,1.0883273725355424e-63,9.8513804099680568e-24,1.0505830091999011e-30,5.6958393269361764e-38,7.423312044893786e-39,2.5798418807166739e-20,3.2567203571066785e-44,3.1198031402415602e-52,1.2726654359781983e-30,1.6528752953109474e-60,5.9873644008533279e-24,8.0127350054999475e-29,6.1587571718879391e-36,3.3121013534201962e-43,2.592128364791511e-43,2.1582351949295641e-44,2.9874683514352927e-51,2.4821772297854347e-32,2.2566740187700416e-39,1.690824926190112e-47,3.6444809952980667e-40,9.5797644361643781e-48,3.0828377974744495e-38,2.6337815691551624e-41,3.1543682325274412e-32,1.3233775961870751e-39,5.043734546969675e-51,6.1257768777237313e-59,1.3314409712326955e-39,6.8744687866258727e-40,4.5230293554134694e-40,3.7977372404089778e-47,6.0275705608774938e-48,2.4320598805137751e-47,1.3524199979203707e-48,4.0469313294821519e-63,6.4264376110286692e-68,1.2697544598207925e-67,2.1459714938296964e-43,1.818972340174007e-50,1.1635457129384528e-50,2.9077528039415969e-51,4.9245117810607423e-65,1.5821247161680167e-33
