Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378)
0.0,0.0021535468543181233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.062071579447913e-19,0.0021535468543181233,5.4213629930037092e-37,2.7479951620460224e-32,2.2436512115063532e-24,5.4190506264046639e-37,5.3246116577174473e-23,7.0999334625875567e-38,1.3661920504903101e-62,4.4151384764010674e-50,9.1453296928183228e-54,3.5915536912549282e-52,2.430461880280896e-41,4.4310486867247199e-28,9.9048878455137398e-44,9.2537401514506134e-64,4.4305095843387148e-59,2.2085181538510699e-45,6.2791777375642946e-60,2.5498880579953758e-89,9.083060261324481e-59,4.2193409379874769e-76,2.5453053972549808e-47,4.6931958207662417e-68,7.8250059736019466e-38,8.6521624950448865e-56,7.9032601459002887e-54,2.0833148803274179e-47,1.5658696000932457e-80,4.3459582251945433e-91,2.4205154217739194e-57,2.1775322777748089e-72,1.4613022247510446e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992102,0.108803,0.0001,4.3663712888025149e-17,3.6775985652598186e-16,3.677598139560815e-16,1.5209045117174175e-24,1.5260000548475984e-24,9.944046124890019e-18,1.121350414180454e-24,1.6337235673676859e-34,2.3818286019502973e-34,3.7270690266561236e-39,4.3871417229852364e-29,5.6622846985298064e-24,1.0725656403301771e-27,1.1228050457774651e-39,3.873789610560399e-43,2.376732917607992e-45,3.7886780263934134e-51,5.3273568153799489e-24,8.943058675959861e-61,8.8360185453392609e-70,6.2257968961644044e-72,2.1492173007098173e-81,1.5320675799524099e-76,5.4703847967592595e-29,7.8250059494534277e-38,2.3859448228242289e-46,2.834372331153121e-47,1.1803042368138931e-23,3.1594553905737739e-53,1.1510506559055666e-61,2.351993714871218e-38,9.8629102542085436e-73,9.4132806029068765e-29,6.0885077466245583e-35,7.3850919063787937e-44,2.2518136796426429e-52,1.5322006838423921e-52,1.3375140736537718e-53,5.094603888973282e-62,2.0528243467575248e-38,8.5180869973587248e-47,1.8529419221429765e-56,1.2080575912755563e-48,9.1125868272827077e-57,6.6466235906601351e-46,2.0843723877735419e-50,3.0237608264608425e-38,6.2708087883632521e-47,2.0291440684628541e-61,4.3607028805525254e-71,6.2723400427258019e-47,1.090298596277123e-47,1.5855270616055013e-48,6.5786716870810665e-57,9.3244151487084312e-59,4.834464373260915e-57,3.2042472247177991e-59,3.3712342255417697e-75,1.1595429904042719e-82,1.8634367120545307e-81,1.4897557435004448e-52,6.1814802036245484e-61,4.5424654034086701e-61,8.7636021744843005e-63,3.0830870707684725e-76,2.0706226853449153e-38,7.5817128818162992e-83,2.6029337320765693e-67,4.3824043751189175e-76,4.677477320960871e-84,9.0922781484323984e-85
2.5373800422454157e-18,0.0021535468543181233,3.2737537169111416e-36,1.6597890609039726e-31,6.2822233188075e-24,3.2731065464902691e-36,1.4908941067076305e-22,4.2883667780721789e-37,8.251799961325581e-62,2.6459415281530401e-49,5.5238063950744015e-53,4.2495522614562522e-51,6.8052932504900332e-41,1.2406936323948422e-27,5.9825522591413005e-43,1.0986089958559349e-62,5.2599009767345562e-58,1.3339449650246451e-44,7.4546399395022073e-59,1.0522174843107272e-87,2.031842305086103e-57,1.3165140655709393e-74,3.0217835425357032e-46,1.4645866773405343e-66,9.2898470458608405e-37,1.9354541320445586e-54,4.7735691210240047e-53,2.4725326517302201e-46,1.8590003813412659e-79,2.4842978835280688e-89,5.4145909996911982e-56,8.9856395524754354e-71,1.6621258252293991e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977894,0.108803,0.0001,1.2225839608639861e-16,1.0297275897410538e-15,1.0297274741322784e-15,9.1567230749394167e-24,9.21704026842433e-24,2.7843292688640769e-17,6.7729540580873873e-24,1.9332651231626513e-33,2.7988656840903126e-33,4.4247764723257211e-38,2.6498335830274041e-28,3.4200162208503262e-23,6.4782964228049227e-27,1.3328492006470497e-38,4.5989629901787031e-42,2.8216533361326526e-44,8.4751097658095906e-50,3.2177200004774861e-23,3.6903733428422044e-59,6.6515255653195458e-68,4.6866184152784689e-70,2.9336672383868675e-79,1.1533010917663497e-74,3.304112399377191e-28,9.2898469891697654e-37,5.3372478709145732e-45,6.340374438764073e-46,3.3048213425915156e-23,7.067575394188322e-52,2.5665816712656672e-60,2.7922841437560054e-37,7.4245430127874223e-71,5.6855773951037069e-28,3.9459450000837711e-34,9.3537728294452672e-43,5.3589384168053455e-51,3.6463810404604031e-51,3.1830627075813727e-52,2.2283795499540842e-60,1.2399058938297716e-37,1.0112672838047709e-45,4.1273217437652046e-55,1.4342047630327093e-47,2.0308597678620937e-55,7.8905949118962415e-45,4.6616078432479113e-49,3.589807652574116e-37,1.4022522116959472e-45,8.3714802183623788e-60,3.2818476195672492e-69,1.402883773535135e-45,2.4389535684953796e-46,2.008188944904397e-47,1.5655372370734648e-55,2.2178175892062798e-57,1.150517222937266e-55,7.6255754204262308e-58,2.5372354995507667e-73,1.5826688857408647e-80,1.4024443750637167e-79,1.7686254803489717e-51,1.3827284317889068e-59,1.0161232224624733e-59,1.9597266636559049e-61,1.2682561556670253e-74,1.2506561020421553e-37,8.189468194758877e-81,1.0741073802942399e-65,3.2989630415223828e-74,6.3847304406150269e-82,1.2410908495269681e-82
5.799725810846664e-18,0.0021535468543181233,1.5760076723177074e-35,7.9911696829520585e-31,1.4359367239768132e-23,1.5758598745543388e-35,3.4077713587661742e-22,2.0646710968072639e-36,3.9728864473337202e-61,1.2529672532536831e-48,2.6595079907068064e-52,4.1400337716458986e-50,1.555495593441744e-40,2.8358711602872655e-27,2.8803413861523408e-42,1.0786332471282143e-61,5.1642019659488028e-57,6.4223707928777926e-44,7.3190099579010463e-58,4.1624592976198576e-86,4.0145695977363992e-56,2.8902603338711886e-73,2.9667985932953517e-45,3.2169322593084843e-65,9.1208268202321408e-36,3.8241311721752069e-53,2.2982680399827257e-52,2.4271436278888833e-45,1.8251775813955928e-78,1.0965609412527376e-87,1.069829698742631e-54,3.5546223340381792e-69,1.5047161769718677e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999994948,0.108803,0.0001,2.794477624828581e-16,2.3536630222779407e-15,2.3536627747056748e-15,4.3787617020056618e-23,4.4376080652240041e-23,6.3641639972531343e-17,3.2608833393961141e-23,1.8848966219923892e-32,2.6887288013639411e-32,4.3442719267408245e-37,1.2757807866472948e-27,1.6465867847521324e-22,3.1190208151413443e-26,1.3082923197374924e-37,4.5152890603611514e-41,2.7703075394862029e-43,1.6745339284963069e-48,1.5491900879059436e-22,1.4598707451018222e-57,5.2591460429308182e-66,3.7055575399381765e-68,4.6344618666789263e-77,9.1187842588674529e-73,1.5907878720994562e-27,9.1208267052170656e-36,1.0545436403735415e-43,1.2527498079968823e-44,7.5537334757071928e-23,1.3964338229686999e-50,5.0332535886954252e-59,2.7414752110008813e-36,5.8703459357557141e-69,2.7373158667613692e-27,2.1732613217614056e-33,1.0425230306184618e-41,1.1979501083523095e-49,8.151212207678419e-50,7.1155143312144877e-51,9.9098767016544947e-59,5.9696130266638882e-37,9.9286820646819722e-45,8.079648671073276e-54,1.4081081795749933e-46,3.9802009186170994e-54,7.7464470039628325e-44,9.2088719246816116e-48,3.5244918977793554e-36,2.7684430617313623e-44,3.3110680616665269e-58,2.5942602545168637e-67,2.7709387104656051e-44,4.8189578825330871e-45,2.2382232873012539e-46,3.4992679534675297e-54,4.9517318667514226e-56,2.571874040687798e-54,1.7046424966314643e-56,2.005749013968118e-71,2.4998704107899422e-78,1.1086666464333486e-77,1.7364204263645221e-50,2.7318482803534511e-58,2.0076531515380874e-58,3.8692555416845849e-60,4.9801881655662754e-73,6.0213707703904063e-37,7.5829251972429271e-79,4.2490574994156053e-64,2.6083880873196852e-72,1.0086298504042991e-79,1.9606171173082361e-80
1.2324417348049161e-17,0.0021535468543181233,6.8825074264391194e-35,3.489953602184198e-30,3.0513653907118656e-23,6.8821938074082252e-35,7.2415713436286823e-22,9.017023419113842e-36,1.7350638674539697e-60,5.2924534450979591e-48,1.1615153223376625e-51,3.6040552410476996e-49,3.3054281081868685e-40,6.0262262178628505e-27,1.2579207570806734e-41,9.5406790800492778e-61,4.5676781494013246e-56,2.8048180569189928e-43,6.4735818813959403e-57,1.4855461181775758e-84,7.1436820620065082e-55,5.2412056619521432e-72,2.6240883591721983e-44,5.8398849844660535e-64,8.0672678590880854e-35,6.8048369524135914e-52,1.0037140284988241e-51,2.1466071008488579e-44,1.6143488715228306e-77,3.9965692267052012e-86,1.9036967829730982e-53,1.2686142240047318e-67,1.1404409326106695e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999892668,0.108803,0.0001,5.9382649527462799e-16,5.0015337536028815e-15,5.0015332967364793e-15,1.8866239442506825e-22,1.9380199722613324e-22,1.3523775117062205e-16,1.4241112394118895e-22,1.6441671020436586e-31,2.2791703452854916e-31,3.842459544337253e-36,5.5716697172037987e-27,7.1910436430544376e-22,1.3621582945467075e-25,1.1566241125796453e-36,3.9937219076662032e-40,2.4502906354305841e-42,2.979725982560972e-47,6.76568865770172e-22,5.2101445563835732e-56,3.7589958849604066e-64,2.6485622285289338e-66,6.6294083080033787e-75,6.5176960258026127e-71,6.9473884149700301e-27,8.0672676517721368e-35,1.8764804735430109e-42,2.2291965704560231e-43,1.6051069456258401e-22,2.484879461097462e-49,8.8197375975192423e-58,2.4247932479488154e-35,4.1958534915509478e-67,1.1954183016821745e-26,1.1893750229414485e-32,1.1429671420578947e-40,2.6290143300974682e-48,1.7888618100736288e-48,1.5615748275183561e-49,4.3093990900922669e-57,2.6070867418376611e-36,8.7818066809873712e-44,1.4115516819494611e-52,1.2454511822262467e-45,6.9693251920578277e-53,6.8506026275906222e-43,1.6383394900211511e-46,3.1173686477095161e-35,4.9185528269525578e-43,1.1814598665502828e-56,1.8537240749915028e-65,4.9274399964512625e-43,8.5750660308292043e-44,2.4538696794430795e-45,7.6778387358016342e-53,1.0840631198184764e-54,5.6441314549250224e-53,3.7410131666779645e-55,1.4333394857619152e-69,3.5749562173896944e-76,7.9226968247357494e-76,1.5357969604021774e-49,4.8604985676176159e-57,3.5723860164865479e-57,6.8750226928217382e-59,1.7507051801386608e-71,2.6296908118423507e-36,5.8072163183092206e-77,1.5164552309617362e-62,1.8643627369479581e-70,1.4428090292927094e-77,2.8045924197255414e-78
2.5373800422454157e-17,0.0021535468543181233,2.8732446621747198e-34,1.4569868079231005e-29,6.282222254350407e-23,2.8731802096172917e-34,1.490935323632226e-21,3.7644818431180339e-35,7.2435499221392022e-60,2.0667344388586155e-47,4.8495742139978389e-51,2.932492435063399e-48,6.8052930539631179e-40,1.2406936340177064e-26,5.2515715420117833e-41,8.0202371576370372e-60,3.8394086964645227e-55,1.1709563265471468e-42,5.4414364047167958e-56,5.0192837645052936e-83,1.2048762564958178e-53,8.4870548274707774e-71,2.2056852036169164e-43,9.4789974292561517e-63,6.7810244333279589e-34,1.1477351643694304e-50,4.1903084632694847e-51,1.804280729031982e-43,1.3569574483681577e-76,1.2987775288470083e-84,3.2108358594575672e-52,4.2863253350616736e-66,7.9299188200604628e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999779026,0.108803,0.0001,1.2225839608535705e-15,1.0297274695179354e-14,1.0297274024334165e-14,7.6694323095721538e-22,8.0908514145939433e-22,2.7842764012606776e-16,5.9453658271068053e-22,1.3448366630798381e-30,1.7679473911788467e-30,3.2298191322598789e-35,2.326062300735234e-26,3.0020912159430121e-21,5.6867424156126384e-25,9.7129561541300968e-36,3.3569636840128041e-39,2.0595916688822595e-41,5.0256837537959798e-46,2.824515535892997e-21,1.7603695174507017e-54,2.5421812447821644e-62,1.7912031425229723e-64,8.970449127132602e-73,4.407880836950333e-69,2.900397770018901e-26,6.781024081447207e-34,3.1648789814846048e-41,3.7598497153745313e-42,3.3043788499239341e-22,4.1911126927702287e-48,1.4415515476287243e-56,2.0381671155924e-34,2.8376248464141244e-65,4.9903063993983705e-26,6.9731065797123988e-32,1.3322588939615062e-39,6.1124011160911233e-47,4.1590718654583864e-47,3.6306655038317492e-48,1.9634571314212041e-55,1.0884073096149184e-35,7.3816373872289873e-43,2.2970306198513324e-51,1.0468690990213671e-44,1.139016240641334e-51,5.7565919714130331e-42,2.7624108659802602e-45,2.6203285798472069e-34,8.2698459823406946e-42,3.9906184301473982e-55,1.2530435928358162e-63,8.2997417642153276e-42,1.4463061588215077e-42,2.8602656511623368e-44,1.7843235688767147e-51,2.5082664390294751e-53,1.312207331230907e-51,8.6978527329260525e-54,9.6906245756181229e-68,4.834658284115628e-74,5.3564263857925782e-74,1.2908504163716023e-48,8.1956489440062804e-56,6.0249276789713106e-56,1.1561753668368428e-57,5.735191017743187e-70,1.0978441490787593e-35,4.0578636047559432e-75,5.1237377973427304e-61,1.2608640089784893e-68,1.9523219175351032e-75,3.7950036413110748e-76
5.147256657126414e-17,0.0021535468543181233,1.1738007636518073e-33,5.9522655241118342e-29,1.2743934102275095e-22,1.173787687228968e-33,3.0245644713481771e-21,1.5379562136969613e-34,2.959226350928581e-59,7.3929503702485606e-47,1.9818539789005887e-50,2.2487852354441502e-47,1.3805022646230771e-39,2.5168356613458307e-26,2.145438332268945e-40,6.5774237919903248e-59,3.147779198031973e-54,4.7837386736119223e-42,4.4612195861273176e-55,1.650203845460537e-81,1.9789795661093812e-52,1.2405210989371115e-69,1.8083225465397764e-42,1.3934012207963271e-61,5.5594930445024329e-33,1.8851582921390864e-49,1.7118777804022475e-50,1.4792290205186672e-42,1.1125156184029879e-75,3.8097972947251222e-83,5.2737187918543213e-51,1.4092267087433673e-64,5.2876955311909339e-82,0.88129999999999997,0.0,0.0,0.0,0.009889999999955176,0.108803,0.0001,2.4800988919930662e-15,2.0888754595613719e-14,2.0888754213674109e-14,2.9760649648572759e-21,3.3053764174914662e-21,5.6479808457821498e-16,2.428861022427022e-21,1.0461349129240091e-29,1.2545272997538006e-29,2.6480014466814089e-34,9.5027224678587615e-26,1.2264293778434085e-20,2.3232195772338743e-24,7.9482771326795666e-35,2.7522412976713979e-38,1.6885362772017647e-40,8.2545047280480887e-45,1.1538852693742162e-20,5.7875745486825266e-53,1.6722929329676464e-60,1.1782859226452307e-62,1.1804333931644111e-70,2.8995984304188153e-67,1.1849070175085581e-25,5.5594924647493992e-33,5.1980617154368619e-40,6.1755114677207496e-41,6.70214167090954e-22,6.8839161158110196e-47,2.2197975967699137e-55,1.6709834934521635e-33,1.8666411169152874e-63,2.0384336156708851e-25,4.4891534469327199e-31,1.7014275526159976e-38,1.5551702572292439e-45,1.05819083226945e-45,9.2376479090173145e-47,9.6092785243587734e-54,4.4464983276487172e-35,6.0519118893359434e-42,3.5244803073099527e-50,8.5827397247199628e-44,1.7614012453533172e-50,4.7167303793562089e-41,4.5345355970522449e-44,2.1482912240402774e-33,1.3498576397722705e-40,1.3112495824765827e-53,8.2349931134677186e-62,1.3596008394582795e-40,2.3755488720794762e-41,3.6528445532383354e-43,4.5359925672907179e-50,6.320921016764748e-52,3.338424187540229e-50,2.2130272676198076e-52,6.3710629229434027e-66,6.3548420642980144e-72,3.5215526526258779e-72,1.0581868646463765e-47,1.3453852396633449e-54,9.8945707990403376e-55,1.8879534317182125e-56,1.7697216322777012e-68,4.4850515724465285e-35,2.712259208890771e-73,1.684558622925666e-59,8.2943133783205348e-67,2.5691238852556782e-73,4.9939655175095692e-74
1.0367009886888412e-16,0.0021535468543181233,4.7446628209685209e-33,2.4060000936034124e-28,2.5667350280505929e-22,4.7446362102693629e-33,6.0921138434116099e-21,6.2170089050513837e-34,1.196166490205477e-58,2.3079374274266862e-46,8.0203103113026048e-50,1.5901065336991415e-46,2.7804480918064342e-39,5.0691197274637263e-26,8.6722047880737483e-40,5.3322038959825783e-58,2.5491531760744463e-53,1.9336636621466191e-41,3.6128133326363728e-54,5.3522225088887439e-80,3.2079031887607516e-51,1.5773024362058838e-68,1.464375553067574e-41,1.7997041918243875e-60,4.5022208325259237e-32,3.0559223040650037e-48,6.9196861633535927e-50,1.1979059737932717e-41,9.0094386020849993e-75,9.7389112436731918e-82,8.5486377006456732e-50,4.570642026343733e-63,3.4538735424178933e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999097227,0.108803,0.0001,4.9951287541985045e-15,4.2071707146768966e-14,4.2071709528934303e-14,1.092346761553794e-20,1.336085687009601e-20,1.1375016420809616e-15,9.8177242138745238e-21,7.6817164744611555e-29,7.9880013849067198e-29,2.144421171127034e-33,3.8411515949124907e-25,4.9572389934552322e-20,9.3908230765175055e-24,6.4125718033984821e-34,2.2288358201852135e-37,1.3673533922897873e-39,1.3380272697940745e-43,4.6640150298536556e-20,1.8770981834625165e-51,1.0849903649596981e-58,7.64476643037819e-61,1.5319040658189432e-68,1.8812898668730531e-65,4.7895827323167704e-25,4.5022198913407733e-32,8.4254343000816278e-39,1.0010598446757789e-39,1.3494544798881687e-21,1.1159127696097056e-45,3.1573357524483449e-54,1.3531587085011353e-32,1.2110842777062057e-61,8.237497568772719e-25,3.1403100644831655e-30,2.3641593863607673e-37,4.307335534472655e-44,2.9308777350935205e-44,2.5586464969700733e-45,4.9536044314903707e-52,1.7973452025899575e-34,4.9009945416656231e-41,5.0468815896141977e-49,6.9503217572281922e-43,2.5555593609593936e-49,3.8150864662453523e-40,7.3419786693255623e-43,1.7397217807360333e-32,2.1612249366974252e-39,4.2480519738032334e-52,5.3329655180391183e-60,2.1922809891326945e-39,3.8508239139065289e-40,5.0756826075638762e-42,1.2542102122305679e-48,1.7179872640560312e-50,9.2452421440193662e-49,6.1296491789458257e-51,4.1289851555424194e-64,8.2284841645931508e-70,2.2822515640322249e-70,8.5673619344824524e-47,2.178490900990347e-53,1.6035017459491658e-53,3.0251683065185958e-55,5.0481636841076637e-67,1.8129295600244528e-34,1.7736901061540993e-71,5.4637329854422941e-58,5.3815411062176931e-65,3.3341701865118794e-71,6.4810848483564932e-72
2.0806516346412408e-16,0.0021535468543181233,1.9078020051610785e-32,9.6744141247120334e-28,5.151415256482351e-22,1.9077965446288746e-32,1.2228376893492684e-20,2.5001085753333801e-33,4.8097319438781573e-58,5.7912510751388736e-46,3.239075997479864e-49,9.8938861874587367e-46,5.580339608432193e-39,1.0173687905550305e-25,3.4870554225768197e-39,4.3088688400058343e-57,2.0517801988383652e-52,7.7751765790558712e-41,2.9079097727264934e-53,1.7241776043097103e-78,5.1658814668448749e-50,1.6214725127943093e-67,1.1785748664715868e-40,1.9511808591999615e-59,3.6237777635964436e-31,4.921466972548456e-47,2.7823839874717954e-49,9.6417384605292031e-41,7.2515778999553489e-74,2.0213929068417397e-80,1.3766390835024118e-48,1.4723959129479889e-61,2.2330784723416502e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998188146,0.108803,0.0001,1.0025188478315161e-14,8.4437587182142433e-14,8.4437599905792168e-14,3.7003629401869268e-20,5.3723393030084191e-20,2.2827594509451577e-15,3.9475671108319743e-20,5.2044191605277842e-28,4.4854599146095787e-28,1.7260182421328145e-32,1.544509611286621e-24,1.9931355240234212e-19,3.7760072964685394e-23,5.1229403390782888e-33,1.7939601697196914e-36,1.1004570264946993e-38,2.154647112666982e-42,1.8752402401527053e-19,6.0467565352664521e-50,6.9909869416470385e-57,4.9258007454733623e-59,1.9742299997107811e-66,1.2122075704486441e-63,1.9258694413803668e-24,3.6237762469455218e-31,1.356617248068799e-37,1.6121206976877168e-38,2.706687247981332e-21,1.797144087973545e-44,3.9685804124423154e-53,1.0890641218647229e-31,7.8034562150057503e-60,3.3105120711505246e-24,2.328060182739583e-29,3.4894712026323817e-36,1.2685734088712688e-42,8.631981228432161e-43,7.5362174206190741e-44,2.5662039497614026e-50,7.2270421990979256e-34,3.9447459568314019e-40,6.5846340808233433e-48,5.5938964543468442e-42,3.3989910608666066e-48,3.0632596233445734e-39,1.1796211104873371e-41,1.4002470750912304e-31,3.3968547671765119e-38,1.3653974539312797e-50,3.4235117340838927e-58,3.4935289295802961e-38,6.2014944327936387e-39,7.4916464475684877e-41,3.6814284729473403e-47,4.8775091055822595e-49,2.7221829273124484e-47,1.8054248058865584e-49,2.6545896877632122e-62,1.0557048565172309e-67,1.4672814429567875e-68,6.8923645744953591e-46,3.5005659471716786e-52,2.5809391111079366e-52,4.7619977055176964e-54,1.2750419335921607e-65,7.2897100626093593e-34,1.1474071794919692e-69,1.7601547454328825e-56,3.4677250700493742e-63,4.2971370890863543e-69,8.3529148451626281e-70
4.16855292654604e-16,0.0021535468543181233,7.6511229099222169e-32,3.8798676033314365e-27,1.0320763683155264e-21,7.6511146812524509e-32,2.4505560213324439e-20,1.0028772491010961e-32,1.9289169358686204e-57,1.089992075923036e-45,1.3209832446435791e-48,5.2185416116537007e-45,1.1180123906077851e-38,2.0382824445160511e-25,1.3984652029934921e-38,3.5105110387239766e-56,1.6464243150010344e-51,3.1181935929055263e-40,2.3334197468461859e-52,5.5352525191935152e-77,8.2912676956935144e-49,1.2660518180524102e-66,9.4560057082411737e-40,1.8841613552421788e-58,2.9078514368091499e-30,7.9000390080285287e-46,1.1158884465280174e-48,7.7368662137211269e-40,5.8189313055269997e-73,3.2066980970403258e-79,2.2095131743228108e-47,4.7269297944659461e-60,1.4364464312193516e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996369999,0.108803,0.0001,2.0085307925371595e-14,1.6916926473920521e-13,1.6916929964498765e-13,1.1215639553383451e-19,2.1545463602583822e-19,4.5726779997869274e-15,1.5830736625020359e-19,3.1632066791811118e-27,2.231386987085019e-27,1.3850233863422248e-31,6.1941705225441615e-24,7.9921742663216232e-19,1.5143468885218223e-22,4.0504341521059474e-32,1.4395388973052548e-35,8.8287427957462754e-38,3.4580292741144304e-41,7.5194318749927174e-19,1.941123803336192e-48,4.4887283464666457e-55,3.1627268956923353e-57,2.5352725291764756e-64,7.7835757459147906e-62,7.7235921317869773e-24,2.9078490021958594e-30,2.1767952869776802e-36,2.5876331632466006e-37,5.4161705220800392e-21,2.8848173967753737e-43,4.2502545448485075e-52,8.7378385998250201e-31,5.0103939561820405e-58,1.326262233086989e-23,1.7869052040417904e-28,5.342716297200036e-35,3.8789200283292574e-41,2.6394745318777133e-41,2.3047356486300035e-42,1.2655438437395989e-48,2.8983644244255299e-33,3.1654091576675058e-39,7.6476488137991641e-47,4.4882251090093337e-41,4.040573622437581e-47,2.4461808577407045e-38,1.88468313253246e-40,1.123558298106517e-30,5.2021193626440515e-37,4.3637939819529906e-49,2.1819623095933267e-56,5.4924795038435739e-37,9.9543277566296485e-38,1.1470429280443944e-39,1.1181641282848608e-45,1.3911610187782051e-47,8.3194944276499293e-46,5.5213956190935157e-48,1.6969616312456446e-60,1.3437182834290267e-65,9.3795006985990858e-67,5.5252498731965462e-45,5.594194349273071e-51,4.1383271677773241e-51,7.3131943014009196e-53,2.7504603972116434e-64,2.9234998052719474e-33,7.3825268292828797e-68,5.6511049610647392e-55,2.22679508250575e-61,5.5189522417850214e-67,1.0727864619539313e-67
