Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132)
0.0,0.0036994029774040376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6446721088256183e-20,0.0036994029774040376,1.895170643485979e-35,2.109362586839256e-31,7.2902691591610612e-22,1.352212612118296e-35,4.5676719358443926e-22,4.3955660503901131e-38,4.1447143196561082e-57,2.8951001391166313e-47,4.1590855740182093e-51,1.3403866426605398e-51,1.4963567584010774e-36,4.4235305124945436e-27,1.3210486626729576e-43,5.362333296861094e-63,1.6280370371129775e-58,1.0484389743003549e-44,1.3581012781229391e-60,7.1542887809355988e-86,4.0363340503044479e-58,1.285558967917076e-74,7.9101293499423948e-45,1.0109761093940817e-69,7.0639168193550143e-39,1.3027652391183123e-56,5.1232009192337776e-51,1.6896521303530029e-47,1.9485893907260296e-75,9.3292577428554694e-91,8.4725220132886734e-57,5.6217881596618376e-73,2.1645909988449814e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991581,0.108803,0.0001,3.0988711469517578e-17,2.2769772265074535e-16,2.2769662986847347e-16,1.2129288020695445e-26,1.2132018346139736e-26,3.5404474694009243e-16,7.1291892165368154e-27,1.1224635316525327e-37,1.3170319534007537e-37,2.185293159464683e-42,1.8815417521484803e-30,4.5811519532225715e-24,4.3913362218108805e-29,1.9483670549318911e-42,1.1791012026015521e-44,9.9401167792559736e-46,1.6211344972399597e-52,7.5651845322920012e-24,1.5945891770151185e-63,1.8224209273018715e-74,4.1838456914070279e-75,1.5259333341736634e-86,3.0084422874508944e-80,4.4239537619402559e-29,7.0639247292326086e-39,2.2117063564085505e-49,3.0585455538822751e-50,9.3000314133196257e-23,3.1155304614342439e-55,4.5385454330231261e-63,2.3704279138317576e-38,1.8669873468552187e-77,1.4403969644739808e-29,7.4146884804459565e-34,7.9698038879688516e-44,2.4953361713246906e-54,2.1232153577289844e-54,1.7253870826079206e-55,7.2711254706050651e-65,3.4676013906638112e-37,1.8475900900562811e-47,2.7842845072357655e-58,1.529419183847379e-47,1.7090491644231957e-58,4.2407651489851181e-46,1.4426178132613059e-51,3.7671576349095642e-41,1.0035880809698959e-51,1.7712380300591431e-64,3.2804049464535408e-75,1.0035936336779705e-51,1.2002316236969694e-51,1.2211162435774994e-47,6.5062693117354168e-58
4.605081904711731e-20,0.0036994029774040376,9.6876466247472663e-35,1.2740501539788244e-30,2.0412753640350996e-21,8.1673641754202732e-35,1.2789481539180273e-21,2.6549219231037563e-37,2.5034074492190478e-56,1.748562318938228e-46,2.51208768686874e-50,1.591255999533786e-50,4.189798923429148e-36,1.2385885435627129e-26,7.9791339228912278e-43,6.3661620903792938e-62,1.9328055705277361e-57,6.3325714050479805e-44,1.6123378414706538e-59,2.9522372271544979e-84,9.0291175507241165e-57,4.0418281497052628e-73,9.3909052741577348e-44,3.183390340182194e-68,8.3862820463376992e-38,2.9142337284031914e-55,3.0944133551603565e-50,1.4994049718201231e-46,2.3133653247583572e-74,5.3729463748995872e-89,1.8952692283551859e-55,2.3198465350229211e-71,2.4612575095906098e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976472,0.108803,0.0001,8.6768392114636045e-17,6.375536233595754e-16,6.3755056359214358e-16,7.3244643499943147e-26,7.3277390766509836e-26,9.9132525136765441e-16,4.3060301990853918e-26,1.331554224093862e-36,1.5601066638051466e-36,2.5943839030910871e-41,1.136451215994506e-29,2.7670156864317266e-23,2.6523670777564302e-28,2.3130925217753826e-41,1.3998289449917254e-43,1.1800904932295463e-44,3.6264125234988719e-51,4.5693713034071598e-23,6.5801159995483431e-62,1.3718728035733449e-72,3.1494941883141954e-73,2.0828912059723576e-84,2.2646800033528229e-78,2.6720680716550268e-28,8.3862914366798064e-38,4.9474980681291961e-48,6.8418438764721495e-49,2.6040083264756821e-22,6.9693170263544424e-54,1.0152233619369171e-61,2.8141719323166167e-37,1.4054212876105452e-75,8.6999963129356995e-29,4.4789088854184527e-33,9.4625967493055067e-43,5.5824433512998903e-53,4.7499528613251584e-53,3.8599513854139336e-54,2.9921896218770816e-63,2.094431239568734e-36,2.1934589534433685e-46,6.2229885554877121e-57,1.8157263385304454e-46,3.8195700887225112e-57,5.0346321556540205e-45,2.0618312467114437e-50,4.4723694601800147e-40,2.2449655738932389e-50,4.7338324390679619e-63,1.6109080185674146e-73,2.2449884869887838e-50,2.6848700846496731e-50,1.4498387613419254e-46,1.4555466295455898e-56
1.0525901496483956e-19,0.0036994029774040376,4.2797273869697405e-34,6.1339924610144848e-30,4.6657722581530953e-21,3.9322342733786515e-34,2.9233101221115919e-21,1.2782306502245761e-36,1.2052829243713156e-55,8.417778822821247e-46,1.2094620851653886e-49,1.5621957958102274e-49,9.5766832531098158e-36,2.831059528446193e-26,3.8416095115740321e-42,6.2503356918853083e-61,1.8976399706672271e-56,3.0488605376761759e-43,1.5830028619905291e-58,1.1678756255773465e-82,1.7840013591638272e-55,9.0162695894899121e-72,9.2200458710018957e-43,7.136511887751846e-67,8.2337014396783798e-37,5.7580347539357991e-54,1.4898268272278871e-49,1.2096334560684946e-45,2.271275794095433e-73,2.4092369556503785e-87,3.7447323732011727e-54,9.1770815837798395e-70,2.227956339593189e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946218,0.108803,0.0001,1.9832775340482032e-16,1.4572654245273186e-15,1.4572584308811541e-15,3.5247596101217746e-25,3.5279909284314714e-25,2.2658860999643803e-15,2.0731680926153411e-25,1.3051418253605147e-35,1.5244141077440124e-35,2.5471831986626801e-40,5.4715233806990833e-29,1.3321988480250723e-22,1.2770005729766901e-27,2.2709892173452949e-40,1.3743603532679353e-42,1.1586194822987434e-43,7.1651778753179621e-50,2.1999554308447152e-22,2.6030276762035454e-60,1.0846982529614299e-70,2.4902096141506261e-71,3.2904566424975774e-82,1.7906139173686504e-76,1.286485753136886e-27,8.233710658611525e-37,9.7754199373257554e-47,1.3518329747435719e-47,5.952016819748925e-22,1.3770196034713033e-52,2.0057749546591636e-60,2.762970506710531e-36,1.1112240230811837e-73,4.1886723439602287e-28,2.1568469747545104e-32,9.2922246889089446e-42,1.1032026289308183e-51,9.3868578554871651e-52,7.6280382805700809e-53,1.1765223409852531e-61,1.0083784838167958e-35,2.1535510044085304e-45,1.2272528566224411e-55,1.7826906394398628e-45,7.5317163906287891e-56,4.943022747091537e-44,2.7638950862787326e-49,4.3909986788996092e-39,4.4355836396395885e-49,1.2689964623653392e-61,8.6219111349171939e-72,4.4356742788581105e-49,5.3048506391266917e-49,1.4237347199904756e-45,2.8764346611256695e-55
2.2367540680028405e-19,0.0036994029774040376,1.7911522941315963e-33,2.6788735123193518e-29,9.9147660379091224e-21,1.7173100146401746e-33,6.2120342486042778e-21,5.582369324885523e-36,5.2637871881657342e-55,3.6755659108683808e-45,5.2820386814843365e-49,1.3815508529150309e-48,2.0350451910969254e-35,6.0160014992410056e-26,1.6777318021356294e-41,5.5283511379583995e-60,1.678441064219505e-55,1.3315174977858819e-42,1.400148118973528e-57,4.1680647041272585e-81,3.1745346878945968e-54,1.6883365875944351e-70,8.1550250661058385e-42,1.3500338634854739e-65,7.2826156736623644e-36,1.0246115184956277e-52,6.5064651665453997e-49,9.5681118534124966e-45,2.0089177188109988e-72,9.0625089830565721e-86,6.6635503131883293e-53,3.2752348139065923e-68,1.6885533138549907e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999885711,0.108803,0.0001,4.214464759849782e-16,3.0966890258641747e-15,3.0966741648258569e-15,1.5379032072334295e-24,1.5407663231132558e-24,4.8150071561244043e-15,9.0540689456292738e-25,1.1505133330068449e-34,1.3355060805509099e-34,2.2529553762145298e-39,2.3895579895274549e-28,5.8180615342149946e-22,5.5769969983339408e-27,2.0086309139214408e-39,1.2156061580164115e-41,1.0247851675432516e-42,1.2750043443043065e-48,9.6077819675045735e-22,9.2900153212285261e-59,7.7529649485728505e-69,1.7798966498342509e-69,4.7068881619726199e-80,1.2798552902287308e-74,5.6184212690322328e-27,7.2826238267073941e-36,1.7394828468424865e-45,2.4055142632524774e-46,1.2648026298247075e-21,2.4503328179414388e-51,3.5686851760299745e-59,2.4438157957753544e-35,7.9425599554498254e-72,1.82930204852877e-27,9.4234285339300469e-32,8.2220536949371275e-41,1.9638262354930177e-50,1.6709673630576685e-50,1.3578780405598544e-51,4.1485997884864602e-60,4.4038537600660258e-35,1.9047914696679225e-44,2.1756364267330187e-54,1.5767692431494242e-44,1.3348584008944732e-54,4.3720317058938116e-43,3.7602707365111997e-48,3.8837882885549001e-38,7.892562261049462e-48,3.45102390025253e-60,4.6880292085439658e-70,7.8928857265831051e-48,9.439697528636953e-48,1.2597654175742055e-44,5.1203201184111654e-54
4.605081904711731e-19,0.0036994029774040376,7.3214594410514504e-33,1.1183765249857644e-28,2.04127535635013e-20,7.1694312447007244e-33,1.2789483262011874e-20,2.3305295162557971e-35,2.1975275342542608e-54,1.5338923058748523e-44,2.2051471735741078e-48,1.1609511091810172e-47,4.1897989220680542e-35,1.2385885444942037e-25,7.0042000144063596e-41,4.6469122417596015e-59,1.4108308485632767e-54,5.5588234455603447e-42,1.1769088835792953e-56,1.4082945572981029e-79,5.3543153607776609e-53,2.9151072721150196e-69,6.8547881062932539e-41,2.3785744971668126e-64,6.1214772740792637e-35,1.7281570834238101e-51,2.7163211265844196e-48,7.5758818095527513e-44,1.6886163895596003e-71,3.1369214987321975e-84,1.1239048650224404e-51,1.1066275386068405e-66,1.1741085346527356e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999764697,0.108803,0.0001,8.6768392114445102e-16,6.3755362245516416e-15,6.3755056301819896e-15,6.408341019954254e-24,6.4323960655109162e-24,9.9132467043120239e-15,3.7798948991978676e-24,9.6062865582856232e-34,1.1015902986461318e-33,1.8937450293598816e-38,9.9759340485724794e-28,2.4289254638590521e-21,2.3282864617782011e-26,1.6883192435836199e-38,1.0217902042280724e-40,8.6139259854626435e-42,2.1504785690757236e-47,4.0110586893661537e-21,3.1388824537676822e-57,5.2433277126149247e-67,1.2037435359673784e-67,6.3690961068678804e-78,8.6556585217709542e-73,2.3455802768120035e-26,6.1214841255277535e-35,2.9338890282383781e-44,4.0572504332847593e-45,2.6040015223117588e-21,4.1328444707106355e-50,6.0174757103697679e-58,2.0541738759071527e-34,5.3715507634945562e-70,7.6369658384850392e-27,3.9373645721750345e-31,6.9164915802266557e-40,3.3147641475108417e-49,2.8204438334993928e-49,2.2919788392232373e-50,1.3689231023301783e-58,1.8385222518632831e-34,1.6010919932331149e-43,3.6421786891687814e-53,1.325368817646322e-43,2.2335231460418603e-53,3.6749292750690617e-42,5.3739727239437441e-47,3.2645575399832519e-37,1.3310873872760664e-46,9.8464145674450294e-59,2.6728286401244941e-68,1.3311966658586507e-46,1.5921427097693706e-46,1.0597299929503069e-43,8.6424394596233236e-53
9.341737578129511e-19,0.0036994029774040376,2.9597865830358596e-32,4.5689321432219289e-28,4.1408728479006065e-20,2.9289465853974248e-32,2.5944384330515968e-20,9.5209752415468901e-35,8.9776170216093591e-54,6.2616817783206087e-44,9.0087457356099187e-48,9.5128440853724859e-47,8.4993063816072786e-35,2.5125653352789718e-25,2.8614442495341192e-40,3.8098194139503414e-58,1.1566843691603899e-53,2.2709607591276829e-41,9.649010484863354e-56,4.6301623935880188e-78,8.7944744912862302e-52,4.8399272425076418e-68,5.6199664227757646e-40,4.1075073278934252e-63,5.0187568967303729e-34,2.838503189517835e-50,1.1097058112382563e-47,6.0217426333412864e-43,1.3844297389279534e-70,1.0429171783286679e-82,1.8460161570601779e-50,3.6383473845308026e-65,7.8289831808890561e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999522651,0.108803,0.0001,1.7601588114600255e-15,1.2933230606047366e-14,1.2933168550761166e-14,2.6081784377440991e-23,2.6278436496921566e-23,2.0109715544167877e-14,1.544209865279334e-23,7.7721082824024744e-33,8.7054459365364245e-33,1.5526067266753151e-37,4.0754944247613059e-27,9.9229473553692263e-21,9.5118098843281206e-26,1.3840941809877888e-37,8.3772531493529174e-40,7.0621991989178165e-41,3.532158912596517e-46,1.6386474103922649e-20,1.0319934046506598e-55,3.4492278970864277e-65,7.9186082259759874e-66,8.3813525349980548e-76,5.6939694380752026e-71,9.5824607407378422e-26,5.0187625112114735e-34,4.8189115480632607e-43,6.6640428362945125e-44,5.2823872944896066e-21,6.7882095356709212e-49,9.8783610696562589e-57,1.6841349471962267e-33,3.5335771131799904e-68,3.1199414667755124e-26,1.6112130772428352e-30,5.6793476296693608e-39,5.4526710583956585e-48,4.6395295743527236e-48,3.770229582895029e-49,4.2998462815387529e-57,7.5109632699934878e-34,1.3126719346908563e-42,5.8943872336420661e-52,1.086616220729229e-42,3.6110890475644347e-52,3.0128850869336134e-41,8.0353485327035159e-46,2.6764806345851781e-36,2.1859583468250675e-45,2.9398017841139868e-57,1.5947453799228023e-66,2.1863175447074791e-45,2.6150983540189664e-45,8.7017745259665018e-43,1.4215833443058838e-51
1.8815048924965074e-18,0.0036994029774040376,1.1901384660096187e-31,1.8468352372108254e-27,8.3400677767296465e-20,1.1839270308777306e-31,5.2254198634279744e-20,3.8485318222487887e-34,3.6288963468354543e-53,2.5272239409210481e-43,3.6414790716714786e-47,7.6951256457729149e-46,1.7118321291073589e-34,5.0605189234267562e-25,1.1566415181190413e-39,3.0852905433958953e-57,9.3671299234507416e-53,9.1795864973106616e-41,7.8140195041673702e-55,1.5017807801207899e-76,1.4256207323895899e-50,7.8786941983416609e-67,4.551189632273738e-39,7.2033450696863786e-62,4.0643194280820767e-33,4.6013359594669482e-49,4.485608312918154e-47,4.8002535442508768e-42,1.1211470977444485e-69,3.3975967223682104e-81,2.9924686328846899e-49,1.1800880551611173e-63,5.1138180172570937e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999038559,0.108803,0.0001,3.5451085920776888e-15,2.6048619306041235e-14,2.6048494351387153e-14,1.046396937240415e-22,1.0622163970067359e-22,4.0502612197884528e-14,6.241938840661791e-23,6.1323512266284866e-32,6.5736525091741187e-32,1.2573412727470565e-36,1.6473798941973664e-26,4.0110093643685733e-20,3.8448256253981005e-25,1.1207264689596442e-36,6.7841163343673282e-39,5.719123253088084e-40,5.7257539438528493e-45,6.6236672155959165e-20,3.3472298386300633e-54,2.2379660980963499e-63,5.1378387778132369e-64,1.0877327466243895e-73,3.694426274768533e-69,3.8733838142538089e-25,4.0643239703797987e-33,7.8116308893489706e-42,1.0802690289313412e-42,1.0639110788092745e-20,1.1003980448186152e-47,1.5995904314225268e-55,1.3638546798149559e-32,2.2926945014606045e-66,1.2611235414847375e-25,6.5343761973733334e-30,4.6135198651049885e-38,8.8654734641932023e-47,7.5433843146211686e-47,6.1300142864938492e-48,1.2807135008969122e-55,3.0360514244293315e-33,1.0630357413562168e-41,9.2820878228973243e-51,8.7996802592065921e-42,5.6757426932069917e-51,2.4398412544288252e-40,1.2385556705093891e-44,2.1674819965679614e-35,3.5423768206244873e-44,9.0531642452879757e-56,9.8167031677486418e-65,3.5435413115526769e-44,4.2391844409245536e-44,7.068736105530642e-42,2.3111258549108356e-50
3.7761671618636196e-18,0.0036994029774040376,4.7729847699106538e-31,7.4260428075534728e-27,1.6738457417299483e-19,4.7605184496571303e-31,1.0487387590882978e-19,1.5474788470048647e-33,1.4591632661891331e-52,1.0131030345890482e-42,1.4642227252542047e-46,6.1798851577376121e-45,3.4356351071557666e-34,1.0156426126035294e-24,4.650804690252358e-39,2.4833102527794538e-56,7.5394811024949575e-52,3.6910713681616554e-40,6.2894037412500574e-54,4.8381784934995574e-75,2.2959134711180775e-49,1.2686757769087059e-65,3.6631854978706001e-38,1.3271481838860566e-60,3.2713178201362686e-32,7.4103096144337896e-48,1.8036433719730696e-46,3.8330303418509061e-41,9.0239672410422909e-69,1.0945927330171993e-79,4.8192684700903334e-48,3.8018031462867087e-62,3.3063050788102095e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998070393,0.108803,0.0001,7.1150081532590715e-15,5.227939645808576e-14,5.2279145790509702e-14,4.1455279549390241e-22,4.2711252392196662e-22,8.1288241401997996e-14,2.5098526710511855e-22,4.6940722490068096e-31,4.65796482606136e-31,1.0120177385716833e-35,6.6240411844330447e-26,1.6128055162453482e-19,1.5459874653978526e-24,9.018185846867202e-36,5.4604462885073435e-38,4.6032016531565292e-39,9.2210604628427563e-44,2.6633413319833694e-19,1.0783443496516876e-52,1.4421229293667932e-61,3.3107718610529008e-62,1.4019237858471291e-71,2.380654115019235e-67,1.5574705738205677e-24,3.2713214690017274e-32,1.2580286399501808e-40,1.739736643788849e-41,2.1352365575748465e-20,1.7721572138156632e-46,2.5705275570249516e-54,1.0977465413556881e-31,1.4773893826637585e-64,5.0708685506049415e-25,2.6448106031311024e-29,3.736280153637253e-37,1.4362791986330574e-45,1.2220879847414012e-45,9.9311726923653087e-47,3.5500673585533804e-54,1.2207829093113444e-32,8.556236070936707e-41,1.4139581621336204e-49,7.0827166433430829e-41,8.6159291122569622e-50,1.9636818894872687e-39,1.9430994921097672e-43,1.7445758020541926e-34,5.7011692802951182e-43,2.8388887002835635e-54,6.1544927847276385e-63,5.7049172464729932e-43,6.8270672144595956e-43,5.7246482524874919e-41,3.7434998891090022e-49
7.565491700597844e-18,0.0036994029774040376,1.911678388214182e-30,2.9781751467295364e-26,3.3535235830081406e-19,1.9091807611608231e-30,2.1011342512602022e-19,6.2060913487875117e-33,5.8518973689972898e-52,4.0384606213297292e-42,5.8721880687571349e-46,4.9369727157381423e-44,6.8832410478731612e-34,2.0348240636504112e-24,1.8651807091197595e-38,1.9927000992825611e-55,6.0499587940534246e-51,1.4802847145623709e-39,5.0468520785484272e-53,1.5534322959765704e-73,3.6854342788978762e-48,2.0274406324831402e-64,2.9394630440432238e-37,2.6600550933312133e-59,2.6250264606346363e-31,1.1895187755845501e-46,7.2334166036947676e-46,3.0634914522714121e-40,7.2411654373720604e-68,3.4993543087444762e-78,7.7359610634910596e-47,1.2206743032865882e-60,2.1268097738435985e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999996134042,0.108803,0.0001,1.4254807275406073e-14,1.0474094980114954e-13,1.0474044802023716e-13,1.6148222683617067e-21,1.7129121114106407e-21,1.6285884340222767e-13,1.0065603834799323e-21,3.4292465855282136e-30,3.0103671350746066e-30,8.1208063444016935e-35,2.6565360475885829e-25,6.4680417228309527e-19,6.2001011302030352e-24,7.2326842117562228e-35,4.3816630680135147e-37,3.6937051345930444e-38,1.4801556076885261e-42,1.0681140834352008e-18,3.4622712259020745e-51,9.2610331982884678e-60,2.1261133923456758e-60,1.8006252734518549e-69,1.5288134577765947e-65,6.2461534192575911e-24,2.6250293771111916e-31,2.0193810851201553e-39,2.7926519338709984e-40,4.2778106380533986e-20,2.8447050779467544e-45,4.1085518301005204e-53,8.8086868208714087e-31,9.4875077460404463e-63,2.0336019830039105e-24,1.0746165863394555e-28,3.0349090125732944e-36,2.3329045260412504e-44,1.9849938994852199e-44,1.6131058025642087e-45,8.9398808222308231e-53,4.8958853525445709e-32,6.865839963214236e-40,2.0475801582563487e-48,5.6833833657729661e-40,1.2403010260385633e-48,1.5755471343632134e-38,3.0774948300527246e-42,1.399908560751736e-33,9.1397213524254122e-42,8.9896238591383117e-53,3.8967614067342888e-61,9.1517322420095193e-42,1.0958927112825198e-41,4.6500224489755741e-40,6.0781385713286245e-48
