Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997)
0.0,0.002179718695160773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1896628483118527e-18,0.002179718695160773,2.7217581858333113e-37,1.5766411447722338e-32,1.0684724270860515e-24,2.7211000962583027e-37,3.4848340901641481e-23,4.9953673598218481e-38,2.5718919191531995e-63,1.5801696233144794e-50,3.2037972171549745e-54,1.7727610759712614e-52,6.7270475810276801e-42,2.8444655372512391e-28,6.3410873311915242e-44,4.1238816788082803e-64,2.2276051247155579e-59,1.239675093233872e-45,3.9811038292358317e-60,4.7880904036524758e-90,4.0911140281684386e-59,1.4571095923256074e-76,9.0817323218335899e-48,3.2293623196649809e-68,6.124590197554948e-38,5.197454315765296e-56,2.8395342270356609e-54,1.3122159669699078e-47,2.6744344168676264e-81,1.617169714556533e-91,1.1135696135813396e-57,1.0740944578488236e-72,7.331190257866779e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993281,0.108803,0.0001,3.9216118785057381e-17,3.1299106641877747e-16,3.1299103943218324e-16,1.6449773279376692e-24,1.6512542845201125e-24,5.9409312201315601e-18,1.2414702476722983e-24,1.9767766302758318e-34,2.9482779880430566e-34,4.323685164896129e-39,3.9962551091437268e-29,4.3387742512428705e-24,9.8874035584423664e-28,1.1548706774586183e-39,3.1692136445671262e-43,1.4829157618797369e-45,2.5841228939731439e-51,3.8556610144974592e-24,7.3639823726938102e-61,9.349111481435666e-70,4.9373334393188723e-72,2.2106914128360053e-81,1.3003572484020952e-76,3.9260304220951182e-29,6.1245901713256411e-38,2.4292926110643037e-46,2.8445505711150365e-47,7.6946207308546097e-24,2.5450749917767747e-53,7.3690680649385046e-62,1.5288580415958919e-38,1.0533681598479577e-72,8.0026644921577275e-29,3.4474351379186658e-35,4.6694430489087628e-44,1.8521190654624583e-52,1.2317329176324641e-52,1.0843562317382288e-53,4.4971462279314709e-62,1.0794225420156218e-38,5.6947352877935371e-47
3.3310559752731875e-18,0.002179718695160773,1.6437285159034376e-36,9.5229123999656091e-32,2.9917227535689043e-24,1.6435444386858448e-36,9.7575613463755581e-23,3.017208670672372e-37,1.5534227132943856e-62,9.4416121443506375e-50,1.9350935189339774e-53,2.0968915316481848e-51,1.8835733175068771e-41,7.9645035050142933e-28,3.8300167483252741e-43,4.8958723285472363e-63,2.6446128028532404e-58,7.4876375636759638e-45,4.7263665462878535e-59,1.9758166453999302e-88,9.1516475067413678e-58,4.5329601951566347e-75,1.0781819133300342e-46,1.0047422979538262e-66,7.2711134384480159e-37,1.1626497336755403e-54,1.7150786698925155e-53,1.5575832127116895e-46,3.1750885220843282e-80,9.2173302495131945e-90,2.4910077078074589e-56,4.4322757012045949e-71,8.3386998510615969e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981208,0.108803,0.0001,1.0980513259809245e-16,8.7637497665658145e-16,8.7637490505965503e-16,9.8993046360432489e-24,9.9735757989879776e-24,1.6634580213305517e-17,7.4984771481417141e-24,2.3392107067089948e-33,3.4640948347283479e-33,5.1330791413598371e-38,2.4137380653201105e-28,2.6206160717067968e-23,5.9719916963259041e-27,1.3708797872815406e-38,3.762490402376142e-42,1.7605148765579558e-44,5.7805710284578976e-50,2.3288160748974118e-23,3.0387635715102516e-59,7.0377677694367684e-68,3.7166960971372103e-70,3.0175786285888664e-79,9.7887541375662076e-75,2.3713223592441196e-28,7.2711133788209329e-37,5.4342117151699683e-45,6.3631422232781027e-46,2.1544678607167472e-23,5.6932310009973943e-52,1.6426469227350173e-60,1.8150579985406836e-37,7.9294813253943013e-71,4.8335605283743882e-28,2.3318173574178948e-34,6.1520168648020524e-43,4.57752403082376e-51,3.0442365864179407e-51,2.6799970366444162e-52,2.0418330683256609e-60,6.5197120777910317e-38,6.7607897097672913e-46
7.613842229195857e-18,0.002179718695160773,7.9133787201857135e-36,4.5848722790531261e-31,6.8382232374461015e-24,7.9129587881062798e-36,2.2303119434459659e-22,1.4526630032718586e-36,7.479061612683607e-62,4.4426258446482833e-49,9.3166423040220454e-53,2.0406440132835747e-50,4.305310415591603e-41,1.8204579443383717e-27,1.8439881963390955e-42,4.8067964831405896e-62,2.5964965296203038e-57,3.6049751719391158e-44,4.6403748631462649e-58,7.8161143165086738e-87,1.8082066027085891e-56,9.8903801250192867e-74,1.0585625408979434e-45,2.193032351039249e-65,7.1388221975933549e-36,2.2971999204895376e-53,8.2573654846195189e-53,1.5290995290464105e-45,3.117320701637925e-79,4.0438279960033964e-88,4.9217985956200439e-55,1.7533596827227592e-69,7.5489931872695539e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999957043,0.108803,0.0001,2.5098316022388983e-16,2.0031427601551578e-15,2.0031426149127665e-15,4.72945059218834e-23,4.8018473401262641e-23,3.8021769387955637e-17,3.6101907590015789e-23,2.2806735122387658e-32,3.3269758815182855e-32,5.0396876935186801e-37,1.1621109549522915e-27,1.2617101882101377e-22,2.8752568756614597e-26,1.3455511087680222e-37,3.6940353114352157e-41,1.7284781926466026e-43,1.1421397399061144e-48,1.1212214562402168e-22,1.2021008250906458e-57,5.564533762241341e-66,2.9386705565437632e-68,4.7670196386884797e-77,7.7396542639795513e-73,1.1416896231932407e-27,7.138822078709366e-36,1.0737005813961042e-43,1.2572481088689347e-44,4.9243756641791877e-23,1.1248865239991886e-50,3.218005063859987e-59,1.7820299011325659e-36,6.2695826388380974e-69,2.3271015984503516e-27,1.3768564172482227e-33,7.3288737548948038e-42,1.0922807561797868e-49,7.2641084334025788e-50,6.3949813489104884e-51,9.6946558897357969e-59,3.1389606385627037e-37,6.6377833779783551e-45
1.6179414737041197e-17,0.002179718695160773,3.4558857680606359e-35,2.0023340790647234e-30,1.4531223528843679e-23,3.4557968207074261e-35,4.7394649913253284e-22,6.3442216751392041e-36,3.2663026461227503e-61,1.8521844965579674e-48,4.068822462183326e-52,1.7715455599200204e-49,9.1487845288670846e-41,3.868473133149592e-27,8.0531809150464345e-42,4.2515570520372121e-61,2.296571771505607e-56,1.57438736924918e-43,4.104359300149027e-57,2.7895014672750982e-85,3.2175901408345339e-55,1.7710384900000373e-72,9.3628150057438319e-45,3.9301809897763101e-64,6.3142072230500793e-35,4.0877444122962353e-52,3.6062084234847259e-52,1.3524087353085218e-44,2.7572347915834323e-78,1.4556587200763147e-86,8.7580316389352176e-54,6.2575838841412445e-68,5.7214648991402312e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999908714,0.108803,0.0001,5.3333921547439329e-16,4.2566781814784144e-15,4.2566779490116661e-15,2.0339706792201037e-22,2.0970928181314117e-22,8.0795712494893528e-17,1.5766623368847458e-22,1.9893761773576984e-31,2.8189057057888848e-31,4.4575469359401789e-36,5.0752436728773784e-27,5.510187870849264e-22,1.2557001708112822e-25,1.1894372165269584e-36,3.2673322637806137e-40,1.5288091532571656e-42,2.0323634709144056e-47,4.8966402319974305e-22,4.290185068879452e-56,3.9772708507425463e-64,2.1004255265045356e-66,6.8190231258804452e-75,5.5319535706996255e-71,4.9860583926898342e-27,6.3142070105579455e-35,1.9105639333244166e-42,2.237200235390619e-43,1.0463776215021574e-22,2.001675528008059e-49,5.6238915729485053e-58,1.576176719122887e-35,4.4812071274789163e-67,1.0162627164651246e-26,8.2462907299570396e-33,8.7748138337826738e-41,2.6151608145916761e-48,1.7391897710877271e-48,1.5311087566708098e-49,4.6042111159301772e-57,1.3708665116748601e-36,5.8710441405546395e-44
3.331055975273187e-17,0.002179718695160773,1.4427452431509234e-34,8.3593497798987356e-30,2.9917221406189253e-23,1.4427269996484138e-34,9.7579368081187253e-22,2.6486383836005947e-35,1.3636170134330697e-60,7.0412439815442018e-48,1.6986532812824916e-51,1.4309707542232437e-48,1.883573242384218e-40,7.964503515321454e-27,3.3620445069954153e-41,3.5736898742956403e-60,1.9304069451159913e-55,6.572757351905419e-43,3.4499617755964783e-56,9.4249989241114534e-84,5.4268790442717522e-54,2.7945967540743163e-71,7.8699247227093893e-44,6.213123592550794e-63,5.3074713510194778e-34,6.8945780665485811e-51,1.5055210221500728e-51,1.1367551668294165e-43,2.3176218663377333e-77,4.6118405020004031e-85,1.4771545252484151e-52,2.1142743465490712e-66,3.9783517455184992e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999812072,0.108803,0.0001,1.0980513259710356e-15,8.7637484583722636e-15,8.7637482747802186e-15,8.2390952515950948e-22,8.7549491080648952e-22,1.6634185777474923e-16,6.5822313704104734e-22,1.6271650043546602e-30,2.1848348285953741e-30,3.7468371862733028e-35,2.1188141788495461e-26,2.3003682231441428e-21,5.2423006480970662e-25,9.9863901833456651e-36,2.7463894150536308e-39,1.2850389953853047e-41,3.427833598881871e-46,2.0442271395947914e-21,1.4495380585924703e-54,2.6897961016247096e-62,1.4205007949852262e-64,9.227012664878858e-73,3.7412254411684159e-69,2.0815811107609342e-26,5.3074709918381876e-34,3.2223478561755259e-41,3.7733462950647212e-42,2.1540917341283322e-22,3.3761185545111148e-48,9.1279461761296425e-57,1.3248571250428426e-34,3.0306041485269595e-65,4.2423317018507747e-26,5.3087936333856682e-32,1.1231937008080522e-39,6.6767223834751264e-47,4.4403066193837218e-47,3.9090950130782695e-48,2.3105464691635761e-55,5.7230972800573897e-36,4.9349662181601153e-43
6.757284978411324e-17,0.002179718695160773,5.8940464848708909e-34,3.4150664576534115e-29,6.0689206338903731e-23,5.8940093547297948e-34,1.9795543325724282e-21,1.0820966518332906e-34,5.5708200773488937e-60,2.3848707834950777e-47,6.9395528966640885e-51,1.0765083091257208e-47,3.8209626887489007e-40,1.6156564297863527e-26,1.3735048836832932e-40,2.929926866509438e-59,1.5826642313124173e-54,2.6851858453656307e-42,2.8284878846163061e-55,3.0986702643818474e-82,8.9134778046675513e-53,3.8763007743976611e-70,6.4520996562517116e-43,8.6591325771836244e-62,4.3513852191558674e-33,1.1324363987953523e-49,6.1505450166380098e-51,9.3196993583028763e-43,1.9001262474163158e-76,1.2851263998561306e-83,2.4261797557736028e-51,6.9511279997134704e-65,2.6527777676133368e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999618789,0.108803,0.0001,2.2274755469468615e-15,1.7777886871272784e-14,1.7777887556600646e-14,3.1760531350052663e-21,3.57668189260569e-21,3.3742718488180434e-16,2.6890370861793895e-21,1.2657071279652813e-29,1.5483044458929148e-29,3.0718841507489393e-34,8.6560461105987788e-26,9.3975362298079019e-21,2.1416505698062322e-24,8.1685743073195309e-35,2.2516556162364242e-38,1.0535243763713311e-40,5.6300809529610214e-45,8.3511406621856555e-21,4.7656422628682172e-53,1.7693928536951688e-60,9.3442918027721326e-63,1.2141923267644359e-70,2.461053801676458e-67,8.5039370809880431e-26,4.3513846285847322e-33,5.2923958432118567e-40,6.1976705370766109e-41,4.3688561682773347e-22,5.5452855384904466e-47,1.3800400148127186e-55,1.0861743357967582e-33,1.9935821116531746e-63,1.7328326417870909e-25,3.6934703874925074e-31,1.5530938223130063e-38,1.84084493523846e-45,1.2242468206472738e-45,1.0778060899742671e-46,1.2329733942837067e-53,2.3380715437884587e-35,4.0459832567850354e-42
1.3609742984687594e-16,0.002179718695160773,2.3824597088097063e-33,1.3804239095571543e-28,1.2223313291500052e-22,2.3824518569450974e-33,3.9873407896103926e-21,4.3743427807990549e-34,2.2518142541276847e-59,6.7144590461444796e-47,2.8050782231833324e-50,7.2802764900437497e-47,7.6957410509569891e-40,3.2540685935746341e-26,5.5519263588174122e-40,2.3727307307969946e-58,1.2816825075005647e-53,1.0853950538096985e-41,2.2905840907319681e-54,1.0050052935436871e-80,1.444852434653223e-51,4.4668307164504699e-69,5.2248506593907028e-42,1.0126941560728232e-60,3.5238638254123852e-32,1.8357278168031394e-48,2.4861504275429737e-50,7.547289212148493e-42,1.5387712021678268e-75,2.9840435966436433e-82,3.9327766372729135e-50,2.2544886376488371e-63,1.7327696993369777e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999232206,0.108803,0.0001,4.486323988828678e-15,3.5806155934486319e-14,3.5806160641377387e-14,1.152395662634892e-20,1.4457516157961724e-20,6.7956998755249595e-16,1.086936285478323e-20,9.2934103568965533e-29,9.8405894046564679e-29,2.4876924832724048e-33,3.4989113632001067e-25,3.7984577168047935e-20,8.6568918054679209e-24,6.5847601389840959e-34,1.8234485508805322e-37,8.5312563314953319e-40,9.1261304450743104e-44,3.3755075709934732e-20,1.5456456826478978e-51,1.1479842402458957e-58,6.0625879649425322e-61,1.5757078639573989e-68,1.5967517655173628e-65,3.4374265585399761e-25,3.5238628676534998e-32,8.5781638252009109e-39,1.0046489740614762e-39,8.7957314637343109e-22,8.9891490084884196e-46,1.8811458009711451e-54,8.7957394850585351e-33,1.293438537565489e-61,7.0019762469267898e-25,2.7249937028310197e-30,2.2812776841488553e-37,5.3955647354111569e-44,3.5883347729459769e-44,3.1592308302957702e-45,6.8003916128244391e-52,9.4508556869524866e-35,3.2765418609611974e-41
2.7314658997240134e-16,0.002179718695160773,9.5797462639654135e-33,5.5506193648669225e-28,2.4532081289847823e-22,9.5797264012636741e-33,8.0039743170873553e-21,1.75917348217653e-33,9.054443738155883e-59,1.4364442447519298e-46,1.1279096070726947e-49,4.1960704611765144e-46,1.5445295653288642e-39,6.5308929502749156e-26,2.2324051824941238e-39,1.9097801003185888e-57,1.0316095531241426e-52,4.3643257955552338e-41,1.8436633941471289e-53,3.2374944184578562e-79,2.3266947253674025e-50,3.9495897369533272e-68,4.2050491097446794e-41,9.4931431526769734e-60,2.8363109809105218e-31,2.9563818144976547e-47,9.9967632164625885e-50,6.074693476343807e-41,1.2385364553230384e-74,5.3481656027002413e-81,6.3330831833068819e-49,7.2625358737152572e-62,1.1203103907019771e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998459057,0.108803,0.0001,9.0040208723129731e-15,7.1862667461849209e-14,7.1862684895494887e-14,3.8343762228690379e-20,5.8133005208758001e-20,1.363744204854906e-15,4.3703986437133942e-20,6.2957093860525921e-28,5.5144771785051634e-28,2.0023130335296291e-32,1.4068962458200923e-24,1.5272010736374991e-19,3.4808965499455452e-23,5.251754081957688e-33,1.4676692263139351e-36,6.865961407512693e-39,1.4695827204834103e-42,1.357150499184527e-19,4.9789947646007992e-50,7.3968156694364004e-57,3.906312026951824e-59,2.0306643946210288e-66,1.0288582744773478e-63,1.3821734768998323e-24,2.8363094383890892e-31,1.3811526555561946e-37,1.6178913751665952e-38,1.7638880480608319e-21,1.4476754406763422e-44,2.1974739291505123e-53,7.078961657590661e-32,8.3340228916689529e-60,2.8135273133305234e-24,2.0855533410705139e-29,3.4823139544212253e-36,1.6448336895653227e-42,1.0939225429007592e-42,9.6318230299837926e-44,3.7119812442732877e-50,3.8001450693543285e-34,2.6372456168454459e-40
5.472449102234522e-16,0.002179718695160773,3.8419002599721979e-32,2.2260430433620297e-27,4.9149548009972606e-22,3.841892548650181e-32,1.6041483820815511e-20,7.0572340349052764e-33,3.6312350325689273e-58,2.2760592177907924e-46,4.5234219198361005e-49,2.0397783031589177e-45,3.0944396369618513e-39,1.3084541780204612e-25,8.9529433489238945e-39,1.5324782331865308e-56,8.2780164529117034e-52,1.7502898605852373e-40,1.4794270404663738e-52,1.0393220692523728e-77,3.7342325816054703e-49,2.6189809554525534e-67,3.3737010482629014e-40,8.1867539292103469e-59,2.2759590197222903e-30,4.745643564300306e-46,4.0093503815474848e-49,4.8745448262179598e-40,9.9384673756381002e-74,7.2318761685620076e-80,1.0164292418057599e-47,2.3314630274845254e-60,7.2064893232647697e-77,0.88129999999999997,0.0,0.0,0.0,0.009889999999691276,0.108803,0.0001,1.8039414638164203e-14,1.4397560307317895e-13,1.439756457421504e-13,1.135330442804064e-19,2.331391004223364e-19,2.7316472323342128e-15,1.7526258461728653e-19,3.8259756583933796e-27,2.7384289247604483e-27,1.6067328387652096e-31,5.6422789049144846e-24,6.1236201439222129e-19,1.3959941413255466e-22,4.1387988036366403e-32,1.177710972091802e-35,5.5083209964889773e-38,2.3585164429863902e-41,5.441768132958871e-19,1.5983242436171385e-48,4.7492185121517373e-55,2.5080968451242896e-57,2.6076998780943175e-64,6.6061962194360182e-62,5.5431288300247116e-24,2.2759565443890632e-30,2.2159837780928586e-36,2.596865870950907e-37,3.5282873713294236e-21,2.3238419577296567e-43,2.1733121108437615e-52,5.6794346568301672e-31,5.3509647482545186e-58,1.1267999833341799e-23,1.6288185290940927e-28,5.4312702236259251e-35,5.1259770815125373e-41,3.4092456934713893e-41,3.0022529695788705e-42,1.9139298624568793e-48,1.5240264003857768e-33,2.1162232021020857e-39
