Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154)
0.0,0.0026895462123928742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.108295153895308e-19,0.0026895462123928742,4.6381467158200212e-36,1.1715135811991385e-31,6.3735262660408342e-23,4.5609221470298576e-36,2.1183989151132854e-22,7.8416056971944953e-38,2.0969032052126533e-59,2.2812168161801362e-48,4.0936570006559113e-52,1.3020587216061774e-51,1.2727323731024862e-38,1.9292777836742092e-27,1.7318105876235045e-43,4.5017811941051547e-63,1.5247432949410541e-58,7.8236195546933175e-45,4.7524561859858424e-60,4.6944198519180363e-87,3.7874242792191864e-58,5.5324733396950082e-75,9.2570391147245527e-46,1.1581250909201603e-68,3.2482879038673898e-38,5.888777652853656e-56,4.0406981119212149e-52,2.1723218323076972e-47,1.7317135797810576e-77,1.5615833835185184e-90,8.9180188646272023e-57,2.2564573638957632e-72,4.125086586905177e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991807,0.108803,0.0001,4.1016239779046813e-17,3.4745829540700045e-16,3.4745806606667467e-16,1.5713043478426761e-25,1.5726687002915298e-25,8.2844978954910056e-17,1.021205008006929e-25,4.8954736935358642e-36,6.3333632194675791e-36,1.0804648802687101e-40,1.1409386028232432e-29,6.5376970397311062e-24,2.6939667686726174e-28,6.0762242099456337e-41,9.4635007656535172e-44,2.5070140004609168e-45,1.2879063430999927e-51,8.3870269769098827e-24,5.871238790948249e-62,5.9739422734969119e-72,2.6698295863662598e-73,9.0255189209451632e-84,3.5182438520375099e-78,6.8026979794955721e-29,3.2482879953600557e-38,9.5469474163123213e-48,1.2302983761254008e-48,4.6130913878121769e-23,4.5918570583710913e-54,4.0864473198020166e-62,3.4783044438183752e-38,6.3426469763280208e-75,4.668376333144993e-29,3.3253720881312018e-34,1.184763225699797e-43,3.4821037336544231e-53,2.6812434842093292e-53,2.2436625854432807e-54,2.8564423484976646e-63,1.3739130551441183e-37,6.2186210954382273e-47,3.481709620327686e-57,7.8704557093212973e-48,1.9349392774092742e-57,8.2844292654501454e-46,3.9847707599957907e-51,1.2648644963245511e-39,2.8623406621594478e-49,4.2110403743255059e-63,2.6266741263924767e-73,2.8624382609868754e-49,1.3451754336494785e-49,7.5422053137129173e-48,3.4137150790889984e-57,4.3200735944397378e-58,2.216706205221095e-57,9.9885296401747668e-59,1.6932745594035464e-77,1.0768600474467724e-84,3.4744539311243328e-82,3.8822116123082973e-51,1.7571591027201844e-60
3.1032264309068625e-19,0.0026895462123928742,2.7764198008474334e-35,7.0759416079961519e-31,1.7845873514446543e-22,2.754796972869532e-35,5.9315177001230563e-22,4.7363303857562716e-37,1.2665295357835141e-58,1.3770962188282005e-47,2.4726179567158046e-51,1.5451954417846682e-50,3.5636506439504383e-38,5.4019777948907905e-27,1.0460135950221851e-42,5.3446118808760782e-62,1.8101752398309486e-57,4.725466211473763e-44,5.6421160267748843e-59,1.9371652220391091e-85,8.4723152992292719e-57,1.7385704759586649e-73,1.0989955049486508e-44,3.6414273399045761e-67,3.8563673962751747e-37,1.3172960047265582e-54,2.4405816591996521e-51,2.5390455746542829e-46,2.0558903613337219e-76,8.9892081454558016e-89,1.9949248379722571e-55,9.3113330887145005e-71,4.6919878203252059e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977062,0.108803,0.0001,1.1484547138130147e-16,9.728832263002005e-16,9.728825844767011e-16,9.4827277200236114e-25,9.4989189332459254e-25,2.319658917161915e-16,6.1680777334751824e-25,5.802094836348042e-35,7.4810224533717746e-35,1.2827281547734408e-39,6.8912691517860946e-29,3.9487683108898125e-23,1.6271559271065906e-27,7.2135548506438187e-40,1.123506809081375e-42,2.9763256654515583e-44,2.8809937193519064e-50,5.065763394622231e-23,2.4227820974151294e-60,4.4970327474658328e-70,2.0097802311746377e-71,1.2319783722313369e-81,2.6484452630904422e-76,4.1088295758966628e-28,3.8563675037638988e-37,2.135612763038724e-46,2.7521279487757786e-47,1.2916640731362619e-22,1.0271800598998976e-52,9.1377806767490447e-61,4.1294423640099412e-37,4.7745843302336849e-73,2.8196965004269739e-28,2.012877778811847e-33,1.4093425204860689e-42,7.8040930865149739e-52,6.0092044432001596e-52,5.0284994183716288e-53,1.1774213251996068e-61,8.2984348435199437e-37,7.3827469499753441e-46,7.7727377406774111e-56,9.3438028857020348e-47,4.3198588726657935e-56,9.8352254572334465e-45,8.7016992578483439e-50,1.5016470144008149e-38,6.4025982414693798e-48,1.6973567501265783e-61,1.9319944978612298e-71,6.4030009549665327e-48,3.0091034164729516e-48,8.9718775985491022e-47,7.6507344336481076e-56,9.6812517854081961e-57,4.9680799357781751e-56,2.2386304816012254e-57,1.2454904393319558e-75,1.4698958285442741e-82,2.5555700032755962e-80,4.6089574456374762e-50,3.9306685635044011e-59
7.093088984929971e-19,0.0026895462123928742,1.3312584921349665e-34,3.4067611903493828e-30,4.0790567889386734e-22,1.3263161544517543e-34,1.3557758221366029e-21,2.2803397522046356e-36,6.0977945182431045e-58,6.6224074775557014e-47,1.1905094645709145e-50,1.5157762800010158e-49,8.1454871827183689e-38,1.2347377819735973e-26,5.0361051902744251e-42,5.2475788784813006e-61,1.7772407848217611e-56,2.2751085671633008e-43,5.5394630582744073e-58,7.6632305619602955e-84,1.6739861631652678e-55,3.8742775317889622e-72,1.078999925082994e-43,8.129423367281905e-66,3.7862043708395903e-36,2.6027549172780184e-53,1.1750350103472049e-50,2.4721559616240685e-45,2.0184853467749363e-75,4.0266537006044567e-87,3.9416339658870742e-54,3.683469543778802e-69,4.2476386034421431e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999947589,0.108803,0.0001,2.6250393458569238e-16,2.2237330847353385e-15,2.2237316192567996e-15,4.5574470670144172e-24,4.5733205556769505e-24,5.3020751980865877e-16,2.9696633909669316e-24,5.6758559139600883e-34,7.2657692396116972e-34,1.2593902278023794e-38,3.3178494431133907e-28,1.9011612474925137e-22,7.8340553457426718e-27,7.0820175090482312e-39,1.1030656436126906e-41,2.9221713156656581e-43,5.692352678370598e-49,2.4389460957388634e-22,9.5842760417520122e-59,3.5556652524990247e-68,1.5890713141216635e-69,1.9462220755480297e-79,2.0940444251714373e-74,1.9782245668592896e-27,3.7862044739762016e-36,4.2196058089119079e-45,5.4377397274138099e-46,2.9523678800639222e-22,2.0295347169101392e-51,1.8039659819827713e-59,4.0543095774725822e-36,3.7751167415297418e-71,1.3575596304978667e-27,9.73547746674613e-33,1.3896140179888505e-41,1.5483424652343889e-50,1.1922341035472039e-50,9.9766159820861164e-52,4.6465213692704474e-60,3.9953391500423318e-36,7.2484247038252599e-45,1.5290128636249174e-54,9.1737965643536276e-46,8.4986866645432707e-55,9.6561789563631457e-44,1.6954556161942786e-48,1.4743256984511128e-37,1.2648970845651581e-46,6.619962534565875e-60,1.5058366377745536e-69,1.2650563670957578e-46,5.9454803155141608e-47,8.8462859033866261e-46,1.5178785847638678e-54,1.920382656477515e-55,9.8567219690710092e-55,4.4414752536171978e-56,9.707801379892735e-74,2.3220298659687417e-80,1.9918799987263192e-78,4.5250928957967877e-49,7.7662260088269736e-58
1.5072814092976188e-18,0.0026895462123928742,5.8028734452639889e-34,1.487822088168984e-29,8.6679956151781867e-22,5.792371065719104e-34,2.8810251068745649e-21,9.9588476547888599e-36,2.6630670680050508e-57,2.8854159819520018e-46,5.1997156851161913e-50,1.3383652102073361e-48,1.7309160248687229e-37,2.6238177879074426e-26,2.1993994477989586e-41,4.6417973082710297e-60,1.5719493478532008e-55,9.9359968412647738e-43,4.8995924942623608e-57,2.7349508267323911e-82,2.9787669015107741e-54,7.2396673402799998e-71,9.5436254090090821e-43,1.5248545378650641e-64,3.3488548765637782e-35,4.6314632939968864e-52,5.1316865959916098e-50,2.1776777919680049e-44,1.7853274283830581e-74,1.5115522822154977e-85,7.013922249640836e-53,1.3146032365131876e-67,3.2193320265836038e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999888643,0.108803,0.0001,5.5782086099400083e-16,4.7254327882509836e-15,4.7254296806571843e-15,1.9832944741856615e-23,1.9972892237769198e-23,1.1266899862742555e-15,1.2969295621336499e-23,4.9838372257812953e-33,6.2900349908528505e-33,1.1139164589511079e-37,1.4489920112334673e-27,8.3028643732994936e-22,3.4213377781081126e-26,6.2634423809475433e-38,9.7564906311355629e-41,2.5846223270654268e-42,1.0129218065232568e-47,1.0651510319504577e-21,3.4205535966769593e-57,2.5414360911938943e-66,1.1357996064078866e-67,2.7840020397350703e-77,1.4967330894820992e-72,8.6394263763196884e-27,3.3488549635238678e-35,7.5085447463296794e-44,9.676162566477189e-45,6.2737512469668244e-22,3.6114486378327052e-50,3.2046798824294576e-58,3.5859883766935351e-35,2.6982905504230339e-69,5.9287944690631824e-27,4.2906942337571515e-32,1.2396168299435377e-40,2.7780204041208939e-49,2.139094150912244e-49,1.7899965722353177e-50,1.650413535786402e-58,1.7448695652576191e-35,6.4111495101083304e-44,2.696978945135176e-53,8.1141111362673271e-45,1.49936640900261e-53,8.5405964307521416e-43,2.9958403731943038e-47,1.3040239483789331e-36,2.2502862879279297e-45,2.3456871982497158e-58,1.0684925340864915e-67,2.250854563213828e-45,1.0579661130337187e-45,7.8914034650607894e-45,2.723227926515588e-53,3.444124279352019e-54,1.7684777573012633e-53,7.9688592334930833e-55,6.8884868515164282e-72,3.3214582530723882e-78,1.4133953173214856e-76,4.0023776689578892e-48,1.3819181338344672e-56
3.1032264309068626e-18,0.0026895462123928742,2.4203630941556269e-33,6.2113642277169345e-29,1.7845873072662814e-21,2.4182008674556584e-33,5.9315283983079315e-21,4.1576269150383706e-35,1.1117780770494815e-56,1.1989817608568248e-45,2.1711628728834291e-49,1.1210881539827024e-47,3.5636506335516117e-37,5.4019778036343637e-26,9.1820597492876118e-41,3.9023535375625782e-59,1.3213181444117309e-54,4.1480830940221981e-42,4.118402968808411e-56,9.2407690305602115e-81,5.0241188971346674e-53,1.2448236456471776e-69,8.0219808719114205e-42,2.6419365792640444e-63,2.814914287134509e-34,7.8116397382478591e-51,2.1423781335046564e-49,1.8267901106743191e-43,1.5006752738738643e-73,5.2107566076426049e-84,1.1829988878735542e-51,4.4417412745822527e-66,2.2385238687844975e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999770734,0.108803,0.0001,1.1484547138087237e-15,9.7288321422620574e-15,9.7288257708187003e-15,8.2214245053823998e-23,8.3382892186619766e-23,2.319651760336464e-15,5.4144217705888278e-23,4.1292642794993615e-32,5.0712154086341266e-32,9.3631395661255134e-37,6.0492563431465175e-27,3.4662771900361337e-21,1.4283411645196301e-25,5.2639229472689601e-37,8.2009181331921242e-40,2.1725222062223642e-41,1.7084341366306248e-46,4.4467891561214618e-21,1.1557233956905004e-55,1.7187680261011401e-64,7.6813895075466755e-66,3.7671452697147718e-75,1.0122381939359035e-70,3.6067904168527834e-26,2.8149143530580906e-34,1.2664196300796622e-42,1.6320246465813607e-43,1.2916420994381253e-21,6.0912361456058e-49,5.387079311342466e-57,3.0142350448157013e-34,1.8248483818395448e-67,2.4751340055108422e-26,1.8238363139775461e-31,1.0596682240754111e-39,4.7625744853098017e-48,3.6672131798405022e-48,3.0687366770341798e-49,5.5249824122771875e-57,7.2844868857266191e-35,5.3889573723490573e-43,4.4705132571494201e-52,6.8203858051566205e-44,2.4863504324747501e-52,7.1785755408338608e-42,5.0350941184186475e-46,1.0961099690611939e-35,3.7936476949570019e-44,7.8968157265101143e-57,7.1994480758185177e-66,3.7955664668799517e-44,1.7844133293478323e-44,6.7458502300811757e-44,4.6681784224982854e-52,5.8997094076506466e-53,3.0318194168336679e-52,1.3661661239430845e-53,4.6415875247128899e-70,4.4940644936531501e-76,9.5236856366770145e-75,3.3642130926691383e-47,2.3306709603541497e-55
6.29511647412535e-18,0.0026895462123928742,9.8835255285632421e-33,2.5375448898998976e-28,3.6201627207652182e-21,9.8791393426777571e-33,1.2032553869004233e-20,1.698529572163248e-34,4.5419761987846917e-56,4.8527640057373309e-45,8.873200931161254e-49,9.1281902045224596e-47,7.2291198338011819e-37,1.0958297850525137e-25,3.7511710169130886e-40,3.2004903928790556e-58,1.0832964462681674e-53,1.694627295209596e-41,3.3765159949853768e-55,3.0381549985394769e-79,8.2521078122275806e-52,2.0497126934352448e-68,6.5768860048050802e-41,4.417111733794044e-62,2.3078367693249659e-33,1.2830641543180053e-49,8.7523136943411752e-49,1.4962195139670714e-42,1.2303442504114879e-72,1.7183246448458163e-82,1.943073912903372e-50,1.4603434413007934e-64,1.4926550653190939e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999534933,0.108803,0.0001,2.3297224194305934e-15,1.9735630641312091e-14,1.9735617820584729e-14,3.3118952849179522e-22,3.4064631166972313e-22,4.7055626730518545e-15,2.2119648156191589e-22,3.2910846068559714e-31,3.8425930906795598e-31,7.6764681970381987e-36,2.4713185422662059e-26,1.4160830488538324e-20,5.8352396432748248e-25,4.31424328610558e-36,6.7236079761752303e-39,1.7811508683091959e-40,2.8060867084059333e-45,1.8166529681793124e-20,3.7997370222497576e-54,1.1306545525178492e-62,5.0530367847806406e-64,4.957314427174793e-73,6.6587998987340974e-69,1.4734915492291542e-25,2.3078368116124389e-33,2.0800777146117963e-41,2.6806001262590987e-42,2.6201372554990829e-21,1.000487417722621e-47,8.7894403441632364e-56,2.471245019753156e-33,1.2004372393024199e-65,1.0111558608282224e-25,7.7170109612370675e-31,8.9779858001007782e-39,8.0756193517941563e-47,6.2182765054369551e-47,5.2035032726183962e-48,1.7850953956629422e-55,2.9759505222064023e-34,4.4181926915081069e-42,7.0981441406779763e-51,5.5917421879833641e-43,3.9507768710921618e-51,5.8849210164066275e-41,8.2550682776991031e-45,8.9865597514667744e-35,6.2252084965613134e-43,2.5914285266016618e-55,4.7267278601776074e-64,6.2315084517795123e-43,2.9309004550945552e-43,5.7153876979709497e-43,7.9139952328851006e-51,9.9875023920453412e-52,5.1408170577396932e-51,2.316538879118718e-52,3.0475871785885475e-68,5.913012161714373e-74,6.2530777485271541e-73,2.7581416947922309e-46,3.8276874670826851e-54
1.2678896560562325e-17,0.0026895462123928742,3.9941893331051178e-32,1.0257161650682175e-27,7.2913132357692907e-21,3.9933058819881444e-32,2.4234680361713431e-20,6.8657549215274753e-34,1.8359393914092319e-55,1.9255667767738516e-44,3.589601320935504e-48,7.291845657372272e-46,1.4560058173253632e-36,2.207093800605439e-25,1.5162833061443123e-39,2.5937933796989279e-57,8.7728154984016076e-53,6.8499544965217693e-41,2.7343908713864416e-54,9.854133075534486e-78,1.3376949220162412e-50,3.2822000711430413e-67,5.3261027076821971e-40,7.29328727908646e-61,1.8689459966927905e-32,2.079902225566168e-48,3.5378251187919361e-48,1.2110756961852429e-41,9.9636466302784206e-72,5.5080543776679474e-81,3.1497893210654121e-49,4.7365635816177995e-63,9.749885448051192e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999063314,0.108803,0.0001,4.692257830644029e-15,3.9749226827208325e-14,3.9749201397888825e-14,1.3023079039215277e-21,1.3769467750351599e-21,9.4773339573818399e-15,8.9410900218678843e-22,2.5241626181600754e-30,2.6998830897833208e-30,6.2166039982431085e-35,9.9894642255989238e-26,5.723999452362058e-20,2.3586971059347698e-24,3.4914579384613096e-35,5.4449517573354259e-38,1.4423993243140138e-39,4.5487178017000048e-44,7.3431573122842277e-20,1.2324170132978184e-52,7.3359626812387223e-61,3.2785336222570402e-62,6.4335420596544795e-71,4.320403314694153e-67,5.9560882492615335e-25,1.8689460118901537e-32,3.3718296994409554e-40,4.3453512776927403e-41,5.2769724030097038e-21,1.6218333857453162e-46,1.4060761233247028e-54,2.0012669791175913e-32,7.7887298872968826e-64,4.0871150785814511e-25,3.3344162970290975e-30,7.7405947974741567e-38,1.3911384039930588e-45,1.0711841989730926e-45,8.9638509446201966e-47,5.6126395633203079e-54,1.2029267365472554e-33,3.5779667514637822e-41,1.0786421052061417e-49,4.5283019010283339e-42,6.0120215286454874e-50,4.7649374938688117e-40,1.3367944111756964e-43,7.2775296217710791e-34,1.0072355178203091e-41,8.3963086780837944e-54,3.0631770613097845e-62,1.0092733662004439e-41,4.7511036334028688e-42,4.9276642769951956e-42,1.3627591589111411e-49,1.7149086314528369e-50,8.8555631221144551e-50,3.9905997008078835e-51,1.975254854365723e-66,7.6715518932004848e-72,4.0528458947359079e-71,2.2335442723785409e-45,6.2033988896844494e-53
2.5446456733436275e-17,0.0026895462123928747,1.6058679421520406e-31,4.1243591835530252e-27,1.4633613017787478e-20,1.6056905760842437e-31,4.8639235552385377e-20,2.7607114253067624e-33,7.3822314829569434e-55,7.4648479600447362e-44,1.4461065651205176e-47,5.7134085296490477e-45,2.922193466730985e-36,4.429621856410372e-25,6.0969085278439954e-39,2.0913803449144879e-56,7.0611251516625277e-52,2.7543365933011732e-40,2.2008767490207679e-53,3.1746081220024978e-76,2.1542928719191269e-49,5.116703791995499e-66,4.2868623719055767e-39,1.209274249014888e-59,1.5042902461342062e-31,3.3496182225953651e-47,1.4225439184457298e-47,9.7453750535830888e-41,8.0196094708627963e-71,1.7188363824318783e-79,5.0725831206919494e-48,1.525930708067886e-61,6.3037239876748701e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998120075,0.108803,0.0001,9.4173286529496888e-15,7.9776416122422103e-14,7.9776366463585559e-14,4.9649926802866595e-21,5.536641768921279e-21,1.9020674365921072e-14,3.5951525365119847e-21,1.8363734468728364e-29,1.7144371211168491e-29,5.003665351366938e-34,4.0167192706463877e-25,2.3015671451077679e-19,9.4842168977280735e-24,2.8064885370961577e-34,4.3825703908117643e-37,1.1609317154609032e-38,7.3253453822910582e-43,2.9526155185680563e-19,3.9702758515966602e-51,4.7271242868241675e-59,2.1126111048539571e-60,8.2916987139920839e-69,2.7839824660646558e-65,2.3949167414271268e-24,1.5042902277046495e-31,5.4300154944857889e-39,6.9979993826554727e-40,1.0590022112188627e-20,2.6119132095155032e-45,2.206287835389028e-53,1.6107755659772501e-31,5.0188771112255534e-62,1.6432995612695038e-24,1.5137023684936787e-29,6.9868149122952676e-37,2.5046185692411017e-44,1.9285667360426184e-44,1.6138919614860386e-45,1.7192334741705142e-52,4.8369151417234106e-33,2.8798585393180998e-40,1.5434428932812107e-48,3.6447135424575029e-41,8.6228209739666815e-49,3.8339101446786664e-39,2.1512100942910629e-42,5.8575576643352655e-33,1.6160434290796466e-40,2.7028778654831313e-52,1.9718535086076023e-60,1.6225732409142134e-40,7.6514663182029478e-41,4.4478077689082539e-41,2.4515961800226604e-48,3.0676841942439129e-49,1.5942871729141348e-48,7.1848491928577932e-50,1.2718509301710611e-64,9.8813950575672248e-70,2.6095891325971528e-69,1.7976374553881913e-44,9.985723385249876e-52
5.0981577079184176e-17,0.0026895462123928742,6.4398920545415074e-31,1.6540521771530105e-26,2.9318207589745975e-20,6.4395361271593421e-31,9.7449554754645054e-20,1.1071860569543609e-32,2.9606049573851187e-54,2.788229363712469e-43,5.8279903196553614e-47,4.3523176927559336e-44,5.8545687390619485e-36,8.87467806681656e-25,2.4451330475244044e-38,1.6857766704738371e-55,5.6661082735422779e-51,1.1046121786206145e-39,1.7660667325778219e-52,1.0192794708471882e-74,3.4580415239897972e-48,7.6784077157955076e-65,3.4398593262845276e-38,2.0542823618390621e-58,1.2070980465999207e-30,5.3768784598342351e-46,5.7050376020197998e-47,7.8190806878841668e-40,6.4352313030070058e-70,5.1653423076999977e-78,8.1424412121541725e-47,4.8993385397421399e-60,4.0549255628225883e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996233615,0.108803,0.0001,1.8867470297076151e-14,1.5983078355459911e-13,1.5983068823933673e-13,1.8024197932031286e-20,2.2204404593962506e-20,3.8106546576774589e-14,1.4418005843420533e-20,1.2343491154016093e-28,9.6344895504625601e-29,4.0151289164155155e-33,1.6108837975130712e-24,9.2300902009337642e-19,3.8035948521946588e-23,2.2460502330999e-33,3.5167359696623432e-36,9.3151562092769014e-38,1.1758081280096985e-41,1.1841022158756015e-18,1.2746954392111935e-49,3.0355433483502076e-57,1.3566224321470081e-58,1.0649391356026136e-66,1.7877653208025417e-63,9.604686100540682e-24,1.2070979826083504e-30,8.7156959728424063e-38,1.1233162613863496e-38,2.1213639767864267e-20,4.192700886799576e-44,3.367785698970368e-52,1.2925167326085951e-30,3.2228938598637631e-60,6.5894725729826366e-24,7.4575626064730864e-29,6.8203617350362142e-36,4.8685685185887254e-43,3.7488052743218633e-43,3.1372654280815369e-44,5.1442514755282917e-51,1.9398190331853661e-32,2.3109045220104876e-39,2.0242039597024855e-47,2.9245603730265914e-40,1.1347584179269517e-47,3.0743450468610364e-38,3.4501084547586537e-41,4.7002709261363786e-32,2.5748075491261925e-39,8.6707131817443406e-51,1.2645517864942316e-58,2.5955489928197853e-39,1.2282170900811281e-39,4.3418434994871126e-40,4.7580453036673215e-47,5.8875679674340346e-48,3.0987361215301211e-47,1.3966708502258669e-48,8.1605406719171574e-63,1.2676032065140336e-67,1.6743761182737297e-67,1.4423090649439676e-43,1.6014357393371803e-50
