Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920),S(5903)
0.0,0.002317487892797606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.698062334824274e-19,0.002317487892797606,1.256734874503396e-36,5.0168988719673082e-32,7.3979418628839858e-24,1.2549665585297074e-36,8.9730247314770181e-23,8.1571977627099489e-38,1.8377201545820803e-61,1.8954939531378408e-49,3.7250912598604693e-53,6.6414947464362729e-52,2.155952882527953e-40,7.7178673542916932e-28,1.3422263248237663e-43,1.8812768443133222e-63,7.9670903625367033e-59,3.8039311182323e-45,6.7396897660338846e-60,1.997377006252135e-88,1.8581759581993976e-58,1.2756429469978841e-75,1.0269604153152091e-46,3.6758788760791782e-68,6.8823362296135482e-38,9.5481343262277439e-56,3.3730605454082159e-53,2.4824404817838916e-47,1.971716894860362e-79,8.9195259950620502e-91,4.7573928487940584e-57,2.9314909915773992e-72,1.342932920566926e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991668,0.108803,0.0001,4.5238147690863235e-17,3.8241656668256999e-16,3.8241649003314591e-16,7.9108220427797703e-25,7.9286004677484935e-25,2.1649605709461255e-17,5.5874148336208315e-25,5.9020329516277714e-35,8.2635470321173399e-35,1.3265440266841969e-39,3.1204933943435254e-29,6.6682752097810143e-24,7.4983138172527082e-28,4.9623881194372112e-40,2.8547086122227258e-43,2.8746560271781493e-45,3.3099283812989256e-51,6.9657264451081432e-24,4.7240554433346141e-61,2.2873358786455881e-70,3.0044783960942384e-72,4.9966922581145873e-82,5.9619112317374136e-77,6.6094203899758832e-29,6.8823362286004346e-38,1.0055630719684977e-46,1.2270836834431545e-47,1.9920950193430105e-23,2.0506556895730784e-53,1.0254300602289303e-61,3.1862139702401812e-38,2.5099849578419607e-73,8.3386247851632423e-29,1.1844912470361055e-34,1.0015867206466243e-43,1.4633980323567079e-52,1.0382886514036006e-52,9.4158969788669235e-54,2.615986656858852e-62,4.3827246561136351e-38,9.0866565015866699e-47,1.3189398463767922e-56,2.7082777052973928e-48,6.7596608756295649e-57,8.5217204863008628e-46,1.4711024567857479e-50,1.2243448476008896e-38,1.2689115973667634e-47,7.1531634362172019e-62,1.0682832603738109e-71,1.2690800114756567e-47,3.0863403443257045e-48,3.1062893289259327e-48,6.4399907433672472e-57,1.9187800858093042e-58,4.5385246213034715e-57,5.7487838822691811e-59,7.7100266389321876e-76,3.5164888256335014e-83,1.4642318963705632e-81,5.3788517973817893e-52,1.1151703342108687e-60,7.8589316772639795e-61,3.3230920153871237e-62,1.8910562702342661e-76,1.9021060343228233e-38,2.7850659388151776e-83,2.5103653438786055e-67,2.657007364584975e-76,1.3910107921148373e-84,2.7543724892679403e-85,1.2654381445272144e-94,3.4100694446691152e-96,2.2572865939479582e-107,3.9394798511032574e-117,5.7595304704776106e-46,2.9513373790422711e-54,3.024774184418202e-55,9.1720990573802695e-109,4.4410298528761228e-118
1.3154574537507967e-18,0.002317487892797606,7.5849488612255177e-36,3.0302068954477099e-31,2.0714237083075043e-23,7.5799979728147644e-36,2.5124489462892003e-22,4.9269508781769373e-37,1.1099829719736829e-60,1.1410200120757146e-48,2.2499728046216318e-52,7.8698790226438854e-51,6.036668064959827e-40,2.161002859495497e-27,8.1070470028564004e-43,2.2334679449195198e-62,9.4585296774797984e-58,2.2975743956715554e-44,8.0013598023451055e-59,8.2422278952209212e-87,4.156663028765425e-57,3.9976994779798538e-74,1.2192067103264118e-45,1.15225770710496e-66,8.1707095491886049e-37,2.1358794504047369e-54,2.0373285678780834e-52,2.9438253608435014e-46,2.3408222930342111e-78,5.1206705684898631e-89,1.0642091713977098e-55,1.2096873255153631e-70,1.5274892869310278e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976715,0.108803,0.0001,1.2666681353435943e-16,1.0707663823477864e-15,1.0707661695234185e-15,4.7678089635093487e-24,4.7888746619422916e-24,6.0618850800869054e-17,3.3747977748011241e-24,6.9875745206450365e-34,9.7268674870974511e-34,1.5748731391320393e-38,1.8847780037713174e-28,4.0276357215429152e-23,4.5289815302199102e-27,5.8909707488252319e-39,3.3891100503200508e-42,3.4127881532304793e-44,7.4041701738083071e-50,4.20729615593282e-23,1.9493928509277956e-59,1.7218477397204164e-68,2.2616942205903251e-70,6.8204539494241052e-80,4.4879746957869618e-75,3.9920899034831744e-28,8.1707095361417261e-37,2.2494004617711843e-45,2.7449362584633463e-46,5.5778390107297676e-23,4.587234784476483e-52,2.2897041031728722e-60,3.7826710704127867e-37,1.8894522528901539e-71,5.036508818271597e-28,7.3264832152142504e-34,1.2152867859709242e-42,3.3424726744037597e-51,2.3715022134426381e-51,2.1506385919498473e-52,1.0988089962759197e-60,2.6471656794875784e-37,1.078767855466045e-45,2.9400754173720532e-55,3.2152654542200041e-47,1.50729770502997e-55,1.011679336823082e-44,3.2876308375572243e-49,1.4535418904706526e-37,2.8379391824139231e-46,2.9490014569151484e-60,8.0342215573849036e-70,2.8386339539829111e-46,6.904018477655789e-47,3.7690519388939261e-47,1.470879162848833e-55,4.3811784005054013e-57,1.036618967322579e-55,1.3130511309307612e-57,5.7985652547798662e-74,4.79982462836219e-81,1.1012159738857026e-79,6.3857490466932341e-51,2.4945423034676599e-59,1.758003997386895e-59,7.4322026459791285e-61,7.7897490966177189e-75,1.1488720448609988e-37,2.9988123481895865e-81,1.0359089712986987e-65,2.0001282112543953e-74,1.8987222969723108e-82,3.7597036290912185e-83,3.1218193912759911e-92,8.4126085147109966e-94,1.0046240620856989e-104,3.1598760195789196e-114,6.9883926261983317e-45,6.7408424171076657e-53,3.8793774917165431e-54,4.0821185222821018e-106,3.5621717266488656e-115
3.0067598942875353e-18,0.002317487892797606,3.6505741494359565e-35,1.4589141627255027e-30,4.7346826991456107e-23,3.6494426911991908e-35,5.7427499784746676e-22,2.3721182501702033e-36,5.3440901885668696e-60,5.4544699006879246e-48,1.0832842785646351e-51,7.6942029258559396e-50,1.3798098405600763e-39,4.9394351088034452e-27,3.90319415396963e-42,2.1928683317647283e-61,9.2864405237089724e-57,1.1061831695708075e-43,7.8557827264478729e-58,3.2605396653750352e-85,8.2128559029830037e-56,8.8571794731320023e-73,1.1970229064129937e-44,2.5549681852941251e-65,8.0220510391507569e-36,4.2201378423375399e-53,9.8088600430086925e-52,2.8885406328640833e-45,2.2982331985435929e-77,2.2807231311831618e-87,2.1026954830856586e-54,4.7853971600165824e-69,1.3828302382754849e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946774,0.108803,0.0001,2.8952414522112132e-16,2.4474659963065452e-15,2.4474655182264036e-15,2.2850420379503718e-23,2.30563698515762e-23,1.3855716024161404e-16,1.6248190566147214e-23,6.8198657493523386e-33,9.3773453075626306e-33,1.5462198438012811e-37,9.0743946947562535e-28,1.9391306732617404e-22,2.1805096350138727e-26,5.782992825960576e-38,3.3274483147252939e-41,3.350688270376133e-43,1.4629361342227155e-48,2.0256293248735572e-22,7.7115880370449656e-58,1.3614103869776182e-66,1.7882498757597436e-68,1.077462318196623e-77,3.5485007318263244e-73,1.9220194313115619e-27,8.0220510012532545e-36,4.4444193586041202e-44,5.4235277750465139e-45,1.2749218821413777e-22,9.0636030462519118e-51,4.5056463959555195e-59,3.7138443230452509e-36,1.4939299607780205e-69,2.4248412598232119e-27,3.7027325745737847e-33,1.2486782397846192e-41,6.9021362760320454e-50,4.8971032515801306e-50,4.4410313390474196e-51,4.5142731758664476e-59,1.2744963108241011e-36,1.0591406682066317e-44,5.7648711116686718e-54,3.1567627970986259e-46,2.9575683667767389e-54,9.9323185204684118e-44,6.492053095004329e-48,1.4270953853473385e-36,5.6048466525207572e-45,1.1659124284679807e-58,6.3484936707206179e-68,5.6075934048809363e-45,1.3641170949720719e-45,3.8726111283816546e-46,3.0371260341844673e-54,9.04068394778089e-56,2.1405863493900452e-54,2.711426754777368e-56,4.5820526334745659e-72,7.5819630866132641e-79,8.7018399261725921e-78,6.2695158534139849e-50,4.9285828016258081e-58,3.4734868596465396e-58,1.4678637826326874e-59,3.0691849159825369e-73,5.5313243497609754e-37,2.7806073895766109e-79,4.0979501023380274e-64,1.5814401543700317e-72,2.9995138306417029e-80,5.9394058813431053e-81,9.8546182655183959e-90,2.6556085809625566e-91,6.338389706857602e-102,3.9854566137805942e-111,7.1804070017743646e-44,1.3918992082334857e-51,4.1112258930030865e-53,2.5754965479389963e-103,4.4928600995127093e-112
6.389364775361013e-18,0.0023174878927976063,1.5940478387318725e-34,6.3714612913032099e-30,1.0061200468020942e-22,1.5938074664010846e-34,1.220338438645493e-21,1.0359694263756994e-35,2.3339045746560653e-59,2.3482376021363732e-47,4.7311776519683971e-51,6.7478266053878861e-49,2.9320958991998928e-39,1.0496299612120511e-26,1.7046274339561035e-41,1.9396397389644083e-60,8.2137514741467406e-56,4.8309925241731195e-43,6.9483512550007974e-57,1.1636607792022613e-83,1.4614303288331562e-54,1.6360187729944982e-71,1.058750587059525e-43,4.7273768500348914e-64,7.0954132120999813e-35,7.5095097193548439e-52,4.2837868695041476e-51,2.5541383986037559e-44,2.0327612202967569e-76,8.4643992369793085e-86,3.7416253098339823e-53,1.707870244140389e-67,1.0480622496811519e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999886891,0.108803,0.0001,6.1523880859372284e-16,5.2008651553826312e-15,5.2008641745221324e-15,9.8887057833871371e-23,1.0069322275178379e-22,2.9443305615817455e-16,7.0960046774867104e-23,5.961142575892906e-32,8.0028334699681012e-32,1.3676140096172857e-36,3.9630265120159236e-27,8.4686706865112922e-22,9.5228583109787476e-26,5.1135741031465747e-37,2.9430902993897259e-40,2.9636327085973508e-42,2.6032055279023018e-47,8.8464320232941378e-22,2.7521993770377912e-56,9.7307514059740894e-65,1.2781608828723502e-66,1.5412682848775338e-75,2.5363114695464469e-71,8.3939637083038136e-27,7.0954131339511401e-35,7.9085463742023415e-43,9.6508646327199656e-44,2.7091545767488606e-22,1.6128197804290516e-49,7.9518661458337924e-58,3.2848451253923233e-35,1.0677941967229172e-67,1.0589734929364219e-26,1.7711393135723961e-32,1.2031735557566784e-40,1.3347248123913938e-48,9.4699479064107724e-49,8.5880294327691855e-50,1.7290476911914428e-57,5.5660601158263818e-36,9.3679791020876186e-44,1.0103690499294799e-52,2.7921140213826232e-45,5.1906826527686479e-53,8.7842953930904996e-43,1.1548248347734327e-46,1.2622485293429158e-35,9.9648025644327521e-44,4.1595921438866916e-57,4.5357804775885216e-66,9.9745934075158082e-44,2.4273712927864084e-44,3.7314843285653774e-45,5.8723396269137069e-53,1.7458131425501872e-54,4.1393944857661921e-53,5.2433310413611486e-55,3.273900207198078e-70,1.0844079585337344e-76,6.2175012505495815e-76,5.5452260680617245e-49,8.7693904014571846e-57,6.1807670525293579e-57,2.6097919328230049e-58,1.0865367757713145e-71,2.415674665605198e-36,2.1308219503819039e-77,1.462527299109469e-62,1.1303457487542571e-70,4.2907008803435078e-78,8.4961138735141007e-79,2.8202439347375228e-87,7.6000008041565746e-89,3.6285149135669645e-99,4.5634473055819317e-108,6.9187364987052879e-43,2.691359843021558e-50,4.0229328527498309e-52,1.4743851478161642e-100,5.1444369770496076e-109
1.3154574537507967e-17,0.002317487892797606,6.6543268487139394e-34,2.6599595446072788e-29,2.0714235154564365e-22,6.6538321288667893e-34,2.512478257684839e-21,4.3249940414493699e-35,9.743592064885327e-59,9.5275402700224455e-47,1.9753691464597832e-50,5.5764772415443173e-48,6.0366679801319764e-39,2.1610028637559362e-26,7.1164839871161103e-41,1.6305331754907959e-59,6.9041530238171342e-55,2.0168442825030305e-42,5.8405085670450651e-56,3.9317287416374113e-82,2.4649040519381061e-53,2.7488584279986409e-70,8.8993925908968506e-43,7.9714029736247199e-63,5.9641221921723843e-34,1.2665885451107727e-50,1.7883966821393824e-50,2.1466005205633505e-43,1.7086582599005144e-75,2.8523999647664731e-84,6.3107677492150815e-52,5.7704804437585e-66,7.2875749010377669e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999767126,0.108803,0.0001,1.2666681353352376e-15,1.07076632031694e-14,1.0707661322672641e-14,4.0544607705250798e-22,4.2037436811322997e-22,6.0618195615840296e-16,2.9624364016731328e-22,4.8953299668595661e-31,6.2837020855008438e-31,1.1495620825100788e-35,1.654485509457167e-26,3.5354845694792488e-21,3.9756057747425808e-25,4.2958843373060284e-36,2.4738446430066012e-39,2.4910897906924456e-41,4.3906489583212073e-46,3.6931916555830554e-21,9.2989811423439557e-55,6.5808567182042473e-63,8.6441358020945784e-65,2.0855425433772602e-73,1.7152972064447177e-69,3.5043145224961466e-26,5.964122051407046e-34,1.333871553245779e-41,1.6277549037032838e-42,5.5774469062977517e-22,2.7202564460235428e-48,1.3193500791209885e-56,2.7610965940292683e-34,7.2214368224491322e-66,4.4208521773137645e-26,8.6816134765531476e-32,1.1774259982728765e-39,2.6106901793582221e-47,1.8523004856335461e-47,1.679809695575816e-48,6.6128885476847465e-56,2.323720436190504e-35,7.8743506253043149e-43,1.6542207720779501e-51,2.3469284262887783e-44,8.5209521888931534e-52,7.3825053624499574e-42,1.947210232737505e-45,1.0609939644935386e-34,1.6777735149601206e-42,1.4050187505424849e-55,3.0663127908187262e-64,1.681073450381295e-42,4.094109077722541e-43,3.6516316415181486e-44,1.1482999383619297e-51,3.4052032753471263e-53,8.0964037643580016e-52,1.0255891127060204e-53,2.2134886956435732e-68,1.4669093808577115e-74,4.2036565021699262e-74,4.6609457350190122e-48,1.4788296566090281e-55,1.0424371440875363e-55,4.3944118660293819e-57,3.6123074069325119e-70,1.0084966212116545e-35,1.4893839140597926e-75,4.9415357828663477e-61,7.6445128371568917e-69,5.8059259159419092e-76,1.1496442559553161e-76,7.6338169144371399e-85,2.0571886431843887e-86,1.9645494561616748e-96,4.9417283280394607e-105,6.770677414708664e-42,5.2631667033171594e-49,3.9670971300302541e-51,7.9826116635084777e-98,5.5708784138309592e-106
2.6684994061801874e-17,0.002317487892797606,2.7184076541510593e-33,1.086680166960041e-28,4.2020301122792608e-22,2.7183072897933108e-33,5.0968096455332587e-21,1.7669221215553612e-34,3.9805751993698067e-58,3.6781842888372232e-46,8.0722198170719544e-50,4.4202576919551627e-47,1.2245812009451838e-38,4.3837486763656234e-26,2.9073159195965523e-40,1.3371429704147501e-58,5.6604417706777675e-54,8.2394669899535507e-42,4.788402886551468e-55,1.2926545325567742e-80,4.0485735261022638e-52,4.3241548760029012e-69,7.2961875065414189e-42,1.2636492121916178e-61,4.8897474752036424e-33,2.0803753889392717e-49,7.3061839545677229e-50,1.7597882029743314e-42,1.4008612271597547e-74,8.9930095416524204e-83,1.0365355689242475e-50,1.897189890392409e-64,4.8593787124221785e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999527595,0.108803,0.0001,2.5695267888035129e-15,2.1721258254852097e-14,2.1721254961209938e-14,1.5989395184563085e-21,1.7173663330058685e-21,1.2296681890418867e-15,1.210247140560039e-21,3.8364191771860956e-30,4.5488282563067825e-30,9.4248061236243843e-35,6.7591127761792463e-26,1.4443454955866724e-20,1.6241645906329487e-24,3.5181241904973617e-35,2.028207159558345e-38,2.0423097187475024e-40,7.2115303901419162e-45,1.5087733031361085e-20,3.0572499152626117e-53,4.3290347728487221e-61,5.6863059506911166e-63,2.7444109098172229e-71,1.1283647063713243e-67,1.4316267516825098e-25,4.8897472366819035e-33,2.1908210602942554e-40,2.6735776106242269e-41,1.1313339410330814e-21,4.4680298790605631e-47,2.0974677710775218e-55,2.2636914042980151e-33,4.750422747747031e-64,1.8059367730000648e-25,4.5987433294245584e-31,1.2376660181316051e-38,5.4689110187281738e-46,3.8802299109387214e-46,3.5189370976209113e-47,2.6489633353370007e-54,9.4931554395005024e-35,6.4558679533899101e-42,2.5665045169633843e-50,1.9241346236273661e-43,1.3284935065854855e-50,6.0506171473163006e-41,3.1970614417432418e-44,8.6986370827672245e-34,2.7461518658439136e-41,4.6176214718561544e-54,2.0159133582509722e-62,2.7569479227999155e-41,6.724562156699607e-42,3.8384580690481094e-43,2.4041572302336301e-50,7.0936473534989718e-52,1.6959818981934966e-50,2.1484452319954795e-52,1.4555505338256145e-66,1.929181282615203e-72,2.7642444114596127e-72,3.821077476241449e-47,2.4281408080141669e-54,1.7120761905476163e-54,7.1936951748346796e-56,1.1501265016523867e-68,4.1200377699405789e-35,9.9564458402857899e-74,1.6246600308588933e-59,5.0287883352439909e-67,7.6402303244696499e-74,1.5128582303823641e-74,2.0092850819786201e-82,5.4148292446407247e-84,1.0342521785808652e-93,5.2033585042134084e-102,7.117081618554012e-41,1.1020892658987717e-47,4.1860571581933642e-50,4.2025073566398185e-95,5.8658177826303326e-103
5.374583311038969e-17,0.002317487892797606,1.0988033480388513e-32,4.3925341775599341e-28,8.463241943957761e-22,1.0987830753226578e-32,1.0265679420282483e-20,7.1423509697493809e-34,1.6090120718213109e-57,1.3306254181675424e-45,3.2656526484790404e-49,3.3496172289659728e-46,2.466409964065654e-38,8.8292403316728869e-26,1.1751835833618091e-39,1.0836807427141226e-57,4.5839724872035583e-53,3.3305243078916008e-41,3.8777745781194921e-54,4.1926170797909422e-79,6.5627864217181031e-51,6.3331575981095903e-68,5.9085248415531385e-41,1.8837885098600874e-60,3.9598439000171417e-32,3.3723778315922141e-48,2.9532764797350101e-49,1.4250717437366868e-41,1.1344536657729823e-73,2.6406132388543349e-81,1.6802366347443559e-49,6.1533742807884743e-63,3.1741012218352689e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999048516,0.108803,0.0001,5.1752440956810482e-15,4.3748444448772176e-14,4.3748439607230301e-14,6.0413356019817825e-21,6.9418682883313313e-21,2.4765943880576721e-15,4.8919737396390317e-21,2.8539834038475944e-29,2.9796495444526021e-29,7.6324549854252598e-34,2.7321411621382958e-25,5.8381516434170544e-20,6.5651322731172725e-24,2.8427694550933887e-34,1.6424945191573913e-37,1.6538567362033121e-39,1.168980047332675e-43,6.0985736211756605e-20,9.9157818821812512e-52,2.808731279953251e-59,3.6893456489917681e-61,3.5615970892996906e-69,7.3210194148015065e-66,5.7868636316899381e-25,3.959843507466402e-32,3.5511982376547184e-39,4.3339368393476808e-40,2.2782356466773096e-21,7.2428705891278481e-46,3.1886601647041603e-54,1.833159706226855e-32,3.0821330745806115e-62,7.2988700253699081e-25,2.7092405180617688e-30,1.4433191143055121e-37,1.269292075480372e-44,9.0057349475627613e-45,8.1674028871295781e-46,1.1311910774385403e-52,3.8372846235641229e-34,5.228128569479082e-41,3.7444259696634376e-49,1.5581831845404202e-42,1.9545748916641871e-49,4.8966989108631781e-40,5.1790792442377325e-43,7.044329301922972e-33,4.4208359173742562e-40,1.4967180636871378e-52,1.3065607407805533e-60,4.4555101808120635e-40,1.0900726330224023e-40,4.4762639115813468e-42,5.5737749657814939e-49,1.6283447833376464e-50,3.9359456459801606e-49,4.9865057803840767e-51,9.4378693754393294e-65,2.5006245783084162e-70,1.7923455626309696e-70,3.0940069075691989e-46,3.9333955155341058e-53,2.7749280529218785e-53,1.1583780303938819e-54,3.5021255011580894e-67,1.6653851467708546e-34,6.5115460091461832e-72,5.2694886513062154e-58,3.262813709023963e-65,9.9154369357814932e-72,1.9633748899910087e-72,5.2152910339233412e-80,1.405540646623205e-81,5.3694115614837742e-91,5.4028111228464044e-99,8.2996694994382634e-40,2.5558009283851226e-46,4.8910429513535707e-49,2.1817688436518629e-92,6.0906636094849428e-100
1.0786751120756532e-16,0.0023174878927976063,4.4181982431564938e-32,1.7662180284901378e-27,1.6985660159256645e-21,4.4181569317469012e-32,2.0604246965791068e-20,2.8720440208608827e-33,6.4697662424856447e-57,4.3264240609749409e-45,1.3168452133144124e-48,2.3729595700973684e-45,4.9500674014863217e-38,1.7720223762640752e-25,4.7253615409384657e-39,8.7449901427094545e-57,3.6895798292556037e-52,1.3391891863265764e-40,3.1211731931231338e-53,1.350657886941197e-77,1.056876026917877e-49,8.3344685622571582e-67,4.755506540787387e-40,2.593897253995992e-59,3.1872262565761456e-31,5.4311094917080884e-47,1.18749998782781e-48,1.1470012320084493e-40,9.1310688514129495e-73,6.9775026023935657e-80,2.7058656255378536e-48,1.9823169769257939e-61,2.0521938920471008e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998090377,0.108803,0.0001,1.0386678709200056e-14,8.7802802889962445e-14,8.780279837505944e-14,2.1456838162781312e-20,2.7912938949149619e-20,4.9702617328171857e-15,1.9670100398052987e-20,1.9736260791878881e-28,1.7287189308502332e-28,6.1432680149283375e-33,1.0985817273204534e-24,2.3473955603299628e-19,2.6398103112331397e-23,2.2780332315827068e-33,1.3220221409808552e-36,1.3310734215367246e-38,1.882477165206521e-42,2.4521056521096427e-19,3.194285433016051e-50,1.8098141434522909e-57,2.377240628514315e-59,4.5900995167465921e-67,4.7173841359353161e-64,2.3268719354215008e-24,3.1872256196967437e-31,5.718396110502511e-38,6.9795181029726149e-39,4.5709324119660056e-21,1.1664424999501845e-44,4.5395518730268725e-53,1.4754280082485497e-31,1.985981468753365e-60,2.9340274644101327e-24,1.7729615178063673e-29,1.871395592684891e-36,3.276439028637698e-43,2.3246718640731807e-43,2.1083756447772952e-44,5.0420396760683721e-51,1.5429548260634738e-33,4.2080516927206522e-40,5.0219453226754466e-48,1.2541116348147316e-41,2.6552651222846348e-48,3.9360696246062623e-39,8.3299191372855461e-42,5.6698046125139049e-32,7.0224293251337467e-39,4.8157120927730786e-51,8.4014391077481411e-59,7.1319802930602707e-39,1.7555030542402648e-39,5.8038863121378765e-41,1.4356389388296021e-47,4.1133145814092615e-49,1.0158371721749605e-47,1.2872423698243467e-49,6.0740112292936622e-63,3.215046638378366e-68,1.1535082613823312e-68,2.4896811323564674e-45,6.3258492115094701e-52,4.467579841430159e-52,1.8410416080003156e-53,9.994381596216643e-66,6.6964404805317921e-34,4.2125386009012293e-70,1.6975990973345645e-56,2.1024984036051328e-63,1.2779347467814054e-69,2.530458642050972e-70,1.3442306110309496e-77,3.6231135705582013e-79,2.7682229664766926e-88,5.5709216137784935e-96,1.0761280479839979e-38,6.5867165171151069e-45,6.3478780220807272e-48,1.1248202271921748e-89,6.2801771766528355e-97
2.161108674019166e-16,0.002317487892797606,1.771886195066931e-31,7.0833190791677445e-27,3.4030474796107511e-21,1.7718774487682827e-31,4.1284694039388898e-20,1.1519272801082941e-32,2.5946652251291905e-56,1.1797391604101353e-44,5.3358774738115994e-48,1.5104333091808931e-44,9.9173825776369976e-38,3.550219110600439e-25,1.8950813576228998e-38,7.08324820171287e-56,2.960655411172823e-51,5.3707476868014307e-40,2.5045495029838152e-52,4.3363610415630486e-76,1.6963900957231474e-48,9.2479521304687265e-66,3.8156923734891773e-39,3.2860343896640379e-58,2.5575473629512085e-30,8.718130199979178e-46,4.7624231913758625e-48,9.203876587673551e-40,7.3271058206542795e-72,1.5596334107632543e-78,4.3431807796413696e-47,6.3643256392435635e-60,1.320091312221439e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996174097,0.108803,0.0001,2.0809547935293818e-14,1.7591147289966945e-13,1.7591147381391388e-13,6.9498394962380652e-20,1.1194330461452723e-19,9.9568563190930282e-15,7.8883411309998133e-20,1.2327155178063802e-27,8.8565266242230119e-28,4.9295924937590032e-32,4.4058025158450225e-24,9.4133078015552829e-19,1.0586816551133351e-22,1.8120136011815326e-32,1.0608390015888528e-35,1.0679511863556301e-37,3.0213781731057464e-41,9.8332064929042236e-19,1.0254795243280613e-48,1.1620937341945339e-55,1.5264421466133511e-57,5.8948298038351988e-65,3.029146076285888e-62,9.3317933352891745e-24,2.5575463370300881e-30,9.1770483402897989e-37,1.1203179292946587e-37,9.1519036316140103e-21,1.872400210322924e-43,5.827046735650044e-52,1.1838443360087918e-30,1.2752120597182389e-58,1.1760221828002496e-23,1.2589097157000425e-28,2.6397777397122757e-35,9.2119930486631126e-42,6.5360763790530958e-42,5.9285222788764088e-43,2.2296379559168443e-49,6.1879357100072834e-33,3.3766949990013775e-39,6.0322430279610734e-47,1.0062658177908588e-40,3.2420632214318936e-47,3.1500981805402513e-38,1.3337040911091386e-40,4.5495258573381475e-31,1.0972770076437848e-37,1.5423173418484338e-49,5.3724826067439212e-57,1.1311276339193206e-37,2.817890067961086e-38,8.186921109662271e-40,4.0189776438314321e-46,1.1090589774532682e-47,2.8552541516466351e-46,3.6195918866899335e-48,3.8909085247630442e-61,4.109289832357587e-66,7.3890881734854561e-67,1.9967782666838798e-44,1.0126353449923764e-50,7.1671042580874101e-51,2.8795726011249495e-52,2.575832626873852e-64,2.6855721797557736e-33,2.7104926793014919e-68,5.4503979716330382e-55,1.3501501509581231e-61,1.6413335938668441e-67,3.2500182648974158e-68,3.4523217570150908e-75,9.30692107843339e-77,1.4221914397636672e-85,5.7242084331410591e-93,1.5179782137096248e-37,1.8459856176683494e-43,8.9586967520922416e-47,5.7788327640335602e-87,6.4529801264955197e-94
