Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246)
0.0,0.002140385730680993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0183937478537105e-20,0.002140385730680993,7.2838969509475635e-36,1.1038676890884052e-31,2.052084122129538e-22,6.0024221524091698e-36,3.4954944140984809e-22,5.1405119520933079e-38,5.0173669340134758e-58,7.8370291176964446e-48,1.8773567387578119e-51,8.494872324585302e-52,1.9097821322830525e-37,3.3171609476307007e-27,1.4343106019609836e-43,4.991416270667477e-63,1.0106200970214789e-58,9.4034383726452026e-45,1.0972620866327203e-60,7.4935679208746101e-87,1.0454667014081279e-58,3.9663427649081302e-75,1.0176086637880465e-45,1.463424079553302e-69,4.8756283478555851e-39,8.921022088861801e-57,1.3868285449295538e-51,9.5170421260766916e-48,2.8312121390970614e-76,4.5220245476042117e-91,2.2877038430754784e-57,2.3305255061490866e-73,2.4219418050228092e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993125,0.108803,0.0001,2.189905959025237e-17,2.6235016671831924e-16,2.6234961198124821e-16,2.8775738609554114e-26,2.8782370561960914e-26,1.3915998254324043e-16,1.7498303794115711e-26,2.5824264413123636e-37,3.1355483672534284e-37,7.0420222151452515e-42,3.4019610197481924e-30,2.1363055520392612e-24,8.0537979832316036e-29,6.2028140693808849e-42,1.5065671807217248e-44,8.6881347775920025e-46,1.3447333683919483e-52,3.2365047513689008e-24,1.4282235173118932e-63,3.4152533148741155e-74,2.8940223064079644e-75,2.2388651467498528e-86,3.7695477230653381e-80,3.2812260117185387e-29,4.8756293654642485e-39
5.65150249399039e-20,0.0021403857306809934,3.9842758793298327e-35,6.667354651310002e-31,5.7458355387722931e-22,3.6254629783712143e-35,9.7873845791292272e-22,3.1048692923341255e-37,3.030489628178723e-57,4.7330702514765693e-47,1.1339234702788072e-50,1.0084290637440637e-50,5.3473899701384277e-37,9.2880506538977095e-27,8.6632360362586067e-43,5.9258093968508916e-62,1.1998081792242396e-57,5.6796767773486773e-44,1.3026695580986997e-59,3.0922416968395248e-85,2.3386671146336779e-57,1.2469552747084271e-73,1.2081049636060511e-44,4.6027884329266153e-68,5.7883459732394318e-38,1.9955969563935592e-55,8.3764444110550913e-51,9.9273177748251537e-47,3.3612150514458181e-75,2.6041953768429376e-89,5.1175018186737688e-56,9.616978423162922e-72,2.7547247142437583e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980791,0.108803,0.0001,6.1317366852698652e-17,7.3458046666127649e-16,7.3457891345400489e-16,1.7376644494165132e-25,1.7384551809326252e-25,3.896479333832601e-16,1.0568975267509208e-25,3.0638579653617847e-36,3.7154611794397261e-36,8.3602959108684383e-41,2.0547844557269331e-29,1.2903285044175403e-23,4.8644939810424261e-28,7.3639495988885312e-41,1.7885965566121738e-43,1.0314552191312266e-44,3.0081143610515067e-51,1.9548487955703181e-23,5.8936035797371496e-62,2.5709171255265881e-72,2.178547482158885e-73,3.0560395087641126e-84,2.8376211705469419e-78,1.981860510578972e-28,5.7883471813443959e-38
1.2917719986263747e-19,0.002140385730680993,1.8275187170673158e-34,3.2100429038484404e-30,1.3133338359296134e-21,1.7455043593946993e-34,2.2371165787804625e-21,1.494860985141234e-36,1.4590503044585227e-56,2.2782652002649792e-46,5.4593533973378915e-50,9.8990623993694458e-50,1.2222605644832703e-36,2.1229830068558723e-26,4.1709752311242826e-42,5.8179948060589618e-61,1.1779787852132849e-56,2.7345198791716777e-43,1.2789687146308144e-58,1.2232599864379674e-83,4.6208117832046677e-56,2.7812916349371213e-72,1.1861245281776915e-43,1.0280965075484205e-66,5.6830323981228084e-37,3.9429632963836118e-54,4.0328974081756664e-50,9.0360922919506752e-46,3.3000608690422926e-74,1.1675834955434907e-87,1.0111320485206469e-54,3.8043807539131574e-70,2.4938263499552113e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999956106,0.108803,0.0001,1.4015398137755929e-16,1.6790410659474334e-15,1.6790375160255584e-15,8.3621349599570406e-25,8.3699133442713495e-25,8.9062376411205676e-16,5.0885064071257111e-25,3.0038887488069759e-35,3.6329903975566331e-35,8.2081912632567457e-40,9.8929026424118756e-29,6.2123758101176273e-23,2.3420444522799162e-27,7.2299031608637519e-40,1.7560547047930039e-42,1.0126885505163485e-43,5.9435253600370237e-50,9.4117547031333745e-23,2.3314503065040975e-60,2.0327462936721029e-70,1.7225115026493114e-71,4.8277920728995858e-82,2.2436212488893467e-76,9.541805234592065e-28,5.6830335842473371e-37
2.7450154970810463e-19,0.002140385730680993,7.7973565369773475e-34,1.4019097946600873e-29,2.7908343949297158e-21,7.6230761074588019e-34,4.7538731719611032e-21,6.5284513083576409e-36,6.3720560066660911e-56,9.9453534973929867e-46,2.3842430592840618e-49,8.7524867450366264e-49,2.5973036990155349e-36,4.511338890638875e-26,1.8215744651336281e-41,5.1459505204362822e-60,1.0419088954878618e-55,1.1942366737459363e-42,1.131233375591658e-57,4.3657274463026949e-82,8.2224864772375206e-55,5.20680675393351e-71,1.0491135543182883e-42,1.9303615119427445e-65,5.0265777928160689e-36,7.0162925065346325e-53,1.7612722515649325e-49,7.6861519718187065e-45,2.9188664663066091e-73,4.3908778370516889e-86,1.7992551927486246e-53,1.3577562746093834e-68,1.8900955589470419e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999906736,0.108803,0.0001,2.9782721042715286e-16,3.5679622621232066e-15,3.5679547196728245e-15,3.648479371171545e-24,3.6553610457179154e-24,1.8925751417647601e-15,2.2222842344466506e-24,2.6494200490884725e-34,3.1871957721692344e-34,7.260053534098775e-39,4.3204904919640187e-28,2.7131072913703456e-22,1.0228323425858362e-26,6.3946496679396379e-39,1.5532104984188222e-41,8.9571102079577316e-43,1.0576179714893579e-48,4.1103598832630427e-22,8.3207758131953111e-59,1.4529212341051681e-68,1.2311785033189347e-69,6.9059952800901982e-80,1.6036459575731589e-74,4.1671570271475522e-27,5.0265788419296235e-36
5.651502493990389e-19,0.002140385730680993,3.2183654363299605e-33,5.8526968535176491e-29,5.7458354925112554e-21,3.1824842017165833e-33,9.7873877641046328e-21,2.7255004524148289e-35,2.6602079488270824e-55,4.1482917595182772e-45,9.9537454384363682e-49,7.3517453228389127e-48,5.3473899664537022e-36,9.288050661608072e-26,7.604714817398565e-41,4.3254814811760979e-59,8.757872066336847e-55,4.985703028956424e-42,9.5086986680019126e-57,1.4750802576510184e-80,1.3868421211455852e-53,8.9857125476903804e-70,8.8184288972909137e-42,3.3510945337613855e-64,4.2251415004334955e-35,1.1834002810941782e-51,7.3529649407563253e-49,6.3343324019315019e-44,2.4534831392196802e-72,1.5191320097245031e-84,3.0347059796218325e-52,4.5875502758651848e-67,1.3142547655101226e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999807978,0.108803,0.0001,6.1317366852582909e-16,7.345804644908453e-15,7.3457891209839927e-15,1.5202638484786054e-23,1.5260412731103307e-23,3.8964767618512478e-15,9.2775975450542773e-24,2.214506982764419e-33,2.6360739591369722e-33,6.1025130690882462e-38,1.8037197298674231e-27,1.1326685199438577e-21,4.2701236791609967e-26,5.3748901880988371e-38,1.3055670097153441e-40,7.5289818561540812e-42,1.7838252343482626e-47,1.715993783298189e-21,2.8113988937069531e-57,9.8261022522034758e-67,8.3264567911427104e-68,9.3448046341585152e-78,1.0845455949523933e-72,1.7397060244516624e-26,4.2251423822763859e-35
1.1464476487809076e-18,0.002140385730680993,1.3074273828144692e-32,2.3910175045901527e-28,1.1655837605999686e-20,1.3001486280115937e-32,1.9854422571520661e-20,1.1134563102320282e-34,1.0867817477211487e-54,1.6916974837958143e-44,4.0664297984931537e-48,6.0188179972969539e-47,1.0847562494824591e-35,1.8841474217159246e-25,3.1067741412051578e-40,3.5462910560832446e-58,7.1802326525193582e-54,2.0368223684687793e-41,7.7958065232899886e-56,4.8497386856103411e-79,2.2778910158243622e-52,1.490419022079435e-68,7.2298764265188921e-41,5.6240695748022147e-63,3.4640262604776472e-34,1.9437385074191179e-50,3.0039260976858387e-48,5.1419884402142181e-43,2.0115137097404336e-71,5.0456843272390127e-83,4.9845107681621459e-51,1.508285301189189e-65,8.7634931958522759e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999999961048,0.108803,0.0001,1.2438665847211385e-15,1.4901489372371578e-14,1.4901457899672879e-14,6.1871645490468812e-23,6.2343764739708895e-23,7.9042754611537011e-15,3.7901999479573205e-23,1.7954338665559872e-32,2.0939527804511768e-32,5.0032093236813884e-37,7.3687836235124268e-27,4.6273174888816505e-21,1.744484848603782e-25,4.4063347758856857e-37,1.0703827100638538e-39,6.1726994812299341e-41,2.9299315387989209e-46,7.0103899812300279e-21,9.2432434575792655e-56,6.4639236735127036e-65,5.4774090374308028e-66,1.229720986373152e-75,7.1344907705085458e-71,7.1072667314820108e-26,3.4640269834652901e-34
2.3090424475446447e-18,0.002140385730680993,5.2700685533570514e-32,9.6648746716867875e-28,2.3475841506277938e-20,5.2554085470957788e-32,3.9988514678868529e-20,4.5007720261160141e-34,4.392945587173507e-54,6.8138427133881427e-44,1.6437159445455215e-47,4.8603451245879165e-46,2.1847907525544582e-35,3.794832138271269e-25,1.2558077830197281e-39,2.871878446255728e-57,5.8147385689047029e-53,8.2331616866180815e-41,6.3132476416513678e-55,1.5729995134532683e-77,3.6925551772386225e-51,2.4214137044239068e-67,5.8549342985322107e-40,9.352005953436105e-62,2.8052582542071969e-33,3.1508838567144053e-49,1.2142349557624045e-47,4.1434571870228076e-42,1.6289759525432369e-70,1.6405931943846278e-81,8.0800972982497122e-50,4.8920816426932122e-64,5.7242330418566345e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999215484,0.108803,0.0001,2.5052524171035838e-15,3.0012858676114298e-14,3.0012795361316847e-14,2.4820654013110868e-22,2.5200346000314753e-22,1.5919854696317658e-14,1.5320583117854971e-22,1.4223782683033211e-31,1.5961011308568675e-31,4.0517290550455956e-36,2.9785801474710258e-26,1.8704332915159964e-20,7.0514866367209478e-25,3.5678379575850349e-36,8.6682366443662984e-39,4.9987882259833559e-40,4.7495233505408636e-45,2.8337080476783476e-20,2.9980102319157977e-54,4.1939952916980645e-63,3.5539138405805345e-64,1.5959334768255648e-73,4.6290849420915739e-69,2.8728708236245482e-25,2.8052588397006275e-33
4.634232045072119e-18,0.002140385730680993,2.116118855563695e-31,3.8862034310378439e-27,4.7115848000040125e-20,2.1131765957450526e-31,8.0256788863626789e-20,1.8097435267137081e-33,1.766384100878088e-53,2.7204689661887604e-43,6.6093095469125823e-47,3.8899205134888028e-45,4.3848597482897426e-35,7.6162015931623913e-25,5.0495478804139813e-39,2.3115376297554633e-56,4.6802074820102497e-52,3.3105181141959746e-40,5.0814531944469712e-54,5.0676171280331502e-76,5.9467323620733191e-50,3.8838644337072518e-66,4.7125490958318967e-39,1.5696639814582522e-60,2.257915858761214e-32,5.0744012338618748e-48,4.882385340810897e-47,3.3267223273624422e-41,1.3111415617045111e-69,5.265109985853872e-80,1.3012717152278826e-48,1.5760456725541972e-62,3.7009651559674565e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999999842549,0.108803,0.0001,5.0280240818357819e-15,6.0235596688573096e-14,6.0235469901669636e-14,9.8315694193633182e-22,1.0132947891025364e-21,3.1950940513211069e-14,6.1603301866147437e-22,1.0970544989430157e-30,1.1489521388581274e-30,3.2611846303492984e-35,1.1976739691527429e-25,7.5209105234758992e-20,2.835371730936514e-24,2.8708596998700282e-35,6.9769508791876925e-38,4.0234212532035913e-39,7.6488902919795859e-44,1.1394185920943159e-19,9.6584015108846881e-53,2.7025698570459424e-61,2.2901076016370205e-62,2.0569190267705381e-71,2.9829435940778631e-67,1.1551687030039683e-24,2.2579163300161242e-32
9.284611240127069e-18,0.002140385730680993,8.4806776744785563e-31,1.5585412832590746e-26,9.4395855760387769e-20,8.4747827535458827e-31,1.6079369711338764e-19,7.2579041511479993e-33,7.0839902883611988e-53,1.0757788545642471e-42,2.650628758682075e-46,3.0865247526704048e-44,8.7849976981254539e-35,1.5258940590066324e-24,2.0250945611938034e-38,1.8548633858654833e-55,3.7555717726881815e-51,1.3276658389706271e-39,4.0775497844749078e-53,1.6270989444121727e-74,9.5457777682844415e-49,6.1587354940569149e-65,3.7815055753544259e-38,2.7144140902951589e-59,1.8118352200221706e-31,8.1455375306068169e-47,1.9580548827585526e-46,2.6661622485667188e-40,1.0521085262708094e-68,1.6704239451549261e-78,2.0888195150848415e-47,5.0603290495757039e-61,2.3806783706842408e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999996845504,0.108803,0.0001,1.0073567411169409e-14,1.2068107040709448e-13,1.2068081745063468e-13,3.8284746332301386e-21,4.0637649906818268e-21,6.4012821535893938e-14,2.4705607940511339e-21,8.1223351278719793e-30,7.5997004244924338e-30,2.6168962003079873e-34,4.8032082268484019e-25,3.016205878588951e-19,1.1371108540796924e-23,2.3023264462270901e-34,5.5985635412709849e-37,3.2284805510033588e-38,1.2277936099706521e-42,4.5695545039726465e-19,3.101053788616637e-51,1.7355395302888755e-59,1.4706640518439321e-60,2.6419010794431062e-69,1.9155982203040945e-65,4.6327430018170506e-24,1.8118355981727293e-31
