Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539)
0.0,0.0022497497034363904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.417675534514884e-19,0.0022497497034363904,8.3632280741553142e-37,3.2675288547260926e-32,6.3485836078227109e-24,8.3462679842785267e-37,7.521794483777918e-23,5.2871584754016793e-38,1.4494022621387823e-61,1.332758753170186e-49,2.7022110592181783e-53,3.4640580670611115e-52,2.021070147747086e-40,6.4878778763192684e-28,8.8249600927057095e-44,1.0258946021698678e-63,4.1450290094617642e-59,2.5551691881801362e-45,3.4725971438719867e-60,7.050269678164738e-89,7.2725018331757556e-59,5.3638614510323573e-76,5.3385585868675034e-47,1.4204822835670044e-68,3.2388992315183845e-38,3.6677305106390456e-56,2.3692842858848877e-53,1.2457399942617279e-47,1.2374514758157183e-79,2.8988134193984808e-91,1.8551269625142365e-57,8.8423596845461937e-73,3.248722635743549e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993316,0.108803,0.0001,3.5008003350632594e-17,3.0696418832123566e-16,3.0696412378583323e-16,4.776774770035515e-25,4.7847648570968919e-25,1.79011843567179e-17,3.3593018662292611e-25,2.6618074892022401e-35,3.7188483281043495e-35,6.1924651854946301e-40,1.936701990139491e-29,4.0262818662208503e-24,4.6479489182078368e-28,2.3612805868063471e-40,1.3710833104215135e-43,1.4432457070190603e-45,1.2450491225696214e-51,4.245494836704997e-24,1.3106539022396447e-61,4.7627837890962264e-71,6.3792912398801426e-73,7.9502589100693828e-83,1.2879026311632248e-77,4.1477871543534345e-29,3.2388992328788248e-38,3.5445260703279071e-47,4.3359159958284902e-48,1.6695298011801052e-23,7.5147784778651569e-54,4.0079352795125982e-62,1.5027937052959429e-38,5.2184362312129376e-74,5.0894652704740823e-29,7.7337620508345225e-35,4.8851028374489427e-44,5.3460719608206261e-53,3.8072939745612765e-53,3.269845611254729e-54
9.569491496641676e-19,0.0022497497034363904,5.0458944026681114e-36,1.9735874136866446e-31,1.7776034015341161e-23,5.0411458419479772e-36,2.1061037100460833e-22,3.1934453678494332e-37,8.7543896552804504e-61,8.0297195223794513e-49,1.6321354798916734e-52,4.1066569186082011e-51,5.6589964093594478e-40,1.8166058056072952e-27,5.3302758965771685e-43,1.2179420717784612e-62,4.9209784397797722e-58,1.543322189828396e-44,4.1226673745787639e-59,2.9093124247502861e-87,1.626828920351188e-57,1.682389138041452e-74,6.3379341046304889e-46,4.4562344237700385e-67,3.8452211596662008e-37,8.2045664261950937e-55,1.4310477078517394e-52,1.4766046664513892e-46,1.4691023899811372e-78,1.6655849973249508e-89,4.1498431526967221e-56,3.6488230656527157e-71,3.6951875620970558e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981329,0.108803,0.0001,9.8022409381737388e-17,8.5949972466782134e-16,8.5949954504973822e-16,2.8805255347305673e-24,2.889997964312355e-24,5.0123288787259843e-17,2.0290179770838156e-24,3.1534658909443426e-34,4.386342811580402e-34,7.3516950015710501e-39,1.1697679990454745e-28,2.4318731374387954e-23,2.807361139424727e-27,2.8031805462046044e-39,1.6277501010446294e-42,1.7134199934498083e-44,2.7851230509065112e-50,2.5642777111898529e-23,5.408446169539352e-60,3.5853022332998515e-69,4.8021678389539647e-71,1.085205665229859e-80,9.6950043014076515e-76,2.5052634355432345e-28,3.8452211571052537e-37,7.9289528749823558e-46,9.6992683973297698e-47,4.6746669368894867e-23,1.6810258959074613e-52,8.9533601095024715e-61,1.7841159411875404e-37,3.9283057789835578e-72,3.0740278854914931e-28,4.7499441585394677e-34,5.8891339237415849e-43,1.2135322136319332e-51,8.6423716777454408e-52,7.4223940701970813e-53
2.1873123420895256e-18,0.0022497497034363904,2.4281799664252507e-35,9.5019737434108828e-31,4.0630934484128054e-23,2.4270946989938038e-35,4.8139572517356981e-22,1.5375081559542773e-36,4.2148617662068944e-60,3.8455452763975509e-48,7.8580297620414928e-52,4.0191452119263537e-50,1.2934848915254602e-39,4.152241842509632e-27,2.5662983958335268e-42,1.1957827485414475e-61,4.8314458126435579e-57,7.4304320017416567e-44,4.0476593665537542e-58,1.1508940998190815e-85,3.2143369929863073e-56,3.7340970333296265e-73,6.2226156747942816e-45,9.8968890946200255e-66,3.7752609194812519e-36,1.621084059768006e-53,6.8898786910145022e-52,1.4485277459080964e-45,1.4423734336670982e-77,7.4314792237030606e-88,8.1993835946138645e-55,1.4434368793394538e-69,3.3452392418092598e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999957321,0.108803,0.0001,2.2405122144381123e-16,1.9645707868713892e-15,1.9645703813751678e-15,1.3821387159341771e-23,1.3914096063835743e-23,1.1456738800232915e-16,9.7688445754068528e-24,3.0821340118642158e-33,4.246997695258416e-33,7.217937988953845e-38,5.6319293424084782e-28,1.1708411020606362e-22,1.3516235346757773e-26,2.7519002162347452e-38,1.5981346908716029e-41,1.6822431353470823e-43,5.5029250185118082e-49,1.2345881432454584e-22,2.1395241476339586e-58,2.8347862281503528e-67,3.7969237676921008e-69,1.7143563043196123e-78,7.665538889518144e-74,1.2061764959565993e-27,3.7752609081212235e-36,1.5666230790492703e-44,1.9164110162863436e-45,1.0684875183375008e-22,3.3214239298854974e-51,1.7635963585738111e-59,1.7516540311015939e-36,3.1059883962518717e-70,1.4800027939219705e-27,2.3671051255057965e-33,5.9716477665423032e-42,2.4740010455523964e-50,1.7619012008355182e-50,1.5131888350010866e-51
4.648038726940242e-18,0.0022497497034363904,1.0602065769942203e-34,4.1497614982785734e-30,8.6340734036699583e-23,1.0599760021411408e-34,1.0229684408526803e-21,6.7147167924259376e-36,1.8407408604036826e-59,1.6616827687616322e-47,3.4318080470923837e-51,3.5321694921674256e-49,2.7486553857726626e-39,8.8235139201207097e-27,1.120769932678162e-41,1.0576562995796703e-60,4.2733591059460025e-56,3.2450648715863534e-43,3.5801090322752809e-57,4.1074523928080505e-84,5.7197308933077034e-55,6.921929959149538e-72,5.5038231112244057e-44,1.8370126443774431e-64,3.3391754996953259e-35,2.8846324441869423e-52,3.0089910304203742e-51,1.280684401604832e-44,1.2757629597540724e-76,2.7677251661285622e-86,1.4590339393253569e-53,5.151514818696303e-68,2.5353936287276024e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999909304,0.108803,0.0001,4.7610884556741618e-16,4.17471286961221e-15,4.1747120292165073e-15,5.9951699350695375e-23,6.0766512232457575e-23,2.4345514784990192e-16,4.266307943860855e-23,2.7016068724640193e-32,3.6546644129380922e-32,6.3841846738330095e-37,2.459611481200046e-27,5.1133607688890287e-22,5.9028950155661223e-26,2.4335282877230521e-37,1.4135320166962427e-40,1.4879200665563414e-42,9.7921296010514742e-48,5.3917603048752609e-22,7.6357855610359552e-57,2.0261802999449996e-65,2.7138738265735762e-67,2.4523231312341622e-76,5.4789930597922773e-72,5.2676895978918486e-27,3.3391754739119323e-35,2.7877063530743381e-43,3.4101475336687413e-44,2.2705027582420934e-22,5.9102965498425703e-50,3.1188128631724216e-58,1.5493153436585812e-35,2.2200236655699037e-68,6.4634792589338401e-27,1.1042510284718144e-32,5.619239933148783e-41,4.6750078796452069e-49,3.3293856596869721e-49,2.8594117741547034e-50
9.569491496641676e-18,0.0022497497034363904,4.4256655763920053e-34,1.7324436767516131e-29,1.7776032760181581e-22,4.4251909985038971e-34,2.1061219015754453e-21,2.8032743959549792e-35,7.6847306811747052e-59,6.7915566847477971e-47,1.4327123052895781e-50,2.9312222453328907e-48,5.6589963465397557e-39,1.8166058090568489e-26,4.6789938493055268e-41,8.8902384887972179e-60,3.5920158161441735e-55,1.3547507059109178e-42,3.0092976296234474e-56,1.3878106660499393e-82,9.6471282678701866e-54,1.1713002723162025e-70,4.6262781590440612e-43,3.1169995809632714e-63,2.8067781572472224e-34,4.8653541562251523e-51,1.2561945173606693e-50,1.0762769817392462e-43,1.0723556247567154e-75,9.3921292993886572e-85,2.4608653487835669e-52,1.7405744280668465e-66,1.7629555007051415e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999813287,0.108803,0.0001,9.8022409381245494e-16,8.5949968707103858e-15,8.5949952256611131e-15,2.4692505873526867e-22,2.5368821965298434e-22,5.0122891322672308e-16,1.7810969665305732e-22,2.2306965760564273e-31,2.9136031707834586e-31,5.3662922758185341e-36,1.0268393537672424e-26,2.1347191644361779e-21,2.4643424176606377e-25,2.0446927554022538e-36,1.1881587998335343e-39,1.2506781664715319e-41,1.6515751687295487e-46,2.2509450385141614e-21,2.5799430401722261e-55,1.3702981106343622e-63,1.835382659105441e-65,3.3183287916193953e-74,3.7054272426447478e-70,2.1991566699148437e-26,2.8067781091035776e-34,4.7018212016113472e-42,5.7517005212919945e-43,4.6744276051273056e-22,9.9685794352303301e-49,5.195556531734131e-57,1.3022881724315144e-34,1.5013936554062372e-66,2.6983070182842017e-26,5.1989838837528113e-32,5.2908645548823355e-40,8.8051933421208986e-48,6.2707692931815655e-48,5.3856168846377501e-49
1.941239703604454e-17,0.0022497497034363904,1.8079310435674629e-33,7.0775972106556783e-29,3.6059949257179831e-22,1.8078347876752157e-33,4.27246094047753e-21,1.1452391228409272e-34,3.1394631804466105e-58,2.6600791185331196e-46,5.8530972570161926e-50,2.342751125359191e-47,1.1479678157164694e-38,3.6851146492366681e-26,1.9115216628438016e-40,7.2887546470761653e-59,2.9449515838969293e-54,5.5345986881591157e-42,2.4672044539427764e-55,4.5627871629356174e-81,1.5845325789874068e-52,1.8684238783709712e-69,3.7928747987930357e-42,5.0009101122017709e-62,2.3011662286206121e-33,7.9913585234706026e-50,5.1319644538773398e-50,8.8230941505977518e-43,8.7918190819539826e-75,3.0020327030754566e-83,4.0419503185813332e-51,5.7225884557210146e-65,1.1755444915757764e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999621235,0.108803,0.0001,1.9884545902938489e-15,1.7435564232788281e-14,1.7435561221598068e-14,9.8230875232943542e-22,1.0363990965053658e-21,1.0167694268025817e-15,7.276340882940661e-22,1.7662647466236582e-30,2.1645124251053843e-30,4.3996112277884479e-35,4.1949736321658046e-26,8.7209565017049831e-21,1.0067642450418709e-24,1.6749959261283669e-35,9.7412431797908019e-39,1.0253679071534843e-40,2.712682307799694e-45,9.1957734280219726e-21,8.4821809200397767e-54,9.014165422223846e-62,1.2073608552803008e-63,4.3666794952432231e-72,2.4375295749489318e-68,8.9842722162112646e-26,2.301166145740511e-33,7.7225812569520419e-41,9.4471468358406133e-42,9.4818548043671369e-22,1.6373423090868986e-47,8.3260163849081318e-56,1.067686772639213e-33,9.8765449505979537e-65,1.1022906174996918e-25,2.605219739199848e-31,5.2684467580881342e-39,1.7485072617671266e-46,1.2452303694646995e-46,1.069469485938245e-47
3.909820811485027e-17,0.0022497497034363904,7.307750364177705e-33,2.8608775570748316e-28,7.2627773386962225e-22,7.3075562439299904e-33,8.6052674880953293e-21,4.6293210020911504e-34,1.2690211732948126e-57,9.8958042330018079e-46,2.3659155002375777e-49,1.8041524977029813e-46,2.3121041334777598e-38,7.422132353957468e-26,7.7266762165364946e-40,5.9026225005171889e-58,2.3848981414014842e-53,2.2371732886544335e-41,1.9980068510026619e-54,1.4799091826573131e-79,2.568559489529713e-51,2.8112013420533301e-68,3.0715237372486289e-41,7.6214437884850067e-61,1.8635439391296358e-32,1.2954335604271747e-48,2.0744220924975358e-49,7.1448172827918948e-42,7.1198426798855765e-74,9.0512095353083954e-82,6.5520835508612499e-50,1.8560822586574713e-63,7.6785480524482985e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999237133,0.108803,0.0001,4.0049155832218985e-15,3.5116696523549219e-14,3.5116691625663244e-14,3.7717564896064053e-21,4.1892903922202929e-21,2.0478223860072458e-15,2.9411960480773199e-21,1.3384533829283328e-29,1.4739433963889082e-29,3.5629202068690596e-34,1.6956752751350321e-25,3.5250952198421352e-20,4.0695017195737689e-24,1.3542466676711353e-34,7.8887104684176999e-38,8.3034746210013432e-40,4.397261882492406e-44,3.7170208276508303e-20,2.7511054223434096e-52,5.8485511373657989e-60,7.8335724342517509e-62,5.6669659512607944e-70,1.5815209134972564e-66,3.6315861949710348e-25,1.8635438017063027e-32,1.2518072312174503e-39,1.5314107170579525e-40,1.909501952199454e-21,2.6542029060440785e-46,1.2856111498267373e-54,8.6462787446057011e-33,6.4080784467373292e-63,4.455183509781927e-25,1.4421016256461738e-30,5.7737255266014095e-38,3.8141815506681041e-45,2.7163410506270658e-45,2.3329803796860421e-46
7.846983027246174e-17,0.0022497497034363904,2.9383747236745222e-32,1.1503459643599738e-27,1.4576338618875867e-21,2.93833540898905e-32,1.727139446248977e-20,1.8614950437801158e-33,5.1026780030473998e-57,3.388261107704605e-45,9.5132422177881921e-49,1.3170679023836217e-45,4.6403765915455655e-38,1.4896167860844568e-25,3.1068625474925711e-39,4.7509441269180011e-57,1.9195734987847814e-52,8.9955754658188333e-41,1.6081708915287209e-53,4.7675963704882206e-78,4.136469592059768e-50,3.8879432392255541e-67,2.4721577080900252e-40,1.0873768436146493e-59,1.4999420702405356e-31,2.0862555124710129e-47,8.3411612165185536e-49,5.7506276717418917e-41,5.7306682280198257e-73,2.5110773063737445e-80,1.0551631948217283e-48,5.9794513615165744e-62,4.9645140634675382e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998468928,0.108803,0.0001,8.0378375689390492e-15,7.0478952223871372e-14,7.0478946082561066e-14,1.3773085186599311e-20,1.6844948710179569e-20,4.1098160387406902e-15,1.1826281176648598e-20,9.5399789297708098e-29,8.9737069530422141e-29,2.8677497038917862e-33,6.8182346491653433e-25,1.4173811882679641e-19,1.6363284991323178e-23,1.0864771038362809e-33,6.3495192247272199e-37,6.6830037767935413e-39,7.0812906498121941e-43,1.4945512302358002e-19,8.8626039916301867e-51,3.768594242399801e-58,5.0476700801500982e-60,7.3035698638415238e-68,1.0190854082520822e-64,1.4602446107414807e-24,1.4999418464686465e-31,2.0158150940085739e-38,2.4662495025197134e-39,3.8314592611164955e-21,4.2745134538950548e-45,1.8840423096673318e-53,6.9590752323901815e-32,4.1291334843819846e-61,1.7910467757793634e-24,8.9263141349456786e-30,7.0727956532359075e-37,9.2973803120629296e-44,6.6213245053163275e-44,5.6870600031023018e-45
1.5721307458768467e-16,0.0022497497034363904,1.1784114859570404e-31,4.6133992654551166e-27,2.9203446995398789e-21,1.1784032640165676e-31,3.4605703927206241e-20,7.4659525043401019e-33,2.0464018444484882e-56,1.0072544852409743e-44,3.8152356580566809e-48,8.8112160385712959e-45,9.2969207978621844e-38,2.9844239264407667e-25,1.2459908592671989e-38,3.8123334932558234e-56,1.5403368312426282e-51,3.607628152155796e-40,1.290457715292778e-52,1.5306928952519115e-76,6.6395765005079353e-49,4.6851781723979568e-66,1.983635629759699e-39,1.4274307943847893e-58,1.2036087006526132e-30,3.3489011683420639e-46,3.3451834202116548e-48,4.6144575033643835e-40,4.5984994283865019e-72,6.0849494622771437e-79,1.6936753904522164e-47,1.9197705644492868e-60,3.1934665271521672e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996932535,0.108803,0.0001,1.610368153981756e-14,1.412034330218544e-13,1.41203429591446e-13,4.6544068392533955e-20,6.7555748790051341e-20,8.2333543303973354e-15,4.7427565637950735e-20,6.2184418061412008e-28,4.8194185379074302e-28,2.3011910288482067e-32,2.7344162778322794e-24,5.6839788472682779e-19,6.5624074148836752e-23,8.6620375867518036e-33,5.0950874014863015e-36,5.362120038915425e-38,1.1365871184469659e-41,5.9934459756749196e-19,2.8453082576272963e-49,2.4199208573983118e-56,3.2412517325054692e-58,9.37991485700303e-66,6.5439726563267563e-63,5.8562321870342777e-24,1.2036083395241099e-30,3.235245962674868e-37,3.9587474403929444e-38,7.6726732410392086e-21,6.8615455656365216e-44,2.5372465389482723e-52,5.5838952717379409e-31,2.6514334679815086e-59,7.1799893333242595e-24,6.0871180301584438e-29,9.5661202936020257e-36,2.5045804455618929e-42,1.7837005203751157e-42,1.5321353093811142e-43
