Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432)
0.0,0.0038289451735605494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.530039028267936e-20,0.0038289451735605494,1.1278126134663059e-35,2.1177776639904843e-31,2.7374897525868795e-22,1.060709252548004e-35,3.2582602240717721e-22,6.4958928027293336e-38,3.6202810926307272e-58,1.0883251430587596e-47,1.4337857984268111e-51,1.8964559336139262e-51,1.7317469160959849e-37,3.0610228024499807e-27,1.6821359192688802e-43,5.758566431155539e-63,2.2381372770499898e-58,1.0045370841377097e-44,2.9741123504660617e-60,4.2688093885674408e-86,8.7381153874319795e-58,1.5436394900497874e-74,5.6856608165441362e-45,5.2186379002713838e-69,2.6522695052397335e-38,5.1255189120697666e-56,1.9261017841793743e-51,2.2105127525932293e-47,2.3734499355810154e-76,2.3340033547166056e-90,1.9478535020897728e-56,2.6664733911024988e-72,1.9518164805987598e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991391,0.108803,0.0001,4.5820095232468532e-17,2.98028414511955e-16,2.9802788404151952e-16,4.9329699419344167e-26,4.9358182501426076e-26,2.1853821952074217e-16,3.0508354832681335e-26,1.0805853490551745e-36,1.331493914387489e-36,1.834491217915756e-41,5.1907648715049842e-30,9.0410778361603527e-24,1.2196242007711042e-28,1.3028424542899032e-41,4.8097338862261227e-44,2.2687834937794501e-45,8.4835053166931596e-52,1.3135351349592893e-23,2.3199569933060862e-62,8.4400054205903492e-73,1.0282712263426941e-73,1.2183412482905157e-84,8.2254802668856858e-79,7.4542786940824323e-29,2.6522700734981016e-38,2.7150555229116216e-48,3.6207521474328664e-49,6.9071050524830913e-23,2.211023578809943e-54,2.086078824567966e-62,6.0855717868014843e-38,8.7938559485149098e-76,3.5407943316029569e-29,6.7097252856145243e-34,1.6928630315369558e-43,1.732937364451235e-53,1.4018255511062237e-53,1.1555078777905996e-54,1.0911350864909571e-63,2.9433945124352551e-37,4.8747319060822793e-47,1.8277920889402628e-57,1.9035629519044788e-47,1.0668021810234163e-57,1.0359325458651152e-45,3.3516512485158585e-51,3.1809457145280086e-40,2.6339873914902749e-50,1.289102808767018e-63,5.653853750042115e-74,2.6340343293923989e-50,2.3903507708601374e-50,1.6625212105286433e-47
1.548410927915022e-19,0.0038289451735605494,6.5945732429931782e-35,1.279137147208739e-30,7.6649713018189356e-22,6.4066838815958423e-35,9.1231289608481059e-22,3.9235193970392591e-37,2.1866497800508022e-57,6.5723781579452316e-47,8.6600662233333381e-51,2.2511942006999282e-50,4.8488913647158398e-37,8.5708638475679626e-27,1.0160100953087386e-42,6.8365700676361414e-62,2.6571165754405799e-57,6.0674039886093608e-44,3.5308661990389458e-59,1.7615360126368164e-84,1.9546812888689028e-56,4.8526590756448522e-73,6.7500159038424122e-44,1.6429050575648163e-67,3.148774355152782e-37,1.1465580779924393e-54,1.163365477575349e-50,2.433874306391914e-46,2.8177597634833851e-75,1.344051338986528e-88,4.3572699892088776e-55,1.1003276174058637e-70,2.220038951589958e-90,0.88129999999999997,0.0,0.0,0.0,0.00988999999999759,0.108803,0.0001,1.282962666508836e-16,8.3447956037478119e-16,8.3447807515590776e-16,2.9778493192140762e-25,2.9812342193488667e-25,6.1190694141315534e-16,1.8427045336658382e-25,1.2809730913581048e-35,1.5739132228268378e-35,2.1779091249421631e-40,3.1352219757738005e-29,5.4608104676059693e-23,7.3665301707509402e-28,1.5467174262231761e-40,5.71011605725346e-43,2.6934988703929529e-44,1.8977256039491583e-50,7.93375142271784e-23,9.5733645311465224e-61,6.3534234774917662e-71,7.7405667731820882e-72,1.6630292960731414e-82,6.191934604936392e-77,4.5023843289339129e-28,3.1487750294660298e-37,6.0734685906868452e-47,8.0994771481899658e-48,1.9339882639406152e-22,4.9459713131043298e-53,4.66592389170262e-61,7.2247901640711527e-37,6.619793243617125e-74,2.1386386897748254e-28,4.055104499664063e-33,2.010870744457392e-42,3.8785446332697368e-52,3.1374721796233549e-52,2.5861810001828756e-53,4.4881485435672109e-62,1.777810284631791e-36,5.7872817106969731e-46,4.0817426059857733e-56,2.2599095834672347e-46,2.3822510169945015e-56,1.2298558663644195e-44,6.6407166845473263e-50,3.7764185668475676e-39,5.8919542031648678e-49,4.7263515453111761e-62,3.7877911433531974e-72,5.8921478856650913e-49,5.3471188092119665e-49,1.9748291519039196e-46
3.539224978091479e-19,0.0038289451735605494,3.1274886183515902e-34,6.1584935079496767e-30,1.7519934378585741e-21,3.0845425007184834e-34,2.0852867768189345e-21,1.889005842618957e-36,1.0527777418825811e-56,3.1631914372853221e-46,4.1694491030692641e-50,2.2096410631459998e-49,1.1083180260543876e-36,1.9590545940635994e-26,4.8916512542919218e-42,6.7121850339035941e-61,2.6087728105226344e-56,2.9211938412988356e-43,3.4666254052383998e-58,6.9684601021287916e-83,3.8621200961033215e-55,1.0822281341194996e-71,6.6272043333319732e-43,3.68098606008055e-66,3.0914853307571362e-36,2.2654055482219591e-53,5.6011039873583101e-50,2.2909040030660648e-45,2.7664932447764071e-74,6.0252412209041725e-87,8.6092295891300249e-54,4.3527858141352385e-69,2.0097898390241545e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999944917,0.108803,0.0001,2.9324860948760061e-16,1.9073818510669919e-15,1.9073784567432971e-15,1.4320136412805746e-24,1.4353359415358701e-24,1.3986440922184e-15,8.8718281119378215e-25,1.2536652283231041e-34,1.5309875252324584e-34,2.138284606443613e-39,1.5094744147104572e-28,2.6291446166032686e-22,3.5466671729845655e-27,1.5185400458734341e-39,5.6062257791139108e-42,2.6444912707435211e-43,3.7495833988499203e-49,3.8197589838074491e-22,3.7871252162289534e-59,5.0234574872800576e-69,6.1202292391283508e-70,2.6271769212050967e-80,4.8957735916791554e-75,2.1677042408013375e-27,3.0914859921175229e-36,1.2000141768656178e-45,1.6003199477496275e-46,4.4205391783151627e-22,9.7724058795359325e-52,9.2166757737004915e-60,7.0933404249155377e-36,5.2340679125170202e-72,1.0296613618617111e-27,1.9548337500998189e-32,1.9766227818019622e-41,7.672141909262683e-51,6.2062273754091601e-51,5.1157218351189177e-52,1.7629799207130914e-60,8.5593912289799089e-36,5.6819874843037063e-45,8.0349209351433288e-55,2.2187918823366575e-45,4.689110165450666e-55,1.2074728940397468e-43,1.2157711436048057e-48,3.7077097499956001e-38,1.1640772580932049e-47,1.7306470081621798e-60,2.7704093095027349e-70,1.1641538699109275e-47,1.0565004614327772e-47,1.9411950290734525e-45
7.520853078444393e-19,0.00382894517356055,1.3562267863298826e-33,2.6895756577565315e-29,3.7229860445330067e-21,1.3471007448552313e-33,4.4312350718026122e-21,8.2497860839100972e-36,4.5977569891116111e-56,1.3804605747674217e-45,1.8209079652834169e-49,1.9533440297748772e-48,2.3551758046553257e-36,4.1629910138100323e-26,2.1363126185709467e-41,5.9368516515234926e-60,2.3074300079730957e-55,1.2757620975021394e-42,3.0661909713883516e-57,2.4869930634145015e-81,6.8724337176627973e-54,2.0254899411274308e-70,5.8616848551189612e-42,6.9555252299503615e-65,2.7343837595663074e-35,4.0311681247697472e-52,2.4461492648379921e-49,1.9837582357176438e-44,2.4469319452816224e-73,2.2653012987411741e-85,1.5319658177117486e-52,1.5534777541182221e-67,1.523241285937928e-86,0.88129999999999997,0.0,0.0,0.0,0.009889999999988297,0.108803,0.0001,6.2315329516058188e-16,4.0531864283282347e-15,4.0531792173525302e-15,6.2391573864462014e-24,6.2684891197627627e-24,2.9721172219114356e-15,3.87455954126312e-24,1.1017995435332676e-33,1.3293940911258289e-33,1.8912887374258883e-38,6.5922712842698768e-28,1.1482160397688005e-21,1.5489227320302851e-26,1.3430669122766876e-38,4.9586431661327587e-41,2.3390192145848339e-42,6.6721740218859433e-48,1.6681883931228158e-21,1.3515962354708425e-57,3.5905524700762888e-67,4.3744779952172978e-68,3.7580858345602056e-78,3.4992900746793527e-73,9.4669339059603198e-27,2.7343843433146651e-35,2.1353580010208612e-44,2.8476829525121834e-45,9.3936225950923295e-22,1.7389474239339775e-50,1.6391983932615241e-58,6.2739767847839395e-35,3.7410877959901762e-70,4.4967919602286723e-27,8.5590226193275162e-32,1.7524594846353555e-40,1.3683596579594323e-49,1.106907289924155e-49,9.1241181607762441e-51,6.2046597075450957e-59,3.7381110171813113e-35,5.0256535525267481e-44,1.4191929860366302e-53,1.9624949626548293e-44,8.2810336114421141e-54,1.067983846703244e-42,2.0782381924309902e-47,3.2794265866722592e-37,2.0711501874103004e-46,5.9282134142671454e-59,1.8997071591627134e-68,2.0714235590418294e-46,1.8799857342361476e-46,1.7210494961672308e-44
1.548410927915022e-18,0.0038289451735605494,5.642669285460468e-33,1.1228448372251153e-28,7.6649712231661284e-21,5.6238804040843805e-33,9.1231337958316891e-21,3.4441243646049466e-35,1.9194730366219426e-55,5.7549065030786596e-45,7.6019323147732498e-49,1.6401254162025165e-47,4.8488913595985249e-36,8.570863857834203e-26,8.9186846539701121e-41,4.9902815388045889e-59,1.9395339555930244e-54,5.3260556259233413e-42,2.5773183620094484e-56,8.4029817296401287e-80,1.1591355047891528e-52,3.493686356681655e-69,4.927095399067072e-41,1.222759367639048e-63,2.2984142995919716e-34,6.7991542230775141e-51,1.0212191650097723e-48,1.6499221816181838e-43,2.0567937384066103e-72,7.8333314900061087e-84,2.5838822815557673e-51,5.2488462747405591e-66,1.0591674475591845e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999759076,0.108803,0.0001,1.2829626665047342e-15,8.3447955664420025e-15,8.3447807283088066e-15,2.5924197495438757e-23,2.6169707841100204e-23,6.1190587936346742e-15,1.6175516030456368e-23,9.1448020626948571e-33,1.0779414700934368e-32,1.5897422534142954e-37,2.7521434425837895e-27,4.7935718599261877e-21,6.4664474860194288e-26,1.128820070794304e-37,4.1680382827203176e-40,1.9660809230304265e-41,1.1253565338684663e-46,6.9643522310836023e-21,4.5667256719548056e-56,2.4282857564052353e-65,2.9584535308122413e-66,5.0852224313084733e-76,2.3665659201846593e-71,3.9522585316305343e-26,2.2984147882196225e-34,3.6015828830568328e-43,4.8030305228357587e-44,1.9339715781305524e-21,2.9329890389090502e-49,2.7618502257983581e-57,5.2736513316397432e-34,2.5300926001689147e-68,1.8773139978595358e-26,3.5914005652434953e-31,1.4800443595996887e-39,2.3185453597125403e-48,1.8755404864027296e-48,1.545990871266294e-49,2.0401541032966264e-57,1.5605877582602817e-34,4.2243645773700455e-43,2.358746247516928e-52,1.6495930274701628e-43,1.3759276505884477e-52,8.9768416020992867e-42,3.4339850939685093e-46,2.7565544710002942e-36,3.4924099586296258e-45,1.9611906796672493e-57,1.2575788084355267e-66,3.4933332783630728e-45,3.1708694150014931e-45,1.4535169717085023e-43
3.1410621680561873e-18,0.0038289451735605494,2.3013500783518412e-32,4.5871873894069704e-28,1.5548941441569143e-20,2.2975386245816154e-32,1.8506939780136702e-20,1.4070380579026881e-34,7.8416736689063314e-55,2.3443527636567784e-44,3.10563740056574e-48,1.3417681515842779e-46,9.8363224604502189e-36,1.7386609564007763e-25,3.6435736952337967e-40,4.0913343114488867e-58,1.5901471198194337e-53,2.1758675106576396e-41,2.1130414700004589e-55,2.7627127697584475e-78,1.9038806191742504e-51,5.7887686521857133e-68,4.0395240710219268e-40,2.1027419030509083e-62,1.8843788918897513e-33,1.1167631138579974e-49,4.1720135004838993e-48,1.34558418429282e-42,1.6862837724753567e-71,2.5991102663332426e-82,4.2440278791425377e-50,1.7257032178332693e-64,7.0625632024844965e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999511271,0.108803,0.0001,2.6025814091857973e-15,1.6928013777695628e-14,1.692798370917261e-14,1.0491637112823316e-22,1.069117932147191e-22,1.241292318648568e-14,6.6082200901707012e-23,7.3132492830306492e-32,8.2523007151050848e-32,1.3033668312492505e-36,1.1243403560897034e-26,1.958327181511473e-20,2.6417547815484674e-25,9.2529685804130251e-37,3.4172094767583091e-39,1.6119026390717577e-40,1.8483911789239776e-45,2.8451602842903589e-20,1.5014312463869171e-54,1.5973987710679205e-63,1.9461589495021921e-64,6.6918305005180067e-74,1.5567986721726454e-69,1.6146265551834135e-25,1.8843792891376791e-33,5.9155762183574755e-42,7.8889821919337002e-43,3.923160756873989e-21,4.8174434302301364e-48,4.5268602674917451e-56,4.3236511087062978e-33,1.6643703580603118e-66,7.6693738278378515e-26,1.4820586754922411e-30,1.2249034138171684e-38,3.8430628616789924e-47,3.1087661670809615e-47,2.5625372995709e-48,6.3700175849714077e-56,6.375510146434771e-34,3.463389221060178e-42,3.7643029716805985e-51,1.3524323583393785e-42,2.1945840868751036e-51,7.3594190743464466e-41,5.5819016353448968e-45,2.259987972033083e-35,5.7333801978565839e-44,6.3791781803922482e-56,8.1829522319101561e-65,5.7364136292314333e-44,5.2081582315618854e-44,1.2029490159441854e-42
6.326364648338519e-18,0.0038289451735605494,9.29469489726744e-32,1.8542144283336159e-27,3.1316881322920186e-20,9.2870182779623564e-32,3.7274585893734074e-20,5.6874798777233024e-34,3.169729879134972e-54,9.4223398783623566e-44,1.255348296251e-47,1.0819244042728181e-45,1.9811184626014778e-35,3.501810104885571e-25,1.472790747278133e-39,3.3132686098557632e-57,1.2877423671133481e-52,8.7952043899956131e-41,1.7111960287725478e-54,8.9607681472168028e-77,3.0862630342057146e-50,9.3851973222402903e-67,3.2713009265684251e-39,3.6600382553651212e-61,1.5260188577598884e-32,1.8103211031806431e-48,1.6863945583414164e-47,1.0868199392730413e-41,1.3655963179764509e-70,8.4336688653617485e-81,6.8797309176542158e-49,5.5972601597063295e-63,4.6132012837843646e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999015678,0.108803,0.0001,5.2418188945189572e-15,3.4094449945424182e-14,3.4094389506705221e-14,4.1627245196192567e-22,4.3215454347360799e-22,2.50005769702527e-14,2.6711433650331717e-22,5.6444451598678444e-31,5.897181003079418e-31,1.0555003492529877e-35,4.5447631589669294e-26,7.9158446258947917e-20,1.0678395115950462e-24,7.490411821366444e-36,2.7673446213718009e-38,1.3053455063763439e-39,2.9962883370505508e-44,1.1500553614761899e-19,4.8698028029227254e-53,1.0364355266576488e-61,1.2627205751236249e-62,8.6846110165200273e-72,1.0100944463884111e-67,6.5265785793769962e-25,1.5260191740218463e-32,9.5892921764596383e-41,1.2788348110833389e-41,7.9014212838619706e-21,7.8092838085956273e-47,7.3076844505505084e-55,3.5013936330565587e-32,1.0798885162883259e-64,3.1000298384803024e-25,6.1108073030975742e-30,1.0105418343452524e-37,6.3427392694371193e-46,5.1308210930652904e-46,4.229337320039224e-47,1.8814850059683561e-54,2.5770830940844329e-33,2.804742248978665e-41,5.7739562996231154e-50,1.0952288442117721e-41,3.362688875381373e-50,5.9593009323135797e-40,9.0006670088733161e-44,1.8301937328564095e-34,9.2846240833416785e-43,2.0577952497960993e-54,5.2796321460806751e-63,9.2944484270362452e-43,8.4426349762772286e-43,9.9242952435506986e-42
1.269696960890318e-17,0.0038289451735605494,3.7358097967389781e-31,7.4557143248911882e-27,6.2852758863786007e-20,3.7342690531075086e-31,7.4810014700877449e-20,2.2869163394244243e-33,1.2745344471112103e-53,3.7459206665410194e-43,5.0477003197513081e-47,8.6340466059179777e-45,3.9760908812588597e-35,7.0281084308554574e-25,5.9220268545511245e-39,2.6668068402739624e-56,1.0364870915444405e-51,3.5365130190965684e-40,1.3773198565113734e-53,2.8868150360353143e-75,4.9703008953782249e-49,1.4991555358110235e-65,2.6330108442785004e-38,6.6612620691924889e-60,1.2282726975804715e-31,2.9154662342743017e-47,6.7809183245807313e-47,8.736155686787145e-41,1.0991507195592653e-69,2.6956279890432828e-79,1.1079526391474464e-47,1.8032210546240457e-61,2.9826348626001017e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998024474,0.108803,0.0001,1.0520293865069409e-14,6.8427321300141898e-14,6.8427200444990521e-14,1.6140987400219973e-21,1.7376742645635679e-21,5.0175584533621817e-14,1.0740510983546948e-21,4.1516920090717722e-30,3.8359273401719449e-30,8.4955864900527272e-35,1.8274290147285078e-25,3.1829046348916516e-19,4.2937356396195019e-24,6.0243007955877159e-35,2.2273993666910915e-37,1.0506314124041958e-38,4.8253223675783137e-43,4.624290538059605e-19,1.5688374001955335e-51,6.678604624864295e-60,8.136745041911669e-61,1.1193019501199087e-69,6.5088849812316355e-66,2.6243084507567898e-24,1.228272943379131e-31,1.54428993617886e-39,2.0595137379344763e-40,1.5857471043824092e-20,1.2576612149006449e-45,1.1671713235809654e-53,2.8182082887012915e-31,6.9586080587050974e-63,1.246465191902453e-24,2.5536995918820505e-29,8.4328564131253249e-37,1.0578628690465397e-44,8.5573298839024106e-45,7.0539171671273355e-46,5.1809901101000864e-53,1.0362337438721273e-32,2.2575003511046641e-40,8.393876073951229e-49,8.8152588899764779e-41,4.8797431108259471e-49,4.7956827796604e-39,1.4454903340897142e-42,1.4730941167574095e-33,1.4922310676653628e-41,6.6104442653717947e-53,3.3917878436860547e-61,1.4953867883460819e-41,1.3596558432424444e-41,8.2817113483226999e-41
2.5438179530032505e-17,0.0038289451735605494,1.4979175267728195e-30,2.9900746604634266e-26,1.2592450505804138e-19,1.4976087887903369e-30,1.4988141863495255e-19,9.1716030488299109e-33,5.1114532119728205e-53,1.4689065927062121e-42,2.0243536184033161e-46,6.8123511535130822e-44,7.9660356607515031e-35,1.4080705198796143e-24,2.3749976723252715e-38,2.1399445641368993e-55,8.3171562080468076e-51,1.4182999083779775e-39,1.1052131213152448e-52,9.2688562978559804e-74,7.9783355286174199e-48,2.3580305679304491e-64,2.1127985191050133e-37,1.3124662752835883e-58,9.856114220460273e-31,4.6799686848331712e-46,2.7194515205906554e-46,7.0055996320847004e-40,8.8199922819301475e-69,8.4842041052278705e-78,1.7784874779711009e-46,5.7896948710244697e-60,1.9186060403384007e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996042084,0.108803,0.0001,2.1077243805706851e-14,1.3709306035748074e-13,1.3709281969444231e-13,6.0393674187505001e-21,6.9688498118051472e-21,1.0052439967230035e-13,4.3073940122995499e-21,2.838681084649213e-29,2.2164396919240836e-29,6.8171753379485647e-34,7.3288055779835515e-25,1.2764697332622244e-18,1.7219799795707069e-23,4.8267010457640788e-34,1.7873471723999611e-36,8.4302668510117636e-38,7.7453655371872376e-42,1.8545220755112177e-18,5.0369867261785144e-50,4.288764716618711e-58,5.2251313450957354e-59,1.4375917601632382e-67,4.1797992812963248e-64,1.0524649907670495e-23,9.856116052317997e-31,2.4788117666096619e-38,3.3059425924561413e-39,3.1767685611520205e-20,2.0188252043038739e-44,1.8432206194885147e-52,2.2614059057963512e-30,4.4685732713865562e-61,4.9985366710137745e-24,1.1015988666591444e-28,7.246868231895513e-36,1.81489854949946e-43,1.4681114781822643e-43,1.2102201027836015e-44,1.3166370189065507e-51,4.1557605160970019e-32,1.8115015149482373e-39,1.127156603264472e-47,7.0735365624856833e-40,6.5348655642424342e-48,3.846820065488098e-38,2.3164750882974313e-41,1.182057199092386e-32,2.3856946929030556e-40,2.1188675628998167e-51,2.1738135555713165e-59,2.3957675930266176e-40,2.1825343299687843e-40,7.1169802191833727e-40
