Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860)
0.0,0.002515342392012375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.39720340485656e-18,0.002515342392012375,3.2691570124784811e-38,3.7016115126774107e-33,5.713519787243053e-26,3.2691323967127251e-38,8.0830592115081372e-24,2.9099004259507512e-38,2.6884246635123059e-66,3.4793618764367183e-52,6.3338071950317392e-56,3.3934339904390792e-53,2.6283168338063674e-44,5.9297535732629068e-29,2.2785599982376818e-44,4.5415678061848704e-65,4.8182499790059053e-60,2.3636048072503079e-46,6.9177763436220348e-61,8.1427525824147038e-109,2.6488338332824307e-76,9.2231185045993083e-78,7.900253412748777e-95,5.2479863250851792e-68,5.5379076669149639e-77,7.6126689836741184e-68,6.8194787947559073e-56,8.3506907479525939e-48,3.2965209615779246e-84,2.6227022080504405e-92,1.0767609262752661e-84,9.1971525278166029e-89,-9.6855892858254591e-103,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994478,0.108803,0.0001,4.4441782072147212e-17,2.5300596449720435e-16,2.5300596248416493e-16,7.3217897879551321e-24,7.4206465996902132e-24,9.3928879938267647e-19,6.2257959719027676e-24,2.8900285968405255e-33,4.7699962210079593e-33,4.2815840887643213e-38,7.8281002673959693e-29,4.3279801139526935e-24,2.1009197437481454e-27,7.162061465279046e-39
2.3512169533598368e-17,0.002515342392012375,1.9745620224130749e-37,2.235773232165991e-32,1.5997854362553404e-25,1.974555859839524e-37,2.2633073049816568e-23,1.7576128469724952e-37,1.6238084564840542e-65,1.8994411109870095e-51,3.825619537664159e-55,4.0705684302526462e-52,7.3592870108411793e-44,1.660330998943519e-28,1.3762502378496938e-43,5.3917492889990945e-64,5.7202263535802552e-59,1.4276173024416961e-45,8.2127848224003105e-60,4.1646899298571125e-107,7.3793550642343306e-75,2.5694577260633002e-76,4.0406623696449959e-93,1.4620303462773171e-66,6.8119671168203091e-76,1.1504265338581925e-66,4.118965153189102e-55,9.9138727496000327e-47,3.9136295484910098e-83,1.3414073940264909e-90,5.5072002684401233e-83,7.4506940699948759e-87,9.5773082252179045e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984556,0.108803,0.0001,1.2443698980180289e-16,7.0841665726056789e-16,7.0841667091242343e-16,4.3660753669567945e-23,4.4820703919728247e-23,2.6299939723905914e-18,3.7603745806682196e-23,3.4100396152445538e-32,5.5488049582367713e-32,5.0830967113556713e-37,4.7281723259999198e-28,2.6140878250974051e-23,1.268955460456453e-26,8.4970891612828448e-38
5.3742101791081984e-17,0.0025153423920123755,9.5066460421007378e-37,1.0764284456566816e-31,3.6566519346266402e-25,9.5066353930163459e-37,5.1735129756522144e-23,8.4624852500579041e-37,7.8179383171121274e-65,7.2401496280153597e-51,1.8418711200868539e-54,3.8646448274088592e-51,1.682122686964422e-43,3.7950422758976654e-28,6.6260524585872835e-43,5.2936514022618347e-63,5.6161521088930197e-58,6.87336276242149e-45,8.063362338802792e-59,1.4952532984954085e-105,1.3134926924761875e-73,4.5735214007092621e-75,1.4507225438306869e-91,2.6023496081943019e-65,7.1723027630167856e-75,1.2375763614585547e-65,1.9831043747074557e-54,9.7334633833202098e-46,3.8424244077253084e-82,4.8160677903384967e-89,1.9772550484934558e-81,3.2655038972546868e-85,5.2804839775268218e-100,0.88129999999999997,0.0,0.0,0.0,0.0098899999999964711,0.108803,0.0001,2.8442740526027691e-16,1.6192378737555024e-15,1.6192379915959984e-15,2.0468351944205269e-22,2.157923799862608e-22,6.0113456559005375e-18,1.810452193089803e-22,3.3043372457239082e-31,5.2204836274896166e-31,4.9906146310624964e-36,2.2764112090681347e-27,1.2585583717112287e-22,6.1094736561464978e-26,8.3304220990022338e-37
1.142019663060492e-16,0.002515342392012375,4.1517972724354218e-36,4.7010447380901465e-31,7.7703832646068427e-25,4.151796473313794e-36,1.0994735928806361e-22,3.696084830221448e-36,3.4142986980300041e-64,1.9457719143732589e-50,8.0439350112136022e-54,2.9039832836200388e-50,3.5745104606184196e-43,8.0644648046852774e-28,2.8937711809312306e-42,4.6821746768863831e-62,4.9674228584199696e-57,3.0017780875768718e-44,7.1319553199997763e-58,3.5742469509448523e-104,1.5473048111561688e-72,5.3876440914013968e-74,3.4677988426882508e-90,3.0655884818654327e-64,7.1976100666817719e-74,1.1375458794548053e-64,8.6607374591308677e-54,8.6091213506821308e-45,3.3985803577621355e-81,1.151230492294494e-87,4.7264193184256375e-80,1.0515561219709189e-83,2.0779593384869163e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999925003,0.108803,0.0001,6.0440823617387563e-16,3.4408796619315288e-15,3.4408802482714791e-15,8.4879902550397471e-22,9.4242187918769109e-22,1.2773814381038418e-17,7.9066651139974161e-22,2.8478625613260598e-30,4.2586063435428192e-30,4.4141423596707674e-35,9.9416838245050394e-27,5.496346212137854e-22,2.6681671086439599e-25,7.3467818954407319e-36
2.351216953359837e-16,0.002515342392012375,1.7332920572801416e-35,1.9625927293268023e-30,1.5997839257523236e-24,1.7332924932775238e-35,2.2640428280676498e-22,1.5432893595016355e-35,1.4254021943829373e-63,3.5088516311077311e-50,3.3581844609335308e-53,1.6737919222649689e-49,7.3592852155001365e-43,1.6603309761782276e-27,1.208092495918417e-41,3.9356498712966202e-61,4.175418085924072e-56,1.2531832529365395e-43,5.994842624670493e-57,5.6966384784933685e-103,1.206139762548124e-71,4.199722421952242e-73,5.5269778075473748e-89,2.389657252357788e-63,7.4832791218918427e-73,9.7319442817617122e-64,3.6156871067067163e-53,7.2364759371929263e-44,2.8567107011131947e-80,1.8348323596854073e-86,7.5329674605109666e-79,2.5232700791288394e-82,7.3414781598557878e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999845604,0.108803,0.0001,1.2443698979876761e-15,7.0841608687630686e-15,7.0841632228565432e-15,3.2156065944155843e-21,3.9344246774902537e-21,2.6297813328913817e-17,3.3008309517749985e-21,2.2769135988946664e-29,3.0949373687071752e-29,3.7103530192268934e-34,4.1504557367489825e-26,2.2945253833733916e-21,1.1139068176903461e-24,6.1397433233034738e-35
4.769611533958527e-16,0.002515342392012375,7.0810555083381524e-35,8.0178242525734137e-30,3.2452724575225271e-24,7.0810588072961205e-35,4.5944798754171325e-22,6.3068566607503175e-35,5.8232305979242994e-63,4.6122229777388205e-50,1.3719278772543331e-52,7.8102422528534939e-49,1.4928831555559781e-42,3.368099927409945e-27,4.9354519703425696e-41,3.2266834368989183e-60,3.4232597915272174e-55,5.1196624223572513e-43,4.9149414655875824e-56,6.6016848549213247e-102,6.8132279716507929e-71,2.3723334569721531e-72,6.4050657774518898e-88,1.349866751762331e-62,8.4844432751277561e-72,8.0465593796810162e-63,1.4771259185134063e-52,5.9328925332444384e-43,2.3421026021959494e-79,2.1263405261305139e-85,8.7297537784506413e-78,4.8301436149530028e-81,2.4663612750030493e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999686808,0.108803,0.0001,2.5242932215616902e-15,1.4370715012519535e-14,1.4370723016969334e-14,1.1055603777252124e-20,1.6073399176368955e-20,5.3342057736012349e-17,1.3484595958282485e-20,1.6999778245740189e-28,1.9921053530211438e-28,3.0419722222803316e-33,1.6955954529740443e-25,9.3731415872394836e-21,4.5506696864668283e-24,4.9762063803891253e-34
9.606400695155906e-16,0.002515342392012375,2.8622702417864454e-34,3.2409267540741539e-29,6.5362388538474911e-24,2.8622718608372171e-34,9.2605482689504359e-22,2.5509622178991924e-34,2.3538409215555717e-62,5.1989176376042152e-50,5.5455514290385766e-52,3.2914674443827121e-48,3.0067911556874539e-42,6.7836376691516511e-27,1.9949885438592466e-40,2.6130517272815641e-59,2.7722441712746898e-54,2.0694493512840521e-42,3.9802588322021682e-55,6.3746153909960886e-101,3.2272600769143589e-70,1.1237159223159748e-71,6.1847546588405531e-87,6.3939898903179046e-62,1.0675414646632542e-70,6.5433278847690978e-62,5.9707771818998711e-52,4.8046008443286474e-42,1.8966931010728986e-78,2.0532074060675657e-84,8.4294828506975898e-77,8.2542641907906712e-80,8.0849633673832369e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999369197,0.108803,0.0001,5.084139868495366e-15,2.8943795658298619e-14,2.8943817985015563e-14,3.3725235910505829e-20,6.4971173514806334e-20,1.0741553676203726e-16,5.4503868155840369e-20,1.1666370930255124e-27,1.1235697060739156e-27,2.4634690266312993e-32,6.8538599802689136e-25,3.7881729044949124e-20,1.8394512823420828e-23,3.9397075116243693e-33
1.9279979017550666e-15,0.002515342392012375,1.1509019501629584e-33,1.3031575662865356e-28,1.3118128977934431e-23,1.1509026438092648e-33,1.8613462184620655e-21,1.0270414716700981e-33,9.4646748038616713e-62,5.5089865153516418e-50,2.2298415154322822e-51,1.338878928964737e-47,6.0346020844370883e-42,1.3614712509980901e-26,8.0217607608187537e-40,2.1032110752666365e-58,2.2313427062728793e-53,8.3211643720565312e-42,3.2036775859510396e-54,5.6152468208999005e-100,1.4056109133811557e-69,4.8942622045369992e-71,5.4479934256333011e-86,2.784858287117872e-61,1.4716714670428292e-69,5.277430069881408e-61,2.4008216739220806e-51,3.8671469156083355e-41,1.5266198988778687e-77,1.8086277415266416e-83,7.4253192908280889e-76,1.351416388277739e-78,2.6184322307276378e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998733994,0.108803,0.0001,1.0203833161505315e-14,5.8089863416596789e-14,5.8089909440790551e-14,9.0005342102089905e-20,2.6124562238316327e-19,2.1550248897439949e-16,2.1913341481537079e-19,7.1752928677330066e-27,5.5978791424546248e-27,1.9828158934511586e-31,2.7559015003295934e-24,1.5227247249745129e-19,7.3963379220598669e-23,3.0349225371637088e-32
3.8627135662340184e-15,0.002515342392012375,4.6155972536028815e-33,5.2262059724569835e-28,2.6281738554261992e-23,4.615600004654641e-33,3.7402398019174584e-21,4.1294094357217886e-33,3.7957450682353837e-61,5.6727089045273347e-50,8.9426592043045115e-51,5.3859138041210527e-47,1.2090203655951046e-41,2.7276859622887806e-26,3.217084501401819e-39,1.6876939754010761e-57,1.7905110618921966e-52,3.33715872421761e-41,2.5707799996763186e-53,4.7216932778572251e-99,5.8736501491076661e-69,2.0451693680759898e-70,4.5810368270080241e-85,1.1637134528236266e-60,2.1637756732868828e-68,4.2391173576842097e-60,9.628356109439628e-51,3.1031201390694633e-40,1.2250103597574661e-76,1.5208308806154125e-82,6.2437072647141804e-75,2.1804198705003183e-77,8.4293147223610938e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999997463586,0.108803,0.0001,2.0443219744095611e-14,1.1638165804562817e-13,1.1638169843427039e-13,2.1321093965473835e-19,1.0477069175038854e-18,4.3143663624880456e-16,8.7862902422147007e-19,3.8945320645125282e-26,2.5384093322594551e-26,1.5910876293857226e-30,1.1052358684930958e-23,6.1029370286003841e-19,2.966251803187205e-22,2.242066025872798e-31
