Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595)
0.0,0.002745394845803388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.155997819768133e-19,0.002745394845803388,7.2998423271958193e-37,3.2119066550853952e-32,4.5369048982144582e-24,7.2935504562283766e-37,5.9327484281186413e-23,5.1692663384761435e-38,4.8229193338208073e-62,8.5617580658295157e-50,1.4057414151830378e-53,3.4734043597113436e-52,8.8090027996116875e-41,5.0358991704213693e-28,7.9575953317822203e-44,7.7393896369841083e-64,4.2066172108249969e-59,2.043850979054764e-45,3.6009163462964671e-60,5.7776414621507501e-89,1.1380965353976011e-58,5.4571188030792839e-76,5.8087736804727619e-47,2.2415149147314128e-68,5.9530654524052906e-38,6.1676503357917819e-56,1.5251766792056069e-53,1.5524192645329883e-47,4.3498700143876628e-80,3.6636780162043593e-91,2.9627380229689287e-57,1.7464794490073955e-72,6.2658282000595467e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993212,0.108803,0.0001,4.461624861159088e-17,3.0843272032012303e-16,3.0843267012882358e-16,6.9495206744411329e-25,6.9679368608214402e-25,1.5745914487278344e-17,4.9955554288832612e-25,6.0249067422560783e-35,8.5771419379310786e-35,1.1152280015261239e-39,2.4108916041956844e-29,6.2451497797388092e-24,5.8300256626690082e-28,3.8190943744998419e-40,2.1752262696907702e-43,1.787008178479726e-45,2.3538829334966009e-51,6.2490923468828906e-24,4.1321740301416939e-61,2.1975653133769186e-70,2.7285344990670444e-72,5.0192093307408246e-82,4.8412895524383677e-77,5.0160552001875105e-29,5.9530654474085633e-38,9.6419089093519557e-47,1.1635907674928028e-47,1.3174802427267101e-23,1.6457901431973383e-53,5.9318191078576876e-62,2.8191209070305639e-38,2.428420915344901e-73,7.1895906290576926e-29,7.3447207654043066e-35,7.2054362689482346e-44,1.1670333015040784e-52,8.1390493626186662e-53,7.0419035294826835e-54,2.2285257879715072e-62
1.7236793895350774e-18,0.002745394845803388,4.4070659397747201e-36,1.9399916059332838e-31,1.2703333629589849e-23,4.4053044507567102e-36,1.6611711217493289e-22,3.1222393897880128e-37,2.9130432735091066e-61,5.1511277862862957e-49,8.4906781481828002e-53,4.1153959123183867e-51,2.4665207811040495e-40,1.4100517679085727e-27,4.8063875809392107e-43,9.1882033774813788e-63,4.994095952102294e-58,1.2344859914871492e-44,4.2750079401007914e-59,2.3841583702811825e-87,2.545874678981557e-57,1.7092991690989848e-74,6.8961711602474124e-46,7.0226801894906905e-67,7.0674792834565467e-37,1.3796787053563029e-54,9.2120671345529816e-53,1.8415281042511643e-46,5.1641656698997046e-79,2.1022287024479749e-89,6.6275219004038588e-56,7.2068915348605721e-71,7.1269274143962455e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981034,0.108803,0.0001,1.2492549611239351e-16,8.6361161303661617e-16,8.6361147410271734e-16,4.1868204744051554e-24,4.2086338442465153e-24,4.4088519137692792e-17,3.017314640695683e-24,7.1316671521821253e-34,1.0089260132279906e-33,1.3239987273352288e-38,1.4561785235517926e-28,3.7720675094423269e-23,3.5213354871194748e-27,4.5336682258805838e-39,2.5824286154039794e-42,2.1215336335818554e-44,5.2655360957475458e-50,3.7744488181302769e-23,1.7051513276678567e-59,1.6542705389784648e-68,2.0539704602832126e-70,6.8511886958192482e-80,3.6443987591319282e-75,3.0296973307837887e-28,7.0674792661812915e-37,2.1568518561010665e-45,2.6029050281212369e-46,3.688921365530804e-23,3.6815667421866324e-52,1.3243943770258144e-60,3.3468579373054524e-37,1.8280526884288263e-71,4.3424896655564969e-28,4.6058079387822966e-34,8.8537786089571884e-43,2.6979154517231112e-51,1.8815632255018253e-51,1.6279293825886985e-52,9.4730604500103206e-61
3.939838604651605e-18,0.0027453948458033882,2.1213669592175019e-35,9.34022436974678e-31,2.9036190750697634e-23,2.1209644354633402e-35,3.796969927128637e-22,1.5032264312012116e-36,1.4025049360810054e-60,2.4596370292976738e-48,4.0878960360525108e-52,4.0224174055810977e-50,5.6377617722409187e-40,3.2229754704038022e-27,2.3140687232969236e-42,9.0210325622448635e-62,4.9032330191112287e-57,5.9435186491622683e-44,4.1972282540192728e-58,9.4314797769530128e-86,5.0302117954709997e-56,3.7829258022242507e-73,6.7706912470316739e-45,1.5554669376159337e-65,6.9388930242425455e-36,2.7260126080706952e-53,4.4352137713983008e-52,1.8072438092510335e-45,5.0702084540556504e-78,9.3531297172688191e-88,1.3094846778312552e-54,2.8509704119648605e-69,6.4519802614734415e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999956661,0.108803,0.0001,2.8554399111375477e-16,1.9739693831154071e-15,1.9739690730185488e-15,2.0049664127801054e-23,2.0262760095957552e-23,1.007735627322597e-16,1.4527062612590381e-23,6.9576178083620032e-33,9.7130885124237755e-33,1.2999098399455542e-37,7.010872704452146e-28,1.8160851196750908e-22,1.6953714430628962e-26,4.4504186811731026e-38,2.5354437028963362e-41,2.0829290575390768e-43,1.0403786618664062e-48,1.8172316153999803e-22,6.7453928526288577e-58,1.307978845060982e-66,1.6240087999803318e-68,1.0823173206239808e-77,2.8815108021442305e-73,1.4586688370202991e-27,6.9388929832547726e-36,4.261555919081187e-44,5.1428974919369932e-45,8.4317103565581674e-23,7.2741555746218432e-51,2.6054284662957713e-59,3.2859598783302417e-36,1.4453828386924881e-69,2.0906983437017217e-27,2.390237004015934e-33,9.3270494907932846e-42,5.7081568730010726e-50,3.9809478127937947e-50,3.4443240966535134e-51,3.9877674366105021e-59
8.372157034884662e-18,0.002745394845803388,9.2636636935335214e-35,4.0791212732640089e-30,6.1701903626337592e-23,9.2628086949281513e-35,8.0685925279043005e-22,6.5650073000137032e-36,6.1251074898717771e-60,1.0565010350955786e-47,1.7852915979987414e-51,3.5255901307824472e-49,1.1980243709919083e-39,6.8488228784436975e-27,1.0106146079792491e-41,7.9790011430052432e-61,4.3368540758366821e-56,2.5956907455395689e-43,3.7124010492034885e-57,3.3660183698102571e-84,8.9509661217601897e-55,6.9720820875394235e-72,5.988581068370005e-44,2.8716702156194645e-64,6.1373722179414248e-35,4.8507937215658372e-52,1.9369743707090736e-51,1.5981508450670533e-44,4.4845419170799257e-77,3.4636796693289646e-86,2.3301509886146555e-53,1.0174880746787468e-67,4.8900268103878076e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999907898,0.108803,0.0001,6.0678098111550167e-16,4.1946848625212678e-15,4.1946842347223902e-15,8.6626772661829867e-23,8.8492795081560169e-23,2.1414298710022089e-16,6.3443424022279963e-23,6.0765721868216547e-32,8.2672149975073765e-32,1.1497555809398395e-36,3.0618322544834422e-27,7.9312943789240225e-22,7.4041323898042289e-26,3.9349871030941912e-37,2.2425711974410396e-40,1.8423178336535874e-42,1.8512891651628871e-47,7.9363014102574704e-22,2.4073711734349408e-56,9.3488410558372127e-65,1.1607680222832629e-66,1.5482122498796995e-75,2.0595752424884893e-71,6.3703899472309935e-27,6.1373721389470962e-35,7.5831399628141483e-43,9.1514962279968615e-44,1.7916915334969887e-22,1.2943971503003865e-49,4.5956204050372048e-58,2.9063852434598209e-35,1.0330942670925487e-67,9.1304224570519295e-27,1.1956459251442377e-32,9.3781019145593605e-41,1.1507033895753711e-48,8.0251689494385337e-49,6.9434174030639472e-50,1.5925933119083409e-57
1.7236793895350773e-17,0.002745394845803388,3.8672160445662218e-34,1.7029527522674454e-29,1.2703332391128605e-22,3.8670401058576116e-34,1.6611937689520122e-21,2.7407801536995691e-35,2.557111773087025e-59,4.2669095419047543e-47,7.4532409897158115e-51,2.9099227247258187e-48,2.4665207406893123e-39,1.4100517706721255e-26,4.219117052516856e-41,6.706831234341815e-60,3.6453871620669264e-55,1.0836497910208424e-42,3.1204970910768985e-56,1.1372949273946799e-82,1.5097021529999856e-53,1.1662689609063131e-70,5.0337318293750918e-43,4.8208700087849576e-63,5.1588310164280697e-34,8.1815724017059424e-51,8.0864866549046301e-51,1.3432034514863722e-43,3.7695276241435318e-76,1.1621337236865774e-84,3.9301164996371648e-52,3.4378418633522737e-66,3.4002213676592136e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999810372,0.108803,0.0001,1.2492549611150922e-15,8.6361155834510176e-15,8.6361144136187927e-15,3.5406218794313619e-22,3.6943998491465271e-22,4.4087918458245427e-16,2.6486317974253638e-22,4.9822240898214549e-31,6.4599480894174242e-31,9.6643891822913507e-36,1.2782546546669319e-26,3.3111371562649678e-21,3.0910794267935751e-25,3.3053118152976907e-36,1.8850161418881859e-39,1.5485634529554697e-41,3.1224391369135246e-46,3.3132274793193407e-21,8.1338845422398454e-55,6.3225651115520263e-63,7.8502045151414695e-65,2.0949361451798946e-73,1.3928806513676505e-69,2.6595123258329447e-26,5.1588308781281545e-34,1.2789833979290164e-41,1.5435285125161874e-42,3.6885833394654494e-22,2.1831900930575588e-48,7.6156637044595563e-57,2.4429766844086975e-34,6.9867545817574636e-66,3.81159908737251e-26,6.2598684090476585e-32,9.781075803869697e-40,2.3962795334344135e-47,1.6712009887165342e-47,1.4459420669864627e-48,6.4903551836570844e-56
3.4966067616283e-17,0.002745394845803388,1.5798476122902097e-33,6.9571169870577341e-29,2.5769614261562533e-22,1.5798119100432199e-33,3.3699027852980875e-21,1.1197135170417704e-34,1.0446635705129232e-58,1.6320852022082287e-46,3.0448921403619363e-50,2.3001812406949521e-47,5.0035134087312088e-39,2.8603907412067646e-26,1.7236469857184979e-40,5.4986654601256457e-59,2.988708634353445e-54,4.4270629909786205e-42,2.558372572861534e-55,3.7391334703189888e-81,2.4796603802556267e-52,1.818304900416231e-69,4.1269059904891175e-42,7.5750920598920758e-62,4.2295211257642369e-33,1.3438256525875057e-49,3.3035936401038643e-50,1.1011830007559023e-42,3.0904863749649247e-75,3.631927892703953e-83,6.455150212463075e-51,1.130273789740526e-64,2.267278686464175e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999615337,0.108803,0.0001,2.5342029210986615e-15,1.7518976111874848e-14,1.7518974193366569e-14,1.3879690309649787e-21,1.509282763609769e-21,8.9434097478017097e-16,1.0820473932544831e-21,3.892957803584018e-30,4.6390365725601238e-30,7.9234513441509431e-35,5.2220870357969062e-26,1.3526894924397247e-20,1.2628067299008964e-24,2.7061596018428975e-35,1.5454500008780205e-38,1.2695801427305184e-40,5.128515034501033e-45,1.3535434462018879e-20,2.6741916210105256e-53,4.1591147542444782e-61,5.1640277454546751e-63,2.7567655404356432e-71,9.1626883548535486e-68,1.0864975009419275e-25,4.2295208944732473e-33,2.1006552492828444e-40,2.5352335035827316e-41,7.4817702864785856e-22,3.5858966317454959e-47,1.2074808927763754e-55,2.0028748997659675e-33,4.5960324474335152e-64,1.5570215998442131e-25,3.5936837113536262e-31,1.1131643116348405e-38,5.4319348635908644e-46,3.7883193620240608e-46,3.2777438625602552e-47,2.8197952534187283e-54
7.042461505814746e-17,0.002745394845803388,6.385923450713351e-33,2.8121773829599353e-28,5.1902169256021905e-22,6.3858511048451321e-33,6.7874807540597432e-21,4.5261855238895215e-34,4.2226969748390452e-58,5.795663273594008e-46,1.2307940890331107e-49,1.7320939265996647e-46,1.0077498459403369e-38,5.761068701792722e-26,6.9672567313485249e-40,4.4529618595167891e-58,2.4203337296836163e-53,1.7894896504231711e-41,2.0718372902538561e-54,1.212750809157613e-79,4.0195392682745224e-51,2.615969464801044e-68,3.3419920759311879e-41,1.1100609326004195e-60,3.4251755010424568e-32,2.1783990614990199e-48,1.3353654413971208e-49,8.9174372664871952e-42,2.5027558038992037e-74,1.0479221571305599e-81,1.0463823984486302e-49,3.6659290252946402e-63,1.4809654490946921e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999999922525,0.108803,0.0001,5.1040988410033503e-15,3.5284693779363648e-14,3.528469144068262e-14,5.1875703503369967e-21,6.1007612753229198e-21,1.8012221380925546e-15,4.3737672210468413e-21,2.8809439652831676e-29,3.0038495584045387e-29,6.4166182540796436e-34,2.1108508329119484e-25,5.4676410753902656e-20,5.1044661339483224e-24,2.1854931925632695e-34,1.2515452910463297e-37,1.0280972336245723e-39,8.3132176588613035e-44,5.4710928007811738e-20,8.673341340511644e-52,2.6984720680164078e-59,3.3504689469257999e-61,3.5776133136336883e-69,5.9448756331110297e-66,4.3917961142826384e-25,3.4251751227879896e-32,3.4049971584520226e-39,4.1096685748052716e-40,1.5065758272027234e-21,5.8128940956844519e-46,1.8245789332991813e-54,1.6219395560936885e-32,2.981948372385253e-62,6.292590632479542e-25,2.2902414808327176e-30,1.4054785265804604e-37,1.3654336596697153e-44,9.5227915964598356e-45,8.2395809119388931e-46,1.3102694565903581e-52
1.4134170994187637e-16,0.002745394845803388,2.5677366671042778e-32,1.130763724719439e-27,1.0416724425782443e-21,2.5677216574915154e-32,1.3623276435695706e-20,1.8200593839613852e-33,1.6979277170208817e-57,1.8180782189802001e-45,4.9489689179052461e-49,1.2101486892469353e-45,2.022546741910129e-38,1.1562424701032709e-25,2.8015033114637192e-39,3.5841311154267207e-57,1.9480951339564161e-52,7.1954592346026496e-41,1.6675962660106103e-53,3.9068567881050375e-78,6.473031460454839e-50,3.3265978543316199e-67,2.6897917354727835e-40,1.482545241187813e-59,2.7568786402622555e-31,3.5082437890956563e-47,5.3694489755673102e-49,7.1774357904956004e-41,2.0144353018520174e-73,2.6776079224210201e-80,1.6850852130248099e-48,1.1809718674845185e-61,9.5750827586251658e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998445075,0.108803,0.0001,1.0243890680562932e-14,7.0816117177329614e-14,7.0816116686601762e-14,1.8093718556029282e-20,2.4530884999654386e-20,3.6148148122552571e-15,1.7586393555213414e-20,1.9757906967434777e-28,1.719288791538682e-28,5.1646557051541102e-33,8.4876365738256942e-25,2.1983969205253184e-19,2.0524829661061058e-23,1.7494529047617371e-33,1.0073522456308084e-36,8.2743500562044875e-39,1.3387130169188624e-42,2.1997847699410221e-19,2.794016571513899e-50,1.7387515454433022e-57,2.1588636386952617e-59,4.6106965908727598e-67,3.8306109357875058e-64,1.7659214992074379e-24,2.7568780284867429e-31,5.4828201059863824e-38,6.6183200250772752e-39,3.0224196615172413e-21,9.3614903756835674e-45,2.5632625724837059e-53,1.3054129239058435e-31,1.9214086534055383e-60,2.529306997855073e-24,1.5941648423978615e-29,1.9421983495208363e-36,3.7598954183124524e-43,2.6222417428603715e-43,2.2690202632576529e-44,6.2779625467263398e-51
2.831758997093342e-16,0.002745394845803388,1.0297738930089876e-31,4.5348648128970285e-27,2.0869725430112448e-21,1.0297704380789165e-31,2.7297426774211989e-20,7.3000550012462548e-33,6.8094482428215259e-57,4.6613489926540546e-45,1.9847578987223836e-48,7.504841822951502e-45,4.0521400771912544e-38,2.3165137011795916e-25,1.1235281476436172e-38,2.876039518826385e-56,1.5632236326270678e-51,2.885701021863818e-40,1.3381431790681045e-52,1.2542932524926878e-76,1.0389645562012061e-48,3.4814630609163687e-66,2.1581730728441095e-39,1.8051749076680386e-58,2.2122205453823933e-30,5.6315058544690817e-46,2.1534004388762569e-48,5.7593996323710101e-40,1.6164569772062259e-72,5.6529646705933947e-79,2.7046737233621325e-47,3.7914934350021052e-60,6.1592538152033214e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996884744,0.108803,0.0001,2.0523474358682918e-14,1.4187892427468565e-13,1.4187893018362887e-13,5.7086074839573707e-20,9.8379758482871103e-20,7.2413216776697092e-15,7.0526644781679746e-20,1.2203133532069884e-27,8.6993030719067305e-28,4.1443159287663967e-32,3.403920611245784e-24,8.8156125254120278e-19,8.2313718301741615e-23,1.3886254966316889e-32,8.0833631111732309e-36,6.6385683683836251e-38,2.1485936691645603e-41,8.8211778273756185e-19,8.9696153291673749e-49,1.1164424540349892e-55,1.3861941139593714e-57,5.9211679548799861e-65,2.4596776492871042e-62,7.0821318109067013e-24,2.2122195614573264e-30,8.7984999931630731e-37,1.0623309132169876e-37,6.0502970776887676e-21,1.502727698518484e-43,3.2092795078957422e-52,1.0474071387002035e-30,1.2337256566079161e-58,1.0136312402218099e-23,1.1788070375965188e-28,2.8586839920198434e-35,1.1040830760581461e-41,7.7002580813292889e-42,6.6637782807894757e-43,2.9296209702224399e-49
