Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509)
0.0,0.0018779053215679901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9471966084243565e-19,0.0018779053215679901,5.6730557581848282e-37,2.2805660658061085e-32,4.3644706297257007e-24,5.6605656185282352e-37,6.6631842117749321e-23,4.6351919873843045e-38,8.4293386542416885e-62,8.3840076830458309e-50,2.0299053217730248e-53,2.282247794967799e-52,1.2308241008237445e-40,5.7251065150362239e-28,7.586436110888136e-44,7.9271230590223237e-64,2.7380709397870344e-59,2.1329858984571716e-45,2.9004805892514624e-60,2.4629492094473572e-89,3.1706553672441993e-59,2.6474916337259848e-76,2.2674635961307691e-47,9.8181979304827368e-69,1.96752632207784e-38,2.0471020549759504e-56,1.4908423709740492e-53,8.6546472989260345e-48,6.8471911156008008e-80,1.4167513271008052e-91,8.1288096718850927e-58,3.8323447518486418e-73,1.6582408501484605e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993819,0.108803,0.0001,2.7734171848701938e-17,2.8858547034873721e-16,2.8858541447281713e-16,4.6199255119165719e-25,4.6263831795113039e-25,1.2949892328692566e-17,3.2648274526062804e-25,2.1420533549499638e-35,3.010895832052257e-35,5.9222082912724853e-40,1.8018454215476983e-29,2.4986642741713619e-24,4.3320135417454633e-28,2.1997489321046128e-40,1.0105700814789794e-43,1.0010637042622066e-45,7.1519453860542814e-52,2.6010469726215207e-24,6.3706616974794159e-62,2.386642468523681e-71,2.4942912821359723e-73,3.2114029426848627e-83,6.1364205775998851e-78,3.0462197168733523e-29,1.9675263218480224e-38,2.2259009318226037e-47,2.7138001347882329e-48,1.4793977710346527e-23,4.4742713672581318e-54
8.252150503588199e-19,0.0018779053215679901,3.4224786287924315e-36,1.3774618940693943e-31,1.222051770274104e-23,3.4189816194190965e-36,1.8656927466184994e-22,2.7996574748323746e-37,5.0913205421929477e-61,5.0506703095583917e-49,1.2260628144266935e-52,2.7055243859514921e-51,3.4463074795807628e-40,1.6030298244064283e-27,4.582207411444863e-43,9.4110804961905703e-63,3.2506378195118099e-58,1.2883234827988756e-44,3.4434505923332392e-59,1.0163425599296036e-87,7.0926268156903593e-58,8.3029675912710905e-75,2.6919318219958226e-46,3.0795194434458653e-67,2.3358472449068068e-37,4.5792854038092771e-55,9.0046879154800438e-53,1.026008868321047e-46,8.1289852801980793e-79,8.1393716583790272e-90,1.8183815893084591e-56,1.581427269280438e-71,1.8861293047128932e-90,0.88129999999999997,0.0,0.0,0.0,0.00988999999999827,0.108803,0.0001,7.7655681176342605e-17,8.0803931442538665e-16,8.0803915902466605e-16,2.7866778181944634e-24,2.794335432135719e-24,3.6259681618327044e-17,1.9719554948195606e-24,2.5387092168537945e-34,3.5555953415218391e-34,7.0308459759994961e-39,1.0883146320160545e-28,1.5091926345798123e-23,2.6165361723209697e-27,2.611437681344186e-39,1.1997487973254407e-42,1.1884620772640264e-44,1.5998606073364226e-50,1.5710317603905999e-23,2.6288698348514286e-60,1.7966038321771165e-69,1.8776391253044693e-71,4.3835466546373685e-81,4.6193422978247019e-76,1.8399167049798161e-28,2.3358472420124257e-37,4.9792459482041362e-46,6.0706611646789291e-47,4.1423137466902347e-23,1.0008766134080212e-52
1.8862058293915885e-18,0.0018779053215679904,1.6468916734472549e-35,6.6318860061047393e-31,2.7932611606808046e-23,1.6460924606100757e-35,4.2644460667865522e-22,1.3479161001017181e-36,2.4512516731821874e-60,2.4182300196498143e-48,5.9029646768368104e-52,2.6476538946201698e-50,7.8772742261919118e-40,3.6640681709971805e-27,2.2061356217490567e-42,9.2398546391838621e-62,3.1914954867853327e-57,6.202722994674553e-44,3.3808002847747781e-58,4.020547223306436e-86,1.4013824936749112e-56,1.8424124232129577e-73,2.6429525937273036e-45,6.8360839581761604e-66,2.2933486665554831e-36,9.047896243202807e-54,4.3353696069826591e-52,1.0065793941210102e-45,7.9810859263382634e-78,3.6307406553956223e-88,3.5928129200794461e-55,6.2559644341795866e-70,1.7075056841838548e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999960461,0.108803,0.0001,1.774986998315325e-16,1.8469469924042847e-15,1.8469466421314757e-15,1.3378536037800462e-23,1.3453522161689128e-23,8.2879192589645414e-17,9.4941139340122588e-24,2.483382163823964e-33,3.4514323403509195e-33,6.9029264917363954e-38,5.239766446933303e-28,7.266106904001765e-23,1.2597495276158144e-26,2.5637042046781805e-38,1.1779204764229357e-41,1.1668375211398571e-43,3.1610507758548041e-49,7.563835430298484e-23,1.0399534060367772e-58,1.4205187847492328e-67,1.484590871943557e-69,6.9249204075576585e-79,3.6523715041982939e-74,8.8584068764922465e-28,2.2933486581608456e-36,9.8381275674530677e-45,1.1994598344074783e-45,9.4681456491742299e-23,1.977563547673815e-51
4.008187387457126e-18,0.0018779053215679901,7.1906160414597742e-35,2.8963188014270887e-30,5.935679844708742e-23,7.188918115865538e-35,9.0619713842665737e-22,5.8867172753690609e-36,1.0705260013600734e-59,1.0444034875340462e-47,2.5779797598025204e-51,2.3264598877615085e-49,1.6739207675802653e-39,7.7861448673192477e-27,9.6347738680930285e-42,8.1725467922414331e-61,2.822841614758902e-56,2.708892093067048e-43,2.99027969589227e-57,1.4349026883913932e-84,2.4936815390480403e-55,3.4136272758817761e-72,2.337658023838612e-44,1.2676430750440893e-64,2.0284409066465987e-35,1.6100247797955961e-52,1.8933698031186361e-51,8.8997966671915418e-45,7.059180072675007e-77,1.3515556965380447e-86,6.3932090578049025e-54,2.2327059927012302e-68,1.2941373459825165e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999915982,0.108803,0.0001,3.7718473714154686e-16,3.9247623079013688e-15,3.9247615843575446e-15,5.8095331337473558e-23,5.8755065095193762e-23,1.7611794410126432e-16,4.1463264236825787e-23,2.1804408579701291e-32,2.984800551348027e-32,6.1055605574020201e-37,2.2883436452559065e-27,3.173294529413531e-22,5.501657091669312e-26,2.2671746564145111e-37,1.0418573090960381e-40,1.0320517382102416e-42,5.6249060006403119e-48,3.3033201836229206e-22,3.711510115404343e-57,1.015324789373524e-65,1.0611207201115579e-67,9.905847212189676e-77,2.6105573370818058e-72,3.8686989782477841e-27,2.0284408893435417e-35,1.7506338872986806e-43,2.1343728567413566e-44,2.0119809258833554e-22,3.5189687490358334e-50
8.252150503588199e-18,0.0018779053215679901,3.0015811340859633e-34,1.209156042538998e-29,1.2220516825622772e-22,3.0012316932448871e-34,1.8657096727800217e-21,2.4575998949499741e-35,4.4692352848858639e-59,4.2643151454798113e-47,1.076255802636575e-50,1.9299744823676271e-48,3.4463074400577915e-39,1.6030298272525656e-26,4.0223284325368185e-41,6.8695180149704879e-60,2.3727684648823829e-55,1.1309091251857777e-42,2.5135104812838816e-56,4.8481979731798641e-83,4.2059458022640416e-54,5.7707404653503671e-71,1.964936342394701e-43,2.1466433376700093e-63,1.7050267752047345e-34,2.715542070221917e-51,7.9044461808375537e-51,7.4794599819575231e-44,5.9336661207779566e-76,4.5820138227832288e-85,1.0783049229964411e-52,7.5437867801736854e-67,8.9986285693297199e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999827008,0.108803,0.0001,7.7655681176011328e-16,8.0803927789104165e-15,8.0803913728594797e-15,2.3980365718807089e-22,2.4529082461877427e-22,3.6259436540670532e-16,1.7310075189046317e-22,1.8063042867509727e-31,2.4016863110179364e-31,5.1320919017481549e-36,9.553384066121482e-27,1.3247836092853003e-21,2.2968334847082891e-25,1.9050366429303875e-36,8.7574382355326769e-40,8.674969021685888e-42,9.4871756352332422e-47,1.379066580464532e-21,1.2540288122470129e-55,6.8666107446433989e-64,7.176327248477359e-66,1.3403981270016813e-74,1.765514298726274e-70,1.6151056379229901e-26,1.7050267440430216e-34,2.9526717554056528e-42,3.5999256078680216e-43,4.142313569691755e-22,5.9352553972502263e-49
1.6740076735850348e-17,0.0018779053215679901,1.2261718480011009e-33,4.9397966232166621e-29,2.4790189238883695e-22,1.2261009878507331e-33,3.7847646249145807e-21,1.0040189914028565e-34,1.8258284109265618e-58,1.6668324930148048e-46,4.3968561319021408e-50,1.5413910577226478e-47,6.9910807152343602e-39,3.2518605133187678e-26,1.6432524129123859e-40,5.6320459127324566e-59,1.9453389420288854e-54,4.6201327909355242e-42,2.0607281115497331e-55,1.5939722765898761e-81,6.9082372246187739e-53,9.1872696358647134e-70,1.6109635575590809e-42,3.430076934734923e-62,1.3978839152075899e-33,4.4602858499875246e-50,3.2292241570046181e-50,6.1315627564671584e-43,4.8647778552106747e-75,1.4617391263957604e-83,1.771108463732073e-51,2.4802174781810085e-65,6.0003149571361635e-83,0.88129999999999997,0.0,0.0,0.0,0.009889999999964906,0.108803,0.0001,1.5753009609913974e-15,1.6391653095274672e-14,1.6391650566062572e-14,9.5803376913633096e-22,1.0020930043897129e-21,7.3554288119659884e-16,7.0717130275379574e-22,1.4392548782996461e-30,1.8134267027780329e-30,4.2075995885849743e-35,3.90286895639526e-26,5.4121374323347805e-21,9.3833138162199401e-25,1.5607824494594324e-35,7.1798766217809918e-39,7.1121855080420874e-41,1.5582548606286641e-45,5.6338996116061118e-21,4.1229291577766845e-54,4.517038901179351e-62,4.7207786604787541e-64,1.7638702969735623e-72,1.1614052074881773e-68,6.5982332817139951e-26,1.3978838624088786e-33,4.8496796706748741e-41,5.9128683132292205e-42,8.4029785448147357e-22,9.7486756621984685e-48
3.3715929200374646e-17,0.0018779053215679901,4.956238360160346e-33,1.9967444943738593e-28,4.9929527871138603e-22,4.9560955292951242e-33,7.6229940628824575e-21,4.0584800328261492e-34,7.3802901151817463e-58,6.1757015072945764e-46,1.7772795518427601e-49,1.1851832069086011e-46,1.408062698647357e-38,6.5495219055509605e-26,6.642289009814437e-40,4.5609768093210462e-58,1.5753859081488079e-53,1.8675315501241528e-41,1.6688316342967062e-54,5.1699515506369138e-80,1.1198416063255725e-51,1.3769079085387934e-68,1.3045839040645942e-41,5.183077931818848e-61,1.1320425585938826e-32,7.2303150683397479e-49,1.3053040364754565e-49,4.9652762584774935e-42,3.9396230283411233e-74,4.3902898738236046e-82,2.871008742804906e-50,8.0444314456165174e-64,3.9193503243530684e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999293182,0.108803,0.0001,3.1727892594305704e-15,3.3014171331164271e-14,3.3014167417265922e-14,3.7079807573868041e-21,4.0506197359759477e-21,1.4814226058940082e-15,2.858485333670645e-21,1.1033029202349642e-29,1.2669200150457358e-29,3.4074241674784391e-34,1.5776019132315194e-25,2.187643477391498e-20,3.7928851528468468e-24,1.2622136041603266e-34,5.8144496921869343e-38,5.7595055399884464e-40,2.5259445059113322e-44,2.2772821074304388e-20,1.337234159199161e-52,2.9307479711434191e-60,3.0629385511358123e-62,2.289115991565731e-70,7.5354755788696954e-67,2.6671111909119282e-25,1.1320424717011053e-32,7.8612396782311354e-40,9.5849484993705735e-41,1.6924307245085748e-21,1.5803026102313202e-46
6.766763412942324e-17,0.0018779053215679901,1.9928525384826891e-32,8.0288195306467051e-28,1.0020818035859419e-21,1.9928236514662543e-32,1.5299931073517176e-20,1.6319570778244911e-33,2.9675819972794095e-57,2.0978033231303698e-45,7.1463629396934116e-49,8.6234056519495233e-46,2.8259718412496355e-38,1.314484477041533e-25,2.6708352159717786e-39,3.6710709459479555e-57,1.2680076288424947e-52,7.5092622779804006e-41,1.3432218205586207e-53,1.665530538116119e-78,1.8034271689752142e-50,1.8898329131747605e-67,1.05001662211355e-40,7.2595419412726038e-60,9.1116621021825855e-32,1.164419790486981e-47,5.2485707902953105e-49,3.9963963050469634e-41,3.1709510199333827e-73,1.20893144685763e-80,4.623560278068473e-49,2.5915598638845308e-62,2.5340298412394622e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998581407,0.108803,0.0001,6.3677658562153354e-15,6.6259198944432599e-14,6.6259194978863387e-14,1.373305186096679e-20,1.6287360525351644e-20,2.9731128309717826e-15,1.1493730234445179e-20,8.0196690455231835e-29,7.981847973434022e-29,2.7425929061360312e-33,6.343466994469017e-25,8.7961849542685195e-20,1.5251021983032639e-23,1.0131358791401933e-33,4.6799741145328554e-37,4.6355472110723757e-39,4.0677825686256273e-43,9.1566083857026733e-20,4.3078973760833321e-51,1.8884840024477254e-58,1.9736635834523755e-60,2.9502316350946993e-68,4.8556795167572643e-65,1.0724335200678761e-24,9.1116606923901987e-32,1.2659317801046203e-38,1.5436052010567809e-39,3.3966959645730659e-21,2.5450295231236604e-45
1.355710439875204e-16,0.0018779053215679901,7.9921698063185031e-32,3.2199139159893869e-27,2.0076538622539695e-21,7.9921096374636759e-32,3.0655717632867587e-20,6.5453599030823058e-33,1.1901329501712852e-56,6.1465261209777329e-45,2.8660111912386851e-48,5.7308256483945898e-45,5.6617896798720128e-38,2.6335490821750739e-25,1.0711243931410059e-38,2.9458032603991854e-56,1.0174962569689254e-51,3.0115500751058461e-40,1.0778524203326111e-52,5.3474238454105978e-77,2.8947612747948559e-49,2.2460585656725097e-66,8.425304875476941e-40,9.1411410889754599e-59,7.3115329757653409e-31,1.8691511254919308e-46,2.1049142836837044e-48,3.2068190198375878e-40,2.5444879599737852e-72,2.8901667341494974e-79,7.421482537687885e-48,8.3205642882280801e-61,1.6300365865332478e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999997157876,0.108803,0.0001,1.2757719049410544e-14,1.3274922314731126e-13,1.3274922553883857e-13,4.7474114971841138e-20,6.5319574166594779e-20,5.9562164095565058e-15,4.6094089607186825e-20,5.3832806672310479e-28,4.4461979551188962e-28,2.2007604880595546e-32,2.5440133202439097e-24,3.527476509945292e-19,6.1163402064083575e-23,8.0851433212701153e-33,3.7553832322179496e-36,3.7194074903245409e-38,6.5291359671627977e-42,3.6720147608629131e-19,1.3830595479318913e-49,1.2126698737390131e-56,1.2673670726284822e-58,3.7890233877424226e-66,3.1180876192186238e-63,4.3009367944214971e-24,7.3115307046235305e-31,2.031790696355914e-37,2.4777601267221509e-38,6.8052244447454579e-21,4.0853388725716881e-44
