Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832)
0.0,0.002727595433073826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1035263552967573e-18,0.002727595433073826,8.9383625390826867e-38,7.0890271224097002e-33,2.7124618859056778e-25,8.9379453396954522e-38,1.5181015519459092e-23,2.9335851184124152e-38,8.2704130571687338e-65,2.3645953918429816e-51,3.7963534812874714e-55,6.3969805364185361e-53,4.9042592772465966e-43,1.1810099294016562e-28,2.9999830728878426e-44,9.7429104347679154e-65,8.4730801029040163e-60,4.3350206634163554e-46,6.7806577199520256e-61,5.3605259166504748e-108,2.9699002992889101e-76,3.220893821328589e-77,1.1686066627340983e-94,2.8674587876607131e-68,5.6685115760032479e-76,1.4609802539554949e-67,4.324966518218975e-55,8.3476551426662422e-48,8.0436472377645113e-83,4.8978852049098999e-92,5.9167865065813029e-85,1.8344043946918244e-88,-1.2468225621785071e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994583,0.108803,0.0001,4.2755011444844917e-17,2.481588107648992e-16,2.481587973602272e-16,2.5889669954114415e-24,2.6075270047787217e-24,2.5340283570636345e-18,2.0659466509962006e-24,5.6265761169150016e-34,8.8117791886877675e-34,8.1368196620146134e-39,4.2472482775088406e-29,4.5762544907641099e-24
8.68987379483092e-18,0.002727595433073826,5.3986347246767364e-37,4.2817722876730782e-32,7.5948930804997103e-25,5.3985188660439668e-37,4.2507118670033961e-23,1.771895059392366e-37,4.9953294428557859e-64,1.3910832228433594e-50,2.2929975005193118e-54,7.5770149251654927e-52,1.3731925897548179e-42,3.3068278006915624e-28,1.8119897752776526e-43,1.1566783258081784e-63,1.0059240683650349e-58,2.6183524796159737e-45,8.0499973039108125e-60,3.0069741171376858e-106,9.0903487598168805e-75,9.8585962871199024e-76,6.5552754709107931e-93,8.7767930931818316e-67,6.7508362161694189e-75,2.2078333570024354e-66,2.6122797669687159e-54,9.9099110871585807e-47,9.5494178833747157e-82,2.7474630019937493e-90,3.3190138661737041e-83,9.8528038179560294e-87,1.2613066065750947e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984833,0.108803,0.0001,1.1971403204544606e-16,6.9484465516644631e-16,6.948446241600231e-16,1.5530496492232843e-23,1.5749462882459031e-23,7.0952638880291927e-18,1.247830747861519e-23,6.6496893406655516e-33,1.0308466613337081e-32,9.6600324847878408e-38,2.5653379155600131e-28,2.7640526700833183e-23
1.9862568673899245e-17,0.002727595433073826,2.5991803571966283e-36,2.0614889459303052e-31,1.7359754669543085e-24,2.5991543260853172e-36,9.716042583332369e-23,8.5310102210007424e-37,2.405036051501706e-63,6.3258267153357616e-50,1.1039795890892107e-53,7.3644077287068993e-51,3.1387258823182185e-42,7.5584635367390948e-28,8.7239507647587977e-43,1.1356336371518638e-62,9.8762221229411758e-58,1.2606240072902006e-44,7.9035360092214853e-59,1.2769250866750406e-104,1.918881244591074e-73,2.0810505523550938e-74,2.783719922197776e-91,1.8526927953094687e-65,6.6655150507930782e-74,2.3750863700448427e-65,1.2577002483743643e-53,9.729388866265371e-46,9.3756748566691045e-81,1.1667205208052905e-88,1.4094315883188936e-81,4.260122610270033e-85,6.8832814391927753e-100,0.88129999999999997,0.0,0.0,0.0,0.0098899999999965335,0.108803,0.0001,2.7363207324616957e-16,1.5882162849019415e-15,1.5882162439651649e-15,7.3705706530536125e-23,7.5826881903372683e-23,1.621767290338638e-17,6.0077574237473755e-23,6.4656537046386279e-32,9.8112211618383718e-32,9.4842774787425447e-37,1.2350997334878021e-27,1.3307672424343331e-22
4.2207958432035897e-17,0.002727595433073826,1.1351242129610319e-35,9.0030629863005543e-31,3.6889474647051624e-24,1.1351188734866147e-35,2.0647144360803844e-22,3.7258026102868394e-36,1.0503423905478855e-62,2.4522909087339369e-49,4.8213688874458099e-53,6.3198678293756827e-50,6.6697923414573582e-42,1.6061734982705201e-27,3.8099784909952482e-42,1.0044550876197045e-61,8.7354065683820048e-57,5.5054762256822198e-44,6.9905897201401904e-58,4.2909927027648973e-103,3.2036077099161864e-72,3.4743522907973954e-73,9.3544292189776178e-90,3.093104870293541e-64,5.959561492948278e-73,2.1831135539651031e-64,5.4927073215312086e-53,8.6054386499543072e-45,8.2926777924989653e-80,3.9206570981849505e-87,4.7362642761700321e-80,1.5504633055585258e-83,2.6987388629887989e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999926339,0.108803,0.0001,5.8146815564570148e-16,3.3749593144431838e-15,3.3749593483976626e-15,3.1288474207271853e-22,3.3115589452863679e-22,3.4462242751181127e-17,2.6237363002908007e-22,5.6097359014486317e-31,8.1734501283182647e-31,8.3887365346516086e-36,5.3940046438411072e-27,5.8117650478787752e-22
8.689873794830921e-17,0.0027275954330738266,4.7389071611500853e-35,3.7586008673123323e-30,7.5948901799760262e-24,4.7388969572144595e-35,4.251110929467158e-22,1.55552138444773e-35,4.3849723934746322e-62,7.999802706111023e-49,2.012826585365436e-52,4.8764489904386133e-49,1.3731924755785038e-41,3.306827777012286e-27,1.5905910148301215e-41,8.4430501771282362e-61,7.3426354764307716e-56,2.2984279405725144e-43,5.8760146041109817e-57,1.1776528336486982e-101,4.3658489683393273e-71,4.7348171335035162e-72,2.5672983513979675e-88,4.2152566511614814e-63,5.1159937392387656e-72,1.8676995882516849e-63,2.293097106872714e-52,7.2333492858685328e-44,6.9704946121993013e-79,1.0760146635075559e-85,1.2998554618657714e-78,4.9390443638440878e-82,9.5183920747435958e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999848345,0.108803,0.0001,1.1971403204371046e-15,6.9484444997858193e-15,6.9484450165516291e-15,1.2365833858546944e-21,1.3825105023916684e-21,7.095038974209979e-17,1.0953505715804537e-21,4.5416631675580051e-30,6.1508986634376861e-30,7.0512393673394898e-35,2.2518904506921205e-26,2.4262597921712536e-21
1.7628029698085581e-16,0.002727595433073826,1.9359950572548797e-34,1.535510519263664e-29,1.5406770489597887e-23,1.9359933052912904e-34,8.6246084675609942e-22,6.3554019223143801e-35,1.7914040338362571e-61,2.0206552736875163e-48,8.2230532371057958e-52,3.2397132571384307e-48,2.7856187568638284e-41,6.7081362926910283e-27,6.4980832470186999e-41,6.9221225380484164e-60,6.0199360360163621e-55,9.3898280293414544e-43,4.8175162616998095e-56,2.4997945334137459e-100,4.5823451835478767e-70,4.9696094668497179e-71,5.4495774010066385e-87,4.4242852084311189e-62,4.3688582754089661e-71,1.5442501049156263e-62,9.3680492820047105e-52,5.9303187944727137e-43,5.7148314029939768e-78,2.2840473475970657e-84,2.7591899232708243e-77,1.3384851835102315e-80,3.1950434137438639e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999692359,0.108803,0.0001,2.4284846499892683e-15,1.4095411680403664e-14,1.4095414190016361e-14,4.5604929814390184e-21,5.6480051243157553e-21,1.4392271312130407e-16,4.4748017801790874e-21,3.4672433824368036e-29,4.163270107098953e-29,5.7810334446930398e-34,9.1997049277622515e-26,9.9117547590129309e-21
3.55043415045949e-16,0.002727595433073826,7.8255908577045673e-34,6.2067743759382115e-29,3.1030510625190731e-23,7.8255885920183474e-34,1.7374421747189519e-21,2.5694316712216716e-34,7.2411393668386975e-61,3.657936586735859e-48,3.3238894860293187e-51,1.7605310607393593e-47,5.6104705131138586e-41,1.3510753156837621e-26,2.626629106968144e-40,5.6057141298471348e-59,4.8751000349200597e-54,3.7955185661592776e-42,3.9013568196597917e-55,3.8693964693615997e-99,3.4813574436112654e-69,3.7755739778425186e-70,8.4353097110220879e-86,3.3612741131617475e-61,3.820426676319535e-70,1.2557584863350305e-61,3.7867148017760355e-51,4.8025161410846752e-42,4.6280166617268234e-77,3.5354450295064838e-83,4.2709042705330377e-76,2.9555088364108169e-79,1.0469379722163214e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999380386,0.108803,0.0001,4.8911733089710244e-15,2.8389335007760971e-14,2.838934388558034e-14,1.5388305121393227e-20,2.2830128617666339e-20,2.8985147919739393e-16,1.808735842490567e-20,2.4662883136326349e-28,2.4914094640957998e-28,4.6816330269870604e-33,3.7186661366784288e-25,4.0062406335942352e-20
7.125696511761354e-16,0.002727595433073826,3.1466299828665378e-33,2.4957129387202125e-28,6.2277908962004814e-23,3.1466300206232468e-33,3.488532110686094e-21,1.0335404566167095e-33,2.9116285556291277e-60,4.9674293339226928e-48,1.3365212567292044e-50,8.0531124552149866e-47,1.1260170800333292e-40,2.71159862163536e-26,1.0561559819135175e-39,4.511966144896155e-58,3.9239042387539227e-53,1.5261612789460701e-41,3.1401630470271179e-54,4.5373012294894951e-98,1.996021765071427e-68,2.1647086685406106e-69,9.8913319900362022e-85,1.9271724885803359e-60,3.529572109112891e-69,1.0128146271589111e-60,1.5226209649301961e-50,3.8654748028231957e-41,3.725027257707628e-76,4.1457140426137372e-82,5.0081072452363128e-75,5.4763462656121519e-78,3.3899739966233533e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998756458,0.108803,0.0001,9.8165506264442588e-15,5.6977145092330038e-14,5.6977168671304833e-14,4.6201206031889213e-20,9.1798853788049692e-20,5.816455024429985e-16,7.2724415739256262e-20,1.5935684270517007e-27,1.3109898374496954e-27,3.7681892002639638e-32,1.4952581365508014e-24,1.6106914353805951e-19
1.4276221234365082e-15,0.002727595433073826,1.2619353843130965e-32,1.00088951254327e-27,1.2477237790002172e-22,1.2619355776241385e-32,6.9952210929361038e-21,4.1480337898077295e-33,1.167691884087312e-59,5.7549307942046188e-48,5.3600473189026658e-50,3.3713228674955289e-46,2.2559558473664378e-40,5.4326449660808965e-26,4.2356576268880693e-39,3.6205682398240171e-57,3.1486854013021087e-52,6.1205889743646733e-41,2.519801810611586e-53,4.4650910421298711e-97,9.6458465845948855e-68,1.0461024026956958e-68,9.7338983753500339e-84,9.3131299929650855e-60,3.5617477132990095e-68,8.1354765114599641e-60,6.1063878515306881e-50,3.101790350025537e-40,2.989094676813388e-75,4.0797578054614081e-81,4.9283972702173541e-74,9.2382056331342341e-77,1.091198111836844e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997508602,0.108803,0.0001,1.9667305259429615e-14,1.1415264181812628e-13,1.1415267982160805e-13,1.2164020835589558e-19,3.6815374772433008e-19,1.1649796238413877e-15,2.9162497193796867e-19,9.1357128655434196e-27,6.1851050554358699e-27,3.0237403900585428e-31,5.9966459456029382e-24,6.4579869992874915e-19
