Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663)
0.0,0.0017386491121777314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.052967674301424e-19,0.0017386491121777314,3.5309451405490032e-37,1.6116917965788882e-32,2.2380352252033621e-24,3.5266958596392049e-37,5.0729751458175957e-23,4.2890326126105889e-38,2.0843645290880147e-62,3.7616354415671742e-50,9.7160662720045582e-54,1.6129874971184519e-52,3.7236847855018088e-41,4.2840266384370335e-28,6.5304840824090899e-44,5.5304583644829605e-64,1.9629532744179618e-59,1.6157016896025233e-45,1.0978522964664101e-60,7.5663331441794636e-90,1.9811611865095414e-59,1.3959551342778015e-76,9.8046680731120901e-48,1.1045888050687698e-68,1.9894378174994187e-38,1.845488291350139e-56,6.7038024768560395e-54,7.7024418172242091e-48,1.7618798388582642e-80,9.2341594226957259e-92,5.1898768963409564e-58,2.9801130251030969e-73,1.6688992539341251e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993958,0.108803,0.0001,2.6366350533506028e-17,2.8437314174162196e-16,2.843730892523986e-16,6.6298058384323331e-25,6.6409164266024218e-25,8.2871481488531233e-18,4.7922914891076768e-25,3.6162734233217843e-35,5.1962801235794913e-35,9.1718714474078918e-40,2.1875893522621087e-29,2.1496955425997558e-24,5.3049080386031436e-28,3.4629002975720394e-40,1.1664054121990644e-43,8.8705161688151292e-46,7.3048404528103587e-52,2.1162242034616242e-24,8.242413994070922e-62,4.5449381712543531e-71,3.2800994031868127e-73,6.2727852270495599e-83,9.1082124750880048e-78,2.6846005749915076e-29,1.9894378147243626e-38,3.3526204849688367e-47,4.0290268749914542e-48
1.1348309488043989e-18,0.0017386491121777314,2.1313138866048129e-36,9.7346183799021077e-32,6.2664985847689017e-24,2.1301242861863484e-36,1.4204344582541829e-22,2.5905779139313491e-37,1.2589561736449274e-61,2.2626597860910611e-49,5.8685040284509558e-53,1.9110553842500368e-51,1.042631738715648e-40,1.1995274589055443e-27,3.9444123861681464e-43,6.5657601704705742e-63,2.3304181270673678e-58,9.7588382061620067e-45,1.3033702868973108e-59,3.122267233534845e-88,4.4317763543633868e-58,4.3715078911222943e-75,1.1640096510662717e-46,3.4593768319277933e-67,2.3618605704889336e-37,4.1282834770493605e-55,4.0490966926815034e-53,9.1377293183999585e-47,2.0917037398756115e-79,5.2974493924538587e-90,1.1609541852447738e-56,1.2297514518608583e-71,1.8982524689471353e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999983099,0.108803,0.0001,7.3825781493792795e-17,7.962447931820602e-16,7.9624464775478891e-16,3.9979417866846871e-24,4.0111135064785014e-24,2.3204000670046864e-17,2.8945435436301187e-24,4.2855005958257236e-34,6.1341262040746536e-34,1.0888846167435519e-38,1.321303964011371e-28,1.2984154471877143e-23,3.2041644429104856e-27,4.1109441005348774e-39,1.3847564996978326e-42,1.053106911005624e-44,1.6340624505471067e-50,1.2781987686331129e-23,3.4012528977316111e-60,3.4213137139486578e-69,2.4691753001750816e-71,8.5623152107799089e-81,6.8564318126458823e-76,1.6214987424621408e-28,2.3618605632519984e-37,7.4996676390863698e-46,9.0127697964269836e-47
2.5938993115529118e-18,0.0017386491121777314,1.0258349558165753e-35,4.6867996469516536e-31,1.4323425120697932e-23,1.0255631364294829e-35,3.2467140152999915e-22,1.2472540059385792e-36,6.0613320216766317e-61,1.0798973242757712e-48,2.8254320721303672e-52,1.8677056470285877e-50,2.3831582541471474e-40,2.7417770496019241e-27,1.8990647717542386e-42,6.4463022701081373e-62,2.2880183356644802e-57,4.6984605148082319e-44,1.2796567579151758e-58,1.2351367074493607e-86,8.7564347246832997e-57,9.6703416073426468e-74,1.1428304286254441e-45,7.6547456487759177e-66,2.3188887000935227e-36,8.1567924272110975e-54,1.9494657552624146e-52,8.9680516880000489e-46,2.0536471252261502e-78,2.3558491663097864e-88,2.2938475971161205e-55,4.8647697936120089e-70,1.7184807360840684e-88,0.88129999999999997,0.0,0.0,0.0,0.009889999999996138,0.108803,0.0001,1.6874464341426998e-16,1.8199880813363929e-15,1.819987756151861e-15,1.9182871281591459e-23,1.9311784740731686e-23,5.303764912557415e-17,1.3935975913830309e-23,4.1912272907712902e-33,5.9498729718081005e-33,1.0690734103036549e-37,6.3615097651755106e-28,6.2513047297520372e-23,1.5426672390515878e-26,4.0357021458434397e-38,1.3595621309213601e-41,1.0339449821173917e-43,3.2286271123282275e-49,6.1539702298106476e-23,1.3454997972868564e-58,2.7051258315747278e-67,1.9522997445887568e-69,1.3526339351580474e-78,5.4211686068803082e-74,7.8068183995842389e-28,2.3188886846375478e-36,1.4818034996296069e-44,1.7807704987919607e-45
5.512036037049938e-18,0.0017386491121777314,4.4794808106786086e-35,2.0468484854096244e-30,3.0437277459747827e-23,4.4789035396879478e-35,6.8992958081949897e-22,5.4471057394872047e-36,2.6471429220444419e-60,4.634098237062631e-48,1.2339404167796024e-51,1.6366799145698574e-49,5.0642112654124084e-40,5.8262762332854809e-27,8.293714790754782e-42,5.7016813564099326e-61,2.0237263057000175e-56,2.0519411472874107e-43,1.1318420543482508e-57,4.4081068650406067e-85,1.5581577230268826e-55,1.7806313830502689e-72,1.0108185275218261e-44,1.410338165286598e-64,2.0510307703631878e-35,1.4514576136487233e-52,8.5138290945473879e-52,7.9306642685767909e-45,1.8164276072659326e-77,8.716301834019504e-87,4.0817712473730375e-54,1.7361984501384548e-68,1.3024554544839558e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999917942,0.108803,0.0001,3.5858236725483901e-16,3.8674745991450362e-15,3.8674739385151711e-15,8.3206639329205432e-23,8.4339636263877656e-23,1.1270471969004652e-16,6.086202197541465e-23,3.6784172143111447e-32,5.137801861369085e-32,9.4558337363025448e-37,2.7782384040522107e-27,2.7301031007234156e-22,6.7372330177991153e-26,3.5687376606581611e-37,1.2025172870308453e-40,9.1450973166656214e-43,5.7451518273369148e-48,2.6875946594323727e-22,4.8019787030665468e-57,1.9335050355750174e-65,1.3954180416025435e-67,1.9348929662425266e-76,3.8748162311441418e-72,3.4094426553317235e-27,2.0510307418374813e-35,2.6367742614920025e-43,3.1687826142902078e-44
1.1348309488043988e-17,0.001738649112177732,1.8699727002325314e-34,8.5451890585548646e-30,6.2664979206615257e-23,1.8698539629322576e-34,1.4204550109194772e-21,2.2740759771750326e-35,1.1051300464053022e-59,1.8679541289699579e-47,5.1514583395143605e-51,1.3502437187249419e-48,1.0426317209551981e-39,1.1995274609815802e-26,3.4624626659824992e-41,4.7926067330590753e-60,1.7010638965592195e-55,8.5664503717023408e-43,9.5138168659207156e-57,1.4893940636413159e-83,2.6280504493993142e-54,2.9730102561183606e-71,8.4965043945414528e-44,2.3577380650262934e-63,1.7240149055015489e-34,2.4480953569057006e-51,3.5543560299009179e-51,6.6655919022749707e-44,1.5268168212894813e-76,2.919109667099166e-85,6.8844768423270866e-53,5.866199624328021e-67,9.0564674802300342e-85,0.88129999999999997,0.0,0.0,0.0,0.009889999999983105,0.108803,0.0001,7.3825781493443549e-16,7.9624474039348835e-15,7.9624461655184652e-15,3.4269742292775748e-22,3.5210136775712397e-22,2.3203795543953155e-16,2.5408657545830873e-22,3.044759079676964e-31,4.1225420315329678e-31,7.9481987792601997e-36,1.1598598090348919e-26,1.1397593621832277e-21,2.8126620712118014e-25,2.9984021815369347e-36,1.0107882014437903e-39,7.6869566106010091e-42,9.6899788427822503e-47,1.122013001644556e-21,1.6224702716097332e-55,1.3076225494650526e-63,9.4371623891627408e-66,2.6181757073642736e-74,2.6205287162379338e-70,1.423375157443731e-26,1.7240148565340803e-34,4.4472515546687856e-42,5.3446037592101181e-43
2.3020856390032088e-17,0.0017386491121777314,7.6392034111096143e-34,3.4909881899932212e-29,1.271203709754229e-22,7.6389627601628782e-34,2.88154215720041e-21,9.2904776876218682e-35,4.5148167166476738e-59,7.1167682286919123e-47,2.10453882054998e-50,1.0661435650986568e-47,2.1150528784267325e-39,2.4333271399529498e-26,1.4145289788395698e-40,3.9292685583808809e-59,1.3946349530073675e-54,3.4996744991171782e-42,7.8000058236603555e-56,4.8967648795328057e-82,4.3165469316724059e-53,4.6175671683771509e-70,6.9658912387501298e-43,3.6721805023470118e-62,1.4134515131110868e-33,4.021003784307791e-50,1.4520704038495706e-50,5.4646072650223131e-43,1.2517766263119241e-75,9.0888608712387769e-84,1.130768528282112e-51,1.9286632710982306e-65,6.0388820555843416e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999657266,0.108803,0.0001,1.4976087102874626e-15,1.6152392114417412e-14,1.6152390068631809e-14,1.3632415106384999e-21,1.4384488824041263e-21,4.7070080547561498e-16,1.0380234178136697e-21,2.4222511557947693e-30,3.0974258171704026e-30,6.5164148051171672e-35,4.7384054931415257e-26,4.6562485175973507e-21,1.1490641581747936e-24,2.4560817680543967e-35,8.2870517963140083e-39,6.3021515649585551e-41,1.591562406656988e-45,4.5837494728934612e-21,5.3342628227940101e-54,8.601874711247747e-62,6.208006186390421e-64,3.4453308700796984e-72,1.7238563492477928e-68,5.8149516586592604e-26,1.4134514319847066e-33,7.3044478314542868e-41,8.7784906701842835e-42
4.636595019400829e-17,0.0017386491121777314,3.0878388161285482e-33,1.4111129490881451e-28,2.5603110761334749e-22,3.087790240029368e-33,5.8038615940633457e-21,3.7554690148877387e-34,1.8249610072004661e-58,2.5071390327481663e-46,8.506882406842082e-50,8.0067234775811573e-47,4.25989506794429e-39,4.9009265125570739e-26,5.7177523157605385e-40,3.1820235542124436e-58,1.1294115378826434e-53,1.4146243922813265e-41,6.316653352585181e-55,1.5882299875724615e-80,6.9971989328511851e-52,6.5925089327162269e-69,5.6410679779203227e-42,5.2779884317060232e-61,1.1446495729831894e-32,6.5182197933117793e-49,5.8695009104867682e-50,4.4252802108734192e-42,1.0137210852305377e-74,2.6027756371982778e-82,1.8329957867367928e-50,6.2554769507797866e-64,3.9445418970100339e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999309714,0.108803,0.0001,3.0163105009688527e-15,3.2532278115642353e-14,3.2532275671286011e-14,5.2339480520070908e-21,5.8144396219732793e-21,9.4801202013583734e-16,4.1958311829293029e-21,1.8514849489236992e-29,2.14691112155437e-29,5.277163652401482e-34,1.9153390432764323e-25,1.8820974599342324e-20,4.6447004814863355e-24,1.9854615233413929e-34,6.7110685020628148e-38,5.103516338663509e-40,2.5799279366053342e-44,1.8527926950858672e-20,1.7301135501320288e-52,5.5810559167880605e-60,4.0278696268605691e-62,4.4712681043536052e-70,1.1184773926656362e-66,2.3504961947074933e-25,1.14464944091457e-32,1.1840253477873065e-39,1.4230191537607206e-40
9.30561378019607e-17,0.0017386491121777314,1.2415963048119031e-32,5.6740207459745199e-28,5.138523932905799e-22,1.2415863569090151e-32,1.1649081044820122e-20,1.5101455464340424e-33,7.3380871782291894e-58,7.7442697042749378e-46,3.4205800070933746e-49,5.5586712138091037e-46,8.5495789452774217e-39,9.836125316412184e-26,2.2990830744328604e-39,2.5611693902331594e-57,9.0904865355319477e-53,5.6881425021791025e-41,5.0842024695905365e-54,5.1165400700910114e-79,1.1268419989725229e-50,8.2606166811283739e-68,4.5402752234713608e-41,6.7372910346276933e-60,9.213133838744027e-32,1.0497390041505675e-47,2.3601014574826895e-49,3.5618091493596296e-41,8.1593079032687369e-74,6.5552351540966221e-81,2.9518906866198866e-49,2.0152232842614557e-62,2.5503171554938439e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998614593,0.108803,0.0001,6.0537140822329753e-15,6.5292037623640941e-14,6.5292038062308404e-14,1.9109460088123529e-20,2.3379599979713943e-20,1.9025765113251093e-15,1.687104839589848e-20,1.3391294055494749e-28,1.3380892337303548e-28,4.2475236181368602e-33,7.7014924197496039e-25,7.5675686480764493e-20,1.8676132127763822e-23,1.5924073251358577e-33,5.4016504074434129e-37,4.107545667701474e-39,4.1546905064112142e-43,7.4497395640767981e-20,5.5735218900213142e-51,3.5962381917519784e-58,2.5954190368314677e-60,5.7625708192999598e-68,7.2071745146755284e-65,9.4512398999107653e-25,9.213131707462964e-32,1.906652358074537e-38,2.291689785756826e-39
1.864365130178655e-16,0.0017386491121777314,4.9793344244647415e-32,2.2755342035910754e-27,1.0294942142517576e-21,4.9793124493532826e-32,2.3341842253177334e-20,6.0570646945504089e-33,2.9429005472195195e-57,1.9345446588188491e-45,1.3718055767845794e-48,3.4043446052088526e-45,1.7128944693136209e-38,1.9706523158720538e-25,9.2203515475885668e-39,2.0551771453663926e-56,7.294542806011489e-52,2.281199582451969e-40,4.0797688442171923e-53,1.6427145755105286e-77,1.8087175901897443e-49,8.4346797306064607e-67,3.6430489602755562e-40,7.322891791188974e-59,7.3929568785771894e-31,1.6850629448725366e-46,9.4650963532280247e-49,2.8581092866362102e-40,6.5473286377928125e-73,1.3510783504002364e-79,4.7381412948948651e-48,6.4700616068393232e-61,1.6405133758886586e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999997224368,0.108803,0.0001,1.21285212443666e-14,1.3081151349833295e-13,1.3081152758724049e-13,6.4561454111552986e-20,9.3762604601368291e-20,3.8114737693083927e-15,6.7658815253802356e-20,8.9211691435062107e-28,7.3662401401444837e-28,3.4083753546923094e-32,3.0886417477766337e-24,3.0347229987064448e-19,7.489961287599737e-23,1.2688079456266674e-32,4.3344822442062849e-36,3.2957125074982532e-38,6.6685438779962961e-42,2.9874715434838385e-19,1.7893680385803349e-49,2.3092566551411182e-56,1.6665995187559026e-58,7.4008558010118369e-66,4.6280740432056644e-63,3.7903683765419862e-24,7.3929534543568377e-31,3.0600088590182063e-37,3.6785454261776154e-38
