Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355)
6.0034607284295114e-18,0.0022819398363492878,4.8848106517865503e-30,6.993452011663508e-26,5.7113721327420404e-19,4.8747739620843522e-30,4.5954156896292022e-19,1.9916236265150876e-32,3.7032520077882998e-51,1.3304214029482493e-41,3.2078407925317377e-45,1.9784303814554312e-43,1.7680892447342336e-33,4.4971009033004426e-24,6.4625066513258574e-38,1.4200992344198778e-54,2.4746309397174381e-50,5.6636030593112325e-39,1.6635399075617824e-52,6.1254213378889138e-90,4.7352820510629551e-65,1.0457831476127563e-63,3.5792262272679655e-80,7.9001635508017958e-59,3.3617244687838898e-62,1.8903764673505585e-57,2.3895552088619824e-45,1.0402767362976146e-39,7.9315345739188275e-67,2.7155139977732091e-77,7.470217742281187e-73,3.125529040699728e-72,1.7100636064445202e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999993820702,0.108803,0.0001,1.5064202502527496e-14,1.8479968739240046e-13,1.847986587987136e-13,3.7475712236158213e-21,3.9467525403698568e-21,2.3326414610881444e-13,2.2785469748566884e-21,7.1282640968387143e-30,6.2151529856151131e-30,2.4511295342672662e-34,6.8625605709812083e-25,7.4784423625078319e-19,1.6352504229682683e-23,2.7175176224463185e-34,1.1953935735256297e-36,1.2609777020869224e-37,4.5776892980422264e-42,1.2917890584238528e-18,9.077643099428584e-51,3.1432788555092587e-59
1.201213732195757e-17,0.0022819398363492873,1.9531880777191459e-29,2.7992030514399207e-25,1.1427705104352646e-18,1.9511798032464998e-29,9.194851100750459e-19,7.9717148894686959e-32,1.4822659178011567e-50,5.2479143939231813e-41,1.283972327630338e-44,1.5642713534087095e-42,3.537714595563352e-33,8.9981090742093237e-24,2.5866868735085847e-37,1.1369428861875136e-53,1.9812094549744609e-49,2.2669172320433379e-38,1.3318457248251293e-51,1.9383940667699979e-88,7.4787840591935253e-64,1.6516832640218734e-62,1.1183970998472296e-78,1.2477317420933027e-57,2.691430291605569e-61,1.5138343790076639e-56,9.5644481349173889e-45,8.3123219486290218e-39,6.3500504127669325e-66,8.5799057983571277e-76,2.3602769546372224e-71,2.5204260202077779e-71,2.740858616682427e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999987636048,0.108803,0.0001,3.0141492929126497e-14,3.6975991918213804e-13,3.6975786453785825e-13,1.4274619939103814e-20,1.5797293159409943e-20,4.667267998078e-13,9.1200821307520827e-21,4.8566167582059068e-29,3.5974108507415708e-29,1.962395313780518e-33,2.7468126400799049e-24,2.9933030448570406e-18,6.5452631035357144e-23,2.1737376483957468e-33,9.5704167867281391e-36,1.0095120951624034e-36,7.3300086056480275e-41,5.1704832831188256e-18,2.9071891269248048e-49,2.0133490517793407e-57
2.4029490509013687e-17,0.0022819398363492873,7.8112772517845271e-29,1.1200456152900602e-24,2.2860367275490481e-18,7.8072592671289839e-29,1.8393803497275434e-18,3.1897483775890917e-31,5.9309945669018439e-50,2.0402912102646634e-40,5.1375619474310041e-44,1.2214932118641598e-41,7.0769652160494607e-33,1.8000125843964605e-23,1.0350117090922114e-36,9.098998772408971e-53,1.5855697286290484e-48,9.0706219708061845e-38,1.0658850288311755e-50,6.0391239133920326e-87,1.1644295076923329e-62,2.5716327920263479e-61,3.464803525786735e-77,1.9426896761270172e-56,2.1539681742925391e-60,1.2116811362380509e-55,3.8270250321115077e-44,6.645894650056316e-38,5.0819703057464616e-65,2.6729919961410805e-74,7.3532031587036672e-70,2.1262206149849864e-70,4.3929597959901486e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999975266741,0.108803,0.0001,6.0296073777379962e-14,7.3968035226799437e-13,7.3967625220818398e-13,5.2037397356909683e-20,6.3209729326010604e-20,9.3363963846419577e-13,3.6491857396118704e-20,2.9866725918627812e-28,1.8432903320613444e-28,1.5705147284845134e-32,1.0990828259369282e-23,1.197692837382244e-17,2.6189576726188166e-22,1.7365713846837416e-32,7.6592415816263684e-35,8.0785760007137447e-36,1.1731959771481372e-39,2.0688352302633156e-17,9.306271824760593e-48,1.2890051783824323e-55
4.806419688312593e-17,0.0022819398363492873,3.1242150587184571e-28,4.4809100863167254e-24,4.5725676529443534e-18,3.1234109046563295e-28,3.6792034587446488e-18,1.2761263044944924e-30,2.3727841538969116e-49,7.7192021128839803e-40,2.0553594653431293e-43,9.3196788288826746e-41,1.4155466132333184e-32,3.6004161095226701e-23,4.1407210205209418e-36,7.2805819269894943e-52,1.2686967418332222e-47,3.6288396287445379e-37,8.5287584756970165e-50,1.8330151862085555e-85,1.7656345206149012e-61,3.899388624801468e-60,1.0487131958756902e-75,2.9457171364628463e-55,1.7235094718903168e-59,9.6959050417721522e-55,1.5310591746083878e-43,5.3151281022220949e-37,4.0663484781156731e-64,8.1133229940024255e-73,2.2318992909015667e-68,2.1118702813507779e-69,7.0468975093985594e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999950528127,0.108803,0.0001,1.2060523545410874e-13,1.4795211145488393e-12,1.4795129323170879e-12,1.7631590506379073e-19,2.5287991547446878e-19,1.8674154434743192e-12,1.4598838855977731e-19,1.6260746133117817e-27,8.5381040499210301e-28,1.2566537028996607e-31,4.3970468261509221e-23,4.7914050120112956e-17,1.0477535148465111e-21,1.3846181469349427e-31,6.1285561765963064e-34,6.4631460497868567e-35,1.8772306812843674e-38,8.2764354783674389e-17,2.9782196103192292e-46,8.2502577192627445e-54
9.61336096313504e-17,0.0022819398363492873,1.2496263233776724e-27,1.7925085554273921e-23,9.1456234684146659e-18,1.2494651003175235e-27,7.3589801956199381e-18,5.105074672046074e-30,9.4919100687697829e-49,2.7788656489869078e-39,8.2221081724764748e-43,6.8188380729771302e-40,2.8312466666146768e-32,7.2012238444769141e-23,1.6564233896615873e-35,5.8250193155273049e-51,1.0150538538874643e-46,1.451654146208755e-36,6.8237487127952865e-49,5.3063291824953996e-84,2.5514882073652144e-60,5.6349385930450097e-59,3.0317085788851413e-74,4.2568053853535926e-54,1.3789500219934374e-58,7.7577078465218306e-54,6.1247348225744836e-43,4.2514649798607935e-36,3.253387833285055e-63,2.3487975610324428e-71,6.4612309518458123e-67,2.990289422515379e-68,1.1328261327678994e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999901050951,0.108803,0.0001,2.4122355872845368e-13,2.9592023066117963e-12,2.9591859116087518e-12,5.3683469390973677e-19,1.011600696803106e-18,3.7347675855906758e-12,5.8397867337206215e-19,7.8967323571333763e-27,3.6978576782392737e-27,1.0054237068049093e-30,1.7589617455627688e-22,1.9166010071698744e-16,4.1913545561499156e-21,1.1000339331886465e-30,4.9033091877734898e-33,5.1695008200272954e-34,3.0030274293726229e-37,3.3106415622247323e-16,9.5286587744544743e-45,5.2792727759930747e-52
1.4420302237957487e-16,0.0022819398363492873,2.6554180429888982e-27,3.8091698669433148e-23,1.371867324857345e-17,2.6551755046299894e-27,1.1038887451328707e-17,1.0848780609234995e-29,2.0170793432672711e-48,5.497977228846277e-39,1.7472399903788101e-42,1.8562911289192259e-39,4.2469465901206608e-32,1.0802032264134217e-22,3.5199842207403779e-35,1.6656322021914097e-50,2.9024905351034788e-46,3.0848391300344963e-36,1.9512311425498397e-48,2.3957951448968426e-83,9.2954494246578295e-60,2.052891429462145e-58,1.3691349645221101e-73,1.5508172468109893e-53,3.9439133526013465e-58,2.3031526058001114e-53,1.3015372571924139e-42,1.2156062236063044e-35,9.3028830430719726e-63,1.0610299323739231e-70,2.9187339919824554e-66,1.1625688038853682e-67,4.329071074829997e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999985157381,0.108803,0.0001,3.6184188192368618e-13,4.4388832138720939e-12,4.4388585099751187e-12,9.6163387643496108e-19,2.1497010411686405e-18,5.6019202811076494e-12,1.2409514886782478e-18,1.7857660098410588e-26,8.0483135862446508e-27,2.874965401153778e-30,3.737882983570659e-22,4.0727028198899159e-16,8.9068408394720766e-21,3.1328297084884846e-30,1.4020739479415316e-32,1.4779427328049954e-33,1.1051886931300684e-36,7.0349849426304917e-16,4.3500430846408629e-44,2.9003672604814635e-51
1.9227243512779933e-16,0.0022819398363492878,4.5297962160136206e-27,6.4980740553105501e-23,1.8291716993429487e-17,4.5294716836013195e-27,1.4718925225863214e-17,1.850735625473194e-29,3.4409435174174587e-48,8.7932919691911994e-39,2.9806235517528158e-42,3.7523816157554785e-39,5.6626463837512816e-32,1.4402841368495819e-22,6.0047547134342325e-35,3.5133483693000459e-50,6.1222760480660098e-46,5.2624390178418007e-36,4.11580874197029e-48,7.1851610009544225e-83,2.3833554107383775e-59,5.2636178001409259e-58,4.1018364524854195e-73,3.9762990549428499e-53,8.3206379092241021e-58,5.0185475957790498e-53,2.2202972218869315e-42,2.5640103386901703e-35,1.9622740204890003e-62,3.1793064741977608e-70,8.7457224510951084e-66,3.3119940302718742e-67,1.1678504681182887e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999802096704,0.108803,0.0001,4.8246020503980625e-13,5.9185638637196503e-12,5.9185307274170369e-12,1.4233382216538208e-18,3.6671801026345221e-18,7.4688735513274765e-12,2.1168921475254309e-18,3.1526895329789291e-26,1.3905221140005689e-26,6.0642443042574272e-30,6.3764683076231338e-22,6.9473691832685559e-16,1.5194212089794291e-20,6.5840666199373116e-30,2.9574195248640913e-32,3.1169779911678004e-33,2.8026913863059187e-36,1.2000541104467066e-15,1.2965077999961407e-43,9.9713007819454089e-51
2.8841126062424827e-16,0.0022819398363492873,9.378294887399454e-27,1.3453592551538708e-22,2.7437790318682817e-17,9.3778042430968368e-27,2.2079307094601014e-17,3.8318973492059495e-29,7.1241257412098384e-48,1.6383337701671846e-38,6.1710798368550543e-42,9.5912057122461093e-39,8.4940456662030368e-32,2.1604461184181986e-22,1.2432237107881742e-34,9.59617770537025e-50,1.6722066836098609e-45,1.089534756278008e-35,1.1241958016697714e-47,3.2600099825766429e-82,8.706182930990064e-59,1.9227517077250175e-57,1.856419437640005e-72,1.4525062776908295e-52,2.2735492271960299e-57,1.4567595318095165e-52,4.596899982959758e-42,7.0029516201521569e-35,5.3596533710682692e-62,1.4391677449932122e-69,3.9587948536269618e-65,1.5526412755681143e-66,4.752941843983737e-79,0.88129999999999997,0.0,0.0,0.0,0.009889999970314256,0.10880299999999998,0.0001,7.2369685108637444e-13,8.8779246026188409e-12,8.8778742682971366e-12,2.3900706016852841e-18,7.5925142232552023e-18,1.1202312118875909e-11,4.3826320404536977e-18,6.7579376444638567e-26,2.9154307148471345e-26,1.6563733409012246e-29,1.3201829905751486e-21,1.4382890848263434e-15,3.1458071575414218e-20,1.7874776234670486e-29,8.077739633736272e-32,8.5113986414168193e-33,9.7992604846705308e-36,2.4844292606225163e-15,5.6741500123094572e-43,5.362003338806426e-50
3.845500861206972e-16,0.0022819398363492873,1.5949949345282927e-26,2.2881180489355608e-22,3.6583841450048469e-17,1.594928867164776e-26,2.9440168927546333e-17,6.5173253224449426e-29,1.2116359033965442e-47,2.5230592245134922e-38,1.0495465948609039e-41,1.8945610928338074e-38,1.1325444471056863e-31,2.8806083517780501e-22,2.1144129968281278e-34,2.0078578395809656e-49,3.4988442877325016e-45,1.8530264739065831e-35,2.35226064868894e-47,9.6394408953212615e-82,2.1947271426852624e-58,4.8470317371429027e-57,5.4840474919502587e-72,3.6615988635177658e-52,4.7585024040096547e-57,3.1858052939551945e-52,7.8181773883613102e-42,1.4652323600424284e-34,1.1214279289112809e-61,4.2519687773933053e-69,1.1695897993603819e-64,4.6219638914708568e-66,1.2933528138456382e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999604188538,0.10880299999999997,0.0001,9.649334968420181e-13,1.1837284489056603e-11,1.1837216408389209e-11,3.3985013701809458e-18,1.2912952167591875e-17,1.4935017505406987e-11,7.4534728254729315e-18,1.1728868487136238e-25,4.9942374114590826e-26,3.4657475462281195e-29,2.2453010887484796e-21,2.4460193145801544e-15,5.3502310612496038e-20,3.7200255240548433e-29,1.690146667040599e-31,1.780484338860053e-32,2.4481705618787022e-35,4.2251325005064799e-15,1.6529628964263943e-42,1.7868598054328287e-49
4.806889116171461e-16,0.0022819398363492873,2.4367839146725963e-26,3.4957408322701738e-22,4.5729868802307578e-17,2.4367003102782443e-26,3.6801545007804158e-17,9.9574000041644538e-29,1.8511147683346095e-47,3.4914629639228034e-38,1.6034777453769045e-41,3.2576935994894791e-38,1.4156842764198705e-31,3.600770854915066e-22,3.2303606260482266e-34,3.6552495441405555e-49,6.369548758848641e-45,2.8310191855009446e-35,4.2823145908105351e-47,2.337894294769847e-81,4.583157051420292e-58,1.01218518571358e-56,1.3292974010323845e-71,7.646364016928866e-52,8.6645977822179209e-57,5.9770493176063722e-52,1.1944463205162756e-41,2.6673744429447647e-34,2.0415283970533905e-61,1.0307557659273694e-68,2.8352431273699909e-64,1.1344645984738676e-65,2.9197714649491865e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999505234655,0.10880299999999996,0.0001,1.2061701422859573e-12,1.479664349248598e-11,1.479655704764263e-11,4.4213639654057885e-18,1.9728138554554165e-17,1.8666937483184567e-11,1.1386823591767809e-17,1.8163135279431327e-25,7.6664386665304775e-26,6.3093559583903298e-29,3.4303283464183162e-21,3.7367461826247324e-15,8.173981183526276e-20,6.7354597504150636e-29,3.0768641744049671e-31,3.2405827735309793e-32,5.1931926629905134e-35,6.4546701037314663e-15,4.0127724037761121e-42,4.8914961436830751e-49
