Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873)
0.0,0.0016785654112279542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.178615163072969e-19,0.0016785654112279542,3.452406390046372e-37,1.7372623777587635e-32,1.6150602502683088e-24,3.4502125990060228e-37,4.8315453413521524e-23,5.6926909715607655e-38,1.0046777333726141e-62,2.8649586345193736e-50,7.6109337664740354e-54,2.0314267297217252e-52,1.8010805946560579e-41,4.024789154843797e-28,7.9812948677965348e-44,6.7435183971589423e-64,2.5021447358299309e-59,1.7921764091438181e-45,4.4905502881585357e-60,7.264591227893471e-90,2.7838797609221804e-59,1.6832899356935663e-76,8.9051948216167764e-48,2.3131851690111118e-68,3.3658089036208199e-38,3.3481503772426398e-56,5.1228572958781036e-54,1.1624922802163233e-47,1.0268748991015125e-80,1.5318315516176796e-91,7.4102014942565087e-58,5.8913223947743436e-73,4.5042162995760896e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993039,0.108803,0.0001,3.0381300894759097e-17,3.2903418644255013e-16,3.2903414809894337e-16,1.1928240581936494e-24,1.1955695309467986e-24,7.0716239768440813e-18,8.7746429322938345e-25,8.8122272685659944e-35,1.2863402261393189e-34,2.5805701419972414e-39,3.4689080045681e-29,2.748859470792117e-24,8.4759807081516509e-28,7.8244162435261819e-40,2.1312424212564737e-43,1.326758875280871e-45,1.4561523297936888e-51,2.5941883180713553e-24,2.3540790034275562e-61,2.0355828374434441e-70,1.1360558398214082e-72,3.4305580351961731e-82,3.5715679070548218e-77,3.4169880565013756e-29,3.3658088944683443e-38,8.9758789745805457e-47,1.0671141706233303e-47,1.0711692215384902e-23,1.2036315773061152e-53,5.6949897800108295e-62,7.969142149655555e-39,2.271009341739835e-73,5.8267240436099319e-29,3.7668579395242803e-35,3.1423408203500408e-44,8.37994925396628e-53,5.7089572274920732e-53,4.9813250441182836e-54,1.3077696468224196e-62,1.3038155324006058e-38,4.7375086955844518e-47,7.0894892160488649e-57,5.3409272795854763e-49,3.4900846508463241e-57,2.8909144846862407e-46,6.1929951635031549e-51,1.6346559557255743e-38,2.9689603913674018e-47,5.2794058604162801e-62
1.7300122456604315e-18,0.0016785654112279542,2.0845424127278221e-36,1.0493064665951049e-31,4.5221686543327695e-24,2.0839283918828449e-36,1.3528349432277203e-22,3.4383902160349001e-37,6.068253494496426e-62,1.7186593528311237e-49,4.5970039948716086e-53,2.4045609099591972e-51,5.0430256556820613e-41,1.1269409635006908e-27,4.8207021006649428e-43,8.0059050409718368e-63,2.9705462296024031e-58,1.0824745512371125e-44,5.3311813845182348e-59,2.9977520372693338e-88,6.2274235979797901e-58,5.2573767496627829e-75,1.0572240055699642e-46,7.2253076288665207e-67,3.9958883140112387e-37,7.489678437544242e-55,3.094205802819513e-53,1.3796060192831948e-46,1.2191058757107781e-79,8.764979555149497e-90,1.6576313495571697e-56,2.4310691361608174e-71,5.1232209970223125e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980514,0.108803,0.0001,8.5067642505289547e-17,9.2129571534709149e-16,9.2129561080302313e-16,7.1887109131320094e-24,7.2212399275462526e-24,1.9800529408729889e-17,5.2998830118624701e-24,1.0438352288166078e-33,1.5163046606585228e-33,3.0636529562613672e-38,2.095220422504686e-28,1.6603098800569853e-23,5.1194923166931616e-27,9.2884556672903908e-39,2.5302109861629413e-42,1.5751266056933739e-44,3.2573514905616729e-50,1.5668885736021747e-23,9.714164111990257e-60,1.5323345799099749e-68,8.551937147202261e-71,4.6826906510223827e-80,2.6885855031230664e-75,2.0638607768955671e-28,3.9958882926027266e-37,2.0078642881361935e-45,2.387090913712965e-46,2.9992549282291377e-23,2.6924757153958848e-52,1.2703389555050186e-60,9.4609590868209087e-38,1.7095576182765865e-71,3.5193227073084818e-28,2.3896076371788221e-34,3.9024051992316331e-43,1.9570358715323128e-51,1.333258140465882e-51,1.1633292201092408e-52,5.6195122424564229e-61,7.8750457546178709e-38,5.6243703157082493e-46,1.5812140017613322e-55,6.3407451843704571e-48,7.7870193784708025e-56,3.4320115269976416e-45,1.3849163482140682e-49,1.9406631050502709e-37,6.6398193874287127e-46,2.1778988787184433e-60
3.9543137043667005e-18,0.0016785654112279542,1.0034620373338698e-35,5.0519588556230047e-31,1.0336385276787488e-23,1.0033217969157446e-35,3.0922047520090511e-22,1.6554418354242869e-36,2.9216028260068732e-61,8.1558986168153323e-49,2.2132595391632959e-52,2.3447827716774809e-50,1.1526915740314467e-40,2.5758650601110239e-27,2.3209605483291211e-42,7.8602450432797231e-62,2.916499901681169e-57,5.2116489995038499e-44,5.2341856622562498e-58,1.1858792529403117e-86,1.2304322010945649e-56,1.1565773322190419e-73,1.0379872650884995e-45,1.5899348773009599e-65,3.9231868073214214e-36,1.4798342342819272e-53,1.4897268958335725e-52,1.3542437605728341e-45,1.1969253684240011e-78,3.8766913271918473e-88,3.275195524986703e-55,9.6170542216583935e-70,4.638032458062266e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999955482,0.108803,0.0001,1.9444032572620679e-16,2.1058187465145133e-15,2.1058185207151101e-15,3.4449176056278111e-23,3.4767161369384025e-23,4.5258269366964834e-17,2.5516641859858207e-23,1.0198950926978374e-32,1.466252887789544e-32,3.0079127363503825e-37,1.0087584293892162e-27,7.9936647365693146e-23,2.4648151435022048e-26,9.1179968871752838e-38,2.4841761156169987e-41,1.5464653988143167e-43,6.4359645537069648e-49,7.5438820712837233e-23,3.8428190155132761e-58,1.2115684625511082e-66,6.7617460841639015e-69,7.397488869108861e-78,2.1257806516386964e-73,9.9366011298368474e-28,3.9231867639710728e-36,3.9671844639543165e-44,4.716485920869233e-45,6.8553507747777932e-23,5.3198783765382008e-51,2.4934815459838815e-59,9.288812022591847e-37,1.3516931123753548e-69,1.6943834296259381e-27,1.2670386453356891e-33,4.1953433814787425e-42,4.2234016134593321e-50,2.8772524255278932e-50,2.5105392423212368e-51,2.4170190522001675e-59,3.7914954767788823e-37,5.5220401119721e-45,3.1041778487868301e-54,6.2253734233093207e-47,1.5299367281047894e-54,3.3693952715095076e-44,2.7357744913752012e-48,1.9053536007722314e-36,1.3112137450492798e-44,8.6136869626137198e-59
8.40291662177924e-18,0.0016785654112279542,4.3820673300057003e-35,2.206323078402592e-30,2.1964817778998355e-23,4.381769723026829e-35,6.5709803319558147e-22,7.2297929628196241e-36,1.2759406979741032e-60,3.4597826129582301e-48,9.6658858820627404e-52,2.0452018215368979e-49,2.4494695759900864e-40,5.4737132556425404e-27,1.0136244490101266e-41,6.9522977257638797e-61,2.5796111318065758e-56,2.2760640413833654e-43,4.6295782350985178e-57,4.2323070627154679e-85,2.1894820650241323e-55,2.1060395501144991e-72,9.1808525437272879e-45,2.8968432720412088e-64,3.4700142407249439e-35,2.6332859058584291e-52,6.5060287077097938e-52,1.1977005226002306e-44,1.0586669166325188e-77,1.4186785844814454e-86,5.8280186872248735e-54,3.432248658018874e-68,3.5152158013131947e-86,0.88129999999999997,0.0,0.0,0.0,0.00988999999999054,0.108803,0.0001,4.1318569216746639e-16,4.4748647032784762e-15,4.4748642785549957e-15,1.4904919117366444e-22,1.5183732432866514e-22,9.6173465662867934e-17,1.1143776080017673e-22,8.9340540892938658e-32,1.2586312063698583e-31,2.6604648954207185e-36,4.4055129771777384e-27,3.4910323033191347e-22,1.0764495021988091e-25,8.0621619334572581e-37,2.1972255807555894e-40,1.3678253630589523e-42,1.1452408285141889e-47,3.2946010210811514e-22,1.3714692937629469e-56,8.659750182259991e-65,4.832994068490307e-67,1.0581824552925791e-75,1.5194147286227707e-71,4.3395746886718705e-27,3.4700141626569779e-35,7.0593319564140786e-43,8.3927223060478029e-44,1.4567240212399318e-22,9.4664396269491636e-50,4.3775455327935331e-58,8.2158246499320432e-36,9.6612986093026381e-68,7.3996510114431216e-27,6.5574479436083432e-33,4.3581298282746956e-41,8.7902673497838393e-49,5.9884981363534546e-49,5.2252645585135284e-50,1.0001449636649192e-57,1.6558456320271569e-36,4.8841819162174222e-44,5.4534356040428761e-53,5.506258420395358e-46,2.6920350668056288e-53,2.9798824733984635e-43,4.8672774351397053e-47,1.685262003957557e-35,2.3307266187250664e-43,3.0736024307289926e-57
1.7300122456604316e-17,0.0016785654112279542,1.8293636199814421e-34,9.210963864051315e-30,4.5221679812611752e-23,1.8293024700526304e-34,1.3528675341376393e-21,3.0183326333319804e-35,5.3268011316006923e-60,1.3626934921881691e-47,4.0353170817427179e-51,1.6708883716785426e-48,5.0430255200360055e-40,1.1269409655949034e-26,4.2316825461104934e-41,5.8438251448987056e-60,2.1683185846019881e-55,9.5021193372168841e-43,3.8914399503937199e-56,1.4299929545083654e-83,3.6928602798376315e-54,3.4386139984860026e-71,7.7170138795734602e-44,4.735824103830854e-63,2.9167559496195663e-34,4.4414214114591161e-51,2.7161388931895697e-51,1.006692878750378e-43,8.8987330431280501e-77,4.647942155381877e-85,9.829748808463878e-53,1.1596727037981335e-66,2.444263034718423e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999805237,0.108803,0.0001,8.5067642504768645e-16,9.2129562022334502e-15,9.2129555462976333e-15,6.1085566297481904e-22,6.3389091040709439e-22,1.98002723785046e-16,4.652297288043992e-22,7.3675943784559411e-31,9.9882904174535601e-31,2.2362812809920113e-35,1.839214855813027e-26,1.4574279893886162e-21,4.4939645460369996e-25,6.772357929327528e-36,1.8469003917237922e-39,1.1497299303588705e-41,1.9316002670251894e-46,1.3754223177559292e-21,4.6338474851306761e-55,5.8565464557184952e-63,3.2685301228256033e-65,1.4318632355354792e-73,1.0275749717532137e-69,1.8116869387806092e-26,2.9167558171718418e-34,1.1906389871829297e-41,1.4155511064554933e-42,2.9989810160569888e-22,1.5966535071787688e-48,7.1830614687960732e-57,6.9058546258287317e-35,6.5338887599682357e-66,3.0890694272377393e-26,3.5933054253746191e-32,4.7523020031262071e-40,1.9128421451932565e-47,1.303153179172153e-47,1.1370732879824338e-48,4.2902009724025447e-56,6.9128291121624872e-36,4.105449150770617e-43,8.9695261785237697e-52,4.6283186453969077e-45,4.4412117513072503e-52,2.5042502598913348e-42,8.2073911119388219e-46,1.4165614364591211e-34,3.922673374319946e-42,1.0382519763007588e-55
3.509453412625447e-17,0.0016785654112279542,7.4734202935353937e-34,3.7629787353820825e-29,9.1735391996492622e-23,7.4732963817786683e-34,2.7444640758252482e-21,1.2331171047240964e-34,2.1761719791428269e-59,4.9575377670540531e-47,1.6485586964944715e-50,1.2922542858100393e-47,1.023013716864241e-39,2.2860802493536325e-26,1.7287803996528276e-40,4.7911209212496829e-59,1.7777185718922345e-54,3.8819258027546928e-42,3.1904383868751752e-55,4.7014517129874272e-82,6.0654643076032981e-53,5.1084237293894208e-70,6.3267989971997576e-43,7.0566075072724135e-62,2.3913325803251591e-33,7.295047486264151e-50,1.1096313675227436e-50,8.253286538987333e-43,7.2957185188036088e-76,1.3853301262733318e-83,1.6145206162784644e-51,3.8127070904801429e-65,1.629842525885224e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999604929,0.108803,0.0001,1.72565789079893e-15,1.8689137599701588e-14,1.8689137090034523e-14,2.4070497821705203e-21,2.5896509621977698e-21,4.0165670225199939e-16,1.9006071914321288e-21,5.8198572252158459e-30,7.3618842900198889e-30,1.8334388801609623e-34,7.5137920950899029e-26,5.9539930793739386e-21,1.8359309718899731e-24,5.5452270579681904e-35,1.5142003629137212e-38,9.4260214583303905e-41,3.1726073921974832e-45,5.6189774182741987e-21,1.5234831494121056e-53,3.8525703194199309e-61,2.1501139407269069e-63,1.8842215299952645e-71,6.7596531689956533e-68,7.4013317195971697e-26,2.3913323621514138e-33,1.955560673934553e-40,2.3250332073552213e-41,6.0830115107147609e-22,2.6225085074594e-47,1.1151859840145173e-55,5.6617695670260581e-34,4.2981416303353052e-64,1.2618719070887017e-25,2.1671821079658086e-31,5.6819220844222026e-39,4.5550673476006929e-46,3.1032169440962845e-46,2.7077611980571581e-47,1.9861168900209512e-54,2.8241158944987474e-35,3.3658951911908162e-42,1.4034367159549544e-50,3.7945370014161998e-44,6.9886948905773478e-51,2.0522825039344965e-41,1.34749711169537e-44,1.1613780254832907e-33,6.4154577330370353e-41,3.4121233322757462e-54
7.068335746555478e-17,0.0016785654112279542,3.0208501925350015e-33,1.521055725554865e-28,1.8476276882997075e-22,3.0208249998946937e-33,5.5278873183580696e-21,4.9846969185223862e-34,8.7964343329829382e-59,1.5971843228639343e-46,6.6637378286310454e-50,9.2929561088415198e-47,2.0604359507913563e-39,4.6043588316611817e-26,6.9880068092991988e-40,3.8799739376877367e-58,1.4396425769375826e-53,1.5691364817721087e-41,2.5837010266004136e-54,1.5248706953481816e-80,9.832152757484388e-52,6.6941332188821838e-69,5.1234840264793496e-42,9.3212556127848524e-61,1.9365628474492456e-32,1.182558465814143e-48,4.4853081253231099e-50,6.6836475452185932e-42,5.9082612515554378e-75,3.6474268314237569e-82,2.6171472657644713e-50,1.2366144876984826e-63,1.0645980114153782e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999204312,0.108803,0.0001,3.4756208222646312e-15,3.7641494401499101e-14,3.7641496210516058e-14,9.0811772919920602e-21,1.0467781298149247e-20,8.0894650888513808e-16,7.6824931407033443e-21,4.3913171525854078e-29,4.9528327784734668e-29,1.4847669473590414e-33,3.0371943521703824e-25,2.4066379159941248e-20,7.4211251512666349e-24,4.4791130471552354e-34,1.2262384579206204e-37,7.633178806155446e-40,5.142765215318932e-44,2.2712226775641195e-20,4.9412220169994691e-52,2.4995991981004303e-59,1.3950227173792318e-61,2.4452782932724815e-69,4.3857921180582555e-66,2.9917361620283015e-25,1.9365624932892565e-32,3.1698295034990646e-39,3.7689344897054262e-40,1.2249139126755786e-21,4.2512003638271588e-46,1.6121297025074924e-54,4.5849388024188449e-33,2.7886918792351592e-62,5.0997686257198007e-25,1.4411443525879329e-30,7.4929388651419061e-38,1.1964492067845175e-44,8.1510507363708001e-45,7.1124997917286547e-46,9.8980955332477458e-53,1.1415525204862821e-34,2.7257891141835441e-41,2.0777070597418766e-49,3.0728525119159001e-43,1.0450526367780595e-49,1.660611123951914e-40,2.1825728988475405e-43,9.4050655456780131e-33,1.0311545888069702e-39,1.1058269590419173e-52
1.418610041441554e-16,0.0016785654112279542,1.2146651181672615e-32,6.11609460224319e-28,3.708173323526002e-22,1.2146597343688052e-32,1.1095654439631497e-20,2.0045180555332537e-33,3.5370069566928887e-58,4.21569808982142e-46,2.6794596691280874e-49,5.9466134418040621e-46,4.1352800354689986e-39,9.2409160554396154e-26,2.8098468244880706e-39,3.1229405711311537e-57,1.1587495709900929e-52,6.3094288254752268e-41,2.079589460974188e-53,4.9123556653173407e-79,1.5833650173314603e-50,7.2204484633176823e-68,4.1236295635263254e-41,1.0320918434866133e-59,1.5587138131602957e-31,1.9044734111765366e-47,1.8035254693454697e-49,5.379547539997115e-41,4.7554814401348242e-74,7.9343147382589677e-81,4.214641012443687e-49,3.9837384250890089e-62,6.8830865245869362e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998403078,0.108803,0.0001,6.9755466850488866e-15,7.5546186616485201e-14,7.554619858352033e-14,3.2172787070071323e-20,4.2090472633454429e-20,1.623453527418509e-15,3.0890445321888731e-20,3.1076461955418496e-28,2.9690701170448763e-28,1.1950705884897844e-32,1.221242086489882e-24,9.6764924118069779e-20,2.9840007741877918e-23,3.5867158605164554e-33,9.8698300853400445e-37,6.1434314866780253e-39,8.2817235029177469e-43,9.1320214224648871e-20,1.5917780166831516e-50,1.6106290749011099e-57,8.9888978150948634e-60,3.1514249307397716e-67,2.8260565964028294e-64,1.2029635857863611e-24,1.5587132424556288e-31,5.1042086751263337e-38,6.0696093760740256e-39,2.457366571574328e-21,6.8464305485086773e-45,2.0817114764488686e-53,3.6901821999878876e-32,1.7969074342478254e-60,2.0498555427714793e-24,1.0337288889115658e-29,1.0683494591934622e-36,3.4013697395293396e-43,2.3172727766284077e-43,2.0221190089509791e-44,5.1140079254324395e-51,4.5901303939578105e-34,2.1939521530183887e-40,2.8499237039701381e-48,2.4731994164068512e-42,1.4564219828330919e-48,1.3343865576562889e-39,3.509303920647577e-42,7.5698948045615178e-32,1.6329370369817189e-38,3.5569199128798159e-51
2.8421629750135663e-16,0.0016785654112279542,4.8713370599334276e-32,2.4528246194975789e-27,7.4292569876310729e-22,4.8713230932886889e-32,2.2234871223924826e-20,8.0405647818283392e-33,1.4184975045016266e-57,8.427564362438458e-46,1.0745831662179529e-48,3.2383171030406648e-45,8.2849666721184909e-39,1.8514030739673794e-25,1.1268742670836857e-38,2.5059631260656711e-56,9.2982352151464705e-52,2.5303631915343065e-40,1.6687429412527106e-52,1.5771141538613464e-77,2.5414175909108858e-49,5.9696156915863857e-67,3.3086383323281014e-40,9.4890585181998684e-59,1.2507689587286656e-30,3.0570998628540184e-46,7.2330374176390064e-49,4.3167311540130489e-40,3.8159724044199153e-73,1.331002334258492e-79,6.7648095594681372e-48,1.2789793716669658e-60,4.4276035902429461e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996800592,0.108803,0.0001,1.3975398410028815e-14,1.5135549900088055e-13,1.5135553985777511e-13,1.0382330839717478e-19,1.6880149606318501e-19,3.2521772373057158e-15,1.2388032900284705e-19,2.0047447901803169e-27,1.5697656022946642e-27,9.5897045444633964e-32,4.8977241351736383e-24,3.8803110341409668e-19,1.1967170708936931e-22,2.8489165414382284e-32,7.9199115113281139e-36,4.9290511631555109e-38,1.3292262781804793e-41,3.6619760530551399e-19,5.1102074619477439e-49,1.0342022014260548e-55,5.7718678295796764e-58,4.0472390332540539e-65,1.8147052118241818e-62,4.8244190752974646e-24,1.250768042520748e-30,8.1911260362153177e-37,9.7426068235314275e-38,4.9191843072735428e-21,1.0990048266369357e-43,2.2998433976906744e-52,2.9608573131906436e-31,1.1538136158563003e-58,8.2149161007881269e-24,7.7855472461624355e-29,1.6032262268788969e-35,1.0188445379486119e-41,6.9412742617203668e-42,6.0577385471123934e-43,2.5939701487182746e-49,1.8408460812497476e-33,1.760508457257175e-39,3.5240109187839664e-47,1.9844270839321714e-41,1.8399117295615879e-47,1.0672163197435385e-38,5.6151454731425038e-41,6.0741715801099005e-31,2.5365192326131902e-37,1.1384480184180473e-49
