Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727)
0.0,0.0017930126199889988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.127691825202283e-18,0.0017930126199889988,5.3948141554915717e-38,4.3618883248731691e-33,1.6156589343602783e-25,5.3944619898883518e-38,1.4408674908190332e-23,2.8314023963345842e-38,5.1015144736998406e-65,1.3604115236769996e-51,3.3227557917147604e-55,3.8739398542594066e-53,2.7091828819878305e-43,1.117496890243613e-28,2.8544450884723713e-44,8.8695344157968557e-65,5.149065732213364e-60,4.0501240199395857e-46,6.4436761604553286e-61,2.9289179387276819e-108,1.8204079860760892e-76,1.2248669520097251e-77,6.9338153501749181e-95,1.8289155323285519e-68,3.6487329932237741e-76,1.3381393745609322e-67,2.4920632231250672e-55,5.2330931553483579e-48,4.9347301853378171e-83,1.8944760221553223e-92,3.707744427115654e-85,1.0609171211976386e-88,-1.1355516561751068e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994808,0.108803,0.0001,2.7807669040784308e-17,2.4415600645032397e-16,2.4415599398812352e-16,2.6554270242233563e-24,2.6682208474397658e-24,1.5572477793692207e-18,2.1207223845249916e-24,3.8672530347445813e-34,6.0996916781452777e-34,8.4635166882972692e-39
5.957537110566393e-18,0.0017930126199889988,3.2583526513069371e-37,2.63458047907835e-32,4.5238448741033298e-25,3.2582549561835125e-37,4.0344427226861868e-23,1.7101719468693216e-37,3.0813147140729507e-64,7.9918615202243183e-51,2.0069444961806269e-54,4.5901000781573582e-52,7.5857120242006944e-43,3.1289912910524271e-28,1.7240848326881057e-43,1.0529911248745013e-63,6.1129708280671505e-59,2.4462749069721773e-45,7.6499325560030421e-60,1.6404589065207364e-106,5.5632804622627578e-75,3.7432698676116924e-76,3.8835639655158653e-93,5.5892800547772551e-67,4.3503402635482152e-75,2.0221962201820761e-66,1.5052061815778668e-54,6.2124832511760226e-47,5.8585116011035433e-82,1.0610795268738256e-90,2.0766751871945052e-83,5.8526576098482426e-87,1.1317493931127884e-101,0.88129999999999997,0.0,0.0,0.0,0.009889999999998551,0.108803,0.0001,7.7861473314142606e-17,6.8363680266008087e-16,6.8363677452149038e-16,1.5964806038014512e-23,1.6116053703326687e-23,4.3602934947840462e-18,1.2809155996725089e-23,4.5774661183675274e-33,7.1708835175451574e-33,1.0047887065867463e-37
1.3617227681294613e-17,0.0017930126199889988,1.5687313190656626e-36,1.2684370212257834e-31,1.0340216185167693e-24,1.5687094180959599e-36,9.2216481799900119e-23,8.233791650360447e-37,1.483520366885246e-63,3.6225399379904838e-50,9.6625738120704025e-54,4.4619088057448862e-51,1.7338770127165519e-42,7.1519800861513208e-28,8.3007263060395768e-43,1.0338329285007709e-62,6.0017509888965062e-58,1.1777760633914174e-44,7.5107495847589158e-59,6.9449107319789946e-105,1.1706960597959184e-73,7.8770632989928912e-75,1.6441099349645729e-91,1.1761672239264147e-65,4.3060974577930608e-74,2.175386409609416e-65,7.2469197743392663e-54,6.099325727979322e-46,5.7519212717341665e-81,4.4920925848302662e-89,8.7916282495193918e-82,2.5435819311795168e-85,6.2177345306014142e-100,0.88129999999999997,0.0,0.0,0.0,0.0098899999999966879,0.108803,0.0001,1.7796908186064527e-16,1.562598334058043e-15,1.5625983010072035e-15,7.6120309557900203e-23,7.7591859015623139e-23,9.9663837758148486e-18,6.1670498874293314e-23,4.4653525215351938e-32,6.8951271364625707e-32,9.8650751502571966e-37
2.8936608822751054e-17,0.0017930126199889988,6.8510101074749076e-36,5.5395971018943075e-31,2.1972956533609897e-24,6.8509653986680912e-36,1.9596279068859311e-22,3.5959569696947336e-36,6.4789229468911119e-63,1.3944315919063466e-49,4.2198998242294322e-53,3.8249001395427707e-50,3.6844885607251556e-42,1.5197957650274324e-27,3.6251452507472661e-42,9.1441351382076874e-62,5.3084807472827324e-57,5.1436574887174278e-44,6.6431737239217823e-58,2.3182815683527143e-103,1.9412696638440454e-72,1.3061890440631294e-73,5.4881994502468169e-90,1.9503420484852777e-64,3.8691288255837432e-73,1.9995548855037653e-64,3.1649202119339095e-53,5.3947293154971329e-45,5.0875089440410313e-80,1.4995051030569367e-87,2.9347325080655752e-80,9.2575189656056826e-84,2.4436706931639935e-98,0.88129999999999997,0.0,0.0,0.0,0.00988999999999296,0.108803,0.0001,3.7818429895279497e-16,3.3205211572657647e-15,3.32052121565456e-15,3.2608075061299269e-22,3.3886401427402862e-22,2.1178559738682932e-17,2.6933062652493242e-22,3.8992134680471254e-31,5.8551673024225465e-31,8.7255473111028511e-36
5.957537110566394e-17,0.0017930126199889988,2.8601510033697577e-35,2.3126722263632536e-30,4.5238428135751763e-24,2.8601425513979482e-35,4.0346420743513045e-22,1.501277882172726e-35,2.7048225827107972e-62,4.4819703593045308e-49,1.7617250926422771e-52,2.9363272420742597e-49,7.5857113664049441e-42,3.1289912674222519e-27,1.51342677545674e-41,7.6861964976939754e-61,4.462097869627434e-56,2.1473757404267698e-43,5.5839890944973947e-57,6.275239264628642e-102,2.608438719651542e-71,1.7550956360890631e-72,1.4855717795075187e-88,2.6206290710584147e-63,3.3532735656010637e-72,1.7106612835809961e-63,1.3212918474768167e-52,4.5345715446533761e-44,4.2763573378465421e-79,4.0589329308781287e-86,7.9438743482418309e-79,2.9351255791073017e-82,8.6284405444062639e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999855059,0.108803,0.0001,7.7861473313367153e-16,6.8363658789781082e-15,6.8363664916531039e-15,1.3109533464130891e-21,1.4146903932316066e-21,4.3602893267660113e-17,1.1243969681309492e-21,3.1959000265000189e-30,4.5562043555164842e-30,7.3343483604632837e-35
1.208528956714897e-16,0.0017930126199889988,1.1684624430176268e-34,9.4480164302901107e-30,9.1769334961093795e-24,1.1684610325489401e-34,8.1850223679429369e-22,6.1335093792465607e-35,1.1050081098041993e-61,1.1034387188310192e-48,7.1972217169634289e-52,1.9271776466933351e-48,1.5388155816415009e-41,6.3473822304938104e-27,6.1828421509481077e-41,6.301608168503798e-60,3.6582973263099827e-55,8.7727305056154541e-43,4.5780937586575344e-56,1.3010621075035031e-100,2.6723750630719768e-70,1.7981152074805363e-71,3.0800727844402794e-87,2.6848642163974427e-62,2.9146650549762907e-71,1.4144077990668609e-62,5.3979080016122088e-52,3.7177050099569216e-43,3.506015333186658e-78,8.415490316899548e-85,1.6470233359200853e-77,7.8607511321519885e-81,2.8978858871759145e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999705959,0.108803,0.0001,1.5794756014817336e-15,1.3868051859989302e-14,1.3868054830466383e-14,4.984135854177038e-21,5.7794705449079244e-21,8.845148673869931e-17,4.5934846086317833e-21,2.4955857868560399e-29,3.2496843833923097e-29,6.0131420570443997e-34
2.434079448031412e-16,0.0017930126199889995,4.7231037064483365e-34,3.8190358895846047e-29,1.8483100309623885e-23,4.7231020792731546e-34,1.6487190788928426e-21,2.4795045918035942e-34,4.4666180695526886e-61,1.9389458572108472e-48,2.9092319920623028e-51,1.031128796243955e-47,3.099304007103849e-41,1.2784163989773003e-26,2.4992036155364031e-40,5.1032055119685208e-59,2.962583867430126e-54,3.5460778813279578e-42,3.7074624683168202e-55,1.9596733406034423e-99,1.9741765882092068e-69,1.3283300703983073e-70,4.6392327045849128e-86,1.9834027610029843e-61,2.6282510956891643e-70,1.1501728816602577e-61,2.181920458843644e-51,3.0106876977208395e-42,2.8392608546499938e-77,1.2675495600459489e-83,2.4807612073910903e-76,1.7094638154274569e-79,9.4982052212234705e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999407778,0.108803,0.0001,3.181197338123095e-15,2.7931411452769436e-14,2.7931422655364691e-14,1.7664072705698385e-20,2.3361533393376454e-20,1.7814837933408284e-16,1.856724538957385e-20,1.8447660522506497e-28,2.0840293493202131e-28,4.869598580753118e-33
4.885180430664442e-16,0.0017930126199889988,1.8991350157214416e-33,1.5356147902941632e-28,3.7095375730619393e-23,1.8991351672369619e-33,3.3097158959377729e-21,9.9719253499116442e-34,1.7960063663555824e-60,2.5790556234339421e-48,1.169789308655564e-50,4.667857902368869e-47,6.2202789998709903e-41,2.5657726840943084e-26,1.0049187521431761e-39,4.1075035024014442e-58,2.3845449856800214e-53,1.4258622772981473e-41,2.9840938860426656e-54,2.251083171926707e-98,1.1087753973418747e-68,7.4604220479342142e-70,5.3290973790892905e-85,1.1139571796943048e-60,2.5466351824652116e-69,9.2765601523444051e-61,8.7734041054544088e-51,2.423257846706065e-41,2.2852821147962294e-76,1.456039318710729e-82,2.8496563625662174e-75,3.1343637939604774e-78,3.0759166278918134e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998811414,0.108803,0.0001,6.3846408111867618e-15,5.60580887780919e-14,5.6058122894304162e-14,5.6743369173134405e-20,9.3935613147293232e-20,3.5754098714579801e-16,7.4655242240843628e-20,1.2629341043263115e-27,1.1796880080017914e-27,3.9194769777171248e-32
9.787382395930503e-16,0.0017930126199889988,7.6163519648502145e-33,6.1584801188864867e-28,7.4319693749933429e-23,7.6163541114474265e-33,6.6339620560345217e-21,4.0007492961325088e-33,7.20277987324484e-60,2.9573843002160463e-48,4.6913776867258802e-50,1.945876272455002e-46,1.2462221552783902e-40,5.1404849874270872e-26,4.0301734182700602e-39,3.2960124581201022e-57,1.9134467767304763e-52,5.7183451230871844e-41,2.3945563182710175e-53,2.1884293725487616e-97,5.2962467701182017e-68,3.5635896052736584e-69,5.1807700521173462e-84,5.3209983998110064e-60,2.7355055999591325e-68,7.4514362830086615e-60,3.5185257658273479e-50,1.9445047079573809e-40,1.8337917153799213e-75,1.4155169784571294e-81,2.7703407972939684e-74,5.2634436314845044e-77,9.901716414106822e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999997618688,0.108803,0.0001,1.2791527756437878e-14,1.1231130487308673e-13,1.1231138172920112e-13,1.6090922480178257e-19,3.7672314093545084e-19,7.1632149331483809e-16,2.9937826395819321e-19,7.7819475375023097e-27,5.9100860867743989e-27,3.1451340786534227e-31
