Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957)
0.0,0.002893338666530352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.868885685551083e-21,0.002893338666530352,2.6861631455856523e-35,1.3856488997549203e-31,9.3330628764661218e-22,1.0209568480168178e-35,5.0673542325246266e-22,2.910245664137754e-38,1.2138311039193396e-56,3.3638470134268124e-47,6.3918983927218763e-51,6.496674655555133e-52,3.8105475256942373e-36,4.9937551568566215e-27,9.4795059157352649e-44,3.8532489616778261e-63,8.1145512530895249e-59,8.8810270545479614e-45,6.496580540280149e-61,3.0138750853838041e-86,8.8401942174495699e-59,4.978926202662583e-75,3.6248449792539783e-45,2.1002258026767348e-70,1.5529778181667604e-39,2.5249635090454436e-57,5.9541352125892562e-51,1.3112715573167388e-47,4.285041828400476e-75,2.1490402685955362e-91,1.7882773640660714e-57,7.0971765616565203e-74,2.1584398154419529e-94,0.88129999999999997,0.0,0.0,0.0,0.00988999999999929,0.108803,0.0001,1.7858446962199432e-17,1.7617028044763346e-16,1.7616894053667522e-16,4.3946474647481653e-27,4.3950391708371654e-27,3.3927807097878781e-16,2.5072628860282395e-27,1.7819421752624761e-38,2.0314935802854674e-38,4.7346709515181896e-43,8.5773871845480124e-31,1.613272378320147e-24,1.9955349831522995e-29,4.7930667402844433e-43,3.0976504368511028e-45,3.6571787146216875e-46,2.6596848651163564e-53,2.872630587121389e-24,1.0443411904313489e-64,5.5107883127030677e-76,1.4657479973734735e-76,2.439090445606631e-88,1.2457279265926994e-81,2.141114468620377e-29,1.5529814429865135e-39,2.2102096586289857e-50,3.1241269944229504e-51,1.0012326644833311e-22,4.3109494222144722e-56,1.0036595193833579e-63,5.187130534011514e-39,5.5963397136444815e-79,5.5857433175422226e-30
1.6432879919543033e-20,0.002893338666530352,1.0829156967026812e-34,8.3691958918609595e-31,2.6132576050669845e-21,6.1665793613434075e-35,1.4188591904515238e-21,1.7577883898313173e-37,7.3315398679328688e-56,2.031725708783995e-46,3.8607066293592771e-50,7.71274655953448e-51,1.0669533071834803e-35,1.3982514439658292e-26,5.725621573261454e-43,4.5745771674581288e-62,9.6335952478882719e-58,5.3641403410940619e-44,7.7127404296474036e-60,1.2436839822013947e-84,1.9775160631924133e-57,1.5654257974573004e-73,4.3034159081722702e-44,6.6093214611291897e-69,1.8436952655663183e-38,5.6482423682627838e-56,3.596297668373804e-50,9.6819164088628961e-47,5.0872016588104042e-74,1.2377152163901146e-89,4.000304886856815e-56,2.928669177613621e-72,2.4441611888421694e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980132,0.108803,0.0001,5.0003651494153055e-17,4.9327678523092985e-16,4.9327303348829675e-16,2.6541191729667505e-26,2.6546036584123053e-26,9.499785839551109e-16,1.5143867704356298e-26,2.1147089202155956e-37,2.4091707286890863e-37,5.6210166755977876e-42,5.1807418533807922e-30,9.744165038504132e-24,1.2053031297780984e-28,5.6903203562710048e-42,3.6775305945198431e-44,4.3418022896812115e-45,5.9496082888995016e-52,1.7350688520876235e-23,4.3095029044762471e-63,4.1483836458273203e-74,1.1033784418134836e-74,3.3293462420628328e-86,9.3775284369544052e-80,1.2932331389231904e-28,1.8436995689257969e-38,4.9441503675926809e-49,6.98854704310691e-50,2.803451278103454e-22,9.6434214238638524e-55,2.2451168357167104e-62,6.1581612966603082e-38,4.2127846016384944e-77,3.3737887804885873e-29
3.756086838752693e-20,0.002893338666530352,4.0346745243751868e-34,4.0293805758910654e-30,5.9731602385336134e-21,2.9689425130156505e-34,3.243106746228159e-21,8.4629945207894359e-37,3.5298208505802252e-55,9.7814988246601883e-46,1.8587640528348625e-49,7.5721954834688545e-50,2.4387504163679673e-35,3.1960033007100649e-26,2.7566403205320967e-42,4.4913469902063646e-61,9.4583209412843359e-57,2.5826026676831815e-43,7.5724143143148621e-59,4.919890058472832e-83,3.9072384037283968e-56,3.4922452684531998e-72,4.2251191491044796e-43,1.4787905073230142e-67,1.8101509443552647e-37,1.1159975102766968e-54,1.7314625197757793e-49,6.4559319216202768e-46,4.9946447555864842e-73,5.550225311193438e-88,7.9039281508057469e-55,1.1585523054968994e-70,2.2098468705371124e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999954597,0.108803,0.0001,1.1429406055803886e-16,1.1274897947077674e-15,1.1274812193339645e-15,1.2775917081790592e-25,1.2780773897194479e-25,2.1713795507657807e-15,7.291120281689239e-26,2.0745140585113873e-36,2.3598102002407851e-36,5.5187542250422748e-41,2.4943041841369744e-29,4.6913958863306601e-23,5.8030157303186486e-28,5.5867723113941898e-41,3.6106213364529478e-43,4.2628066407784663e-44,1.1755421797275688e-50,8.3536094093435749e-23,1.7047962657778933e-61,3.2800017762367614e-72,8.7240804095205716e-73,5.2595503878220983e-84,7.4145289338963683e-78,6.2263608728952731e-28,1.8101551693629175e-37,9.7688069695930816e-48,1.3808190947536237e-48,6.4078877755443572e-22,1.9053775695222963e-53,4.4358449174469631e-61,6.0461191231575276e-37,3.3309216694341038e-75,1.6243338817809348e-28
7.981684532349472e-20,0.002893338666530352,1.5230832430293118e-33,1.7597308896555145e-29,1.2692965499970405e-20,1.2966151959301947e-33,6.8916019432954782e-21,3.696012126825415e-36,1.5415655023697004e-54,4.2714985139321012e-45,8.1177109611400394e-49,6.6971209651487457e-49,5.1823446345624427e-35,6.791507014934141e-26,1.203897251543052e-41,3.9725455505248481e-60,8.365777761319855e-56,1.1278904361555785e-42,6.6977147495085057e-58,1.7558737472056646e-81,6.9527216290475869e-55,6.540086445125108e-71,3.7370698465123881e-42,2.7862937656580743e-66,1.6010580103673837e-36,1.9858579408012338e-53,7.5617517195214578e-49,4.3961608844158556e-45,4.4177067242435306e-72,2.0879756078674588e-86,1.4064617136241479e-53,4.1347906236509523e-69,1.6743367585420925e-88,0.88129999999999997,0.0,0.0,0.0,0.009889999999990351,0.108803,0.0001,2.428748786857247e-16,2.3959158133025796e-15,2.3958975907949976e-15,5.5773620357757303e-25,5.5816997349768006e-25,4.6141812478192376e-15,3.1842236680133597e-25,1.8318323664983402e-35,2.0774584022731669e-35,4.881278295138285e-40,1.0893281630035336e-28,2.0488557243147932e-22,2.5343294278924246e-27,4.9414048966380418e-40,3.1935536676201164e-42,3.7704031427594303e-43,2.0918139325293763e-49,3.6482404963719114e-22,6.0842951553722704e-60,2.3444074984031419e-70,6.2356062375703496e-71,7.5236133651414572e-82,5.2995940669907648e-76,2.7192153732333242e-27,1.601061747238828e-36,1.738306649557456e-46,2.4570936811272178e-47,1.3616757851229973e-21,3.3905175871149112e-52,7.892892464151558e-60,5.3477236180433219e-36,2.3808029001962509e-73,7.0938911720223555e-28
1.643287991954303e-19,0.002893338666530352,5.8793709220707277e-33,7.3465190879852641e-29,2.6132576000858124e-20,5.4131131987246964e-33,1.4188592679486315e-20,1.5430123709782849e-35,6.4357325164949872e-54,1.7829832851879075e-44,3.3889845299629539e-48,5.6286605504428659e-48,1.0669533070253383e-34,1.3982514446324709e-25,5.0260340387341645e-41,3.3391639000060956e-59,7.0319402857102397e-55,4.7087205463732068e-42,5.6298328874039651e-57,5.9327000823044452e-80,1.1726780086016879e-53,1.1294636351012399e-69,3.1412320568017449e-41,4.8706105642439664e-65,1.3457857276735452e-35,3.3494396733230979e-52,3.1568824892945898e-48,3.1529975694091068e-44,3.7133486893299072e-71,7.2289029234071225e-85,2.3722030155952816e-52,1.3970521596986465e-67,1.1641389698798359e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999801352,0.108803,0.0001,5.0003651494075326e-16,4.9327678490580191e-15,4.9327303327958579e-15,2.3265884300144493e-24,2.3302497575905862e-24,9.4997836956547996e-15,1.3293506046558273e-24,1.5346561980883272e-34,1.7300195805006479e-34,4.103009608801737e-39,4.5477306003396151e-28,8.5535683844874621e-22,1.0580326474277611e-26,4.153494819021812e-39,2.6843742576246934e-41,3.169249248404071e-42,3.5281480285988789e-48,1.5230684229467665e-21,2.0557447230647724e-58,1.5855230851090802e-68,4.2171412829179542e-69,1.0180536771370267e-79,3.5841164301993353e-74,1.1352188895394194e-26,1.3457888685709677e-35,2.9319070388104226e-45,4.1442472208801958e-46,2.8034486325825952e-21,5.7186034996450121e-51,1.3310976141600194e-58,4.4950834607251958e-35,1.6101373011829054e-71,2.9615585498313567e-27
3.3335270693930146e-19,0.002893338666530352,2.306017065261415e-32,3.0012905583794692e-28,5.301179691469006e-20,2.2114333630684812e-32,2.8782575520092783e-20,6.3037095323516582e-35,2.6292067273031481e-53,7.2817546137859968e-44,1.3845107612692466e-47,4.6136125498951392e-47,2.1643909938843241e-34,2.8364529320875516e-25,2.0532989012598718e-40,2.7376483105916984e-58,5.7652095004533802e-54,1.9236659858605595e-41,4.6156772607167781e-56,1.9505416833174453e-78,1.9261267652576061e-52,1.8760438088047132e-68,2.5753712931928694e-40,8.285504592143747e-64,1.1033564468192992e-34,5.5014647125474816e-51,1.2896895032318965e-47,2.3649312982390569e-43,3.0444276079098316e-70,2.4043739939571457e-83,3.8963497971473004e-51,4.5932009455881574e-66,7.762366393247943e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999597019,0.108803,0.0001,1.0143597874494382e-15,1.0006471914842262e-14,1.0006395813112751e-14,9.4897845694386508e-24,9.5198305542758771e-24,1.9270984806241978e-14,5.4308301987125189e-24,1.2499053226060719e-33,1.3924968434999808e-33,3.3638956335156824e-38,1.8578963018319817e-27,3.4944110076603686e-21,4.322408589497133e-26,3.4051978729479554e-38,2.2008121567357274e-40,2.5983390978337528e-41,5.7949874415760757e-47,6.222230095474678e-21,6.7588316589221201e-57,1.0430089366756924e-66,2.7741734523556818e-67,1.3396999846667806e-77,2.3577493913576472e-72,4.637739569021511e-26,1.103359021640956e-34,4.8156621666715668e-44,6.8069371620084436e-45,5.6869896567992871e-21,9.3928234874168254e-50,2.1858259018817046e-57,3.6853402404401978e-34,1.0592009746480309e-69,1.2098921805184586e-26
6.714005224270439e-19,0.002893338666530352,9.1294667451777498e-32,1.2131691867091067e-27,1.0677023839057977e-19,8.938967197786648e-32,5.7970546674204897e-20,2.54806060453949e-34,1.0627673978147358e-52,2.9415324910439294e-43,5.596413868851747e-47,3.7344374303734697e-46,4.3592663664854869e-34,5.712855911705581e-25,8.2997624612982695e-40,2.2170185828041586e-57,4.6688161303279319e-53,7.7757654898456454e-41,3.7378953086997846e-55,6.32653322319296e-77,3.1223332400447338e-51,3.0565453378920476e-67,2.0856015822056228e-39,1.4136638366715968e-62,8.9352665436670782e-34,8.9181113461422634e-50,5.2131311741862289e-47,1.8265199868257967e-42,2.4654564111375506e-69,7.8395393482684454e-82,6.3161483998667316e-50,1.4897931361440317e-64,5.0702818809719609e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999188352,0.108803,0.0001,2.0430063324613177e-15,2.0153880023584562e-14,2.0153726759007224e-14,3.8237783717649713e-23,3.8480676808395521e-23,3.8813371887092313e-14,2.1952277690967137e-23,9.9901891111843081e-33,1.0879133405980179e-32,2.7241701350994769e-37,7.5099136032858947e-27,1.4124961748022412e-20,1.747186658987131e-25,2.7574748014850947e-37,1.7822746752264272e-39,2.1041976481858007e-40,9.393903973618133e-46,2.5151237760335319e-20,2.1922061637833689e-55,6.7673834866479192e-65,1.7999745733099929e-65,1.7386685021056732e-75,1.529785512503033e-70,1.874648478771021e-25,8.9352873907730713e-34,7.8063830914983668e-43,1.1034334117302867e-43,1.1454053022483435e-20,1.5226171855722215e-48,3.5416791467297924e-56,2.9844828411341738e-33,6.8724427524825534e-68,4.8905685810639534e-26
1.3474961534025287e-18,0.002893338666530352,3.6325524918828087e-31,4.87809902818308e-27,2.1428711993526092e-19,3.5943193682748996e-31,1.1634651087402593e-19,1.024564303220225e-33,4.2733409743763773e-52,1.1812765796993211e-42,2.2502934088354791e-46,3.0029308281378402e-45,8.7490171072205766e-34,1.1465661889773107e-24,3.3372979888829698e-39,1.7844494358222611e-56,3.757869405484767e-52,3.1266011102528288e-40,3.0085836454043318e-54,2.0381756803662065e-75,5.0284174043654297e-50,4.9302676748924896e-66,1.6786722089138003e-38,2.4863122041840427e-61,7.1918798212547236e-33,1.4362343306296953e-48,2.0961771157623225e-46,1.4345523440954662e-41,1.9844138129821399e-68,2.5298959893495521e-80,1.017195414452134e-48,4.7995632980842372e-63,3.2781534381027165e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999998371037,0.108803,0.0001,4.1002994224631197e-15,4.0448696150400265e-14,4.044838859183895e-14,1.5278441599506766e-22,1.5472910593487814e-22,7.7898085487590747e-14,8.8269092542484948e-23,7.8365330558361048e-32,8.1778187297405954e-32,2.1926492993482723e-36,3.0197029881724598e-26,5.6795799662396616e-20,7.0253606936919874e-25,2.2192258985807111e-36,1.4345296015978362e-38,1.6936337306417651e-39,1.5128527070121157e-44,1.0113193129872557e-19,7.0624539924838958e-54,4.3608570924996265e-63,1.1598916980366467e-63,2.2408937502522283e-73,9.8578430735639814e-69,7.5378790340184498e-25,7.1918965936278499e-33,1.257189807823881e-41,1.7770440905102121e-42,2.2988105023341034e-20,2.4521281080294314e-47,5.6984958251392908e-55,2.402169447453811e-32,4.4285566156235771e-66,1.9664688327861844e-25
2.699687415353498e-18,0.002893338666530352,1.4491427555009286e-30,1.9563356837351348e-26,4.293208773962175e-19,1.44148280492546e-30,2.3309852684005514e-19,4.1089638379233836e-33,1.7138008685695112e-51,4.7254499276388879e-42,9.024683086624586e-46,2.4050745354187549e-44,1.7528518570821814e-33,2.2971273921233966e-24,1.3384057638664834e-38,1.4319082981675465e-55,3.0154535451395719e-51,1.2539068905520769e-39,2.4141994012469211e-53,6.5441465073715496e-74,8.0717106463123109e-49,7.905837707944815e-65,1.3470265015175889e-37,4.6501188928766991e-60,5.7710305576383123e-32,2.3054741508348009e-47,8.4066077628333522e-46,1.136877087038036e-40,1.5923671164191013e-67,8.1151075435421015e-79,1.6328213025184359e-47,1.5410367183537688e-61,2.108700421519423e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999996736408,0.108803,0.0001,8.2148856023788918e-15,8.1038328046331769e-14,8.1037712021673464e-14,6.0510476504995813e-22,6.2053289448079231e-22,1.5606727044452924e-13,3.5399813497589497e-22,5.9833475440923837e-31,5.7921750828775192e-31,1.7594631781313245e-35,1.2110357637073946e-25,2.2777615583372742e-19,2.8174838408007143e-24,1.7804204655808472e-35,1.1511194829242201e-37,1.3590222143864164e-38,2.42844255475887e-43,4.055835586472439e-19,2.2675864850467696e-52,2.800487195390416e-61,7.4486776612502747e-62,2.8782251148403772e-71,6.3305904023071983e-67,3.0230265931511105e-24,5.7710440048702007e-32,2.0180548295239403e-40,2.8525448197352859e-41,4.6055910106903345e-20,3.9362089036603596e-46,9.130490970554709e-54,1.9275865089837044e-31,2.843963007855168e-64,7.8863611191747641e-25
