Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526)
0.0,0.0027065057025269386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.175699869415487e-19,0.0027065057025269386,1.482639085637224e-36,5.8407680303894283e-32,9.0565690593857976e-24,1.4806864178877129e-36,9.0923014404814379e-23,7.9545493665975743e-38,2.2715283904828214e-61,2.3164651370946974e-49,3.9033119409100246e-53,7.6076314092173225e-52,2.7924712361591157e-40,7.8345454607109461e-28,1.3208858637782766e-43,1.8633048258807835e-63,9.1136926535388369e-59,3.7949728077311442e-45,6.4378287991108377e-60,3.2497207266023408e-88,2.8474715431968877e-58,1.7187415703362746e-75,1.6632834254914008e-46,3.9444808873587938e-68,8.7891982193088682e-38,1.214749787161822e-55,4.1210127529766118e-53,2.774055056418281e-47,2.3888190219682631e-79,1.1562592665314078e-90,7.2731150693556685e-57,4.3141201466809163e-72,1.6319745189914148e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991668,0.108803,0.0001,5.1843529537946721e-17,3.7692333926832516e-16,3.7692325999004425e-16,7.3686324571562278e-25,7.3871448610998966e-25,2.5882395128398084e-17,5.1934163728143524e-25,6.1575946890674712e-35,8.593364339799163e-35,1.1897503095412574e-39,2.9600621528464129e-29,8.8037868418718267e-24,7.1066912614592129e-28,4.5053201216921354e-40,3.1033381082371324e-43,3.2145205610723019e-45,4.1550080665728039e-51,9.251687028648912e-24,6.5908829774279789e-61,3.0132857591425692e-70,4.7698196392925237e-72,7.4829752942754894e-82,8.0405315625929931e-77,7.5145577173997337e-29,8.7891982223514882e-38,1.2110121387022504e-46,1.4800912493970167e-47,2.0182951641944545e-23,2.5316356426045456e-53,1.1080223251526693e-61,4.849748328359753e-38,3.3034045182693142e-73,9.3137948750089616e-29,1.3903654775324513e-34,1.3173016632528812e-43,1.8150350148667812e-52,1.2908580811154924e-52,1.1697062291865355e-53,3.6488105568631732e-62,5.1476510696049508e-38,1.0088643568842177e-46,1.6356737020428374e-56,3.648069427993733e-48,8.4032007084366676e-57,1.1117875056862725e-45,2.1213344242796093e-50,1.2862391568666317e-38,1.2600919781313347e-47,9.7499624449420116e-62,1.6311745294319949e-71,1.2602767070391465e-47,3.6333985189016109e-48,4.1721478848639754e-48,8.1764516639977936e-57,2.9554937651710262e-58,5.7485487552380661e-57,8.7870319290272586e-59,1.0085816127806091e-75,6.2183301642366442e-83,2.3893445209301903e-81,7.4435361683944056e-52,1.4587931993402763e-60,1.0256025702420402e-60,5.273837027100339e-62,1.9675182554361662e-76,1.8309441750879258e-38,3.2189291577610129e-83,3.6249329979964728e-67,4.2735671496614715e-76,2.1126592575266911e-84,4.1877832808545539e-85,2.1628442769528677e-94,5.9374803165026206e-96,3.716600058532408e-107,7.2059595287942857e-117,6.390322500620503e-46,3.6436907864830462e-54
1.4491959634363363e-18,0.0027065057025269386,8.9488130017680425e-36,3.527823863343587e-31,2.5358393211536143e-23,8.9433459184011268e-36,2.5458463207504635e-22,4.8045509515227766e-37,1.3720031462640476e-60,1.3947244567922567e-48,2.357626034394954e-52,9.0156186503542674e-51,7.8189194537777854e-40,2.193672729299015e-27,7.9781506181325469e-43,2.2121375052395397e-62,1.0819775917352534e-57,2.2921635761299033e-44,7.642990454325717e-59,1.3410055920235903e-86,6.3696761028671919e-57,5.3874225063148782e-74,1.97464883647483e-45,1.2368224578567299e-66,1.0434536096936329e-36,2.7173466764429178e-54,2.48909170098368e-52,3.2892919634218302e-46,2.8360059377576118e-78,6.6393898764503151e-89,1.62696576762265e-55,1.7802327138709822e-70,1.856253246806714e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976715,0.108803,0.0001,1.4516188270617837e-16,1.0553853458916554e-15,1.0553851255781444e-15,4.4399052501029204e-24,4.4618354760851054e-24,7.2470646524034259e-17,3.1368226772936993e-24,7.2874770314448287e-34,1.0103858086658056e-33,1.4124716323796543e-38,1.7878775344062447e-28,5.3174835889892961e-23,4.292441508143157e-27,5.3483368678508191e-39,3.6842829866313312e-42,3.8162744387712573e-44,9.294576672832112e-50,5.588015115418914e-23,2.7197434097707591e-59,2.2683239154409894e-68,3.5905973843229091e-70,1.0214213710505707e-79,6.0527063134017766e-75,4.5387928475219186e-28,1.0434536086282103e-36,2.7089804836729514e-45,3.3109037687604541e-46,5.6511962531685512e-23,5.6631677059004036e-52,2.4743647086880483e-60,5.757617582066816e-37,2.4867178473185782e-71,5.6255067929504136e-28,8.6137158789081509e-34,1.6007217616595312e-42,4.1514779877725139e-51,2.9525431935503179e-51,2.6754381246586771e-52,1.5341331415610332e-60,3.1091812314387351e-37,1.1977237588062534e-45,3.6444483435934138e-55,4.330985258486189e-47,1.8729896664690518e-55,1.3198862798606627e-44,4.7409542428362821e-49,1.5270227619390636e-37,2.8181545032071125e-46,4.0197207279891318e-60,1.2267981776613503e-69,2.8189165568020889e-46,8.1277652937960888e-47,5.069793876866995e-47,1.870111008478629e-55,6.7576083976980678e-57,1.3148460391126699e-55,2.0098342296537068e-57,7.5856309320794794e-74,8.4876673881889744e-81,1.7970381427628694e-79,8.8369298177307036e-51,3.263190507445805e-59,2.2942209979409499e-59,1.1794863948298826e-60,8.1054785298473188e-75,1.1058902818789171e-37,3.4653261003503967e-81,1.4958382419145913e-65,3.2170335852756265e-74,2.8837684979240118e-82,5.716301435995378e-83,5.33570765752506e-92,1.4647706328391283e-93,1.654103529542055e-104,5.7799351196079968e-114,7.7652131915908647e-45,8.3338963705523188e-53
3.3124479164259116e-18,0.0027065057025269386,4.3070854867622288e-35,1.6984953099578832e-30,5.7962040896859719e-23,4.3058360348174631e-35,5.8190863438176838e-22,2.3131876536784402e-36,6.6056045356437297e-60,6.6702429092160403e-48,1.1351234204823124e-51,8.8163830074670523e-50,1.7871815859491434e-39,5.0141090969546528e-27,3.8411360932361423e-42,2.1719395766110112e-61,1.0622920154085541e-56,1.1035780928786416e-43,7.5039335592248355e-58,5.3048780564428755e-85,1.2585389990522401e-55,1.1941375251882025e-72,1.9387192973253603e-44,2.7444817146850734e-65,1.0244689354442057e-35,5.3690190884121571e-53,1.1983905058696881e-51,3.2273392488362685e-45,2.7844074360991366e-77,2.9584157916548828e-87,3.2146059479350754e-54,7.0424144456432354e-69,1.6804589999115113e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946774,0.108803,0.0001,3.3179858904235204e-16,2.4123093429849204e-15,2.4123088471784265e-15,2.1267522695501266e-23,2.1481816955826067e-23,1.6564690997399972e-16,1.5102442634431588e-23,7.107013362452126e-33,9.7180918067525962e-33,1.3867730747162506e-37,8.6078606519621843e-28,2.5601357183719224e-22,2.0666257982228886e-26,5.2502258485911187e-38,3.6172508510788494e-41,3.7468316148893503e-43,1.8364473251125837e-48,2.6903848131114702e-22,1.075900905613932e-57,1.7934913042440738e-66,2.8389707256569395e-68,1.6135916547075086e-77,4.7856836084973871e-73,2.1852333635385208e-27,1.0244689313762792e-35,5.3524663177072692e-44,6.541782928508925e-45,1.2916877606824166e-22,1.1189465210402586e-50,4.8700969582215063e-59,5.6528553881292161e-36,1.9661684170205738e-69,2.7084135826571729e-27,4.3670425013956114e-33,1.6495916331509526e-41,8.5974861220762794e-50,6.1145580057177875e-50,5.5406980044828234e-51,6.3152029091229609e-59,1.4969369091790714e-36,1.1759322767906595e-44,7.1389417818228632e-54,4.2521811494612041e-46,3.6717558309886828e-54,1.2958131944964829e-43,9.3620905682541625e-48,1.4992392295100074e-36,5.5655156087748941e-45,1.5892604256889679e-58,9.6940907162720785e-68,5.568528160117034e-45,1.6059086545323743e-45,5.2245741550511529e-46,3.8726018386391294e-54,1.3983744506933955e-55,2.7229605736827996e-54,4.1622643151513634e-56,5.9943159412869478e-72,1.3407295382048899e-78,1.4200519165177003e-77,8.676073162550458e-50,6.4472052682710992e-58,4.5329468305031516e-58,2.3293866583991942e-59,3.1942797604467957e-73,5.3243856630428325e-37,3.2134417981569686e-79,5.9173828741164158e-64,2.5436097927669489e-72,4.5556440003217637e-80,9.0303478432289144e-81,1.6843172042606011e-89,4.6238418933579309e-91,1.0436094842948331e-101,7.2900578249558841e-111,8.0022842913067032e-44,1.725807903483588e-51
7.038951822405063e-18,0.0027065057025269386,1.8807371301895289e-34,7.4177750884852581e-30,1.2316933379159241e-22,1.8804716801634197e-34,1.2365597068601978e-21,1.0102326224975575e-35,2.8848410312287322e-59,2.8742226262305708e-47,4.9576614294133894e-51,7.7355666797807198e-49,3.7977608555602088e-39,1.0654981837065122e-26,1.6775250484156003e-41,1.9211563661051044e-60,9.3958525720456917e-56,4.8196154698528807e-43,6.637144622494616e-57,1.8932684928233668e-83,2.2394969683015724e-54,2.2076172985779054e-71,1.7147705671685523e-43,5.0856109746512323e-64,9.0613116072113444e-35,9.553882487339351e-52,5.233686169232794e-51,2.8536371141711326e-44,2.4627768254755233e-76,1.0988878810676177e-85,5.7202043639975985e-53,2.5133811519815833e-67,1.2736383621906799e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999886908,0.108803,0.0001,7.0507200171354075e-16,5.126157273227567e-15,5.1261562520753183e-15,9.1939251619235335e-23,9.3816736634090921e-23,3.5199847951362162e-16,6.5956262110066548e-23,6.2025476466937424e-32,8.2568394336556992e-32,1.2265851380048146e-36,3.7592788430252817e-27,1.1180752505140621e-21,9.025497690268031e-26,4.6423374669292998e-37,3.1994173558035796e-40,3.3140136605003613e-42,3.267844169195396e-47,1.1749582853411398e-21,3.8397957158771025e-56,1.2819065606565191e-64,2.0291680240615749e-66,2.3081794403990046e-75,3.4205932370248499e-71,9.5434880873904833e-27,9.0613115174748248e-35,9.524346977737422e-43,1.16407353783061e-43,2.7447757033053485e-22,1.9911056017345945e-49,8.5989300621715158e-58,4.9998728835139689e-35,1.4053283642451278e-67,1.1828127172607756e-26,2.1004131807867234e-32,1.5977852778347078e-40,1.6710419398266657e-48,1.1884504169255259e-48,1.076916420999627e-49,2.4268469808369194e-57,6.537516633345205e-36,1.04009876057211e-43,1.2487693051050669e-52,3.7609956487782971e-45,6.4325336755855823e-53,1.1460271839416583e-42,1.6653600701967118e-46,1.3260587447462062e-35,9.8939599820961435e-44,5.6699772543407416e-57,6.9260778102345045e-66,9.9046968561108512e-44,2.8576257770680843e-44,5.0604934389732672e-45,7.5257878549295042e-53,2.7136991048475342e-54,5.2923995109848469e-53,8.0899700952286551e-55,4.2829847760569404e-70,1.9175436464093867e-76,1.0146365623262588e-75,7.6737516020489207e-49,1.147135171885587e-56,8.0659677621811794e-57,4.1411642302810101e-58,1.1313215810043831e-71,2.3252991043117142e-36,2.4626015664983693e-77,2.1118687253823316e-62,1.8180631571052763e-70,6.5166903267219367e-78,1.2917596878403002e-78,4.8202593391414438e-87,1.3232822431994054e-88,5.9743123729573017e-99,8.3472969132892259e-108,7.7509679171393818e-43,3.3539718840832481e-50
1.4491959634363366e-17,0.0027065057025269386,7.851145132820021e-34,3.0967749450896356e-29,2.5358390967735168e-22,7.8505987549234209e-34,2.5458741232766155e-21,4.2175457440850475e-35,1.2043643304552227e-58,1.168246305385996e-46,2.0700154714885486e-50,6.3987125439886745e-48,7.818919350878037e-39,2.1936727336482865e-26,7.003336862554728e-41,1.6150561090279241e-59,7.8977802235037545e-55,2.0120945862899228e-42,5.5789205926595035e-56,6.3968938611630458e-82,3.7772189328658604e-53,3.7156714086927146e-70,1.441360084454671e-42,8.6013594294183084e-63,7.6165782068406979e-34,1.611401885203303e-50,2.1849609395300361e-50,2.3982792181855937e-43,2.0701122827682692e-75,3.7094098244416957e-84,9.6479095659011943e-52,8.4921026482682093e-66,8.8560912897450064e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999999976716,0.108803,0.0001,1.4516188270512832e-15,1.0553852883107794e-14,1.0553850908654428e-14,3.7617862378692316e-22,3.9166639263127374e-22,7.2469778919097603e-16,2.7535380386506252e-22,5.0783944299153181e-31,6.4313274168030286e-31,1.031018802121884e-35,1.5694248721209052e-26,4.6677166782075539e-21,3.76796751828403e-25,3.8997644843258658e-36,2.6893029703047762e-39,2.785600457086032e-41,5.5116437627208687e-46,4.9051907572084997e-21,1.2973678908409557e-54,8.6694586927108114e-63,1.3723144085078252e-64,3.123272921071874e-73,2.3133308714756017e-69,3.9842183094288058e-26,7.616578040981219e-34,1.6063930431164534e-41,1.9633741533726652e-42,5.6507582889882852e-22,3.3582908007936357e-48,1.4279943211373566e-56,4.2026713921443225e-34,9.5041531515238524e-66,4.9378209684793823e-26,1.0383451139179761e-31,1.5764216717778559e-39,3.2948261224803769e-47,2.3432923810495537e-47,2.1233933307828206e-48,9.3248226926670847e-56,2.729284396053776e-35,8.742656435888526e-43,2.0369808928374034e-51,3.1613259259901946e-44,1.0523174164097393e-51,9.6312845027617625e-42,2.8080187623151764e-45,1.1146299627913559e-34,1.6655379270902418e-42,1.9151729592647317e-55,4.6821149001011405e-64,1.6691557646385719e-42,4.8197938683430178e-43,4.9928307502924406e-44,1.4834194477586567e-51,5.3340570064517991e-53,1.0434907270201526e-51,1.5951259510775627e-53,2.8957016687797331e-68,2.5938326497105863e-74,6.8598909107736373e-74,6.4500203809186257e-48,1.934438118304337e-55,1.3603863514263556e-55,6.971704494482984e-57,3.7645326311140123e-70,9.7076660338666271e-36,1.7213182377562337e-75,7.1355055492184832e-61,1.2295532533871999e-68,8.8180022002070686e-76,1.7479328017602606e-76,1.3047423963635534e-84,3.5818948580764924e-86,3.234609434663114e-96,9.0392324786076327e-105,7.6473313292205069e-42,6.6116065220189813e-49
2.9397975258279965e-17,0.0027065057025269395,3.2073363399030247e-33,1.265133500389527e-28,5.1441302183366071e-22,3.2072254767422999e-33,5.164552041944714e-21,1.7230241821704544e-34,4.9202211679790665e-58,4.5260520490877535e-46,8.4599702461293164e-50,5.0814820697133598e-47,1.5861236183672866e-38,4.4500218412105819e-26,2.8610916272981887e-40,1.3245919958992212e-58,6.4750773813555967e-54,8.2200629311992726e-42,4.5739371817145858e-55,2.1031373904939356e-80,6.204027617962327e-52,5.8649690966647084e-69,1.1817011255586749e-41,1.3718759206262881e-61,6.244530686492734e-33,2.646732307826588e-49,8.926278340087575e-50,1.9661019905809875e-42,1.6972030672821413e-74,1.1734212853647145e-82,1.5846552308669841e-50,2.7919884822164071e-64,5.9052705551276119e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999527664,0.108803,0.0001,2.9447124777082285e-15,2.1409243139020848e-14,2.1409239608954005e-14,1.4776714696316422e-21,1.6000848894366871e-21,1.4700810912528894e-15,1.1249051769865294e-21,3.9577538915508651e-30,4.5944071597454704e-30,8.4529164277425626e-35,6.4116123477037286e-26,1.906892176372236e-20,1.5393375976792665e-24,3.1933339493615383e-35,2.2048529000049906e-38,2.2837581149936511e-40,9.0527171000132301e-45,2.0039069470957623e-20,4.2653809122981662e-53,5.7029521608588557e-61,9.0273727130539581e-63,4.1099745371471655e-71,1.5217626448745935e-67,1.6276830969747024e-25,6.2445304022198332e-33,2.63841576258358e-40,3.2248281895124488e-41,1.146195036504749e-21,5.5160033071449984e-47,2.2742827273343877e-55,3.4455661531239722e-33,6.2520317980953726e-64,2.0171063101364379e-25,5.5613389051362014e-31,1.675140005313455e-38,6.9765474358151831e-46,4.9617520154556225e-46,4.4961943808565246e-47,3.7522545447601536e-54,1.115001644460371e-34,7.1677573883592476e-42,3.1390086239394956e-50,2.5918172438216531e-43,1.6302520817619266e-50,7.8934165861134499e-41,4.6102529044299172e-44,9.1383719499936359e-34,2.7251227383722316e-41,6.2940629772896724e-54,3.0780397443225782e-62,2.7369526495970785e-41,7.9164941026634975e-42,5.305490628294091e-43,3.1391110807616461e-50,1.1225046713551515e-51,2.2094203513262806e-50,3.3776073557011268e-52,1.9041046188973857e-66,3.411017451742333e-72,4.510797694703721e-72,5.2877389023644764e-47,3.1760955645692131e-54,2.2342514082731475e-54,1.1408650865548857e-55,1.2007198350522939e-68,3.965898335866848e-35,1.150700554227035e-73,2.3459839266180682e-59,8.0883627767051004e-67,1.1603924680920628e-73,2.3001661232694149e-74,3.4341811687889507e-82,9.4280791293641056e-84,1.702883997365007e-93,9.5177912495498588e-102,8.1262203271236923e-41,1.3993314727876713e-47
5.921000650611316e-17,0.0027065057025269386,1.2964340019522656e-32,5.1138709980132872e-28,1.0360710876823604e-21,1.2964116006312937e-32,1.0402104222599106e-20,6.9648938957242954e-34,1.9888319869164598e-57,1.6486108257550696e-45,3.4237899385890848e-49,3.8649530915526594e-46,3.1945869360072205e-38,8.9627200870503457e-26,1.1564989853744417e-39,1.0738723125127544e-57,5.2436855255006036e-53,3.3226808771506295e-41,3.7040945620660799e-54,6.8213371858625601e-79,1.0056782723134583e-50,8.6467309840606076e-68,9.5695122674460975e-41,2.0708839528679417e-60,5.056982361574828e-32,4.2904667135233939e-48,3.6081445614793789e-49,1.5921388630361092e-41,1.3744389616323387e-73,3.4679231890482667e-81,2.5687399103398982e-49,9.055559131233454e-63,3.857268096855869e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999048673,0.108803,0.0001,5.9308997789479603e-15,4.3120020065030897e-14,4.3120014558119274e-14,5.5431665970054269e-21,6.4677979699297446e-21,2.9607864287235406e-15,4.5470065342998959e-21,2.9155390146628514e-29,2.9530059189411629e-29,6.8453930879322251e-34,2.5916759560258553e-25,7.7077820494747539e-20,6.2222480839359537e-24,2.5797041145829698e-34,1.7855467978797985e-37,1.8493729402188861e-39,1.4674279360701918e-43,8.0999220548636316e-20,1.3834136205937162e-51,3.7001306649056755e-59,5.8570470505652423e-61,5.3337542960290171e-69,9.8734081160080605e-66,6.579354640823007e-25,5.0569818911995296e-32,4.276695070897325e-39,5.2275214217211522e-40,2.3081242959280305e-21,8.9416809501748137e-46,3.4698220619612172e-54,2.7902476311954553e-32,4.0563789578640936e-62,8.1522160077090519e-25,3.3144077492263649e-30,1.9762892963639237e-37,1.6381246937220051e-44,1.1650444731771112e-44,1.0557585481763563e-45,1.6036910468068134e-52,4.5070142538968156e-34,5.8046348867481248e-41,4.5274430552449188e-49,2.0988742486197907e-42,2.3724982167094375e-49,6.3876128939196193e-40,7.4678869385495218e-43,7.4004291720106164e-33,4.3837918777092092e-40,2.0399740769151325e-52,1.9947275803988517e-60,4.4217472191018568e-40,1.2832875073097468e-40,6.2592881793047016e-42,7.3618081305225642e-49,2.6037754564748307e-50,5.1873825702720555e-49,7.931007883324874e-51,1.2345526376681982e-64,4.4208315642246691e-70,2.9246278701370924e-70,4.2815367505714932e-46,5.1446204965052877e-53,3.6212108237929225e-53,1.8357930291209935e-54,3.6690268896132201e-67,1.6030795228329755e-34,7.5256405686155694e-72,7.6090506330604355e-58,5.2479418853801885e-65,1.5059473236933514e-71,2.9851325972503963e-72,8.9136875622755772e-80,2.4472669085003731e-81,8.8406620266838672e-91,9.8826106173391154e-99,9.5871152179376481e-40,3.2827630715709947e-46
1.1883406900177956e-16,0.0027065057025269386,5.2128580459789509e-32,2.0562643227194454e-27,2.0793865854994567e-21,5.212812366818115e-32,2.087799395700945e-20,2.800677583132234e-33,7.9970053484198451e-57,5.4289297198357568e-45,1.3823979447546042e-48,2.7573930073421449e-45,6.4115134892883222e-38,1.7988116701592109e-25,4.6502315949506243e-39,8.676018329810887e-57,4.2205742760785356e-52,1.3360353773638633e-40,2.9813802005306842e-53,2.1974953868822895e-77,1.6195451250234185e-49,1.1518841704089171e-66,7.7020382519695903e-40,2.9261436312695694e-59,4.0702985653561001e-31,6.9096630444818907e-47,1.4508196748986651e-48,1.2814668993830746e-40,1.1062679149104839e-72,9.2738434249456403e-80,4.1367008847250994e-48,2.9172474954443898e-61,2.4938908591043651e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998090706,0.108803,0.0001,1.1903274381130796e-14,8.6541561246327743e-14,8.6541554650719459e-14,1.9451865643255335e-20,2.6006723278288852e-20,5.9419520571945155e-15,1.8282991611795045e-20,1.9852209581363394e-28,1.6758596162131183e-28,5.5097714454229452e-33,1.0421013029210648e-24,3.0991197010192912e-19,2.5019381482409251e-23,2.0662355802405876e-33,1.4371630260242532e-36,1.4884177823345992e-38,2.3630654381783146e-42,3.2567900669512786e-19,4.4565133225492093e-50,2.384170333149143e-57,3.7739743617521756e-59,6.8739563082382157e-67,6.361990005193213e-64,2.6455290161334582e-24,4.0702978002174556e-31,6.8865498216060774e-38,8.4185558297463393e-39,4.6307468499425927e-21,1.4400307596764929e-44,4.9734569652331649e-53,2.2457355723756292e-31,2.6137181961592898e-60,3.2769652168119345e-24,2.1899583904969126e-29,2.5878852515728957e-36,4.2709816359813146e-43,3.037563278114316e-43,2.7527803431752856e-44,7.0988056104872269e-51,1.8122501067023637e-33,4.6720738147782576e-40,5.969261656104507e-48,1.6892816866982646e-41,3.1699224571620677e-48,5.1337854594929917e-39,1.200958377789931e-41,5.9564105684337934e-32,6.9536702229559196e-39,6.5627837082395293e-51,1.2823604316228343e-58,7.0733431723996802e-39,2.0666618313545445e-39,8.1963296872106438e-41,1.9147501944838466e-47,6.6284189563342846e-49,1.3522476363438925e-47,2.067928356447672e-49,7.9442814920667537e-63,5.6824064614706299e-68,1.8819696899447356e-68,3.4451695982655039e-45,8.2724990675930284e-52,5.8298941400570489e-52,2.9136088205747913e-53,1.0540675338968871e-65,6.4459123053075659e-34,4.868590595344516e-70,2.4512977427786328e-56,3.3816710518569581e-63,1.9409106879501389e-69,3.8473215568947802e-70,2.297455309577679e-77,6.3083942422632739e-79,4.557829878833486e-88,1.0190087005618026e-95,1.2554006108397858e-38,8.543738847716484e-45
2.3808219399311235e-16,0.0027065057025269386,2.0905793746113016e-31,8.2465338942232608e-27,4.1660150454156683e-21,2.0905696998836033e-31,4.1832914916984872e-20,1.1232967390535312e-32,3.2071563683524788e-56,1.5120050786168474e-44,5.6279838698817615e-48,1.7762929274505148e-44,1.2845367176298786e-37,3.603891042213696e-25,1.8649508905054339e-38,7.0575351030253736e-56,3.3867450136683598e-51,5.3580995026185175e-40,2.3923740999163662e-52,7.0551237659756429e-76,2.5995079770958971e-48,1.3041683900544644e-65,6.1798586624500644e-39,3.9061837590505932e-58,3.2661569975948276e-30,1.1091535176273352e-45,5.8184565751830869e-48,1.0282860722041159e-39,8.8771012220756733e-72,2.1141974626776737e-78,6.6397575346321768e-47,9.3658897560922254e-60,1.6042166702868703e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996174756,0.108803,0.0001,2.3848023584309945e-14,1.7338460140116625e-13,1.7338459561303951e-13,6.1906654845707179e-20,1.0429852904814672e-19,1.1903303289367703e-14,7.3320397476021362e-20,1.2145312525333708e-27,8.4150783957836136e-28,4.4212502994544481e-32,4.1792908692432252e-24,1.2427688737643322e-18,1.0033887964677604e-22,1.6419866912289592e-32,1.1532322562980883e-35,1.194171478925483e-37,3.7926591605951288e-41,1.305995803344646e-18,1.4306760104602926e-48,1.5308665252339096e-55,2.4232544574698001e-57,8.8277257816890312e-65,4.0851158652777898e-62,1.0609750201907421e-23,3.2661557635011485e-30,1.1051434643221925e-36,1.3512984383243541e-37,9.2710533596175915e-21,2.3115702411039241e-43,6.4580298439204232e-52,1.8019033576867494e-30,1.6782584829919622e-58,1.3134042143215853e-23,1.5652733470769253e-28,3.6756601927718742e-35,1.2092726844867476e-41,8.6005462143793669e-42,7.7950783438295625e-43,3.0904669798116234e-49,7.2679298105477831e-33,3.7490430381909564e-39,7.0205744764112866e-47,1.3554220279962767e-40,3.7896279990973578e-47,4.1075122119825355e-38,1.9223413052430669e-40,4.7794863100512799e-31,1.0835663233326394e-37,2.1012949410882531e-49,8.1966495759747819e-57,1.1203990472976575e-37,3.3173437328582556e-38,1.164152055845331e-39,5.395259120219076e-46,1.7921920897165228e-47,3.8274311132371425e-46,5.8557894270577283e-48,5.0876432688253521e-61,7.2592621510867066e-66,1.2052265431048595e-66,2.7629542789236433e-44,1.323840652535271e-50,9.3520024847139913e-51,4.5449572268380633e-52,2.7475386161212054e-64,2.5850991750039392e-33,3.1326094247115811e-68,7.8702223536882599e-55,2.1715790704381405e-61,2.49282406512915e-67,4.9413172705606931e-68,5.900290908195067e-75,1.6204693143623856e-76,2.3416015798424116e-85,1.0470421734249083e-92,1.7830867002990931e-37,2.4104917458312382e-43
