Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920),S(5903),S(5631),S(1278),S(6437),C5H8(1977),COO(115),S(2961),S(3450),S(3334),S(1529),S(1687),S(1803),S(1807),S(1519),S(7307),S(6868),S(6905),S(7163),S(6885),S(8703),S(7157),S(8374),S(8785),S(9152),C7H8(2430),S(9324),S(9469),S(9648),S(1514),S(9471),C7H7(978),S(10368),S(1071)
0.0,0.0019405921333852628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.901458606902027e-20,0.0019405921333852628,5.1018305611094249e-36,1.2870893522550972e-31,5.6582311543092506e-23,5.007108240523908e-36,2.6116662607000345e-22,1.1955372436183383e-37,2.556096575579586e-59,2.4987845025471788e-48,6.2147199658987781e-52,1.7666859355891928e-51,1.1260818970847613e-38,2.3782847811622903e-27,2.6390493844692009e-43,8.4611719946207992e-63,2.0692315327132405e-58,1.1912402567965631e-44,8.9513171100549991e-60,5.0362658680958934e-87,3.3049423000688408e-58,6.6799905037748818e-75,6.5257442686273399e-46,1.9451648637260772e-68,3.1892109063185754e-38,7.1355014049521565e-56,4.4266852204679795e-52,2.934070087141835e-47,2.6075390726666154e-77,2.3317213039907592e-90,7.7838913502772467e-57,2.4355534592461355e-72,7.672814759537958e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999990315,0.108803,0.0001,3.6557205683248356e-17,4.2909154046971126e-16,4.290912797550791e-16,2.402602263997407e-25,2.404464391365974e-25,7.3652507890543418e-17,1.56155279295501e-25,6.681484407629695e-36,8.6487744014827952e-36,2.0428382960946654e-40,1.7415159338281398e-29,5.1919073194403992e-24,4.1144501644345059e-28,1.1480333164023671e-40,1.2874611965383497e-43,3.4068165859893281e-45,1.5618433541526262e-51,6.6581321875101367e-24,6.3576040555788599e-62,8.0091764472421926e-72,2.5777526720401266e-73,1.0789923647146207e-83,4.7099804353185466e-78,7.4847178319984391e-29,3.1892109702658471e-38,1.16061918981908e-47,1.4955220730727097e-48,5.6875946698532539e-23,5.5737737363864807e-54,6.8653577280768829e-62,2.4610991691559392e-38,8.5033147447306652e-75,5.1419418091662381e-29,3.6513312726461969e-34,1.1610256171976025e-43,4.2252111899414107e-53,3.2529719919656939e-53,2.874112064706404e-54,3.2663618447663639e-63,1.5086938952497453e-37,8.4541469888549984e-47,4.2262009394860955e-57,7.7027200267619276e-48,2.3483350602738782e-57,8.123547302330458e-46,3.5105883900266538e-51,1.725302558433813e-39,4.8336960783457588e-49,4.5930932574418887e-63,2.5569934937928198e-73,4.8338433049693168e-49,1.6375758379676464e-49,7.3817269954830716e-48,4.1363887713881821e-57,3.7684107917412005e-58,2.6863604392923479e-57,8.7168214829081977e-59,2.2843010083307221e-77,9.2825982890185432e-85,3.368842976739074e-82,3.7934852250667583e-51,2.1257119444448075e-60,1.3805274154695414e-60,1.9366756168464005e-61,6.4807936318688262e-77,1.7687779764973878e-38,2.6969533807638426e-84,1.0948194100329084e-67,3.5607532731682155e-77,4.8553590242536111e-86,9.9765536461551094e-87,1.9198508860878425e-96,9.7787729961214725e-98,1.7754802573033092e-109,8.719059877703076e-120,4.7772347960572065e-46,7.2649591891433699e-55,2.1953568820583475e-55,1.4916454004896821e-110,1.879143637076368e-120,9.47470763926117e-121,2.5850330916423675e-68,1.1683383660131202e-75,2.0602789979653368e-68,1.5023655287839711e-53,5.7643491750946206e-76,2.2980459243614051e-84,3.0136911057602092e-80,1.8562687936540275e-87,6.7553424131293881e-97,9.1411258295682594e-98,4.3523162614657822e-98,1.2700475926241268e-63,1.2034358317360226e-106,1.313774724114233e-99,6.4779560345971435e-103,2.9961347121375183e-110,5.2114225233608588e-102,5.3639904916206143e-114,1.162810378392565e-112,1.493921230965252e-116,3.7811803416328518e-121,8.2353154549259485e-133,5.2544912603177366e-47,1.3538540111123866e-140,1.1725954262987455e-150,2.7078379084665245e-158,1.3433618168755727e-81,5.861331183891573e-151,4.5588410662381218e-51,3.7059167847225169e-59,1.1808346717247167e-54
2.7724084099325676e-19,0.0019405921333852628,3.0508155431604655e-35,7.7740193090593201e-31,1.5843047198582442e-22,3.0242933719266632e-35,7.312666656790468e-22,7.2210459799518995e-37,1.5438823313366194e-58,1.5082365500710361e-47,3.7537387145321777e-51,2.0963797298884825e-50,3.1530293110300376e-38,6.6591973880736867e-27,1.5939858283831897e-42,1.0045220668201452e-61,2.4565916757385958e-57,7.195091151789845e-44,1.0627003772509686e-58,2.0782289493454218e-85,7.3930227015291794e-57,2.0989086373755675e-73,7.7473624701837132e-45,6.1140595009621073e-67,3.7862311846573961e-37,1.5961831208356865e-54,2.6737178726296423e-51,3.4395784244775721e-46,3.0956703858640633e-76,1.3420805534513869e-88,1.7412251178358479e-55,1.0050378194068768e-70,8.7272725132641426e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999972881,0.108803,0.0001,1.0236017591306901e-16,1.2014563120315626e-15,1.2014555825346036e-15,1.4500864350894385e-24,1.4522964899129801e-24,2.0622698290409888e-16,9.4317781642264676e-25,7.9203101676516252e-35,1.0221552216852394e-34,2.4252580982588168e-39,1.0518756227284578e-28,3.1359115236851341e-23,2.4851278971025699e-27,1.3629217790877905e-39,1.5284739302689241e-42,4.0445710064271094e-44,3.4937797523668233e-50,4.0215112035710444e-23,2.623482120163754e-60,6.0291058630635848e-70,1.9404671447419249e-71,1.4728187134691798e-81,3.5455547429916292e-76,4.5207695661931178e-28,3.78623125920022e-37,2.5962574146146675e-46,3.3454227230044828e-47,1.5925248383821732e-22,1.2468308949697032e-52,1.5350327271545523e-60,2.9218165091735548e-37,6.4010807025734871e-73,3.105730092931376e-28,2.2096826933918662e-33,1.3808184791305152e-42,9.4676674445688803e-52,7.2891164426424616e-52,6.4401855518792587e-53,1.3465599742250626e-61,9.1125111151166598e-37,1.0036763287318018e-45,9.436827312222148e-56,9.1446673504280484e-47,5.243901797335544e-56,9.6442324679108049e-45,7.6458113564843706e-50,2.0482790558123376e-38,1.0812266912482844e-47,1.8465483002227082e-61,1.875929527826984e-71,1.0812874405772991e-47,3.6631914043118866e-48,8.779156023260782e-47,9.2685451075147241e-56,8.4433882739312897e-57,6.019474657559726e-56,1.9532274773700305e-57,1.6759202520303345e-75,1.2670602130814838e-82,2.4715479269968667e-80,4.5036220076664693e-50,4.7551044384554882e-59,3.0881815337311212e-59,4.332055333676417e-60,2.6730969185765987e-75,1.0683418979137927e-37,2.8843024354885372e-82,4.5178025111409863e-66,2.680445926858311e-75,6.6275404988208653e-84,1.3617945094668764e-84,4.7362531540161574e-94,2.4124143912092428e-95,7.9019233217889862e-107,6.9936019450781459e-117,5.681609415618014e-45,1.6278910105468394e-53,2.8410902810082868e-54,6.6386925626050539e-108,1.5072705980367138e-117,7.5997108328303188e-118,1.2270638098172469e-66,1.0099399692888996e-73,8.5017990072570708e-67,1.7836207949984256e-52,4.2290084753115093e-74,3.0576880219003608e-82,1.2436008290444907e-78,1.3973447833715267e-85,9.2209522298194547e-95,1.2477519482926068e-95,5.9408557892382747e-96,5.2409009670158781e-62,2.9688483231787485e-104,1.793285343121281e-97,8.8423278010846183e-101,7.3913901803530155e-108,7.1135254735565999e-100,1.3232803212884821e-111,2.8686213245087805e-110,3.685468477030161e-114,1.6828316524170716e-118,6.6055320019741038e-130,6.2492149421928804e-46,1.9560169000056529e-137,3.0506221929465133e-147,1.268317922350799e-154,1.0349261508981166e-79,1.5248829158301217e-147,5.4122578899978284e-50,8.2899755657721689e-58,2.6414366518648006e-53
6.336933508417298e-19,0.0019405921333852628,1.4621292434685274e-34,3.7428555603960781e-30,3.6212679153194938e-22,1.4560670683199605e-34,1.6714671956292819e-21,3.4766238443304851e-36,7.4331288370374675e-58,7.2510428659457013e-47,1.8073126246919646e-50,2.0560295844548227e-49,7.2069241357091155e-38,1.5221022605173578e-26,7.6743556124945798e-42,9.8627069854526775e-61,2.4118962748449876e-56,3.464126667872281e-43,1.0433655520828691e-57,8.2212647405082618e-84,1.4607362590606606e-55,4.6760057594023001e-72,7.6064040303680334e-44,1.3636928230204154e-65,3.7173442221004283e-36,3.1537888608134946e-53,1.2872800613142194e-50,3.3543277050359875e-45,3.0393475393450835e-75,6.0101619998791496e-87,3.4403663663562026e-54,3.9758284842819694e-69,7.9007664668596588e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999938013,0.108803,0.0001,2.339661163726048e-16,2.7461858500294092e-15,2.7461841849751817e-15,6.9705115758362006e-24,6.9921824130131291e-24,4.7137577617361169e-16,4.5409944640992476e-24,7.7510159270619902e-34,9.9389119434396398e-34,2.3811330145875449e-38,5.0643283160223851e-28,1.509805902608202e-22,1.1964821044967468e-26,1.3380751763543155e-38,1.5006647636764045e-41,3.9709803148102702e-43,6.903114169948244e-49,1.9361838836006322e-22,1.0378225674328134e-58,4.7670287441923487e-68,1.534267745709116e-69,2.3266906663186066e-79,2.8033617613029684e-74,2.1765559390442029e-27,3.7173442923737063e-36,5.1297615739145981e-45,6.6099901062728787e-46,3.6400489044907264e-22,2.4635277600459167e-51,3.0298131999523348e-59,2.8686558757785958e-36,5.0611378235247696e-71,1.495272538405208e-27,1.0682250298077427e-32,1.3608829322257963e-41,1.8775870635232257e-50,1.4455461355767319e-50,1.2771905851087377e-51,5.3154690057069506e-60,4.3872818291095184e-36,9.8541536749022553e-45,1.8572420241456538e-54,8.9782846806508127e-46,1.0321375410696753e-54,9.4686737794650418e-44,1.4873767592466021e-48,2.0110122232812745e-37,2.1360978390206193e-46,7.1903113909513179e-60,1.4597794813226346e-69,2.1363381210480729e-46,7.237847867136953e-47,8.6524070793482133e-46,1.8380576325661682e-54,1.6741523085488642e-55,1.1937547074713255e-54,3.8735586253240876e-56,1.304164011765615e-73,2.0016097218113692e-80,1.9232813573657837e-78,4.4216750586054082e-49,9.3951633313650497e-58,6.1017130169229631e-58,8.5585009911683863e-59,1.0563679845405591e-73,5.1436063572949625e-37,2.6825061543869014e-80,1.7871973613955079e-64,2.1193475367566609e-73,1.0469887393487139e-81,2.1513010478195615e-82,1.4950929244179928e-91,7.6152733416148894e-93,4.9854960322984442e-104,8.8208239734420141e-114,5.5995812488654586e-44,3.2283239064080321e-52,2.9391778060830429e-53,4.18849615347276e-105,1.901075973719638e-114,9.5852912561207027e-115,6.3443841708102034e-65,1.0423722496620286e-71,3.3632271672796857e-65,1.7511749472682903e-51,3.2908823595063159e-72,4.7535424558081547e-80,4.9194979481457604e-77,1.1048243906140985e-83,1.4566644044993773e-92,1.9711168045000809e-93,9.3849746219170808e-94,2.0732504085931467e-60,9.3716499782631371e-102,2.8329136704368144e-95,1.3968533503966682e-98,2.3332085089541052e-105,1.1237483708250872e-97,4.1771221557324876e-109,9.0552322585337001e-108,1.1633773130175019e-111,1.0617150583285085e-115,8.3312039616608932e-127,6.1589919998630868e-45,4.9325797740256555e-134,1.5382930793796158e-143,1.2789663689502444e-150,1.1079558181179472e-77,7.6893065989067762e-144,5.3137906526150991e-49,1.6379542652525854e-56,5.2188465834576361e-52
1.3465983705386758e-18,0.0019405921333852628,6.3719093673249349e-34,1.6346033284143793e-29,7.6951942526684041e-22,6.3590273825523001e-34,3.5518700584583391e-21,1.5183338892798969e-35,3.2462426460623915e-57,3.1575544836984664e-46,7.8934446645867389e-50,1.8146102612410494e-48,1.5314713772362956e-37,3.2344673052481759e-26,3.3515927208185787e-41,8.7239018673407996e-60,2.1332949416263348e-55,1.5128751272764255e-42,9.2284505033469262e-57,2.9341093340841757e-82,2.599300539966993e-54,8.733101935132661e-71,6.7277739839861277e-43,2.5530660324751762e-64,3.2879488543386899e-35,5.6119987500346374e-52,5.621890221805712e-50,2.9570970082543751e-44,2.6882684744563665e-74,2.2549367794042313e-85,6.1219443949920349e-53,1.418944098929254e-67,5.9880778379806004e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999868295,0.108803,0.0001,4.9717799729125418e-16,5.8356449055905675e-15,5.8356413773824594e-15,3.0345569593594391e-23,3.0536697387235861e-23,1.0016727356829872e-15,1.9831709540167506e-23,6.8112926756812079e-33,8.6236310291738683e-33,2.1060853215929514e-37,2.2117252157765954e-27,6.5937145882151551e-22,5.2253516745783736e-26,1.1834242786076497e-37,1.3273209804737364e-40,3.5122809220941602e-42,1.2283701852880127e-47,8.4558179940285163e-22,3.7039087969693705e-57,3.4072671282184839e-66,1.0966286007599589e-67,3.3282496064488244e-77,2.0037232397459378e-72,9.5055915794614447e-27,3.2879489113120967e-35,9.1281167231907339e-44,1.1762119066783365e-44,7.7350703301417164e-22,4.3837160960545431e-50,5.3801276294998122e-58,2.5372920362766038e-35,3.6174836545730068e-69,6.5302233208867384e-27,4.703508737530253e-32,1.2129130086303181e-40,3.3658611158365308e-49,2.5913616254409925e-49,2.2895614039398589e-50,1.8890356863255054e-58,1.9160412281037777e-35,8.7158872636095381e-44,3.2790087287953471e-53,7.9411840955450542e-45,1.8226033456453056e-53,8.3747731233782809e-43,2.6260687061968602e-47,1.7787170041336113e-36,3.8002717464199519e-45,2.5456993921997732e-58,1.0349574346625174e-67,3.8011290361881441e-45,1.2879359819022508e-45,7.7116237121803574e-45,3.2948533055049664e-53,3.0000787481221116e-54,2.1399815750321077e-53,6.943951525734244e-55,9.2464711900923741e-72,2.863137526260488e-78,1.3635911370455323e-76,3.910907756277553e-48,1.6717755960836303e-56,1.0857624784782873e-56,1.5226141674897222e-57,3.7623507317034985e-72,2.2463480318469279e-36,2.0584477326604988e-78,6.3783776859436911e-63,1.5148203438949335e-71,1.497682606913555e-79,3.0773645246767663e-80,4.2787562862171679e-89,2.179392617742978e-90,2.8540314477739567e-101,1.0100073070030402e-110,4.9907341390030034e-43,5.787120676905379e-51,2.6844421523484098e-52,2.3977754007041571e-102,2.1767814786472953e-111,1.0975408031135856e-111,2.5247454069162107e-63,8.3200894384397964e-70,1.200311906113614e-63,1.5488966240370372e-50,2.3332095158036351e-70,6.7444444716400573e-78,1.7556888071526158e-75,7.8966216249558668e-82,2.0836537565356044e-90,2.819545734158554e-91,1.342455388556616e-91,7.3992847151172047e-59,2.6819767752182366e-99,4.0522832771819219e-93,1.9981026464637135e-96,6.6771518088281328e-103,1.6074446175122791e-95,1.1953928899955023e-106,2.5914043763418076e-105,3.3293482362391015e-109,6.0777367591473458e-113,9.5390828165078114e-124,5.489319735187543e-44,1.1295888496997722e-130,7.0456979302510269e-140,1.1715973899591719e-146,9.0092834289044142e-76,3.5218604905119665e-140,4.6999943469497097e-48,2.9146334781148133e-55,9.2859897432128561e-51
2.7724084099325677e-18,0.0019405921333852628,2.6574208425892315e-33,6.8241469888709635e-29,1.5843046713071585e-21,2.6547687145141989e-33,7.3126829958307409e-21,6.3387527689126513e-35,1.3552423999407993e-56,1.3106059944824226e-45,3.2957300670381775e-49,1.5187234813073316e-47,3.1530292995986072e-37,6.6591973999531672e-26,1.3992239859386932e-40,7.3337374878208399e-59,1.7931629397427145e-54,6.3159558518384328e-42,7.7570692962905867e-56,9.9136811067800489e-81,4.3840949293893444e-53,1.4999974212291088e-69,5.6550922776698767e-42,4.4066706927870019e-63,2.7637191047808781e-34,9.4654560866973952e-51,2.3470284966458461e-49,2.4815874587383445e-43,2.2596516254130969e-73,7.7651918902650788e-84,1.0325541416697201e-51,4.7942856908395757e-66,4.1637380243601993e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999999972884,0.108803,0.0001,1.0236017591268643e-15,1.2014562935519752e-14,1.201455571230149e-14,1.2588753841979285e-22,1.2748469858290304e-22,2.0622641465890658e-15,8.2793430715937296e-23,5.652008304793336e-32,6.9823750999162074e-32,1.7702917397702525e-36,9.2335172997966004e-27,2.7527423240493117e-21,2.1814814464648598e-25,9.9459130090892544e-37,1.1156932468872016e-39,2.9522733217839598e-41,2.0718187794419836e-46,3.5301327901306711e-21,1.2514628596506767e-55,2.3043287106829999e-64,7.4164797771698483e-66,4.5035903711356965e-75,1.3551155771502709e-70,3.9683973340665886e-26,2.7637191439521065e-34,1.5395835837597593e-42,1.9838515590244054e-43,1.5925006356574819e-21,7.3937781789432102e-49,9.0365664005821674e-57,2.1327441492547598e-34,2.4464977815489171e-67,2.7262190484093015e-26,1.9956216377548628e-31,1.035049437729683e-39,5.7606937892746743e-48,4.4351318904454312e-48,3.9186082938480442e-49,6.3302384300228668e-57,7.9990948632462703e-35,7.3262283041420498e-43,5.4452613065873098e-52,6.6750319006956062e-44,3.0277907268242102e-52,7.0392295767668212e-42,4.4118672270460661e-46,1.495117920529771e-35,6.4070148579125505e-44,8.5666607053821561e-57,6.9706261621342887e-66,6.4099096920021918e-44,2.1722910188328745e-44,6.580778432533308e-44,5.6386661780221315e-52,5.1309118497898003e-53,3.6625730180214615e-52,1.1884643559622711e-53,6.2278600553773568e-70,3.8739707079108022e-76,9.1842924142368775e-75,3.2873304725384351e-47,2.8195470329353452e-55,1.8312810831175178e-55,2.5670140247487814e-56,1.2660012171828001e-70,9.3780608466463596e-36,1.4397166930676448e-76,2.1551078019918892e-61,1.0244728427829606e-69,2.0265804391134412e-77,4.1641173582233477e-78,1.1581841260041198e-86,5.8992494883824873e-88,1.5452317285589078e-98,1.093732592097306e-107,4.2588845871540394e-42,9.904208952427573e-50,2.3188840102662381e-51,1.2982052575229301e-99,2.3572273526524828e-108,1.1885222453686776e-108,8.9618081250156769e-62,5.9157803631053963e-68,4.0555827771883399e-62,1.3019418858851687e-49,1.5715034500063553e-68,9.0881909988772894e-76,5.9317774977587607e-74,5.3402226395315673e-80,2.8193345508206585e-88,3.815062688402372e-89,1.8164454146955761e-89,2.5000497865581845e-57,7.2592993880659753e-97,5.4830433696327979e-91,2.7035893487711617e-94,1.8072924605972074e-100,2.1749980676998205e-93,3.2354853846228106e-104,7.014038809902452e-103,9.0115246994903331e-107,3.2903664395143378e-110,1.0329057629763376e-120,4.684356830311059e-43,2.4463318477746788e-127,3.0517880038889749e-136,1.0149425397528219e-142,6.4676874461330215e-74,1.5254661111885647e-136,3.9506396990102358e-47,4.9158925285509253e-54,1.5659922034708006e-49
5.624028488720352e-18,0.0019405921333852632,1.0850976041562978e-32,2.7878866211011422e-28,3.2138750776697138e-21,1.084559610176542e-32,1.483433771743224e-20,2.5895935988910594e-34,5.5366073891701972e-56,5.2928604095007229e-45,1.3467310083562653e-48,1.2344981895380059e-46,6.3961451253555414e-37,1.3508657610336579e-25,5.7162865482303393e-40,6.0139620182260898e-58,1.4701433173970094e-53,2.580274054554856e-41,6.3597150426939552e-55,3.2593940902484183e-79,7.2008715003185456e-52,2.4646117652248708e-68,4.6363746153371692e-41,7.3125073808315166e-62,2.2658638644199925e-33,1.5547039808403971e-49,9.5883771962400134e-49,2.0329192690393413e-42,1.8525989123332651e-72,2.5553142307115998e-82,1.6959691363712356e-50,1.5762524796871515e-64,2.7763941834871984e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999449949,0.108803,0.0001,2.0764492827913301e-15,2.437239867487044e-14,2.4372384182557472e-14,5.0787432752607614e-22,5.2081657585133245e-22,4.1834369359979885e-15,3.382377484368113e-22,4.5180263010115799e-31,5.3314543391454051e-31,1.4513922919131405e-35,3.7721930202725792e-26,1.1245820199469868e-20,8.9120633759173603e-25,8.1518325328620897e-36,9.1471270779862345e-39,2.4204349437399801e-40,3.4029453060573232e-45,1.4421705326806126e-20,4.1145083927417194e-54,1.515854264823446e-62,4.8787755397033088e-64,5.9264322963301358e-73,8.914357890989161e-69,1.6212197700935567e-25,2.2658638822377645e-33,2.5287485797963152e-41,3.2584764254507234e-42,3.2304451121129926e-21,1.2144303667525763e-47,1.4719797904058792e-55,1.7485480962830248e-33,1.609377212895913e-65,1.1137325684272946e-25,8.4142621895162879e-31,8.7405185627196412e-39,9.7368475125258516e-47,7.4963516597517556e-47,6.6233445589263073e-48,2.0489946491608294e-55,3.2678911821390037e-34,6.0064844124148681e-42,8.6761216643679382e-51,5.4725750514389003e-43,4.8276335739591937e-51,5.7707399294444435e-41,7.231894388237671e-45,1.2257865314483385e-34,1.0514685640295956e-42,2.8106879833944425e-55,4.5756059885187068e-64,1.0524191701914485e-42,3.5679903718857365e-43,5.5571660317802418e-43,9.5289142701262608e-51,8.6597583198810775e-52,6.1904923230910542e-51,2.00877599510563e-52,4.0882827226597932e-68,5.0972160843004733e-74,6.0290236671566466e-73,2.6951141760932542e-46,4.6306320599032954e-54,3.0078319998200996e-54,4.2127277763375187e-55,4.1284464429282021e-69,3.8312438611301723e-35,9.627428553709645e-75,7.0855107152575229e-60,6.7393128441343914e-68,2.6668612878065969e-75,5.4797337409941841e-76,3.0485085136027695e-84,1.5527767784217261e-85,8.1350216464221729e-96,1.1516424382259367e-104,3.5964329592277046e-41,1.6738660975819851e-48,1.9701286280271545e-50,6.8345269491106258e-97,2.4820354432285828e-105,1.2514509281888624e-105,3.0167159387177672e-60,3.9858733060560439e-66,1.3333869720186145e-60,1.0674111036289464e-48,1.0316128874302626e-66,1.1932931348732427e-73,1.9500594935709309e-72,3.5126563789910671e-78,3.7097178553222229e-86,5.0199442625336619e-87,2.3901187339591285e-87,8.2196048193869002e-56,1.9105898226987692e-94,7.2146886630918439e-89,3.5574494407103509e-92,4.7565949635834037e-98,2.8619150267592e-91,8.5151117659467515e-102,1.8459820758633919e-100,2.3717545798356448e-104,1.7320007174282851e-107,1.0874411390880663e-117,3.9557248944162638e-42,5.1510545013048142e-124,1.2851915061132331e-132,8.5484301096578719e-139,4.3789165052490856e-72,6.4241577481866034e-133,3.2389915613680181e-46,8.0741617734196132e-53,2.5714057566331957e-48
1.132726864629592e-17,0.0019405921333852628,4.3850466891889907e-32,1.1269082776737088e-27,6.4730155475207008e-21,4.3839630865660658e-32,2.9877762548058442e-20,1.0467602011991776e-33,2.2379852140428456e-55,2.0910906833380664e-44,5.4464889819369767e-48,9.8288434013693375e-46,1.2882376708247347e-36,2.7207578114997161e-25,2.3106144266400777e-39,4.8725781447585452e-57,1.1905601761752973e-52,1.0429880315332668e-40,5.1502637012986887e-54,1.0571718864782092e-77,1.1672865993556709e-50,3.930025959749622e-67,3.7546374190927026e-40,1.1897737357685534e-60,1.8349552479274016e-32,2.5202420728747973e-48,3.8757753492380341e-48,1.6456515686150128e-41,1.5002826108222452e-71,8.1572091839235222e-81,2.7492256258923587e-49,5.1125127262963766e-63,1.813515113801265e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998892148,0.108803,0.0001,4.1821443300932439e-15,4.9088068904200835e-14,4.9088040324741226e-14,2.0028018947065184e-21,2.1052237491064146e-21,8.4257423855824814e-15,1.3672075765364536e-21,3.4842136132247604e-30,3.7933774922974314e-30,1.1753753633011671e-34,1.5247806677681031e-25,4.5457157592026818e-20,3.6023984030419916e-24,6.5976363442871178e-35,7.4075802876272501e-38,1.9601032846482169e-39,5.5162455723822505e-44,5.8294523668219521e-20,1.3345129751933542e-52,9.8352482449438133e-61,3.1654737592799778e-62,7.6912636951434871e-71,5.7838811606415134e-67,6.5532293073026952e-25,1.8349552392002555e-32,4.0991388359201416e-40,5.282112166548331e-41,6.5061631586306353e-21,1.9686442193272829e-46,2.3472285671109476e-54,1.4160124361121707e-32,1.0442049056628404e-63,4.5017487527554695e-25,3.6125808494399708e-30,7.4905867265224628e-38,1.6675032423652358e-45,1.283801678179039e-45,1.1343040914140587e-46,6.4612879092374995e-54,1.3209338062594374e-33,4.8642065122567024e-41,1.3268857800944793e-49,4.4318017610118303e-42,7.392581968721988e-50,4.6725729398030458e-40,1.1710086927946839e-43,9.9267133205608832e-34,1.7016118976598856e-41,9.1059313948798634e-54,2.965021471626552e-62,1.704687714307417e-41,5.7838526992784589e-42,4.7624672850828226e-42,1.6313189153680588e-49,1.4787457898854774e-50,1.0601422886626817e-49,3.4401976783149336e-51,2.6495355150079184e-66,6.6133571212389734e-72,3.90728530903087e-71,2.1825118585516631e-45,7.5048905128808749e-53,4.8756545057712106e-53,6.8173690043302445e-54,1.3175588720415445e-67,1.5486500303922451e-34,6.2973657316273096e-73,2.2981604840973412e-58,4.3726809315748058e-66,3.4610595502562529e-73,7.1116099939717879e-74,7.9130583548309025e-82,4.03061116845874e-83,4.2233998263237966e-93,1.1957955794364424e-101,3.0821274310391208e-40,2.8660504189034066e-47,1.693523059142745e-49,3.5482314975705247e-94,2.5771948995310823e-102,1.2994306759225427e-102,9.8981151671272953e-59,2.6166397798081596e-64,4.3248092385797844e-59,8.6441755621438869e-48,6.6856734847414425e-65,1.5465189248637279e-71,6.3242469383249563e-71,2.278871154728259e-76,4.8138699511025223e-84,6.5141576937347978e-85,3.1015491244136777e-85,2.6660008481047936e-54,4.9588351277369797e-92,9.3621234037890694e-87,4.6163602784342668e-90,1.2345206143788089e-95,3.7137904363917281e-89,2.2098300846885029e-99,4.7908526749677455e-98,6.155727604501762e-102,8.9899706217314738e-105,1.1288894939805494e-114,3.3900392547883775e-41,1.069485082848804e-120,5.3367590287063183e-129,7.0994848132848933e-135,2.8816716475986724e-70,2.6676339673355346e-129,2.6230491983348325e-45,1.3087894724077312e-51,4.1659587075002596e-47
