Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717)
0.0,0.002657134459990106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.446635907666981e-20,0.002657134459990106,3.6640857502957893e-36,8.3847207818076264e-32,7.319329611462272e-23,3.5386764485539011e-36,1.9882566842693095e-22,4.8540502236953037e-38,3.181174984360243e-59,2.2205181070405867e-48,4.0866202353132983e-52,7.1412559350680396e-52,2.1036500464931329e-38,1.828976705702632e-27,1.1528687942204461e-43,2.6805914478568883e-63,8.3737139262495902e-59,5.6882269483016238e-45,1.1059641400118618e-60,8.9624412075411421e-105,5.7113283241033258e-76,2.7007336274283102e-75,7.7281951671048446e-94,3.584273452597877e-69,4.6462847808247895e-72,2.7413200820432811e-66,3.93144789036642e-52,1.0519278366812442e-47,1.9997078916266764e-77,5.1243298675333523e-91,9.008860751572732e-86,4.5466318982599565e-83,5.799029336734419e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993438,0.108803,0.0001,3.0775897319833737e-17,2.7147746289389515e-16,2.7147719092357354e-16,7.3293464022724337e-26,7.3334008799206953e-26,8.1565706703400328e-17,4.6884337792352564e-26,1.4805213546642282e-36,1.8880783920068612e-36,2.9639168627532158e-41,5.9674444200562923e-30,3.8029812357075853e-24,1.4091184832495605e-28,2.0594457554216227e-41,3.7139222787206344e-44,1.183215422185564e-45,3.9846129913755233e-52,5.073703565552729e-24,1.1196301624889927e-62,6.7496815558689418e-73,3.657116250578723e-74,7.2789811198633479e-85,4.4635086733679192e-79,4.1602466261706753e-29
1.8050580541467546e-19,0.002657134459990106,2.1724751428837169e-35,5.0643706656608084e-31,2.0494122888001881e-22,2.1373605728242037e-35,5.5671191020128331e-22,2.9318465276684737e-37,1.9214296904491024e-58,1.340776654854923e-47,2.4683186223286796e-51,8.4761351920396573e-51,5.8902201294605994e-38,5.1211347763795142e-27,6.9633275175591917e-43,3.1823981671219946e-62,9.9412731736023553e-58,3.4356890770043868e-44,1.3130006412503946e-59,5.1592901552020856e-103,1.7951932992554374e-74,8.4889865112596967e-74,4.3185642051514971e-92,1.1266142164595422e-67,5.5210789757701874e-71,4.1426828531287332e-65,2.3745945255495161e-51,1.2099860785919893e-46,2.3740532085914678e-76,2.9504801233942124e-89,5.187111214329617e-84,5.3965079228622268e-82,1.826395500577651e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981641,0.108803,0.0001,8.6172512495518685e-17,7.6013689571363171e-16,7.6013613434813324e-16,4.4245587258329508e-25,4.4293741263616207e-25,2.2838394942541196e-16,2.8318138538490412e-25,1.7556096436071297e-35,2.2336939038804654e-35,3.5187631679529021e-40,3.6043364286806228e-29,2.2970004200982112e-23,8.5110756351895154e-28,2.4449454099051287e-40,4.4091685270619004e-43,1.4047129296404711e-44,8.9134173336082529e-51,3.0645166250367013e-23,4.6201839284238211e-61,5.0809904057085979e-71,2.7529850751784826e-72,9.9357706467799142e-83,3.3600171868854965e-77,2.5127889615399455e-28
4.125846980906868e-19,0.002657134459990106,1.0370732798542627e-34,2.4382763187892643e-30,4.6843709344711151e-22,1.0290471080859457e-34,1.2724845481734946e-21,1.4115580932309339e-36,9.2508568529053786e-58,6.4510256172448157e-47,1.1883891647262973e-50,8.3177132021544538e-50,1.3463360292514847e-37,1.1705450919381855e-26,3.3525424542946033e-42,3.1244973923188456e-61,9.760400953548881e-57,1.6541363969114127e-43,1.2891118441315356e-58,2.3125751531086141e-101,4.0024289570063347e-73,1.892641055891241e-72,1.902178573427114e-90,2.5118149478403689e-66,5.4228250958411256e-70,4.4565091541353783e-64,1.1432650461705537e-50,1.1678331085903027e-45,2.3308595173911985e-75,1.3222892273002811e-87,2.3246593794698935e-82,5.2963076147772081e-81,4.0770130099030333e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999958049,0.108803,0.0001,1.9696574284682543e-16,1.7374557597978935e-15,1.7374540202457609e-15,2.1278279516295715e-24,2.1325529682155483e-24,5.2202031749304589e-16,1.3633963197904649e-24,1.7193090048369422e-34,2.176639642675401e-34,3.4547430348276129e-39,1.7353328358025699e-28,1.1059065739400879e-22,4.097716543836528e-27,2.4004013428045991e-39,4.3289478011481334e-42,1.3791545954079835e-43,1.7611399613072657e-49,1.4754325040271178e-22,1.8276976909285682e-59,4.0173838739224788e-69,2.176701187770255e-70,1.5696072917239893e-80,2.6566632350407193e-75,1.2097997178897067e-27
8.767424834427094e-19,0.002657134459990106,4.5111746099639361e-34,1.0648592930346773e-29,9.9542881872649911e-22,4.4941190570769895e-34,2.7040304418119429e-21,6.1646467589026315e-36,4.0400922284475843e-57,2.8136154952024505e-46,5.1900077019096152e-50,7.3494381214410493e-49,2.8609640607100592e-37,2.4874083211980857e-26,1.4641433693848979e-41,2.7635825605413196e-60,8.6329641117421858e-56,7.2240482279111316e-43,1.1402048778331806e-57,8.6901815708847828e-100,7.4865332346975171e-72,3.5401803022424321e-71,7.0863971914152838e-89,4.6983435030117807e-65,4.7973030560360397e-69,4.0962996969481535e-63,4.9929388171679483e-50,1.0242584074225073e-44,2.0616188456539737e-74,4.9685291461649014e-86,8.7349554649345217e-81,4.6833009157453461e-80,7.6441944343425695e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999910865,0.108803,0.0001,4.185522035491862e-16,3.6920934817606316e-15,3.6920897882350512e-15,9.2717057798235085e-24,9.3134190382970012e-24,1.1092925841231324e-15,5.9543085931632443e-24,1.5130120122150944e-33,1.8966415468517014e-33,3.0556813245635481e-38,7.5786543974695043e-28,4.8297823521789256e-22,1.7895804680992602e-26,2.1230200827328647e-38,3.828905297925374e-41,1.2198450402084731e-42,3.1338505315697082e-48,6.4435984356194419e-22,6.5229151783219054e-58,2.8714544880788453e-67,1.5558130854876736e-68,2.2452693142134237e-78,1.8988698997326162e-73,5.2835132048958723e-27
1.805058054146755e-18,0.002657134459990106,1.8797176394075968e-33,4.4455778327525913e-29,2.0494122538660828e-21,1.8762062236954606e-33,5.5671246998649336e-21,2.5736201046231884e-35,1.68665897517748e-56,1.1715322425777912e-45,2.1667260515147039e-49,6.1650852555386143e-48,5.8902201190181106e-37,5.1211347823556103e-26,6.1125103534811868e-41,2.3229576618923327e-59,7.2565265133030366e-55,3.0158979312007672e-42,9.5841098704095563e-57,3.0016792318989101e-98,1.2898129665399179e-70,6.0991787615725243e-70,2.437215647007557e-87,8.0945134169140157e-64,4.0327746621992874e-68,3.5044706339619619e-62,2.0844536682340138e-49,8.573704220839585e-44,1.7329148593795312e-73,1.7161237172947518e-84,3.017042377166562e-79,3.9424890161253806e-79,1.3232389834243849e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999816496,0.108803,0.0001,8.6172512495289671e-16,7.6013689009824585e-15,7.6013613089897704e-15,3.8532506657777196e-23,3.8881690752638647e-23,2.2838352393655828e-15,2.4858055140187975e-23,1.259017329781994e-32,1.5481923133112387e-32,2.5684844295521113e-37,3.1639390171374497e-27,2.0163372157223531e-21,7.4711461476702192e-26,1.7843451109607024e-37,3.2184255976182963e-40,1.0253505978075e-41,5.2856837044221631e-47,2.6900730470906926e-21,2.2039401668618012e-56,1.9419612950164558e-65,1.0521945628252357e-66,3.0381682225394568e-76,1.2842040683478902e-71,2.2057627518888717e-26
3.6616891955548454e-18,0.002657134459990106,7.6720375881719785e-33,1.8161635578309741e-28,4.1573790624684911e-21,7.6649144863168439e-33,1.1293323099075234e-20,1.0514089598094563e-34,6.8905522501281361e-56,4.7609376074961609e-45,8.8517829177784762e-49,5.0340241513452491e-47,1.1948732217197814e-36,1.0388587715221562e-25,2.4971599285572331e-40,1.904501040733016e-58,5.9493388602013401e-54,1.2320927126287729e-41,7.8576337083684985e-56,9.9369533500274419e-97,2.132143442397934e-69,1.0082333094416458e-68,8.0510455983767932e-86,1.3380749107813516e-62,3.3064609853119321e-67,2.8975640954500651e-61,8.5156733610295248e-49,7.0147080315743994e-43,1.4207482963399624e-72,5.6810723124471167e-83,9.9876440599693945e-78,3.2678576790922739e-78,2.2081971981202301e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999627775,0.108803,0.0001,1.7480709677562747e-15,1.5419919641552492e-14,1.541990428960377e-14,1.5600539093521581e-22,1.5884439038720203e-22,4.632913037803614e-15,1.0155317530056385e-22,1.0118909107961265e-31,1.1997948210991934e-31,2.1057988848181973e-36,1.2925723190334566e-26,8.237380389033282e-21,3.0522069569028756e-25,1.4626168789311079e-36,2.6386597308876846e-39,8.4064000757792323e-41,8.6817077609015473e-46,1.0989806065369263e-20,7.2460372593366814e-55,1.2774807332958775e-63,6.9216533305539575e-65,3.99803902734542e-74,8.4478895608590402e-70,9.0112605233528976e-26
7.374951478371027e-18,0.002657134459990106,3.0997155392547846e-32,7.341223210587467e-28,8.3733124329662769e-21,3.0982808829244259e-32,2.2745759429912612e-20,4.2499725957977111e-34,2.785271384501e-55,1.9043567567904649e-44,3.5780321929314939e-48,4.0438668730700012e-46,2.4065756339811634e-36,2.0923493623157065e-25,1.0093919715860403e-39,1.5423143240740599e-57,4.8179288620586444e-53,4.9803157504962788e-41,6.3633177497112079e-55,3.209731248817045e-95,3.4408136335639943e-68,1.6270682475358737e-67,2.5977818329371219e-84,2.1593605309070561e-61,2.6777307408309886e-66,2.3562510110644038e-60,3.4421713149585728e-48,5.6748377523216761e-42,1.150558799793636e-71,1.8350242977761701e-81,3.226074562063149e-76,2.7867581310584426e-77,3.6312692730923325e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999250317,0.108803,0.0001,3.5207626533468571e-15,3.1057020738492864e-14,3.1056990007250005e-14,6.1946194688524295e-22,6.420743977719065e-22,9.3310385866843787e-15,4.1049343653671459e-22,7.8834700116768118e-31,8.7528793622839142e-31,1.7053307705573049e-35,5.2247839280299609e-26,3.3296686888381184e-20,1.2337508351168325e-24,1.1839842253098429e-35,2.1368550246898043e-38,6.8076500892014287e-40,1.4073281060799385e-44,4.4422390886538763e-20,2.3502115829040663e-53,8.2886495026064918e-62,4.4909607914146985e-63,5.1886328012911317e-72,5.4812352035814627e-68,3.6424955482328777e-25
1.480147604400339e-17,0.002657134459990106,1.2460929894132211e-31,2.9518733628253197e-27,1.6805178187133858e-20,1.2458050327464812e-31,4.5650790221250736e-20,1.7089029080129642e-33,1.119945369254134e-54,7.4996197022291069e-44,1.4387110158477387e-47,3.2031711419353669e-45,4.8299804290056936e-36,4.199330560784243e-25,4.0587207416610615e-39,1.2413887523941405e-56,3.8778883082480935e-52,2.0025630681976148e-40,5.1217553426882104e-54,1.0167257580281688e-93,5.4461511927807616e-67,2.5753384242372757e-66,8.2244067609920127e-83,3.4178555375177172e-60,2.1553216259003563e-65,1.9004018183811135e-59,1.3840819372992607e-47,4.5652527981510594e-41,9.2606980881675419e-71,5.812652015873391e-80,1.021895740557994e-74,2.7281238614984971e-76,5.9657703189016492e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999998495417,0.108803,0.0001,7.066146024463329e-15,6.2331221450431586e-14,6.2331160468215595e-14,2.4055654024418294e-21,2.5817527115999835e-21,1.8727169494002137e-14,1.6505701455830302e-21,5.8960745233567174e-30,5.871129121001118e-30,1.3725989324400336e-34,2.1008625986001872e-25,1.3388353493438289e-19,4.9608577093332588e-24,9.5220036319514927e-35,1.7199267666836466e-37,5.4792753284317379e-39,2.2664130061105743e-43,1.7861917439616875e-19,7.5713699825755078e-52,5.341068650775283e-60,2.8939008983426397e-61,6.6872993285173424e-70,3.5320302289337096e-66,1.4646314131556052e-24
2.9654525175268115e-17,0.0026571344599901066,4.9968118830004115e-31,1.1838330849277811e-26,3.3668905748158063e-20,4.9962347111414728e-31,9.1461484322551107e-20,6.8535261004376666e-33,4.4914818033451554e-54,2.8870552805814101e-43,5.7698747155604163e-47,2.4908909440230418e-44,9.6767899010618201e-36,8.4132930252470234e-25,1.627728563035189e-38,9.9613630361520181e-56,3.1117611621018632e-51,8.0311736450670233e-40,4.1098919178062644e-53,3.1443334459233008e-92,8.4146780363057147e-66,3.9790748250220701e-65,2.5427927369840503e-81,5.280821795939065e-59,1.7295652558162652e-64,1.5265061161585655e-58,5.5507875403445607e-47,3.6623857447289086e-40,7.4311268431003764e-70,1.7976137838375006e-78,3.1602978889910236e-73,3.7551023720588794e-75,9.9153476288428778e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999996985618,0.108803,0.0001,1.4156912766437501e-14,1.248796173357078e-13,1.2487949749284029e-13,9.0253979689967648e-21,1.0353981471443604e-20,3.7518950559161561e-14,6.6194771541182695e-21,4.1412094914751076e-29,3.5228505037232442e-29,1.1014247852475444e-33,8.4253983496280456e-25,5.3692500683894414e-19,1.9895257176686783e-23,7.6284293003984062e-34,1.3801328195130287e-36,4.3965908915677639e-38,3.6379486696566276e-42,7.1633230689159119e-19,2.4309119952503879e-50,3.4298610938292612e-58,1.8583693707358724e-59,8.5889673358779649e-68,2.2681718738455263e-64,5.8738268265186116e-24
