Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719)
1.2559259403630555e-15,0.0029490951499836246,1.3784906773329699e-31,8.0584055340453941e-27,1.0545091705593776e-21,1.3784870777732724e-31,2.6016303000636401e-20,1.8918567889775e-32,1.0922974524956888e-57,3.335922286128345e-46,1.1722455163960688e-48,7.5828714567789336e-45,6.4040929863344211e-39,2.1182384950470664e-25,2.4149358926077555e-38,6.7235191186114873e-56,4.9493097644690045e-51,4.6801114175971068e-40,2.3529639602153524e-52,2.339923427129766e-94,5.0329906579195912e-66,1.4893455706916137e-66,1.3499054542940381e-81,2.5552651965169121e-58,1.8251134771092958e-66,1.3718342463578515e-58,1.406871048926433e-48,2.9509219122846893e-39,4.9497601155037275e-73,6.9929836780799545e-79,2.834511216212319e-72,6.5662327601573005e-75,5.7961596763519407e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999994787099,0.108803,0.0001,4.0369573714896566e-14,2.3748373005432198e-13,2.3748372970065921e-13,1.8766203833943854e-19,6.511634681302401e-19,5.9490076334533582e-15,4.9018723008794181e-19,1.4994825462021243e-26,8.8437480687215686e-27,6.5987342358014299e-31,1.5579773541092941e-23,3.0546125209092386e-18,3.8579982202011841e-22,1.8351707830613816e-31,7.2726626301897501e-35,3.3423417358467295e-37
2.512943041404098e-15,0.0029490951499836246,5.51753602100409e-31,3.2254438281775075e-26,2.1099204158797054e-21,5.5175090454438925e-31,5.2117578007654903e-20,7.5802516780718246e-32,4.3720287959242993e-57,3.8559248390725926e-46,4.6920367648901549e-48,3.1300859545454803e-44,1.2813734053036262e-38,4.2383174956148489e-25,9.6660373865553307e-38,5.3829032031403508e-55,3.9624563430494384e-50,1.8732642979665776e-39,1.8838409542086622e-51,2.2784714155541746e-93,2.4117380732793495e-65,7.1367253191357808e-66,1.3144505492077523e-80,1.224447009864461e-57,1.6401917517900694e-65,1.0985799856316642e-57,5.6311453537085477e-48,2.3625181956935028e-38,3.9628074157554142e-72,6.8094493342353662e-78,2.7600635116119474e-71,1.0891458533217023e-73,1.8565857978315275e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999989569658,0.108803,0.0001,8.0774220879058318e-14,4.7517275390134875e-13,4.7517248406429655e-13,4.2908257445208366e-19,2.606340285965698e-18,1.1896791130684421e-14,1.9615231126469001e-18,7.0812196307446171e-26,3.7513385344674271e-26,5.2830340048940748e-30,6.2359579679436343e-23,1.2220782304408641e-17,1.5442017826568237e-21,1.3622091868367474e-30,5.8225350759987704e-34,2.6759016158085052e-36
5.026977243486183e-15,0.0029490951499836246,2.2077183435062366e-30,1.2905828870112918e-25,4.2207006100258076e-21,2.2076969339513243e-30,1.0450731421890492e-19,3.0394057403832298e-31,1.7493749010095977e-56,4.1593124427058214e-46,1.8774256646791154e-47,1.2637088140590604e-43,2.5632968592176065e-38,8.4784759760707204e-25,3.8676742640616741e-37,4.3079580923984644e-54,3.1711679684242116e-49,7.4954977021557779e-39,1.5077078577340526e-50,2.0331737346702563e-92,1.064791320517463e-64,3.1508826697914117e-65,1.1729182423582054e-79,5.4059790446663315e-57,1.5991452038239325e-64,8.7930922004475339e-57,2.2531874277672099e-47,1.8907119140602809e-37,3.1714337564537041e-71,6.0764859962585704e-77,2.4628759203320952e-70,1.7621161118861353e-72,5.9439793544359806e-86,0.88129999999999997,0.0,0.0,0.0,0.009889999997913481,0.10880299999999998,0.0001,1.6158351511974003e-13,9.5054785484385778e-13,9.5054608061990626e-13,9.1805190188103927e-19,1.0428671551873245e-17,2.3773207014149927e-14,7.8446242422346627e-18,3.1034527614387492e-25,1.5456249645605944e-25,4.228087755248489e-29,2.4951865266057115e-22,4.885406423647257e-17,6.1787962099561993e-21,9.5067537260917562e-30,4.6597710007055149e-33,2.1415280685532264e-35
1.0055045647650353e-14,0.0029490951499836246,8.8321939984504073e-30,5.1630536878986984e-25,8.4420918198249444e-21,8.8320222925307099e-30,2.1003552147783192e-19,1.2210156348125336e-30,6.9985899199873155e-56,4.3263095903878586e-46,7.5109235255394932e-47,5.0679502606032075e-43,5.1271247294813905e-38,1.6958794862664863e-24,1.5473217539928434e-36,3.4470203006253917e-53,2.5374139828336217e-48,2.9986875362261172e-38,1.2064954684859449e-49,1.7265639401768216e-91,4.4919073667629649e-64,1.329218203416502e-64,9.9600157791183966e-79,2.2805555067354294e-56,1.7380348768650493e-63,7.036254785773347e-56,9.0141832584386798e-47,1.5128241920818327e-36,2.5376023662707112e-70,5.1603448435596494e-76,2.0913885041304704e-69,2.8284850766999204e-71,1.9025383737776302e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999995826515,0.10880299999999993,0.0001,3.2320210325053615e-13,1.901286313883181e-12,1.9012776254881226e-12,1.8974231452726079e-18,4.1720800952238757e-17,4.7449680597242448e-14,3.1351463913699604e-17,1.3018626137774985e-24,6.2707459594771107e-25,3.3832005117570262e-28,9.9823005941581405e-22,1.9508906953877766e-16,2.4719032576432972e-20,6.0424460224960971e-29,3.7284826016437365e-32,1.7135374575037661e-34
2.0111182455978694e-14,0.0029490951499836246,3.53307179169102e-29,2.0652949678971153e-24,1.688419758533585e-20,3.5329340368550279e-29,4.240867958605617e-19,4.9249138525489347e-30,2.7996247626680274e-55,4.4145983859994111e-46,3.004612649001055e-46,2.0286170777658098e-42,1.0254704320883215e-37,3.3919440405793964e-24,6.1897923632573978e-36,2.7578769820447024e-52,2.0301204091110308e-47,1.1995729414580219e-37,9.6544820801799895e-49,1.426170211135434e-90,1.8480889124202367e-63,5.4686970962858178e-64,8.2265258959687055e-78,9.3828055701726514e-56,2.1241904168585046e-62,5.6297158087273345e-55,3.6059398467257548e-46,1.2103222843164409e-35,2.030232267249954e-69,4.2628775547801939e-75,1.7273916806732683e-68,4.5297258643958711e-70,6.0888676577759615e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999916525951,0.10880299999999971,0.0001,6.4643927810986014e-13,3.8027164342191114e-12,3.8026781258016e-12,3.8562927827134271e-18,1.6689137821600631e-16,9.4499152483413599e-14,1.2515965609168985e-16,5.3348060430141586e-24,2.5223422339820201e-24,2.7069580690651373e-27,3.993189446870939e-21,7.7756228706908467e-16,9.8882782645566046e-20,3.4090764126280586e-28,2.9830021552379126e-31,1.3709435411497837e-33
3.0167319264307034e-14,0.0029490951499836233,7.5078202432462388e-29,4.3887179331949825e-24,2.5325626756647846e-20,7.5074260072842258e-29,6.4113285076172824e-19,1.0525251175634755e-29,5.9492882880756464e-55,4.4165082953411347e-46,6.3849530994483112e-46,4.3113856587109538e-42,1.538220776429025e-37,5.0880093786076721e-24,1.3153625999881824e-35,7.8859952086293871e-52,5.8050113166257297e-47,2.5491539665175478e-37,2.7609510862047378e-48,4.1130574576380701e-90,3.961069140763583e-63,1.1721150733086614e-63,2.3724017267900467e-77,2.0110472687767659e-55,7.4297889003410377e-62,1.6713819238429241e-54,7.6627668655569837e-46,3.4607643446347867e-35,5.8052677186576622e-69,1.2294750569898564e-74,4.9815241851341393e-68,1.7272139413765404e-69,2.9130969508752289e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999874786891,0.10880299999999937,0.0001,9.6967645156691609e-13,5.7040999244178049e-12,5.7040160402409816e-12,5.8151196977671228e-18,3.5464472513309259e-16,1.4124709399998385e-13,2.6559492554749125e-16,1.1417548943746246e-23,5.3644532448371838e-24,7.7406867179565441e-27,8.4856491471339221e-21,1.6481801407233968e-15,2.1012890060076509e-19,8.1734092972193781e-28,8.5296197603785655e-31,3.9201100394308297e-33
4.022345607263537e-14,0.002949095149983622,1.2807403560211414e-28,7.4865121974390335e-24,3.376637939365275e-20,1.2806571578444059e-28,8.6117360696870167e-19,1.8048732864250712e-29,1.0148824560152809e-54,4.5012512407588836e-46,1.089211318746447e-45,7.3550725473757285e-42,2.0509635060833452e-37,6.7840755070727421e-24,2.2438823746334234e-35,1.6634069515938798e-51,1.2244604283670763e-46,4.3486120332010275e-37,5.8244337536805853e-48,8.7176425720203744e-90,6.7876118544323948e-63,2.0085008523113661e-63,5.0280377974383223e-77,3.4460919000118647e-55,1.8412913097379058e-61,3.6419249025543869e-54,1.3071882525843558e-45,7.2996895931606647e-35,1.2245024093720612e-68,2.6060359977199855e-74,1.0557766874262245e-67,4.6475382063174673e-69,9.6415339985040495e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999833047935,0.10880299999999893,0.0001,1.2929136236217041e-12,7.6054369513207467e-12,7.6052913723549205e-12,7.7738989019604179e-18,6.0497729309500821e-16,1.87695437592837e-13,4.5249043582527236e-16,1.9549975306385841e-23,9.1500197260152437e-24,1.6328299483888078e-26,1.4475573039737582e-20,2.8050959708965634e-15,3.5845648024579994e-19,1.4969465160155324e-27,1.7991471005302998e-30,8.2687068842182835e-33
6.033572968929205e-14,0.0029490951499836185,2.6515686710544804e-28,1.5499310239939859e-23,5.064629706886466e-20,2.6513413103425019e-28,1.3082832547995799e-18,3.7692553780228886e-29,2.1011808584929198e-54,6.9889467788787044e-46,2.2551009516886724e-45,1.5228027572109671e-41,3.0764310945400744e-37,1.0176209639960412e-23,4.6457322074580158e-35,4.5433419493120664e-51,3.3444223432700696e-46,9.0033626817147684e-37,1.5912867831799028e-47,2.3923636916662461e-89,1.4102211941056618e-62,4.1729077538026046e-63,1.3796647573482247e-76,7.1597373840088893e-55,6.3856647168490796e-61,1.0571601285763047e-53,2.7063802839885567e-45,1.9937249216552802e-34,3.3444822352215066e-68,7.1526906943243993e-74,2.8969821719172715e-67,1.8798990390741988e-68,5.625677547487986e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999749570353,0.1088029999999978,0.0001,1.9393879644402457e-12,1.1408002473812306e-11,1.1407695170703841e-11,1.1691345504872458e-17,1.2525010222902069e-15,2.7989493285751299e-13,9.3480560094554377e-16,4.0624949120479684e-23,1.8924922966791437e-23,4.4603090795616033e-26,2.9969766257698621e-20,5.7851693516295383e-15,7.4213676144039081e-19,3.339988327468174e-27,4.9140011371992398e-30,2.2584477892928063e-32
8.044800330594872e-14,0.0029490951499836137,4.5095351925028571e-28,2.6359232213713458e-23,6.7523727383714673e-20,4.5090593302752057e-28,1.7664048313152348e-18,6.4631391471673304e-29,3.5735345413813243e-54,-2.380582733079396e-45,3.8353621596828729e-45,2.5902415438298904e-41,4.1018706820186222e-37,1.3568346735403878e-23,7.9012313290824476e-35,9.5062663330149631e-51,6.9976975672339958e-46,1.5312473389783057e-36,3.3303499029973933e-47,5.0320473147262832e-89,2.4233617388604299e-62,7.1705844003491989e-63,2.9015654857949882e-76,1.230348381460673e-54,1.6016877734935441e-60,2.3119162464941949e-53,4.602843602206192e-45,4.1714354447947309e-34,6.9977215806184407e-68,1.5046197872875841e-73,6.0926098489261376e-67,5.0922580915193429e-68,1.8717510788583613e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999666093256,0.10880299999999625,0.0001,2.5858623001021533e-12,1.5210398511483247e-11,1.5209868860997791e-11,1.5608617463969966e-17,2.1301213908726124e-15,3.7100857381597707e-13,1.5865943521867499e-15,6.9236374654753104e-23,3.2141280213665914e-23,9.3334548884400148e-26,5.0970371618523646e-20,9.8028930822031935e-15,1.2621713216280208e-18,5.9429259850304646e-27,1.0281640462036901e-29,4.7254225089821e-32
1.005602769226054e-13,0.002949095149983608,6.8893946186463633e-28,4.0269229369546678e-23,8.4398493070005661e-20,6.8885281478005956e-28,2.2363243763557315e-18,9.9565212829121875e-29,5.4595022172103934e-54,4.3108063953248636e-44,5.8595926976093339e-45,3.9526128859389642e-41,5.1272802692050234e-37,1.6960487049944748e-23,1.2071355432864551e-34,1.7305889570027737e-50,1.2739095774396994e-45,2.3394114140002367e-36,6.0643416535439261e-47,9.0090883245768727e-89,3.4286396848751116e-62,1.0148249986425527e-62,5.1952924924999806e-76,1.7407311583953255e-54,3.4191906015900941e-60,4.3375016842104534e-53,7.0320863742038719e-45,7.5937266996524616e-34,1.273895221644884e-67,2.6949636569256772e-73,1.0908861825597114e-66,1.1439763362504338e-67,5.0469633335079964e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999582616679,0.10880299999999428,0.0001,3.2323366302390971e-12,1.9012614060115908e-11,1.90117960306624e-11,1.9525703481794928e-17,3.2542501581286854e-15,4.609714408615958e-13,2.4188601038700569e-15,1.0592179314150174e-22,4.9022534807652119e-23,1.6993022050292174e-25,7.7870465830312516e-20,1.4920304814678653e-14,1.9282937673404253e-18,9.3589249677566504e-27,1.8717112357669913e-29,8.602418349868737e-32
1.4078482415591877e-13,0.0029490951499835925,1.3247297466727671e-27,7.7428227300953806e-23,1.1813986589441474e-19,1.3245009143701072e-27,3.2122949029980493e-18,1.9513286392686793e-28,1.049814724371117e-53,4.5036681591196392e-46,1.1267848228062829e-44,7.6088670147244215e-41,7.1780075633799335e-37,2.3744777843039356e-23,2.3212935191119446e-34,4.5693001294541001e-50,3.3635115265105972e-45,4.4986335600448218e-36,1.602178120238868e-46,2.3464918999675112e-88,6.7655392753997059e-62,2.0022528764998735e-62,1.3526382658519605e-75,3.4348855821700191e-54,1.2654409796407402e-59,1.186830950859984e-52,1.352230007757928e-44,2.0048000161103783e-33,3.3633385955905903e-67,7.0210853154075127e-73,2.8401824799921685e-66,4.4362059687049267e-67,2.9754060896653563e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999415665036,0.10880299999998908,0.0001,4.5252852735910708e-12,2.661649973410781e-11,2.6614895483799701e-11,2.7359313530177114e-17,6.2573564264161515e-15,6.3745647881382645e-13,4.6287780054854072e-15,2.0401650723415306e-22,9.3860057206154453e-23,4.4877949005230773e-25,1.497380950139473e-19,2.8443082771511005e-14,3.7079386155923106e-18,1.865056860091784e-26,4.941674399302622e-29,2.2712517184038039e-31
