Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719)
0.0,0.0029490951499836246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36395084748377e-18,0.0029490951499836246,2.4381868813897674e-37,1.4250285603658308e-32,1.1452174192029684e-24,2.4376826016120404e-37,2.8220239229543644e-23,3.3420135609582021e-38,1.9315842004155267e-63,1.3867023853678775e-50,2.0729583315078917e-54,1.3219011703311399e-52,6.9549314677864831e-42,2.3004326842887238e-28,4.2704885360500663e-44,2.2581793779240502e-64,1.6622888830193817e-59,8.2761460606175002e-46,7.9025645657079278e-61,3.7184328944673302e-107,4.0425931019807036e-76,1.1962722600742924e-76,2.1452756984922804e-94,2.0524372404538968e-68,5.3740556882949372e-75,3.0732101833779068e-67,2.4878641669068292e-54,9.9152907102972458e-48,1.6624441083574938e-81,1.1112727993579149e-91,4.5044831226184268e-85,1.4442141964797244e-87,-1.8387960408904026e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994322,0.108803,0.0001,4.3841848098893099e-17,2.5791095360741537e-16,2.5791092510432771e-16,1.1465308248181932e-24,1.1514995187952962e-24,6.4641604478846337e-18,8.6705257504289044e-25,1.5629842036463211e-34,2.3322674379875863e-34,2.2162543097119585e-39,2.7550795664408521e-29,5.4041540694349378e-24,6.822366946680253e-28,6.6850546240459732e-40,2.4426244602934186e-43,1.1225696270765157e-45
3.8190623729545565e-18,0.0029490951499836246,1.4725013487891647e-36,8.6071724120047463e-32,3.2066087334294548e-24,1.4723602758604697e-36,7.9016848359842429e-23,2.0185800550926856e-37,1.1666768533308414e-62,8.2990683554996131e-50,1.2520668321060917e-53,1.5645686636635091e-51,1.9473808064412394e-41,6.4412115164635452e-28,2.5793750759264077e-43,2.6809105572229848e-63,1.9734693611492443e-58,4.9987922208996487e-45,9.3819250254006182e-60,2.1227264817381689e-105,1.2596490223273204e-74,3.7275163310323974e-75,1.2246560786001304e-92,6.3952777291863035e-67,6.3859259101875883e-74,4.6442352286724545e-66,1.5026699542542854e-53,1.1768983727633359e-46,1.9736536361904894e-80,6.3439212964459245e-90,2.5714732538057841e-83,2.9480494264543582e-86,2.7857298940964561e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984157,0.108803,0.0001,1.2275717467681713e-16,7.2215066360532458e-16,7.2215058656107458e-16,6.896292246072408e-24,6.9550570409680749e-24,1.8099630931246298e-17,5.236995066766472e-24,1.8487977609490884e-33,2.7367745530579377e-33,2.6311371753338676e-38,1.6640680466235816e-28,3.2641063006599741e-23,4.1207096048669295e-27,7.9352900793499945e-39,2.8998837347234091e-42,1.332714657479234e-44
8.729285423896128e-18,0.0029490951499836254,7.089102686818262e-36,4.1439829164392638e-31,7.3293912005270051e-24,7.0887807727897768e-36,1.8061078068890665e-22,9.7186333825563841e-37,5.6170467989277491e-62,3.9184856095272728e-49,6.0281628261258689e-53,1.5248578848967973e-50,4.4511561076105153e-41,1.4722769182633668e-27,1.2418580665116105e-42,2.63213388212682e-62,1.9375639196561345e-57,2.4067032748575579e-44,9.2112303726211123e-59,9.3435525694966517e-104,2.7575900762874574e-73,8.1601793919279913e-74,5.3904643427758043e-91,1.4000371602339658e-65,6.2750009914119183e-73,4.9960563299957688e-65,7.2347089588991365e-53,1.1553588563849144e-45,1.9377448239973722e-79,2.7923727603333299e-88,1.1318726935142296e-81,8.274004045306707e-85,1.294317887261479e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999963774,0.108803,0.0001,2.8058782783233082e-16,1.6506300578459056e-15,1.650629894550395e-15,3.291334109000711e-23,3.3485605218341271e-23,4.1370498606877734e-17,2.5213851588124347e-23,1.8009654688035457e-32,2.6213687723543709e-32,2.5832661576763715e-37,8.0117712073561027e-28,1.571523867480535e-22,1.9839442619184181e-26,7.7883598742262516e-38,2.8471229950917651e-41,1.3084671455875171e-43
1.8549731525779273e-17,0.0029490951499836246,3.0959248859620212e-35,1.8097861308311645e-30,1.5574955489300472e-23,3.0958566635926646e-35,3.8380150162079013e-22,4.2444170934392904e-36,2.453111876747777e-61,1.6451024206673678e-48,2.6326570790391541e-52,1.3279772812471506e-49,9.4587066373254454e-41,3.1285884522255902e-27,5.4235204431421918e-42,2.328092609812583e-61,1.7137533418160034e-56,1.0510705501427326e-43,8.1472302722595993e-58,3.3857774727859877e-102,4.9713217455714381e-72,1.4710988848409381e-72,1.9533032307326688e-89,2.5239556956375078e-64,5.5569515140565682e-72,4.592236511338876e-64,3.1595874521748712e-52,1.021847097050231e-44,1.7139133176491839e-78,1.0118559724991366e-86,4.1015009796601055e-80,2.6887852801905724e-83,4.7547296020995234e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999923008,0.108803,0.0001,5.9624913414202091e-16,3.5075887450634316e-15,3.5075884508323482e-15,1.4126038984426265e-22,1.4624043074415956e-22,8.7911940795619672e-17,1.1011529172332096e-22,1.5682487612585562e-31,2.2097926245943835e-31,2.2848697813310198e-36,3.4989508733150509e-27,6.8632329305774455e-22,8.664405549483477e-26,6.8841753478932519e-37,2.5182479553335806e-40,1.1573243581071791e-42
3.819062372954556e-17,0.0029490951499836246,1.2924731063083095e-34,7.5555001631642519e-30,3.206608148516128e-23,1.2924590989655621e-34,7.9019436857870113e-22,1.7719894705873747e-35,1.0241258910426633e-60,6.3423515377989028e-48,1.0990825055814641e-51,1.0800314800765616e-48,1.9473807406260835e-40,6.4412115230628791e-27,2.2642130239365107e-41,1.9569021150332226e-60,1.4405129402917365e-55,4.3880126453381673e-43,6.8482401716923685e-57,1.0870245828113577e-100,7.9512136437912273e-71,2.3528996696667335e-71,6.271177171770288e-88,4.0368561904799253e-63,4.6814124305183e-71,3.9287550176131392e-63,1.3190655454560154e-51,8.5890141828407344e-44,1.4406473557682092e-77,3.2486214401733978e-85,1.3168099116064177e-78,8.7334491405356885e-82,1.6243238445272522e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999841493,0.108803,0.0001,1.2275717467560519e-15,7.2215057276767006e-15,7.221505324609529e-15,5.6997480118134905e-22,6.1052497161682909e-22,1.8099365253779259e-16,4.5970780863562127e-22,1.2784975622266897e-30,1.6973981005207021e-30,1.9205709198973999e-35,1.4607430302801905e-26,2.8652440240284012e-21,3.617218537089619e-25,5.7789399530266057e-36,2.1167389916058482e-39,9.7280083308966217e-42
7.747240813707814e-17,0.0029490951499836246,5.2801447538474967e-34,3.0866677942871643e-29,6.5048323150141836e-23,5.280116190132055e-34,1.6030258028643394e-21,7.2393912286729844e-35,4.183888200987162e-60,2.2078864972460514e-47,4.4901106492516351e-51,8.2439905144252946e-48,3.9504007782153795e-40,1.3066457676389219e-26,9.2500490065989572e-41,1.6043865823015769e-59,1.1810195325585112e-54,1.7926463446996556e-42,5.6146046864048379e-56,3.1082511001318555e-99,1.1322999981054185e-69,3.3506685934196638e-70,1.7931834190980906e-86,5.7487227253684938e-62,3.8548927000390534e-70,3.2483706215543028e-62,5.3888129965723644e-51,7.0416999827333243e-43,1.1811296461749302e-76,9.2891389331313228e-84,3.7652963270138608e-77,2.689830994693527e-80,5.3667042698818989e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999678447,0.108803,0.0001,2.4902169719627169e-15,1.4649338219732474e-14,1.4649338117017196e-14,2.1813786641313996e-21,2.494193398098251e-21,3.6715238559907362e-16,1.8780412255633528e-21,9.8846178531946341e-30,1.1857275495067626e-29,1.5746003938179912e-34,5.967611265033611e-26,1.1705288226573372e-20,1.4777516277566751e-24,4.7254686586032903e-35,1.7354302742577758e-38,7.9756085801212593e-41
1.560359769521433e-16,0.0029490951499836246,2.1343126778113747e-33,1.2476800275612513e-28,1.310127651731662e-22,2.1343066192921943e-33,3.2288714728640135e-21,2.9264685247501261e-34,1.6911943211482129e-59,6.5253593586131313e-47,1.8149745087830987e-50,5.7316228373506921e-47,7.956440388602894e-40,2.6316950029652077e-26,3.7390177115463921e-40,1.2992738466015905e-58,9.5642022447731341e-54,7.2461631589322699e-42,4.5468583395417975e-55,7.5512493582029874e-98,1.3665911953469052e-68,4.043975816961847e-69,4.356384989885229e-85,6.9382265072191818e-61,3.1488403975366087e-69,2.6415210391487819e-61,2.1782442459067494e-50,5.7025124053941191e-42,9.5650925429896812e-76,2.2567204422533578e-82,9.1474682842236111e-76,7.5453934565960982e-79,1.7447127920831251e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999352353,0.108803,0.0001,5.015507422290459e-15,2.9504997913701877e-14,2.9504999881247457e-14,7.8176268204940332e-21,1.0081925918241492e-20,7.3945109097476142e-16,7.5912204130300616e-21,7.1821096032686421e-29,7.3904991758508524e-29,1.2751527375085388e-33,2.4122034083705838e-25,4.7313284177191074e-20,5.9733070802818695e-24,3.806785900674694e-34,1.4053960644315342e-37,6.4588539798005817e-40
3.131631145822736e-16,0.0029490951499836246,8.581962238926116e-33,5.0168629254769747e-28,2.6294148399169116e-22,8.581946881352379e-33,6.4812940182042235e-21,1.1768735981175684e-33,6.8002165017089249e-59,1.4934030889050035e-46,7.2979326233930558e-50,3.4350748904366041e-46,1.5968517750214045e-39,5.2817934922643838e-26,1.5034425830635738e-39,1.0457686191593866e-57,7.6981018243126875e-53,2.9136503478163249e-41,3.6597166506201149e-54,1.44038312162628e-96,1.288055111528046e-67,3.811573489461367e-68,8.3096702036126596e-84,6.5394963380357882e-60,2.5779461057458173e-68,2.1304824093543861e-60,8.7586232886751372e-50,4.5898602033201297e-41,7.6988161111289795e-75,4.3046365826335181e-81,1.7448518213159979e-74,1.8252818856524272e-77,5.6271446126802556e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998700167,0.108803,0.0001,1.0066088322603592e-14,5.9216299356439066e-14,5.9216308127381215e-14,2.5529165900375001e-20,4.0538959983113475e-20,1.4839734663009576e-15,3.0522980116048089e-20,4.7881278174179204e-28,4.054297170885012e-28,1.0263546880587961e-32,9.6993604171482333e-25,1.9023367965376384e-19,2.4018396134491298e-23,3.0322864110403368e-33,1.1311844792309819e-36,5.1986465841551407e-39
6.274173898425342e-16,0.0029490951499836254,3.4417455302956366e-32,2.011983537993966e-27,5.2679826072045182e-22,3.4417395918140596e-32,1.2989063927540262e-20,4.7210205172402989e-33,2.7271897754471999e-58,2.5193238055533317e-46,2.9267973491625501e-49,1.7246071965630465e-45,3.1992665036784301e-39,1.058199054546952e-25,6.0294772377369521e-39,8.3916344571359388e-57,6.1772415689691936e-52,1.1685041148115409e-40,2.9367073634026341e-53,2.066454952042287e-95,9.071065443093978e-67,2.684281038958278e-67,1.192146450989832e-82,4.6054084733085027e-59,2.1384056004583981e-67,1.7113193247517903e-59,3.5125988584607332e-49,3.6830628810319878e-40,6.1778110436913906e-74,6.1756760500192722e-80,2.5032511317089704e-73,3.7024637055951196e-76,1.8077583806108073e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997395811,0.108803,0.0001,2.0167250121860459e-14,1.1863884333476626e-13,1.1863886349045002e-13,7.3839929787756343e-20,1.625791954664199e-19,2.9727181357389819e-15,1.2240293093665455e-19,2.8509283292643272e-27,1.9773102152411878e-27,8.235863329000052e-32,3.889875020108168e-24,7.6283428370486163e-19,9.6324450937092697e-23,2.3837699768534319e-32,9.0770352512137429e-36,4.1715848834453075e-38
