Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920)
0.0,0.0022816465795509546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6686638381450057e-18,0.0022816465795509546,3.8638385474838519e-37,2.3086750315056493e-32,1.1872694251794954e-24,3.8632164369021122e-37,3.9915625750036624e-23,7.3452226039522266e-38,2.8690703728684463e-63,2.0687366135465232e-50,4.0122089876737184e-54,3.1578062683199758e-52,6.598769573242934e-42,3.2432071705769381e-28,9.1204074967607824e-44,6.8894682826036609e-64,3.9942514580905952e-59,1.7299694570007503e-45,7.213525762409917e-60,1.1885027121891588e-89,9.8344719314423487e-59,3.1473293130979181e-76,1.6392522234467143e-47,7.8307756147005152e-68,1.2688339292246888e-37,1.2790000242095501e-55,3.7330918904060855e-54,2.4776175604512735e-47,3.6852889706431454e-81,4.4865346572300033e-91,2.6897265726108754e-57,3.3284486676740863e-72,2.7569092220665763e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991807,0.108803,0.0001,5.0412396939668261e-17,3.807297274558813e-16,3.8072969716754249e-16,2.6654182794844563e-24,2.6792252216289205e-24,6.9539024127430375e-18,2.0249366068318278e-24,4.3310334592457522e-34,6.4766731176160778e-34,9.0000946743567464e-39,6.2325568852346894e-29,7.0853746552742259e-24,1.5466527116279861e-27,2.3379433222158914e-39,6.3538550200318669e-43,2.7938016249744247e-45,6.5466086197076086e-51,6.2145746317617526e-24,2.5669764068314702e-60,4.3575592577027497e-69,2.2484086806372324e-71,1.3489875746841844e-80,5.7633002936159588e-76,6.0507918450155959e-29,1.2688339218526688e-37,6.7483446316128084e-46,7.8760005783986716e-47,8.8029101177292684e-24,6.7011814242277192e-53,1.7589150818405945e-61,3.1677614062393705e-38,4.9202384608799035e-72,1.2822025375408275e-28,5.2746634019528728e-35,9.6557943103483116e-44,5.1354900620763009e-52,3.3974234549924962e-52,3.1561541043443256e-53,1.7574637595750417e-61,1.5490295415693935e-38,1.0900644489280901e-46,3.6794716106754531e-56,1.0422634651538914e-48,1.7604196509522247e-56,8.3424364341881886e-46,4.6327317183667566e-50,7.4258747487152414e-38,2.6108784002124052e-46,7.6450947147832775e-61,2.483624347965311e-70,2.6120141089826683e-46,4.0302751048612954e-47,1.6187982148043068e-48,1.139054121145483e-56,1.0879693334595202e-58,8.6096115408986781e-57,4.107336990913475e-59,1.8155060914341342e-74,6.7786379177161515e-82,4.8377046921827608e-81,9.2905972930091968e-53,6.537560013442982e-61,4.9412577581160294e-61,6.2470003950243927e-63,6.455934773887604e-76,2.4804447426965135e-38,2.6611258823275699e-82,4.9856274218190132e-67,1.3579936092145724e-75,2.4884422339760709e-83,4.7781543411680965e-84,4.3045148604173801e-93,6.7532162976829714e-95,1.504000278373884e-105,7.304247416079199e-115,8.7044325283146007e-46,1.1831386802297811e-53,5.0487814192809544e-55,2.7683170962629907e-107
4.672258746806016e-18,0.0022816465795509546,2.3335566179695231e-36,1.3944396971341791e-31,3.3243543285586968e-24,2.3333826921226999e-36,1.1176415594325965e-22,4.4365280238312094e-37,1.7329184962772191e-62,1.2312767630086009e-49,2.4233877749373736e-53,3.7313789168894012e-51,1.8476554737824334e-41,9.080980077666376e-28,5.508726128070084e-43,8.1792186146148925e-63,4.7419753277373549e-58,1.0449015520310009e-44,8.5638979669066428e-59,4.9043819119070591e-88,2.1999283896277113e-57,9.7528138039356078e-75,1.9461168656613409e-46,2.426919282096623e-66,1.5063596285702591e-36,2.8610718713380169e-54,2.2547874962348809e-53,2.9410600583537399e-46,4.3751750330748664e-80,2.5473497139088503e-89,6.0168007887472115e-56,1.37349144718805e-70,3.1357852769298425e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977062,0.108803,0.0001,1.4115471143095454e-16,1.0660432217590984e-15,1.0660431433878269e-15,1.6019346707317603e-23,1.6182520166994509e-23,1.9470882598016362e-17,1.2230610107628615e-23,5.119853202518167e-33,7.5850483632847983e-33,1.0684912658239278e-37,3.7644643158307193e-28,4.279558193131984e-23,9.3417822676905691e-27,2.7750958036847926e-38,7.5432965818909456e-42,3.3167944092175268e-44,1.46444725942693e-49,3.7535959742635335e-23,1.0592679518479349e-58,3.2802555776209424e-67,1.6925427014090525e-69,1.8413578999494602e-78,4.3384621669670635e-74,3.6546782420536592e-28,1.5063596119073352e-36,1.5095705670677926e-44,1.7618284568505384e-45,2.4647732663499366e-23,1.4990274950993495e-51,3.9170081478843617e-60,3.7607598233277923e-37,3.7038256316179356e-70,7.744393794050507e-28,3.7236820038416195e-34,1.3235403687460115e-42,1.3184310155701697e-50,8.7221865868833722e-51,8.1027891743522446e-52,8.277814921584334e-60,9.3561382827227596e-38,1.2941245065909435e-45,8.1837965272654106e-55,1.2373735815636323e-47,3.918769314463698e-55,9.9035217859137027e-45,1.0362043442501194e-48,8.815993822843327e-37,5.8367568631655787e-45,3.1544156347521448e-59,1.8693361674853259e-68,5.8414393249828965e-45,9.0155596269607005e-46,2.2189213140983209e-47,2.9240612953148598e-55,2.7904777582887524e-57,2.210326940473437e-55,1.0544749562866567e-57,1.3665176595648128e-72,9.2517383705963433e-80,3.6412992347988379e-79,1.1029654451786928e-51,1.4623498819068124e-59,1.1053237409966456e-59,1.3966227249002699e-61,2.6524222726810398e-74,1.498188624595302e-37,2.8802598209088342e-80,2.0573315514056254e-65,1.0222629085406435e-73,3.3967087951832913e-81,6.5221518213168624e-82,1.061914339633883e-90,1.6660112044840301e-92,6.6936745416639372e-103,5.858769831487494e-112,1.193135168852198e-44,3.0372426311412981e-52,7.2089538499031912e-54,1.2320618527909819e-104
1.0679448564128037e-17,0.0022816465795509546,1.1234629283209381e-35,6.7136266648998977e-31,7.5985238875408374e-24,1.1234232868787169e-35,2.5546283170228256e-22,2.1360110842428315e-36,8.3432565101905995e-62,5.7455691590939231e-49,1.166775881054026e-52,3.6215829219471112e-50,4.2232124802297902e-41,2.0756525892049073e-27,2.6522145000984018e-42,8.0305260952605156e-62,4.6556994892961451e-57,5.030751180996312e-44,8.4080861719413084e-58,1.9401178755314343e-86,4.3466720230297299e-56,2.1108490407462816e-73,1.9107019322423253e-45,5.2552241304822158e-65,1.4789527900678615e-35,5.652995787267516e-53,1.0855831138008767e-52,2.887359699634696e-45,4.2955727222387875e-79,1.1087234286195129e-87,1.1888141350280013e-54,5.4333762033817964e-69,2.8388144446028613e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999947589,0.108803,0.0001,3.2263934041306076e-16,2.4366701505226655e-15,2.4366700011032305e-15,7.6325352292172952e-23,7.7911866870651667e-23,4.4504666339152672e-17,5.8885051575825293e-23,4.9808135853877675e-32,7.2355576467335376e-32,1.0490510990065436e-36,1.8124274782792896e-27,2.0604148018189845e-22,4.4976659205168972e-26,2.7235247704318411e-37,7.4060531090970213e-41,3.2564338463244701e-43,2.893488453922667e-48,1.8071876479755645e-22,4.1903407522450785e-57,2.5935884251641677e-65,1.3382369325937261e-67,2.9088818615268884e-76,3.4302799410464683e-72,1.7595702200268518e-27,1.4789527569515963e-35,2.9826262095026103e-43,3.4810702194885263e-44,5.6335715177750624e-23,2.9618257777965569e-50,7.6537690384280664e-59,3.6923224888914711e-36,2.9284911130038912e-68,3.7284806847246249e-27,2.3405273858250414e-33,1.6747982705664386e-41,3.3385267776113651e-49,2.2086312197494658e-49,2.0517941472838524e-50,4.1646755703641113e-58,4.5045776852677641e-37,1.2705790996572532e-44,1.597004007263494e-53,1.2148573219913545e-46,7.6609875088527162e-54,9.7220259970583031e-44,2.0470332828017724e-47,8.6555851046987041e-36,1.1516593808933575e-43,1.2476548955066772e-57,1.4776730052569834e-66,1.1535081632560884e-43,1.7813206806587834e-44,2.8078067312190116e-46,7.4030540674268966e-54,7.0513677974907398e-56,5.5969107266861026e-54,2.6701455163991985e-56,1.0802918378174781e-70,1.4611706757677869e-77,2.8786033264497529e-77,1.0828677987867186e-50,2.8890277293318356e-58,2.1838648945876524e-58,2.7560108863418633e-60,1.0378525485454407e-72,7.2131333118605876e-37,2.6645506331296793e-78,8.138585347890915e-64,8.0827116218330783e-72,5.3659582578237646e-79,1.0303382641974149e-79,3.3521078268468834e-88,5.2590930905974285e-90,4.2231792007155788e-100,7.3894826424974416e-109,1.5097844697533117e-43,7.689669918353119e-51,9.3316642476485293e-53,7.7733358175708097e-102
2.2693828198772078e-17,0.0022816465795509546,4.906368188967751e-35,2.9320169532002247e-30,1.6146862014394465e-23,4.9062843414721676e-35,5.4286664471022716e-22,9.3286429749396881e-36,3.643719235030852e-61,2.354952969265512e-48,5.0958761984568031e-52,3.1246990539581177e-49,8.9743263907158711e-41,4.4107617521629948e-27,1.1582917521313816e-41,7.103240818839184e-61,4.1179134616990931e-56,2.1970612104303219e-43,7.4368576445242906e-57,6.9240939237552662e-85,7.7346142966979236e-55,3.7182087934598906e-72,1.6899815076895487e-44,9.2670231781092967e-64,1.3081169482169409e-34,1.0059203612378081e-51,4.741026634901772e-52,2.5537547653077547e-44,3.7993853031555016e-78,3.9271097289694228e-86,2.1154158298679465e-53,1.9391194985539597e-67,2.1515686464635535e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999888626,0.108803,0.0001,6.8560859837540779e-16,5.1779237735109813e-15,5.1779235776333838e-15,3.264977573397845e-22,3.4026157655254059e-22,9.457152731375366e-17,2.5716586484904551e-22,4.3259762225209369e-31,6.0531070425775791e-31,9.2787387902688566e-36,7.9153465901224432e-27,8.9983002844837926e-22,1.9642487752148317e-25,2.4070064790633373e-36,6.5505697416914895e-40,2.8802529354606564e-42,5.1487632371264832e-47,7.8923996821115837e-22,1.4954900126722376e-55,1.8537727608285699e-63,9.5650765261533275e-66,4.1610253448393034e-74,2.4518039734091259e-70,7.6845051419648973e-27,1.3081168891184393e-34,5.3073137012179465e-42,6.19435730602528e-43,1.1970503059527541e-22,5.2704109158112102e-49,1.3296791038072108e-57,3.2657928666211927e-35,2.0931451675658317e-66,1.6282274612572501e-26,1.5033791302182153e-32,2.1489805792242047e-40,8.5629524582157264e-48,5.6649050907739627e-48,5.2626689077138538e-49,2.114023415935089e-56,1.9672672906354048e-36,1.123812798991122e-43,2.7729165737368348e-52,1.0745214997169604e-45,1.3348700505875309e-52,8.5966915377203258e-43,3.6415736637485215e-46,7.6557493839242315e-35,2.0436712469299636e-42,4.4515704045335868e-56,1.0557218783323051e-64,2.0502440887895621e-42,3.1697579122738498e-43,3.6027754310916235e-45,1.8981629488847119e-52,1.8011118478916429e-54,1.4355087984657372e-52,6.8486756679602877e-55,7.7193722187649316e-69,2.0890769130768373e-75,2.05694274238436e-75,9.5773055801975301e-50,5.1396938380591128e-57,3.8858258244003218e-57,4.8917770748515666e-59,3.617720117239655e-71,3.150164823327018e-36,2.0397569788753038e-76,2.9045935075821304e-62,5.7771645108218143e-70,7.6758021297618385e-77,1.4738599257062984e-77,9.5930733872549328e-86,1.5050798626591346e-87,2.4176230975906619e-97,8.4611246965512658e-106,1.9372467032135298e-42,1.9716861938392128e-49,1.2110619155586248e-51,4.4499642187874519e-99
4.6722587468060156e-17,0.0022816465795509546,2.0482940597274159e-34,1.2240591989138077e-29,3.3243534303614307e-23,2.0482768999698043e-34,1.1177001166825208e-21,3.8946262546959714e-35,1.5211809872530047e-60,8.64835360502946e-48,2.127799852540966e-51,2.4879120386723825e-48,1.8476553829784108e-40,9.0809800784055316e-27,4.835640055186337e-41,5.9716526622905906e-60,3.4613543664891714e-55,9.1722980613723029e-43,6.2511280365164187e-56,2.339461747404339e-83,1.3045367441752304e-53,5.6751846014277265e-71,1.4205098993327418e-43,1.418131380793814e-62,1.0995510375663608e-33,1.6966315986278273e-50,1.9792853140707789e-51,2.1465506717684854e-43,3.1936120694546105e-77,1.2042332926401838e-84,3.5679060045243691e-52,6.5517527410401797e-66,1.4960673319423599e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999770716,0.108803,0.0001,1.4115471142926408e-15,1.0660430117310076e-14,1.0660430175091171e-14,1.3091099811071563e-21,1.4205249732773668e-21,1.9470242331202482e-16,1.0736116355867988e-21,3.5092890707992238e-30,4.5881518082217196e-30,7.799340063305942e-35,3.3045010831963713e-26,3.7565526689838233e-21,8.2003511914371043e-25,2.0200108982033982e-35,5.5061479732134462e-39,2.4209825310673772e-41,8.6839903434132809e-46,3.2948683810482919e-21,5.0528359852804186e-54,1.2536860454683058e-61,6.4687556367594767e-64,5.6303763463788669e-72,1.6581336281789246e-68,3.2081293851428145e-26,1.0995509377489037e-33,8.9511881524924497e-41,1.0447617584781603e-41,2.464170685706653e-22,8.8893190021904819e-48,2.1284916742865506e-56,2.7450543664440643e-34,1.4155709726517643e-64,6.7967101723447107e-26,1.0297254388237475e-31,2.9293185873082304e-39,2.3290409174589725e-46,1.5408052366523299e-46,1.4314190899818383e-47,1.1257790245104297e-54,8.2129526164171829e-36,9.4463233152026982e-43,4.460408587788657e-51,9.0318990066618436e-45,2.1613926198174434e-51,7.2221195040777872e-42,6.1387754443914596e-45,6.4350890311547648e-34,3.4280534590057166e-41,1.5032962287996709e-54,7.1338488878261893e-63,3.4500919286392354e-41,5.3462362006961643e-42,4.9110154274030515e-44,5.1593572870411048e-51,4.8587047611634945e-53,3.9042454215447473e-51,1.8628031545858397e-53,5.2178985691048577e-67,2.8239057941272161e-73,1.3903846622689641e-73,8.0493983926668865e-49,8.664876183547602e-56,6.5531862917554875e-56,8.2091642286665566e-58,1.1611678362284285e-69,1.315131802669919e-35,1.4250304172176684e-74,9.8138987903082049e-61,3.9070723880321465e-68,1.0386404722791902e-74,1.994332116970609e-75,2.5965618395388637e-83,4.0739739596168182e-85,1.3089434155594112e-94,9.1624609669476374e-103,2.6406997653888415e-41,5.3593845089238482e-48,1.6602758026266483e-50,2.4092884621430685e-96
9.478010600663633e-17,0.0022816465795509546,8.3679124774540867e-34,5.0006799029994761e-29,6.7436863023746035e-23,8.3678779060562813e-34,2.2674704444282585e-21,1.5911648072197397e-34,6.2145201409262573e-60,2.7381658430703179e-47,8.698330179763541e-51,1.8118545977399557e-47,3.748100740205629e-40,1.8421416732197364e-26,1.9755167458022461e-40,4.8987703369263531e-59,2.8378274014843623e-54,3.7471830429421384e-42,5.1250542155555499e-55,7.6914207508249977e-82,2.1426430751678416e-52,7.379884881041957e-70,1.1645847679432428e-42,1.8574643097939725e-61,9.0147824579430657e-33,2.7867221044379106e-49,8.0860280201207151e-51,1.7598578770092492e-42,2.6183157846121767e-76,3.1502089030536807e-83,5.8601255404282768e-51,2.1540112910580284e-64,9.975824834671988e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999534898,0.108803,0.0001,2.8634241460972613e-15,2.1625439446658679e-14,2.1625441147597348e-14,4.9529720947196659e-21,5.8033069753927461e-21,3.9495291214285235e-16,4.3860111786731555e-21,2.6887489838225069e-29,3.139575681438736e-29,6.3943718732488819e-34,1.3499962800490584e-25,1.534624844031619e-20,3.3501104294426329e-24,1.6508657314475693e-34,4.5142718377320458e-38,1.9847962370528646e-40,1.4262982811171997e-44,1.3460178309542477e-20,1.6612048675356262e-52,8.2468843999427903e-60,4.2552184750238407e-62,7.4090071411812668e-70,1.0907459689266251e-66,1.310625334879639e-25,9.0147808173943159e-33,1.4701131011724305e-39,1.7160008701037924e-40,4.9973481773806491e-22,1.4600735299428757e-46,3.1193819148334178e-55,2.2504936659389161e-33,9.3117813769401701e-63,2.7760088368457469e-25,7.4916159766481039e-31,4.2426047666581919e-38,6.7310562889299818e-45,4.4530430153022422e-45,4.1370163496111455e-46,6.2505506056989409e-53,3.3552582917832e-35,7.7446659808035255e-42,6.7041654909857386e-50,7.4047298764424113e-44,3.2866615119660741e-50,5.914713636986183e-41,1.0072343107821042e-43,5.2758262689546626e-33,5.569501390287815e-40,4.937387897476043e-53,4.6850562588064098e-61,5.6408631823546967e-40,8.781130859649407e-41,7.1127451069001574e-43,1.4890867552171971e-49,1.3815695553773627e-51,1.1282324812620888e-49,5.3837809999308041e-52,3.428979419908956e-65,3.708442452710543e-71,9.1369765519512084e-72,6.5979010897036454e-48,1.4219061469317146e-54,1.0760912415198131e-54,1.3349098788815505e-56,3.4135475095317733e-68,5.3727425312516634e-35,9.5239219159153621e-73,3.2265516753652301e-59,2.570167499393076e-66,1.3667737946691214e-72,2.6243906929636822e-73,6.8339243482431972e-81,1.0723223153754514e-82,6.8909769340919187e-92,9.6474703344083834e-100,3.8245906138874454e-40,1.5469249349172772e-46,2.4115539961334398e-49,1.2683781001237128e-93
1.9089514308378867e-16,0.0022816465795509546,3.3824358506713339e-33,2.0213536993571717e-28,1.3582345702791462e-22,3.3824293090101214e-33,4.5674246349416782e-21,6.4324128025285019e-34,2.5120079703768512e-59,6.8740019013967536e-47,3.5246057254580067e-50,1.1525887569556006e-46,7.5489911095658639e-40,3.7102290045018732e-26,7.9853545465759792e-40,3.9759396565338144e-58,2.2981461496720904e-53,1.5146712983855477e-41,4.1504046528992795e-54,2.4945527191860883e-80,3.4731143221434799e-51,7.6269783047468211e-69,9.4305413956817227e-42,1.9684879497449626e-60,7.3004025034284369e-32,4.5173953517164026e-48,3.2685080064062388e-50,1.4251726996278255e-41,2.1203794603828033e-75,6.5774922804353216e-82,9.4989623691263258e-50,6.9860839952171506e-63,6.5161152841373229e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999063262,0.108803,0.0001,5.7671782095871215e-15,4.3555446215634471e-14,4.355545420297767e-14,1.7412198091713479e-20,2.3457886222047965e-20,7.9540868224514141e-16,1.7728614177748067e-20,1.9240027787891895e-28,1.9048048167098955e-28,5.1783308386513995e-33,5.4568990712812859e-25,6.2027988757558107e-20,1.3541677576139286e-23,1.3284702357979111e-33,3.6557729567082138e-37,1.6072236387406282e-39,2.3119297302679477e-43,5.4404683470759868e-20,5.3877080945383209e-51,5.3504951755175206e-58,2.7607427307609943e-60,9.6148093009476971e-68,7.076746440817897e-65,5.2977555567364807e-25,7.3003998434872554e-32,2.3827204652788317e-38,2.7816353155632322e-39,1.0059453658816028e-21,2.3668428064800625e-45,4.0098474724602288e-54,1.8223983895532481e-32,6.0413897683230077e-61,1.1215666253074113e-24,5.6821220868573566e-30,6.4156293417649893e-37,2.0324645118805972e-43,1.3446297546182096e-43,1.2492680594300559e-44,3.5030264541881855e-51,1.3562484193033761e-34,6.2718305248513549e-41,9.285300601500153e-49,5.9962725751063921e-43,4.6374053749910497e-49,4.7795233623028718e-40,1.629347369678737e-42,4.2724224887850274e-32,8.8365597580388347e-39,1.5981258723563508e-51,3.0297201477223841e-59,9.0611593974315155e-39,1.423433866358044e-39,1.075582910252096e-41,4.4843472323509521e-48,4.0414895215853341e-50,3.4060355614466589e-48,1.6257596493717887e-50,2.220284934544744e-63,4.7930838887151468e-69,5.9162016525753292e-70,5.3407524857338646e-47,2.3007580223313601e-53,1.7435103708828582e-53,2.1215803729556244e-55,8.818806859382386e-67,2.171748434221875e-34,6.2278592271112401e-71,1.04649606407395e-57,1.6675666669543557e-64,1.7737603001590184e-70,3.4058536595456024e-71,1.7735789156773009e-78,2.7834080739490902e-80,3.5774529969273202e-89,1.0017107878778123e-96,5.7835109815605194e-39,4.6591647218826003e-45,3.6520273543751631e-48,6.5847895018687029e-91
3.831252172380933e-16,0.0022816465795509546,1.3600603492822089e-32,8.1277657057667271e-28,2.7259639126901379e-22,1.3600602210170512e-32,9.1689871547260788e-21,2.5869839102690765e-33,1.0100670175646251e-58,1.2726528126342283e-46,1.4307233339288041e-49,6.1387068233749276e-46,1.5150771883532307e-39,7.4464036691697925e-26,3.2108759446405321e-39,3.2277494646833731e-57,1.8497478657992716e-52,6.090426674164904e-41,3.3406113667728717e-53,8.0356244659297218e-79,5.5926916237318351e-50,5.8822463030109683e-68,7.5896059664542203e-41,1.6937725144513839e-59,5.8759957472715869e-31,7.2751218675814492e-47,1.3142731219915128e-49,1.1471009251533507e-40,1.7066649918794447e-74,1.0317553549995684e-80,1.5296003049491647e-48,2.250402333609973e-61,4.2129491375655197e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998119971,0.108803,0.0001,1.157468633608932e-14,8.7415419927469288e-14,8.7415444755254479e-14,5.5285707952001437e-20,9.4323061090553438e-20,1.5961394330309867e-15,7.128321609385384e-20,1.2539589694138093e-27,1.0161111211306852e-27,4.1679755333355385e-32,2.1941938958419824e-24,2.4937964378982198e-19,5.4450459335766537e-23,1.0559217389523307e-32,2.9424820567755937e-36,1.293447016810939e-38,3.7227723037642944e-42,2.187306223560805e-19,1.735483532821857e-49,3.4473682324846598e-56,1.7787693800991804e-58,1.2390476702472061e-65,4.559731087107784e-63,2.1302029240343336e-24,5.8759914640586021e-31,3.8360222650661094e-37,4.479493014310969e-38,2.0166695121527926e-21,3.811729615197925e-44,4.3400099716996687e-53,1.4666481598232865e-31,3.8925175907556801e-59,4.505428961123631e-24,4.4161341719087095e-29,9.954518026713507e-36,6.3006872992704219e-42,4.1685001818176103e-42,3.8732711392600236e-43,1.8999529583956155e-49,5.4534106839674227e-34,5.0481139566895098e-40,1.1567080009959452e-47,4.8258881947863262e-42,5.9251548557126217e-48,3.830378024167279e-39,2.6130532432554407e-41,3.4386914544772587e-31,1.3650303289670587e-37,5.1274105555947684e-50,1.9394138741298271e-57,1.4332643540100818e-37,2.292315146536424e-38,1.6688787461816923e-40,1.382779796770851e-46,1.1792320694893694e-48,1.0554457307265092e-46,5.0405748309146232e-49,1.424908081825231e-61,6.1272996687636544e-67,3.7967707152216085e-68,4.2948455846322243e-46,3.6917894497192252e-52,2.8050392890776956e-52,3.28772529839835e-54,1.9232847335034018e-65,8.73250493968377e-34,4.0286651170343624e-69,3.3712445409849699e-56,1.0745145836250675e-62,2.2860067902983394e-68,4.3894184473722863e-69,4.5701715745612671e-76,7.1746581328892876e-78,1.8443107302080338e-86,1.0328454490013679e-93,8.9737172267100903e-38,1.4370771800867664e-43,5.6706357383808059e-47,3.3947054320871064e-88
7.675853655467027e-16,0.0022816465795509546,5.4544410578837371e-32,3.2595906586281904e-27,5.4614124450007235e-22,5.4544657760336906e-32,1.8378728739639848e-20,1.0379285948788413e-32,4.0508179195026203e-58,1.7911873965109404e-46,5.9512763065035949e-49,2.8137784366287296e-45,3.0354344859329555e-39,1.4918753006989258e-25,1.2877048666404541e-38,2.6772535469687437e-56,1.4843060253758822e-51,2.4425334981598005e-40,2.6806376601326353e-52,2.5794867116392114e-77,8.9754164105766342e-49,3.4754379012455808e-67,6.0887141666171808e-40,1.6054292748891424e-58,4.7151112207402103e-30,1.1678168686292421e-45,5.2714808396804054e-49,9.2047773920821432e-40,1.3694898244531719e-73,1.2446558347937317e-79,2.4547750163045516e-47,7.2239157666600203e-60,2.7100136268027993e-76,0.88129999999999997,0.0,0.0,0.0,0.009889999999623339,0.108803,0.0001,2.3189702587183626e-14,1.7513523625704766e-13,1.7513528362622752e-13,1.5465710398763045e-19,3.7827712065403473e-19,3.1968781033301968e-15,2.8585548277490062e-19,7.2624421420985842e-27,4.844985035728364e-27,3.3445449013430892e-31,8.7996905642870647e-24,9.9986596246617455e-19,2.1837049001852334e-22,8.2664755604127471e-32,2.3611535903525786e-35,1.0376107640559277e-37,5.9742076890427586e-41,8.7698138035367124e-19,5.5707434187701867e-48,2.2132715375278878e-54,1.1420015327155272e-56,1.5910259280005875e-63,2.9275886002215603e-61,8.5430561754472519e-24,4.7151043487951638e-30,6.1535740870185995e-36,7.1897922105203831e-37,4.031352734257733e-21,6.1186774017485587e-43,4.0450365317861909e-52,1.1766094451921884e-30,2.4990656607811354e-57,1.8034058844774371e-23,3.4760247273372654e-28,1.5656249938340392e-34,1.9804620772833856e-40,1.3103361571303301e-40,1.217786487580688e-41,9.5543203841667736e-48,2.1870583391729537e-33,4.0507926054440692e-39,1.2753091835055505e-46,3.8717762614689584e-41,6.7172546931649437e-47,3.0472762737721125e-38,4.1597075395266538e-40,2.7591320273269021e-30,2.0255489020585726e-36,1.6328533549591499e-48,1.2291061989059036e-55,2.2214510397313771e-36,3.6794136269190243e-37,2.6247753273623575e-39,4.3007799819979107e-45,3.3164332989944161e-47,3.3148084117105742e-45,1.5848070863037961e-47,9.0764863546342123e-60,7.7438105456919291e-65,2.4184205168878321e-66,3.4401697288637156e-45,5.8831455484998804e-51,4.493646141022877e-51,4.9055019140635495e-53,3.6130846917641784e-64,3.5021250537779422e-33,2.5919612665978052e-67,1.0823191128692946e-54,6.899698872781398e-61,2.9358727397640714e-66,5.6372010672208434e-67,1.1731232159911322e-73,1.8428792539902521e-75,9.4746386275964607e-84,1.0611949843209949e-90,1.4113657875421429e-36,4.4720545753652882e-42,8.9219114917031715e-46,1.7439367986122443e-85
