Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878)
0.0,0.0034113196585088146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0167215019651153e-19,0.0034113196585088146,2.1903172733055284e-36,7.6643220213711429e-32,1.7943184729504508e-23,2.1854441871164492e-36,1.0582627088945136e-22,6.8152798691614971e-38,7.6724301013260255e-61,4.6712651156937066e-49,6.3270978907457092e-53,8.9227282352786504e-52,9.1329926379497365e-40,9.262363304111851e-28,1.2257152401326738e-43,1.8933408204881679e-63,1.0581004960326642e-58,3.9763576940049395e-45,4.7459940535346012e-60,9.2930738323386964e-88,4.6223046034012656e-58,2.8005641468982521e-75,4.2686628588356339e-46,2.6752008562777673e-68,8.6092279583970374e-38,1.1897499725031153e-55,8.2943411108552479e-53,2.6171703216870619e-47,6.9974689595838016e-79,1.3838065862904868e-90,1.155979842984307e-56,5.058904042785545e-72,1.1546721496050069e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992154,0.108803,0.0001,5.7135481566902093e-17,3.4279085904432572e-16,3.4279075900135426e-16,4.2046537209159467e-25,4.2139859016485991e-25,4.1526575386040381e-17,2.9002599789487842e-25,3.1628691070353915e-35,4.3217781060738158e-35,5.0074737885586688e-40,1.980119027891377e-29,1.1200441058355914e-23,4.7230309281820812e-28,2.1122683998310264e-40,2.2878676256436125e-43,3.0472705227033673e-45,3.6118189969707526e-51,1.2414285179231558e-23,4.809227654199503e-61,1.3655905427692302e-70,3.6022701737026134e-72,3.4796679449690105e-82,4.4935516898706031e-77,7.9811504447438417e-29,8.609227992896911e-38,7.2840207372294798e-47,9.0273176042552212e-48,2.3436421039379779e-23,1.8998399527053517e-53,8.0017666095889693e-62,7.1718519911327421e-38,1.4842319650606202e-73,8.4465509068007463e-29,1.9096301469635386e-34,1.6323195438970326e-43,1.3810600995318238e-52,1.0033183924010657e-52,8.5579518669522801e-54,2.4619121409783515e-62,7.301939005840248e-38,8.9763995223145251e-47,1.2831779772303394e-56,5.7388066050994963e-48,6.7323130974406379e-57,1.3161374491641928e-45,2.0123931434083622e-50,6.9995545534045637e-39,4.3014359703786769e-48,5.7975140248594766e-62,8.7334776193802566e-72,4.3019367516190403e-48,1.7853807514830799e-48,6.2318472006245614e-48,7.6606347764338136e-57,4.8960962616373862e-58,5.2725796861006871e-57,1.3594279803641324e-58,4.310450440781354e-76
1.1246820205502324e-18,0.0034113196585088146,1.3213727130670162e-35,4.6292504557754147e-31,5.0240917040477922e-23,1.3200082845746067e-35,2.9631368670804693e-22,4.1164306019967154e-37,4.6341477783742014e-60,2.8162525623217734e-48,3.8215671264551779e-52,1.0581087641449196e-50,2.5572379371084892e-39,2.5934617255284838e-27,7.4033200513018638e-43,2.2477742223153783e-62,1.2561769088804934e-57,2.4017200474690407e-44,5.63444420155357e-59,3.8348111678951312e-86,1.0339905426874511e-56,8.7897133509279382e-74,5.0677539403468047e-45,8.401075772214406e-67,1.0220875411210129e-36,2.6614230931155857e-54,5.0097820286175304e-52,3.0989161590801842e-46,8.3073951403354545e-78,7.9560469070680545e-89,2.5858793994281954e-55,2.0875699204502603e-70,1.3133562444863118e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999978033,0.108803,0.0001,1.5997934838725213e-16,9.5981440302730195e-16,9.598141238379613e-16,2.5341892534368873e-24,2.5452474751306771e-24,1.1627433286551352e-16,1.751756635203617e-24,3.7432902555278462e-34,5.08213532655878e-34,5.9448732586046564e-39,1.1959918898910996e-28,6.7650626019567645e-23,2.8527106749253934e-27,2.5075380814606963e-39,2.7161564362511127e-42,3.617715764064503e-44,8.0794865142860725e-50,7.4982240394356147e-23,1.9845393133022726e-59,1.0279814811564707e-68,2.7116964526183607e-70,4.7497250387658548e-80,3.3826307838707175e-75,4.8206148578103435e-28,1.0220875443574253e-36,1.629403659283045e-45,2.0193742319753433e-46,6.5621704921469777e-23,4.2498660024015144e-52,1.7880301124002059e-60,8.5144183061386705e-37,1.1172916969482194e-71,5.1016987896825824e-28,1.1714128481753632e-33,1.9655789456879514e-42,3.1315424528016491e-51,2.2750162928098399e-51,1.9405100323896242e-52,1.0258429833261502e-60,4.4103711459204041e-37,1.0656781466737023e-45,2.8592849707893224e-55,6.8131073328442775e-47,1.5005757651053805e-55,1.5624921328168235e-44,4.4931420906070366e-49,8.3098694508676392e-38,9.6204372313599216e-47,2.3879521560407527e-60,6.562317999241675e-70,9.6225032040528434e-47,3.9938245381694015e-47,7.5041603765175989e-47,1.7369899449719173e-55,1.1098620441031367e-56,1.1955506993830292e-55,3.0824941915172834e-57,3.2389248863168908e-74
2.5707017612576738e-18,0.0034113196585088146,6.3583901694704006e-35,2.2287847997883151e-30,1.1483638085388514e-22,6.3552716295086516e-35,6.7728903121556845e-22,1.9818857253524315e-36,2.2311426691986713e-59,1.3506364711852744e-47,1.8399200672893635e-51,1.0362641335961511e-49,5.8451152776657717e-39,5.9279125172717418e-27,3.5643799196585777e-42,2.206878061072571e-61,1.2333219381462566e-56,1.1563248178517108e-43,5.5319308517721156e-58,1.5170116097220923e-84,2.0429888739077882e-55,1.9535500984794842e-72,4.9755453507126729e-44,1.8706644577559358e-65,1.0034916043211072e-35,5.2585235206442807e-53,2.4119943915317379e-51,3.0382910399600529e-45,8.1562497929062952e-77,3.5545778958415432e-87,5.1092564430576706e-54,8.258210277797249e-69,1.1889764112553146e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999949792,0.108803,0.0001,3.6566708202765732e-16,2.1938614818490472e-15,2.1938608480478548e-15,1.2146152964112432e-23,1.2254270860036411e-23,2.6576953496351628e-16,8.4339501377699393e-24,3.6507042849174642e-33,4.8895092069741809e-33,5.8367120497080729e-38,5.7581860888338667e-28,3.2570825638409443e-22,1.3734573853918269e-26,2.4616045180612992e-38,2.666738476842873e-41,3.5518867397780918e-43,1.5963668776987339e-48,3.6100678168972118e-22,7.8506231694824213e-58,8.1279229729456104e-67,2.1440522345630915e-68,7.5033853706574026e-78,2.6745394926399753e-73,2.3209185331090708e-27,1.0034916056782421e-35,3.2194156216360751e-44,3.989940564705117e-45,1.4999117674472658e-22,8.3970191409570193e-51,3.5243041502865739e-59,8.3594971099032086e-36,8.8340704880376462e-70,2.4562300668468847e-27,5.8231461678913295e-33,1.9884675461775586e-41,6.3697319387902105e-50,4.6275102608202822e-50,3.9471121031943593e-51,4.1439792744891708e-59,2.1234038425207178e-36,1.0462891140324584e-44,5.6019090439023766e-54,6.6891409859491478e-46,2.9417298353184472e-54,1.5340084479984915e-43,8.867904933417885e-48,8.1586754713412656e-37,1.9001002932370304e-45,9.4359290923750221e-59,5.1826406408827129e-68,1.9009171213475717e-45,7.8911208645912807e-46,7.5915441523974797e-46,3.5328998682872582e-54,2.2560819253688447e-55,2.4318060015211762e-54,6.2699756826031781e-56,2.5580371936603748e-72
5.462741242672557e-18,0.0034113196585088146,2.7761766852115114e-34,9.7336886226742361e-30,2.4402730524653436e-22,2.7755140488529384e-34,1.4392417717119154e-21,8.6554295976782864e-36,9.7439861844670067e-59,5.8526515836213834e-47,8.03541432804133e-51,9.119613172898208e-49,1.2420869934501342e-38,1.25968141067929e-26,1.5566583563704658e-41,1.9519586537778538e-60,1.0908592873280483e-55,5.0499742758819875e-43,4.8929304082178884e-57,5.4140955596766832e-83,3.6353816931918481e-54,3.631203380937964e-71,4.4008036981349306e-43,3.4907617587437735e-64,8.8757695192861845e-35,9.3572615602733167e-52,1.053381317484214e-50,2.6855057728061357e-44,7.2141105430759034e-76,1.327398644116876e-85,9.0916292183703966e-53,2.9472903397252098e-67,9.0113830438603367e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999893327,0.108803,0.0001,7.7704254930728826e-16,4.6619556032545511e-15,4.6619542746143582e-15,5.2569328102100465e-23,5.3517619484414534e-23,5.6475868772098614e-16,3.6833240966371086e-23,3.1862931122699867e-32,4.1565808636355333e-32,5.1625059183505662e-37,2.5147511197896525e-27,1.4224501286310864e-21,5.9982491911506403e-26,2.1767078539746928e-37,2.3586999494575796e-40,3.1415892770966134e-42,2.8406370290805508e-47,1.5766076941128678e-21,2.8018194713757779e-56,5.8094744169721556e-65,1.5324722779524933e-66,1.0733302029255621e-75,1.9116418920606052e-71,1.0136060897192645e-26,8.8757694989069565e-35,5.7287372186620172e-43,7.099876671992885e-44,3.1872573674155486e-22,1.4942047206850391e-49,6.2408280288140673e-58,7.3938640298214318e-35,6.3141969757161338e-68,1.072684130804009e-26,2.7041661366454871e-32,1.8631090727160401e-40,1.1986442029697279e-48,8.7079630445134265e-49,7.4276260696824411e-50,1.539050550841699e-57,9.273462327522654e-36,9.2543085522710943e-44,9.8024473079912477e-53,5.9164548728358663e-45,5.1537544047346108e-53,1.3567142130199111e-42,1.5770474739952945e-46,7.2162495993263506e-36,3.3784987136211213e-44,3.3655528477191416e-57,3.7018610383998932e-66,3.3814106954106875e-44,1.4041815782484549e-44,7.1129522720704175e-45,6.6472592703972256e-53,4.2400277218959191e-54,4.5760862103956173e-53,1.1798762763800106e-54,1.827250312131601e-70
1.1246820205502325e-17,0.0034113196585088146,1.1588588593767564e-33,4.0636232730555611e-29,5.0240914109511831e-22,1.1587224462141007e-33,2.9631554586296832e-21,3.6134831298223067e-35,4.0679223998739948e-58,2.4055612587376832e-46,3.3546273077749477e-50,7.5889983055282003e-48,2.5572379151056501e-38,2.5934617309973795e-26,6.4987422158752553e-41,1.6407388642749895e-59,9.1693296014186146e-55,2.1082648534075372e-42,4.1128031937952466e-56,1.8292930077914488e-81,6.1315760874896556e-53,6.1780820042730999e-70,3.6991241596098649e-42,5.9868270026755756e-63,7.4606189530814417e-34,1.5782389027880275e-50,4.3976596256346323e-50,2.2565749414851579e-43,6.0638945401061477e-75,4.5286240444705805e-84,1.5334295272363868e-51,9.9581856929840869e-66,6.2659569432428081e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999780396,0.108803,0.0001,1.5997934838618325e-15,9.5981437037403819e-15,9.5981410403342372e-15,2.1558609871291859e-22,2.2342551931317844e-22,1.1627319875236858e-15,1.5377123725886133e-22,2.6091098517235468e-31,3.2407876162419371e-31,4.3393975654812167e-36,1.0498590677276022e-26,5.9384208773557686e-21,2.5041509200111562e-25,1.8287237123550959e-36,1.9826293738530618e-39,2.6406709918868185e-41,4.7911072395882293e-46,6.5819952894448378e-21,9.4666324625898187e-55,3.9289164545468273e-63,1.036402804097564e-64,1.4523592521701754e-73,1.2928347259554319e-69,4.2316058149342899e-26,7.4606188814755631e-34,9.6622147343667482e-42,1.1974948087899571e-42,6.5617732304848406e-22,2.5201947589244526e-48,1.042428784800225e-56,6.2149604808570077e-34,4.2702576457045308e-66,4.4781107884983534e-26,1.2635211362309413e-31,1.7415634200456405e-39,2.2416598328402829e-47,1.6285312808791216e-47,1.3890962000978597e-48,5.588449396865701e-56,3.871487873176229e-35,7.7788036635445795e-43,1.6000197621795195e-51,4.9731122923188182e-44,8.4316511650754215e-52,1.1402337186841831e-41,2.6588453635157414e-45,6.0656817328104976e-35,5.6894825203322257e-43,1.1366784818533317e-55,2.5022908563946923e-64,5.6992997419380412e-43,2.36835336319421e-43,6.6489169124236309e-44,1.2428152005278071e-51,7.9093595634421303e-53,8.5578743846542878e-52,2.2065757612015319e-53,1.2352618937576775e-68
2.281497813116186e-17,0.0034113196585088146,4.7340357611708387e-33,1.660122604287198e-28,1.0191727610449967e-21,4.7337590057503359e-33,6.0110156561643967e-21,1.4762352882572723e-34,1.6618790159065445e-57,9.5278158960116656e-46,1.3704747166876049e-49,6.0991611190867078e-47,5.1875397195702904e-38,5.2610223812889983e-26,2.6549482496081742e-40,1.3451768525673868e-58,7.5175703938166668e-54,8.6129498537795105e-42,3.3719251410071856e-55,6.0142657532103773e-80,1.0071045089326668e-51,9.9620504173621387e-69,3.0327383916515701e-41,9.8145879601226602e-62,6.1166659510569412e-33,2.592262045128284e-49,1.7965874388190844e-49,1.8497701710088354e-42,4.9715470203001824e-74,1.4629443311969572e-82,2.518640833849665e-50,3.2740058051444501e-64,4.178160578422159e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999554535,0.108803,0.0001,3.2452953529520502e-15,1.9470519355162897e-14,1.9470514222121522e-14,8.5055136769759764e-22,9.1276609064825663e-22,2.3586585646153485e-15,6.2820328379510452e-22,2.0338006269981856e-30,2.3188853639393669e-30,3.557700725048266e-35,4.2890166766010519e-26,2.4260154859603458e-20,1.0230273262700176e-24,1.4977746635625545e-35,1.6254792551590497e-38,2.1649421167191452e-40,7.8692690465805711e-45,2.6889341174185731e-20,3.1123675264810777e-53,2.5845278642999893e-61,6.8176862016006791e-63,1.9111902746590291e-71,8.5045721957648381e-68,1.7287489831976135e-25,6.1166658030178645e-33,1.5869763652913693e-40,1.9668784186041591e-41,1.3310103682107768e-21,4.1394277874459791e-47,1.6794976661042814e-55,5.0953545874218766e-33,2.8090696596657006e-64,1.8293446324473297e-25,6.2616478395495159e-31,1.7156332548315242e-38,4.404515738045433e-46,3.1998142964442399e-46,2.729395721299298e-47,2.071519361194109e-54,1.5816290393974805e-34,6.3775327526059889e-42,2.4686078027459522e-50,4.0772177109861687e-43,1.3063666332717275e-50,9.3455983092106201e-41,4.3653565092309268e-44,4.9729945428125351e-34,9.3160526985737894e-42,3.7356072694367519e-54,1.6450856269932354e-62,9.3481875714512994e-42,3.8900140196824779e-42,6.5499210183728887e-43,2.4406459529439276e-50,1.546217468341421e-51,1.6814307500758842e-50,4.3356397589146084e-52,8.1226153948245623e-67
4.595129398248092e-17,0.0034113196585088146,1.9135166775242481e-32,6.7104802282551331e-28,2.0526997939521529e-21,1.913460861424569e-32,1.2106867346021924e-20,5.9672560681472145e-34,6.7175805525534748e-57,3.6232162448666243e-45,5.5396779464739926e-49,4.7493141527820449e-46,1.0448143173114011e-37,1.0596143720494053e-25,1.0731725362165122e-39,1.0893590951162672e-57,6.0879234094890473e-53,3.481492054449809e-41,2.7306733701794755e-54,1.9506806157822506e-78,1.6325315872294289e-50,1.5309929768545123e-67,2.4559463086991763e-40,1.5622307030916806e-60,4.9534343188767139e-32,4.2021681855050987e-48,7.2620936906959636e-49,1.4978683302905597e-41,4.0260875293371874e-73,4.5036836421215657e-81,4.0827547503943403e-49,1.0618979155822064e-62,2.7291359068191689e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999102813,0.108803,0.0001,6.5362990910570005e-15,3.9215268599912161e-14,3.9215259187086502e-14,3.2161207886877035e-21,3.6895460117340447e-21,4.7504316314254124e-15,2.5392787647852405e-21,1.4987937457396143e-29,1.4938310485988048e-29,2.8811189654969306e-34,1.733688977913485e-25,9.8061548547958325e-20,4.1352397678208871e-24,1.2104763650660034e-34,1.3163550995026723e-37,1.7531622739044257e-39,1.2755973665811669e-43,1.0868893666322637e-19,1.0094538479997503e-51,1.67687197588926e-59,4.4233948086250215e-61,2.4802710971732942e-69,5.5178925280348203e-66,6.9878792588656635e-25,4.9534340543114806e-32,2.5724101993699229e-39,3.1883609552658144e-40,2.680396007079722e-21,6.7101918876712379e-46,2.6211985695283724e-54,4.1262765457166966e-32,1.8225573694586188e-62,7.393616416482734e-25,3.4200179584912431e-30,1.8554262986067193e-37,9.4821466935278173e-45,6.888643400051939e-45,5.8760628372359393e-46,8.0105528843728255e-53,6.3931968297534466e-34,5.164690636176297e-41,3.5677019393635802e-49,3.3017714969449442e-42,1.9014803631755173e-49,7.5638946965586228e-40,7.0719748766561489e-43,4.0272310769211294e-33,1.5008749382737723e-40,1.2108805911614071e-52,1.0663044123088201e-60,1.5112066326803006e-40,6.305836643665972e-41,7.083620836461902e-42,5.2487355570265306e-49,3.2955458288758864e-50,3.6195687936141554e-49,9.3341212345050557e-51,5.2669663006366383e-65
9.222392568511905e-17,0.0034113196585088146,7.6940530686147326e-32,2.6982539681742815e-27,4.1197530317685172e-21,7.6939402758234146e-32,2.4299095904824323e-20,2.3994693460450038e-33,2.7011094815273381e-56,1.2940137073210722e-44,2.2274801552332929e-48,3.5433942295571828e-45,2.0969349458659251e-37,2.1266386553391913e-25,4.3151796090518463e-39,8.7681097805426405e-57,4.9000903947511037e-52,1.399892654461678e-40,2.1978850496717995e-53,6.2841708524502788e-77,2.6290508999038618e-49,2.2050792768704397e-66,1.9766886343723541e-39,2.4325369750949908e-59,3.9869543097186308e-31,6.7674613579266524e-47,2.9200562564635549e-48,1.2055649804485528e-40,3.2405452738716306e-72,1.3002230095301488e-79,6.5749233483484378e-48,3.4209294873469889e-61,1.7645046353179406e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998199369,0.108803,0.0001,1.3118306566964962e-14,7.8704759749610156e-14,7.8704743522580534e-14,1.1437335214173723e-20,1.4835498510821363e-20,9.5336574370045493e-15,1.0210172758031105e-20,1.0211442361098433e-28,8.4997130195163246e-29,2.3189762850906735e-33,6.971086067362487e-25,3.9428608576398212e-19,1.662761537788427e-23,9.7035916230071186e-34,1.0595168782382089e-36,1.4109945343575436e-38,2.0541651252494651e-42,4.3701671080433464e-19,3.2518639106469706e-50,1.0804951872156746e-57,2.8502217478059612e-59,3.1965066796340413e-67,3.5554970427086493e-64,2.8097950864162202e-24,3.9869538639074932e-31,4.1423143220785236e-38,5.1346484203330739e-39,5.3780459456058916e-21,1.080656059909423e-44,3.9227863752270316e-53,3.3210676987834429e-31,1.1743678650635253e-60,2.9722274958270667e-24,2.089834091469297e-29,2.2434230027614473e-36,2.281190324275374e-43,1.6572552478293505e-43,1.4137221898861627e-44,3.2049345378731142e-51,2.5706758496347704e-33,4.1569912075583684e-40,4.7178644023967504e-48,2.6574481605082925e-41,2.5412542456749956e-48,6.0809864993457936e-39,1.137598103827441e-41,3.2414195518353188e-32,2.3877038955511465e-39,3.8965518534448896e-51,6.8579963667305989e-59,2.4204132530934394e-39,1.0155214841036674e-39,8.5649089495604932e-41,1.2600748806092265e-47,7.7737246244783995e-49,8.7066393943799749e-48,2.2456998515308104e-49,3.3901597321288493e-63
1.847691890903953e-16,0.0034113196585088146,3.0856361035942165e-31,1.0821200281302468e-26,8.2538561951893281e-21,3.0856128753301435e-31,4.8685653738298999e-20,9.6234419710878524e-33,1.0832656209995394e-55,4.1508911706713359e-44,8.933191826460667e-48,2.4678622816972513e-44,4.2011759543581222e-37,4.2606872837142583e-25,1.7305800611166143e-38,7.0358560027412437e-56,3.9320139407469798e-51,5.6141957541314887e-40,1.7636668350059526e-52,2.0175828178881361e-75,4.2199171634797971e-48,2.8580020136381983e-65,1.5860548212029443e-38,3.7845998633886808e-58,3.1992788305074768e-30,1.0863271166623608e-45,1.1710744239975293e-47,9.6736975205219296e-40,2.6003331284147934e-71,3.3837262967211036e-78,1.055347839900533e-46,1.0983141689889054e-59,1.1350328454257373e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996392464,0.108803,0.0001,2.6282321517573131e-14,1.5768371741449354e-13,1.5768368981584429e-13,3.7116195809155925e-20,5.9496954567414683e-20,1.9098827907592365e-14,4.0946113729692485e-20,6.2520539336049956e-28,4.277920070353708e-28,1.8608341757306269e-32,2.795716505379467e-24,1.5811425457676105e-18,6.6684161684980921e-23,7.7240623612769523e-33,8.5019522114312931e-36,1.1320690107988084e-37,3.2969241928023707e-41,1.7524983498359407e-18,1.0439601273506637e-48,6.9379042983364355e-56,1.8301393077280982e-57,4.10509380979083e-65,2.2830430370359094e-62,1.1268531561000269e-23,3.1992780991674765e-30,6.6478138384639007e-37,8.2418992145946281e-38,1.0768864195594216e-20,1.7346934058680287e-43,5.4913560988809067e-52,2.6647572869087829e-30,7.5406653830320746e-59,1.1914245336164615e-23,1.4109542719209555e-28,3.0031031339937626e-35,6.0809354815228725e-42,4.4177381571015091e-42,3.7689335815780666e-43,1.2792396113582061e-49,1.0309556402600838e-32,3.3357219307433074e-39,5.5688233144377381e-47,2.1322666951241525e-40,3.0390488028095154e-47,4.8682562220957344e-38,1.8219550352395121e-40,2.6009607101558943e-31,3.7416880400452916e-38,1.2483073985038179e-49,4.3874595497976294e-57,3.8431610523172848e-38,1.6300917782047288e-38,1.1465204254258252e-39,3.3449359408243614e-46,1.9945431747286453e-47,2.3202641140541425e-46,5.9869736655677787e-48,2.1723126363805837e-61
