Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825)
0.0,0.0021353607031418314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5822630364464335e-20,0.0021353607031418314,4.9331967501861716e-36,8.6249922529175223e-32,1.3272785996871967e-22,4.338922166563696e-36,2.7997712758982645e-22,4.6012992469275309e-38,1.8504204655449963e-58,4.5083823134434901e-48,1.0658712252020627e-51,6.5554568078491884e-52,8.5674935822326872e-38,2.6317023950142772e-27,1.2227722270430601e-43,3.5869692600380496e-63,7.7469352880584666e-59,7.3378539250974726e-45,9.5796745496078351e-61,1.6013068208561994e-104,3.7442959446966789e-76,2.553426382513139e-75,7.3290822431825637e-94,1.5017414328848227e-69,1.3470792347028312e-71,3.4817512178600981e-66,7.9786078744977639e-52,7.7891616204103154e-48,1.0304933618719634e-76,3.255770497798644e-91,3.5993652356120486e-86,2.7090753783477864e-82,2.3870686693470189e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993646,0.108803,0.0001,2.1699388124030683e-17,2.5346785509254477e-16,2.534674424119095e-16,3.5165364640191991e-26,3.5174865641452741e-26,1.050592095496977e-16,2.1722839218441876e-26,3.6207359206748171e-37,4.4652481434126733e-37,9.6031295354652458e-42,3.700274523149985e-30,2.0313014472296189e-24,8.7480640832818124e-29,7.8652269685767768e-42,1.6237349450465609e-44,7.7851440900159891e-46,1.3682939558974264e-52,2.9576384089055768e-24
7.230336502050014e-20,0.0021353607031418314,2.787105834021542e-35,5.2094925419833082e-31,3.7163800766359108e-22,2.6207089871365968e-35,7.8393598116634466e-22,2.7791848308994144e-37,1.1176539611802579e-57,2.7226806886728743e-47,6.4378622005776155e-51,7.7817809971043172e-51,2.3988982028789605e-37,7.3687667064484446e-27,7.38554425168176e-43,4.2584499057229598e-62,9.1971615742540909e-58,4.4320637709635283e-44,1.1372989710742451e-59,9.2180058097931935e-103,1.177106552566897e-74,8.0272899646491942e-74,3.6539920994517163e-92,4.7210736197646509e-68,1.6006995302857884e-70,5.2616222725890274e-65,4.8190791559620626e-51,8.4583918087260574e-47,1.2234017191465175e-75,1.8749067347471992e-89,2.072774009722714e-84,3.2158193521047512e-81,7.5081218628925213e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999982249,0.108803,0.0001,6.0758286747277984e-17,7.0970999407474647e-16,7.0970883863926312e-16,2.1234308569598263e-25,2.1245618833642393e-25,2.9416577026190821e-16,1.3120594558669694e-25,4.2955343222485791e-36,5.2902858974291568e-36,1.140084243049791e-40,2.2349658116749169e-29,1.2269060167814413e-23,5.2838307051562698e-28,9.3375490280775823e-41,1.9276981262880322e-43,9.2425216223754229e-45,3.0608183916119249e-51,1.7864135154825081e-23
1.6526483433257175e-19,0.0021353607031418314,1.2997921119823928e-34,2.5081457996744497e-30,8.4945830205803741e-22,1.2617585638349086e-34,1.7918537839787034e-21,1.3380579492104522e-36,5.3810227136540145e-57,1.310464372482506e-46,3.099553523420275e-50,7.6383674311687186e-50,5.4831958916055752e-37,1.6842895330950651e-26,3.5558216367537348e-42,4.1809713701345944e-61,9.0298277726012632e-57,2.1338479217253195e-43,1.1166068910458477e-58,4.1337873515723612e-101,2.6253040689524744e-73,1.7903287477197575e-72,1.4963404737373621e-90,1.0529423828934075e-66,1.5722105083264122e-69,5.6602130824559821e-64,2.32017916955177e-50,7.8956954458867592e-46,1.2011430623839731e-74,8.4054832983552628e-88,9.2925517492212718e-83,3.1565162171675771e-80,1.6752402757328376e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999959437,0.108803,0.0001,1.3887608399374085e-16,1.6221942713020795e-15,1.6221916306376352e-15,1.0217734885063057e-24,1.0228850907842335e-24,6.7237882577735922e-16,6.3170011508222227e-25,4.2110330145602626e-35,5.1711817058594376e-35,1.1193417844275675e-39,1.0760398308704376e-28,5.9070237483650899e-23,2.5439370337000011e-27,9.1675584262536766e-40,1.8926254504853065e-42,9.0743594833206383e-44,6.04765937811213e-50,8.6008112406506346e-23
3.51187772956715e-19,0.0021353607031418314,5.5912523497965834e-34,1.0953730400547911e-29,1.8050988868657444e-21,5.5104311287838125e-34,3.8076897722407087e-21,5.8436513663705771e-36,2.3500339910783309e-56,5.7197252888916508e-46,1.3536564565556243e-49,6.7527900497772326e-49,1.1651791266719735e-36,3.5791152586490537e-26,1.5529207288742865e-41,3.6980218296570644e-60,7.9867804063413783e-56,9.3190744880458168e-43,9.8762618024257263e-58,1.5545502421814594e-99,4.9140622995601002e-72,3.3511497212573687e-71,5.366462597402865e-89,1.9709048291118685e-65,1.3908544796243751e-68,5.2027109726608789e-63,1.0132831996971578e-49,6.8075176527769624e-45,1.0623974359026065e-73,3.1605540120574605e-86,3.4941014676971683e-81,2.7906462151657871e-79,3.1383002646685076e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999913814,0.108803,0.0001,2.9511167848653985e-16,3.4471628228120186e-15,3.4471572128090393e-15,4.457378710083271e-24,4.4672079150836225e-24,1.4288046731724734e-15,2.7588000703844874e-24,3.7133677608364745e-34,4.5337161981198315e-34,9.9004526607006376e-39,4.699348639632131e-28,2.579751949130518e-22,1.1110041368023099e-26,8.1084191329110284e-39,1.674005775877576e-41,8.0261627682464027e-43,1.0761479689063502e-48,3.7561994851153145e-22
7.230336502050014e-19,0.0021353607031418314,2.3171361496320643e-33,4.572966549293962e-29,3.7163800405564173e-21,2.3004965122351991e-33,7.8393632793138722e-21,2.43961005035867e-35,9.8109293068111634e-56,2.3850212209997644e-45,5.6512492409562601e-49,5.6706499761644835e-48,2.3988982007591767e-36,7.3687667123712231e-26,6.4831383525487032e-41,3.1084101716474488e-59,6.7133701728683543e-55,3.8905301539414847e-42,8.3015936431648991e-57,5.3771130705320473e-98,8.4780111009248052e-71,5.7815881808829044e-70,1.8117831753649967e-87,3.4003136308574118e-64,1.1691972997763792e-67,4.4510287684930167e-62,4.2302578917815909e-49,5.6494460336835311e-44,8.930090586796122e-73,1.0931547968729667e-84,1.2085202709355172e-79,2.3441193028480996e-78,5.4232541798814682e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999822567,0.108803,0.0001,6.0758286747163027e-16,7.0970999140813227e-15,7.097088369850487e-15,1.8567234297608839e-23,1.8649713570687943e-23,2.9416553134202846e-15,1.1517444760512665e-23,3.1025600208299827e-33,3.7450359148529053e-33,8.3219276913463797e-38,1.9618855478859903e-27,1.0769952273554542e-21,4.6382235610062131e-26,6.8153078957651716e-38,1.4071027180548504e-40,6.7464642830567767e-42,1.8150784637586621e-47,1.5681387196268786e-21
1.4667254047015743e-18,0.0021353607031418314,9.4320334059197941e-33,1.8682059804798132e-28,7.5389422842387942e-21,9.3982787962927681e-33,1.5902716415656796e-20,9.9666082895363113e-35,4.0080847438978821e-55,9.7203545119551757e-45,2.3087197128123835e-48,4.6401836066775092e-47,4.866336345191068e-36,1.4948069630272329e-25,2.6485735586999006e-40,2.5484624630646919e-58,5.5040264752768989e-54,1.5894085140088735e-41,6.8061488640366363e-56,1.784988338731715e-96,1.405383343266423e-69,9.5840257994526876e-69,5.9411316485172549e-86,5.6366335002409941e-63,9.5861907735062043e-67,3.6801966629142753e-61,1.7281983772728344e-48,4.6022564138516947e-43,7.3214277891173009e-72,3.6287348861940229e-83,4.011690892717504e-78,1.9209715937971731e-77,9.0195249045937048e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999640057,0.108803,0.0001,1.2325252454397821e-15,1.4396974049842544e-14,1.4396950654727939e-14,7.5516626436860269e-23,7.6190164345231158e-23,5.9673523757521187e-15,4.7052499774288401e-23,2.5134492118404853e-32,2.9677033063081472e-32,6.8228196301508459e-37,8.0149425918787917e-27,4.3998734137194398e-21,1.8948656592255045e-25,5.5870978638756873e-37,1.153627816938186e-39,5.5311440408920631e-41,2.9812640118892935e-46,6.4063532374727013e-21
2.9541089136947202e-18,0.0021353607031418314,3.8057329295424141e-32,7.5515870310053149e-28,1.5184066516807685e-20,3.7989344824789956e-32,3.2029447177128865e-20,4.0286666339445999e-34,1.6201319366991481e-54,3.9104459676256336e-44,9.3322142291704455e-48,3.7433098401100952e-46,9.8012126190847904e-36,3.0106675507901617e-25,1.0705957811626633e-39,2.063810979368905e-57,4.4573033457660624e-53,6.4246433482934839e-41,5.5117971625133096e-55,5.7972572753888127e-95,2.2805898407869541e-68,1.5552505226046978e-67,1.9176923953914695e-84,9.146863137719775e-62,7.7633166355254486e-66,2.9926748153174313e-60,6.985654144474146e-48,3.7151420236221668e-42,5.9290820326583401e-71,1.1785172315838706e-81,1.302890900237651e-76,1.559775322949234e-76,1.4732489356925695e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999275054,0.108803,0.0001,2.4824100013679669e-15,2.8996722136027009e-14,2.8996675107661081e-14,3.025626721257099e-22,3.079728192330422e-22,1.2018729627807679e-14,1.9019356447710059e-22,1.9881656756655705e-31,2.2521828848745039e-31,5.5252968357920258e-36,3.2397679284816216e-26,1.7784963481574762e-20,7.6593499017509772e-25,4.5237617073000055e-36,9.3423770807958813e-39,4.4792395820270463e-40,4.832732097100139e-45,2.5895462815652666e-20
5.928875931681011e-18,0.0021353607031418314,1.5288992393412627e-31,3.0364597966669745e-27,3.04743139627621e-20,1.5275347887536334e-31,6.4283006655216755e-20,1.6199125212254854e-33,6.5144792570853117e-54,1.5575252217220817e-43,3.752442311020903e-47,2.9899581821505708e-45,1.9670965106991997e-35,6.0423887430468515e-25,4.3048185631195465e-39,1.6611346292146166e-56,3.5876255166464822e-52,2.5833208418729623e-40,4.4363760468439803e-54,1.856264983343041e-93,3.6494986107608741e-67,2.488779208708391e-66,6.1214316606757873e-83,1.4637206444105424e-60,6.2486757579647638e-65,2.4137006703695592e-59,2.8089007981331037e-47,2.9854988911109785e-41,4.7722410193603718e-70,3.7735450795220709e-80,4.1717803768427095e-75,1.2797024981001456e-75,2.3884699509514839e-89,0.88129999999999997,0.0,0.0,0.0,0.009889999999854503,0.108803,0.0001,4.9821795131918647e-15,5.8196217580786346e-14,5.8196123546240352e-14,1.1955023878418e-21,1.2383451062889885e-21,2.4121416641862724e-14,7.6475864996352247e-22,1.5290431938034469e-30,1.6092174196680789e-30,4.4472404657326214e-35,1.302696423033132e-25,7.1512328072318175e-20,3.0797908642483023e-24,3.6398056945897009e-35,7.5195577165532665e-38,3.6052426369954797e-39,7.7828844481324542e-44,1.0412418526340894e-19
1.1878409967653595e-17,0.0021353607031418314,6.1288310346613061e-31,1.2177560907177123e-26,6.1054804777938041e-20,6.1260972416723795e-31,1.2879051743195863e-19,6.4966008960051297e-33,2.6125975457754779e-53,6.1299689742264196e-43,1.5048972100657117e-46,2.3631443694181866e-44,3.9410469843285456e-35,1.2105831194483595e-24,1.7264247924174443e-38,1.3329559342105489e-55,2.8788435481365141e-51,1.0360272059624001e-39,3.5599158748833704e-53,5.8628010067043733e-92,5.7606526034445694e-66,3.9284827158395964e-65,1.9303858273119072e-81,2.3104505687648962e-59,5.0142258946672414e-64,1.9388156653663408e-58,1.1264948437211336e-46,2.3937631300730566e-40,3.8294228422935384e-69,1.1918228403209191e-78,1.3175987020552059e-73,1.1209131754287955e-74,3.8688733202575894e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999997085,0.108803,0.0001,9.9817185367097703e-15,1.1659520566332615e-13,1.1659501855425115e-13,4.6333196685044335e-21,4.9663173014985053e-21,4.832652071275932e-14,3.0670137475487283e-21,1.1263186771736002e-29,1.0527218992811452e-29,3.568631775845513e-34,5.2243952072257087e-25,2.8679459248353512e-19,1.2351338491356776e-23,2.9186125843404059e-34,6.0339713012194724e-37,2.8929174759554063e-38,1.2492991195248579e-42,4.1758189231557991e-19
2.3777478039598762e-17,0.0021353607031418314,2.4541812540751956e-30,4.8773753937962958e-26,1.2221577010136301e-19,2.4536338772452626e-30,2.5780710626763757e-19,2.6020507256661676e-32,1.0464017391330168e-52,2.3660437336996458e-42,6.0274384326441117e-46,1.8379023120600894e-43,7.8889478357788636e-35,2.4232716365050792e-24,6.9147042408089161e-38,1.0679868274140754e-54,2.3065781042442651e-50,4.1495127653117993e-39,2.8522703327195679e-52,1.8155799397395331e-90,8.9138367284393041e-65,6.0787995524932886e-64,5.97329959037281e-80,3.5751121542696911e-58,4.0175436058642105e-63,1.5542007721508399e-57,4.5118550807996403e-46,1.9171579049507213e-39,3.0681982258241171e-68,3.69078047964638e-77,4.0802689342536185e-72,1.2164378510388592e-73,6.2991678176330441e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999416494,0.108803,0.0001,1.9980796583226027e-14,2.3339317133604517e-13,2.3339280109368386e-13,1.7381205798297487e-20,1.9891169878836192e-20,9.6735649049784413e-14,1.2283968506199769e-20,7.744729557162406e-29,6.1374658496185735e-29,2.8592502635139469e-33,2.0924830400268968e-24,1.1486596417162757e-18,4.9469775591920302e-23,2.3350799855610091e-33,4.8345194264675291e-36,2.3177539047324846e-37,2.0020521087923164e-41,1.6724843472875948e-18
4.757561418348909e-17,0.0021353607031418314,9.8220233656875653e-30,1.9522206416867156e-25,2.4453763552054327e-19,9.8209268632305188e-30,5.1584655306724905e-19,1.0415158222477336e-31,4.1883339355818827e-52,8.8164622401632437e-42,2.4125462410645982e-45,1.3895183955060031e-42,1.5784749155446008e-34,4.8486487776962011e-24,2.7676837900907005e-37,8.5503886653998588e-54,1.8466650118825666e-49,1.6608865421877224e-38,2.283559524702862e-51,5.4359715483022002e-89,1.3324219409394171e-63,9.0864635923755565e-63,1.7871309245641324e-78,5.3440039578806188e-57,3.2165634176241661e-62,1.2446211927595483e-56,1.8059178076649048e-45,1.534585355289739e-38,2.4564240981958197e-67,1.1046625583136771e-75,1.2212327838168406e-70,1.9689369696697337e-72,1.039330352996968e-85,0.88129999999999997,0.0,0.0,0.0,0.009889999998832482,0.108803,0.0001,3.9978952674180305e-14,4.669890654177983e-13,4.6698833626621212e-13,6.166066758723742e-20,7.9616489463570669e-20,1.9354958669744074e-13,4.9167215561695039e-20,4.8189934809917813e-28,3.1651945268397337e-28,2.289142271633823e-32,8.3753847791582712e-24,4.5975148611874021e-18,1.9800800531921108e-22,1.8641232982511776e-32,3.8705546434056458e-35,1.8554515982931789e-36,3.205622975213686e-40,6.6941253636296696e-18
9.517188647126975e-17,0.0021353607031418314,3.9298679984213849e-29,7.8114206874760079e-25,4.8918110544853008e-19,3.9296475793353733e-29,1.0319505231755556e-18,4.1675593165391648e-31,1.6758791119189257e-51,3.0841932637490994e-41,9.6533280291992053e-45,9.9952815454420582e-42,3.1576350261846508e-34,9.6994034883908112e-24,1.1074340794312316e-36,6.8429099388148601e-53,1.4778932971261612e-48,6.6457099083842075e-38,1.8275559752524885e-50,1.5318478101621151e-87,1.8733322442746174e-62,1.2775204614191276e-61,5.0351169676001297e-77,7.5134569765270339e-56,2.5743606178261903e-61,9.9620150604906886e-56,7.2260231632245433e-45,1.2280114516675391e-37,1.9658857104746623e-66,3.112932912583098e-74,3.4413993553713811e-69,4.4497832812367292e-71,1.7608819893154386e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999997664458,0.108803,0.0001,7.9975264847776002e-14,9.3418072960839038e-13,9.3417928698606634e-13,2.0027604578870314e-19,3.1856944021698836e-19,3.8716018742846856e-13,1.967275383677015e-19,2.6564449613577063e-27,1.4729715963676334e-27,1.832015160446736e-31,3.3512444554560399e-23,1.8395110153996049e-17,7.9228980796054313e-22,1.483355870777569e-31,3.0976192998010905e-34,1.4846678473160774e-35,5.1302238634769327e-39,2.6783855445302364e-17
1.9036443104683108e-16,0.002135360703141832,1.572157960324695e-28,3.1250731139090953e-24,9.7846700166546214e-19,1.572112993972047e-28,2.0642587693993581e-18,1.6674066339150309e-30,6.7046075700123483e-51,9.7070010555670445e-41,3.8619602610836809e-44,6.6305419648144009e-41,6.3159546342913485e-34,1.9400914623042813e-23,4.4304578826593872e-36,5.475368223991009e-52,1.1825392588587492e-47,2.6587169738218742e-37,1.4623453904140731e-49,3.9045359874998914e-86,2.3782323922537583e-61,1.6218370958562611e-60,1.2832994472087584e-75,9.5384824629977384e-55,2.0600894142066952e-60,7.9716319552136372e-55,2.8908794881605638e-44,9.8254560455023141e-37,1.5730070540120836e-65,7.9348032796151286e-73,8.7719162351986963e-68,1.1039623528235076e-69,3.1286767647718616e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999953284117,0.108803,0.0001,1.5996788916171577e-13,1.8685636623390544e-12,1.8685607099261325e-12,5.7751962135954016e-19,1.2744834206242664e-18,7.7431230296150942e-13,7.869953616698335e-19,1.3034450715508507e-26,6.3973457257968653e-27,1.4658994817627796e-30,1.3407157157491309e-22,7.358491599252769e-17,3.1696742821843576e-21,1.1735148072908529e-30,2.4785649260406703e-33,1.1875482366235065e-34,8.2072755018574864e-38,1.0714193807118472e-16
