Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864)
0.0,0.001677868359682032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.833553588654702e-19,0.001677868359682032,1.7624272897661846e-37,9.0434555017087471e-33,1.0863016102826963e-24,1.7610573977293637e-37,3.4145225821250385e-23,3.0191551293913367e-38,4.4342834244407965e-63,1.3930768666754676e-50,3.6897395878965456e-54,7.7914191388167e-53,1.1173462825436208e-41,2.8363948058991734e-28,4.2330211378609635e-44,2.5512011470017214e-64,9.615939034759237e-60,9.3207409672961783e-46,6.6338087545100514e-61,3.162192039680471e-107,1.8336633317226012e-76,4.6044583192194316e-77,1.0214439821027286e-94,7.0253683299103706e-69,7.6810324575781589e-75,3.330932940837413e-67,2.4875579345037072e-54,4.6087137799919306e-48,3.3619570051545809e-81,3.1892582604298739e-92,1.4609149703626886e-85,2.4642194565527603e-87,-1.4967326588015837e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994895,0.108803,0.0001,2.2460665674986679e-17,2.4183809389221875e-16,2.4183805916473096e-16,6.8447585235397835e-25,6.8568251248088277e-25,4.9200682428440319e-18,5.0496263307544359e-25,3.8627824723710796e-35,5.665598080333402e-35
1.3533950048233165e-18,0.001677868359682032,1.0640620952925092e-36,5.4622470752942135e-32,3.0416444793505954e-24,1.0636786596106982e-36,9.560669512116543e-23,1.8235707188119008e-37,2.6783071825221689e-62,8.3689546847075381e-50,2.2286027106187662e-53,9.2289751361930834e-52,3.1285695865801097e-41,7.9419054558287896e-28,2.5567447670830328e-43,3.0287860011318943e-63,1.1416042818109528e-58,5.6297275438333286e-45,7.875657875341529e-60,1.811870512289117e-105,5.7351257767385991e-75,1.4401306453586332e-75,5.8524039141435662e-93,2.1973156305689421e-67,9.1252258398941037e-74,5.0337058584156354e-66,1.5024849909634733e-53,5.4690140088130615e-47,3.9913153441235313e-80,1.8273932243790134e-90,8.3708053816733923e-84,3.4752360080822569e-86,2.4463256557341217e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999985683,0.108803,0.0001,6.2889863889942615e-17,6.7714665905136693e-16,6.7714656343949152e-16,4.1272185701872255e-24,4.1415223579777207e-24,1.3776190854965675e-17,3.0499737203260645e-24,4.578139062487554e-34,6.6901454816653116e-34
3.093474296739009e-18,0.001677868359682032,5.1220305758269234e-36,2.6298367911862746e-31,6.9523300997225825e-24,5.1211547833294353e-36,2.1852988500765076e-22,8.779718420219405e-37,1.2894896110645555e-61,3.9835871069769242e-49,1.0729762714533554e-52,9.0137852797786426e-51,7.1510161764849731e-41,1.8152926752932431e-27,1.2309625466124841e-42,2.9736800551186581e-62,1.1208338526649694e-57,2.7104714726693574e-44,7.7323678487861307e-59,8.0371519425175772e-104,1.2654034005529733e-73,3.1775174279007038e-74,2.5959324515191107e-91,4.8481773185998452e-66,8.9638762020978209e-73,5.4150310581645745e-65,7.2338184512871814e-53,5.3682402301643936e-46,3.9186970467731471e-79,8.1059576756892752e-89,3.7131248648982827e-82,5.837884331334713e-85,1.1074770394151431e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999967278,0.108803,0.0001,1.4374826031977412e-16,1.5477637740380563e-15,1.5477635631019919e-15,1.9799678090142144e-23,1.9939647201854221e-23,3.1488435179218572e-17,1.4684304618568619e-23,4.4784999169112004e-33,6.493303368144874e-33
6.573632880570394e-18,0.001677868359682032,2.2367285978672089e-35,1.1485187790675781e-30,1.4773700869411339e-23,2.2365427615398235e-35,4.6437726992722374e-22,3.8343428256348533e-36,5.6315398584778916e-61,1.7002262514014646e-48,4.6859692693194491e-52,7.8876455696981634e-50,1.5195909283622244e-40,3.8574969336117369e-27,5.3759368422160889e-42,2.6301863306752366e-61,9.9136484815173666e-57,1.1837341022055512e-43,6.8391922280263188e-58,2.9583672401193686e-102,2.3178664286546312e-72,5.8203264884402336e-73,9.5551067176306278e-90,8.8805099164714792e-65,7.9336313244975585e-72,4.9773464645070489e-64,3.1591985537826709e-52,4.7476003206595541e-45,3.4660431133131136e-78,2.983685410977227e-87,1.3667473087721236e-80,1.4071411140213975e-83,4.0198871521669281e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999930484,0.108803,0.0001,3.0546505317911572e-16,3.2889979431256195e-15,3.2889975268789121e-15,8.5851920860886808e-23,8.7081676387395798e-23,6.6912920227763178e-17,6.4130163980615973e-23,3.932413584821729e-32,5.6139790783873863e-32
1.3533950048233164e-17,0.001677868359682032,9.3375066152794764e-35,4.7948394859534765e-30,3.0416440524568229e-23,9.337125120572955e-35,9.5607606035263046e-22,1.600770278592717e-35,2.3510569901273418e-60,6.7787284678899564e-48,1.9562999229228233e-51,6.4867504052568276e-49,3.1285695207206967e-40,7.9419054458397814e-27,2.2443478047132806e-41,2.2108300878095334e-60,8.3330188657653063e-56,4.9418568550908087e-43,5.7487538858194486e-57,9.8051092889382553e-101,3.8292605127429433e-71,9.6155437880652003e-72,3.1668829312096628e-88,1.4671158586090083e-63,6.6762578536703656e-71,4.2582246819490838e-63,1.3189031961209102e-51,3.9904180666199368e-44,2.9134180028971409e-77,9.8890091217221466e-86,4.5298927791776723e-79,4.1734959947514835e-82,1.3647691743753044e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999856898,0.108803,0.0001,6.2889863889651353e-16,6.771466041195093e-15,6.7714653122404403e-15,3.533483864903023e-22,3.6354884384272024e-22,1.3776187592501051e-16,2.6773037444864152e-22,3.2580406960101001e-31,4.515057665067032e-31
2.7454584383558705e-17,0.001677868359682032,3.81459668785394e-34,1.9588481120619093e-29,6.1701912298001301e-23,3.8145197479252263e-34,1.9394897235472969e-21,6.5397312436830239e-35,9.604834578525379e-60,2.5258763320078417e-47,7.9921234812504664e-51,5.0846028874726737e-48,6.3465265891617192e-40,1.6110722452660099e-26,9.1688930836032593e-41,1.8125720725855721e-59,6.8319122848172357e-55,2.0189097715952489e-42,4.7131769508318568e-56,2.9893616972716111e-99,5.8214593652452638e-70,1.4618095572217951e-70,9.6550813130846702e-87,2.2303928726127378e-62,5.4855576967049026e-70,3.5207824971988971e-62,5.3881498126629561e-51,3.2714937476397025e-43,2.3885959711677147e-76,3.014938166002057e-84,1.3810628762177897e-77,1.2841371988163186e-80,4.4948418261235664e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999709706,0.108803,0.0001,1.2757658103261668e-15,1.3736401303083548e-14,1.3736400314194321e-14,1.4037395056241161e-21,1.4852155438809564e-21,2.7945972972016127e-16,1.0937623759739303e-21,2.596574258156701e-30,3.4062523904048755e-30
5.5295853054209786e-17,0.0016778683596820323,1.5419047616731395e-33,7.9179750817067265e-29,1.2427282569735914e-22,1.5418894452016107e-33,3.9063813793025193e-21,2.6435143272634072e-34,3.8824274159888467e-59,8.5116500519393536e-47,3.2305440708691215e-50,3.7536232113976241e-47,1.2782440260940108e-39,3.2448356395757578e-26,3.7062131732392342e-40,1.4678678485632394e-58,5.5326596309126495e-54,8.1607560722512841e-42,3.8168548197352047e-55,8.2102492157450142e-98,7.9644368032019422e-69,1.9999262307743143e-69,2.6517489881901876e-85,3.0514381301513691e-61,4.4615416296876171e-69,2.8630418293134741e-61,2.1779762298048904e-50,2.6493028505649539e-42,1.9343467371906842e-75,8.2804870626412038e-83,3.7930687907528738e-76,3.7947623134322039e-79,1.4589255772442287e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999415341,0.108803,0.0001,2.569500153164904e-15,2.7666268279934815e-14,2.7666268043025922e-14,5.3760572144857357e-21,6.00347783545443e-21,5.6285520691327397e-16,4.4211336354070793e-21,1.9913063572861897e-29,2.3764608678664661e-29
1.1097839039551196e-16,0.001677868359682032,6.1998962458220444e-33,3.1837812026687608e-28,2.4941453190615783e-22,6.1998662198518154e-33,7.8404220082003602e-21,1.0629860138197998e-33,1.5611067562257593e-58,2.420279643433504e-46,1.298987543699294e-49,2.5115323838359812e-46,2.5654265744082529e-39,6.5123623999779561e-26,1.4902520090906714e-39,1.181467730183893e-57,4.453165694224603e-53,3.2814041079075934e-41,3.0721399207469439e-54,1.9142823759091618e-96,9.2223920459892816e-68,2.3158074309109144e-68,6.1827360018220243e-84,3.5334022273894633e-60,3.6218675676845724e-68,2.3091469146494396e-60,8.7575460374627522e-50,2.1323734980156874e-41,1.5569302023405286e-74,1.9306562768972285e-81,8.8438097239944459e-75,1.0208828249521256e-77,4.7016092329972969e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998826611,0.108803,0.0001,5.1569688387601016e-15,5.5525989309867865e-14,5.5525994400389003e-14,1.9543053646418104e-20,2.4139713441152855e-20,1.1296452397122435e-15,1.7776952978599843e-20,1.4484749779631358e-28,1.4944003266873215e-28
2.223434650781163e-16,0.001677868359682032,2.4864266390714036e-32,1.2768372541834855e-27,4.9969746196501773e-22,2.4864209031635377e-32,1.5709532534936298e-20,4.2633744310882513e-33,6.2607344520138932e-58,5.3202217519422341e-46,5.209520886235428e-49,1.4458547017379002e-45,5.1397909268712086e-39,1.3047415807912882e-25,5.9765770289927438e-39,9.4805342165465232e-57,3.5733848469232903e-52,1.3159897984739588e-40,2.4652037896340451e-53,3.506732149581291e-95,8.3438626924481158e-67,2.0952020918824739e-67,1.1325974011660265e-82,3.1968086886253595e-59,2.9557727762440141e-67,1.8548323119659167e-59,3.5121671772381656e-49,1.7110877370387623e-40,1.2493378959172207e-73,3.536720829179062e-80,1.6200723408044536e-73,2.3686026613528145e-76,1.5098123008817971e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997649132,0.108803,0.0001,1.0331906209621393e-14,1.1124538686560625e-13,1.1124541071395072e-13,6.5576754188884206e-20,9.6810992491461677e-20,2.2632216189731451e-15,7.1291684993315941e-20,9.7337290864540148e-28,8.3070654288459692e-28
