Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093)
0.0,0.003468764594665178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56507122136692e-20,0.003468764594665178,1.8914737886369575e-35,2.0691817204329468e-31,7.0374440472655979e-22,1.3285507429822282e-35,4.6818882684222941e-22,4.5861421625741007e-38,4.2103432427257393e-57,2.8581784108213674e-47,4.3806575086885621e-51,1.3416477537640214e-51,1.4556252499960393e-36,4.5350291123837259e-27,1.3796036056707802e-43,5.7335806609963652e-63,1.6300203155727739e-58,1.0969471084936733e-44,1.4454682232761252e-60,6.6246021420041578e-86,3.6238416233759493e-58,1.2355805393892507e-74,6.9951382496135335e-45,1.0257240449965477e-69,6.5893018704827754e-39,1.2424480424225735e-56,5.0578768902677026e-51,1.6767937730234718e-47,2.0200873312147065e-75,9.1267538090197881e-91,7.6047040169902999e-57,5.1364352668849201e-73,2.1515508701042434e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991633,0.108803,0.0001,2.9647609629165804e-17,2.3245747061914482e-16,2.3245639399417818e-16,1.2570776280344212e-26,1.2573473344241835e-26,3.4065900949580806e-16,7.3861544881583536e-27,1.109590009481862e-37,1.3015917119281176e-37,2.305415534671806e-42,1.9519842697076086e-30,4.1959867333107042e-24,4.5626192933465625e-29,2.0584296756920746e-42,1.1703067264789053e-44,9.9186767001567994e-46,1.5431946642137589e-52,6.934965571951686e-24,1.4462671141288246e-63,1.6777134282511636e-74,3.6273805457475537e-75,1.3426555565259298e-86,2.7792469139289383e-80,4.3249207639898005e-29,6.5893088653826939e-39,2.0937011677567573e-49,2.8960586998859563e-50,9.5296372086071864e-23,2.9599995038889233e-55,4.6103797182963324e-63,2.0789196366345454e-38,1.7180600359724657e-77,1.4046696311989597e-29,7.2781525189470541e-34,7.4619862376657507e-44,2.3709876767438649e-54,2.0180790371743948e-54,1.6398040527975712e-55,6.5943776356328161e-65,3.4052198282446117e-37,1.8418697806463311e-47,2.646635708307197e-58,1.4369734098851256e-47,1.6250995744100509e-58,3.9669027002125934e-46,1.3427391156212798e-51,3.7269987428989993e-41,1.0079488391063627e-51,1.6735124345585063e-64,2.956177114788657e-75,1.0079541474410926e-51,1.1325876835109929e-51
4.3821994198273765e-20,0.003468764594665178,9.6006309734303077e-35,1.2497810426404145e-30,1.9704843327145337e-21,8.0244464858414787e-35,1.3109287275020853e-21,2.770029896547751e-37,2.5430473187457165e-56,1.7262615215446607e-46,2.6459171354148319e-50,1.5927515177851736e-50,4.075750699896239e-36,1.2698081515327415e-26,8.3328057786101876e-43,6.8069069610978919e-62,1.9351601187144937e-57,6.6255605355858478e-44,1.7160598790972233e-59,2.7336605608256574e-84,8.1063885299933793e-57,3.8846924426640817e-73,8.3046278856093574e-44,3.2293138211391159e-68,7.8228191791900445e-38,2.7793065720989213e-55,3.0549576416648054e-50,1.4905993340787842e-46,2.3982476797003657e-74,5.2563163362147655e-89,1.7011418219724499e-55,2.1195643130138348e-71,2.4464458033732982e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976611,0.108803,0.0001,8.3013306961651934e-17,6.5088091766882873e-16,6.5087790314268747e-16,7.5911426126419194e-26,7.5943778955268878e-26,9.5384518987320578e-16,4.4612372242178724e-26,1.3163284867965077e-36,1.5419707168209002e-36,2.7369934272165917e-41,1.1789984967449009e-29,2.5343759055184051e-23,2.7558220529521193e-28,2.4437588090351927e-41,1.3893881432149556e-43,1.1775451352484184e-44,3.4520642806814946e-51,4.1887190709219922e-23,5.9680609736653328e-62,1.2629406324523668e-72,2.7306011885380954e-73,1.8327179868969345e-84,2.0921474801596587e-78,2.612252140922164e-28,7.8228274832847929e-38,4.6835252384999566e-48,6.4783673016323728e-49,2.6682979607850485e-22,6.6214004954430101e-54,1.0312909069817748e-61,2.4680933199559276e-37,1.2933125480487775e-75,8.4842033170768882e-29,4.3964107478058055e-33,8.8596204755687165e-43,5.3042334226314911e-53,4.514726985001527e-53,3.6684728984985068e-54,2.71401140069017e-63,2.0567527758772079e-36,2.1866678021729166e-46,5.9155668859023768e-57,1.7059747277940915e-46,3.632099574724877e-57,4.7095031194058167e-45,1.9050531150447273e-50,4.4246928283386205e-40,2.2547213271794159e-50,4.4411778348523696e-63,1.4416826880528384e-73,2.2547432318893206e-50,2.5335533010409923e-50
1.0016455816748289e-19,0.003468764594665178,4.2236962794500134e-34,6.0171474253092541e-30,4.5039641866111472e-21,3.8634255579355485e-34,2.9964085781971676e-21,1.3336501861606548e-36,1.2243678151890511e-55,8.3104093358157807e-46,1.2738952037753018e-49,1.5636605525851988e-49,9.3160015993259523e-36,2.9024186323826743e-26,4.0118872858297429e-42,6.6830616195744796e-61,1.8999516800377592e-56,3.1899221919256871e-43,1.6848377742797628e-58,1.0814088774683284e-82,1.6016856706774671e-55,8.6657295902753662e-72,8.153532386320915e-43,7.2357402629450341e-67,7.680490255748654e-37,5.4914414303787144e-54,1.4708305996044875e-49,1.2043354608350954e-45,2.3546137935101093e-73,2.3569369230271173e-87,3.3611693665549495e-54,8.3847851058320289e-70,2.2145527006002853e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946548,0.108803,0.0001,1.8974470162657478e-16,1.4877278115092175e-15,1.4877209212756603e-15,3.6531733644448427e-25,3.656366041912909e-25,2.1802174037677924e-15,2.14789359521246e-25,1.29031483129787e-35,1.5070156412843516e-35,2.6871981809067023e-40,5.6763702239312591e-29,1.2201928199448703e-22,1.3268096901614746e-27,2.3992780341635521e-40,1.3641095127551035e-42,1.1561204521284552e-43,6.8206953269120935e-50,2.0166877865183239e-22,2.3609048992358606e-60,9.9856889992894642e-71,2.1590036425590292e-71,2.8952444268214268e-82,1.6541976981551301e-76,1.2576869573767139e-27,7.680498408227652e-37,9.2538543564487126e-47,1.2800161364756686e-47,6.0989646101348293e-22,1.308277159813006e-52,2.0375152184853781e-60,2.423188503225766e-36,1.0225830539195887e-73,4.0847774044798681e-28,2.1170966918728842e-32,8.7000174420170653e-42,1.0482125732181405e-51,8.9219176224625936e-52,7.2495677757757673e-53,1.0674144556016037e-61,9.9023792547979469e-36,2.1468834119494871e-45,1.1667239467979535e-55,1.6749358828555041e-45,7.1626900802363552e-56,4.6238101118963154e-44,2.5290501274132209e-49,4.3441894891079818e-39,4.4548633065388958e-49,1.1791540697623333e-61,7.6426551989688996e-72,4.4549499569272558e-49,5.005874194659236e-49
2.1284968610590116e-19,0.003468764594665178,1.7638169616653873e-33,2.6278442738928044e-29,9.5709238860870275e-21,1.6872594408421021e-33,6.3673684770888131e-21,5.8244010132597433e-36,5.3471359203521833e-55,3.6286741810496197e-45,5.5634350385959026e-49,1.382840094460051e-48,1.9796503396702636e-35,6.1676395951273131e-26,1.7520965797612478e-41,5.9110923205985695e-60,1.6804857449757827e-55,1.3931228282272484e-42,1.4902199468575154e-57,3.8594710751538312e-81,2.8501137210139927e-54,1.6226922694414736e-70,7.2117061392216719e-42,1.3673643313829488e-65,6.7933066469721258e-36,9.7717266102926445e-53,6.4235036497578007e-49,9.5356742951060017e-45,2.0826292354975942e-72,8.865756563429247e-86,5.9810205620422777e-53,2.9924698827090486e-68,1.6783955452402052e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999886405,0.108803,0.0001,4.0320749095622293e-16,3.161421598155101e-15,3.1614069568854198e-15,1.5940020217504159e-24,1.5968311079066618e-24,4.6329612441162699e-15,9.380414857220285e-25,1.1376137153508075e-34,1.3208247875845382e-34,2.3767970852909372e-39,2.4790199890701722e-28,5.3289018895853042e-22,5.7945264990004215e-27,2.1221007081085232e-39,1.2065394067100693e-41,1.0225748345923367e-42,1.2137055865986708e-48,8.807404191058238e-22,8.4258970775730037e-59,7.1373489083317595e-69,1.5431646531009366e-69,4.1415504199629263e-80,1.1823507653253948e-74,5.4926493620879627e-27,6.7933138568038188e-36,1.6466731268326149e-45,2.2777200646579841e-46,1.2960290586846715e-21,2.3280093121869524e-51,3.6251420419956068e-59,2.1432825155903446e-35,7.3089919479383097e-72,1.7839284858088595e-27,9.2495564021029576e-32,7.6978945239258275e-41,1.8659012150215774e-50,1.5881716898666235e-50,1.2904807263948473e-51,3.7657525926715973e-60,4.3246291759434193e-35,1.8988940598758191e-44,2.0686818827988123e-54,1.4814614268719171e-44,1.2696826679076133e-54,4.0896934893920202e-43,3.4086056829453942e-48,3.8423861081925695e-38,7.9268834910373506e-48,3.1766835832251569e-60,4.1166535891087831e-70,7.9271927224607132e-48,8.907684994620425e-48
4.382199419827376e-19,0.003468764594665178,7.2015944122194311e-33,1.0970728341835179e-28,1.9704843251769403e-20,7.0439760145838905e-33,1.3109289064878038e-20,2.4315729942176003e-35,2.2323239891653331e-54,1.5143153894295523e-44,2.3226246134084732e-48,1.1620241681649644e-47,4.0757506985525026e-35,1.2698081524795694e-25,7.3146583223415797e-41,4.9686292677630664e-59,1.4125495259356739e-54,5.8160135731959851e-42,1.2526196841799558e-56,1.3040277806218762e-79,4.8071321832112299e-53,2.8017504936151433e-69,6.0618719991011424e-41,2.404151070897976e-64,5.710183555038389e-35,1.6481445167048463e-51,2.6816863264259837e-48,7.5545676081966543e-44,1.7505753607482917e-71,3.068801653036683e-84,1.0087862887763623e-51,1.0110876957242772e-66,1.1670456232160551e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999766137,0.108803,0.0001,8.3013306961472929e-16,6.5088091673154767e-15,6.5087790254802003e-15,6.6426840426608024e-24,6.6664555058142705e-24,9.5384465750515687e-15,3.9161379011790431e-24,9.5014078444740985e-34,1.0903835477003726e-33,1.9978414663368929e-38,1.0349420296855725e-27,2.2247110304542649e-21,2.4191007461409865e-26,1.7836970868137507e-38,1.0141690551923234e-40,8.5953473255785835e-42,2.0470894949403788e-47,3.6769168694609013e-21,2.8469169356926194e-57,4.8269870457854392e-67,1.0436418192040289e-67,5.6041132027660121e-78,7.996236090954641e-73,2.2930729817061997e-26,5.7101896137488621e-35,2.7773521683928658e-44,3.8417069328678028e-45,2.6682913252382521e-21,3.9265279985398299e-50,6.1126200755422244e-58,1.8015576362465301e-34,4.943069192282484e-70,7.447540872312533e-27,3.8645488916009741e-31,6.4753010063526704e-40,3.1493524093198342e-49,2.6805874496630548e-49,2.1781329588825174e-50,1.2437936689690072e-58,1.8054475476032906e-34,1.5961348653435363e-43,3.4642865509149874e-53,1.2452569321130444e-43,2.1252221750229963e-53,3.4376099264009189e-42,4.8362217002924894e-47,3.2297565428503401e-37,1.3368809191995948e-46,8.9973939729319104e-59,2.3297987808671481e-68,1.3369853895747305e-46,1.5024110450449452e-46
8.889604537364107e-19,0.003468764594665178,2.9096680397119073e-32,4.4818996385843689e-28,3.9972681850056533e-20,2.8776940304099944e-32,2.6593133400480205e-20,9.9337709205831734e-35,9.1197718932860635e-54,6.1816993244090877e-44,9.4886794095939115e-48,9.5214675746864124e-47,8.267951413944593e-35,2.5758965400848852e-25,2.9882765983933032e-40,4.0735824693693196e-58,1.1580934447009948e-53,2.3760313182365693e-41,1.0269733403999283e-55,4.2873562807598479e-78,7.8957251408306916e-52,4.6516744705287873e-68,4.9698863678369715e-40,4.1355055582488978e-63,4.681553458136185e-34,2.707082309110216e-50,1.0955563652675516e-47,6.006683588481634e-43,1.4352274468487593e-70,1.0202594501310183e-82,1.6569336890233593e-50,3.3242335244635868e-65,7.7818877386808441e-84,0.88129999999999997,0.0,0.0,0.0,0.00988999999995256,0.108803,0.0001,1.6839842269285813e-15,1.3203584289175688e-14,1.3203523152170806e-14,2.7040278656392231e-23,2.723464568362666e-23,1.9349407837884547e-14,1.5998695836444521e-23,7.6917495921108514e-33,8.6304648380514308e-33,1.6379512846852722e-37,4.2280757525868198e-27,9.0886654895267009e-21,9.8828158671969522e-26,1.4622901154221666e-37,8.3147703937551903e-40,7.0469681444624115e-41,3.3623428374701418e-46,1.5021396937340935e-20,9.3600186313704857e-56,3.1753460992004452e-65,6.8654089105788175e-66,7.3746812303245972e-76,5.2601808418283335e-71,9.3679513093076433e-26,4.6815584228297446e-34,4.561800265711431e-43,6.3100122994373556e-44,5.4128041432403973e-21,6.4493341088391194e-49,1.0034378687039791e-56,1.4770250404344606e-33,3.2517086488899386e-68,3.042555780911746e-26,1.5812795909610699e-30,5.3166437386155991e-39,5.1801707373488859e-48,4.4091271912979696e-48,3.5826773888416539e-49,3.9138324643541882e-57,7.3758423116690048e-34,1.3086077823822348e-42,5.6101634827026279e-52,1.0209357827158936e-42,3.4383732742232588e-52,2.8183211587927124e-41,7.197365827422776e-46,2.6479487239546464e-36,2.1954898534345481e-45,2.6734436144017785e-57,1.3833491255018429e-66,2.1958332507174362e-45,2.4677139080310078e-45
1.7904414772437567e-18,0.0034687645946651787,1.1696497631279147e-31,1.811655312043489e-27,8.0508358514319566e-20,1.1632099287090342e-31,5.3560834711779421e-20,4.0153905181205798e-34,3.6863576184733885e-53,2.4948903391041525e-43,3.8354759364304396e-47,7.7018277238283472e-46,1.6652352835239215e-34,5.1880733219820732e-25,1.2079091814432851e-39,3.2988927044804482e-57,9.378540982386203e-53,9.6042984970711815e-41,8.3166970713008453e-55,1.3905925926620895e-76,1.2799298042658799e-50,7.5720918076505529e-67,4.0247387198234251e-39,7.2017074179318139e-62,3.7912433435029745e-33,4.3882970512646923e-49,4.4284139900002848e-47,4.7890314823281273e-42,1.1622843985361164e-69,3.3237161017226227e-81,2.6859582551465271e-49,1.0782061335678861e-63,5.0830557543665358e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999044509,0.108803,0.0001,3.3916865415436437e-15,2.6593134467567641e-14,2.6593011363556192e-14,1.0852271506689423e-22,1.1008679012889158e-22,3.8971292767472057e-14,6.4669243745050151e-23,6.0757951094871791e-32,6.5356688058796985e-32,1.326455516253406e-36,1.7090557136238161e-26,3.6737798838529547e-20,3.9947921749637551e-25,1.1840506170571047e-36,6.7335162254084389e-39,5.7067901325066476e-40,5.4504773281492609e-45,6.0718821656917042e-20,3.0358857348274374e-54,2.0602635392587631e-63,4.4544913488751488e-64,9.5708705531112942e-74,3.4129713847720979e-69,3.7866756738025217e-25,3.7912473598239597e-33,7.3948455982224981e-42,1.0228792537312444e-42,1.0901782919226017e-20,1.0454648772447059e-47,1.624798304362601e-55,1.1961319488724309e-32,2.1098099547217128e-66,1.2298434898680374e-25,6.4118773052345716e-30,4.3181906633217611e-38,8.4211092309057947e-47,7.1676620540157036e-47,5.8241685434582712e-48,1.1693971291649854e-55,2.9814333731488896e-33,1.059744486467037e-41,8.8456144821149876e-51,8.2677850825898661e-42,5.4114464593450002e-51,2.2822861347747088e-40,1.1063792143630558e-44,2.144376195611859e-35,3.5578783732340113e-44,8.2099645255984806e-56,8.491390388147157e-65,3.5589916654293097e-44,4.0002681710666893e-44
3.5934035242584484e-18,0.003468764594665178,4.6901406081327237e-31,7.2845858854723873e-27,1.6157970971359518e-19,4.6772158931291467e-31,1.0749628789475744e-19,1.6145720609853829e-33,1.4822681905056972e-52,1.0000992672832847e-42,1.5422280115499504e-46,6.184828219307804e-45,3.3421155639870221e-34,1.0412426912522669e-24,4.8569497098115374e-39,2.6552358554508578e-56,7.5486657152729356e-52,3.8618461957205275e-40,6.6940024659872349e-54,4.4799719259033389e-75,2.06128341385656e-49,1.2192552167915529e-65,3.2394532436734786e-38,1.3116111879031668e-60,3.0515224343442494e-32,7.0672170276474605e-48,1.7806457862748305e-46,3.8243884761298009e-41,9.3550760248126748e-69,1.0707480282867962e-79,4.3256444087865287e-48,3.4735779696639201e-62,3.286415948896619e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998082327,0.108803,0.0001,6.8070911707232014e-15,5.3372234567046111e-14,5.3371987618343672e-14,4.3022838239812908e-22,4.4265412388482102e-22,7.8214912242909522e-14,2.600318407284036e-22,4.6605722956936242e-31,4.653139035144435e-31,1.0676469037985036e-35,6.8720369993154801e-26,1.4772074987305774e-19,1.6062883549315608e-24,9.5278583992228904e-36,5.419718993595492e-38,4.5932771097340815e-39,8.7777442048021461e-44,2.4414717675377698e-19,9.7804209115210591e-53,1.3276137621068005e-61,2.8704308755305906e-62,1.2335416917306625e-71,2.1992881938496714e-67,1.5226056130622437e-24,3.0515256602410884e-32,1.1909076770472355e-40,1.6473125035860215e-41,2.1879553034333644e-20,1.6836890390935331e-46,2.6108569318005566e-54,9.6274908428798252e-32,1.3595410060619792e-64,4.9450966980600447e-25,2.5943456929912463e-29,3.4959943970133853e-37,1.3638687963176725e-45,1.1608608039597893e-45,9.4327698623583092e-47,3.2573654543472776e-54,1.1988212314863123e-32,8.5297452045911661e-41,1.3505966028675959e-49,6.6546044139966402e-41,8.2347447434579504e-50,1.8368803672002222e-39,1.7331922976168808e-43,1.7259783720599249e-34,5.7262966148579885e-43,2.5705932644724614e-54,5.3154621084471734e-63,5.7298799599857092e-43,6.4423007912928189e-43
7.199327618287833e-18,0.003468764594665178,1.8783621755757302e-30,2.9214445963276473e-26,3.2372240359510018e-19,1.875772710292103e-30,2.1536739650223222e-19,6.4751656763409953e-33,5.9445584471491682e-52,3.9862919104333748e-42,6.1850241571673913e-46,4.9402202809922764e-44,6.6958761097299331e-34,2.0861134200588572e-24,1.9478540819006839e-38,2.1306595686727691e-55,6.0573288670712425e-51,1.5487730588302953e-39,5.3715172136320518e-53,1.4384203146029784e-73,3.3088032929328681e-48,1.9483054534285485e-64,2.5994465863472368e-37,2.5859823130625227e-59,2.4486545124422038e-31,1.1344448193787795e-46,7.1411859990782101e-46,3.0567134218223387e-40,7.5068593812069572e-68,3.4228520540214349e-78,6.9435897881342277e-47,1.1152887279606444e-60,2.1140159188485356e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999996157981,0.108803,0.0001,1.363790042888005e-14,1.069304337673071e-13,1.0692993945598552e-13,1.678078803544935e-21,1.7752408790956673e-21,1.5670154966344459e-13,1.0428412240448027e-21,3.4173368132675098e-30,3.0280766140843505e-30,8.567195497088301e-35,2.7559935074751026e-25,5.9242368220601235e-19,6.4419346637136777e-24,7.6416396888697449e-35,4.348982099054723e-37,3.6857448841023557e-38,1.4089961772575173e-42,9.7913508817950014e-19,3.1402306464214649e-51,8.5256850422237994e-60,1.8433365749427924e-60,1.5843573690263948e-69,1.4123448020974361e-65,6.1063293421932227e-24,2.4486570901280708e-31,1.9116403599214934e-39,2.6442917586489247e-40,4.3834343542782149e-20,2.7026940588667204e-45,4.1724383719552219e-53,7.7254234787022244e-31,8.7307159872670237e-63,1.983164940182804e-24,1.053408504601191e-28,2.8379558185505035e-36,2.2139509957678076e-44,1.8844049091981445e-44,1.5312238176524517e-45,8.255020947669754e-53,4.8078092048204776e-32,6.8445827372638468e-40,1.963637400666635e-48,5.3398555312859678e-40,1.1903565034213499e-48,1.4738170274911358e-38,2.7429597677456248e-42,1.3849855010171455e-33,9.1805761362243819e-42,8.1336669882475855e-53,3.3628632027319464e-61,9.1920605262059897e-42,1.0341294564007393e-41
