Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74)
0.0,0.0021453895271728736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
5.986519179977996e-19,0.0021453895271728736,2.098554800418215e-37,1.0778428786105485e-32,1.337231694388784e-24,2.0972399220176571e-37,3.2938153803026952e-23,2.8178897402308028e-38,4.7948065616734906e-63,1.655949665166413e-50,3.4293436805755928e-54,8.973961472831949e-53,1.3709614175951975e-41,2.7358125598621982e-28,3.9485946253010419e-44,2.2965125917609625e-64,1.1074642731619076e-59,8.6875784875605862e-46,5.9825331234485361e-61,3.3896980844213618e-107,2.0431410237756137e-76,6.5438231702046445e-77,1.0988654245801086e-94,7.8416514166375375e-69,8.0464537363347574e-75,2.9991694389638696e-67,2.9564618172736985e-54,5.3154283289483247e-48,3.5136591954637243e-81,4.3854646076819811e-92,1.575405925094583e-85,2.8095598488673074e-87,-1.1215782593985551e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994982,0.108803,0.0001,2.7754790771519963e-17,2.3365883725848875e-16,2.3365880298198011e-16,6.4023815702555166e-25,6.4163488385471916e-25,6.0648617998902358e-18
1.6762253703938388e-18,0.0021453895271728736,1.2671009438455969e-36,6.5101709314730467e-32,3.744248709210953e-24,1.2667329029653095e-36,9.2226889373638827e-23,1.7020063261993991e-37,2.896063157146085e-62,9.9498338697654261e-50,2.0713235826526339e-53,1.0630482333667666e-51,3.8386919638683795e-41,7.6602751669774941e-28,2.3849511535164915e-43,2.7264197484353794e-63,1.3147815846573579e-58,5.2472974061171726e-45,7.1024634305744844e-60,1.942536935359033e-105,6.3913535094278056e-75,2.0470386852434122e-75,6.2970265660594795e-93,2.4530253035994101e-67,9.5596533324273237e-74,4.5323448544963623e-66,1.7857029358460068e-53,6.3075635267331668e-47,4.1714161843219285e-80,2.513204554705458e-90,9.0282730862372459e-84,3.9266410579525425e-86,2.4747662626680493e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999985961,0.108803,0.0001,7.7713414160226368e-17,6.5424474225743463e-16,6.5424464627051187e-16,3.858924057766313e-24,3.8754746814439594e-24,1.6981612696239673e-17
3.831372275185917e-18,0.0021453895271728736,6.0996141911464366e-36,3.1343670115510258e-31,8.5582825985447314e-24,6.0987735442270213e-36,2.108045954155141e-22,8.1944372057252703e-37,1.3943297389736179e-61,4.7377542272951707e-49,9.9725314168788611e-53,1.0384366127333149e-50,8.7741530348220464e-41,1.7509200378661442e-27,1.1482513167895364e-42,2.6768150753942796e-62,1.2908603554320882e-57,2.5263478236284637e-44,6.9732409266916958e-59,8.6196868880117232e-104,1.4106775966877648e-73,4.5181534718490928e-74,2.794101391674105e-91,5.4142332055196989e-66,9.3904172724077069e-73,4.8756897689414755e-65,8.5973909377342794e-53,6.1912937088745245e-46,4.0955211193708736e-79,1.1151849419579164e-88,4.0061179663280011e-82,6.4654749556385658e-85,1.0234183625150978e-99,0.88129999999999997,0.0,0.0,0.0,0.009889999999996792,0.108803,0.0001,1.776306609375211e-16,1.4954165440544001e-15,1.4954163245314456e-15,1.8496915331339292e-23,1.8658742166917079e-23,3.8815113115126679e-17
8.141666084770073e-18,0.0021453895271728736,2.6636729330755682e-35,1.3688603753969903e-30,1.8186349815970073e-23,2.6634945469954283e-35,4.4796094710185439e-22,3.5787342700947316e-36,6.0894042386427583e-61,2.0235514688259475e-48,4.3552664678837291e-52,9.0901518717497147e-50,1.8645075090358595e-40,3.720705079184274e-27,5.0147151715695891e-42,2.3676126183189349e-61,1.1417513641915829e-56,1.1033224673475567e-43,6.1677530071248495e-58,3.1749427179840483e-102,2.585748640020463e-72,8.2817003392056855e-73,1.0291507801418541e-89,9.9241996759553504e-65,8.3104827906963614e-72,4.4815989001279916e-64,3.7547064801022943e-52,5.4754786368703013e-45,3.6224420025352507e-78,4.1076165053849447e-87,1.4755933951688526e-80,1.5309237067003609e-83,3.5493087064096613e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999931838,0.108803,0.0001,3.7746515449163834e-16,3.1777601153519327e-15,3.1777596477887967e-15,8.0068069545332581e-23,8.148762760857516e-23,8.2482108457653931e-17
1.6762253703938388e-17,0.0021453895271728736,1.1119930911988046e-34,5.7147222255546078e-30,3.7442482005852152e-23,1.111956468083475e-34,9.2227740888476252e-22,1.4940580091996079e-35,2.5422063537770112e-60,8.0793213084607296e-48,1.8182380136367125e-51,7.4810359538449616e-49,3.8386918855948576e-40,7.6602751577458995e-27,2.0935448680281514e-41,1.9901210618610286e-60,9.5971081449141374e-56,4.6061541089508308e-43,5.1843686707470391e-57,1.0537174585807095e-100,4.2777036188515322e-71,1.3700735861203277e-71,3.4155723566271757e-88,1.6417985960036493e-63,6.9921525038595199e-71,3.8341022046182497e-63,1.567516030449138e-51,4.6022010555611327e-44,3.0448806921502358e-77,1.3632561155083534e-85,4.8972719004633926e-79,4.5097083795221276e-82,1.1755874661254922e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999859673,0.108803,0.0001,7.7713414159798381e-16,6.5424471326962321e-15,6.542446161245435e-15,3.2845623481231317e-22,3.4019479165100516e-22,1.6981607716172679e-16
3.400342894227502e-17,0.0021453895271728745,4.5427782617677211e-34,2.3346501847999846e-29,7.5954737405743996e-23,4.5427043874588393e-34,1.8709253660904426e-21,6.1037708454447711e-35,1.0385742083265792e-59,3.0190248157012703e-47,7.4280955367215302e-51,5.8726621718563332e-48,7.7870605005196058e-40,1.5539415298570601e-26,8.5528138826590268e-41,1.6316214793209414e-59,7.8682890442642306e-55,1.8817642463560081e-42,4.25045970088457e-56,3.2211612029095309e-99,6.5209505535507589e-70,2.0885462636890865e-70,1.0441182538980584e-86,2.502765132265801e-62,5.743053993645211e-70,3.1701098333301366e-62,6.4038143423606975e-51,3.7730530793306209e-43,2.4963770250182073e-76,4.1674006856194012e-84,1.4970693584430043e-77,1.3866239529675797e-80,3.8220541444797316e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999715344,0.108803,0.0001,1.5764721158031182e-15,1.3271820695999422e-14,1.3271818655926531e-14,1.2965983405247855e-21,1.3898066225824628e-21,3.4448392664599058e-16
6.848577941894828e-17,0.0021453895271728736,1.8362479657174138e-33,9.4370268104895301e-29,1.5297921228605526e-22,1.8362332541680759e-33,3.7682814150528895e-21,2.4672873467348778e-34,4.1980827018878267e-59,1.0228781537066064e-46,3.0025549604055371e-50,4.3484228311519594e-47,1.5683797177596158e-39,3.129769551502582e-26,3.4571841109296884e-40,1.3213293681114874e-58,6.3719443930525747e-54,7.6063919337327768e-42,3.4421341479344333e-55,8.8921584606364219e-98,8.9679886788898261e-69,2.8722895898027304e-69,2.8823251490747404e-85,3.4419474872199986e-61,4.6676253419091262e-69,2.5778806463176175e-61,2.5885240565048484e-50,3.0554715620778658e-42,2.0216306266781622e-75,1.1504281127185274e-82,4.1327196916586129e-76,4.1074746410949478e-79,1.2323756445053442e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999426686,0.108803,0.0001,3.1751480641831624e-15,2.6730566147553724e-14,2.6730561516360581e-14,4.9078561061297929e-21,5.6178197375130563e-21,6.9381927391934382e-16
1.3745048037229478e-16,0.0021453895271728736,7.3834380706068677e-33,3.7945849525470967e-28,3.0702801836892198e-22,7.3834092072363107e-33,7.5632340511151434e-21,9.921220460727766e-34,1.6880303478049939e-58,2.9360165279201235e-46,1.2073141273227278e-49,2.9254127667782001e-46,3.1477268320657778e-39,6.281425568715931e-26,1.390118519186536e-39,1.0635208148677993e-57,5.1286950747775329e-53,3.0584967277456602e-41,2.7705317280560583e-54,2.0915343206651936e-96,1.0477987061731896e-67,3.3559152836770043e-68,6.7795248428989804e-84,4.0214904957614492e-60,3.7837983710604199e-68,2.079154095436373e-60,1.040834066917209e-49,2.4592904914367695e-41,1.6271838663704107e-74,2.7059298047234828e-81,9.7205893307244988e-75,1.1107882211567139e-77,3.958250412714501e-92,0.88129999999999997,0.0,0.0,0.0,0.009889999999884937,0.108803,0.0001,6.3724999608223497e-15,5.3648051696150155e-14,5.364803872152053e-14,1.7484569712144373e-20,2.2588999313097585e-20,1.3924885616881863e-15
2.7537988227898777e-16,0.0021453895271728745,2.9610796816463081e-32,1.5217966608044533e-27,6.1512505582470472e-22,2.9610741570590024e-32,1.5154101475253272e-20,3.9791471530468478e-33,6.7697547373622975e-58,6.5378356521479581e-46,4.8418695023404627e-49,1.6969113646938211e-45,6.3064201762417625e-39,1.2584737498831756e-25,5.574996954943009e-39,8.5340845386305299e-57,4.1154546119772607e-52,1.2265939706598983e-40,2.2231815739887639e-53,3.8775261612994885e-95,9.5967100276326564e-67,3.0736570902136585e-67,1.2568601883697263e-82,3.6832530847126489e-59,3.0793796277758709e-67,1.6700895809385439e-59,4.1742095595697102e-49,1.9734167112030632e-40,1.3057120308506576e-73,5.0165503196965906e-80,1.8021065561783617e-73,2.5963586577008249e-76,1.2689624003660281e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997694756,0.108803,0.0001,1.2767203753617127e-14,1.0748300853959007e-13,1.0748295906904363e-13,5.6890493382989121e-20,9.0591936114818484e-20,2.7898215101370762e-15
