Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826)
0.0,0.0023882024984940866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.966524076866749e-20,0.0023882024984940866,6.0176989568130869e-36,1.3468015538338844e-31,9.6173951343516417e-23,5.8158698051707865e-36,2.7338892794911159e-22,8.5203593073775543e-38,6.5616011134089488e-59,3.8949752170113786e-48,8.0078213713417278e-52,1.4887888270402063e-51,3.0691973342076014e-38,2.5220073530219187e-27,2.0106586341302049e-43,6.3391371118463669e-63,1.7451723220130763e-58,1.0175152947460048e-44,4.9950062466315068e-60,7.8583834748563264e-87,3.3475553316456973e-58,6.8683520491767249e-75,1.1244913684719998e-45,8.8861951502378654e-69,2.2555113698603131e-38,4.5514761077766459e-56,6.8961831076992687e-52,2.0880351796048254e-47,5.3405602005096184e-77,1.6286686733533179e-90,7.7134667727156437e-57,1.6462994727994365e-72,2.9408259964775349e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991529,0.108803,0.0001,3.5783092001944227e-17,3.5405253231162302e-16,3.5405222179710565e-16,1.1537039226958885e-25,1.1544122981364708e-25,1.0253485341131853e-16,7.3475066262851183e-26,2.5977419817219106e-36,3.2968946472166697e-36,6.6899393139979525e-41,9.7219044443869057e-30,5.1894333733612571e-24,2.2930156792393666e-28,4.1413850503268296e-41,7.0349808101352281e-44,2.3603036238735184e-45,8.8894608170241635e-52,7.0019879076305559e-24,2.7447173891241872e-62,1.9930483508567684e-72,1.0294894830607132e-73,2.4636506520221489e-84,1.4384565650340632e-78,6.385625872365526e-29,2.2555114817802159e-38,4.6807684397825669e-48,6.1156880417904103e-49,5.8972442555866246e-23,2.7855527004991775e-54,3.3076306310966139e-62,2.5333951211466467e-38,2.099255450791798e-75,3.7742741623704292e-29,4.0002212784500041e-34,1.0326588071773825e-43,2.1430339779537308e-53,1.6835280687998372e-53,1.3999972286110251e-54,1.3173049318188991e-63,1.6934539098188018e-37,5.5216261893464544e-47,2.1910070052489379e-57,8.5018411910467625e-48,1.2420936400019805e-57,6.8451168441964042e-46,2.2911455669704944e-51,7.0764416159027504e-40,1.1536144719459342e-49,1.7408602825659988e-63,7.8466667702202408e-74,1.1536396792806777e-49,5.4496403057917742e-50,7.8390895155099659e-48,2.5559663461277681e-57,3.9352620627898959e-58,1.6268128336305447e-57,8.5562677726297047e-59,5.7805695712026602e-78,2.8654865611604376e-85,1.8028080357349835e-82,5.2156469830808843e-51,1.7005905160650474e-60,1.0823816222379514e-60,2.6183623792136801e-61,2.1329874459094149e-77,1.1227503127968789e-38,6.730106252675309e-85
1.95062674152269e-19,0.0023882024984940866,3.5692974612899467e-35,8.1346803819565553e-31,2.6928706341356252e-22,3.512785358520739e-35,7.6548906107653036e-22,5.1462974234451956e-37,3.9632070722220821e-58,2.3516972637717071e-47,4.836816964809992e-51,1.7670073717049534e-50,8.5937525345226998e-38,7.0616205891353818e-27,1.2144378151115031e-42,7.525955891595734e-62,2.0718685807821865e-57,6.1457923807560752e-44,5.9300714561171233e-59,3.2427836462246734e-85,7.4883466071260712e-57,2.1587484346897106e-73,1.3349960094092503e-44,2.7944224085298358e-67,2.6777430966768944e-37,1.0181469987524931e-54,4.1652945965652473e-51,2.4107428964169552e-46,6.3403130689012883e-76,9.3770058216695454e-89,1.7254714863280506e-55,6.7935001958295163e-71,3.3449758925674152e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976299,0.108803,0.0001,1.0019265760542195e-16,9.9134708986087132e-16,9.9134622065743147e-16,6.9642391061270026e-25,6.9726502714943683e-25,2.8709754925461901e-16,4.437893744263745e-25,3.0799189205303265e-35,3.8985647038636283e-35,7.9422982658495143e-40,5.8720302778244693e-29,3.1344173904016738e-23,1.3849814695473335e-27,4.9165893775397986e-40,8.3519292069546089e-43,2.8021515262078032e-44,1.9885361922985399e-50,4.2292002008774562e-23,1.1326149630533152e-60,1.5003165905275547e-70,7.7497374857778204e-72,3.3628699729279942e-82,1.0828339385612411e-76,3.8569180243587724e-28,2.6777432289926201e-37,1.0470687835919164e-46,1.3680548461694528e-47,1.6512271658813418e-22,6.2311699864340736e-53,7.3971069819847122e-61,3.0076463650885916e-37,1.5802666203021185e-73,2.279660155732182e-28,2.4187249029317747e-33,1.2271766139129584e-42,4.7983781100678538e-52,3.7695174722780167e-52,3.1346760907327695e-53,5.4261440294473575e-62,1.0228461606810186e-36,6.5552746022771648e-46,4.8934914277468655e-56,1.0093384214176924e-46,2.7741726744374929e-56,8.1264966377099467e-45,4.8430579510378024e-50,8.401151035623949e-39,2.5804996692410344e-48,6.7978279841702133e-62,5.5936877923641104e-72,2.580603682831384e-48,1.2190626752657957e-48,9.315707433230602e-47,5.7229131432366045e-56,8.8107407636123742e-57,3.6425271666095154e-56,1.9157986294529377e-57,4.1210012062337859e-76,3.9113531629203957e-83,1.2851786872869827e-80,6.1920125359152534e-50,3.8041356488601247e-59,2.4212426558835175e-59,5.856962232706374e-60,8.7996087063638921e-76,6.7814118898312622e-38,7.184591862907515e-83
4.45857540919472e-19,0.0023882024984940866,1.7041719586719458e-34,3.9164982092847521e-30,6.1551328616052074e-22,1.6912549336401319e-34,1.7496895786074393e-21,2.4777210878581206e-36,1.9081136033531823e-57,1.1313579377684819e-46,2.3288140360046278e-50,1.733824800665369e-49,1.9642862930142886e-37,1.6140847064058346e-26,5.8469953095047473e-42,7.3893092308441386e-61,2.0341728588120415e-56,2.9589344778566739e-43,5.8221794010188036e-58,1.2828126994940662e-83,1.4795707682327744e-55,4.8124072614029536e-72,1.3107066950448677e-43,6.2400543586575605e-66,2.6290240476832143e-36,2.0116868943837328e-53,2.0054100469926609e-50,2.3315550930132583e-45,6.2249569661359965e-75,4.2019088148522797e-87,3.4092401253925391e-54,2.6874405282467088e-69,3.0281935763423842e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999945819,0.108803,0.0001,2.2901178881228991e-16,2.2659362025159742e-15,2.2659342168802265e-15,3.3487794288117239e-24,3.3570309491066394e-24,6.5622277975299842e-16,2.1366545399099638e-24,3.0151906997862515e-34,3.7951807557321349e-34,7.797796602181171e-39,2.8271298025506439e-28,1.509086674310792e-22,6.6680895845371546e-27,4.827003261854061e-39,8.1999735986980208e-42,2.7511670022194852e-43,3.9290096747453817e-49,2.0361773405420376e-22,4.4805090747379381e-59,1.186254402892415e-68,6.1274802108101611e-70,5.3125067367358846e-80,8.5616376619506073e-75,1.8569399998588618e-27,2.6290241764147486e-36,2.0688297694441375e-45,2.7030453805942028e-46,3.7742277438063903e-22,1.2311741920113261e-51,1.4607001274077528e-59,2.9529243527249603e-36,1.2494684449549995e-71,1.0975567689106475e-27,1.1671512190150534e-32,1.2073997430070584e-41,9.500231522664702e-51,7.4632064964633215e-51,6.2062973569453094e-52,2.1380750216145843e-60,4.9245639570156963e-36,6.4360074561962705e-45,9.6355673427413308e-55,9.9097409840113605e-46,5.462618198178537e-55,7.9785873469285885e-44,9.2518456763280184e-49,8.2482989501088601e-38,5.0982444005245773e-47,2.5986867285266671e-60,4.2726532503285095e-70,5.0986558226355299e-47,2.4086621460992628e-47,9.1655778221121134e-46,1.1330510163246998e-54,1.7441901819594496e-55,7.2117735678024834e-55,3.7930603805628775e-56,3.147837171255654e-74,6.1789021612683312e-81,9.8166927899010459e-79,6.0793470800574252e-49,7.5162561316059959e-58,4.7839599592253528e-58,1.1571463819625748e-58,3.4790608752593923e-74,3.2649579104204955e-37,6.6873290566477091e-81
9.474472744538781e-19,0.0023882024984940866,7.4136031659892093e-34,1.7104376117128287e-29,1.307965726081898e-21,7.3861545936322683e-34,3.7180916187735392e-21,1.0820862526936532e-35,8.3332334095819839e-57,4.9331927465353324e-46,1.0171381607320121e-49,1.5317100563460983e-48,4.174108370153789e-37,3.4299300024688415e-26,2.5535364668504737e-41,6.5362634728965928e-60,1.7992028576771478e-55,1.292244425087219e-42,5.1496518883378373e-57,4.578265523485972e-82,2.6328159423118896e-54,8.9994305357783009e-71,1.1593046887435114e-42,1.1710323708545528e-64,2.3253419913166295e-35,3.5796893350792405e-52,8.7581525393142665e-50,2.0470134024979568e-44,5.5059039367749353e-74,1.5785021661064788e-85,6.0665579139520692e-53,9.5912801266585913e-68,2.2951011732879663e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999884879,0.108803,0.0001,4.8665005122567549e-16,4.8151144180788818e-15,4.8151102033343883e-15,1.4588210568898706e-23,1.46610360429797e-23,1.3944725959974352e-15,9.3313294163409332e-24,2.6515685971108243e-33,3.3004669643313016e-33,6.8970633066581819e-38,1.2346818542338528e-27,6.590574693990609e-22,2.9121299016025728e-26,4.2691925325917903e-38,7.2527837454821198e-41,2.4333725303674556e-42,6.9914529790652504e-48,8.8925169650594496e-22,1.5990596541878067e-57,8.478838819746585e-67,4.379660636417812e-68,7.5993573013819124e-78,6.119493878039664e-73,8.1097448183787716e-27,2.3253421030847387e-35,3.6813659571696018e-44,4.8099231924865578e-45,8.0202092888659898e-22,2.1908087176963811e-50,2.5962216568049388e-58,2.6118269330827912e-35,8.9306657519911088e-70,4.793305892029854e-27,5.1204452589401902e-32,1.0724684432463368e-40,1.6974672464663633e-49,1.3334987791792188e-49,1.108919876030251e-50,7.571155348306381e-59,2.150686452319627e-35,5.6925756729894215e-44,1.7028666868382377e-53,8.7650474669991334e-45,9.6543248256644175e-54,7.0568718856469599e-43,1.6182594438961494e-47,7.2955253138904721e-37,9.0706663345469205e-46,9.1128975482117536e-59,3.0000739358257723e-68,9.0721343464231036e-46,4.2860846272787708e-46,8.1412912561312978e-45,2.0244254509323167e-53,3.1156160898352405e-54,1.2885711812517797e-53,6.7773095685248999e-55,2.2103185669606823e-72,8.8384968573076859e-79,6.8929327013076518e-77,5.377100222547479e-48,1.3374508570691846e-56,8.512774276130454e-57,2.058756123740479e-57,1.2402343926302073e-72,1.4258928980861136e-36,5.1334548868851178e-79
1.9506267415226903e-18,0.0023882024984940866,3.089225258592078e-33,7.1407401745933019e-29,2.6928705836344736e-21,3.0835741176637617e-33,7.6548997195228541e-21,4.5175000878603034e-35,3.4789609063190289e-56,2.0530620586788469e-45,4.2470615378047351e-49,1.2844116476045576e-47,8.5937525166503788e-37,7.0616205989085139e-26,1.0660512091749913e-40,5.4949800677369634e-59,1.5123384125417599e-54,5.3948660995814096e-42,4.3285929409080454e-56,1.5468911742658419e-80,4.4406249027004785e-53,1.5497172150129494e-69,9.7446453624260078e-42,2.0308509577319245e-63,1.9545900457900183e-34,6.0376692503083136e-51,3.6563562770693492e-49,1.7143572515662805e-43,4.62804400710207e-73,5.4495507413160499e-84,1.0232127401410952e-51,3.2406739232014094e-66,1.5958710362103791e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999762997,0.108803,0.0001,1.001926576051046e-15,9.9134708104238601e-15,9.9134621522770032e-15,6.0597607435591078e-23,6.1206938757252275e-23,2.8709696494815258e-15,3.8956444142961426e-23,2.2034343328228759e-32,2.6839612816634155e-32,5.7973976522238263e-37,5.1545536446441374e-27,2.7514324534005395e-21,1.2157569032327627e-25,3.588114609992704e-37,6.0964016824634029e-40,2.0453902999139197e-41,1.1792074231910807e-46,3.7124470787639357e-21,5.4028462331531909e-56,5.7342270611883742e-65,2.9619584857003704e-66,1.0283006604478115e-75,4.1386075707129781e-71,3.3856588019552526e-26,1.9545901362160639e-34,6.2091412466811109e-43,8.1126329656405285e-44,1.6512093936549134e-21,3.6951191999721702e-49,4.368759266393462e-57,2.195395865826488e-34,6.0397970114602495e-68,2.0011000962253313e-26,2.1570649520712765e-31,9.0910684436664724e-40,2.8864871073173618e-48,2.2675702073622788e-48,1.8856849520018302e-49,2.5192962793597991e-57,8.9786925117163199e-35,4.7849527951988149e-43,2.8333335304193029e-52,7.3675400844557885e-44,1.6064739341995387e-52,5.9315607201480521e-42,2.705915653280182e-46,6.1323257576195162e-36,1.5294325279367352e-44,3.0517851910338586e-57,2.0107094480788441e-66,1.5299283168035453e-44,7.2291049267555384e-45,6.9011854265652577e-44,3.4422326685774531e-52,5.295146317114398e-53,2.1911639214910508e-52,1.1524610338329221e-53,1.4814371039861783e-70,1.195917185870806e-76,4.6198774811305126e-75,4.5197541500538338e-47,2.2557160444880225e-55,1.4357947406497928e-55,3.4713000686495424e-56,4.1809150493209379e-71,5.9528221659557467e-36,3.5910454322339594e-77
3.956985675660314e-18,0.0023882024984940866,1.2608869845794153e-32,2.9172252865965629e-28,5.4626802095787289e-21,1.2597406183796028e-32,1.552853200268983e-20,1.8455486332645883e-34,1.4212690441887671e-55,8.335111101636264e-45,1.7356578809733823e-48,1.0480162915298851e-46,1.7433040779759779e-36,1.432500180904249e-25,4.3551670394560451e-40,4.5065556872973452e-58,1.2399064031574609e-53,2.2039788348212053e-41,3.5488424073028348e-55,5.0858313757923418e-79,7.2937265814694571e-52,2.5593347372040508e-68,7.9892341245244925e-41,3.4016840391156142e-62,1.6024909940413656e-33,9.9168897696856968e-50,1.4937408404102031e-48,1.4029843370419022e-42,3.7943500796432544e-72,1.8023287399343793e-82,1.680626966856196e-50,1.0654608049483907e-64,1.0641320489034036e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999519234,0.108803,0.0001,2.0324796256961843e-15,2.0110183441628352e-14,2.0110165954299401e-14,2.4510077530908604e-22,2.5005031050792911e-22,5.8239534404666054e-15,1.5914962784448177e-22,1.7662522479176559e-31,2.0656113392104832e-31,4.7530572606305106e-36,2.1058033126756646e-26,1.1240476904998787e-20,4.9667635985132274e-25,2.9410991065651994e-36,4.9981983160019388e-39,1.6769248147362476e-40,1.9368408564077919e-45,1.5166527384056635e-20,1.7763278147604968e-54,3.7721453836230394e-63,1.9484645366070093e-64,1.3531784591854452e-73,2.7225023182089072e-69,1.3831520763394139e-25,1.6024910624027348e-33,1.0198465730873123e-41,1.3325005834117345e-42,3.3495549467978551e-21,6.0692446518420538e-48,7.142580649433769e-56,1.7999148160987619e-33,3.9731584207446534e-66,8.175058927520908e-26,8.9706861599242687e-31,7.5785716208913125e-39,4.8181352514892913e-47,3.7850350839274273e-47,3.1476033412357148e-48,8.0443471980519223e-56,3.668088807145834e-34,3.922993295941853e-42,4.531246803193787e-51,6.0403373603769141e-43,2.569570294244781e-51,4.8627807759536166e-41,4.4250775361975536e-45,5.027646470887668e-35,2.5105616525134727e-43,9.9885057042375854e-56,1.3166257258945343e-64,2.5121902581161068e-43,1.1873815826827006e-43,5.7530232205083054e-43,5.7450000958880303e-51,8.8291614553201852e-52,3.6574694332018558e-51,1.9236986205543833e-52,9.700975920961796e-69,1.5736022211443578e-74,3.0252522619055538e-73,3.7055304929580712e-46,3.7047237129017485e-54,2.3582673883991316e-54,5.6980331605588467e-55,1.3683496624557201e-69,2.4319220938862196e-35,2.401541413361697e-75
7.969703543935561e-18,0.0023882024984940866,5.0943817041831814e-32,1.179189056340586e-27,1.1002299104822208e-20,5.092072806936227e-32,3.1275860895696155e-20,7.460022420048541e-34,5.7449967042067404e-55,3.3274984575298928e-44,7.0208486593135877e-48,8.406852636364126e-46,3.5111617196409913e-36,2.8851764298328946e-25,1.760428155451638e-39,3.6519665427435283e-57,1.0041083535072451e-52,8.9088348604665577e-41,2.873945225911264e-54,1.6495717892519418e-77,1.1823402444721147e-50,4.122399433489844e-67,6.4698648114242798e-40,5.6358938699603285e-61,1.2977387270614206e-32,1.60757053276548e-48,6.0379392861720051e-48,1.1351460608889836e-41,3.072763050342107e-71,5.8108134368851182e-81,2.7243589084593143e-49,3.4557843908807407e-63,6.9508126097483642e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999999903169,0.108803,0.0001,4.0935857249640495e-15,4.0503608102750236e-14,4.0503573174892884e-14,9.7139065995342361e-22,1.0107432890626807e-21,1.1729879758792676e-14,6.43306967322946e-22,1.3692044481910732e-30,1.4892374831974124e-30,3.8491495748087541e-35,8.5119933558264276e-26,4.5435623450082784e-20,2.007645224125291e-24,2.380719656141864e-35,4.0476704018927137e-38,1.3580014322489788e-39,3.1396672280447646e-44,6.1305283849752416e-20,5.7614129908998793e-53,2.4474697586852417e-61,1.2642164028343534e-62,1.7561454424136647e-71,1.7664368540923648e-67,5.5909217135492984e-25,1.2977387730680907e-32,1.653193387833555e-40,2.1600349752715597e-41,6.7461205521547121e-21,9.8385079979396577e-47,1.1472463234675693e-54,1.4576122500882305e-32,2.5778924708844068e-64,3.3044184577821689e-25,3.7541289078468137e-30,6.3400455825952493e-38,8.0602708656038753e-46,6.331989166421516e-46,5.2656700303184751e-47,2.4731146540520759e-54,1.482700102400745e-33,3.1769415204007823e-41,6.97752516365796e-50,4.8915940587514583e-42,3.9579298543386237e-50,3.9375669559170615e-40,7.1569808954076542e-44,4.0715108767248503e-34,4.0647581124659806e-42,3.2321866724610117e-54,8.5217765841528649e-63,4.0700311354287198e-42,1.9247932375819181e-42,4.8128369098845712e-42,9.6081926765276499e-50,1.4738608528144059e-50,6.1184906869036538e-50,3.2181814623279516e-51,6.2794300743483871e-67,2.0418233237303295e-72,1.9582387297719697e-71,3.0007746880415201e-45,6.0045551672704919e-53,3.8227564988568966e-53,9.2251470077521468e-54,4.3982332985654429e-68,9.8302179609673025e-35,1.5709291021742695e-73
1.5995139280486058e-17,0.0023882024984940866,2.0479633719052403e-31,4.7414669769467382e-27,2.2081535468717482e-20,2.047499929046345e-31,6.2770775988390619e-20,2.9996581009406806e-33,2.3100378967680531e-54,1.3053994902441054e-43,2.8274840430066785e-47,6.6407694349043051e-45,7.0468769671161467e-36,5.7905289552975867e-25,7.0786042281817691e-39,2.9437042201336731e-56,8.0819376074722789e-52,3.5822033343932652e-40,2.3132021668322841e-53,5.314280286294082e-76,1.9041087764091672e-49,6.50081435401249e-66,5.2074712422388575e-39,9.3994702332160747e-60,1.0445329843128554e-31,2.5889426759133989e-47,2.4278288219904647e-47,9.1325200100216194e-41,2.4732269966320756e-70,1.8339377182690948e-79,4.3874643797999187e-48,1.1133191198179042e-61,4.4940020113939125e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998056619,0.108803,0.0001,8.2157979234101332e-15,8.1290455114387621e-14,8.1290386082274816e-14,3.7585693704721087e-21,4.0641539450041872e-21,2.3541567343174826e-14,2.5866987786218647e-21,1.014931212771237e-29,9.8135827800596032e-30,3.098131340208725e-34,3.4226348334078722e-25,1.8269318478129855e-19,8.072652881107978e-24,1.9145082861318347e-34,3.2579169883422901e-37,1.093012327059495e-38,5.0562237000761579e-43,2.4650388175575759e-19,1.8560748999107857e-51,1.5771053673109116e-59,8.1463826042553684e-61,2.2633791049390112e-69,1.1382650126172291e-65,2.2480849299181246e-24,1.0445330062854358e-31,2.6623465939117022e-39,3.4786507605207391e-40,1.3538749796315321e-20,1.5844616647260228e-45,1.8143561866470396e-53,1.1732044009161352e-31,1.6611474455543337e-62,1.328634978581086e-24,1.6124773790697695e-29,5.4293392683570024e-37,1.3785559976601957e-44,1.0829643199037094e-44,9.0060509616046236e-46,7.273446919674245e-53,5.9618715757782968e-33,2.5570786674860896e-40,1.0212071677022292e-48,3.9371358035099525e-41,5.7955604748500127e-49,3.1685899592246482e-39,1.1511158530525691e-42,3.2770939604095209e-33,6.5302153832499703e-41,1.0399093087094642e-52,5.4830984491729512e-61,6.547143322155118e-41,3.099808980651942e-41,4.1215041362797016e-41,1.6423998880148135e-48,2.50999133740999e-49,1.046417501060614e-48,5.5041597373337767e-50,4.0410052700143648e-65,2.6305745787897912e-70,1.2601840956594181e-69,2.4151879852357978e-44,9.6670549712970052e-52,6.1561204889909875e-52,1.4819555073143214e-52,1.3918528232922173e-66,3.9526874286191993e-34,1.0163983861670952e-71
3.2046010753587053e-17,0.0023882024984940866,8.2123182987374277e-31,1.9015400437749272e-26,4.4240002490048826e-20,8.2113892739147576e-31,1.2576163540044727e-19,1.2030098116899933e-32,9.2642850788492202e-54,4.9883395135157269e-43,1.1381067241845916e-46,5.1372013262786784e-44,1.4118307382418095e-35,1.1601234116656525e-24,2.8388369296406573e-38,2.3701499864524172e-55,6.4852459857361325e-51,1.4366237706755437e-39,1.8562006977710214e-52,1.7062814968389853e-74,3.0564721791236964e-48,9.9728332217205298e-65,4.1786054112321163e-38,1.6101025937095022e-58,8.3817186699710164e-31,4.1558260109378408e-46,9.736679541803527e-47,7.3266193093254953e-40,1.9846088587827081e-69,5.63196854105266e-78,7.0427503819907331e-47,3.5745837711924434e-60,2.8908061647347943e-77,0.88129999999999997,0.0,0.0,0.0,0.009889999999610646,0.108803,0.0001,1.6460222319943717e-14,1.6286414055772669e-13,1.6286400576182058e-13,1.4008886716677924e-20,1.6299072127086122e-20,4.7164282321309714e-14,1.0373736923758121e-20,7.0257195020749589e-29,5.7596942791171632e-29,2.4860567107711372e-33,1.3726294451395066e-24,7.3266968201105317e-19,3.2374946628173863e-23,1.5335478213295382e-33,2.6142727451780179e-36,8.7703284585259506e-38,8.1159942078872776e-42,9.8857503018989535e-19,5.9592037252409239e-50,1.0127612188382305e-57,5.2313186003864053e-59,2.9070030059269472e-67,7.3095986008729793e-64,9.0158252367486147e-24,8.3817186046488754e-31,4.2734299317499476e-38,5.5839439519771386e-39,2.7122000715684174e-20,2.5434127828432649e-44,2.811055442248176e-52,9.414086077858678e-31,1.0667301102919309e-60,5.3279621703470757e-24,7.2924782967200878e-29,4.880343309763714e-36,2.4712052414273811e-43,1.9413193135409202e-43,1.614472889195181e-44,2.0351634248427534e-51,2.3909769019938856e-32,2.0518941905595051e-39,1.3855422569719356e-47,3.1592318792481845e-40,7.8692616900152222e-48,2.5414606926226277e-38,1.8460004292135633e-41,2.6296419417364967e-32,1.0431594347513472e-39,3.3356497347319824e-51,3.5165440776435345e-59,1.0485565487065739e-39,4.9758440151810717e-40,3.7047518370402903e-40,2.9409629076738141e-47,4.461381976502586e-48,1.8756909844708524e-47,9.8670423288923601e-49,2.5925410031544807e-63,3.3760607855205313e-68,8.0847928624674151e-68,1.937881329760374e-43,1.5507832963229981e-50,9.8809384223854861e-51,2.3669915579216343e-51,4.3158088258176455e-65,1.5852044642939786e-33,6.5403523513269393e-70
