Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393)
0.0,0.002966604941507827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8058461647502392e-19,0.002966604941507827,3.4718147714014316e-36,9.9352082288884127e-32,3.9610557233696995e-23,3.4447305186431782e-36,1.6185986419625384e-22,7.3278457525676234e-38,5.9742158206820155e-60,1.2500127402537521e-48,1.9981473673088105e-52,1.11936566567101e-51,4.7226011505105146e-39,1.4528026063267758e-27,1.5008524339820725e-43,3.1866893370753005e-63,1.3136217263639537e-58,5.9840590790096217e-45,4.6530179769132531e-60,2.5370041786030758e-87,4.0909508818681571e-58,4.2504413185233266e-75,6.9714333970330799e-46,1.5629264140420393e-68,4.6853745995654377e-38,7.6232384711589305e-56,2.2156208504323567e-52,2.2939840341240064e-47,5.0781181065886395e-78,1.4707756370697056e-90,9.8590552698956008e-57,3.0443829776048741e-72,5.9631976757466719e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992015,0.108803,0.0001,4.6593262766642863e-17,3.4367897925431378e-16,3.4367881347220994e-16,2.2514435749363312e-25,2.2542381272373127e-25,6.4021070823523399e-17,1.4963212300315603e-25,9.8040650432074993e-36,1.2951625497435903e-35,1.8901064004603798e-40,1.3880938875799096e-29,8.0519385884803697e-24,3.2860682793060665e-28,9.5484038759899688e-41,1.3079034015776047e-43,2.6724405058979355e-45,1.8875546824568749e-51,9.7736123800543383e-24,1.2920333105717864e-61,1.9247651591310267e-71,7.1050578514684632e-73,3.5481409990440006e-83,9.0835367286685502e-78,7.2003996478952136e-29,4.6853746669808497e-38,2.0399326021498522e-47,2.5898849964553239e-48,3.5537498293849376e-23,7.7768154830365183e-54,5.1895766068748619e-62,4.6044943352960955e-38,2.0616449362577288e-74,5.8209843222896188e-29,2.68152425581441e-34,1.3318729661813332e-43,5.7987516507071139e-53,4.3679696759409101e-53,3.6810273075061517e-54,6.3896256054407189e-63,1.0781703752512495e-37,7.0718725548304954e-47,5.6533048134241426e-57,6.9782394376334549e-48,3.0740541189995143e-57,9.8593208716457937e-46,7.2497342858233558e-51,2.3895357226894864e-39,7.8358702796962756e-49,1.1121629139741382e-62,9.6973367942119181e-73,7.8362961825112219e-49,3.5435651886124276e-49,6.9888545349484557e-48,4.5839976163050596e-57,4.5226254377081434e-58,3.0428263865528961e-57,1.1197176042707179e-58,5.5923958694346062e-77,4.2157574618659912e-84
5.05636926130067e-19,0.002966604941507827,2.0882007757073943e-35,6.000865605503263e-31,1.1090955999448766e-22,2.0806172291801345e-35,4.5320770957178048e-22,4.4260196257484557e-37,3.6084263548036e-59,7.5435568008273671e-48,1.2068810099927883e-51,1.3281276166289293e-50,1.3223283217372972e-38,4.0678472982212638e-27,9.0651487021949392e-43,3.7832375813594558e-62,1.5595317135901135e-57,3.6143716840959586e-44,5.524062989973173e-59,1.0469016455551386e-85,9.1512912858811431e-57,1.335288815607465e-73,8.2764836472645981e-45,4.9127874202293277e-67,5.5624767181302333e-37,1.7052879510721832e-54,1.3382349933358283e-51,2.701528067221485e-46,6.0287418133283112e-77,8.4639520698754524e-89,2.2054306977436742e-55,1.2562728666735531e-70,6.7827068945497249e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977652,0.108803,0.0001,1.3046113574655895e-16,9.6230114069920555e-16,9.6230067699135664e-16,1.3582451344751198e-24,1.3615598257046313e-24,1.7925893932095977e-16,9.0377791317120561e-25,1.1614566726745693e-34,1.5277321473699335e-34,2.2439345997785403e-39,8.3840870672004038e-29,4.8633695721049903e-23,1.9847852386131992e-27,1.1335532641480442e-39,1.5527429151495978e-42,3.1727193818000598e-44,4.2223817963030669e-50,5.9032602566925439e-23,5.3316085198335179e-60,1.4489143342168056e-69,5.3485071263003002e-71,4.8431922078491565e-81,6.837856481380323e-76,4.34904138180154e-28,5.5624767957524772e-37,4.5632438250866988e-46,5.793468200617478e-47,9.9504806324867368e-23,1.7396425230777142e-52,1.1602338542239236e-60,5.4664542999116031e-37,1.5519539552336984e-72,3.5158688855572197e-28,1.6270719314086359e-33,1.5878433951491104e-42,1.3023636860690822e-51,9.8101890564006061e-52,8.2673626054861942e-53,2.6386718830015096e-61,6.5121490557175411e-37,8.3957270748818246e-46,1.2613459214824146e-55,8.2845631877910718e-47,6.8594826919404505e-56,1.1704893342971094e-44,1.6067733662339945e-49,2.8368564922181106e-38,1.7527049602169143e-47,4.5480530378266701e-61,7.2350249620674523e-71,1.7528806891613579e-47,7.9268127355369335e-48,8.3320307499419019e-47,1.0295205754640995e-55,1.0156079205561658e-56,6.8339924181917071e-56,2.514817410467014e-57,4.1724887544483969e-75,5.7544079544326144e-82
1.1557415454401532e-18,0.002966604941507827,1.0034609911627253e-34,2.8891584282525784e-30,2.5350756447661276e-22,1.0017276287015115e-34,1.0359037596119118e-21,2.1309387299509144e-36,1.737301959306697e-58,3.6252697779574121e-47,5.8106125461922386e-51,1.3022785639008802e-49,3.0224647334872018e-38,9.2979366840354058e-27,4.3644788794363353e-42,3.7144050924753037e-61,1.5311574844073795e-56,1.7401643807372049e-43,5.4235578967556512e-58,4.1414367577338663e-84,1.8081399948353064e-55,2.9736849627030238e-72,8.1258963143366301e-44,1.0961100356201949e-65,5.4612726131844605e-36,3.3693616172550954e-53,6.4430254281755149e-51,2.6410331126361441e-45,5.9190544562701484e-76,3.7889715579970233e-87,4.3575571204610795e-54,4.9696879632498367e-69,6.140358720376926e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999948925,0.108803,0.0001,2.9819688170622692e-16,2.1995454587504546e-15,2.1995444011063264e-15,6.5228540611796169e-24,6.5553244268094665e-24,4.0973444037645097e-16,4.3513004904500371e-24,1.1351021667748354e-33,1.4794070845232915e-33,2.203108439548495e-38,4.0365770044182673e-28,2.3415017385254566e-22,9.5558865249517398e-27,1.1128589056905003e-38,1.5244921949516616e-41,3.114990494598297e-43,8.3427039737662653e-49,2.8421640488307127e-22,2.1091285873806576e-58,1.1456115265905784e-67,4.2288983372277805e-69,7.6510469011689591e-79,5.4064816898180783e-74,2.0938762093171479e-27,5.4612726842825449e-36,9.0161843569546941e-45,1.144691281225969e-45,2.2743866679972843e-22,3.4372404971823532e-51,2.2895568857993152e-59,5.3669943348724204e-36,1.227081753365495e-70,1.6927337732899699e-27,7.9093413932185612e-33,1.5730268757361349e-41,2.595763259697956e-50,1.9552854337500437e-50,1.6477836078352338e-51,1.0455419621416489e-59,3.1353194350452719e-36,8.2429745810999231e-45,2.4781571669333619e-54,8.1338276035864502e-46,1.3480013793805845e-54,1.1491737984900239e-43,3.1578538838816064e-48,2.7852418533358889e-37,3.462410366432653e-46,1.7894579255771214e-59,5.6892971293336848e-69,3.4631053486998263e-46,1.5662042513070917e-46,8.2542827143047222e-46,2.0518813791007759e-54,2.0235901726559603e-55,1.3620915872851743e-54,5.0123300647054419e-56,3.281120668773402e-73,9.090271100261698e-80
2.4559507840603253e-18,0.002966604941507827,4.3784910178011202e-34,1.2617713733283002e-29,5.3870356928303345e-22,4.3748076954498783e-34,2.2012972968484807e-21,9.3063763439418512e-36,7.5872540782700309e-58,1.5774499620089897e-46,2.5376471586016475e-50,1.1488563769580339e-48,6.4227375504966645e-38,1.9758115463764358e-26,1.9060825926243003e-41,3.2853492414210114e-60,1.3542914553430362e-55,7.5997550361412919e-43,4.7970757092397757e-57,1.4780478993755398e-82,3.2174851130004471e-54,5.5496306933098261e-71,7.1872554232047757e-43,2.053534259404118e-64,4.8304337550229886e-35,5.9955989434561438e-52,2.8138384750133098e-50,2.3310765958718544e-44,5.2353366247055956e-75,1.4205295550768988e-85,7.7540318803454566e-53,1.7736444965745265e-67,4.6538454470226741e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999891471,0.108803,0.0001,6.3366837362490598e-16,4.6740340756015538e-15,4.6740318376429692e-15,2.8342968977342175e-23,2.8628823728295533e-23,8.7068449873183979e-16,1.9003262608487143e-23,9.948169015335629e-33,1.2734188185048898e-32,1.9486245571789078e-37,1.7628792158953127e-27,1.0225941309678109e-21,4.1733066824976349e-26,9.8418586739978894e-38,1.3483960700582972e-40,2.7551663299411419e-42,1.4845356919400445e-47,1.2412462599375855e-21,7.5273106196307115e-57,8.1883311081467301e-66,3.022631935757395e-67,1.094454511746311e-76,3.8643186990026429e-72,9.1445074671553899e-27,4.8304338088148619e-35,1.6043759451505662e-43,2.0369155195033716e-44,4.8330336543650043e-22,6.1163859071826673e-50,4.0638922246772953e-58,4.7470405289940295e-35,8.7706447439683347e-69,7.3925625909974243e-27,3.5207195547536184e-32,1.4163585529779423e-40,4.6995048142818882e-49,3.539950201803684e-49,2.983238515295331e-50,3.7434589450391879e-58,1.3692763598742723e-35,7.2908175848322667e-44,4.3603476204244547e-53,7.1942683324583026e-45,2.3729516446556594e-53,1.0163963974288854e-42,5.6041896505380145e-47,2.4635136801872269e-36,6.1588899900760974e-45,6.3689599130097538e-58,4.055112493571376e-67,6.1613690157197295e-45,2.7869754711796533e-45,7.4321831905004589e-45,3.7145650951151783e-53,3.6613051821018148e-54,2.4659902216749273e-53,9.0745998533072676e-55,2.3387220772482288e-71,1.3002525230123616e-77
5.05636926130067e-18,0.002966604941507827,1.8271543740417383e-33,5.2676470021113783e-29,1.1090955622645202e-21,1.8263960641024248e-33,4.5320901199467933e-21,3.8852348289910009e-35,3.1675292154988395e-57,6.5374474491413511e-46,1.0594177360514865e-49,9.6067828229795776e-48,1.3223283158554198e-37,4.0678473055624938e-26,7.9575196182374742e-41,2.7615339969538589e-59,1.1383635707196352e-54,3.1727481289100367e-42,4.0322314637315193e-56,4.9939799103376737e-81,5.4267474489161112e-53,9.5178544763720219e-70,6.041308052148517e-42,3.5495260609390852e-63,4.0602705855266942e-34,1.0112453851678488e-50,1.1747221704043091e-49,1.9573935655388985e-43,4.4006158677411412e-74,4.8846269110433902e-84,1.3078280472889642e-51,5.9927314700996522e-66,3.235995546674452e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999776562,0.108803,0.0001,1.3046113574596366e-15,9.623011233105638e-15,9.6230066639430715e-15,1.1713936487374774e-22,1.1951970111896471e-22,1.7925808404357004e-15,7.9334798512696989e-23,8.2118249477165557e-32,1.0157186628722962e-31,1.6379364480806006e-36,7.3596736003649897e-27,4.26911921173021e-21,1.7422733728516619e-25,8.2705692632623356e-37,1.1334081236123833e-39,2.3158707175042492e-41,2.5038732494203526e-46,5.1819466729903502e-21,2.54329495491549e-55,5.5377438037697055e-64,2.044196931581277e-65,1.4809484056457613e-74,2.6134293147108644e-70,3.8176518162096081e-26,4.0602706154442685e-34,2.7059946620088231e-42,3.4355508358148541e-43,9.9502067374422849e-22,1.031617913738632e-48,6.8199676611836971e-57,3.9901648795611255e-34,5.9315607963993148e-67,3.0862071401923159e-26,1.5254082105053295e-31,1.2326481397428445e-39,8.1980058654203721e-48,6.1752311487965138e-48,5.2041003928850159e-49,1.2726141987424398e-56,5.7164591798625052e-35,6.1283713449953805e-43,7.1930465807677987e-52,6.0471990801760493e-44,3.9181450306453031e-52,8.5428385384912817e-42,9.4392359945242121e-46,2.0707296722120064e-35,1.0380167749047025e-43,2.1488797050309573e-56,2.7384074260216161e-65,1.0388534927491135e-43,4.7006370577175422e-44,6.4681833128028726e-44,6.4789038830310784e-52,6.3788947337441068e-53,4.3017336935031173e-52,1.583015684353682e-53,1.5794131818294067e-69,1.7592110917153053e-75
1.0257206215781359e-17,0.002966604941507827,7.4629618835174689e-33,2.1520056050196389e-28,2.2498794817017846e-21,7.4614236113731381e-33,9.1936987606437374e-21,1.5872500226216903e-34,1.2940390329198421e-56,2.6320708442712741e-45,4.3280671395960748e-49,7.7952536691051474e-47,2.682437427082371e-37,8.2519188368956809e-26,3.2509064174362916e-40,2.2640724194928143e-58,9.3329923283430008e-54,1.2961711371686572e-41,3.3058674377743222e-55,1.6419048317926599e-79,8.9134112935483755e-52,1.5592349059948281e-68,4.9530077019830718e-41,5.907457197551238e-62,3.3288550699327367e-33,1.6609735483424319e-49,4.7991233500819622e-49,1.6039708936551966e-42,3.607890732831882e-73,1.6027236385445327e-82,2.1481024124091498e-50,1.9702708269728654e-64,2.1577724438363641e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999546746,0.108803,0.0001,2.6464973251185875e-15,1.9520965249558143e-14,1.952095612945055e-14,4.6912046374818154e-22,4.8827695819013909e-22,3.636358423939416e-15,3.2410786763191618e-22,6.4986498571300012e-31,7.552378502390704e-31,1.3428793918145927e-35,3.0066667227044317e-26,1.7440663344812591e-20,7.117755094238552e-25,6.7772613087692031e-36,9.2923642433899947e-39,1.898670080492515e-40,4.1125760345296983e-45,2.1169843921453289e-20,8.3617107191607448e-54,3.6428753577198023e-62,1.34472719200765e-63,1.9488248733081782e-72,1.7191862370946085e-68,1.5596353000509204e-25,3.3288550693745197e-33,4.444539081886531e-41,5.6428864348659623e-42,2.0184069367841951e-21,1.6944356245888288e-47,1.1090365889838815e-55,3.271363950964562e-33,3.9019386964014389e-65,1.2607818169566637e-25,6.6859553236602677e-31,1.0796592069518724e-38,1.4357487877930548e-46,1.0814920528257988e-46,9.1142098097859055e-48,4.2313876718705562e-55,2.3353600337262247e-34,5.0244088618608533e-42,1.1317564977497001e-50,4.9578313829902236e-43,6.1755041528016048e-51,7.0029749889517983e-41,1.5491765509935137e-44,1.6977059917527386e-34,1.7024214294440079e-42,7.0593563450775562e-55,1.7997728829609251e-63,1.7051665439445313e-42,7.7207959408998629e-43,5.6653909580953163e-43,1.1343493674978114e-50,1.1143608088396347e-51,7.5336572046121196e-51,2.7724177046783601e-52,1.0381455633306105e-67,2.3144453542386235e-73
2.0658880124742736e-17,0.002966604941507827,3.0163363940000617e-32,8.6987501463695241e-28,4.5314470544711423e-21,3.0160265209025005e-32,1.8517008020035842e-20,6.415957361970624e-34,5.2307126252735115e-56,1.0336090548923699e-44,1.7494739443993903e-48,6.1851558629695658e-46,5.4026556079980514e-37,1.6620061951406348e-25,1.3140683563607365e-39,1.8335045517240086e-57,7.5580991702157194e-53,5.2393309948573375e-41,2.6771779172909963e-54,5.3254367941779533e-78,1.444890162786366e-50,2.4718469734333806e-67,4.0110390034021606e-40,9.6709287488460265e-61,2.6957930330251051e-32,2.6925095898731769e-48,1.9398823782402108e-48,1.2986073740496877e-41,2.9217634084594383e-72,5.0869830689639827e-81,3.4821371325051815e-49,6.3904732195535868e-63,1.4094370766774664e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999087114,0.108803,0.0001,5.3302692603944493e-15,3.9316872134804847e-14,3.9316854312094738e-14,1.8240751768819874e-21,1.9736933788052412e-21,7.3238531923201167e-15,1.3100904019152608e-21,4.919820231461272e-30,5.1498410832708054e-30,1.0874987524695848e-34,1.2153426952246319e-25,7.0497289947815345e-20,2.8771103153609279e-24,5.4828204984810577e-35,7.5251969544045356e-38,1.5375588077167298e-39,6.6665226077713071e-44,8.55710930011677e-20,2.7120446190505358e-52,2.3635731861564177e-60,8.7248694003196038e-62,2.5291469758196315e-70,1.1154474089031343e-66,6.3042949739200775e-25,2.6957929919423814e-32,7.2045777556847328e-40,9.1473097866564373e-41,4.0649860668626408e-21,2.7467535012549658e-46,1.7626109167308598e-54,2.6492121935317961e-32,2.5316589027725728e-63,5.0960027847988337e-25,3.0697177923031789e-30,9.8618321882423262e-38,2.6166584712153852e-45,1.9710229317460283e-45,1.6610925830505267e-46,1.3989051023673368e-53,9.4398981353398547e-34,4.0688962001484733e-41,1.6919925684309563e-49,4.0149354051892966e-42,9.2609215565138996e-50,5.669636038929536e-40,2.5097951602575704e-43,1.3748409824182541e-33,2.7515502163146518e-41,2.2883154293613143e-53,1.1668234979654281e-61,2.7604162922863524e-41,1.2515695804662664e-41,5.1748861035383941e-42,2.0661706593965135e-49,2.0208189593703755e-50,1.3729624964354521e-49,5.0528180251478203e-51,6.7317945822239619e-66,3.0022056756279797e-71
4.1462227942665494e-17,0.002966604941507827,1.2127930962468022e-31,3.497728708014971e-27,9.0945811355705376e-21,1.2127308384288839e-31,3.7163994450789399e-20,2.5798595934141071e-33,2.1032465050606932e-55,3.9268613456342347e-44,7.0345578399312786e-48,4.783535312330642e-45,1.0843091803676523e-36,3.3356348387804955e-25,5.2838111076790872e-39,1.4757639848039627e-56,6.0834157657319054e-52,2.1067119644844128e-40,2.1548269136783196e-53,1.715633229816469e-76,2.3269117098556211e-49,3.778929489045688e-66,3.228376722502338e-39,1.5797587379931313e-59,2.1698085862019367e-31,4.3362033405485443e-47,7.8001817509558854e-48,1.0450996934131023e-40,2.351689301731255e-71,1.5572508945525081e-79,5.6077796618418464e-48,2.0587419367787224e-61,9.1126220493442716e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998167849,0.108803,0.0001,1.0697813130778014e-14,7.8908681640564969e-14,7.8908647683900765e-14,6.8120833110329381e-21,7.9361330269485087e-21,1.4698601142488635e-14,5.2677723301793173e-21,3.5009699928124025e-29,3.1408766139644739e-29,8.7531393216989709e-34,4.8868390005534793e-25,2.8346119622069837e-19,1.156873330406269e-23,4.4040924530223126e-34,6.0569323443123207e-37,1.2375072499598491e-38,1.0735777058960978e-42,3.4407116077780375e-19,8.7368508516776779e-51,1.523014689360075e-58,5.6220406764445405e-60,3.259587081351986e-68,7.1876512745878687e-65,2.5349290620773163e-24,2.1698084877336806e-31,1.1602068799138786e-38,1.4731291986204575e-39,8.1573708893896266e-21,4.4235629170566885e-45,2.7310875725311028e-53,2.1322791844065228e-31,1.6313240685371528e-61,2.0488560489092496e-24,1.5295344317434278e-29,9.7378901799226031e-37,5.1455229759970875e-44,3.8759099704007865e-44,3.2665458379721654e-45,4.6375322710135116e-52,3.7957411242318069e-33,3.2750010789015791e-40,2.3571776832474784e-48,3.2314968964019205e-41,1.296587488420335e-48,4.5609153387899453e-39,4.0391441271009849e-42,1.1065830311445034e-32,4.4052688244055668e-40,7.3670222173166064e-52,7.5108464231017372e-60,4.4335919431549404e-40,2.0155990556937744e-40,5.1098488050748675e-41,4.0583746078788414e-48,3.9347776874452197e-49,2.6996640424733239e-48,9.9363966638969216e-50,4.3349543218669213e-64,3.8655720321075713e-69
8.3068923578511e-17,0.002966604941507827,4.8637171465058215e-31,1.4027452774436116e-26,1.8220845039862954e-20,4.8635917926930342e-31,7.4459438959996846e-20,1.0346642348853863e-32,8.4349588961146613e-55,1.4117028727647512e-43,2.8211723655437884e-47,3.5565287254044595e-44,2.1723963530421966e-36,6.6828922090112033e-25,2.1190446150963068e-38,1.1842076739987252e-55,4.8815580539657276e-51,8.4488573467863656e-40,1.7291148444989691e-52,5.5083640265433736e-75,3.7350822905195668e-48,5.4653759253675326e-65,2.5904784613175401e-38,2.6248492657099726e-58,1.7411344590478479e-30,6.9605655669386296e-46,3.1282221530553037e-47,8.3857344060027972e-40,1.8870824367209327e-70,4.5130230678449003e-78,9.0014238240676339e-47,6.6099694082487328e-60,5.8617735349796363e-77,0.88129999999999997,0.0,0.0,0.0,0.009889999999632932,0.108803,0.0001,2.1432900870872508e-14,1.5809228562043266e-13,1.5809222245359e-13,2.3873443576206388e-20,3.1827433024890077e-20,2.9447130759762315e-14,2.1125774065370097e-20,2.2766347559562617e-28,1.6899138657644517e-28,7.0238482758596172e-33,1.9598406021050446e-24,1.1367636206246884e-18,4.6395789476888652e-23,3.5197137280880442e-33,4.8603054347796137e-36,9.9293523301149901e-38,1.723184860312049e-41,1.3798275873150971e-18,2.8049870550156865e-49,9.7798855239657677e-57,3.6101370119617224e-58,4.1863367983612945e-66,4.6155387374820763e-63,1.016619755195702e-23,1.7411342750890954e-30,1.8621702123824038e-37,2.3646445411988348e-38,1.6339047954489392e-20,7.1008016237611818e-44,4.0721039247701053e-52,1.7109599562375161e-30,1.0475384000826018e-59,8.2150309216455711e-24,8.5012799793571398e-29,1.0702331541487926e-35,1.1249018059547667e-42,8.4734022426459985e-43,7.1416516435437816e-44,1.5430339790822428e-50,1.5222616592425841e-32,2.6279812368618572e-39,2.9763836146495205e-47,2.5929565757609662e-40,1.6484361308556179e-47,3.6558389588834579e-38,6.4763190389035739e-41,8.8794940332939152e-32,6.9893328299360105e-39,2.3627294007582399e-50,4.8142418883677774e-58,7.0787603676575948e-39,3.2354342152444643e-39,5.6159283564336264e-40,8.8521558044857307e-47,8.4367653169171758e-48,5.9010889651029298e-47,2.1723985084914268e-48,2.7807575645046359e-62,4.9551425151398193e-67
