Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989)
0.0,0.002294828627533339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.650332338920246e-19,0.002294828627533339,2.0289536280458106e-37,1.1526552115434936e-32,1.0032419392959224e-24,2.0283224246276719e-37,2.9631517913165637e-23,3.3181926738263601e-38,2.1653203147774363e-63,1.2395384846289431e-50,2.3849172597492789e-54,1.0604709872600276e-52,6.8307263726375736e-42,2.4255566517240297e-28,4.3272070594222234e-44,2.3719129923818949e-64,1.3278753300866361e-59,8.6216465467810344e-46,7.7816328177164755e-61,3.2786536414111674e-107,3.0868303320013962e-76,7.7532901600122736e-77,1.6680049719265524e-94,1.4744762341685637e-68,5.4765445700025418e-75,3.1989356370385911e-67,2.2212879772050846e-54,7.5533645773276978e-48,1.8261035823401554e-81,6.808453327297569e-92,3.2225721160085224e-85,1.436964815252015e-87,-1.8863363720954496e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994478,0.108803,0.0001,3.3601935838091535e-17,2.5626331718455138e-16,2.5626328732963957e-16,1.0413937579945086e-24,1.0446840213700214e-24,5.3989103973729604e-18,7.8284398132173007e-25,1.0388305726768888e-34,1.5462522391564064e-34,1.902381152837584e-39,2.5918276498481942e-29,3.2091931793097587e-24,6.400999598886518e-28,5.8875902759244783e-40,1.7611815215648134e-43
2.7020930548976693e-18,0.002294828627533339,1.2252833321663628e-36,6.9620374079865868e-32,2.8090773973787102e-24,1.2251067325493388e-36,8.2968418097591612e-23,2.0041918159804386e-37,1.3078534663322893e-62,7.4253318630454533e-50,1.4404900247688994e-53,1.2553301839217844e-51,1.9126033802851745e-41,6.7915586253497215e-28,2.6136330640588755e-43,2.8159351043382543e-63,1.5764535913322733e-58,5.2074745145822789e-45,9.238354832300456e-60,1.8734010798938616e-105,9.6274310988755253e-75,2.4181525604392952e-75,9.5307491389074425e-93,4.5987037914660737e-67,6.507277816294691e-74,4.8342315343721905e-66,1.3416579362287873e-53,8.9651671061399946e-47,2.16795016370645e-80,3.890331009028275e-90,1.8413683896395838e-83,2.6524622830353933e-86,2.6359873729113661e-101,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984556,0.108803,0.0001,9.4085420346607723e-17,7.1753728222511976e-16,7.1753720113803819e-16,6.2709372333396398e-24,6.3098914489652507e-24,1.5116938231570787e-17,4.7283760104643585e-24,1.2299186878258593e-33,1.8197099119353177e-33,2.2585069579594924e-38,1.5654638904754576e-28,1.9383515160859441e-23,3.8662037312379412e-27,6.9889841140719212e-39,2.090874686898265e-42
6.176212696908958e-18,0.002294828627533339,5.8987644410879395e-36,3.3519212523348483e-31,6.420748182944799e-24,5.8983614319306525e-36,1.8964289022934263e-22,9.6493558943716654e-37,6.2967514184027314e-62,3.5130161144113018e-49,6.9353393895265513e-53,1.2240027517162533e-50,4.3716648501146254e-41,1.5523562574690867e-27,1.2583518131317622e-42,2.7647017832355433e-62,1.5477714830545647e-57,2.5071748162936948e-44,9.0702722617587583e-59,8.2619902343246416e-104,2.1117324506513907e-73,5.304105692441069e-74,4.2031391004621854e-91,1.0087043914037208e-65,6.393886089487148e-73,5.2004456858939041e-65,6.4595054075605524e-53,8.8009206425798919e-46,2.1285063068860205e-79,1.7156875914870028e-88,8.1206782790892926e-82,6.740353530677469e-85,1.260890098246963e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999964693,0.108803,0.0001,2.1505238936344583e-16,1.6400851888907052e-15,1.6400850152150248e-15,2.9999231292557999e-23,3.0379410739848541e-23,3.4552950375769881e-17,2.2765078427976182e-23,1.2004399561164247e-32,1.7536019413643424e-32,2.2174155920001434e-37,7.5370346557488431e-28,9.3323163021963817e-23,1.8614106437576664e-26,6.8602102764177281e-38,2.0528331335933236e-41
1.3124451980931537e-17,0.002294828627533339,2.5760546579274184e-35,1.4638720132250738e-30,1.3644089231679071e-23,2.5759692944276485e-35,4.0299452154434247e-22,4.2141580071654309e-36,2.7499567408652442e-61,1.4809728537964223e-48,3.028844917982738e-52,1.0670898252534714e-49,9.2897877249199948e-41,3.2987570481732263e-27,5.4955529680679562e-42,2.4453474171777723e-61,1.3689863467478261e-56,1.094949111947275e-43,8.0225543419774273e-58,3.0056163624277295e-102,3.822191373024846e-72,9.6003197900985787e-73,1.5290410587671847e-89,1.8257337578755838e-64,5.6617969339950421e-72,4.7801055430527237e-64,2.8210356998442938e-52,7.7838260010303576e-45,1.8826396889795612e-78,6.2414583866026678e-87,2.9542014529917772e-80,2.1034616511808955e-83,4.6920501172738207e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999924985,0.108803,0.0001,4.5698632739634489e-16,3.4851809097403703e-15,3.4851805892097577e-15,1.2935205152465745e-22,1.3267486449863226e-22,7.3424800568161614e-17,9.9420931995207168e-23,1.0493567088833511e-31,1.4953905311495267e-31,1.9612790848301728e-36,3.2916209612881481e-27,4.0756572924222205e-22,8.1292690841578984e-26,6.0649059501399029e-37,1.815707601285663e-40
2.7020930548976693e-17,0.002294828627533339,1.0754338445342825e-34,6.111376986228293e-30,2.8090769239556311e-23,1.0754163831730603e-34,8.2970853237955877e-22,1.7593537327464485e-35,1.148052777868952e-60,5.7581254218423008e-48,1.2644831294042817e-51,8.7013360914739012e-49,1.9126033215116616e-40,6.7915586329251871e-27,2.2942851852472391e-41,2.0554618459545749e-60,1.1507155085920313e-55,4.5711970036580307e-43,6.743442409748818e-57,9.727340374857718e-101,6.1633501282607062e-71,1.548068251051937e-71,4.9485492154025864e-88,2.9440274681660304e-63,4.76908148388759e-71,4.0894809303487224e-63,1.1777268574074739e-51,6.5425727439401041e-44,1.582472037432806e-77,2.0199757540375953e-85,9.5609280707773777e-79,6.7707369176410076e-82,1.6134723910692097e-96,0.88129999999999997,0.0,0.0,0.0,0.009889999999984557,0.108803,0.0001,9.408542034590343e-16,7.175371990548264e-15,7.1753715205622805e-15,5.2660887014728234e-22,5.5389141221105486e-22,1.5116780457515686e-16,4.1506159687411376e-22,8.618502367020698e-31,1.172490487473989e-30,1.6485734179585289e-35,1.3741868830598772e-26,1.7014979829765636e-21,3.3938096263395959e-25,5.093093433187234e-36,1.5262115476488561e-39
5.4813887685067e-17,0.002294828627533339,4.3934610592415118e-34,2.4966964954576826e-29,5.6984120896948116e-23,4.3934260960877186e-34,1.6831795468648326e-21,7.1877442521670712e-35,4.6901699656082697e-60,2.0392752841060738e-47,5.1658261667654008e-51,6.6858472321284744e-48,3.8798523157853426e-40,1.3777161815804192e-26,9.3729035988165325e-41,1.6851918047640611e-59,9.4342609156447714e-55,1.8674831324753248e-42,5.5286849359969315e-56,2.8268105243229382e-99,8.923022001340239e-70,2.2412237284516583e-70,1.4380676702179664e-86,4.2622309822286129e-62,3.9260367532728961e-70,3.3812619156300133e-62,4.8113983720882973e-51,5.3639137992330983e-43,1.2974060889473945e-76,5.8701398309064419e-84,2.7784467248715456e-77,2.0927983768801219e-80,5.3485909308835465e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999686738,0.108803,0.0001,1.9085899555719787e-15,1.455575277484719e-14,1.4555752516719728e-14,2.0490850313969618e-21,2.2628269044978452e-21,3.0665102712789582e-16,1.6956520666706284e-21,6.7558707888473575e-30,8.4677018117029137e-30,1.3516003694225983e-34,5.6140012310577828e-26,6.9511032908878335e-21,1.3864818190745978e-24,4.1677340467845033e-35,1.2512802836444154e-38
1.1039980195724763e-16,0.002294828627533339,1.7758993424058021e-33,1.0092043085475131e-28,1.1477079077830154e-22,1.7758924835900139e-33,3.3902935470488663e-21,2.9055710805614662e-34,1.8958415015904073e-59,6.2267797602409206e-47,2.0881095249686347e-50,4.7188226791346013e-47,7.8143498892701779e-40,2.7748368235065308e-26,3.7886775027716313e-40,1.3647120112921182e-58,7.640108997191537e-54,7.5486654224635619e-42,4.4772779521702081e-55,7.0793239244458963e-98,1.1109297196086706e-68,2.7903571867195829e-69,3.6014162097430826e-85,5.3065419644638512e-61,3.2052770579264723e-69,2.7495860345884509e-61,1.9448440500094128e-50,4.3438021683654613e-42,1.0506729324197714e-75,1.4700877612161733e-82,6.9581912045353142e-76,5.9535686139010102e-79,1.7417326427011185e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999369059,0.108803,0.0001,3.8440614597481302e-15,2.9316509282573288e-14,2.9316511042845496e-14,7.5575451821606036e-21,9.1467061677326373e-21,6.176063307875628e-16,6.8540161253730651e-21,5.0279785703746901e-29,5.5276681223853532e-29,1.0945614727922157e-33,2.269268624005836e-25,2.8096895644286779e-20,5.6043800552390756e-24,3.3624267709483898e-34,1.0133189793735259e-37
2.2157163050160886e-16,0.002294828627533339,7.1407938747381632e-33,4.0579634550210187e-28,2.3034399680745371e-22,7.1407808308830781e-33,6.8052094319311286e-21,1.1684540114496301e-33,7.623093784874248e-59,1.499018862401237e-46,8.3961965125288926e-50,2.9021592073644947e-46,1.5683343375990088e-39,5.5690781287622313e-26,1.5234105673266715e-39,1.0984389479308535e-57,6.1494242472549103e-53,3.0352851791123753e-41,3.6037117447356168e-54,1.4147680934885702e-96,1.098378180616738e-67,2.7588306364574554e-68,7.197229147954097e-84,5.2465874352045531e-60,2.6214788662778727e-68,2.217640746486938e-60,7.8201315865125888e-50,3.4962544955733144e-41,8.4567273146973161e-75,2.937896315206443e-81,1.3905560933978852e-74,1.4768973693271756e-77,5.6222437586489064e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998733699,0.108803,0.0001,7.715004467901481e-15,5.8838004684564593e-14,5.8838014230350877e-14,2.5798897136575824e-20,3.677848736861329e-20,1.2394723755169835e-15,2.7559050181801674e-20,3.4794096803843714e-28,3.1940066325479034e-28,8.8099902457581541e-33,9.1246261970747557e-25,1.1297175580650715e-19,2.2534957552365775e-23,2.6861312132078528e-33,8.1560692040019259e-37
4.4391528759033136e-16,0.002294828627533339,2.8637710258607653e-32,1.6274226901331043e-27,4.6148987393288371e-22,2.8637686912753093e-32,1.3637792737287048e-20,4.6871193261191855e-33,3.0572003470761226e-58,2.6699827529969781e-46,3.3672502913362519e-49,1.4980705525833436e-45,3.1421323708433681e-39,1.1157560824905568e-25,6.1095577905276657e-39,8.8142806882800989e-57,4.9345254434616439e-52,1.2172851236818298e-40,2.8917660599507098e-53,2.1346455012645645e-95,8.1446588428499636e-67,2.0457185701329902e-67,1.0859353776320939e-82,3.8904327765260604e-59,2.1703022140831109e-67,1.7813296464509336e-59,3.1362218874683765e-49,2.8055152712516095e-40,6.7859870553870698e-74,4.4327907822204323e-80,2.0981050030793122e-73,3.0790131144777235e-76,1.8069423269896029e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999997462979,0.108803,0.0001,1.5456890483412378e-14,1.1788093721237113e-13,1.1788096514646001e-13,7.9005063354143401e-20,1.4749805722609018e-19,2.4830262401591609e-15,1.105189388304472e-19,2.1752581211956308e-27,1.6301815520054395e-27,7.0694740149056394e-32,3.6593810524807286e-24,4.5303016949176733e-19,9.0375203107353295e-23,2.1236586110795889e-32,6.544726832635826e-36
