Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338)
0.0,0.0026903793117384594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.955462602992534e-21,0.0026903793117384594,1.8131969745511586e-35,1.3270471630582902e-31,6.5197674373342135e-22,9.1010153344282651e-36,4.6560796473859713e-22,3.2964692451517227e-38,5.6727885541660658e-57,2.3969776129009818e-47,4.8112214443717443e-51,7.0653984064335445e-52,1.8626188495725714e-36,4.5472263176072938e-27,1.0593996915145546e-43,4.1747400041729175e-63,8.6975219415228421e-59,9.1062459437010584e-45,5.097825416503993e-61,4.6692386526003256e-104,1.963240185493223e-76,4.833804854045792e-75,3.1392461122393241e-93,3.4269843367147091e-70,1.010487956242743e-70,3.7220542709118376e-66,4.2420908078614099e-51,1.0964873753748405e-47,2.2532653355917064e-75,2.6473287297347868e-91,6.6110976877761988e-87,9.2059193814363354e-81,6.7318565902350894e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993143,0.108803,0.0001,1.8875848531073402e-17,1.9529011761805559e-16,1.9528900004195519e-16,7.0066865768358058e-27,7.007490248209366e-27,2.7544087586760232e-16,4.0596220727149639e-27,3.4621794212725666e-38,4.0077712225994855e-38,8.2900341423828322e-43,1.1893217041092282e-30,1.7485084013219935e-24,2.8275424032440113e-29,9.0621442524501498e-43,4.539829391338295e-45,4.5922829840920299e-46,4.032772431286757e-53,2.9938243041557057e-24,2.0248547245534165e-64,1.5480337656205141e-75,3.1212256936815452e-76,7.5716287788211861e-88,2.8201380519071608e-81
2.2275295288379095e-20,0.0026903793117384594,8.0256804651667879e-35,8.0153045146069741e-31,1.8255348820677578e-21,5.4970132610230595e-35,1.3037023088840858e-21,1.9910674384800326e-37,3.4263642868192937e-56,1.4477332747608594e-46,2.9059777525043149e-50,8.3878419707584794e-51,5.2153327787254839e-36,1.2732233689694745e-26,6.3987741369132991e-43,4.956251333101098e-62,1.0325698049186697e-57,5.5001725501374623e-44,6.0521383545326588e-60,2.6847293990862729e-102,6.1725711728234881e-75,1.5197837084258588e-73,1.0127089778738781e-91,1.0774690169256361e-68,1.200953920267565e-69,5.6247667695627947e-65,2.5622228479171344e-50,8.823623291678968e-47,2.6750766064604825e-74,1.5246845386397995e-89,3.8075551463851419e-85,1.0928983486248294e-79,2.1166156794312329e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980809,0.108803,0.0001,5.2852375886999759e-17,5.4681232929461446e-16,5.4680920009467884e-16,4.2315467091710021e-26,4.2325241084640771e-26,7.7123443679245202e-16,2.4520117059871793e-26,4.1084917008245454e-37,4.7520704790031579e-37,9.8419511377501271e-42,7.1835030927466926e-30,1.0560990565311015e-23,1.7078356114655374e-28,1.0758556898659423e-41,5.3896854530668135e-44,5.4519579337261517e-45,9.0211499460749944e-52,1.8082698491172435e-23,8.3556191095644735e-63,1.1653210961689936e-73,2.3495806279029866e-74,1.0335235234169928e-85,2.122929412738392e-79
5.0914960659152214e-20,0.0026903793117384594,3.2245563186479225e-34,3.8590109038564696e-30,4.1726511571931472e-21,2.6465752577943207e-34,2.9798910276391186e-21,9.5861327796834747e-37,1.6496469117023203e-55,6.9697928789037978e-46,1.3991031961779973e-49,8.2348092790094878e-50,1.1920760636720444e-35,2.9102248435446933e-26,3.0807343031724094e-42,4.866076949316634e-61,1.0137831575692415e-56,2.6480963206412951e-43,5.9420253654444968e-59,1.2054362974070032e-100,1.37698629260817e-73,3.3903559399321288e-72,2.6060105629436424e-90,2.4036337945341786e-67,1.1796744839864441e-68,6.050866852331601e-64,1.2336000068793422e-49,6.4898445374744825e-46,2.6264060753025067e-73,6.8369320709874803e-88,1.7073695500858074e-83,1.0729541176611838e-78,4.7220627725383429e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999956158,0.108803,0.0001,1.2080543059882941e-16,1.249856752504008e-15,1.2498496001089435e-15,2.0368066522437887e-25,2.0377781619977435e-25,1.7628214960948187e-15,1.1805380598466488e-25,4.0299176125810485e-36,4.6530444710788712e-36,9.6628959126661511e-41,3.4585475154398096e-29,5.0846621630336338e-23,8.2224933072261649e-28,1.0562770991583232e-40,5.2916251375205265e-43,5.3527637287954471e-44,1.7824269194616023e-50,8.7060406175927716e-23,3.3053992952170508e-61,9.2138420329287824e-72,1.8577424560609864e-72,1.632713603400862e-83,1.6785362320895905e-77
1.0819429140069846e-19,0.0026903793117384594,1.278649915445248e-33,1.6853287727940374e-29,8.8668837012707803e-21,1.1558289459663905e-33,6.3322685870054052e-21,4.1865161626573448e-36,7.204441465332396e-55,3.0435230145262602e-45,6.1102512359460563e-49,7.2828413873242299e-49,2.5331616351466901e-35,6.1842277933260468e-26,1.3454376084798394e-41,4.3039899556496952e-60,8.966797222204488e-56,1.1564932350701599e-42,5.2556542155368179e-58,4.5371984000703612e-99,2.5786405842809053e-72,6.3490170288848672e-71,6.2807196667806678e-89,4.5012123109773434e-66,1.0436354193332307e-67,5.5617889058728565e-63,5.3874553255007542e-49,4.8038401586093976e-45,2.3230264306632293e-72,2.5719279267775065e-86,6.4228102182119515e-82,9.4890982325524893e-78,8.8439343172991111e-93,0.88129999999999997,0.0,0.0,0.0,0.009889999999990684,0.108803,0.0001,2.5671154002239645e-16,2.6559455983482106e-15,2.6559303997727407e-15,8.8908714972879504e-25,8.8995125926839048e-25,3.7459953645102497e-15,5.1557196303956601e-25,3.5576328552321072e-35,4.0933849806738727e-35,8.5467259799116317e-40,1.5104385641050786e-28,2.2206053927345364e-22,3.5909788506660087e-27,9.3425731065477457e-40,4.6803825071445591e-42,4.7344572986100338e-43,3.171732429884592e-49,3.8021563920893587e-22,1.1796731497228272e-59,6.5856669102011948e-70,1.3278362035274642e-70,2.3355428334626423e-81,1.1997471974728235e-75
2.2275295288379096e-19,0.0026903793117384594,5.0782249956306676e-33,7.0359104980863444e-29,1.8255348764733477e-20,4.8253583167598723e-33,1.3037024193162863e-20,1.747788192693914e-35,3.0077124927988762e-54,1.2703029509984385e-44,2.5509096112384904e-48,6.1203985289792175e-48,5.2153327775985968e-35,1.2732233695412407e-25,5.6169371667173623e-41,3.6177628934927024e-59,7.5371333566619945e-55,4.8281316013314183e-42,4.4176941645373072e-57,1.571135689892451e-97,4.4529154708764244e-71,1.0963775376484611e-69,1.574631066423955e-87,7.7729009848962312e-65,8.7732834686018467e-67,4.7582274286209844e-62,2.2491565458931672e-48,3.6515286616948575e-44,1.9526436880843e-71,8.9037139399394254e-85,2.2235018787095248e-80,7.9744010070518028e-77,1.5275812099704507e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999808221,0.108803,0.0001,5.2852375886916136e-16,5.4681232877407927e-15,5.4680919976414105e-15,3.7080931452294839e-24,3.7153713093138807e-24,7.7123421005841584e-15,2.1524112612009339e-24,2.9790557010203249e-34,3.4040018666929521e-34,7.1840397950416508e-39,6.3057836741630649e-28,9.2705890513099918e-22,1.4991629808922497e-26,7.8528640508547506e-39,3.9341435093628235e-41,3.9795939379617908e-42,5.3495868281564634e-48,1.5873252192938641e-21,3.985846383053072e-58,4.4538868671254858e-68,8.9801569278112266e-69,3.1603268189993115e-79,8.1138918412868153e-74
4.518702758499759e-19,0.0026903793117384594,2.0226121179360976e-32,2.8743979332641688e-28,3.7032278792888584e-20,1.9713163140227851e-32,2.6446537355177321e-20,7.140285926800284e-35,1.2287486931519873e-53,5.1870866323969801e-44,1.0421298109488162e-47,5.0157934805984336e-47,1.0579675060512874e-34,2.5828245509679766e-25,2.294702109761611e-40,2.9660605976214967e-58,6.1793973023994134e-54,1.9724492980667656e-41,3.6218927777784114e-56,5.2255135755531464e-96,7.3951151612463857e-70,1.8207931855857493e-68,4.2473561498235376e-86,1.290873323246794e-63,7.1932257436758866e-66,3.934194426063264e-61,9.1885383697773679e-48,2.8369150322025615e-43,1.6008952696951156e-70,2.9609543695616275e-83,7.3943159326317019e-79,6.5350931831828911e-76,2.5381371976125561e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999610966,0.108803,0.0001,1.0721481965612147e-15,1.1092478657362684e-14,1.1092415187543048e-14,1.5118856068318771e-23,1.5178504005488315e-23,1.5645031569706185e-14,8.7933007316208846e-24,2.4240019973685778e-33,2.7323954335751571e-33,5.8899106025013826e-38,2.5761183831001325e-27,3.7873370272840568e-21,6.1245699360634887e-26,6.4380366339023378e-38,3.2254485364799304e-40,3.262707129411851e-41,8.7867009143547711e-47,6.4847395824593771e-21,1.3104573953436285e-56,2.9299117918431126e-66,5.9074396134798103e-67,4.1588071030323031e-77,5.3375834547496894e-72
9.10104921782346e-19,0.0026903793117384594,8.0716897410350973e-32,1.1618773807418443e-27,7.4586138454117656e-20,7.9683756796309836e-32,5.3265571478004388e-20,2.8862184386321487e-34,4.9667986825970639e-53,2.0946722580105248e-43,4.2124553231441619e-47,4.058556215249749e-46,2.1308359618383279e-34,5.2020269178593026e-25,9.2755528271303531e-40,2.4019927747116651e-57,5.0042361507258639e-53,7.972955437313042e-41,2.9331029925593016e-55,1.7033604573806874e-94,1.2044602102480582e-68,2.9655696932339344e-67,1.2238596292237384e-84,2.1024764596896364e-62,5.8254037576678844e-65,3.1992215635711427e-60,3.7141541196120072e-47,2.2342282915213884e-42,1.2964464961260346e-69,9.6512179889581977e-82,2.4101738458685033e-77,5.288007785094499e-75,4.1379286716436267e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999216472,0.108803,0.0001,2.1593970719394158e-15,2.2341189360112444e-14,2.2341061544003517e-14,6.0872319603856015e-23,6.1353939305953801e-23,3.1510394495863218e-14,3.5543914672708353e-23,1.9338479988127499e-32,2.1236902101757566e-32,4.7698027488054151e-37,1.0413082386725684e-26,1.5309012978569724e-20,2.4756490869994871e-25,5.2133395447860528e-37,2.6120518446744729e-39,2.6422176692492834e-40,1.424358349487177e-45,2.6212339096143198e-20,4.2504261852654505e-55,1.9010218662112746e-64,3.8329385689204805e-65,5.3973156916488357e-75,3.4631989795666118e-70
1.826574213647086e-18,0.0026903793117384594,3.2247838348718071e-31,4.67185736139391e-27,1.4969385619625125e-19,3.2040487759803407e-31,1.0690367091885116e-19,1.1605363060107304e-33,1.9971279094090629e-52,8.4062915154020502e-43,1.6938097624601701e-46,3.2612775911948207e-45,4.276572870229148e-34,1.0440431667793371e-24,3.7296590029979903e-39,1.9333327576713587e-56,4.0278446185225892e-52,3.2058903206550052e-40,2.3608169732266697e-54,5.4935990690555103e-93,1.9415647798046767e-67,4.78043658321252e-66,3.6886021925941866e-83,3.3891482755259536e-61,4.6888493396445618e-64,2.5802880954071446e-59,1.493445034813606e-46,1.772940764985624e-41,1.0434929295277782e-68,3.1125654301727377e-80,7.7729279069994509e-76,4.2501907021347699e-74,6.6831678150761698e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999998427468,0.108803,0.0001,4.3338948226721967e-15,4.4838610620891087e-14,4.4838354163553232e-14,2.4285188119745454e-22,2.4670148573232862e-22,6.3241056299958531e-14,1.4292041459719529e-22,1.5115405878852924e-31,1.5815301556079325e-31,3.8391526191623695e-36,4.1870546263334626e-26,6.1556796870975301e-20,9.9544760590379909e-25,4.1955868047433611e-36,2.1024065589937884e-38,2.126675129199921e-39,2.2938731870224853e-44,1.0539854107604531e-19,1.3693243489225186e-53,1.2250048204051806e-62,2.4699180653365966e-63,6.9563579210969932e-73,2.2316625718015309e-68
3.659512797376566e-18,0.0026903793117384594,1.2891210753860958e-30,1.8736236249374332e-26,2.9990928535922064e-19,1.2849668327835344e-30,2.1417999458131521e-19,4.6542741885734303e-33,8.009376185389064e-52,3.3582946350822195e-42,6.7929347550865819e-46,2.6083419216591432e-44,8.5680466742777523e-34,2.0917241232267173e-24,1.4957600785497607e-38,1.5513777873050942e-55,3.232091650738754e-51,1.2857054100582856e-39,1.8944077614369619e-53,1.7599772215682774e-91,3.1093578671772815e-66,7.6557260250728082e-65,1.1403391189267402e-81,5.4276194969900202e-60,3.7625300530549284e-63,2.0726277335677851e-58,5.9893825392812527e-46,1.4125113444142073e-40,8.3733736090104865e-68,9.9714989806759087e-79,2.4901551506845785e-74,3.4034435002779829e-73,1.0744289337715274e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999996849459,0.108803,0.0001,8.682890324043268e-15,8.9833452573335224e-14,8.9832939029167761e-14,9.5893168472567552e-22,9.8938325146964169e-22,1.267021237163083e-13,5.7317395908290608e-22,1.1464644983935291e-30,1.1030575219178926e-30,3.0806787240124795e-35,1.6791961733308031e-25,2.4686971791196453e-19,3.9921900953916543e-24,3.3657919319865511e-35,1.6870488442096676e-37,1.7065043720534683e-38,3.6821358788285234e-43,4.2269431527356345e-19,4.3965679453753202e-52,7.8668119662152204e-61,1.5861473268817049e-61,8.9347962156805347e-71,1.4331455545997262e-66
