Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962)
0.0,0.0021868535043444073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.196973232219771e-18,0.0021868535043444073,1.3085354257917243e-37,1.0260123897998402e-32,3.0380407972215101e-25,1.3084747461355693e-37,2.0630579915232226e-23,5.25819556798223e-38,1.4252183434403602e-64,3.5323956406930288e-51,7.1321959946350489e-55,1.2269212586093172e-52,5.7448343154039892e-43,1.6078669249720607e-28,5.3627365343781238e-44,2.3555115857416542e-64,1.6275349467628688e-59,7.8338625681892831e-46,4.9913338221600887e-60,8.4943538440327616e-91,3.3361451052758561e-59,6.67930954471555e-77,2.9295463736795115e-48,6.9999101178912903e-68,1.1608821032469077e-37,8.2534028641010739e-56,6.5087009744916604e-55,1.5774299620531931e-47,1.8320644093484451e-82,1.3246947871599853e-91,9.4999713971695097e-58,1.6193726949764488e-72,1.7732910368010998e-91,0.88129999999999997,0.0,0.0,0.0,0.00988999999999929,0.108803,0.0001,4.5444935745710704e-17,3.3009619566061769e-16,3.3009618270631161e-16,4.4305879606152163e-24,4.4636962658195486e-24,2.7859167518396166e-18,3.5299486643646096e-24,1.0051147399963041e-33,1.570200176891698e-33,2.0649377117572583e-38,7.3748725123132182e-29,5.1926098593880871e-24,1.8851673272836603e-27,4.2089072302013571e-39,6.7775653387322997e-43,1.7426739347146183e-45,5.4218328854411427e-51,4.0688579360527067e-24,3.4526987491561734e-60,1.1500450321220116e-68,3.1373741458749448e-71,3.7626847953062247e-80,9.8861458880917596e-76,4.170148717223511e-29,1.1608820894532575e-37,1.2414020698730761e-45,1.4089240486647557e-46,4.4828475928289294e-24,7.7850957625820497e-53,1.36607615500657e-61,1.8696560911280595e-38,1.3228794341837754e-71,1.2347568958086785e-28,2.8644086512724436e-35,7.2941746392130725e-44,7.8001489212729097e-52,4.931729029380142e-52,4.4263544007553346e-53,3.2555507033999324e-61,5.7701127108769757e-39,7.8025838675834545e-47,3.8351210656620002e-56,3.441326129663132e-49,1.7551293798267927e-56,5.0300854965269358e-46,5.031095234602289e-50,1.5201598913828816e-37,1.0264546212470865e-45,1.5925188974990436e-60,7.2103515201296468e-70
8.951525050215359e-18,0.0021868535043444073,7.903355601373553e-37,6.1971146657894059e-32,8.50651395517618e-25,7.9031872509617468e-37,5.7766101642808229e-23,3.175972221044476e-37,8.6083187032798123e-64,2.0625530810787787e-50,4.3078463777520335e-54,1.4512172054905692e-51,1.6085535964620951e-42,4.5020273892098635e-28,3.2390928663373846e-43,2.7964633528014964e-63,1.9322094859149013e-58,4.7316529905420883e-45,5.9257116555669477e-59,3.5052091339890779e-89,7.462801646098445e-58,2.0279652267387775e-75,3.4779469619409089e-47,2.1254910253399575e-66,1.378199213055413e-36,1.8462531808463001e-54,3.9312553716726703e-54,1.8726608554967282e-46,2.1750268337402918e-81,7.3721163594982706e-90,2.1250994768818632e-56,6.6823680031326637e-71,2.0169905652961838e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980167,0.108803,0.0001,1.2724582008785486e-16,9.2426932224774403e-16,9.2426929711477009e-16,2.6570224632304203e-23,2.6960724973610814e-23,7.8005361210542669e-18,2.1320871535073749e-23,1.1875945888379393e-32,1.8355101593133758e-32,2.4514941006759523e-37,4.4544228975739441e-28,3.1363260270644789e-23,1.1386410393610533e-26,4.9952807977441639e-38,8.0463253740626322e-42,2.068896805276497e-44,1.2128391419665816e-49,2.4575821004919059e-23,1.4247621491215209e-58,8.6572300140431841e-67,2.361730963581087e-69,5.1360332835934554e-78,7.4420293118286303e-74,2.5187697854504186e-28,1.3781991821690308e-36,2.7769456773763271e-44,3.1517030201231396e-45,1.2551573048361695e-23,1.7414947947928938e-51,3.0450679353792366e-60,2.219649017175986e-37,9.9582809673272665e-70,7.4577325168760701e-28,2.4203179549525603e-34,1.182336482416187e-42,2.353827364810342e-50,1.4882341651910194e-50,1.3357313479231235e-51,1.7976307812363346e-59,3.4851479743739185e-38,9.2632275774870255e-46,8.5225096424304105e-55,4.0855347690955957e-48,3.9049223213814441e-55,5.9710386822156978e-45,1.1253019177296306e-48,1.8047323860518846e-36,2.2935786389237144e-44,6.5708105528779352e-59,5.4268198313883526e-68
2.0460628686206533e-17,0.0021868535043444073,3.8050820683966142e-36,2.9836437767838235e-31,1.9443459162904442e-24,3.8050442382158443e-36,1.3203905661847028e-22,1.5291164131717281e-36,4.1445348059872787e-63,9.2255574883174732e-50,2.0740425907089468e-53,1.4034831535566464e-50,3.6766938789013993e-42,1.029034831483789e-27,1.5594837835568452e-42,2.7455842987652181e-62,1.8970547250126442e-57,2.2780872338630469e-44,5.8178991271254348e-58,1.3866173302298694e-87,1.4745145457091262e-56,4.2128958497993782e-74,3.4146467254036007e-46,4.416813899114128e-65,1.3531241177946876e-35,3.6478850516152644e-53,1.8927302220031777e-53,1.8385562956489621e-45,2.1354541730777307e-80,3.081650791461403e-88,4.1988119720914257e-55,2.6434619180406966e-69,1.8259738364579378e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999954667,0.108803,0.0001,2.9084758877160268e-16,2.1126154744984845e-15,2.1126154680800798e-15,1.2602352804926019e-22,1.2980428033183483e-22,1.7829651724608743e-17,1.0265063125630567e-22,1.1541353727984018e-31,1.7442453291335253e-31,2.4068915282882939e-36,2.1446127778991771e-27,1.509995455202609e-22,5.4820661960186608e-26,4.9011503431074201e-37,7.8999295546607216e-41,2.0312430993660926e-43,2.3963519818968203e-48,1.1832117485577217e-22,5.6361853953048093e-57,6.8449728630523314e-65,1.8673391288444319e-67,8.1136282014837863e-76,5.8841624802471804e-72,1.2126791873396955e-27,1.3531240567347578e-35,5.4866854789865954e-43,6.2272179754955271e-44,2.8687423272048568e-23,3.4409002872328315e-50,5.9300948120560622e-59,2.1792503878955035e-36,7.8736689492230852e-68,3.5903743681079987e-27,1.8682377460064095e-33,1.8309119718187999e-41,7.2838160081956988e-49,4.6052837954500382e-49,4.1333878290598095e-50,1.1059473862600181e-57,1.6779486227643083e-37,9.0946917909127088e-45,1.6599720294300415e-53,4.0111861415082929e-47,7.6252062188846295e-54,5.860963732913791e-44,2.2228654067633373e-47,1.7718939157438055e-35,4.5206968730435796e-43,2.5987228848029061e-57,4.2892173077953241e-66
4.347883595818888e-17,0.0021868535043444073,1.6617704253316131e-35,1.3030354739348198e-30,4.1317345145597598e-24,1.6617625932593507e-35,2.8059261265087627e-22,6.678250815539196e-36,1.8100271548333247e-62,3.4545903176024331e-49,9.0578888662762009e-53,1.1874564278953414e-49,7.8129742541636689e-42,2.1866990154703966e-27,6.8106753920475961e-42,2.4284382127059271e-61,1.6779234099529087e-56,9.9490054516142291e-44,5.1458663948800949e-57,4.9486775574068507e-86,2.6237866008112426e-55,6.8031599481783708e-73,3.0201768219841328e-45,7.1378784923245333e-64,1.1968228834886044e-34,6.4912161379509262e-52,8.2660501771241506e-53,1.6261677685036506e-44,1.8887849082578976e-79,1.0022828822393472e-86,7.47146687935699e-54,9.4342102905697725e-68,1.3839255871318901e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999903666,0.108803,0.0001,6.1805112613693616e-16,4.4893073865750997e-15,4.4893075786043008e-15,5.3435824828134571e-22,5.668893526355889e-22,3.7887390404312636e-17,4.4830063059725071e-22,1.0003487245378511e-30,1.448905358359416e-30,2.1288684407935918e-35,9.3660865764184909e-27,6.5944544404756908e-22,2.3941621069286249e-25,4.3292487840941146e-36,6.9873975077776607e-40,1.7965900784444936e-42,4.2641310444974182e-47,5.1673241415501515e-22,2.0114916305119836e-55,4.8924450906261322e-63,1.3346808428505901e-65,1.1606149929250725e-73,4.2057155494955739e-70,5.296088254708449e-27,1.1968227748084807e-34,9.7629375347758419e-42,1.108094416322962e-42,6.0952722240524229e-23,6.1228983509724993e-49,1.0112383670132433e-57,1.9274970652226215e-35,5.6277057560585407e-66,1.5678326492766088e-26,1.4334429161085076e-32,2.81126466697179e-40,2.237306484846229e-47,1.4145700321980524e-47,1.2696325249713944e-48,6.740495460530882e-56,7.3280415745995444e-37,8.0441519541546051e-44,2.871774252195688e-52,3.5478200451462966e-46,1.3256876917178335e-52,5.1814004617118655e-43,3.9535707227908921e-46,1.5672146931526568e-34,8.0051944666894639e-42,9.2702721304431609e-56,3.0634819105335645e-64
8.951525050215359e-17,0.0021868535043444073,6.9375459503199592e-35,5.4399153409957394e-30,8.5065099379618229e-24,6.9375300949874516e-35,5.777303090325956e-22,2.7882034800849739e-35,7.5565063847232547e-62,1.0531744079770066e-48,3.7814902740987643e-52,8.8489891084464291e-49,1.608553424622291e-41,4.5020273788879058e-27,2.8433229045830234e-41,2.0412486307203085e-60,1.4103957102664583e-55,4.1535139246666091e-43,4.3254116109648513e-56,1.6720049343373123e-84,4.4252873953089681e-54,8.6915757389685928e-72,2.5385740886453937e-44,9.1400163153954345e-63,1.0060016212929443e-33,1.0948383423796469e-50,3.4509137622864562e-52,1.3668858050022098e-43,1.5876373136334624e-78,2.5824804588328414e-85,1.2601401422525004e-52,3.1875269958743785e-66,9.6229592741945098e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999801647,0.108803,0.0001,1.272458200858955e-15,9.2426897224245596e-15,9.2426908740273875e-15,2.107353841204098e-21,2.3666511023298828e-21,7.8000897750849432e-17,1.8715531541340199e-21,8.0834915966817981e-30,1.0850514048374481e-29,1.7894424338958413e-34,3.9101560801357283e-26,2.7529776783685429e-21,9.9951536816079305e-25,3.6293364693210702e-35,5.8733274567889948e-39,1.5101061472885856e-41,7.1919139942966116e-46,2.1571955871388546e-21,6.7962207987717922e-54,3.3086881807131365e-61,9.0262489302812329e-64,1.5704453678407879e-71,2.844276390193802e-68,2.2110122953230737e-26,1.0060014379736751e-33,1.6465520654298223e-40,1.8689437892666457e-41,1.2545772442278184e-22,1.0327163468867601e-47,1.5199015962582233e-56,1.6201349922521132e-34,3.8059341196805232e-64,6.543904173793513e-26,1.1143632154159072e-31,4.3674272169282988e-39,6.9487561684881049e-46,4.3934847544036389e-46,3.9433957425930317e-47,4.1205372282311982e-54,3.0593123788110231e-36,6.7615945575584791e-43,4.5883040794484528e-51,2.9821083089441107e-45,2.1375868891210938e-51,4.3509852077286177e-42,6.6619015958078731e-45,1.3173292926471119e-33,1.3371707927595761e-40,3.1292689594292635e-54,2.0687759712613468e-62
1.8158807959008298e-16,0.0021868535043444073,2.8342096717155092e-34,2.2223818874556675e-29,1.7256053691970172e-23,2.8342060914324684e-34,1.1721280390075209e-21,1.1392071230328728e-34,3.0870788634270767e-61,2.3924497172210081e-48,1.5448621454314928e-51,5.5270197819218193e-48,3.263065119648078e-41,9.1326840875023743e-27,1.1615901792716591e-40,1.6735389357647479e-59,1.1563275858372103e-54,1.6968459601112363e-42,3.5462351533728569e-55,5.4969144128781977e-83,7.2681792350664073e-53,8.2526794955739727e-71,2.0811673505208814e-43,8.7567200199608431e-62,8.2478070212600731e-33,1.7982748152210644e-49,1.4098129577515824e-51,1.1206526888204569e-42,1.3016406470184327e-77,4.9720674690025906e-84,2.0696790052308547e-51,1.047936904639468e-64,6.4166193208709858e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999597626,0.108803,0.0001,2.5812723502684011e-15,1.8749448976765683e-14,1.8749453762374045e-14,7.7428673238570231e-21,9.6685390947835809e-21,1.5822003316635688e-16,7.6457933178069782e-21,6.1501028607392386e-29,7.2908208315153977e-29,1.467093406663582e-33,1.5974258170075781e-25,1.1246180938852033e-20,4.0833450320783696e-24,2.9598322647004964e-34,4.8153068899600813e-38,1.2380171152128568e-40,1.1812194135477141e-44,8.8123532871626496e-21,2.2343469197145756e-52,2.17646718843449e-59,5.9374995557204879e-62,2.0665247285398712e-69,1.8709928201656553e-66,9.0327042322761236e-26,8.2478040103945676e-33,2.7041052506483297e-39,3.069682033725257e-40,2.5436542699122624e-22,1.6962398513167403e-46,1.9243084769208043e-55,1.3282149724556027e-33,2.5035574342727613e-62,2.6721827230367855e-25,8.7660837362323243e-31,6.8656779399871545e-38,2.183751598186466e-44,1.3807385292733079e-44,1.2393329275159213e-45,2.5105578071281546e-52,1.2498283699638972e-35,5.5435640901309627e-42,6.8158987259681439e-50,2.4448335639932527e-44,3.2264926686106424e-50,3.5601753646502085e-41,1.0921328638905308e-43,1.0800112700673303e-32,2.1547211889965219e-39,1.0269044416109314e-52,1.3569016182154335e-60
3.657337377659418e-16,0.0021868535043444073,1.14563160032008e-33,8.9832145945535187e-29,3.4755112826811671e-23,1.1456303512738423e-33,2.3614128473902647e-21,4.6059489611468465e-34,1.2478461840521699e-60,3.8837210106306466e-48,6.2445796442920587e-51,2.8157322709094077e-47,6.5720872961558482e-41,1.8393997431867407e-26,4.6953332060995595e-40,1.3552751892656964e-58,9.3642401030482094e-54,6.8589226412721664e-42,2.871835411647999e-54,1.7827345950635771e-81,1.1780836877040016e-51,5.6533685791799874e-70,1.6852066592502349e-42,6.280094623025983e-61,6.679284610798662e-32,2.91507951031137e-48,5.6987597444133275e-51,9.0753185085056718e-42,1.0541017865729374e-76,6.9554802415216175e-83,3.3546986053187509e-50,3.3986194482126705e-63,4.1912746722392206e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999189567,0.108803,0.0001,5.1989006489489217e-15,3.7762948813099427e-14,3.7762964729084583e-14,2.5975498644798427e-20,3.9081757668033042e-20,3.1862679307723304e-16,3.0904616189408533e-20,4.3500435721116877e-28,4.3238841440328647e-28,1.1880909034558957e-32,6.4570467689611249e-25,4.5453759633962207e-20,1.6505523613506415e-23,2.3718779277144167e-33,3.8995576917295585e-37,1.0024825816689121e-39,1.9146305137669059e-43,3.5616943236298835e-20,7.2463904844827674e-51,1.4120384855982336e-57,3.8521039514003602e-60,2.6817089398749121e-67,1.2138767995367781e-64,3.6511615069071474e-25,6.6792797310791942e-32,4.3822996969205631e-38,4.975880178328237e-39,5.1177227369533204e-22,2.7496783831394168e-45,1.9982408781371382e-54,1.0755102422681929e-32,1.6242466705597956e-60,1.0791574154457062e-24,6.9455546359214046e-30,1.0874126430128581e-36,6.9149889853260626e-43,4.3723207345049981e-43,3.924814822385774e-44,1.4985183233474472e-50,5.0520019710229385e-35,4.4893227604129093e-41,9.2696987272159233e-49,1.9797618055535425e-43,4.4987157196140982e-49,2.871797625606425e-40,1.7636633047784976e-42,8.7459711183142442e-32,3.3653359523503236e-38,3.3182770223203249e-51,8.7523553091463998e-59
7.340250541176594e-16,0.0021868535043444073,4.6065283701709862e-33,3.6121043848994321e-28,6.9753117587915088e-23,4.606520682597377e-33,4.7419398548931383e-21,1.8529097077398907e-33,5.0175309993841581e-60,4.9318038126066671e-48,2.5109178899478115e-50,1.2437514877625918e-46,1.3190126794999741e-40,3.6916623829289083e-26,1.8879728148564252e-39,1.0908433297876619e-57,7.5371543243147731e-53,2.7579426018345185e-41,2.3115065925691171e-53,5.7421805981716491e-80,1.8968827144769852e-50,3.0263257380830044e-69,1.3561166970788484e-41,4.3200865046709888e-60,5.3760639404318639e-31,4.6946409880586501e-47,2.2916750618353699e-50,7.3045893158381516e-41,8.4843192646136583e-76,7.6099901486022975e-82,5.4015430824829261e-49,1.0946923044913642e-61,2.709838365389949e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998373466,0.108803,0.0001,1.0434157245756481e-14,7.5789886683305188e-14,7.5789927422696732e-14,7.7405012954166432e-20,1.5714584243454813e-19,6.3931431871999098e-16,1.2425886542160622e-19,2.7882473323950288e-27,2.2554332817401715e-27,9.5627993047945989e-32,2.5963475002015972e-24,1.8272655240388637e-19,6.6367917130413723e-23,1.8699343246444233e-32,3.1386994737701441e-36,8.0673106213635112e-39,3.0828832873680803e-42,1.4318202272251068e-19,2.3340959618258964e-49,9.0974759507184394e-56,2.4818319905819309e-58,3.4557294063731798e-65,7.8210516532043688e-63,1.4681144038565713e-24,5.3760560854950528e-31,7.0537883786409282e-37,8.0128360081893e-38,1.0249569069542933e-21,4.428273842885316e-44,1.7951312377063843e-53,8.6548287713472446e-32,1.0464690809493799e-58,4.3313707586891472e-24,5.5218386515945614e-29,1.7285972898308574e-35,2.1977539493738308e-41,1.3897100742825958e-41,1.2476495369062249e-42,8.5436118449932787e-49,2.0313848209249359e-34,3.6133992656469283e-40,1.1276250266603235e-47,1.5932791103206846e-42,5.6548729840272212e-48,2.2934141364424857e-39,2.8188474426294481e-41,7.0391333437665137e-31,5.0502622792717437e-37,1.0610714536068955e-49,5.5741882533076384e-57
1.4706076868210945e-15,0.0021868535043444073,1.847420016993228e-32,1.4486100433030192e-27,1.3974867294963376e-22,1.8474139473763689e-32,9.5108234107200923e-21,7.4380381917679627e-33,2.0122514382278811e-59,5.5410812215523796e-48,1.0069902809781359e-49,5.2059874806889653e-46,2.6426186376029423e-40,7.396187546008143e-26,7.5716152756760693e-39,8.7533299499364961e-57,6.048090418382638e-52,1.1060583148294215e-40,1.8548442593141079e-52,1.8429644768694657e-78,3.0436823849866154e-49,1.4105663501607448e-68,1.0877423643662788e-40,5.166498644566677e-59,4.3139440748780623e-30,7.5359234144941973e-46,9.1980062070206492e-50,5.8614509830236553e-40,6.8081175040193789e-75,7.2066930026830616e-81,8.6671576433946251e-48,3.5134269113502159e-60,1.7431239133910057e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996741265,0.108803,0.0001,2.090467043715768e-14,1.5184355311674099e-13,1.5184361585166292e-13,2.022562082097892e-19,6.3022362298456068e-19,1.2801857889910769e-15,4.982757463894204e-19,1.5836484978470096e-26,1.057064519761057e-26,7.673560445311866e-31,1.041249686261308e-23,7.3248642285670852e-19,2.6616457417069547e-22,1.441254983257532e-31,2.5186032383121091e-35,6.4710364658598197e-38,4.9468810849126451e-41,5.7396632433349489e-19,7.491563312698949e-48,5.8402216079270098e-54,1.5932384685097726e-56,4.4370107984873921e-63,5.0211810857123803e-61,5.8877827192677358e-24,4.3139314781545406e-30,1.1310807589347763e-35,1.2860239968017882e-36,2.0448510603057702e-21,7.1083653023147572e-43,1.5150128810630098e-52,6.9420466239728844e-31,6.7179207884101007e-57,1.7307898244548878e-23,4.3923700760226787e-28,2.7498967644204325e-34,6.9894509768511217e-40,4.420154093770557e-40,3.9694318353355156e-41,4.5055053524093598e-47,8.1467405733008219e-34,2.8995283449642171e-39,1.2127311699549495e-46,1.2781769615461989e-41,6.2956269531125667e-47,1.8118791539886379e-38,4.4571870334381831e-40,5.6478456349178728e-30,7.1313877035729779e-36,3.3567207128460137e-48,3.4972353352788094e-55
