Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225)
0.0,0.003011711275225624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6547329486595857e-20,0.003011711275225624,2.2720503919674634e-35,2.5465074845978857e-31,7.1390069255196163e-22,1.6275795094574356e-35,5.5399319221274278e-22,6.5515403033444463e-38,5.1599085299189721e-57,3.4530203814801557e-47,6.0894481755788592e-51,1.9794406118844615e-51,1.4441376666468015e-36,5.3631116624776661e-27,1.9655494292460631e-43,9.6978530929702689e-63,2.403153234698061e-58,1.5544702300407944e-44,2.4774582377736709e-60,1.0264105406004288e-85,4.8306957720034624e-58,1.8778026060730071e-74,7.6711559183219345e-45,1.8457103530423035e-69,8.5915462723292675e-39,1.9310592748981034e-56,6.1105480315454508e-51,2.2556898422012966e-47,2.9666632243204287e-75,1.6747695642624992e-90,1.0152458296436969e-56,8.2781048009066521e-73,4.8361876319567781e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999990645,0.108803,0.0001,3.0863415982368638e-17,2.782656014895766e-16,2.7826444647356372e-16,1.8309019517475623e-26,1.8313163652358891e-26,3.4883318913725681e-16,1.0768177919536953e-26,1.697336578217575e-37,1.9928016779833259e-37,4.0535802327599947e-42,2.8129559069726938e-30,4.5385040124227054e-24,6.5971444580131729e-29,3.6041451429566066e-42,1.7556608349283491e-44,1.476574893089198e-45,2.4114639387052022e-52,7.4828456105174847e-24,2.3808502991076573e-63,3.3619371373618593e-74,6.2315536423126628e-75,2.8088149864044684e-86,5.5133588116143783e-80,5.3752985075018789e-29,8.5915539431067585e-39,3.3247145887917532e-49,4.5956089263775947e-50,1.12861775842794e-22,4.6514298801181693e-55,8.283158396169447e-63,2.3351484004292783e-38,3.4417122319642208e-77,1.7583595419714483e-29,8.9402912196443089e-34,9.6254130545697955e-44,3.7247921840439568e-54,3.1673422025162154e-54,2.5743093592768378e-55,1.0860794429239936e-64,4.1776962099911495e-37,2.749429018092646e-47,4.1532426586771001e-58,1.8350024825708754e-47,2.5477509199329974e-58,5.1306841219176814e-46,1.7276172429285048e-51,5.6872825254714618e-41,1.8714390180893513e-51,2.6202982755073301e-64,4.8614558800412952e-75,1.8714494305851418e-51,1.8151126739252956e-51,1.4666747366051839e-47,9.6524605330315015e-58,6.4420566063546271e-58,5.6756605136466192e-58,1.1073415779688679e-58,3.0850237128993269e-79,5.9753219002247179e-87,9.810865525116868e-83,2.6215810001241691e-50,1.7253142938358326e-60,1.0144857746927158e-60,1.1514841346855994e-60,2.0480852957525642e-78,5.4143579805818298e-39,2.0835098986823658e-86,1.7142462528402406e-68,1.476423360954906e-78,2.2563098169245911e-88,4.8583250290301848e-89,3.5633821937232902e-99,3.9675553851028698e-100
4.63325225624684e-20,0.003011711275225624,1.1635098648212709e-34,1.5380858412799263e-30,1.9989219385054638e-21,9.8305802344893695e-35,1.5511809560487915e-21,3.9571303960376731e-37,3.1165847522356373e-56,2.0855088806236361e-46,3.6782080271612369e-50,2.3498938375805606e-50,4.0435854664993221e-36,1.5016712655794838e-26,1.1871918553213332e-42,1.151381099358067e-61,2.8530235203417528e-57,9.389000189896429e-44,2.9412384290100291e-59,4.2355117338565461e-84,1.0806072893802586e-56,5.9037954649045678e-73,9.1071960236165083e-44,5.8099384504995314e-68,1.0199883732448158e-37,4.3197023540840485e-55,3.690771010970205e-50,2.0737800995622256e-46,3.5220225800133814e-74,9.6453074847523735e-89,2.2710642437543729e-55,3.4159829929501713e-71,5.4996641955850807e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999973783,0.108803,0.0001,8.6417564750618082e-17,7.7914368407645017e-16,7.7914045006628965e-16,1.1056187611334522e-25,1.1061150839225066e-25,9.7673288993133032e-16,6.5039793304067115e-26,2.0135150150499886e-36,2.3606009986734271e-36,4.8124175307744248e-41,1.6990253649893248e-29,2.7412563306401361e-23,3.9846752522366988e-28,4.2788246807078647e-41,2.0843205398490906e-43,1.7529894589942057e-44,5.3943476253645111e-51,4.5196385956447117e-23,9.8246440954782329e-62,2.5307820252172771e-72,4.6909574168062767e-73,3.8340181069858286e-84,4.1503184403970885e-78,3.246680297814715e-28,1.0199892838797657e-37,7.4372526667426978e-48,1.028019306384572e-48,3.1601291507826246e-22,1.0405062594771268e-53,1.8528355415038718e-61,2.7722880949134535e-37,2.5908347176871376e-75,1.0620489973012884e-28,5.4004700579854032e-33,1.1428325549956277e-42,8.3329315831277912e-53,7.0858302878125494e-53,5.7591253921599622e-54,4.4694721800150855e-63,2.5233285102930004e-36,3.2641221280372356e-46,9.2826682168758023e-57,2.1785148071415998e-46,5.6939973388812093e-57,6.0911430457928453e-45,2.4756403542044375e-50,6.7519416868760293e-40,4.1862952010349158e-50,7.0207312234887094e-63,2.3932221373521782e-73,4.1863381679064752e-50,4.0603343736538594e-50,1.7413939817005833e-46,2.1593976476207321e-56,1.4411614763991037e-56,1.2697321545941475e-56,2.4772931688003588e-57,1.5190388075827928e-77,8.1562731540346713e-85,4.8297458994482456e-81,3.1123405206659912e-49,3.8594531593286085e-59,2.2693636676399098e-59,2.5757977800399633e-59,8.451254737571795e-77,3.2702722204262251e-38,2.2070835431793878e-84,7.0738849726671762e-67,1.1114146251972757e-76,3.079851699477119e-86,6.6315895200084553e-87,8.7908315341449739e-97,9.7879236831888058e-98
1.0590290871421349e-19,0.003011711275225624,5.1454625349395162e-34,7.405211006001079e-30,4.56896442785235e-21,4.7330012095519037e-34,3.5455565551333354e-21,1.9051879990157492e-36,1.5005014007414719e-55,1.0039651995362291e-45,1.7710835766143732e-49,2.3069307125162066e-49,9.2424810657587029e-36,3.4323914645858673e-26,5.7158177410996859e-42,1.130542925680906e-60,2.8011154106995138e-56,4.5203994296336546e-43,2.8877253492359897e-58,1.6755262310488025e-82,2.1350977673931356e-55,1.3169547889531856e-71,8.9414984622886942e-43,1.3011196728354953e-66,1.0014306328637378e-36,8.5350039146802604e-54,1.7769473674486803e-49,1.7229697420655364e-45,3.4579426545652356e-73,4.3248768154297936e-87,4.4872399474757328e-54,1.351328811577978e-69,4.9785253056899305e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999940078,0.108803,0.0001,1.9752586228706064e-16,1.7808998488729377e-15,1.7808924570129884e-15,5.3205742416342287e-25,5.3254679799066623e-25,2.2325321329075429e-15,3.1313859395120487e-25,1.9735781912970307e-35,2.3066004993255754e-35,4.7248631827126352e-40,8.1800757351422505e-29,1.3197968275177643e-22,1.918449607785527e-27,4.200940636708892e-40,2.0463982587207998e-42,1.7210949077330823e-43,1.065831865241434e-49,2.1760112738767258e-22,3.8865303408426887e-60,2.0010126544318023e-70,3.7089978756824727e-71,6.0568071467508827e-82,3.2815311700317522e-76,1.5631368049069057e-27,1.0014315268463243e-36,1.4694754180814406e-46,2.0311927922248951e-47,7.2231496442308597e-22,2.0558650324238505e-52,3.6605694803719744e-60,2.7218487087042075e-36,2.048494499330425e-73,5.1133070573117285e-28,2.6006379284036662e-32,1.1222590487310154e-41,1.6467583973737954e-51,1.4003055025086472e-51,1.1381216131932148e-52,1.757450185282244e-61,1.214874057053052e-35,3.2047344565381613e-45,1.8306619816209752e-55,2.1388784591685529e-45,1.122787403436683e-55,5.9803094669133574e-44,3.3300091284265794e-49,6.6290961168642328e-39,8.2712451210079822e-49,1.8884469693623735e-61,1.2852425109113313e-71,8.2714150885737271e-49,8.0225361800437833e-49,1.7100450494886802e-45,4.2673878211553948e-55,2.8479210754441336e-55,2.5092506990977371e-55,4.8956407380815685e-56,8.1585649706891006e-76,1.2884870948636469e-82,2.5937433995729661e-79,3.055713441432734e-48,7.6256035421237679e-58,4.4838783234158832e-58,5.0892291948891912e-58,3.3429609052938798e-75,1.574495300985395e-37,2.0614305189646547e-82,2.7983583831181361e-65,8.787620730886455e-75,4.8654105639049845e-84,1.0476285405378391e-84,2.7750036357087915e-94,3.0897563154144736e-95
2.2504368101770365e-19,0.003011711275225624,2.1546739939354164e-33,3.2340481225453314e-29,9.7090493963056496e-21,2.067025972928952e-33,7.5343080389522085e-21,8.3204569975718297e-36,6.5530838354613604e-55,4.3835472582844282e-45,7.7364114424026921e-49,2.0400821017754187e-48,1.9640272262504593e-35,7.2938318639704311e-26,2.4962477760260747e-41,1.000148446521004e-59,2.4775548595487567e-55,1.9741771928493263e-42,2.5541604013075953e-57,5.9798334578106075e-81,3.7992919040130011e-54,2.4659483036846987e-70,7.9086530657279863e-42,2.4561424126902099e-65,8.8575405315023252e-36,1.5187583428247275e-52,7.7603959987774157e-49,1.3890549085711715e-44,3.0585111183571634e-72,1.6267616853676465e-85,7.9848026934068831e-53,4.8227959256236954e-68,3.7732231950000966e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999872666,0.108803,0.0001,4.1974245735972031e-16,3.7844121769584418e-15,3.784396469951371e-15,2.3214372582302032e-24,2.3257717733108129e-24,4.7441299844123933e-15,1.367558389644532e-24,1.7397606944979965e-34,2.0207729978276662e-34,4.1790892354199812e-39,3.5724539581088349e-28,5.7638986563978604e-22,8.3783734554316614e-27,3.7156225002714761e-39,1.8100160723867215e-41,1.522287997712004e-42,1.8965897022569716e-48,9.5032115521860235e-22,1.3870742409742479e-58,1.4302393237919143e-68,2.6510350173032041e-69,8.6640600170736938e-80,2.3455000853427443e-74,6.8266290934227146e-27,8.8575484371790948e-36,2.6148516325800622e-45,3.614398614523515e-46,1.5349181466093171e-21,3.6583019949184692e-51,6.5126382720195067e-59,2.4074440345507088e-35,1.464177342068834e-71,2.2331140445393431e-27,1.1362449341684912e-31,9.9301548035773253e-41,2.9314323727216158e-50,2.492715675659149e-50,2.0259969893709002e-51,6.1974837523512996e-60,5.3056741782964169e-35,2.834551325899282e-44,3.2453459711381371e-54,1.8918132469484955e-44,1.9899417563171065e-54,5.2894966166874151e-43,4.545321246784954e-48,5.8633599633358121e-38,1.4717635511543157e-47,5.1524847507505996e-60,7.011282543435029e-70,1.4718242077151527e-47,1.4275673355069195e-47,1.5131098364851672e-44,7.5963841783981387e-54,5.0692564252447004e-54,4.4667719094650524e-54,8.7148448962934256e-55,4.4509076383495411e-74,1.8431268509937679e-80,1.4149487496381902e-77,2.702742266034545e-47,1.356926280631733e-56,7.9788152420776059e-57,9.0556069018987879e-57,1.1928747230491333e-73,6.8762346377383101e-37,1.5848892807049836e-80,9.9871411192495317e-64,6.2810231133785216e-73,6.9598103587422432e-82,1.4985982660083448e-82,7.9417015437888045e-92,8.8424852537787655e-93
4.63325225624684e-19,0.003011711275225624,8.8098782914507003e-33,1.3501510101388881e-28,1.9989219292250345e-20,8.6294265224055015e-33,1.55118121491891e-20,3.4736273990786757e-35,2.7357835047709458e-54,1.8291822846743657e-44,3.2311584460297416e-48,1.7141864440408561e-47,4.0435854648983185e-35,1.5016712668226743e-25,1.0421343081869455e-40,8.4101518804804171e-59,2.0825341440156401e-54,8.2418011659539136e-42,2.1469257713749175e-56,2.0204501369641606e-79,6.4080594410220868e-53,4.2573698859589099e-69,6.647697642355403e-41,4.3094214706986147e-64,7.4452965105155757e-35,2.5616079270009553e-51,3.2398125651755862e-48,1.1119207389160404e-43,2.5708628846844709e-71,5.6304311239326403e-84,1.3467533313219775e-51,1.6295133276205169e-66,2.6236558642800368e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999737843,0.108803,0.0001,8.6417564750413784e-16,7.7914368271120946e-15,7.7914044920080757e-15,9.6732286329759215e-24,9.709639273640926e-24,9.7673231496330706e-15,5.7092860777487243e-24,1.4526327566303151e-33,1.666848483974125e-33,3.5127768449589365e-38,1.491429182504221e-27,2.4063135319457896e-21,3.4978059860242735e-26,3.1231004352251438e-38,1.5214275490767574e-40,1.2795731762069831e-41,3.1988718471924017e-47,3.9674026068428838e-21,4.6866047461608563e-57,9.672703951540683e-67,1.792894132675737e-67,1.1723718289396906e-77,1.5862612448226624e-72,2.8499832586832701e-26,7.4453031531932668e-35,4.4103248829975854e-44,6.0962100936400152e-45,3.1601208449764109e-21,6.1702610708516152e-50,1.098063868284689e-57,2.0236012247922396e-34,9.9022266756442492e-70,9.3227991276810356e-27,4.7475939388458548e-31,8.3534553321286867e-40,4.948047935883014e-49,4.2075247240817806e-49,3.4197399242834618e-50,2.0452805726954164e-58,2.2150145229881405e-34,2.38261116974809e-43,5.4329668598707805e-53,1.5901821358551842e-43,3.3296514487913238e-53,4.4461080169521725e-42,6.512169220667178e-47,4.9285065358164877e-37,2.4821407882403965e-46,1.4738253724393417e-58,4.0076000395921041e-68,2.4823457083413866e-46,2.4078005859854879e-46,1.272859857049415e-43,1.2821846216823105e-52,8.5552143333885084e-53,7.5395817418178422e-53,1.4710042904017611e-53,2.5441880934426749e-72,2.4939861699552187e-78,8.0877969444294007e-76,2.2718149209122889e-46,2.2886237064200286e-55,1.3457415632143791e-55,1.5272239605799078e-55,4.0290587839316602e-72,2.8706926034639333e-36,1.1094934235867671e-78,3.3744284653054374e-62,4.2478579703529713e-71,9.4176325204372717e-80,2.0278206615606801e-80,2.1496853793676206e-89,2.3935136333023556e-90
9.398883148386447e-19,0.003011711275225624,3.562008208069934e-32,5.515806563048137e-28,4.0549558920292021e-20,3.5254022895606747e-32,3.1466824940059465e-20,1.4190904537902406e-34,1.1176568290821679e-53,7.4657672292810844e-44,1.3211468285432379e-47,1.4043691151837311e-46,8.2027019394513827e-35,3.0462474298688106e-25,4.257458692595811e-40,6.9005772294661599e-58,1.7073873138022438e-53,3.3670447023926001e-41,1.7601795483005398e-55,6.6427951254351443e-78,1.0525251383564533e-51,7.0672352545107074e-68,5.4501812263029433e-40,7.3832521817812759e-63,6.1041038837623676e-34,4.2074486974159022e-50,1.323569144863517e-47,8.8902684646138022e-43,2.107748718821224e-70,1.8715994487026598e-82,2.212045236805901e-50,5.3574805774835926e-65,1.7494607751310486e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999468215,0.108803,0.0001,1.7530420277893662e-15,1.5805486103449515e-14,1.5805420520841256e-14,3.9369412924780391e-23,3.9667044194730641e-23,1.9813699328928605e-14,2.3324288394213586e-23,1.175286972140261e-32,1.3172715897847856e-32,2.8799869596184726e-37,6.0929746793727835e-27,9.8305702630091592e-21,1.4289678734405286e-25,2.5603356309297081e-37,1.2473581903953916e-39,1.0490687571743422e-40,5.2541438120158152e-46,1.6208124822655531e-20,1.5408494083396325e-55,6.3630125801111732e-65,1.1794228383916069e-65,1.5427717531944739e-75,1.0434935263282699e-70,1.1643111494571499e-25,6.1041093256983245e-34,7.2439567842343057e-43,1.0013038583676321e-43,6.4105115777555021e-21,1.0134672493886392e-48,1.8023008149406727e-56,1.6590696501321004e-33,6.5139999550935547e-68,3.8086574902782238e-26,1.9428117892529041e-30,6.8594282516692881e-39,8.139531943801328e-48,6.9213695241385906e-48,5.6254742466948649e-49,6.4259771632732091e-57,9.0490570348393651e-34,1.9534085650024818e-42,8.7925870434491971e-52,1.3037259326717403e-42,5.3833506750889231e-52,3.6451345057148237e-41,9.7528872343014424e-46,4.0406861020502064e-36,4.0762551247240062e-45,4.4075717795862224e-57,2.3951099854554879e-66,4.0769286947460416e-45,3.9548184345675486e-45,1.0452071036204498e-42,2.1090911346558627e-51,1.4068949960829455e-51,1.2402570534719626e-51,2.4198028849044882e-52,1.5205524751165063e-70,3.2818606052195999e-76,4.8336653383479659e-74,1.862566527652207e-45,3.7589701341411283e-54,2.2103771728459752e-54,2.5080216148288375e-54,1.3237475134587422e-70,1.1727715978542783e-35,7.4224351069952114e-77,1.1094377263706708e-60,2.7943815366864993e-69,1.2393069019841134e-77,2.6684965160399898e-78,5.6583169704530551e-87,6.3001184686632629e-88
1.893014493266566e-18,0.003011711275225624,1.4323966985757703e-31,2.2295770162702969e-27,8.167023752098358e-20,1.4250239587607682e-31,6.337686880338652e-20,5.7361930910193e-34,4.5177476089472302e-53,3.0121050904904299e-43,5.3493286031685311e-47,1.135639252315228e-45,1.6520934878087877e-34,6.1353997647405759e-25,1.7209328774823008e-39,5.5970957356847182e-57,1.3826865155444603e-52,1.3610133053437981e-40,1.4254391783154868e-54,2.1545728099682779e-76,1.7061868255708326e-50,1.1500400643036237e-66,4.4136933041098235e-39,1.2764185851029595e-61,4.9432615499465529e-33,6.8204556023139972e-49,5.3500781002235784e-47,7.1085533141260128e-42,1.706909561150957e-69,6.0951634536045789e-81,3.5858169111538954e-49,1.7376842142371549e-63,1.1427314348799199e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999998928942,0.108803,0.0001,3.5307747883453945e-15,3.1833584561030625e-14,3.1833452517386673e-14,1.5794641774509626e-22,1.6034053149347804e-22,3.9906411083018415e-14,9.4280437221275413e-23,9.2734497446648662e-32,9.9473186073615566e-32,2.3322883074492541e-36,2.4628776442012891e-26,3.9736690889654187e-20,5.7761165970805722e-25,2.073149592422474e-36,1.0101429456416136e-38,8.495588005595292e-40,8.5171520283744085e-45,6.5515756334353673e-20,4.9976841499008518e-54,4.1285199947802805e-63,7.6524613672534357e-64,2.0022106671990115e-73,6.7705147389932849e-69,4.7063317880411978e-25,4.943265950273968e-33,1.1742717221256646e-41,1.6231551470146725e-42,1.2911234388024299e-20,1.6428741353878439e-47,2.9174920820722482e-55,1.3435561676832704e-32,4.2264853150620879e-66,1.5395120478691766e-25,7.879550039359297e-30,5.572372006610343e-38,1.3234566553270391e-46,1.1253872201887739e-46,9.1468275035101539e-48,1.9148605777444966e-55,3.6577735088518208e-33,1.5819208638826943e-41,1.384611436499493e-50,1.0557887016968957e-41,8.4615308322381858e-51,2.9518378289645881e-40,1.504685595954872e-44,3.2722502233336532e-35,6.6056186612798875e-44,1.3586085800018558e-55,1.4757667028978243e-64,6.6078023163659645e-44,6.4109270286935982e-44,8.4909158271584506e-42,3.4289735868242209e-50,2.2861389739962077e-50,2.0166003212225588e-50,3.9345159938530435e-51,9.3693023629489034e-69,4.2590015126503364e-74,2.978374626013399e-72,1.5083472109710509e-44,6.0931245708820501e-53,3.5830927034586451e-53,4.0641583401495412e-53,4.2875931561560613e-69,4.7405303162219594e-35,4.8561090370591015e-75,3.5984312670120779e-59,1.813088371901841e-67,1.6083797923835609e-75,3.463189976753537e-76,1.4687550058085848e-84,1.6353536529649755e-85
3.799266850122409e-18,0.003011711275225624,5.7447556157689966e-31,8.9650306259548464e-27,1.6391159210079236e-19,5.7299585587018831e-31,1.2719702965638589e-19,2.3065000910475781e-33,1.8165664501528694e-52,1.2066101984142765e-42,2.1582809954300566e-46,9.1140981516250525e-45,3.3157400717490058e-34,1.2313704469602056e-24,6.9197954371911635e-39,4.5193716790688106e-56,1.1129064016513986e-51,5.4725746591298896e-40,1.1473176935079833e-53,6.9412312850621322e-75,2.7477555502060252e-49,1.8505740607392025e-65,3.552516693754596e-38,2.2964878864207969e-60,3.9787668935654733e-32,1.0984133331878868e-47,2.151242870813857e-46,5.6850473590316653e-41,1.3738693151653459e-68,1.9623118646648252e-79,5.7748355406357735e-48,5.5981697669445315e-62,7.3882544384254933e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999997850412,0.108803,0.0001,7.0862403093997397e-15,6.3889781101941845e-14,6.3889516265993805e-14,6.257154127781984e-22,6.4472219813767084e-22,8.0091672173849474e-14,3.7909696319713052e-22,7.098739575303474e-31,7.0488840630149829e-31,1.8772287607632865e-35,9.9031215641179864e-26,1.5977911736770412e-19,2.3225510637859167e-24,1.6682060858250335e-35,8.1305083151525206e-38,6.8379194620014684e-39,1.3716477081989185e-43,2.6343536631819578e-19,1.6100550755796264e-52,2.6603768811777361e-61,4.9311694103908717e-62,2.5805481440039336e-71,4.3628581948738583e-67,1.8923952843026195e-24,3.9787704245569803e-32,1.8911126609153495e-40,2.6140363117530421e-41,2.5912445391652304e-20,2.6457983118716369e-46,4.685340657097673e-54,1.0814085574791103e-31,2.7235047852958714e-64,6.1902442515910514e-25,3.1895582416436005e-29,4.5131865413935577e-37,2.1442807732784831e-45,1.8233633161172393e-45,1.4819874820985298e-46,5.3117996823822194e-54,1.4707746191709786e-32,1.2732674749852531e-40,2.1092428770655979e-49,8.4978679973900325e-41,1.2845468020537966e-49,2.3757564914594942e-39,2.3617916594659252e-43,2.6337882083971692e-34,1.063117359811757e-42,4.2625073214946494e-54,9.2570002008810674e-63,1.0638201755783608e-42,1.0324587207847199e-42,6.8769792824480118e-41,5.5546039574079034e-49,3.6994437214880234e-49,3.2672881237820235e-49,6.3747816541543428e-50,5.8773633349342617e-67,5.4886954660818481e-72,1.8683269798078185e-70,1.2140370604166049e-43,9.8117329591437074e-52,5.7703832128378902e-52,6.5405272698363553e-52,1.37748926398796e-67,1.9061463966944559e-34,3.1422028910073401e-73,1.1592803718501052e-57,1.1683448904290654e-65,2.0729751597048324e-73,4.4635630943437147e-74,3.7861235820281152e-82,4.2155949431076817e-83
7.611771563834095e-18,0.003011711275225624,2.3009341726538737e-30,3.5953780542085925e-26,3.2839429077405485e-19,2.2979695767711153e-30,2.5483764386776531e-19,9.2501136386590311e-33,7.285243996420459e-52,4.8029445261590672e-42,8.7156326137554255e-46,7.2713556698205124e-44,6.6430332276871927e-34,2.4670314019796647e-24,2.7751474897510268e-38,3.649941525542799e-55,8.930373036355091e-51,2.194747219538308e-39,9.206505664580085e-53,2.2286760739931735e-73,4.4107377869527537e-48,2.9532650858294817e-64,2.8506586237255094e-37,4.4474741848019957e-59,3.1927097684402933e-31,1.7631966126108802e-46,8.6274460616621044e-46,4.5472529119652034e-40,1.1024436064214932e-67,6.264861648894604e-78,9.2698512895997765e-47,1.7974475883753215e-60,4.7525595748811991e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999995693353,0.108803,0.0001,1.4197171351277584e-14,1.2800217273328102e-13,1.2800164278527332e-13,2.4371952723505765e-21,2.585624157664015e-21,1.6046154469136886e-13,1.5203441417539778e-21,5.1863304156686678e-30,4.5559558825102055e-30,1.5063581830779587e-34,3.9715937749814007e-25,6.4078276377207932e-19,9.3144684299966774e-24,1.3379165991119662e-34,6.5242194110973226e-37,5.4868892162927669e-38,2.2017554266878874e-42,1.0564887632748533e-18,5.1694500090831366e-51,1.7084422865688096e-59,3.1667011431642666e-60,3.3144455697676026e-69,2.8017508865245257e-65,7.5893512561794357e-24,3.1927125845467459e-31,3.0356040860886833e-39,4.1960911068316186e-40,5.1913928965252211e-20,4.2470927724174761e-45,7.4790721488589093e-53,8.677585184646053e-31,1.7489818426133109e-62,2.4825118877268153e-24,1.2961800517326005e-28,3.6665742993489806e-36,3.4834412369456381e-44,2.962092798347014e-44,2.4075516326408491e-45,1.339014288059427e-52,5.8984638743073804e-32,1.0217168650530414e-39,3.0545293385416165e-48,6.8189429256444995e-40,1.8493178687657988e-48,1.9061712817641353e-38,3.7415890025634902e-42,2.1134436307418144e-33,1.7043049263009298e-41,1.3501252440413349e-52,5.8627202547470863e-61,1.7065571774387336e-41,1.6573206865888377e-41,5.5869517050618991e-40,9.0201568889458938e-48,5.995000810658174e-48,5.3076908574757764e-48,1.0356101387604807e-48,3.7226704041142834e-65,7.0483321777669481e-70,1.1833787680947414e-68,9.7416902850648598e-43,1.5746614097982219e-50,9.2624954043544607e-51,1.0484018906525605e-50,4.3985587641072965e-66,7.6444996448975088e-34,2.0220525411091986e-71,3.722192062514246e-56,7.5029982792748108e-64,2.6625612872017099e-71,5.7330659507531338e-72,9.725963681323164e-80,1.0829296887831061e-80
