Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920),S(5903),S(5631),S(1278)
0.0,0.0026018122105032214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2514110967955382e-18,0.0026018122105032214,6.643361853897302e-37,3.4616079395599285e-32,2.5111268779193352e-24,6.6414315266601193e-37,5.2810913277595027e-23,7.7407320229477476e-38,1.2756897266532819e-62,5.0411024335575772e-50,8.6310192957409537e-54,4.7481120732597867e-52,2.4309271707576973e-41,4.3775807180743913e-28,1.0592048068881059e-43,9.9422528082042244e-64,5.8813238344021408e-59,2.2982567697141137e-45,7.2567034018609799e-60,4.7025523040634648e-89,1.8542598121710271e-58,6.7598243159256471e-76,4.571796922164768e-47,7.198536398222329e-68,1.3722114704526754e-37,1.5555750180446064e-55,9.0367266742104943e-54,2.8977508038496475e-47,1.55131392020468e-80,7.657329123295412e-91,4.9632852724148107e-57,4.9054831282944128e-72,2.9625434416421923e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991616,0.108803,0.0001,5.5735824838034796e-17,3.8519959887812176e-16,3.8519955659094584e-16,1.8112758220415161e-24,1.819413181133879e-24,1.1665513363934359e-17,1.3433165335666131e-24,2.5989488966182802e-34,3.7977069668682594e-34,4.8819387664844745e-39,5.0474500383605659e-29,9.1287141606991163e-24,1.2368509542343365e-27,1.4345741887725383e-39,5.6890554201470803e-43,3.2996948791876298e-45,6.9937666847467419e-51,8.4876326712462074e-24,2.2404104014936215e-60,2.5252647962691932e-69,2.0198258653035318e-71,7.9698509537150425e-81,4.1823190377121271e-76,7.2191505076947463e-29,1.3722114655577599e-37,4.7853290237123954e-46,5.6676550150611633e-47,1.1699089889474416e-23,6.0356409113706822e-53,1.739337761944001e-61,4.7832680258080547e-38,2.8242150920783091e-72,1.2866770756721053e-28,7.8296484664946527e-35,1.2681921804352685e-43,4.4225928727309207e-52,2.9950213336208085e-52,2.7595411058891424e-53,1.3951960174829549e-61,2.5398050939262045e-38,1.1996262248473046e-46,3.4966963917929267e-56,1.9048162677422047e-48,1.7119491541857502e-56,1.1164528757088071e-45,4.80256092141633e-50,4.7531482872960851e-38,1.1218754296705582e-46,5.3216868505206666e-61,1.5276331581744232e-70,1.1222516358658516e-46,2.2877042131520211e-47,2.6114937412426713e-48,1.2333885150004363e-56,1.956810891935764e-58,9.1070638155532245e-57,6.8323993412174653e-59,9.7756702411174177e-75,5.0829863697450259e-82,5.7185423624161552e-81,2.2243719005872988e-52,1.0505957315165869e-60,7.7570984143928413e-61,1.6673636784162295e-62,5.1151669796150683e-76,2.3145225339720644e-38,1.7098788925547436e-82,6.0907490912869628e-67,1.3855057299255021e-75,1.6868070320032843e-83,3.2720796355117945e-84,2.6976168192331803e-93,5.0685894848716154e-95,7.5961565880875554e-106,3.0006790804718749e-115,8.6759829646613306e-46,9.7490312560615581e-54,4.9258719113822376e-55,2.0670191662751726e-107,2.329827931283954e-116,1.2376669191231503e-116,3.8756070639019844e-68
3.5039510710275075e-18,0.0026018122105032214,4.0119647838994436e-36,2.0908111717483854e-31,7.0311551656508767e-24,4.0114245982609259e-36,1.4787088421171984e-22,4.6754109412798624e-37,7.7051659237491383e-62,3.0173461974822482e-49,5.2131763848685051e-53,5.6159151654603182e-51,6.8065960618246505e-41,1.2257226011666285e-27,6.3975970340661194e-43,1.1803526986314263e-62,6.9823076534012545e-58,1.3881470890052255e-44,8.6151584399146116e-59,1.9405189469886971e-87,4.1478996087666476e-57,2.1066145198502833e-74,5.4276298809870422e-46,2.2438350377664276e-66,1.6290894481411896e-36,3.4797590722338239e-54,5.4581829017802358e-53,3.4393194267544905e-46,1.8417198771361892e-79,4.3719332354177003e-89,1.1102656113486218e-55,2.0242587724574025e-70,3.3696793686507963e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999976541,0.108803,0.0001,1.560603095463794e-16,1.0785588666845688e-15,1.078558752559141e-15,1.0893028307626346e-23,1.0989255523395651e-23,3.2663378965058254e-17,8.1136279333594073e-24,3.0724323737335459e-33,4.4488541575906358e-33,5.7958378609262624e-38,3.0486598000383821e-28,5.5137351194164145e-23,7.4705797047709811e-27,1.7028743747356921e-38,6.7540465332066472e-42,3.9173904071683204e-44,1.5644748264585422e-49,5.1265224780104652e-23,9.2451000655080359e-59,1.9009530220151698e-67,1.5204718689352214e-69,1.0878788613304522e-78,3.1483410115122604e-74,4.3603668786469612e-28,1.6290894367115721e-36,1.0704548124209478e-44,1.2678309250485497e-45,3.2757034526313482e-23,1.3501487419515058e-51,3.8769533545034115e-60,5.678688033470643e-37,2.1259949558947533e-70,7.7714464524553441e-28,5.2170412159332366e-34,1.6478555145702576e-42,1.0786122611013283e-50,7.3044653152517957e-51,6.7301688277604651e-52,6.2469742948676872e-60,1.5340422598486893e-37,1.4241962440955527e-45,7.7784889787688364e-55,2.2613953224453806e-47,3.8110041759608457e-55,1.3253890464014148e-44,1.0741302019596913e-48,5.6429351175904094e-37,2.5083588438443144e-45,2.1956430437463815e-59,1.1497420405713279e-68,2.5099102117645904e-45,5.1175006251563693e-46,3.3933061728749903e-47,3.0078756199658801e-55,4.7687811913190509e-57,2.2210823831069965e-55,1.6663340949384404e-57,7.3576827580442419e-73,6.9376388034287795e-80,4.3040673619104371e-79,2.6407485125495766e-51,2.350039484390476e-59,1.7352128282527756e-59,3.7281213807844252e-61,2.1034429844229105e-74,1.3979716106193723e-37,1.8475842319462293e-80,2.5133630540542028e-65,1.0429734586530025e-73,2.3024818106666234e-81,4.4663695070878141e-82,6.6549690895423485e-91,1.2504157318409529e-92,3.3807311656384713e-103,2.4068585319224568e-112,1.1273343667948187e-44,2.3775249339481614e-52,6.6608812322894401e-54,9.1994366271352946e-105,1.8687657327516589e-113,9.92738347354879e-114,1.8512382469803314e-66
8.009031019491446e-18,0.0026018122105032214,1.9314515641721258e-35,1.0066355538353687e-30,1.6071211371020023e-23,1.931328222574243e-35,3.3799213421775762e-22,2.2510180665136405e-36,3.7097056872130824e-61,1.4251005571555172e-48,2.5099720188255767e-52,5.4661777894032953e-50,1.5557933779808681e-40,2.8016516603082025e-27,3.0801675791244646e-42,1.1588995269195414e-61,6.855271052696036e-57,6.6833306877970486e-44,8.4584139671315848e-58,7.6764787071381477e-86,8.1955272062737023e-56,4.6130968969275211e-73,5.3288634750197887e-45,4.9172018395614235e-65,1.5994496602609008e-35,6.8754174501509545e-53,2.6278801031158708e-52,3.3762827907254187e-45,1.8082114776876503e-78,1.9249286084131281e-87,2.1936914781435393e-54,8.0077438718271448e-69,3.0505578881305712e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999946375,0.108803,0.0001,3.5670927896259625e-16,2.4652773619714326e-15,2.4652771209135023e-15,5.1971730497416073e-23,5.2908533947783565e-23,7.4658876352776047e-17,3.9063585860988492e-23,2.989267509463445e-32,4.2463062016968358e-32,5.6903881756401486e-37,1.4677984366065676e-27,2.6546177274991994e-22,3.5967624871353133e-26,1.6713584001931321e-37,6.6311628073905479e-41,3.8461015557342351e-43,3.0911264876253615e-48,2.4681920976991267e-22,3.6572554921665816e-57,1.503020613275262e-65,1.202186764618387e-67,1.7185753868012174e-76,2.4892907045078418e-72,2.0993289256365844e-27,1.5994496371385639e-35,2.1150203820971092e-43,2.5050166658686912e-44,7.4871255209287246e-23,2.667666441609981e-50,7.5962669667203581e-59,5.5753531339681436e-36,1.6809538226996034e-68,3.7415323117834735e-27,3.0087465215220132e-33,1.9191947737622502e-41,2.5172732650037678e-49,1.7047225407817237e-49,1.5706973063276145e-50,2.8955995381057689e-58,7.3857529607769057e-37,1.3982842967082952e-44,1.5184222080603167e-53,2.2202459350203258e-46,7.4508697302872412e-54,1.3011396850176279e-43,2.1219359754457658e-47,5.540261804272373e-36,4.9507768881088407e-44,8.6842572536529272e-58,9.0885265107743243e-67,4.9569047145345899e-44,1.0111309387636607e-44,3.9520548904448373e-46,7.0187987252188905e-54,1.1110981561269819e-55,5.1835236127539402e-54,3.8889127643787298e-56,5.8165057539952138e-71,1.0957607161185234e-77,3.4025120812361004e-77,2.5926478846990607e-50,4.6428446947384229e-58,3.428405729916452e-58,7.3587795769326593e-60,8.2526147981176395e-73,6.7306315302944431e-37,1.710482010655546e-78,9.9426001967658449e-64,8.2464656905659733e-72,3.6373517424939303e-79,7.05575832956751e-80,2.1007563050961352e-88,3.9471850543817811e-90,2.1329745484634748e-100,3.0356960121009804e-109,1.312963532400217e-43,5.5479936703600944e-51,7.9304210256022773e-53,5.8041184633989635e-102,2.3570162605845183e-110,1.2521100923851808e-110,9.6382784779782743e-65
1.701919091641932e-17,0.0026018122105032214,8.4348790413117787e-35,4.3962417246312217e-30,3.4151322301375593e-23,8.4346173712196398e-35,7.1823986678077122e-22,9.8308659868288673e-36,1.6201259137089682e-60,5.9876300924896369e-48,1.0962351691293152e-51,4.7491302991916073e-49,3.3060608967478524e-40,5.9535097802841464e-27,1.3451901054667665e-41,1.0250889368287242e-60,6.0634096020806316e-56,2.9187860990542328e-43,7.4813719367487277e-57,2.7396654894988729e-84,1.4583418978540739e-54,8.3225554705502558e-72,4.713291418496307e-44,8.8854950568391229e-64,1.4146950752105099e-34,1.2234437689308177e-51,1.1476642749271609e-51,2.9860849934833073e-44,1.599342541011806e-77,6.9803286493406571e-86,3.9035343462186766e-53,2.8578907746751824e-67,2.3120513505327176e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999886058,0.108803,0.0001,7.5800721779314039e-16,5.2387141941133956e-15,5.2387137632941123e-15,2.229178153001752e-22,2.3106545995903814e-22,1.5864893588050563e-16,1.7060059087890177e-22,2.5967276303825174e-31,3.556162294954239e-31,5.0330841983346405e-36,6.4102611947331418e-27,1.1593339363714038e-21,1.5708006220375425e-25,1.4773489473057605e-36,5.865188178745336e-40,3.4018055626407099e-42,5.5004510502921656e-47,1.0779174834494899e-21,1.3052383701237576e-55,1.0742880039343415e-63,8.5926620761674484e-66,2.4583471815537013e-74,1.7792296295538319e-70,9.168320710761292e-27,1.4146950335892875e-34,3.7635016278670179e-42,4.4575304645343292e-43,1.5909302274161767e-22,4.746970065657719e-49,1.328554417206914e-57,4.9313074426588316e-35,1.2014662463934633e-66,1.6339511131360595e-26,1.7506140936216883e-32,2.2334962039806376e-40,5.859675767108406e-48,3.9682356145532077e-48,3.6562744175902236e-49,1.3318397445503288e-56,3.2255522102895326e-36,1.2367665883784722e-43,2.6381940569139555e-52,1.9637727764582661e-45,1.2984478705056799e-52,1.1506029746736716e-42,3.774975070765872e-46,4.9002892986734859e-35,8.7906924177864704e-43,3.0986209862961687e-56,6.4937475495042157e-65,8.8124963188435749e-43,1.7992500944973799e-43,4.5992723832192899e-45,1.633359311171282e-52,2.5778513826597272e-54,1.2065882785467218e-52,9.0526133555920909e-55,4.1564237232453256e-69,1.5668308998354042e-75,2.4314022884366632e-75,2.2930704560046537e-49,8.2601309843569933e-57,6.1003702075392924e-57,1.3068318122019774e-58,2.8956434604864024e-71,2.9394436196983281e-36,1.3098429657679278e-76,3.5484332887605691e-62,5.8942119039643749e-70,5.2030981536214549e-77,1.0093001189813566e-77,6.0119829645228817e-86,1.1296305040629643e-87,1.2210543532189148e-97,3.4759424725111656e-106,1.5279840434678875e-42,1.2911325581738626e-49,9.3309365274432362e-52,3.3226576078627625e-99,2.6988384004671128e-107,1.4336951661525827e-107,3.8461953481951851e-63
3.5039510710275075e-17,0.0026018122105032214,3.5213401947905555e-34,1.8353442080643677e-29,7.0311538240499879e-23,3.5212864088510655e-34,1.4787562621088736e-21,4.1042587947384951e-35,6.763706579153505e-60,2.3132817099783241e-47,4.5774188820009025e-51,3.8475709602517716e-48,6.8065958416024865e-40,1.2257226027007318e-26,5.6159038926246309e-41,8.6179571727818734e-60,5.0966611006287269e-55,1.2185357406679899e-42,6.2885448592130648e-56,9.2566075200373187e-83,2.4596784865124066e-53,1.333812948618832e-70,3.9617583690039005e-43,1.4291683514958131e-62,1.1891363917584937e-33,2.0635166336211765e-50,4.7912724164452978e-51,2.5099021326483239e-43,1.3443437168276999e-76,2.2455069897552208e-84,6.5838055305597588e-52,9.6560579620158218e-66,1.6076570778789004e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999765408,0.108803,0.0001,1.5606030954466712e-15,1.0785587246252977e-14,1.0785586670742935e-14,8.9838400913425964e-22,9.6465274230308323e-22,3.2662531402845286e-16,7.1222094803820062e-22,2.1072179975906303e-30,2.7004836787670664e-30,4.2306110197830028e-35,2.6761576969398707e-26,4.8399293910304218e-21,6.5577829656104459e-25,1.2402079154092233e-35,4.9300436901940042e-39,2.8593759388740057e-41,9.277168278554362e-46,4.5000360513741334e-21,4.4100369350377254e-54,7.26530291820919e-62,5.811131920112531e-64,3.3264498694387502e-72,1.2032786009753105e-68,3.8275932085697604e-26,1.1891363211616367e-33,6.3474791439847505e-41,7.5182332899193662e-42,3.2750986670474108e-22,8.0064594056175737e-48,2.1624631084991998e-56,4.145011807417138e-34,8.1253967906857612e-65,6.8208029965193534e-26,1.0956939320924439e-31,2.7789592593090471e-39,1.4540797685758541e-46,9.8472086991569321e-47,9.0731802403398872e-48,6.4456587153674976e-55,1.3466044307487788e-35,1.0395767778655728e-42,4.248874441992383e-51,1.6506531817568357e-44,2.1029963934051709e-51,9.6674701399782604e-42,6.3643608162542379e-45,4.1189724037515584e-34,1.4763238286160784e-41,1.0465184517222325e-54,4.3887868702154157e-63,1.4836466609638163e-41,3.0346868456034806e-42,5.7225037311009544e-44,4.0508727559661617e-51,6.3550456561179045e-53,2.9940248121746944e-51,2.2464371681752833e-53,2.8098306102805081e-67,2.1184762948108194e-73,1.643676518008273e-73,1.9273003265866051e-48,1.3926645635597731e-55,1.0288171888220176e-55,2.1953596523981302e-57,9.4472825804455236e-70,1.2271598489104245e-35,9.1523776885994305e-75,1.1989285838553415e-60,3.9862354277084243e-68,7.0405074766057908e-75,1.3657213171301083e-75,1.6272834303432298e-83,3.0577050364893104e-85,6.6110089729775471e-95,3.764064856159593e-103,1.9011472607605546e-41,3.2023548467882081e-48,1.1673599647306346e-50,1.798946882888612e-96,2.9225463188067952e-104,1.5525348164598172e-104,1.3669559465597001e-61
7.108015029798657e-17,0.0026018122105032214,1.4385710941011595e-33,7.4979785446346746e-29,1.4263194643195392e-22,1.4385601619581301e-33,2.999872773560454e-21,1.6767773809398114e-34,2.7631946792144675e-59,8.1006188604648977e-47,1.8712356156408047e-50,2.9226402946686543e-47,1.3807665413697118e-39,2.4864658547539594e-26,2.2942799854761921e-40,7.0696809179946884e-59,4.1785506684717481e-54,4.9781161050334543e-42,5.1557305872385448e-55,3.0433023187975662e-81,4.0399363971547743e-52,1.9101218101740744e-69,3.2480116898604162e-42,2.0648082988864245e-61,9.7492575896851385e-33,3.3893319221921755e-49,1.9573912401099179e-50,2.0577358056362044e-42,1.1021741085998776e-75,6.4561034434514844e-83,1.0813671680807695e-50,3.174628889151451e-64,1.0719909250579488e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999524126,0.108803,0.0001,3.1657948507235022e-15,2.1879331054836941e-14,2.1879330976391351e-14,3.4307463610044797e-21,3.9409206583169404e-21,6.625631073607625e-16,2.9096309921101631e-21,1.6155093758946696e-29,1.8531099741700234e-29,3.4685113061595638e-34,1.0932976107740013e-25,1.9772187588042089e-20,2.6790679917476748e-24,1.0141948593075205e-34,4.0419470780438269e-38,2.3442127175039404e-40,1.5237295886807549e-44,1.8383647729575869e-20,1.4498786039500122e-52,4.7792115070577529e-60,3.8226387914972469e-62,4.3772865368133584e-70,7.9153677921079588e-67,1.5636965458522742e-25,9.7492564269429789e-33,1.0425042583228175e-39,1.2348578293580365e-40,6.6423682407755063e-22,1.3150635448819191e-46,3.2996530682950752e-55,3.3982503778819011e-33,5.3449926220015206e-63,2.7860130118898678e-25,7.4570782911136155e-31,3.7564913290392125e-38,3.9180185629250049e-45,2.6533435620513969e-45,2.4448374595595152e-46,3.3120337748473137e-53,5.5013175248966796e-35,8.5230775717188356e-42,6.399899342257814e-50,1.3532787093447762e-43,3.199431345862187e-50,7.9193557045501077e-41,1.0444939706350761e-43,3.3769561937733446e-33,2.404250740425138e-40,3.4379553133753722e-53,2.8833096293506529e-61,2.4280399483475632e-40,4.9844447653090711e-41,7.7354624246097209e-43,1.0902665505814166e-49,1.6902656336614704e-51,8.0667207077801412e-50,6.0531935518173185e-52,1.8469247937317032e-65,2.7834011464119078e-71,1.0803984239259118e-71,1.5798490929210298e-47,2.2857251660986314e-54,1.689508813638335e-54,3.5772959673596456e-56,2.88918442950976e-68,5.0133484013251301e-35,6.1172989735739873e-73,3.9417699892189108e-59,2.6222486312564724e-66,9.2648056812905747e-73,1.7971903420189554e-73,4.2829579784911123e-81,8.0482902649766632e-83,3.4803956526216689e-92,3.9633220508626914e-100,2.5698982293118366e-40,8.6201896423246647e-47,1.5823640336359821e-49,9.4706374120084726e-94,3.0772563557501823e-101,1.6347209678443238e-101,4.6041388785616992e-60
1.431614294734096e-16,0.0026018122105032214,5.8149108964328605e-33,3.0308016755758803e-28,2.8727266806410908e-22,5.8148886021814619e-33,6.0424406795479931e-21,6.7782367731641423e-34,1.1169273473404109e-58,2.4305882374287504e-46,7.5819230888077768e-50,2.0266315761819997e-46,2.7809803711978627e-39,5.0079523696954438e-26,9.2738465493317534e-40,5.7376235304004805e-58,3.3838986204095979e-53,2.0122341277205212e-41,4.1752468497930528e-54,9.8704389096279677e-80,6.5486098097214109e-51,2.3384710643253526e-68,2.6301990770624252e-41,2.592703568306765e-60,7.8951999496536874e-32,5.4942519839493092e-48,7.9120935558552467e-50,1.6663939666677215e-41,8.9256902073697381e-75,1.5903623911130283e-81,1.7528621611838865e-49,1.0296367575434164e-62,7.0021447991301179e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999999904156,0.108803,0.0001,6.3761783611562426e-15,4.4066810460870617e-14,4.4066813550694175e-14,1.2249672614219584e-20,1.5929826944313301e-20,1.3343788475022755e-15,1.1761000144213406e-20,1.1572156297834503e-28,1.128366620939153e-28,2.808891660640401e-33,4.4192827802375115e-25,7.9918275597376642e-20,1.0829218769331805e-23,8.1713711392044711e-34,3.2732726203640352e-37,1.8982804508222821e-39,2.4698754374260638e-43,7.4305861159538655e-20,4.702354259900002e-51,3.1007242044471498e-58,2.4801055154525421e-60,5.6805246396230299e-68,5.1355002062189329e-65,6.3207100683025733e-25,7.8951980623986484e-32,1.6897138676305757e-38,2.0017115689385287e-39,1.3372640872594373e-21,2.1317752705459897e-45,4.6061873983744309e-54,2.7518605082747865e-32,3.4677997674976783e-61,1.1257408605793168e-24,5.422918134064655e-30,5.4350393769432536e-37,1.1307883212586162e-43,7.6579492404560225e-44,7.0564974860427337e-45,1.7518658068481944e-51,2.2237197719130879e-34,6.9022078073322416e-41,8.8938703985782931e-49,1.0958772908321231e-42,4.5179177951153222e-49,6.4025983465769313e-40,1.6904279281498696e-42,2.7347042424324028e-32,3.8322049350276696e-39,1.1133152647980292e-51,1.8659220981751853e-59,3.907556353472045e-39,8.0798783911954245e-40,1.1191970491024219e-41,3.139509517903804e-48,4.7556359705237976e-50,2.3277624824761085e-48,1.7471254927389501e-50,1.1964529143507668e-63,3.6009638965876578e-69,6.998862072320399e-70,1.2789686373129977e-46,3.699658679399322e-53,2.7377085365443679e-53,5.7083567170642828e-55,8.0915413929077612e-67,2.02647558531407e-34,4.0003748209270371e-71,1.2784745319592352e-57,1.7013652223403675e-64,1.2023654821765538e-70,2.332348991924456e-71,1.1115842614789017e-78,2.0890895862344496e-80,1.8068564590471832e-89,4.1151925954373187e-97,3.718229072997554e-39,2.4829728745093356e-45,2.2926279108112091e-48,4.9167060245048805e-91,3.1951738754473935e-98,1.6973619934582828e-98,1.5110507847854e-58
2.8732398782425563e-16,0.0026018122105032214,2.3381446609586298e-32,1.2186711113750476e-27,5.7655373229685407e-22,2.3381403512067216e-32,1.2128916023149959e-20,2.725848624685023e-33,4.4911147890983148e-58,5.7330110847591549e-46,3.0765431866135813e-49,1.2212490412602655e-45,5.5814080316989353e-39,1.0050925442923798e-25,3.7289729302745363e-39,4.656375307991865e-57,2.7236559263147896e-52,8.091104965198014e-41,3.3606060061152479e-53,3.1796104159054984e-78,1.0545364253903989e-49,2.2670095458899604e-67,2.116811844631819e-40,2.7480820897151259e-59,6.3547411897032027e-31,8.848319840296801e-47,3.1814355888725601e-49,1.3412530190949144e-40,7.1841696514694132e-74,3.117395535383612e-80,2.8226708431728987e-48,3.3168123120487183e-61,4.527188858256756e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998076412,0.108803,0.0001,1.2796945381538035e-14,8.8441741550891669e-14,8.8441754551347205e-14,3.9782864415579708e-20,6.4053097807394773e-20,2.6777709843351425e-15,4.7288910872438764e-20,7.5534723612554507e-28,6.041305807315132e-28,2.2608424360420631e-32,1.7769734812095678e-24,3.213151616377179e-19,4.3543795618732884e-23,6.5106585265503278e-33,2.6346132157424978e-36,1.5277020256957823e-38,3.9771562431988938e-42,2.9875018712106977e-19,1.5147378028254975e-49,1.997848141232493e-56,1.5979732567056099e-58,7.3205111645449738e-66,3.3089607183163953e-63,2.5415286062839899e-24,6.3547381489749773e-31,2.7204900925931846e-37,3.2235460197379818e-38,2.6816141698249731e-21,3.4331602689009519e-44,5.6143252061628646e-53,2.2147262880909249e-31,2.2343611778550306e-59,4.523259465362703e-24,4.1155876134248649e-29,8.2228955700078506e-36,3.4157690941412846e-42,2.3132789795693957e-42,2.1317934907013446e-43,9.0769911763916532e-50,8.9414740487058929e-34,5.5554953797768139e-40,1.1129656402188644e-47,8.8198838741689173e-42,5.7788916067224061e-48,5.1362113061702874e-39,2.7136037497423354e-41,2.2010597224710717e-31,5.9717135549956713e-38,3.5753111430592165e-50,1.196161928168224e-57,6.2034393406389887e-38,1.3012004982494329e-38,1.693279225264439e-40,9.4407202826311125e-47,1.3677374737179076e-48,7.0290980427667554e-47,5.2781435695289643e-49,7.685622858959883e-62,4.6121456494685366e-67,4.4957805520223952e-68,1.0287270774564976e-45,5.940214591365119e-52,4.4055906398682084e-52,8.9141410484383517e-54,1.9829884357675918e-65,8.1483692407565198e-34,2.5878223455755286e-69,4.1185884180721426e-56,1.0963026687204963e-62,1.5496116806405778e-68,3.0059272398253685e-69,2.8645790594283928e-76,5.3849934837399366e-78,9.3151016526317907e-87,4.2431360799002575e-94,5.6254601168628956e-38,7.4707754360781333e-44,3.4710545171789399e-47,2.5347678071581929e-88,3.2945137620197647e-95,1.7501341725788301e-95,4.8962065708973278e-57
5.756491045259476e-16,0.0026018122105032214,9.376989042505112e-32,4.8874089012715061e-27,1.155114344408298e-21,9.3769901383733313e-32,2.4307224831697952e-20,1.0934674916765668e-32,1.8011371834140745e-57,1.0065933042222072e-45,1.2775448983056831e-48,6.2276095191278337e-45,1.1182266062836477e-38,2.0136871762804507e-25,1.4954849458575817e-38,3.8562750325257525e-56,2.1855622291749214e-51,3.2448950057711814e-40,2.6966812613382828e-52,1.0207245671192039e-76,1.6924531907858106e-48,1.657107132105872e-66,1.6982853895776621e-39,2.840808204013493e-58,5.0992754298231467e-30,1.4203501388526829e-45,1.2759547323337966e-48,1.0762690361532366e-39,5.7648400694672711e-73,4.6366917045587097e-79,4.5301785299303156e-47,1.0647664989496228e-59,2.912151782498891e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996146116,0.108803,0.0001,2.5638479420366872e-14,1.7719151298321448e-13,1.7719153996102972e-13,1.1429831232531379e-19,2.5688128515087938e-19,5.3635982252168485e-15,1.8963724880688493e-19,4.3825571657549401e-27,2.8889294471569518e-27,1.8141869832648891e-31,7.1264536825486519e-24,1.28835522377274e-18,1.7462998335748728e-22,5.1209296877896348e-32,2.114109217034085e-35,1.2255650535197525e-37,6.382605533462685e-41,1.1978780030758857e-18,4.8622969508471442e-48,1.2826872126981033e-54,1.0259538518632762e-56,9.400303643006658e-64,2.12455977345655e-61,1.0192657512901307e-23,5.0992705495092463e-30,4.3646088589359732e-36,5.1740277729576822e-37,5.3635138156317998e-21,5.5109887106230112e-43,5.8175711727860304e-52,1.7768407058621138e-30,1.4345369088723657e-57,1.8113917956943344e-23,3.199465174074635e-28,1.2762226264714553e-34,1.0590955959457729e-40,7.1728432127889368e-41,6.6113373156202808e-42,4.3832237733511619e-48,3.5859271710860685e-33,4.4579325054666194e-39,1.2330656340687801e-46,7.076295139301762e-41,6.5596640349509981e-47,4.0941734964625533e-38,4.3279904393570609e-40,1.7661026969352054e-30,9.0017764011042235e-37,1.1407095855050562e-48,7.6025262408592842e-56,9.6821033156335137e-37,2.0885900649650442e-37,2.6280289001533528e-39,2.9010269164274352e-45,3.8699218404440496e-47,2.1779806936050449e-45,1.6369219007957414e-47,4.9047365162634846e-60,5.8507908054275405e-65,2.8689973958996771e-66,8.2437044863443389e-45,9.4780874801604829e-51,7.0610401996839935e-51,1.3487822918191456e-52,4.1401710027655815e-64,3.2678605422289455e-33,1.6649928250177137e-67,1.3222719226623585e-54,7.0397285898755283e-61,1.9901700307759109e-66,3.8604938077480733e-67,7.3543577496673369e-74,1.3832109774724242e-75,4.7854605220932328e-84,4.3596780388722338e-91,8.7309073114597648e-37,2.2982997300681127e-42,5.389103549227197e-46,1.3021898659649886e-85,3.3850014066983759e-92,1.7982039865544776e-92,1.5763765126166305e-55
