Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725)
0.0,0.0025620090839751975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.544290490554881e-20,0.0025620090839751975,4.8701568487737896e-36,1.0897358794864766e-31,8.8981037041086485e-23,4.6973870429480049e-36,2.3690915767686161e-22,6.4458585612964723e-38,5.1012063198438878e-59,3.1301428544256248e-48,5.9965352920546719e-52,1.0486950370998872e-51,2.8166109964450678e-38,2.1850006211583253e-27,1.5193890146021789e-43,4.1555326708924145e-63,1.2291655311341899e-58,7.6738836405360534e-45,3.2910895726594054e-60,4.7747584271507462e-87,2.362843522785448e-58,4.5018450895827161e-75,9.068239027056291e-46,5.4861353771108812e-69,1.7155887769181582e-38,3.0077613272280273e-56,5.5417800492623129e-52,1.4871256927567307e-47,3.6147775700521402e-77,9.3198560787791662e-91,5.4463934181612646e-57,1.0147899381400056e-72,1.4725330840809801e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992536,0.108803,0.0001,3.3423433253809955e-17,3.080756691681947e-16,3.0807539444881895e-16,8.7883156460060478e-26,8.7933736411770338e-26,9.5193515033076909e-17,5.5986822746453169e-26,1.8545006127334141e-36,2.3548887538881695e-36,4.4486161993440648e-41,7.3876538376404204e-30,4.5242914090551875e-24,1.7421267552714806e-28,2.7493499102459056e-41,4.9933418579131282e-44,1.6681172656904194e-45,5.8860137990140354e-52,6.0991668603389961e-24,1.7050041010612853e-62,1.0839802363452518e-72,5.9791990265492004e-74,1.2529597770458823e-84,7.7957601141066091e-79,5.1850756751320705e-29,1.7155888672480474e-38,3.1177514102447213e-48,4.0725360740755346e-49,5.1112704377054562e-23,1.848515081595146e-54,2.0401872372616879e-62,2.0612244332643826e-38,1.1419352027855497e-75,3.0726520239954009e-29,3.2339207457600687e-34,7.8230295762636052e-44,1.4216848014256557e-53,1.1164605480812798e-53,9.2853169159934054e-55,8.1861238967505268e-64,1.3685742673185908e-37,3.9063116066600017e-47,1.4532495783242928e-57
1.8324013373553667e-19,0.0025620090839751975,2.8855972716689903e-35,6.5820037933030333e-31,2.4914690343321953e-22,2.8372217712545388e-35,6.6334568922248977e-22,3.8932988373738673e-37,3.0811286170220522e-58,1.8899949905410221e-47,3.6219073167246911e-51,1.2447135402710712e-50,7.8865107890309912e-38,6.1180017397867068e-27,9.1771096488782666e-43,4.9334483872713541e-62,1.4592653186224435e-57,4.6350257192265579e-44,3.9071815637304186e-59,1.9703172641910804e-85,5.2855859382384681e-57,1.4150089614209356e-73,1.0765812288739969e-44,1.7252892813509318e-67,2.0367469948381015e-37,6.7282417746190256e-55,3.3472351494105862e-51,1.7107323412207292e-46,4.2914639305201654e-76,5.3661087351200615e-89,1.2183363048600187e-55,4.1875587030674167e-71,1.6748991767052968e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979143,0.108803,0.0001,9.3585613110649261e-17,8.6261187320492797e-16,8.6261110417144581e-16,5.3051913091797975e-25,5.3111976727777381e-25,2.6654180697790948e-16,3.381603909635431e-25,2.1989104224908452e-35,2.785352163321696e-35,5.281398675241318e-40,4.4621429131739842e-29,2.732671710665973e-23,1.0522445597095096e-27,3.2639889932042201e-40,5.9280954464179223e-43,1.9803881980482216e-44,1.3166773491061242e-50,3.6838963786730263e-23,7.0357451100901905e-61,8.159930306177842e-71,4.5009904902353974e-72,1.7102834321350113e-82,5.8684522879013108e-77,3.1317857059006599e-28,2.0367471017076943e-37,6.9742827369907516e-47,9.1100996344364964e-48,1.4311547247315877e-22,4.1350543069986736e-53,4.5627764753362296e-61,2.4470854007095346e-37,8.5962007046254029e-74,1.8558807226836713e-28,1.9552643833923997e-33,9.2961059036033729e-43,3.1830663201350232e-52,2.499687609323758e-52,2.0789267036199609e-53,3.3724000399273641e-62,8.2661885691621959e-37,4.6375731334307598e-46,3.2460779735937837e-56
4.188345913955124e-19,0.0025620090839751975,1.3770573847660097e-34,3.1689512894193333e-30,5.6947863509019454e-22,1.3660001480601936e-34,1.5162189432228545e-21,1.8744560682195572e-36,1.4834307975570449e-57,9.0932909283490326e-47,1.743792463411844e-50,1.2214307067530967e-49,1.8026310370142038e-37,1.3984003979217042e-26,4.4183832554856561e-42,4.8436888823867705e-61,1.4327153432757958e-56,2.2315653631820413e-43,3.8360940748690209e-58,7.7943776578874381e-84,1.0443424917746692e-55,3.1547145734121814e-72,1.0569936048975614e-43,3.85299868996142e-66,1.999690274906463e-36,1.3293871924664696e-53,1.6115496378093107e-50,1.6512187795563401e-45,4.2133847336298018e-75,2.4048160925358018e-87,2.4072267243456144e-54,1.6565562374932609e-69,1.5162796102188753e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999952325,0.108803,0.0001,2.139099728242534e-16,1.9716842794166821e-15,1.9716825224757095e-15,2.551220067774836e-24,2.5571130451149333e-24,6.0923825040880886e-16,1.6280965290945518e-24,2.1530948913752835e-34,2.7129546269212426e-34,5.1853092361797056e-39,2.1483297288449592e-28,1.3156634911483069e-22,5.0661045972173185e-27,3.2045206757019803e-39,5.8202392469651546e-42,1.9443555635740318e-43,2.6015308603953209e-49,1.7736371155291224e-22,2.7832690024510012e-59,6.4518073935141735e-69,3.5587955591959653e-70,2.7018269274191899e-80,4.6400063426949512e-75,1.5078200035097232e-27,1.9996903790478229e-36,1.3779996793767486e-45,1.8000018832706359e-46,3.2712060953585856e-22,8.1701705339350346e-52,9.0107287543403847e-60,2.4025624353811103e-36,6.7967530622487039e-72,8.9352555886544965e-28,9.4338852880116314e-33,9.1451993346883003e-42,6.3013720789421309e-51,4.9485179667480135e-51,4.1155585951168964e-52,1.3292072242354038e-60,3.9798139612030917e-36,4.5531967901406424e-45,6.3931153699072367e-55
8.900235067154638e-19,0.0025620090839751975,5.9891780500142238e-34,1.3839642379135125e-29,1.2101420938949783e-21,5.9656815029100604e-34,3.2219662148600155e-21,8.1862444873091859e-36,6.4785320235439598e-57,3.9658215696279441e-46,7.6155998258789338e-50,1.0792093504358125e-48,3.830590951612094e-37,2.9716008466771984e-26,1.9296240496031572e-41,4.2841879648840743e-60,1.2672204963682414e-55,9.7458322287936686e-43,3.3929818486271532e-57,2.7817569484842019e-82,1.858350879006158e-54,5.9005713403319186e-71,9.3489846493184179e-43,7.2320341253814797e-65,1.768703398165906e-35,2.3655734744372894e-52,7.0380606572294108e-50,1.4482530055090844e-44,3.7266910793516134e-74,9.0356725842001159e-86,4.283529526353589e-53,5.9121290981619263e-68,1.1492049613358473e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999898704,0.108803,0.0001,4.5455869225116366e-16,4.1898290844121115e-15,4.1898253545202769e-15,1.1115566333736634e-23,1.1167584423663881e-23,1.2946305754360052e-15,7.1103236330177641e-24,1.8941360032894475e-33,2.3618196404097982e-33,4.5863476294562668e-38,9.3823203000315399e-28,5.7458454332510614e-22,2.2125009718554561e-26,2.8342144789998638e-38,5.1479356743439592e-41,1.7197581414818179e-42,4.6292790807728961e-48,7.7459356355728741e-22,9.9332765152645397e-58,4.6114762223122051e-67,2.5436749915363587e-68,3.8648703854444018e-78,3.3164790442250029e-73,6.5850460782912633e-27,1.7687034888833778e-35,2.4520730037912875e-44,3.2030061543977632e-45,6.9512928715016163e-22,1.4538382074705145e-50,1.6017843022556326e-58,2.1250383372520321e-35,4.8580286518677885e-70,3.9022510234854145e-27,4.1377111595208035e-32,8.1212501712612101e-41,1.1256462064593015e-49,8.8397888830249245e-50,7.3518379886838541e-51,4.7094638187505548e-59,1.7380893110710232e-35,4.0272509750017078e-44,1.1303298638615959e-53
1.832401337355367e-18,0.0025620090839751975,2.4953920693405234e-33,5.7777781318596198e-29,2.4914689934678625e-21,2.4905545727004955e-33,6.6334638126800557e-21,3.4175979103527061e-35,2.7046595883730805e-56,1.6511060286161422e-45,3.1793630163136245e-49,9.0524084412584363e-48,7.8865107743105968e-37,6.1180017476659013e-26,8.0558005649784286e-41,3.6011181286032627e-59,1.0651751833402042e-54,4.0686931109937785e-42,2.85200582368434e-56,9.398920763030101e-81,3.1343777268130111e-53,1.0164683935716801e-69,7.8583780437766183e-42,1.2546707733721677e-63,1.4867017714385982e-34,3.9898854051327322e-51,2.9382517773250062e-49,1.2122966332181004e-43,3.1325083980015732e-73,3.1205834850085952e-84,7.2247925250020606e-52,1.9975731473516953e-66,7.9908586625640682e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999791464,0.108803,0.0001,9.3585613110379241e-16,8.6261186648396034e-15,8.6261110003535736e-15,4.6187100217006769e-23,4.66224661400013e-23,2.6654129781556711e-15,2.9684187719280169e-23,1.5751556793100035e-32,1.9245526361715991e-32,3.855101752395923e-37,3.9169339983570363e-27,2.3987751144606004e-21,9.2367559905722753e-26,2.3820794940354411e-37,4.3271500744715701e-40,1.4455564123974931e-41,7.8079352605165891e-47,3.233772620004789e-21,3.3562209408115978e-56,3.1187355829238651e-65,1.7202842084235841e-66,5.229717853834457e-76,2.2429316847485143e-71,2.7491270967411716e-26,1.4867018453463761e-34,4.135766701327176e-43,5.4023345877225518e-44,1.4311402563898937e-21,2.4521106815881582e-49,2.6961679049111277e-57,1.7862212033183099e-34,3.2854786897521243e-68,1.6291047609036397e-26,1.7421932805226369e-31,6.8809473568616205e-40,1.9132493578642576e-48,1.5024895666861926e-48,1.2495864125359748e-49,1.5687280275336577e-57,7.2561806896497237e-35,3.3851470666677531e-43,1.8823215785587647e-52
3.717156998635173e-18,0.0025620090839751975,1.018454105333202e-32,2.3604108369265971e-28,5.0541227204667615e-21,1.0174727913256228e-32,1.3456471226502931e-20,1.3962018806844323e-34,1.1049416916578909e-55,6.7083899123477098e-45,1.2988735341790141e-48,7.39074161612059e-47,1.5998350393718492e-36,1.2410803563554151e-25,3.2910573893355475e-40,2.9524142162052022e-58,8.7329497109919267e-54,1.6621938961230485e-41,2.3382469104947767e-55,3.0901547383160381e-79,5.1482161128633828e-52,1.6799320544827972e-68,6.4427618331245335e-41,2.1030895631209226e-62,1.2188879233291228e-33,6.5533986965363122e-50,1.2003717217557714e-48,9.9186540314342965e-43,2.5682196360178341e-72,1.0328259878641156e-82,1.1866723327797608e-50,6.5675725881920028e-65,5.3283308056002354e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999576965,0.108803,0.0001,1.8984510088042822e-15,1.749869770861323e-14,1.7498682218996814e-14,1.8692950077225395e-22,1.904679827532352e-22,5.4069687942855734e-15,1.2126947995935458e-22,1.2644078960116445e-31,1.4866837676502525e-31,3.1606455667135412e-36,1.6001953157230862e-26,9.7997606831453804e-21,3.7735161815078031e-25,1.9525652115820977e-36,3.5476589907636192e-39,1.185148041028712e-40,1.28244896369852e-45,1.3210991555114839e-20,1.1034463009694143e-54,2.0515978848117163e-63,1.1316545962361176e-64,6.8819794266994425e-74,1.4754691963877781e-69,1.123108109341899e-25,1.2188879800764359e-33,6.7929671027691053e-42,8.8733394390223246e-43,2.9031366513579297e-21,4.0275993128674482e-48,4.4105795122299099e-56,1.4644494993791895e-33,2.161286516417459e-66,6.6553572938079129e-26,7.2382127995731948e-31,5.7308678638530624e-39,3.1907522751541224e-47,2.5057214557708414e-47,2.0839591883233109e-48,5.0188393047985467e-56,2.9643865421447135e-34,2.7753480252853952e-42,3.0152924714390702e-51
7.486668321194784e-18,0.0025620090839751975,4.1147640283808595e-32,9.5411576606146308e-28,1.0179429885875986e-20,4.112787569714087e-32,2.7102534926879224e-20,5.6436843389122276e-34,4.4663509740730436e-55,2.6821702476603017e-44,5.2502545129609936e-48,5.9356414654395547e-46,3.2222029528577844e-36,2.4996407250974053e-25,1.3302980197478116e-39,2.3909415852449856e-57,7.0721691030626557e-53,6.7188535070051753e-41,1.8935733361686079e-54,1.0022811863898619e-77,8.3454519144167051e-51,2.7099093185187285e-67,5.2174973179278557e-40,3.4891424217255864e-61,9.8708702327205017e-33,1.0623341490425621e-48,4.8520944061819137e-48,8.02413006909851e-42,2.07981083574238e-71,3.3347239238225494e-81,1.9236404754687171e-49,2.1301693703828414e-63,3.4804166505316907e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999147985,0.108803,0.0001,3.823640764186192e-15,3.5243855336910593e-14,3.5243824364189901e-14,7.4173668189960753e-22,7.6990200747549366e-22,1.0890044469543459e-14,4.9018971730798396e-22,9.8277387414145391e-31,1.0786413403381298e-30,2.55957305495889e-35,6.4682450815250015e-26,3.9612051091247792e-20,1.5253155511613611e-24,1.5805783441494469e-35,2.8729861076992314e-38,9.5975317568827927e-40,2.0788831590428206e-44,5.3400740014745663e-20,3.5789645574221697e-53,1.3311330159317005e-61,7.3424856714303059e-63,8.931390434535881e-72,9.5732673455874184e-68,4.5397824546435826e-25,9.8708706299705842e-33,1.1011555836407137e-40,1.4384028831832631e-41,5.8470272708007271e-21,6.5289125501335787e-47,7.0924256527754947e-55,1.1859450233218471e-32,1.4023020244330002e-64,2.690147486148364e-25,3.02344867777337e-30,4.7858851666291128e-38,5.3287235303338256e-46,4.1846826048669859e-46,3.4803435647324923e-47,1.5480732588524008e-54,1.1982524104627177e-33,2.2475486869466772e-41,4.6573951372748923e-50
1.5025690966314008e-17,0.0025620090839751975,1.654130393246053e-31,3.8364572784014189e-27,2.0430043062331349e-20,1.6537336863455866e-31,5.4394857818549045e-20,2.2693111888194671e-33,1.7959000760452094e-54,1.0553821025767601e-43,2.1111042609084871e-47,4.699568006718494e-45,6.4669387382470768e-36,5.0167614848387325e-25,5.3490698580033375e-39,1.9244378054220664e-56,5.6922969751948001e-52,2.7016214581961596e-40,1.5241131455164748e-53,3.2289624044155023e-76,1.3440002021293306e-49,4.2857588887760452e-66,4.1994663681286067e-39,5.8334312920767433e-60,7.9449348062586713e-32,1.7108563321121344e-47,1.9510058097747527e-47,6.4552048087582235e-41,1.6740126821958029e-70,1.0554618893467243e-79,3.0979427049050482e-48,6.8625789139621013e-62,2.2502404195879705e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998290009,0.108803,0.0001,7.6740202748737301e-15,7.073416882458945e-14,7.0734107486202672e-14,2.8765617122341792e-21,3.0957418534319811e-21,2.1856051993937918e-14,1.9710239784777776e-21,7.3193675280337284e-30,7.1752260109040893e-30,2.06016758362417e-34,2.6008527119543127e-25,1.5927712152133352e-19,6.1332265680002744e-24,1.2711264465951762e-34,2.3124289676465556e-37,7.7247605501557466e-39,3.3479067816870741e-43,2.1472041770997791e-19,1.1529872216740668e-51,8.5775929496359969e-60,4.731371962374318e-61,1.1511091224694836e-69,6.168872865388172e-66,1.8254264836508547e-24,7.9449350257069755e-32,1.7733331351275101e-39,2.3164916542933948e-40,1.1734399856130742e-20,1.0514614006761338e-45,1.1241736831698688e-53,9.5454504961867366e-32,9.0361940172303918e-63,1.0816527731435494e-24,1.2942388141047633e-29,4.0853089485334029e-37,9.0853887432313742e-45,7.1348050838582479e-45,5.9340070149339979e-46,4.5751004628923413e-53,4.8181200339062173e-33,1.8090225569852124e-40,6.8528461031849071e-49
3.0103736256552455e-17,0.0025620090839751975,6.6330060396366664e-31,1.538590759042806e-26,4.093126479771948e-20,6.6322108765558177e-31,1.0898028556551941e-19,9.1010373656010898e-33,7.2023624855027011e-54,4.0562162210841648e-43,8.4664724026078707e-47,3.6516437868630518e-44,1.2956410142695359e-35,1.0051003093350736e-24,2.145216281265381e-38,1.5442401587132339e-55,4.5677098603212937e-51,1.0834710486346701e-39,1.2230057567028377e-52,1.0367393017257097e-74,2.1573887575880689e-48,6.6114123179618561e-65,3.3697601283838646e-38,1.0032056345296041e-58,6.3753093406875745e-31,2.7463031019429866e-46,7.8244058931229235e-47,5.1785672793772291e-40,1.3432897231530243e-69,3.259075341565922e-78,4.9728167838345196e-47,2.2034009740095378e-60,1.4474868740843753e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996574055,0.108803,0.0001,1.537477929594368e-14,1.4171478920510113e-13,1.4171466905673596e-13,1.076627559884371e-20,1.2415307379728562e-20,4.3787491753332156e-14,7.9046290734525307e-21,5.1056273709263532e-29,4.2605037174638473e-29,1.6531555541156931e-33,1.0430581151121165e-24,6.3876292124987087e-19,2.4596980345481034e-23,1.0183010300645785e-33,1.8555783028997245e-36,6.1983642947107084e-38,5.3739056500139796e-42,8.6111200377371326e-19,3.7018468012521916e-50,5.5082417173432517e-58,3.0383280459814283e-59,1.4784473839193359e-67,3.9614728805561117e-64,7.3207760424463363e-24,6.3753093558338593e-31,2.846451212924468e-38,3.7184441016349644e-39,2.3507510639877068e-20,1.6878289317307529e-44,1.7492025874334546e-52,7.6595156675899965e-31,5.8027401279816423e-61,4.3375609317852524e-24,5.8202344893779735e-29,3.6524388215977267e-36,1.6200743683702963e-43,1.2722488853627473e-43,1.0581584419758655e-44,1.2872981966018419e-51,1.9322814689776231e-32,1.4516264244006189e-39,9.3752421231046129e-48
