Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018)
0.0,0.002021359855112094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.096043909306783e-20,0.002021359855112094,3.6490548680920466e-36,9.3117289519503087e-32,4.681968363507793e-23,3.577578069393471e-36,2.1442148432006889e-22,8.4804535058763195e-38,1.6261356603306776e-59,1.7244627800585672e-48,4.1089660993177308e-52,1.082373825214047e-51,8.8108245613898786e-39,1.9495688515056207e-27,1.8569718475693774e-43,4.9239896067645262e-63,1.2676939643108496e-58,8.2693688129797952e-45,5.3951339547316467e-60,2.226949796689055e-87,1.8635242773435989e-58,3.5223961528544695e-75,4.1856061137568654e-46,1.057773934482982e-68,2.1296173192461181e-38,3.981205266722297e-56,3.0548068286481475e-52,1.8455787094909731e-47,1.4065939209522642e-77,1.0625671716003733e-90,4.4001803228542018e-57,1.1892601793962248e-72,3.0947264885939334e-92,0.88129999999999997,0.0,0.0,0.0,0.009889999999999179,0.108803,0.0001,3.2294762417283086e-17,3.6232793758720161e-16,3.6232772320687038e-16,1.7856839935127104e-25,1.7869374108860561e-25,6.2402992296676455e-17,1.1632809096401282e-25,4.4871714976100691e-36,5.8243361884688399e-36,1.3113893425230978e-40,1.2715069832780161e-29,4.0314020172380394e-24,3.0044659444342843e-28,7.2850742129696056e-41,8.3039465970439837e-44,2.1361474460110517e-45,8.8325020613679745e-52,5.1389040060753593e-24,3.273662081574833e-62,3.6337254958863687e-72,1.1805116999758658e-73,4.3580421238440733e-84,2.0859308490951266e-78,5.5471434012698416e-29,2.1296173603304905e-38,6.8372924444432483e-48,8.7958763211714864e-49,4.6742675922382583e-23,3.2015012829480606e-54,3.7095830924045494e-62,1.6780554494633748e-38,3.8616321410389434e-75,3.8792762483865929e-29,2.6264614747619147e-34,7.5432410118553621e-44,2.421813369730709e-53,1.8600971814995932e-53,1.55777800084452e-54,1.5959588556177658e-63,1.0823978671945548e-37,5.3381983199660762e-47,2.4173174422554588e-57,4.8791336325510078e-48,1.3400202373415647e-57,5.3128238072146819e-46,2.1057107163495958e-51,1.1511130865076797e-39,2.8383978255317976e-49,2.4252284269717715e-63,1.2198520609878455e-73,2.838477060475174e-49,9.8689457695067367e-50,4.6963520354224296e-48,2.3161336587573153e-57,2.116788229961417e-58,1.5077975913333795e-57,4.9326234829386109e-59,1.0445604882735582e-77,3.8621226584279922e-85,1.5046525084188955e-82,2.3409470212546361e-51,1.1545080355929908e-60,7.5157840160064325e-61,1.0551762152460386e-61,3.0242166542477319e-77,1.2718755231011251e-38,1.1459083358056171e-84,5.446970853560726e-68,1.6095870638942234e-77
2.5468922946058994e-19,0.002021359855112094,2.1808705986719229e-35,5.6242839928290684e-31,1.3109511393582494e-22,2.1608571505695029e-35,6.0038023836918842e-22,5.1221945644048616e-37,9.8218593866228791e-59,1.0409448428183055e-47,2.4818438574504902e-51,1.284436890628627e-50,2.4670308766318288e-38,5.4587927847921975e-27,1.1216109960308269e-42,5.8458215773885223e-62,1.5050062744813926e-57,4.9946987634798918e-44,6.4051030824718821e-59,9.1895696279132915e-86,4.1686287390037663e-57,1.1068482529902577e-73,4.9691509188490239e-45,3.3249319914887407e-67,2.5282816794352972e-37,8.9057969262176938e-55,1.845103324178328e-51,2.160880942450601e-46,1.6699083023786521e-76,6.1163167663735883e-89,9.8430261272371035e-56,4.9075148267334816e-71,3.5200277773943006e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977062,0.108803,0.0001,9.0425334768372207e-17,1.0145182242891958e-15,1.0145176243998543e-15,1.0778224444704721e-24,1.0793101945388025e-24,1.7472834810155233e-16,7.0262162176474522e-25,5.3199959856027619e-35,6.8867426440849972e-35,1.5568817154398749e-39,7.6799021705508386e-29,2.4349664657297349e-23,1.8146974290127178e-27,8.6487048002088821e-40,9.8584453869998841e-43,2.5360333179646396e-44,1.9757946889383592e-50,3.103897570099101e-23,1.3508853623000053e-60,2.7353769318554152e-70,8.8865944228863073e-72,5.9487040297480766e-82,1.5702362861658191e-76,3.3504746115108723e-28,2.5282817274005702e-37,1.5294742795855463e-46,1.9676021715132283e-47,1.3087936665869631e-22,7.161630335761631e-53,8.2947508762215146e-61,1.9921871652571899e-37,2.9069393087065822e-73,2.3430809432884211e-28,1.5892926409382752e-33,8.9703788833480882e-43,5.4261918496791528e-52,4.1676390532693908e-52,3.4902789474588823e-53,6.580863010028029e-62,6.5376831101094005e-37,6.337509035304179e-46,5.3987243785540324e-56,5.7925063798679018e-47,2.9928639497350428e-56,6.3073587324366735e-45,4.5823477403390739e-50,1.3666013706434499e-38,6.349104088859914e-48,9.7423234789771956e-62,8.9423853143878129e-72,6.3494310336449785e-48,2.2076435604954758e-48,5.5848748635537916e-47,5.1893640120847505e-56,4.7424084716053509e-57,3.3782927010282227e-56,1.1051787580041322e-57,7.657591938815413e-76,5.271740721192425e-83,1.1030207444291392e-80,2.7791702357210766e-50,2.5825743950871198e-59,1.6812492885062316e-59,2.3602821698554647e-60,1.2474483824677917e-75,7.6821281602058089e-38,1.225769366978171e-82,2.247707575249827e-66,1.2116568605618942e-75
5.821468101956342e-19,0.002021359855112094,1.044934174811667e-34,2.7078505663803628e-30,2.9964597356774575e-22,1.0403596975635575e-34,1.3722980755594092e-21,2.4661168480451091e-36,4.7288024975537522e-58,5.0052867606066064e-47,1.19492999636137e-50,1.2598719926284973e-49,5.6389277153990836e-38,1.2477240653671192e-26,5.4000741342163063e-42,5.7395924124443922e-61,1.4776240849605277e-56,2.4047324514746496e-43,6.2885682913572476e-58,3.6353014231134531e-84,8.2365056291734304e-56,2.4662533017239865e-72,4.878740442045875e-44,7.4162994868880725e-66,2.48228194119479e-36,1.7596353940730434e-53,8.8833782528398597e-51,2.1059213836109321e-45,1.6395258724684079e-75,2.7394582195716818e-87,1.944815554006977e-54,1.9413635346476024e-69,3.1866676889356058e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999947572,0.108803,0.0001,2.0668647947046867e-16,2.3188987938791396e-15,2.3188974244682903e-15,5.1818234853500767e-24,5.196413966312159e-24,3.9937893839480264e-16,3.3828201703763347e-24,5.2080704086617587e-34,6.7030553149484871e-34,1.5285558402135355e-38,3.6975422947033771e-28,1.1723311775899132e-22,8.7369869450485071e-27,8.4910630695666162e-39,9.6790801131893558e-42,2.4898905802601775e-43,3.9038343623560995e-49,1.4943926106112838e-22,5.3439641136574041e-59,2.162778664457669e-68,7.0263577216784039e-70,9.3974873781338475e-80,1.2415379028448014e-74,1.6131092968050787e-27,2.4822819865714481e-36,3.0219804497171569e-45,3.8876495517653878e-46,2.9915224443693407e-22,1.415017480702847e-51,1.6373974631934433e-59,1.955940612422979e-36,2.298427776688502e-71,1.1280906669297829e-27,7.6813985505112033e-33,8.8390354277646658e-42,1.0758827189532476e-50,8.263420791603729e-51,6.9203831741352767e-52,2.5990656611363201e-60,3.1476129861894732e-36,6.2222039302729693e-45,1.0629462335933935e-54,5.687114849153282e-46,5.8931383436360265e-55,6.1925477866550827e-44,8.9099498765029614e-49,1.3417371480962312e-37,1.2543556466795724e-46,3.791719359591331e-60,6.9551914261932669e-70,1.2544849649261063e-46,4.3619310834470221e-47,5.5031016408599798e-46,1.0289049790054639e-54,9.4014901768815849e-56,6.6983298666044316e-55,2.1913034092218466e-56,5.9560115944372722e-74,8.3279253021055597e-81,8.5791087564276208e-79,2.7286014374558721e-49,5.102671697725447e-58,3.3218586515491981e-58,4.6630666438968366e-59,4.9303174150946026e-74,3.6986140221905913e-37,1.139903154784126e-80,8.8917059014631456e-65,9.5802045990285641e-74
1.2370619716657227e-18,0.002021359855112094,4.5532447616240939e-34,1.1825894635317477e-29,6.3674768895329184e-22,4.5435240963004586e-34,2.9161350663077708e-21,1.0770185952518451e-35,2.0651922858323349e-57,2.1803205050784907e-46,5.218830903890185e-50,1.1122167117212812e-48,1.1982721384147259e-37,2.6514136400652528e-26,2.3583542479486295e-41,5.076838390433689e-60,1.306941769781486e-55,1.0502098399305542e-42,5.5621676202022191e-57,1.2974125863972946e-82,1.4656413522859788e-54,4.6075244325874539e-71,4.3151881863280028e-43,1.3885574642506798e-64,2.1955502586011286e-35,3.1311771561273067e-52,3.8796046673816114e-50,1.8559231493787109e-44,1.450142064971468e-74,1.0281280272637759e-85,3.4606934382655712e-53,6.9285847817304456e-68,2.4152105033384315e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999888574,0.108803,0.0001,4.392087688743346e-16,4.9276599178492608e-15,4.927657015335033e-15,2.2565386088331653e-23,2.269410486464988e-23,8.486796337158213e-16,1.4773660165801551e-23,4.5797846954436862e-33,5.8274787832003573e-33,1.3519904097083763e-37,1.6148138556810662e-27,5.1198750953254017e-22,3.8156717273887933e-26,7.5097393589350872e-38,8.5610366990503994e-41,2.2022765170492624e-42,6.946653966017671e-48,6.5264011193802689e-22,1.9072199409321665e-57,1.5458614269356201e-66,5.0221391411287694e-68,1.3442779147166223e-77,8.8739835679189391e-73,7.0448720753426182e-27,2.1955502956837798e-35,5.3774420629867054e-44,6.9178619088356234e-45,6.3569598522793178e-22,2.5179480387662005e-50,2.9082808218706488e-58,1.7300063252895052e-35,1.6428175964864783e-69,4.9266512191683038e-27,3.3807094612047725e-32,7.8747102249280075e-41,1.9279134080637136e-49,1.4807523316683382e-49,1.2400898954102412e-50,9.245839752829004e-59,1.3746452793506321e-35,5.5034688739083802e-44,1.8781853304088779e-53,5.0301846526715856e-45,1.0414834820097303e-53,5.4771415843511456e-43,1.5727291685821534e-47,1.18675099005515e-36,2.2316287802947286e-45,1.3421057361353449e-58,4.9298619214818998e-68,2.2320901800668099e-45,7.761821259829479e-46,4.9027216903352042e-45,1.8436584879594639e-53,1.6841260498627735e-54,1.2002951639880455e-53,3.9266799518868053e-55,4.2217170339781213e-72,1.1912444554705831e-78,6.0809778800376692e-77,2.4134092789857326e-48,9.0797167711076711e-57,5.9110462890291212e-57,8.2960582173620168e-58,1.7563973233187172e-72,1.6152819153846995e-36,8.7467905313080002e-79,3.1733854317138528e-63,6.8475269943782627e-72
2.5468922946058998e-18,0.002021359855112094,1.8988331256028686e-33,4.9370781267836883e-29,1.3109511042111844e-21,1.8968318457522294e-33,6.0038143132761388e-21,4.4963454453722415e-35,8.6217712459777562e-57,9.055713382964722e-46,2.1789791347188054e-49,9.3132627009195562e-48,2.4670308687197265e-37,5.4587927931508625e-26,9.8456647496591461e-41,4.2677902278817873e-59,1.0985633069771692e-54,4.3844193507809326e-42,4.6753373367622416e-56,4.3836593724840825e-81,2.4720156062813481e-53,7.9188401378278814e-70,3.6271715002887253e-42,2.3970123968220479e-63,1.8454922716700661e-34,5.2811879004637075e-51,1.6196585761131319e-49,1.5572337525440891e-43,1.2189317795467499e-73,3.5426857658205236e-84,5.8369587993310833e-52,2.3410096508345813e-66,1.6793876243631665e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999770595,0.108803,0.0001,9.0425334768075805e-16,1.0145182105318034e-14,1.0145176159988e-14,9.3667181586832888e-23,9.4743419243165475e-23,1.7472790833001249e-15,6.1677087353497095e-23,3.8054251338163569e-32,4.7361319623765737e-32,1.1364294738932931e-36,6.741529907778374e-27,2.1374444296350589e-21,1.5929678239645961e-25,6.3115310262169444e-37,7.1960671044649048e-40,1.8511402149084262e-41,1.1716511145734882e-46,2.7246406325264857e-21,6.4440455746327472e-56,1.0454636817517961e-64,3.3964649065534782e-66,1.8189979011274625e-75,6.0014655474437997e-71,2.9410953915101508e-26,1.8454922977051733e-34,9.0698059686200164e-43,1.1667975957143563e-43,1.3087754078446589e-21,4.2468875195870775e-49,4.8871683027031681e-57,1.4541728814364565e-34,1.1110349915484078e-67,2.0567656124106843e-26,1.4331426598744467e-31,6.7145247073759121e-40,3.2970559257521854e-48,2.5323349255651406e-48,2.1207663786826595e-49,3.1042519199604137e-57,5.7388733842181496e-35,4.6259971333133763e-43,3.1239641153619952e-52,4.2281665177579157e-44,1.7329025044716664e-52,4.6037046794555959e-42,2.6419094403336183e-46,9.9753517135368273e-36,3.7625175486197374e-44,4.5158270528523147e-57,3.3199420216698984e-66,3.7640756504578842e-44,1.3091439141914467e-44,4.1804009178556059e-44,3.1527134410326879e-52,2.87822076024087e-53,2.0526963637858573e-52,6.7152949860717693e-54,2.8431335058616561e-70,1.6118237216785819e-76,4.0952491929202585e-75,2.0286028096197685e-47,1.5313544327980659e-55,9.9697635782491496e-56,1.3987051656014494e-56,5.9129521301873255e-71,6.7434840328986008e-36,6.1175476025158398e-77,1.072214372964751e-61,4.6309822125672228e-70
5.166552940486253e-18,0.002021359855112094,7.7532364672640154e-33,2.0169574495685878e-28,2.6593578726740214e-21,7.7491768066460187e-33,1.2179193869099159e-20,1.836907766828588e-34,3.522274864514006e-56,3.6618310142710028e-45,8.9037138568405881e-49,7.5778065328594351e-47,5.004548316110365e-37,1.1073551114079449e-25,4.0222753124774716e-40,3.4996777782064069e-58,9.0066857199510775e-54,1.7911783675643838e-41,3.833124522753081e-55,1.4412483159732033e-79,4.0602839989999999e-52,1.3027431705840553e-68,2.9737674857390201e-41,3.9785827802872394e-62,1.5130460437443647e-33,8.6743668674084575e-50,6.6168337469464149e-49,1.2755853325029732e-42,9.9935391161598544e-73,1.1672270398186226e-82,9.5872009687964557e-51,7.6967107608914203e-65,1.1198211826691832e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999534621,0.108803,0.0001,1.8343425052883717e-15,2.0580226241252158e-14,2.0580214300971875e-14,3.7832719487852494e-22,3.8705777163330102e-22,3.5444702182713373e-15,2.5197073539002825e-22,3.0498606785772101e-31,3.6410405022312568e-31,9.3171363537134891e-36,2.75413488682171e-26,8.7321363703224047e-21,6.5077932479258244e-25,5.1731689527927631e-36,5.89977044587539e-39,1.5176669225364926e-40,1.924428610375123e-45,1.1131018534786939e-20,2.1186483403476462e-54,6.8773678529520827e-63,2.2342946063771491e-64,2.393684606252767e-73,3.9479462878078318e-69,1.2015334155547935e-25,1.5130460566685018e-33,1.4897065094005821e-41,1.9164655033033693e-42,2.6549020179901713e-21,6.9755259015765989e-48,7.9684106967027654e-56,1.1922160376830062e-33,7.3087152697475064e-66,8.4024418533123624e-26,6.0327017390971079e-31,5.661346042317026e-39,5.5643996063152501e-47,4.2737882538843783e-47,3.579204957058058e-48,1.0083839981670122e-55,2.3445169855012943e-34,3.792671836355961e-42,4.9927370785474282e-51,3.4664952577131794e-43,2.7714252523282656e-51,3.7741282125582902e-41,4.3303540361118536e-45,8.1783871185738306e-35,6.1751863292158573e-43,1.4815398740522921e-55,2.1791343868225149e-64,6.180303354915065e-43,2.150270542291867e-43,3.5247016164379054e-43,5.3199433065941507e-51,4.8510797333942476e-52,3.4642756868481355e-51,1.1333360370239385e-52,1.8662672808069288e-68,2.1207980206768536e-74,2.6881665897150171e-73,1.6631496504688351e-46,2.5150160634722456e-54,1.6375103916972546e-54,2.2955847156200724e-55,1.9300398812499531e-69,2.7549332660305433e-35,4.0907837041992261e-75,3.5252007327849245e-60,3.0464100302095239e-68
1.040587423224696e-17,0.002021359855112094,3.1331586637448682e-32,8.1528640559391867e-28,5.3561711613867207e-21,3.1323409989314052e-32,2.4530037228288034e-20,7.4251067451111735e-34,1.4237598078268624e-55,1.4503623628316947e-44,3.6006599654523875e-48,6.0450277239868187e-46,1.0079583162487366e-36,2.2303067814966108e-25,1.6258679969502316e-39,2.8353269668795567e-57,7.2938476187917845e-53,7.2402293682221217e-41,3.1041644321815747e-54,4.674635054719369e-78,6.5818659671013693e-51,2.082406934250417e-67,2.4082229077094894e-40,6.4756152756947154e-61,1.2253038813600997e-32,1.4061522115036819e-48,2.6746299825785774e-48,1.0325472214756513e-41,8.0930269793999041e-72,3.7350413647892557e-81,1.5541196573956206e-49,2.4963987955093273e-63,7.3145688663424166e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999062672,0.108803,0.0001,3.6945208204826659e-15,4.1450313579269603e-14,4.1450289989651458e-14,1.4953115995602795e-21,1.5645493174556946e-21,7.1388214316925256e-15,1.0185036456962102e-21,2.3634865662113818e-30,2.6202760355353657e-30,7.5452599871503331e-35,1.1132653150405061e-25,3.5296517088709847e-20,2.6305540135785677e-24,4.1870916411282031e-35,4.7777868526166075e-38,1.2290303651165571e-39,3.1195432443151416e-44,4.499313447087395e-20,6.8717017044844966e-53,4.4622171385330085e-61,1.4496691141089817e-62,3.1065036468911541e-71,2.5615386301151165e-67,4.8567900332067547e-25,1.2253038781872538e-32,2.4148400472530213e-40,3.1066632741960703e-41,5.3470263041141856e-21,1.1307629372757947e-46,1.2730362094112587e-54,9.6548300681475491e-33,4.7420867371876714e-64,3.3963069322644122e-25,2.5822911943243009e-30,4.8379711845767801e-38,9.5031050499994608e-46,7.2989424318961173e-46,6.1127589015371135e-47,3.1997118048455471e-54,9.4769121378544269e-34,3.0714038172534483e-41,7.6787415166413185e-50,2.8072397435565193e-42,4.2677954593614128e-50,3.0559544505854956e-40,7.0117020745881634e-44,6.6230555143767034e-34,9.9948454750553877e-42,4.7997274016134341e-54,1.4120782292555378e-62,1.0011405724245844e-41,3.4856738600109143e-42,3.0120760294140481e-42,9.082709571043405e-50,8.2629243884310951e-51,5.9163130445353885e-50,1.9355712103133662e-51,1.2094666081886489e-66,2.7516826414697884e-72,1.7421100313974185e-71,1.3468268916447613e-45,4.0761773641636347e-53,2.6543897434231219e-53,3.7154426810881939e-54,6.1709519451568573e-68,1.113588077058237e-34,2.6757972029053768e-73,1.1433868146250012e-58,1.9766086068902416e-66
2.0884516815768373e-17,0.002021359855112094,1.2596645545111502e-31,3.2782304324065976e-27,1.0749796745950741e-20,1.2595004066573147e-31,4.9232060936819145e-20,2.9856283833758072e-33,5.7248754994041099e-55,5.6027114196878288e-44,1.449321994395873e-47,4.7238159305802842e-45,2.0229652697406253e-36,4.4762101452857526e-25,6.5375437485656341e-39,2.2843246462488775e-56,5.8707231279767248e-52,2.9112644027640619e-40,2.4985029002688383e-53,1.5059835091129038e-76,1.0599797651171937e-49,3.2352022100551353e-66,1.9383294346167188e-39,1.0441737803007684e-59,9.8623110925103757e-32,2.2645646647016697e-47,1.0754569494937477e-47,8.3090119120132483e-41,6.5139720362091042e-71,1.1616269792106574e-79,2.5028394646041888e-48,8.0424110837638329e-62,4.7291861630514057e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998118774,0.108803,0.0001,7.4148774507875253e-15,8.3190484683930324e-14,8.3190438993858282e-14,5.7559213318291825e-21,6.2909833462140754e-21,1.4327399634596633e-14,4.0953394480230888e-21,1.7509288874994643e-29,1.7220159080770038e-29,6.0730838858404055e-34,4.4763905439440341e-25,1.4192434137017998e-19,1.0577341465912979e-23,3.3664795993932546e-34,3.8455781730047211e-37,9.8920535790648324e-39,5.0238043447962807e-43,1.8091362838753301e-19,2.213756502428214e-51,2.8753660688867136e-59,9.3413863946340607e-61,4.003757458029949e-69,1.650615088631213e-65,1.9528937979168438e-24,9.8623108474214285e-32,3.8889017711724755e-39,5.0031535662249701e-40,1.0730759189167457e-20,1.8210592666603389e-45,1.9923655957435873e-53,7.7709755430003722e-32,3.0557086678945847e-62,1.3655641627495537e-24,1.153943934791573e-29,4.301693206945306e-37,1.6859936737173282e-44,1.2949404185840222e-44,1.0845126632804175e-45,9.9356002048476105e-53,3.8106243961983289e-33,2.472132733826219e-40,1.1214527128747594e-48,2.259481812460857e-41,6.246619540302147e-49,2.4590021339587275e-39,1.1283388152275383e-42,5.3307880811065986e-33,1.6047019707726524e-40,1.5450805110339746e-52,9.0902853305686573e-61,1.6100135497520322e-40,5.6135466313008499e-41,2.6781942842271177e-41,1.6103819798112921e-48,1.4582557748005074e-49,1.0496017594479436e-48,3.434046081961411e-50,7.7875849589798044e-65,3.5447246206605032e-70,1.1217178833756013e-69,1.0839874126952485e-44,6.5620724678360867e-52,4.2745385556995577e-52,5.9650117395444608e-53,1.9328681177577057e-66,4.477688707291872e-34,1.7312129229895642e-71,3.6835497778989736e-57,1.273710958064947e-64
4.1841801982811205e-17,0.002021359855112094,5.0514882317707477e-31,1.3147167488171447e-26,2.1537043943557509e-20,5.051158896801267e-31,9.8637456314356863e-20,1.1973910652142841e-32,2.2959310741657051e-54,2.0786503156815816e-43,5.8277110302838236e-47,3.58025577130139e-44,4.0529791422103659e-36,8.9680169673113993e-25,2.6218474763925524e-38,1.8374658408877391e-55,4.7108856073960536e-51,1.1675472490179034e-39,2.0048933281014429e-52,4.8353173159339969e-75,1.7014719091368763e-48,4.823452895160901e-65,1.5553586177112322e-38,1.683441552932312e-58,7.9138826865367923e-31,3.6351274184581225e-46,4.3130635370367356e-47,6.6667259531788695e-40,5.2270520812935379e-70,3.4686011069994059e-78,4.0175399397026294e-47,2.5822044751792125e-60,3.0420903594945739e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996230979,0.108803,0.0001,1.4855590711062318e-14,1.6667081373719242e-13,1.666707275096661e-13,2.1254366863551812e-20,2.5229651746013259e-20,2.8704059161824605e-14,1.6423991277740918e-20,1.2109213491022313e-28,1.0073491545245603e-28,4.8732709080283599e-33,1.7952325667692527e-24,5.6916884554066386e-19,4.2419866155710889e-23,2.6955387911303122e-33,3.08583375746225e-36,7.937345571511782e-38,8.0639209008245033e-42,7.255302368703855e-19,7.1075628167944708e-50,1.8464503442421186e-57,5.998681993330518e-59,5.1422606051675795e-67,1.0599740056448057e-63,7.8319766723966911e-24,7.9138821375465354e-31,6.2421515753331067e-38,8.0310672101927634e-39,2.1496162606205471e-20,2.9232047612322019e-44,3.0263572591314774e-52,6.2356034927050484e-31,1.96225956113245e-60,5.4759142242983375e-24,5.5550326554090112e-29,4.1060040325074765e-36,3.2056727324498084e-43,2.462135258767548e-43,2.0621095889597581e-44,3.0218212193946118e-51,1.5282305915902235e-32,1.9837304191424204e-39,1.5165796661903121e-47,1.813045396337325e-40,8.4760958932313141e-48,1.9720783454510515e-38,1.8097892168792698e-41,4.2775845294695434e-32,2.5601943363838734e-39,4.9569752645746906e-51,5.8306474585683724e-59,2.5770991734711326e-39,9.0109096530430188e-40,2.5563599335284918e-40,3.05802003656532e-47,2.7438706378157676e-48,1.9955098559862612e-47,6.5295417956480023e-49,4.9971468658694161e-63,4.548263960163167e-68,7.197828018024334e-68,8.6974170615187058e-44,1.0525607871079157e-50,6.8607005755866338e-51,9.5160052375612495e-52,5.8777851204363947e-65,1.7957534626613107e-33,1.1139921470365892e-69,1.1826957163852958e-55,8.1795778958758071e-63
