Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379),S(4378),S(4400),S(4225),S(5131),S(5168),S(2471),S(5526),S(2681),S(4920),S(5903),S(5631),S(1278),S(6437),C5H8(1977),COO(115),S(2961),S(3450),S(3334),S(1529),S(1687),S(1803),S(1807),S(1519),S(7307),S(6868),S(6905),S(7163),S(6885)
0.0,0.003112451135150279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.836363913474718e-20,0.003112451135150279,1.8824557237858483e-35,3.0671812413663107e-31,4.3225666197681949e-22,1.6872152080790358e-35,4.9051327825769242e-22,9.8651394550750837e-38,1.3889636632724059e-57,2.2800252862575839e-47,3.7653454562972277e-51,3.2114041581013712e-51,4.2509178482319376e-37,4.6614981224968017e-27,2.7056801721517431e-43,1.311111382196609e-62,3.8212281413650474e-58,1.7976686313324245e-44,5.1723864879535476e-60,1.1932948535611919e-85,1.1346076879734935e-57,3.0368940309842942e-74,8.4163676627723132e-45,7.2041942917451225e-69,2.5620213462097566e-38,6.4611850344619978e-56,4.0348189941074965e-51,3.3412553696609737e-47,1.0657959588030713e-75,4.622407862618785e-90,2.474920626809312e-56,3.423305537445358e-72,3.1914784575477347e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999989552,0.108803,0.0001,4.3257653047344813e-17,3.5785217232530295e-16,3.5785135217508647e-16,5.1399218657995917e-26,5.142213388511642e-26,2.8637911153918827e-16,3.1188283456101213e-26,8.9082693402716068e-37,1.0776313540084725e-36,1.9310295391494957e-41,6.229102414961632e-30,8.3758612968615061e-24,1.4647716464529224e-28,1.4955176416134601e-41,5.4490667543707565e-44,3.2085340833453451e-45,9.6101174649594708e-52,1.2765723527003192e-23,1.9573348168198166e-62,6.1236372078528539e-73,7.7853195133686129e-74,7.8723775171052164e-85,7.2600415278927954e-79,8.898324286853036e-29,2.5620221875930512e-38,2.2329067843738684e-48,3.0180691601307594e-49,1.0258393724411029e-22,2.2301731422757596e-54,3.0147487999131895e-62,5.5835716805050937e-38,6.3346411733658273e-76,3.6696295256030769e-29,1.0113922455619337e-33,2.025035720285681e-43,1.76490140284106e-53,1.4549565859273601e-53,1.2601496353333854e-54,9.6088532032298687e-64,4.5428350505646338e-37,6.5279136372620364e-47,1.9007870838694894e-57,2.7831893929603713e-47,1.1305054971831472e-57,1.176364027715084e-45,3.5067486977800912e-51,2.755138028632345e-40,1.9794758587124433e-50,1.1671769257391011e-63,4.0498089542220248e-74,1.9795007408196701e-50,1.6405876514722266e-50,2.3489071097937755e-47,3.3752846934983142e-57,1.4390043268769249e-57,2.0471678351032714e-57,2.7074717726261487e-58,2.3956834682173794e-78,1.4956065669151227e-85,3.49954651596836e-82,2.8656264828186676e-50,4.1178031534591437e-60,2.4975107009906503e-60,1.7555948333232857e-60,1.2632903956918297e-77,9.807057529540518e-39,2.6374206810041982e-85,9.0205457743050693e-68,1.5599765040148688e-77,5.2830980248676842e-87,1.1208190142079327e-87,1.4758125666079795e-97,1.286369233590154e-98,6.0888972939611026e-111,1.4813742805023421e-121,3.3662910918134631e-46,2.6452049340913737e-55,1.4598075789600129e-55,1.744585840589456e-111,5.4580395103649863e-122,2.6769847448125894e-122,4.5627789737189088e-68,1.0168723695912983e-75,9.7545051586383093e-69,3.6816271191190936e-54,1.3256032575873737e-76,4.1641073721298825e-85,2.5710844166064654e-79,1.0386187716692952e-86,9.0519860833431628e-97,1.1760660217518494e-97,6.1174787939336513e-98,1.1327521316127244e-64,1.5202901918994153e-106,6.0810371957509285e-99,1.5802452359710093e-102,2.0006175378028142e-110,1.1798213287348915e-101
1.0741818957729211e-19,0.003112451135150279,1.0737453216367772e-34,1.8525760914908112e-30,1.2103186527546852e-21,1.0190779851298948e-34,1.3734372190536405e-21,5.958544413266704e-37,8.3893405265886017e-57,1.37694802656931e-46,2.2743852078502682e-50,3.8121868537438966e-50,1.1902569974312692e-36,1.3052194744078235e-26,1.6342308240936185e-42,1.5566244842264266e-61,4.5365620496589354e-57,1.0857918534006117e-43,6.1406572688705456e-59,4.924164359209391e-84,2.5380718523824452e-56,9.5472236910965606e-73,9.9919110244850357e-44,2.2677714718748912e-67,3.0416317410463763e-37,1.4453412468336656e-54,2.4370306723182979e-50,3.5677691975007998e-46,1.2653129622891766e-74,2.661925947189246e-88,5.5362980934847259e-55,1.4126365272942156e-70,3.6300262355641791e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999970713,0.108803,0.0001,1.2112142853253893e-16,1.0019860822431349e-15,1.0019837859230807e-15,3.1031705968117149e-25,3.1058968833563849e-25,8.0186144251716721e-16,1.8837722441124701e-25,1.056245625577184e-35,1.2746491470431961e-35,2.292520057043314e-40,3.7623778514583764e-29,5.0590198558783567e-23,8.8472207426017899e-28,1.7754641168372438e-40,6.4691320382289592e-43,3.8091706514745393e-44,2.1497442906546398e-50,7.7104964503128559e-23,8.0769949258156071e-61,4.6097201159557537e-71,5.860592775160286e-72,1.0745753907296659e-82,5.4651769380361024e-77,5.3745878669942543e-28,3.0416327396704731e-37,4.9949219321924973e-47,6.7512996225485104e-48,2.8723490493786528e-22,4.9888081209002058e-53,6.7432098089561934e-61,6.6288158579182947e-37,4.7685585970175605e-74,2.216455444438527e-28,6.1108366203498562e-33,2.4048531036631442e-42,3.9491595794032859e-52,3.2556241006080761e-52,2.8197227786933622e-53,3.951668656324089e-62,2.7438723693677196e-36,7.7499390608752842e-46,4.2458616919615375e-56,3.3042020428922337e-46,2.5251151574781354e-56,1.3965767484108361e-44,6.3190626507047734e-50,3.2708997449118295e-39,4.4279169662551951e-49,3.902513755112264e-62,2.4778270051705323e-72,4.4280196399008998e-49,3.6699288210631383e-49,2.7894700799225271e-46,7.5525269959895038e-56,3.2198070358269102e-56,4.5807601743758893e-56,6.0582645006875716e-57,1.4659404961275992e-76,2.0414889877189407e-83,2.1411586611672814e-80,3.4020706576619655e-49,9.2113324193173363e-59,5.5868291849300454e-59,3.9271091088729353e-59,5.2125342044434663e-76,5.9234627482518196e-38,2.8026562572969073e-83,3.7223532741609872e-66,1.1743113134510606e-75,7.2114023901075542e-85,1.5299123393040593e-85,3.6408158519132053e-95,3.1734613226668535e-96,2.709914765785692e-108,1.1882178415585392e-118,3.9976754447742404e-45,5.9189205884522369e-54,1.8947067447685145e-54,7.7644254813114325e-109,4.3779212394827234e-119,2.1472230740119571e-119,2.1024171371368934e-66,8.5355864794224396e-74,4.0252238728845455e-67,4.3709382226686551e-53,8.110556334052216e-75,4.6276046677030334e-83,1.0609619425904165e-77,7.8184393072165152e-85,1.235587659997991e-94,1.6053194542645188e-95,8.3503029849611844e-96,4.6743859335588393e-63,3.7505309594253847e-104,8.3005594238662521e-97,2.1570205270454158e-100,4.9354892572615819e-108,1.610445480932558e-99
2.4552729046238196e-19,0.003112451135150279,5.0313756931705565e-34,8.9193533938557697e-30,2.7664426311887787e-21,4.9064218168462207e-34,3.1392852603739415e-21,2.8687828260566764e-36,4.0391063334071258e-56,6.6275055084384265e-46,1.0951374023666147e-49,3.741990673437076e-49,2.7205874223540643e-36,2.9833587991589885e-26,7.8681179423304788e-42,1.5284580306039169e-60,4.4540235222891655e-56,5.2276203810520724e-43,6.0289337811766712e-58,1.9479502157577875e-82,5.0148015811029423e-55,2.1293392104547483e-71,9.8101160869771114e-43,5.0792781096524393e-66,2.9862920775031412e-36,2.8557507403856448e-53,1.1733253633028864e-49,3.2961134715741515e-45,1.2422917695681714e-73,1.1933912643659578e-86,1.0938790565192619e-53,5.5882488584131576e-69,3.2862358652146362e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999933087,0.108803,0.0001,2.7684897950282099e-16,2.2902539010090187e-15,2.290248652750425e-15,1.492677692833629e-24,1.4953556484224287e-24,1.8328258253029622e-15,9.069551679504481e-25,1.0341922308228359e-34,1.2415835781809997e-34,2.2508105796992324e-39,1.8114229715027219e-28,2.4356999139884176e-22,4.2595559449259328e-27,1.7431306392392112e-39,6.3514321699571382e-42,3.7398641895030886e-43,4.2475300953653057e-49,3.7122715616570446e-22,3.1951771200772439e-59,3.6447651004302799e-69,4.6337919631097799e-70,1.6975648313993409e-80,4.3211490754163115e-75,2.5876326992193674e-27,2.9862930573944422e-36,9.8691187108226101e-46,1.3339428780664219e-46,6.5653636294342017e-22,9.8570441944804555e-52,1.3320559452269225e-59,6.5082097831471381e-36,3.770353845255921e-72,1.0671270825075967e-27,2.9441698336732616e-32,2.3626467932852742e-41,7.8078281926794255e-51,6.4366484115219794e-51,5.5748361609650386e-52,1.5516159390941321e-60,1.3210564309447081e-35,7.6089361068234598e-45,8.3627502847437669e-55,3.2440843027020267e-45,4.9729316892279846e-55,1.3711617723255053e-43,1.0770576725920174e-48,3.2113885058678438e-38,8.748422767554206e-48,1.3295711951398121e-60,1.6855496948677139e-70,8.7488289074746204e-48,7.2511603447156759e-48,2.74051355881646e-45,1.4931818064069485e-54,6.3653065579303889e-55,9.0565509933399121e-55,1.1977713550012675e-55,9.9726455877976054e-75,3.225028937205457e-81,1.4565346980201275e-78,3.3401708098806578e-48,1.8199917281810213e-57,1.1038622834473211e-57,7.7589326334306705e-58,2.0615917873009539e-74,2.8518923302044054e-37,2.6140165738711835e-81,1.4725257654507038e-64,9.2849253631543835e-74,1.1392247014089525e-82,2.4168862098628388e-83,1.1492968518043074e-92,1.001767270655213e-93,1.7097445902546345e-105,1.4986642859595789e-115,3.9275143420498713e-44,1.1702153475585091e-52,1.9592930553643193e-53,4.8987461283784217e-106,5.5217435549947221e-116,2.7082294379689567e-116,1.0504430846202192e-64,8.5131135910217359e-72,1.5923385399533977e-65,4.2914615158651395e-52,5.5172496642036928e-73,6.2855001483286286e-81,4.197031597464315e-76,6.181763405483837e-83,1.9519116270496915e-92,2.5359941027147684e-93,1.3191342417145942e-93,1.8491495527755799e-61,1.1839230105854168e-101,1.3112756396106785e-94,3.407541057885325e-98,1.5579755754417033e-105,2.544092149056006e-97
5.217454922325616e-19,0.003112451135150279,2.169315990519115e-33,3.8953153405401038e-29,5.8786905755704065e-21,2.1427633057378939e-33,6.6709819819281645e-21,1.2528729918948561e-35,1.7639838529768214e-55,2.8927318732007589e-45,4.7837988638165406e-49,3.3082588833003385e-48,5.7812482710369273e-36,6.3396374504008275e-26,3.436213820410715e-41,1.3521798650456123e-59,3.9395333661212268e-55,2.2830391629674609e-42,5.3325237616382711e-57,6.9520942662739703e-81,8.9235689800324177e-54,3.9857840826717958e-70,8.6769340780373375e-42,9.5909184499937163e-65,2.6413415194465861e-35,5.0816558517359704e-52,5.1242201206288711e-49,2.8262983751196433e-44,1.0987930016544124e-72,4.4873622666242711e-85,1.9464987913810512e-52,1.9944057788542475e-67,2.4906718959952539e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999857817,0.108803,0.0001,5.8830408144296067e-16,4.8667895342702149e-15,4.8667783837305359e-15,6.5069500366724349e-24,6.5306109521943562e-24,3.894753474194505e-15,3.9609108110995785e-24,9.0972633597118982e-34,1.0809986935852754e-33,1.9908168001143024e-38,7.9109599557289934e-28,1.0637338151913712e-21,1.8602599879406842e-26,1.5417249509646364e-38,5.6177697793163346e-41,3.3078637086821402e-42,7.5582444224807068e-48,1.621246019934324e-21,1.1403347653916852e-57,2.6051228484300332e-67,3.3120371265455306e-68,2.4283085066083463e-78,3.0885738132903742e-73,1.1300871809195781e-26,2.6413423851464694e-35,1.7561550453924292e-44,2.3736795135660346e-45,1.3951373694316591e-21,1.754008360344826e-50,2.3692897761451006e-58,5.7564361876701752e-35,2.6948883373095356e-70,4.660417267642453e-27,1.2876107037761436e-31,2.0924876508729367e-40,1.3911325531282913e-49,1.1468272059703275e-49,9.932775872190719e-51,5.4563203525651859e-59,5.7694004960458251e-35,6.7300177830800344e-44,1.4787708974627367e-53,2.8693543037338848e-44,8.7914556846577684e-54,1.2127671675327005e-42,1.7649738665398614e-47,2.8404363033706589e-37,1.556593893452121e-46,4.3625914703515427e-59,1.1067135662656196e-68,1.5567388227056405e-46,1.2903050368331151e-46,2.4271468727871102e-44,2.6603610739292173e-53,1.1339270088800823e-53,1.613617268456682e-53,2.1340885858241338e-54,6.5481343559391525e-73,4.6132319301455655e-79,9.5635101818818458e-77,2.9543390999016516e-47,3.2385339448566878e-56,1.964260317027789e-56,1.3805272041330274e-56,7.3545286219053654e-73,1.2454963068861361e-36,2.0084658181716277e-79,5.2553386279119436e-63,6.6364748546910852e-72,1.6296234098334827e-80,3.4572759973368737e-81,3.2891375172942211e-90,2.8669287747690401e-91,9.787723758527592e-103,1.7160099616978401e-112,3.4784188888175902e-43,2.0849683016091492e-51,1.7807644275583149e-52,2.8043705574553533e-103,6.3225413694433085e-113,3.1009938276825603e-113,4.1217399356465086e-63,6.6989165178577391e-70,5.6829431811959915e-64,3.7957683986289396e-51,3.6225896337663571e-71,8.2560457285000945e-79,1.497870470734974e-74,4.4184065958842118e-81,2.7921056922446708e-90,3.6276076267055394e-91,1.8869528116684477e-91,6.5994972876877876e-60,3.3881893807023577e-99,1.8757103673682899e-92,4.8743113010188063e-96,4.4586595704972371e-103,3.6391921352561309e-95
1.0741818957729211e-18,0.003112451135150279,9.0002822020112074e-33,1.6262173454526439e-28,1.2103186414387399e-20,8.9456149565336997e-33,1.3734377980691092e-20,5.2304994668214212e-35,7.3642853482256479e-55,1.2062616786238384e-44,1.9980195712250058e-48,2.7782883192927959e-47,1.1902569963837309e-35,1.3052194759842543e-25,1.4345516288888875e-40,1.1370548096371363e-58,3.311415170377226e-54,9.5312390939019944e-42,4.482307711257099e-56,2.3489543852542689e-79,1.505089496537305e-52,6.8767437189407463e-69,7.2934817032238532e-41,1.6837092891588158e-63,2.2202066924193584e-34,8.570955315782649e-51,2.1392610289946398e-48,2.3389163955367606e-43,9.2360172509876886e-72,1.5521192479723252e-83,3.2830528821683189e-51,6.7386426851755398e-66,1.7318583869573234e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999707295,0.108803,0.0001,1.2112142853215421e-15,1.0019860783778272e-14,1.0019837834992453e-14,2.7065747706646609e-23,2.7264014925027593e-23,8.018604305262244e-15,1.6536017198383262e-23,7.5639250636576982e-33,8.8103762525291559e-33,1.6734016359369302e-37,3.3026700002675564e-27,4.440876534008575e-21,7.7662192420610577e-26,1.2958212795816826e-37,4.7220739159157937e-40,2.7804523441838801e-41,1.2748055480073939e-46,6.7683788020658759e-21,3.8529249729231344e-56,1.7618419967420579e-65,2.239927425926873e-66,3.2858471281785041e-76,2.0888000934713041e-71,4.71789150529261e-26,2.220207418405165e-34,2.9620057614262352e-43,4.003555534956379e-44,2.8723317443562504e-21,2.9583915111635622e-49,3.992672879107064e-57,4.8386286704382262e-34,1.8225503123939815e-68,1.9456265676190948e-26,5.3906845730343125e-31,1.7634937700256174e-39,2.3523258791872408e-48,1.939218874078161e-48,1.6795778332339743e-49,1.791147579615374e-57,2.4086111274733406e-34,5.6569854019500518e-43,2.4632337367303698e-52,2.4118626202199667e-43,1.4637344432048695e-52,1.0193872379993694e-41,2.8500939477672005e-46,2.3875570845156759e-36,2.6249467439074019e-45,1.4096354052680223e-57,7.1536515348408902e-67,2.6254362973665166e-45,2.1762873521368268e-45,2.0455357921738281e-43,4.498304087035214e-52,1.9167658993831792e-52,2.7285277037471684e-52,3.6086264410766545e-53,4.2327358059530856e-71,6.2421923196097725e-77,6.1818079193289217e-75,2.4832930355825522e-46,5.4621120517534088e-55,3.3129998522414253e-55,2.3280108374465576e-55,2.4828004500958386e-71,5.1997019078727959e-36,1.4056014359275304e-77,1.7756593113236895e-61,4.488249051743052e-70,2.2051162388843446e-78,4.6781942943731773e-79,8.9031356496904972e-88,7.7602973757646113e-89,5.2992784347396153e-100,1.858260586531502e-109,2.9315202881601404e-42,3.5254879147317892e-50,1.5202922237607923e-51,1.5183448984458473e-100,6.8466557288236888e-110,3.3580542966411098e-110,1.4535720639207088e-61,4.7318218902244127e-68,1.9201380849156546e-62,3.190579773943466e-50,2.3416250158469255e-69,1.0674444845576134e-76,5.0608286385471566e-73,2.988090177768538e-79,3.7780158072732822e-88,4.9085469693915065e-89,2.5532517721409023e-89,2.2298225388191694e-58,9.1710157581605957e-97,2.5380364855377994e-90,6.5954753670484798e-94,1.206849137986982e-100,4.9242238928549144e-93
2.1790547028536398e-18,0.003112451135150279,3.6656651953401009e-32,6.6436281720816735e-28,2.455217789223604e-20,3.6545755643687282e-32,2.7861180200834862e-20,2.1368308057872083e-34,3.0085508579055555e-54,4.9165892238212594e-44,8.169791046119767e-48,2.2737160854398264e-46,2.4145213331861219e-35,2.6477309406558132e-25,5.8606114939872724e-40,9.3299650533934294e-58,2.7148982263474215e-53,3.8938221711668626e-41,3.6748669679701618e-55,7.7228405873623151e-78,2.4721112528153306e-51,1.140027019350498e-67,5.9796300435482075e-40,2.8877514581041587e-62,1.8202595734810773e-33,1.4077819749546662e-49,8.7395793200804501e-48,1.9026656142466819e-42,7.5722449584593726e-71,5.1526382776206848e-82,5.3924181865393971e-50,2.215515860066873e-64,1.1548087981746345e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999406234,0.108803,0.0001,2.4570346930719135e-15,2.0326003215273774e-14,2.0325956694723056e-14,1.0976767075798854e-22,1.1138239497983544e-22,1.6266288100575022e-14,6.7554978994382899e-23,6.0696501989719281e-32,6.808347653106916e-32,1.3719558730495118e-36,1.3492484147019458e-26,1.8142407206864096e-20,3.1727539539546785e-25,1.0622426561902764e-36,3.8714413613877624e-39,2.2795722968720194e-40,2.0938625861070749e-45,2.765100164731945e-20,1.2667518639017812e-54,1.1589934512743065e-63,1.473492647621379e-64,4.3239712803265565e-74,1.3740773752512766e-69,1.9274126070774784e-25,1.8202601659214109e-33,4.865082307055495e-42,6.5758457167195996e-43,5.8266899423146633e-21,4.8591670725910364e-48,6.5465740755588574e-56,3.9669955354870476e-33,1.1989292406989753e-66,7.9484711467750647e-26,2.2146621015760283e-30,1.4534144521458769e-38,3.883339517518262e-47,3.2013594796831241e-47,2.7727394452990253e-48,5.5740569409823001e-56,9.8399622949168737e-34,4.6379383171011942e-42,3.9478916164438436e-51,1.9773864905766461e-42,2.3438508792767028e-51,8.3572795779333066e-41,4.5775579543262055e-45,1.9574622729482653e-35,4.3099187496808833e-44,4.5288803745449833e-56,4.5969582572809488e-65,4.3115274417733464e-44,3.57455625271733e-44,1.6858643489061139e-42,7.4253203843410518e-51,3.1621838032619293e-51,4.5043690626834491e-51,5.9573185709967462e-52,2.7200569289797909e-69,8.2138982236900363e-75,3.9725516624055324e-73,2.0359422016428704e-45,8.97104663971901e-54,5.441571880644183e-54,3.8222870264568773e-54,8.1489387245547105e-70,2.1242478939634122e-35,9.4020335772103384e-76,5.8379738371208275e-60,2.9525173676400508e-68,2.9018062597208611e-76,6.1562340549496036e-77,2.343444087770821e-85,2.0426359549778079e-86,2.789858517110958e-97,1.9566514450135965e-106,2.4160640498242795e-41,5.8198086901509055e-49,1.2610741550484085e-50,7.9934796959193037e-98,7.2091712678304021e-107,3.5358559912616445e-107,4.8776965163141531e-60,3.1780385865971368e-66,6.3129940856964702e-61,2.6158332614701226e-49,1.504774594984856e-67,1.3719349808778327e-74,1.6637996194950029e-71,1.9655599025762685e-77,4.9713699355959144e-86,6.4590213223864181e-87,3.3597527991074729e-87,7.3311663783848045e-57,2.413829943745413e-94,3.3397234263362552e-88,8.6788116068851088e-92,3.1764354239096717e-98,6.4796549575018626e-91
4.388800317015077e-18,0.0031124511351502794,1.4794713958622779e-31,2.6854606313952663e-27,4.9450160048789752e-20,1.4772378475885705e-31,5.6114825531593947e-20,8.6374207131221621e-34,1.2161043613632323e-53,1.978213332983737e-43,3.308295834600146e-47,1.8347231008384755e-45,4.8630500003077631e-35,5.332753881131784e-25,2.3689528751860854e-39,7.5683120653342006e-57,2.1985949760642961e-52,1.5739451821925149e-40,2.97600302848973e-54,2.5048799606014859e-76,4.0073899076787165e-50,1.8502500795560706e-66,4.8424482490364664e-39,5.0021984466186606e-61,1.4740933762567872e-32,2.2820752165320978e-48,3.5326776897786121e-47,1.5348176069728007e-41,6.1322002903178465e-70,1.6736794239900658e-80,8.7413227028454618e-49,7.1859568740171365e-63,7.5431047369846525e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999998804111,0.108803,0.0001,4.9486755085454894e-15,4.0938287812367994e-14,4.0938194243011344e-14,4.3732338788771941e-22,4.5022543272194082e-22,3.2761584224219433e-14,2.7306764766567604e-22,4.7146811140561223e-31,4.942771521633165e-31,1.1110455535885996e-35,5.4538774637846624e-26,7.3334329096321509e-20,1.2824778666415223e-24,8.5998892019312989e-36,3.1351933768750485e-38,1.8460397045992067e-39,3.3942111547522385e-44,1.117694929634892e-19,4.1086431730390202e-53,7.5198792724103083e-62,9.5604396179029033e-63,5.6116319163248089e-72,8.9154167309557664e-68,7.7909098126484469e-25,1.474093851549194e-32,7.8864398230108762e-41,1.0659708946693644e-41,1.1735284133202545e-20,7.8769196483769963e-47,1.0575514143771777e-54,3.2125684077911002e-32,7.77899411568796e-65,3.21286013573148e-25,9.0521978522073935e-30,1.1893152107378861e-37,6.3587255323046158e-46,5.2420195715749553e-46,4.5402093676141221e-47,1.6354328555400686e-54,3.9774700298186204e-33,3.755922540903756e-41,6.1037448498577637e-50,1.6013320381406536e-41,3.6176867805036784e-50,6.7674997226846839e-40,7.3362116605058721e-44,1.5852016344218526e-34,6.981498233395109e-43,1.4517455621658146e-54,2.9470903495194708e-63,6.9867104637898677e-43,5.7945024037777432e-43,1.3795267426440849e-41,1.2156175644585761e-49,5.1709797948303745e-50,7.3755452586382914e-50,9.7547824397499704e-51,1.7439135984777214e-67,1.0658820504346509e-72,2.5469180984071683e-71,1.6487402137627897e-44,1.4540868648194027e-52,8.8208917752864809e-53,6.1913062663454969e-53,2.6340779047967596e-68,8.5865496456444065e-35,6.1508201555167677e-74,1.8935292607486592e-58,1.9156904107050025e-66,3.7659777320334879e-74,7.9895872197374762e-75,6.0829627336083625e-83,5.3021686455344626e-84,1.4483927873633025e-94,2.0316712869478878e-103,1.9770421629741427e-40,9.5287655599784844e-48,1.0352495090164313e-49,4.1499231314551239e-95,7.4855776239430829e-104,3.6714240493954899e-104,1.5979571673328291e-58,2.0830589079062368e-64,2.0476046055864326e-59,2.1183710682849992e-48,9.6475488059282183e-66,1.7590778144134334e-72,5.3959114031036032e-70,1.2751856807378357e-75,6.4511378611947316e-84,8.3816567619868635e-85,4.3598375625025688e-85,2.3778427525069376e-55,6.2650222281495655e-92,4.3338253566456224e-86,1.126222494805974e-89,8.2442586219001263e-96,8.4084448126608617e-89
