Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712)
2.7287526740863274e-15,0.002684002462790331,3.9688482387815686e-32,3.2077154978734342e-27,2.0788363585226795e-22,3.9688491273654609e-32,1.2392573059477122e-20,1.3920283171480918e-32,3.2379257730319691e-59,4.7469320563811229e-48,1.6349504518802293e-49,1.0257720752027471e-45,3.4920164972145143e-40,9.595905649405982e-26,1.4017916637713902e-38,2.1381344708136315e-56,1.857325597177167e-51,1.9898239259552074e-40,1.5518142867676071e-52,2.3481615431214079e-96,3.0122330826849137e-67,3.0380299936910296e-68,5.5482064736368571e-83,3.0235105404551598e-59,2.8024903110153609e-67,4.8355402543841414e-59,1.8354783983512018e-49,1.8861761653479051e-39,1.5360681083642622e-74,2.2696546196426138e-80,2.9630527510175965e-73,9.6578268167177236e-76,2.2245521404607456e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995453614,0.108803,0.0001,3.5706944112078979e-14,2.0946529856264172e-13,2.0946555330476135e-13,2.6734248676224482e-19
5.45987611504849e-15,0.0026840024627903312,1.5885524243727561e-31,1.2839050830127079e-26,4.159414309094922e-22,1.5885527660783716e-31,2.4837578937751953e-20,5.5798262998350451e-32,1.2960081366212071e-58,4.9310461474072892e-48,6.5440593062623291e-49,4.1198201477589354e-45,6.9870462492658678e-40,1.9200143391112037e-25,5.6108185963934211e-38,1.711806847026086e-55,1.4869886526417795e-50,7.9644795703294287e-40,1.2424122117817338e-51,1.9935540071229208e-95,1.27008360948305e-66,1.2809571464662267e-67,4.7103054422413382e-82,1.2748386579396003e-58,3.5812897809998084e-66,3.8723514664238179e-58,7.346682061650013e-49,1.5100688784166152e-38,1.2297803334582049e-73,1.9269091818125206e-79,2.5155678194212766e-72,1.5534447685719981e-74,7.1290524878674118e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999990903278,0.108803,0.0001,7.144491072935393e-14,4.1911253382658104e-13,4.1911309225309691e-13,5.8367986994182775e-19
1.0922122996972816e-14,0.002684002462790331,6.356109738451363e-31,5.1371560891117743e-26,8.3203765728640711e-22,6.3561106268015677e-31,4.9852643070007791e-20,2.2391278924734451e-31,5.1856726569849794e-58,5.0278500066039581e-48,2.6184734807632663e-48,1.6499266074881828e-44,1.3977043797874928e-39,3.8408604096422767e-25,2.2450572946444841e-37,1.3699644391101912e-54,1.1900409938993807e-49,3.186827837742895e-39,9.9433491486051824e-51,1.6457355366249695e-94,5.2224614337951112e-66,5.2671435622681772e-67,3.8884243619409931e-81,5.2420137349149924e-58,5.0070778195623463e-65,3.0994466025381285e-57,2.9396178293176541e-48,1.2084838941089087e-37,9.8418497990163475e-73,1.5907275574808362e-78,2.0766386356586681e-71,2.4896634674774403e-73,2.2829730526269298e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999981802624,0.108803,0.0001,1.4292084385795471e-13,8.3840700205014134e-13,8.3840816994754984e-13,1.218581807899813e-18
2.184661676082147e-14,0.0026840024627903312,2.5427225263545057e-30,2.0550876521104109e-25,1.664152662305232e-21,2.5427224251625982e-30,1.0038298083682926e-19,9.009746072223458e-31,2.0745683135562725e-57,5.0777753682851751e-48,1.047557780768492e-47,6.602217607185229e-44,2.795679107751161e-39,7.6825466394794558e-25,8.9816831757895241e-37,1.0961776299068085e-53,9.522106363314992e-49,1.2749375191728097e-38,7.9566309604702588e-50,1.338386741285562e-93,2.1190673895421564e-65,2.1371742983518311e-66,3.162134850416154e-80,2.1270009366288056e-57,7.4325922733891741e-64,2.4801787392621915e-56,1.1760289907542026e-47,9.6692254097608953e-37,7.8747664511618232e-72,1.2936661585054735e-77,1.6887603229508527e-70,3.9857000689471864e-72,7.3081786182185196e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999963601298,0.108803,0.0001,2.8587270969135975e-13,1.6769959378426988e-12,1.6769983245275822e-12,2.488731659373154e-18
4.369560428851877e-14,0.002684002462790331,1.0170636078083556e-29,8.2201453422924933e-25,3.3280729391131479e-21,1.0170631873998954e-29,2.0344449437559287e-19,3.6456219062280706e-30,8.2986412611068604e-57,5.1034999886068586e-48,4.1905552245786217e-47,2.6412005639482373e-43,5.5915294401603263e-39,1.5365895454378656e-24,3.5929593520531873e-36,8.7702206356175692e-53,7.618360915031169e-48,5.1001560952898291e-38,6.3666146673863085e-49,1.0799183292036498e-92,8.5390462784291342e-65,8.611822524035265e-66,2.5512966340072197e-79,8.5710154956696761e-57,1.1428987949567328e-62,1.9843838164406032e-55,4.7044223572535805e-47,7.7353441249094587e-36,6.300077389999223e-71,1.0438571381885074e-76,1.3625367063427723e-69,6.378367650585093e-71,2.3390319181576748e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999927198647,0.108803,0.0001,5.7177643966298357e-13,3.3541738081660609e-12,3.3541786304521524e-12,5.0290587651059562e-18
8.739357934391338e-14,0.002684002462790331,4.0675547787442282e-29,3.2874926734565443e-24,6.6546750213203506e-21,4.0675500290439056e-29,4.1757087344065408e-19,1.4914625699718619e-29,3.3193456968185347e-56,5.1172726526254969e-48,1.6762767529359067e-46,1.0564957084128119e-42,1.1182833639019207e-38,3.0732498506074221e-24,1.4372371684663109e-35,7.0164566740658324e-52,6.0949020902614943e-47,2.0401382216978148e-37,5.094662386196607e-48,8.6791485702552914e-92,3.4288856326241276e-64,3.4579584295819473e-65,2.0501896727626347e-78,3.4417229901115557e-56,1.7915666813372911e-61,1.587590927829847e-54,1.8817843472424787e-46,6.1873363710410172e-35,5.0397669020038648e-70,8.3896984630337464e-76,1.0949043988385864e-68,1.0205879028788252e-69,7.4854909092969359e-82,0.88129999999999997,0.0,0.0,0.0,0.009889999985439336,0.108803,0.0001,1.1435838928254866e-12,6.7085295438742958e-12,6.7085392293593133e-12,1.0109714065304206e-17
1.747895294547026e-13,0.002684002462790331,1.6263632600620754e-28,1.3144647367811603e-23,1.3302928989433043e-20,1.6263589012925216e-28,8.7783703925732524e-19,6.2313566159843556e-29,1.3275686192394349e-55,5.1258205947107696e-48,6.7051350656395789e-46,4.225741749167406e-42,2.2363856397773165e-38,6.146532630503812e-24,5.7490252055573526e-35,5.6132139055262838e-51,4.8759158439526264e-46,8.1606610752743657e-37,4.0776328449279405e-47,6.9627447599432221e-91,1.3746070016625358e-63,1.3861411368102851e-64,1.6444042426130864e-77,1.3797533738003923e-55,2.8368048236299748e-60,1.2700863555863094e-53,7.5268012406363264e-46,4.9480153819219027e-34,4.0310545465970754e-69,6.7311284193835275e-75,8.7813884438214418e-68,1.6328681855499714e-68,2.3954033544278711e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999708782788,0.10880299999999998,0.0001,2.2871987720275146e-12,1.3417240995541147e-11,1.3417260375405693e-11,2.0271024657821985e-17
3.4958142967628104e-13,0.002684002462790331,6.4999917303353539e-28,5.2534450183599165e-23,2.6579665611185529e-20,6.4999546358294773e-28,1.926422999528203e-18,2.7051082322469199e-28,5.3087556923631115e-55,5.1333774035742419e-48,2.6819946211033417e-45,1.6900415644379431e-41,4.4719561157907572e-38,1.2292946874915836e-23,2.2996011291816246e-34,4.4904889514934894e-50,3.900584479474822e-45,3.2642513677728337e-36,3.2650348782939506e-46,5.5832692860456478e-90,5.5075250515779589e-63,5.5527695617757405e-64,1.3182836188012566e-76,5.5281445984266971e-55,4.5149889456513734e-59,1.0160426314422406e-52,3.0103597920325347e-45,3.9553089652080839e-33,3.2235150321701568e-68,5.3984924977800389e-74,7.0378333649381141e-67,2.6121942174933617e-67,7.6650579281074962e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999417561644,0.10880299999999996,0.0001,4.5744284219396634e-12,2.6834663819876271e-11,2.6834702460426555e-11,4.059364572342482e-17
6.991652301194379e-13,0.002684002462790331,2.5955984209142805e-27,2.0978232434435196e-22,5.3054288661903326e-20,2.5955678907099006e-27,4.5358094177514039e-18,1.2524500138837106e-27,2.1222557808394446e-54,5.1437118663005287e-48,1.0727339602990929e-44,6.7580122274067046e-41,8.9405622028377821e-38,2.4585170153383335e-23,9.1981925494609017e-34,3.5921957494803477e-49,3.120174967578796e-44,1.3056701823775993e-35,2.6166670724159062e-45,4.4802541048232546e-89,2.2071991114915804e-62,2.2245554131584961e-63,1.0579991932586553e-75,2.2154626137077133e-54,7.2044264228092975e-58,8.1277249211837501e-52,1.2038371447944906e-44,3.1592370134455216e-32,2.5766422918367796e-67,4.3335160026228807e-73,5.6414425249814401e-66,4.1781255471386006e-66,2.4525849419409501e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998835119355,0.10880299999999991,0.0001,9.1488872877963712e-12,5.3669509152550711e-11,5.3669585802179408e-11,8.1238887376010386e-17
1e-12,0.002684002462790331,5.930964598433512e-27,4.7935441315542983e-22,7.5702153209395577e-20,5.9308408973292871e-27,7.6628936878218485e-18,3.4582436282185881e-27,4.8574084730624629e-54,5.1515739216726249e-48,2.4572137976468459e-44,1.5473934631557542e-40,1.2781668854631682e-37,3.5162216577311791e-23,2.1070616132324241e-33,1.4410180320635823e-48,1.2515812022318894e-43,2.9909427022746496e-35,1.0529738936922385e-44,1.8055614762508243e-88,5.068057945454149e-62,5.1052338444785319e-63,4.2741456375386812e-75,5.0870321774685031e-54,5.36294365786051e-57,3.2603285032809496e-51,2.7567118310595567e-44,1.2640205352301489e-31,1.0322317538911254e-66,1.7475069344043737e-72,2.2694097821217175e-65,3.1124350279786114e-65,3.5158427222363055e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899998333897947,0.10880299999999989,0.0001,1.3085442750001875e-11,7.6762267798904075e-11,7.6762376275583987e-11,1.1621619929898996e-16
