Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782)
7.19065082446076e-15,0.0024935432597028616,1.6256432523719487e-32,1.8389789600615406e-27,4.9248418668362165e-23,1.6256441538509899e-32,7.0519789618065182e-21,1.4631665186172063e-32,1.3498293986755394e-60,5.7711140244092178e-50,3.184362109924056e-50,1.9025568960278354e-46,2.2736273518937472e-41,5.145578104433057e-26,1.1410760127150409e-38,1.1279169108979395e-56,1.1853968072018048e-51,1.1846824075860966e-40,1.7145998378558963e-52,3.2320330817838842e-98,2.1206754009879421e-68,7.3401708049829884e-70,3.1236788514422571e-84,4.193796488243883e-60,2.597165663338202e-67,2.8336948741230707e-59,3.398615745977953e-50,2.0513689292725619e-39,8.1926149182633836e-76,1.0284254164587525e-81,4.2465208936519979e-74,2.726959704118901e-76,1.9945844408846489e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995227493,0.108803,0.0001,3.8150597659026536e-14,2.1914165452256762e-13,2.1914148670281121e-13,4.3854930064672146e-19,3.7034157466264174e-18,8.0838823626256501e-16,3.1041480329568279e-18,1.6375343217450824e-25
1.438754895632766e-14,0.0024935432597028608,6.5066000249059004e-32,7.3604713818443403e-27,9.8535923653573838e-23,6.506602862196853e-32,1.4188373582884529e-20,5.8844524597640189e-32,5.4027643291190308e-60,5.8174877873814941e-50,1.274572840915414e-49,7.6168592785201291e-46,4.5491919302635081e-41,1.0295618614976477e-25,4.5672746925807461e-38,9.0301811277144882e-56,9.4903611661635698e-51,4.7418137767093649e-40,1.3727524112218806e-51,2.622292565199246e-97,8.5870076677969476e-68,2.9721488012566115e-69,2.5343547213768005e-83,1.6981459107298119e-59,4.0527042474064202e-66,2.2692498180693306e-58,1.3603253491192248e-49,1.6422928982733392e-38,6.5589507992670691e-75,8.3441216066222988e-81,3.4453608583640697e-73,4.3694076679997639e-75,6.392201865640983e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999990450845,0.10880299999999997,0.0001,7.6334340865027725e-14,4.3846745680898769e-13,4.3846595254739643e-13,9.1858789389334465e-19,1.482305639165894e-17,1.6172834399204462e-15,1.2414494461664352e-17,7.339497840227472e-25
2.8781345220061454e-14,0.0024935432597028603,2.6033198960268278e-31,2.9449576731892501e-26,1.9709982666745113e-22,2.6033203862250712e-31,2.8696118290274464e-20,2.3769337216084447e-31,2.1617526396434888e-59,5.8412008495137561e-50,5.0999365925163445e-49,3.0478664329526654e-45,9.100206671348362e-41,2.0595675257971448e-25,1.8275023206925028e-37,7.2268695474419814e-55,7.5951396161989784e-50,1.8973405795654867e-39,1.0986671374733785e-50,2.1130728454474039e-96,3.4563365658329249e-67,1.1962946736804661e-68,2.0421744997223393e-82,6.8351677702423779e-59,6.402004911390629e-65,1.8163126951983531e-57,5.4430200536476524e-49,1.3142541447511123e-37,5.2489578181874289e-74,6.72386312058209e-80,2.7762606064996559e-72,6.9955081594464065e-74,2.0470228423417241e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999980897584,0.10880299999999989,0.0001,1.5270182708644035e-13,8.7710050336052883e-13,8.7709263678373385e-13,1.8789696928490908e-18,5.9309469568893191e-17,3.2344877309227896e-15,4.9592819269836274e-17,3.1176845421920946e-24
5.756893774752905e-14,0.0024935432597028595,1.0413633741435029e-30,1.178023135797186e-25,3.9418321488568922e-22,1.0413630485632328e-30,5.8651338379894608e-20,9.6884074812472393e-31,8.6479634861155798e-59,5.8536729638752068e-50,2.0402947394789512e-48,1.2193275220849199e-44,1.8201778513910421e-40,4.1195691025615934e-25,7.3111795052797308e-37,5.7825619478324844e-54,6.0772118399218335e-49,7.5905771403397284e-39,8.7917744398003289e-50,1.6968484070439634e-95,1.3870162852419515e-66,4.8005454994703934e-68,1.6398677030421972e-81,2.7429299285852582e-58,1.0177256263488314e-63,1.4534071003111028e-56,2.1775198461235935e-48,1.0514761256538044e-36,4.1996497675503278e-73,5.3995461096329361e-79,2.2293239706649388e-71,1.1195922078773353e-72,6.5528513116133088e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999961791062,0.10880299999999955,0.0001,3.0543679876690653e-13,1.7542927899014337e-12,1.7542570262817579e-12,3.7996008475564107e-18,2.3725998688190918e-16,6.4665535458311086e-15,1.9775582456312875e-16,1.2859436165483408e-23
8.635653027499664e-14,0.00249354325970286,2.2128061745823199e-30,2.5031962293745896e-25,5.9122219530882393e-22,2.2128047149691346e-30,8.9546197969363731e-20,2.0852098274324833e-30,1.8377134651496477e-58,5.8542517519952806e-50,4.3358163080296384e-48,2.5911501642520693e-44,2.7302892739874787e-40,6.1795609268975753e-25,1.5536971190667957e-36,1.6535267469793573e-53,1.7377786706306463e-48,1.6130718303457381e-38,2.5141676152090108e-49,4.8568995473039618e-95,2.9503550993064256e-66,1.0211139999866041e-67,4.6937219032047543e-81,5.8345510344385214e-58,3.8441640095785311e-63,4.3150943597451691e-56,4.6273929930438913e-48,3.0065028133841881e-36,1.2008443627152571e-72,1.5455409394100216e-78,6.380847902200697e-71,4.2686873680807062e-72,3.1352318526181318e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999942684558,0.10880299999999905,0.0001,4.5817176968501375e-13,2.6314116916560952e-12,2.6313324476404912e-12,5.7200719214814754e-18,5.0417735988442214e-16,9.6962782905703576e-15,4.1930343723700117e-16,2.7574924751123234e-23
1.439317153299318e-13,0.002493543259702855,6.1166338369061506e-30,6.9193293852233295e-25,9.8512260505382459e-22,6.1166243244277522e-30,1.5509374592539029e-19,5.952914213234962e-30,5.0804931249269355e-58,5.8627194941844665e-50,1.1987678460767883e-47,7.1637385350588666e-44,4.5503290909473214e-40,1.0299505561165572e-24,4.2956908704822979e-36,7.5993495043630991e-53,7.9865112972092585e-48,4.459851058175003e-38,1.1556964825893436e-48,2.2350646418625478e-94,8.1656103499980343e-66,2.8259549796189795e-67,2.1599009116164093e-80,1.6148113942487634e-57,3.0275999802219661e-62,2.0214020355500142e-55,1.2793536857883428e-47,1.3814653868328451e-35,5.5182288018829178e-72,7.1127052829617393e-78,2.9361257638944468e-70,3.5104337771524979e-71,4.7282828001399217e-83,0.88129999999999997,0.0,0.0,0.0,0.009889999990447167,0.10880299999999743,0.0001,7.6364170847179263e-13,4.3853592916614097e-12,4.3851275044625777e-12,9.5603786110362655e-18,1.3937928676042896e-15,1.614637705513911e-14,1.1526014462795633e-15,7.6896014804821494e-23
1.9489055159573218e-13,0.0024935432597028495,1.0789623801215864e-29,1.2205563239146568e-24,1.3336187723052425e-21,1.0789600781574741e-29,2.1604113240415565e-19,1.0716199844043662e-29,8.9626771638368809e-58,5.8653549813958218e-50,2.1149022244316353e-47,1.263815464988746e-43,6.1610731510845909e-40,1.3945969407351742e-24,7.5786143416915986e-36,1.6854968981011415e-52,1.7713618305890005e-47,7.8682315844290775e-38,2.5636001067291646e-48,4.9596287277191168e-94,1.4412122730439777e-65,4.9875752620914806e-67,4.792740379377516e-80,2.8501066059844864e-57,8.3158980432037142e-62,4.5970200289955886e-55,2.257043121788284e-47,3.0636913267911015e-35,1.2238360712258707e-71,1.5783766590959814e-77,6.5149337237183791e-70,1.0034399231263887e-70,1.6807460676045253e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999870650165,0.1088029999999955,0.0001,1.0340080554124045e-12,5.9375248173475335e-12,5.9371046476634887e-12,1.2958878969145159e-17,2.4587909884140789e-15,2.184796323671809e-14,2.0258799372678084e-15,1.3606946284844221e-22
2.4584938786153256e-13,0.0024935432597028447,1.6763666617943058e-29,1.8963589186699253e-24,1.6819669499186766e-21,1.6763620929280665e-29,2.8012220985823398e-19,1.6992178782683966e-29,1.3926417738944942e-57,5.8660658878087905e-50,3.2863652274433545e-47,1.9638014629548024e-43,7.7716645551377802e-40,1.7592400699810346e-24,1.177651948401629e-35,3.1674453026375528e-52,3.3287944270690279e-47,1.2226559722100045e-37,4.8181783284465325e-48,9.3238101670063474e-94,2.2402174159257662e-65,7.7524012741128305e-67,9.0100594883875855e-80,4.4301998917104655e-57,1.8912232253819711e-61,8.7958049345435746e-55,3.5071901913896381e-47,5.756732420931765e-35,2.299716290278784e-71,2.9673553301166996e-77,1.2247086979432304e-69,2.2798384037834009e-70,4.474229446488494e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999836828713,0.10880299999999303,0.0001,1.3043743998091274e-12,7.4894534342760714e-12,7.4887851252707406e-12,1.6356860546918801e-17,3.8204504214587954e-15,2.7541770257074975e-14,3.136066573620778e-15,2.1182791964998777e-22
2.9680822412733295e-13,0.0024935432597028378,2.395415934631382e-29,2.7097701711456774e-24,2.0301767611771222e-21,2.3954080575434246e-29,3.4713385297208992e-19,2.4746438340377089e-29,1.9901617453578001e-57,5.8696760436420104e-50,4.6966421888837203e-47,2.8064554291078931e-43,9.382113186757511e-40,2.1238801540545263e-24,1.6830233352616429e-35,5.2718244650322755e-52,5.5403528744563998e-47,1.7473401197428579e-37,8.0202617425010701e-48,1.5523032674003437e-93,3.2023529739340249e-65,1.1081552395549877e-66,1.5000674109882191e-79,6.3328959490647454e-57,3.6675359914796997e-61,1.4888422888265006e-54,5.0121650655835484e-47,9.5803500808457751e-35,3.8273494739059739e-71,4.9404782665027525e-77,2.0388853256385282e-69,4.4837331385024443e-70,1.0213147150340698e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999980300733,0.10880299999999006,0.0001,1.5747407418264588e-12,9.041162630768e-12,9.0401881789353067e-12,1.9754361640096233e-17,5.4595297931137585e-15,3.3228310216604394e-14,4.4656730692027299e-15,3.0309568596290704e-22
3.987258966589337e-13,0.0024935432597028183,4.1097948651231529e-29,4.6491297781127698e-24,2.726282125800023e-21,4.1097774765017118e-29,4.8781490506942575e-19,4.3796426916059091e-29,3.4149912672412587e-57,5.9298772984409324e-50,8.0598448236154958e-47,4.8159145933472239e-43,1.2602686061411231e-39,2.8531534017476244e-24,2.8882308826126861e-35,1.1187712328005105e-51,1.1757515890561125e-46,2.9986046215415866e-37,1.7024553016265769e-47,3.2957309602783978e-93,5.4974445251631474e-65,1.9022510190222438e-66,3.1848063325643679e-79,1.0871613606304641e-56,9.6517687839720138e-61,3.2717218321372976e-54,8.6011375706987343e-47,2.0327637514792397e-34,8.1214479425039451e-71,1.0490090917463016e-76,4.3283272818191504e-69,1.2430003380164834e-69,3.6379196161697855e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999735364771,0.10880299999998301,0.0001,2.115473420454393e-12,1.2144088587538851e-11,1.2142364058409468e-11,2.6548285494739194e-17,9.3679072942875601e-15,4.4584903076320789e-14,7.6173209479074718e-15,5.2086393410499162e-22
