Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690)
0.0,0.0017631650729384414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.436591466172783e-20,0.0017631650729384414,1.1046363246244836e-36,3.0941874675326407e-32,1.7688049719035875e-23,1.0834594896782376e-36,1.1852947584202247e-22,3.7062377874301141e-38,2.4341040347752645e-60,4.0400161304423768e-49,1.0878665921714165e-52,2.49189026393628e-52,2.2022624760453205e-39,1.0652124056258089e-27,7.786422319612895e-44,1.2039832748258337e-63,2.9256304811379324e-59,3.1372882159080944e-45,7.8333660981828519e-61,1.1353841231963309e-105,2.4115103854224171e-76,4.1018276544981572e-76,2.3615030259631686e-94,2.3960712735632224e-69,6.1764447021237358e-73,1.3041461857882304e-66,7.1586170838561104e-53,5.0372147571298681e-48,1.4775922392870632e-78,9.986669839902877e-92,5.35408500889828e-86,2.3047307187974557e-84,1.8918411942332815e-100,0.88129999999999997,0.0,0.0,0.0,0.00988999999999946,0.108803,0.0001,1.9777885651575999e-17,2.4629349009940236e-16,2.4629335395717986e-16,1.1205590744133023e-25,1.1211378205749895e-25,2.807019093479183e-17,7.4281815484215301e-26,2.0368398815855896e-36,2.6934567720538999e-36,5.7819658814047873e-41,6.992914505166064e-30
2.0822456105283794e-19,0.0017631650729384414,6.6033902036362452e-36,1.8688891562463174e-31,4.9526539124695957e-23,6.5440953078587852e-36,3.3188257764775817e-22,2.2385679000513884e-37,1.4701988365831353e-59,2.4387176940165141e-48,6.5707142166946182e-52,2.957150057092695e-51,6.1663349316162221e-39,2.9825947357889793e-27,4.7029990810945556e-43,1.4293689438669493e-62,3.4733085070890584e-58,1.8949220824275209e-44,9.2997723548564751e-60,6.535027809017096e-104,7.5778046921158852e-75,1.2889369678867019e-74,1.3494788923401369e-92,7.5292896307684678e-68,7.3380531398079615e-72,1.9708257103436638e-65,4.3238047179468414e-52,5.9094537081374205e-47,1.7541975057274268e-77,5.7485534190555188e-90,3.0819328172775052e-84,2.7356771474708953e-83,6.0993537157792795e-99,0.88129999999999997,0.0,0.0,0.0,0.0098899999999984851,0.108803,0.0001,5.5378079824404179e-17,6.8962177167482016e-16,6.8962139071674501e-16,6.764801079550968e-25,6.7716724285245787e-25,7.8596534394839611e-17,4.4866214273770166e-25,2.4159615907975569e-35,3.1889651903899868e-35,6.8643509068297745e-40,4.2237203585247602e-29
4.759418538350581e-19,0.0017631650729384414,3.164253186225548e-35,8.9978966142604303e-31,1.132035175815981e-22,3.1507001812876577e-35,7.5858896241961033e-22,1.0777743626347678e-36,7.0783745267968273e-59,1.1726606132632078e-47,3.1635160500013234e-51,2.9007185086775892e-50,1.4094479837515314e-38,6.8173593962621794e-27,2.2642916106159806e-42,1.4033629051167106e-61,3.4101148884488794e-57,9.1232341321461665e-44,9.1305718919469639e-59,2.927233567852751e-102,1.6885047059707654e-73,2.872040417182287e-73,6.0191168008806009e-91,1.6776944630674611e-66,7.2069144958559763e-71,2.1201243633325713e-64,2.0817258469301375e-51,5.7652860246772593e-46,1.7222815117721868e-76,2.5747935873160667e-88,1.3804065394841273e-82,2.6870982968070153e-82,1.3725992904272764e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999965387,0.108803,0.0001,1.2657846817002604e-16,1.5762783324143259e-15,1.5762774627824411e-15,3.2535272108549592e-24,3.2602687706098803e-24,1.7964922042462513e-16,2.1601148524809368e-24,2.3674116614923874e-34,3.112656051441941e-34,6.7394609258611545e-39,2.0335395342104772e-28
1.0113764393994986e-18,0.0017631650729384414,1.3788735015663644e-34,3.9296177907835044e-30,2.4055747307773049e-22,1.3759935367048158e-34,1.6120024566048356e-21,4.7069262656825323e-36,3.0913121176179912e-58,5.1083754166540502e-47,1.3815905720224819e-50,2.5609762931357174e-49,2.9950769628342672e-38,1.4486888717796015e-26,9.8887563466580674e-42,1.2412585969710592e-60,3.0162080000664074e-56,3.9843560344981976e-43,8.0758878741042314e-58,1.0986757088569548e-100,3.1546466835623581e-72,5.3658557991659502e-72,2.2544432271781089e-89,3.1344498213310461e-65,6.3753996648164565e-70,1.9487595544648503e-63,9.0914436855847076e-51,5.0835390172538331e-45,1.5233384900968195e-75,9.6636929582084791e-87,5.1809295967091437e-81,2.3871446369777003e-81,2.6118323369783453e-96,0.88129999999999997,0.0,0.0,0.0,0.0098899999999926477,0.108803,0.0001,2.6897924486113176e-16,3.3495914442695032e-15,3.349589601100097e-15,1.4178931670674176e-23,1.4238450201213543e-23,3.8175458892295608e-16,9.4337870346505633e-24,2.085822860097827e-33,2.7211224512692179e-33,5.9609771653290885e-38,8.8810013813852901e-28
2.0822456105283797e-18,0.0017631650729384414,5.750431216520445e-34,1.6405380457664479e-29,4.9526537839930733e-22,5.7445020775950985e-34,3.3188323435413503e-21,1.9650511217467648e-35,1.2905619533433553e-57,2.1218895277301183e-46,5.7678686713718026e-50,2.1448218807915949e-48,6.1663349126114093e-38,2.9825947363213431e-26,4.1283611145334794e-41,1.0433526421523292e-59,2.5353045634738523e-55,1.663390212339887e-42,6.7882710996754658e-57,3.7861352621108999e-99,5.4222693130108018e-71,9.2229393972713654e-71,7.7610032655131381e-88,5.3875545454691354e-64,5.3593300819877675e-69,1.6672048270182972e-62,3.7954987680355194e-50,4.2665045463762176e-44,1.2804577841641088e-74,3.3301546202980857e-85,1.7853728217380929e-79,2.0519860900940825e-80,4.6529294329731085e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999848658,0.108803,0.0001,5.5378079824279138e-16,6.8962176296551442e-15,6.8962138544804659e-15,5.894437539147151e-23,5.9442726166213371e-23,7.859653116746586e-16,3.9384186784707273e-23,1.739742700851362e-32,2.2352344992733306e-32,5.0105607665808401e-37,3.7076432345557818e-27
4.223983952786142e-18,0.0017631650729384414,2.3480191642540621e-33,6.7021330281270695e-29,1.0046811663597119e-21,2.3468164773011692e-33,6.7325037116784732e-21,8.0278918620112739e-35,5.2723666535673766e-57,8.5816612257350606e-46,2.3563625530334658e-49,1.7457279629307966e-47,1.2508850778612372e-37,6.0504064663447294e-26,1.6865702206886976e-40,8.5540353267786183e-59,2.0785958565600781e-54,6.7954917694327148e-42,5.5654359789269185e-56,1.2476449243090541e-97,8.9217276296617068e-70,1.5175298050100287e-69,2.5561701770655877e-86,8.8646084268234042e-63,4.3941353189043193e-68,1.3784771914583633e-61,1.5505850865115508e-49,3.4952932742977488e-43,1.0497966456000557e-73,1.0973789345154036e-83,5.8833006646987913e-78,1.8472429244431805e-79,8.2014514798869865e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999693018,0.108803,0.0001,1.1233839050039029e-15,1.3989469848472483e-14,1.3989462268221431e-14,2.3878897753664463e-22,2.4284292734023071e-22,1.594386700198229e-15,1.6089711452424215e-22,1.4046684994269457e-31,1.7526577997358562e-31,4.107960822678849e-36,1.514693223053098e-26
8.507460637301666e-18,0.0017631650729384414,9.4886289277798633e-33,2.7091091874530131e-28,2.0235126515495314e-21,9.486206940785563e-33,1.3559892825007804e-20,3.2450158675274775e-34,2.1311748783741711e-56,3.400059506856406e-45,9.5247941881683489e-49,1.3935026358798273e-46,2.5193882376401011e-37,1.2186029930151123e-25,6.8173864937915715e-40,6.9272795848389989e-58,1.6833008138939771e-53,2.7468464247103466e-41,4.5070362951201627e-55,3.9935868170149217e-96,1.4265546384392852e-68,2.4264797756445426e-68,8.1799448849505539e-85,1.4174214674733802e-61,3.5586816469875293e-67,1.1209547588893587e-60,6.2677128020909882e-49,2.8295134966268641e-42,8.501525286944427e-73,3.5125883380777336e-82,1.8831784903791762e-76,2.0485752357513841e-78,1.4904536625273915e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999381722,0.108803,0.0001,2.2625901185172948e-15,2.8175973688739584e-14,2.8175958723624293e-14,9.4928558209048266e-22,9.8160990131551608e-22,3.2112292493260636e-15,6.5037073678302274e-22,1.1039324624905752e-30,1.3050577780968176e-30,3.3267337645675274e-35,6.1226320609498573e-26
1.7074414006332715e-17,0.0017631650729384414,3.8148476607134686e-32,1.0893207778001786e-27,4.0611752590052815e-21,3.8143616996932449e-32,2.7214856559876727e-20,1.3048175629839839e-33,8.5693602854857239e-56,1.3141592262781265e-44,3.829877850570107e-48,1.090218583208385e-45,5.056394503512517e-37,2.4457276872802573e-25,2.7412411271205441e-39,5.5756772677875374e-57,1.3548669356872123e-52,1.1044948670626053e-40,3.627658045747773e-54,1.2426951047370548e-94,2.2174653259742087e-67,3.7717690853189452e-67,2.5450453490583032e-83,2.203268540665481e-60,2.86458242966078e-66,9.0409062241348267e-60,2.5202197233208295e-48,2.2770107145963265e-41,6.8427669620114643e-72,1.0930187535922889e-80,5.8599168565918648e-75,3.4133817026448321e-77,2.9025941589901196e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999998759147,0.108803,0.0001,4.5410025455087567e-15,5.6548979058690788e-14,5.6548950146113961e-14,3.6946270782581152e-21,3.9470099332766387e-21,6.4449134359047669e-15,2.6151030825490303e-21,8.3884276502392232e-30,9.0384698193661559e-30,2.6776456808680724e-34,2.4618833250385672e-25
3.420832074439481e-17,0.0017631650729384414,1.5298266408719427e-31,4.3686626392937698e-27,8.1364990222217873e-21,1.5297293307853697e-31,5.4525526062377644e-20,5.2329898886948064e-33,3.4366966137505479e-55,4.8796437966101292e-44,1.5359523128097943e-47,8.2794874791167078e-45,1.0130406820516104e-36,4.8999770818261381e-25,1.0993602985230327e-38,4.4741298606983294e-56,1.0871953842210132e-51,4.4295184203884694e-40,2.9109721464698119e-53,3.7136153876289329e-93,3.3087305435677406e-66,5.6279424265827006e-66,7.6049874649770629e-82,3.2875471966981168e-59,2.29901322602983e-65,7.2621475449047634e-59,1.0107208061771402e-47,1.8269859733702635e-40,5.4908892157446039e-71,3.2663198775123392e-79,1.7511436609426076e-73,8.1183983367118248e-76,6.2588566448202736e-90,0.88129999999999997,0.0,0.0,0.0,0.009889999999751398,0.108803,0.0001,9.0978273993503859e-15,1.132949811201875e-13,1.1329492703783066e-13,1.3918824554702733e-20,1.5829272717038639e-20,1.2912278162356364e-14,1.0487660499122064e-20,6.0508997945156784e-29,5.6569389294227251e-29,2.1486435111860751e-33,9.8732524830040713e-25
